date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,ABBV,USD,1551152,2025-04-25,2025-04-25 07:48:22,2025,Q1,13343000000.0,2144000000.0,11199000000.0,0.8393164955,2067000000,0.0,0.0,3293000000.0,0.0,7218000000.0,9610000000.0,0.0,627000000.0,1445000000.0,3733000000.0,0.2797721652,3733000000.0,0.2797721652,-2072000000.0,1661000000.0,0.1244847486,372000000.0,1286000000.0,0.0963801244,2.46,2.46,1772000000,1772000000,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000026/0001551152-25-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000026/abbv-20250331xexhibit991.htm,7.529909706546276,0.7257336343115124,,,,,,,,371269440000.0,,72.17524105754278,27.825034849733942,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0034637916872447,,0.0,0.0,,0.0,5.953748006379585,0.0,0.0078274150439098,2.259782270606532,0.0,0.1549126883009818,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,2025-04-25,2.38,bmo,12927006520.0,2025-05-11,2025-03-31,0.0336134453781512,194.4063333333333,6363683.266666667
2024-12-31,ABBV,USD,1551152,2025-02-14,2025-02-14 13:17:23,2024,Q4,15102000000.0,4396000000.0,10706000000.0,0.7089127268,6774000000,0.0,0.0,3855000000.0,1567000000.0,12196000000.0,16592000000.0,92000000.0,702000000.0,2102000000.0,535000000.0,0.0354257714,-1490000000.0,-0.0986624288,-779000000.0,-2269000000.0,-0.1502450007,-2246000000.0,-22000000.0,-0.0014567607,-0.0181,-0.02,1769000000,1773000000,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000020/0001551152-25-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115225000020/abbv-20241231.htm,8.537026568682872,-0.0124364047484454,3.9841718485019775,3.819672131147541,3.140192198982476,1.901639344262295,-51.81458451102318,1.8795929903900508,38.35274166195591,314351300000.0,375971300000.0,-3572.1738636363634,20.81520990597272,44.60148978433598,46.52231759656652,94.54174436090226,94.54174436090226,24.895464176930208,702.7500934579439,53.34439557321226,55.64174929702531,-6.998539532045836e-05,0.0214950598263789,20.19368421052632,0.4967705181228313,115.17757009345794,0.6601976825208392,-2.1225071225071224,2349.333333333333,0.0087545367237227,-125.0909090909091,0.0,0.4485498609455701,0.7030430375626106,0.0412883087400681,0.0192689709972189,0.1354118194509074,0.0108594888094292,,-0.0001463297342908,-0.0005481226798216,-65.55243075183719,-13167000000.0,-91660000000.0,-106215000000.0,86991000000.0,11195500000.0,1472500000.0,4315500000.0,65.07151370679381,60.29344858962693,85.598271155596,1.3830936898983424,1.4926994906621391,1.0514231045204496,-0.0066165413533834,0.1644997173544375,2025-01-31,2.98,bmo,14831459715.0,2025-05-01,2024-12-31,-0.2751677852348992,183.85625,6127826.8125
2024-09-30,ABBV,USD,1551152,2024-11-04,2024-11-04 14:19:33,2024,Q3,14460000000.0,4212000000.0,10248000000.0,0.7087136929,2130000000,0.0,0.0,4205000000.0,82000000.0,6417000000.0,10629000000.0,0.0,591000000.0,2079000000.0,4933000000.0,0.3411479945,3831000000.0,0.2649377593,-1747000000.0,2084000000.0,0.1441217151,520000000.0,1561000000.0,0.1079529737,0.88,0.88,1769000000,1772000000,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000040/0001551152-24-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000040/abbv-20240930.htm,8.174109666478236,0.8824194460146976,3.0791407574901077,2.938383267382702,4.118145845110232,3.4318824194460147,-54.19446014697569,3.4098360655737703,40.5144149236857,349342120000.0,413164120000.0,55.94844971172325,24.159206085753805,64.1347751055627,67.20702577914582,57.91480769230769,57.91480769230769,28.572899031811893,83.75514291506182,75.85168349550212,79.48520969603693,0.0044683990582068,0.0148793967357843,11.783653846153848,0.4955934236030734,12.937766065274682,0.6452324555292369,6.482233502538071,3.4827365728900257,0.0078748019276919,1.7623318385650224,0.0,0.1473029045643153,0.7107765893656482,0.0457132366440242,0.0172199170124481,0.1197691197691197,0.0125172890733056,8.22802389214155,0.0254590302997134,0.0376316867963646,-67.40361786319954,-15277000000.0,-95870000000.0,-109566000000.0,91805000000.0,11598000000.0,0.0,4334000000.0,71.40248962655602,0.0,95.08547008547008,1.2604602510460252,0.0,0.9465168539325842,0.2587864721485411,0.1407574901074053,2024-10-30,2.92,bmo,14282327431.0,2025-04-23,2024-09-30,0.0273972602739726,186.63265625,4776492.390625
2024-06-30,ABBV,USD,1551152,2024-08-07,2024-08-07 15:00:51,2024,Q2,14462000000.0,2176000000.0,12286000000.0,0.8495367169,1917000000,0.0,0.0,3342000000.0,-1947000000.0,7206000000.0,10464000000.0,220000000.0,726000000.0,2131000000.0,7129000000.0,0.4929470336,3998000000.0,0.276448624,-1852000000.0,2146000000.0,0.1483888812,773000000.0,1370000000.0,0.0947310192,0.78,0.78,1769000000,1771000000,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000031/0001551152-24-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000031/abbv-20240630.htm,8.175240248728095,0.7744488411531939,1.283776144714528,1.147540983606557,7.437535330695308,3.855850763143019,-49.07179197286602,3.831543244771057,40.3391746749576,301384530000.0,358888530000.0,54.99717700729927,20.839754529110778,132.71005284015854,148.46528571428573,44.46511212747123,44.46511212747123,24.81596805421104,50.34205779211671,158.0310568031704,176.79237931034484,0.0045456878626119,0.006735581285476,10.421068161699615,0.497643320628166,8.0662084443821,0.8067756173207682,5.506887052341598,1.6698529411764709,0.0091245559286005,2.0072992700729926,0.0,0.1325542801825473,0.6596518173555873,0.1061206516952884,0.016664361775688,0.1156429942418426,0.0150739870004148,8.170986481397403,0.0227150848926358,0.0283596919764842,-62.77953646127756,-8099000000.0,-86808000000.0,-101300000000.0,90553000000.0,11836500000.0,0.0,4231500000.0,72.9608629511824,0.0,174.4577205882353,1.2335380416240191,0.0,0.5158843053579896,0.2021245205075243,0.1362351611079706,2024-07-25,2.57,bmo,14021791242.0,2025-04-23,2024-06-30,0.0311284046692607,165.64888888888888,5656575.746031746
2024-03-31,ABBV,USD,1551152,2024-05-03,2024-05-03 11:04:11,2024,Q1,12310000000.0,4082000000.0,8228000000.0,0.6683996751,1939000000,0.0,0.0,3300000000.0,-586000000.0,5239000000.0,9512000000.0,207000000.0,660000000.0,2074000000.0,5557000000.0,0.4514216084,2798000000.0,0.2272948822,-1043000000.0,1755000000.0,0.1425670187,383000000.0,1369000000.0,0.1112103981,0.77,0.77,1769000000,1773000000,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000020/0001551152-24-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000020/abbv-20240331.htm,6.958733747880158,0.7738835500282646,2.283776144714528,2.1746749576031656,10.21424533634822,4.548897682306388,-49.52176370830978,4.526286037309214,42.20520067834935,319764440000.0,375698440000.0,58.39379839298758,25.97599025182778,79.14961386138613,83.12046789706265,39.93561134007743,39.93561134007743,30.519775792038992,67.60814108331834,92.99466336633664,97.66010917598128,0.0042812765547038,0.0120307311219471,9.242038216560507,0.4970713489259373,10.065502969228,0.9361543278262128,4.239393939393939,2.972774098601913,0.008668881380306,2.024835646457268,0.0,0.1575142160844841,0.6424963391861575,0.0477722772277227,0.0156783103168155,0.0930568948891031,0.0282696994313566,8.877691811919073,0.0186084181456284,0.0257219623095278,-63.12817976257773,-2651000000.0,-87604000000.0,-101956000000.0,97980000000.0,11552000000.0,1844000000.0,4172000000.0,87.36068237205524,0.0,93.59382655561,1.030211733199431,0.0,0.9616018845700824,0.1709753965280379,0.1091011871113623,2024-04-26,2.26,bmo,11929722730.0,2025-04-23,2024-03-31,0.0221238938053098,172.34278688524589,5709084.868852459
2023-12-31,ABBV,USD,1551152,2024-02-20,2024-02-20 12:45:17,2023,Q4,14301000000.0,2386000000.0,11915000000.0,0.8331585204,1921000000,1406000000.0,2200000000.0,3606000000.0,-1889000000.0,7416000000.0,11106000000.0,186000000.0,564000000.0,2076000000.0,6625000000.0,0.4632543179,3195000000.0,0.2234109503,-1983000000.0,1212000000.0,0.0847493182,388000000.0,822000000.0,0.057478498,0.46,0.46,1765940733,1772000000,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/0001551152-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000011/abbv-20231231.htm,8.098233271795765,0.4654742849742058,2.691483304723115,2.575397868689402,7.2573216985759395,5.887513553378125,-43.8893551474584,5.866561547850089,33.94734538919546,273667835393.01,320238835393.01,83.23231003437044,19.13627266575834,57.57791613570587,60.1732267794657,26.41581422712452,26.41581422712452,22.392758226208656,48.33793741781283,67.37614883084578,70.41311244349384,0.0030036412529793,0.0166186866405717,5.732142857142857,0.4408325971895391,7.029584905660378,0.8721228297349436,5.664893617021277,5.754237288135593,0.0095955741244813,3.194647201946472,0.0983148031606181,0.1343262708901475,0.6525302313842225,0.0431306543235851,0.0143346619117544,0.098747591522158,0.0087406475071673,7.8384631586306845,0.0208740855634847,0.0175611006665527,-57.23988812936,-4839000000.0,-77506000000.0,-91312000000.0,88053000000.0,11283500000.0,1844000000.0,4040000000.0,70.20138451856513,139.11148365465212,154.61441743503772,1.282025997310623,0.6469631236442517,0.58209319346182,0.0793436293436293,0.1160854360337131,2024-02-02,2.76,bmo,12977400000.0,2025-04-23,2023-12-31,0.0108695652173913,145.79063492063491,5277398.365079365
2023-09-30,ABBV,USD,1551152,2023-11-06,2023-11-06 13:01:04,2023,Q3,13927000000.0,6485000000.0,7442000000.0,0.5343577224,1723000000,0.0,0.0,3372000000.0,95000000.0,5095000000.0,11646000000.0,157000000.0,555000000.0,2235000000.0,4708000000.0,0.3380483952,2281000000.0,0.1637825806,-328000000.0,1953000000.0,0.1402312056,172000000.0,1778000000.0,0.1276656854,1.0,1.0,1767000000,1771000000,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000045/0001551152-23-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000045/abbv-20230930.htm,7.881720430107527,1.0062252405206564,4.286361063950198,4.162422184493492,7.521222410865875,6.864176570458404,-44.46236559139785,6.844368986983588,34.69213355970572,263389020000.0,310848020000.0,37.034451631046124,18.91211459754434,34.775418537100606,35.81087967369137,21.77848685298495,21.77848685298495,22.319811876211677,66.02549277824978,41.04146025878004,42.26349694085656,0.006750471223136,0.0279244746041425,5.022821233669588,0.4459371168909345,10.080501274426508,0.955453944152072,4.10990990990991,4.252667040988209,0.0099738402155108,1.4775028121484814,0.0,0.1237165218640051,0.6657857452228364,0.0289147082123052,0.0157248510088317,0.097986577181208,0.0093343864435987,12.448171700219389,0.0195200318988972,0.0390537483251696,-56.735993208828525,-1549000000.0,-78565000000.0,-90868000000.0,94079000000.0,11451500000.0,0.0,4018000000.0,73.74739714224168,0.0,55.24903623747109,1.2203820539782686,0.0,1.6289876915347905,0.1470150487845212,0.1239388794567062,2023-10-27,2.86,bmo,13671600000.0,2025-04-23,2023-09-30,0.0314685314685315,146.80238095238093,4677660.888888889
2023-06-30,ABBV,USD,1551152,2023-08-07,2023-08-07 13:10:46,2023,Q2,13865000000.0,4240000000.0,9625000000.0,0.6941940137,1733000000,0.0,0.0,3268000000.0,-1412000000.0,4832000000.0,9352000000.0,98000000.0,552000000.0,2260000000.0,7201000000.0,0.5193653083,4513000000.0,0.3254958529,-1903000000.0,2610000000.0,0.1882437793,583000000.0,2024000000.0,0.145979084,1.14,1.14,1767000000,1771000000,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000033/0001551152-23-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000033/abbv-20230630.htm,7.846632710809281,1.1454442558007922,3.576117713638936,3.475382003395586,4.960950764006792,7.299377475947934,-46.512733446519526,7.281267685342388,34.84267119411432,238067910000.0,290323910000.0,29.405621294466403,17.170422646952755,37.67493432505143,38.76696140693698,18.50364604383647,18.50364604383647,20.939337179949515,40.31716567143452,45.94459724639975,47.27632470281713,0.0085017758168247,0.0257951607169567,4.742344162909995,0.4507376243840817,7.256769893070407,0.894940910077856,8.17572463768116,3.1174148988653183,0.0110262655727099,1.2969367588932803,0.0,0.1249909844933285,0.7024311686009146,0.028169014084507,0.0128380815001803,0.0787610619469026,0.0129102055535521,13.698775146533205,0.0323538392038222,0.0502470147215808,-58.32328805885682,-3387000000.0,-82188000000.0,-93617000000.0,96642000000.0,11482000000.0,0.0,3944000000.0,74.58997475658133,0.0,86.07311320754717,1.2065964668001044,0.0,1.0456226880394577,0.157313850458573,0.1007357102433503,2023-07-27,2.79,bmo,13516800000.0,2025-04-23,2023-06-30,0.043010752688172,146.6425806451613,5739853.516129033
2023-03-31,ABBV,USD,1551152,2023-05-05,2023-05-05 12:54:58,2023,Q1,12225000000.0,3986000000.0,8239000000.0,0.6739468303,2292000000,0.0,0.0,3039000000.0,-10000000.0,5321000000.0,9457000000.0,99000000.0,553000000.0,2127000000.0,5799000000.0,0.4743558282,2768000000.0,0.2264212679,-2293000000.0,475000000.0,0.0388548057,234000000.0,239000000.0,0.0195501022,0.13,0.13,1770000000,1776000000,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000023/0001551152-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000023/abbv-20230331.htm,6.906779661016949,0.1350282485875706,2.3689265536723165,2.270056497175142,3.7977401129943504,7.515819209039548,-47.32485875706215,7.4994350282485875,35.39322033898305,282084900000.0,337466900000.0,295.0678870292887,23.07442944785276,67.27519675649893,70.20530114484818,21.25093415699865,21.25093415699865,27.604654396728016,58.19398172098638,80.48340090627237,83.98877551020408,0.0008472626503581,0.0142439386156437,4.677791170709658,0.461507016292068,9.550267287463356,0.9600579920260964,5.005424954792043,17.398340248962654,0.0094333301782548,11.133891213389122,0.0,0.1874846625766871,0.7214591509097396,0.0417362270450751,0.0143149284253578,0.082275505406676,0.02560327198364,4.773290320980426,0.0127957340392117,0.0063774148788558,-58.755790960451975,-1102000000.0,-83765000000.0,-94753000000.0,100897000000.0,11363500000.0,1467000000.0,3706000000.0,84.46380368098158,0.0,86.54540893125942,1.0655451930619717,0.0,1.03991651447952,0.0180051227964441,0.0988700564971751,2023-04-27,2.44,bmo,12167900000.0,2025-04-23,2023-03-31,0.0081967213114754,152.8833870967742,6343356.161290322
2022-12-31,ABBV,USD,1551152,2023-02-17,2023-02-17 12:54:29,2022,Q4,15121000000.0,4170000000.0,10951000000.0,0.7242245883,1790000000,1417000000.0,2000000000.0,3417000000.0,-1000000.0,5206000000.0,9619000000.0,90000000.0,566000000.0,2157000000.0,8260000000.0,0.546260168,5502000000.0,0.3638648238,-2537000000.0,2965000000.0,0.196084915,493000000.0,2473000000.0,0.1635473844,1.4,1.39,1769181294,1778000000,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000011/0001551152-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000011/abbv-20221231.htm,8.546891181407664,1.3978216977462572,4.198552192017468,4.078157520921652,5.21653718095439,9.771186287480608,-46.52321403077191,9.752533591958722,36.0827916372939,285917388923.34,339987388923.34,28.903901023386577,18.90862964905364,38.491840188925686,39.62818973296466,16.571078528071173,16.571078528071173,22.484451353967337,41.16070083817676,45.77105397460152,47.12229922707415,0.0086493515113313,0.0252345617283686,3.667033731308682,0.4558265192176074,6.546004842615012,0.9636062021802424,9.720848056537102,3.004854368932039,0.0087647694651825,1.0133441164577437,0.093710733417102,0.1183784141260498,0.7175173804978207,0.0286752827140549,0.0140863699490774,0.0987482614742698,0.008729581376893,17.513618098893236,0.0404501196980209,0.0630706452435603,-57.68713491722008,-1075000000.0,-82308000000.0,-93055000000.0,103455000000.0,10998500000.0,1467000000.0,3375500000.0,66.98366510151445,63.32374100719424,77.24460431654676,1.343611160476275,1.4212678936605316,1.165129924559933,0.1433290831111626,0.1203946710958159,2023-02-09,3.54,bmo,15331214906.0,2025-04-23,2022-12-31,0.0169491525423728,153.33285714285714,5252458.047619048
