date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-30,ACGL,USD,947484,2025-03-30,2025-03-30 18:00:00,2025,Q1,4620000000.0,-53000000.0,4673000000.0,1.0114718615,0,60000000.0,0.0,60000000.0,0.0,60000000.0,60000000.0,0.0,0.0,-27000000.0,660000000.0,0.1428571429,4613000000.0,0.9984848485,-3988000000.0,625000000.0,0.1352813853,121000000.0,574000000.0,0.1242424242,1.51,1.48,387837837,381900000,,,11.912195147684882,1.4800000031972125,3.759303144009644,3.736097569046622,3.060557497900856,55.551568064257744,47.576585468632345,55.551568064257744,7.03386761101393,37302243162.66,38843243162.66,16.24662158652439,8.074078606636364,25.584528918148152,25.743439035652177,1.7313642683991646,1.7313642683991646,8.407628390186147,58.85339873130304,26.641456215816188,26.80693109914424,0.015387814547694,0.0388448489191788,0.1266187050359712,0.0362881770777907,2.334848484848485,0.0,0.0,2.5400696864111496,0.0004021205892254,0.0261324041811846,0.0129870129870129,0.0,0.0411434500372459,0.0061728395061728,0.0019480519480519,0.1836734693877551,0.0,43.01008277760009,0.0494828562307119,0.0079630426036652,-135.2214637067502,1187000000.0,18452000000.0,-52444000000.0,4280000000.0,8027500000.0,2151000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266419122766303,0.0232055749630224,2025-04-29,1.32,amc,4561443440.0,2025-05-11,2025-03-30,0.1666666666666666,92.2855,1852798.5166666664
2024-12-31,ACGL,USD,947484,2025-02-27,2025-02-27 16:14:56,2024,Q4,4510000000.0,0.0,4510000000.0,1.0,0,0.0,0.0,0.0,3573000000.0,3573000000.0,3573000000.0,0.0,37000000.0,99000000.0,1073000000.0,0.2379157428,937000000.0,0.2077605322,64000000.0,1001000000.0,0.2219512195,66000000.0,935000000.0,0.2073170732,2.48,2.42,373300000,382800000,https://www.sec.gov/Archives/edgar/data/947484/000094748425000017/0000947484-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748425000017/acgl-20241231.htm,12.081435842485936,2.5046879185641577,4.213769086525582,4.178944548620413,24.74685239753549,55.77283686043397,52.153763728904366,55.77283686043397,7.406911331368872,34474255000.0,36223255000.0,9.21771524064171,7.643958980044346,21.916246026700573,22.09888141025641,1.6558239673390969,1.6558239673390969,8.031763858093127,33.75885834109972,23.028134138588683,23.220035256410256,0.027121688343954,0.0452511591621051,0.1310278578290105,0.0384734719205709,1.630009319664492,0.0,25.324324324324323,1.6823529411764706,0.0544174196077623,2.006417112299465,0.0,0.0,0.0190533946351507,0.0082644628099173,0.0028824833702882,0.1313131313131313,0.0073170731707317,56.06340062856088,0.0,0.0134425993817842,-77.16782748459684,0.0,19469000000.0,-50086000000.0,1351000000.0,16222500000.0,4485000000.0,0.0,320.3880266075388,0.0,0.0,0.2809093740267829,0.0,0.0,0.0449087415946205,0.0348245379051701,2025-02-10,1.9,amc,4015401339.0,2025-05-10,2024-12-31,0.1894736842105262,100.9453125,1936915.53125
2024-09-30,ACGL,USD,947484,2024-09-30,2024-09-28 20:00:00,2024,Q3,4551000000.0,0.0,4551000000.0,1.0,0,0.0,0.0,0.0,4480000000.0,4480000000.0,4480000000.0,0.0,35000000.0,88000000.0,1085000000.0,0.2384091408,977000000.0,0.2146780927,73000000.0,1050000000.0,0.2307185234,98000000.0,988000000.0,0.2170951439,2.62,2.56,373200000,382300000,,,12.194533762057878,2.647374062165059,5.407288317256163,5.37513397642015,27.44908896034298,59.68381564844587,55.70203644158628,59.68381564844587,7.40085744908896,41753616000.0,43455616000.0,10.565186234817814,9.174602504943968,20.690592666005944,20.814364905284148,1.8745450300799136,1.8745450300799136,9.548586244781369,40.05125898617512,21.534001982160557,21.66281954137587,0.0236626212206387,0.0480437430856288,0.1224297387088084,0.0370234604105571,1.568663594470046,0.0,27.914285714285715,2.04251012145749,0.0002395002147837,0.0101214574898785,0.0,0.0,0.0201748669490604,0.0059464816650148,0.002636783124588,0.1363636363636363,0.003515710832784,59.624836882557375,0.0,0.0136898988499376,-77.29233654876742,0.0,20788000000.0,-51382000000.0,1486000000.0,11329000000.0,4639500000.0,0.0,324.12656558998026,0.0,0.0,0.2776693105552166,0.0,0.0,0.0443566490078118,0.0321543408360128,2024-10-30,1.96,amc,3925328973.0,2025-04-25,2024-09-30,0.0153061224489796,104.0015625,1366176.125
2024-06-30,ACGL,USD,947484,2024-08-06,2024-08-06 16:38:04,2024,Q2,4062000000.0,373000000.0,3689000000.0,0.9081733136,0,23000000.0,0.0,23000000.0,-1047000000.0,1047000000.0,-2874000000.0,0.0,35000000.0,27000000.0,1216000000.0,0.2993599212,1373000000.0,0.3380108321,-3052000000.0,1154000000.0,0.2840965042,97000000.0,1269000000.0,0.3124076809,3.38,3.3,372700000,381600000,https://www.sec.gov/Archives/edgar/data/947484/000094748424000105/0000947484-24-000105-index.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748424000105/acgl-20240630.htm,10.898846257043198,3.404883284142742,4.072980949825597,4.043466595116716,10.609068956265093,55.44674000536624,53.501475717735445,55.44674000536624,7.410786155084518,37512255000.0,39219255000.0,7.390121158392436,9.234922451994091,24.71163043478261,24.892007299270077,1.815255504476168,1.815255504476168,9.655158788774004,32.25267680921053,25.836136363636363,26.02472130059721,0.0338289447008717,0.0401735379544631,0.1319622550205662,0.0416558466356068,1.403782894736842,0.0,39.22857142857143,1.1962174940898345,0.0002665795484702,0.007880220646178,0.0056622353520433,0.0,0.011074620025968,0.0072463768115942,0.0027080256031511,0.4074074074074074,0.0039389463318562,65.17490130104383,0.0209336971189248,0.0196014828544949,-96.98148645022806,18312000000.0,19940000000.0,-26488000000.0,19037000000.0,6016500000.0,4509000000.0,-3379000000.0,138.87740029542095,1112.5737265415548,0.0,0.6480536056158264,0.0808935155063977,0.0,0.0614081780788773,0.0295143547088811,2024-07-30,2.21,amc,3869913968.0,2025-04-25,2024-06-30,0.1628959276018099,97.23984126984126,1725559.2698412698
2024-03-31,ACGL,USD,947484,2024-05-09,2024-05-09 16:22:50,2024,Q1,3842000000.0,384000000.0,3458000000.0,0.9000520562,0,46000000.0,0.0,46000000.0,-1044000000.0,1044000000.0,-2772000000.0,8000000.0,34000000.0,21000000.0,1122000000.0,0.2920353982,1176000000.0,0.3060905778,-2828000000.0,1067000000.0,0.2777199375,101000000.0,1120000000.0,0.291514836,2.99,2.92,370900000,380500000,https://www.sec.gov/Archives/edgar/data/947484/000094748424000073/0000947484-24-000073-index.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748424000073/acgl-20240331.htm,10.358587220275007,3.019681854947425,4.216770018873012,4.176327851172823,11.628471286060932,52.18926934483688,50.09166891345376,52.18387705581019,7.444055001348072,34237779000.0,35364779000.0,7.642361383928572,8.911446902654868,21.89116304347825,22.10314977404777,1.7689371738568844,1.7689371738568844,9.204783706402916,31.51941087344029,22.611751278772378,22.830715945771463,0.0327124022852066,0.0452424206605224,0.1408938258847843,0.0519013360739979,1.0044563279857397,0.5815765998403681,34.588235294117645,1.3964285714285714,0.0002920750204036,0.0089285714285714,0.0119729307652264,0.0,0.0148072018575615,0.0095907928388746,0.0039042165538781,0.7142857142857143,0.0176991150442477,59.54427680298368,0.0340774665296347,0.0216366586817092,-75.29590186033971,-8912000000.0,18579000000.0,-20798000000.0,18894000000.0,5204500000.0,4112000000.0,-14153000000.0,135.04685059864653,1032.890625,-1583.9062499999998,0.6664353859496964,0.0871341048332198,-0.0568215448357502,0.0578661844484629,0.0404421677001887,2024-04-29,2.1,amc,3765968245.0,2025-04-25,2024-03-31,0.1666666666666667,84.54737704918033,1753000.426229508
2023-12-31,ACGL,USD,947484,2024-02-23,2024-02-23 15:13:41,2023,Q4,3873000000.0,383000000.0,3490000000.0,0.9011102505,0,31000000.0,0.0,31000000.0,-1057000000.0,1057000000.0,-2694000000.0,0.0,34000000.0,24000000.0,1144000000.0,0.2953782597,172000000.0,0.0444100181,-2691000000.0,1086000000.0,0.2804027885,-1076000000.0,2334000000.0,0.6026336174,6.29,6.12,369600000,379800000,https://www.sec.gov/Archives/edgar/data/947484/000094748424000020/0000947484-24-000020-index.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748424000020/acgl-20231231.htm,10.478896103896105,6.314935064935065,4.50487012987013,4.464285714285714,10.99025974025974,49.66179653679654,47.68398268398269,49.65638528138528,7.889610389610389,27450192000.0,28834192000.0,2.9402519280205657,7.087578621223858,16.4866018018018,16.63648,1.4956787446194082,1.4956787446194082,7.444924348050606,25.20471328671329,17.317833033033033,17.47526787878788,0.0850267276819047,0.0601088691838658,0.1570315479758077,0.0580206152359478,1.2097902097902098,0.5401128251210624,5.0588235294117645,0.7133676092544987,0.0003642961768719,0.0042844901456726,0.0080041311644719,0.0,0.0147165405057175,0.009009009009009,0.0038729666924864,0.625,0.0051639555899819,83.99689931036306,0.0115521138376407,0.0476900758055617,-93.46861471861472,-9212000000.0,17624000000.0,-20498000000.0,-8356000000.0,9103500000.0,3919500000.0,-16149500000.0,107.91634391944228,896.9451697127937,-5063.498694516971,0.8339793281653747,0.1003405816085931,-0.0177742713940969,0.1271726693183675,0.0405844155844155,2024-02-14,1.94,amc,3187120000.0,2025-04-25,2023-12-31,0.2835051546391754,81.72428571428571,1957313.650793651
2023-09-30,ACGL,USD,947484,2023-11-09,2023-11-09 15:07:17,2023,Q3,3292000000.0,334000000.0,2958000000.0,0.8985419198,0,20000000.0,0.0,20000000.0,-2518000000.0,-2498000000.0,2551000000.0,34000000.0,34000000.0,24000000.0,740000000.0,0.2247873633,794000000.0,0.2411907655,687000000.0,741000000.0,0.22509113,72000000.0,723000000.0,0.2196233293,1.93,1.88,369200000,379400000,https://www.sec.gov/Archives/edgar/data/947484/000094748423000102/0000947484-23-000102-index.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748423000102/acgl-20230930.htm,8.916576381365113,1.9582881906825569,5.335861321776815,5.306067172264355,67.78439869989165,41.28114842903575,39.2795232936078,41.275731310942575,7.475622968580715,29428932000.0,31295932000.0,10.175979253112033,8.939529769137302,14.938544162436548,15.022425727411942,1.931158999934379,1.931158999934379,9.506662211421627,42.2918,15.886259898477157,15.975462991322102,0.0245676601515814,0.0665671455559447,0.1788831288142266,0.0493599145345573,2.522972972972973,9.59448035803083,23.352941176470587,2.7247579529737207,0.0003398016618475,0.0138312586445366,0.0060753341433778,0.0,0.0133811360385318,0.0055837563451776,0.0033414337788578,0.4583333333333333,0.0045565006075334,42.64586717057252,0.0109245969464041,0.0132689766554103,-27.52776273022752,34567000000.0,14502000000.0,-1397000000.0,67810000000.0,13668500000.0,3988500000.0,-10888500000.0,370.7989064398542,1083.7724550898204,-2896.9760479041915,0.2427191624271916,0.0830432620586772,-0.0310668774997674,0.0474440580090557,0.0297941495124593,2023-10-30,1.61,amc,3248588969.0,2025-04-25,2023-09-30,0.4347826086956521,77.8236507936508,1842828.492063492
2023-06-30,ACGL,USD,947484,2023-08-02,2023-08-02 15:00:46,2023,Q2,3088000000.0,337000000.0,2751000000.0,0.8908678756,0,21000000.0,0.0,21000000.0,-2380000000.0,-2359000000.0,2374000000.0,33000000.0,33000000.0,24000000.0,702000000.0,0.2273316062,729000000.0,0.2360751295,692000000.0,714000000.0,0.2312176166,67000000.0,671000000.0,0.2172927461,1.79,1.75,368700000,378400000,https://www.sec.gov/Archives/edgar/data/947484/000094748423000078/0000947484-23-000078-index.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748423000078/acgl-20230630.htm,8.375372931922973,1.81990778410632,3.1217792243016,3.081095741795498,65.20206129644697,39.71521562245728,37.61323569297531,39.70979115812314,7.48304854895579,27597195000.0,29419195000.0,10.28211438152012,8.93691547927461,23.976711555169416,24.293305457746477,1.884925551533365,1.884925551533365,9.526941386010362,41.90768518518518,25.559682884448303,25.897178697183097,0.0243140652519214,0.0411636037648029,0.1861894679325182,0.050616458704694,2.5954415954415957,9.561061946902656,22.09090909090909,1.7204783258594918,0.0003623556669436,0.014903129657228,0.006800518134715,0.0,0.0143902257872846,0.0130321459600347,0.0048575129533678,0.625,0.0055051813471502,40.32410638517429,0.0103659741863698,0.0126410580056894,-28.086520206129645,33859000000.0,13868000000.0,-1399000000.0,65821000000.0,13324500000.0,3763000000.0,-10402000000.0,401.4443005181347,1056.231454005935,-2944.629080118694,0.2241905038478292,0.0852085967130214,-0.030564121168148,0.0458302028549962,0.0406834825061025,2023-07-26,1.58,amc,3022160000.0,2025-04-25,2023-06-30,0.2151898734177214,72.30693548387096,1881324.1290322584
2023-03-31,ACGL,USD,947484,2023-05-04,2023-05-04 12:04:41,2023,Q1,3102000000.0,342000000.0,2760000000.0,0.8897485493,0,30000000.0,0.0,30000000.0,-905000000.0,2787000000.0,2360000000.0,32000000.0,32000000.0,23000000.0,749000000.0,0.2414571244,811000000.0,0.2614442295,703000000.0,742000000.0,0.2392005158,64000000.0,715000000.0,0.2304964539,1.92,1.87,367300000,377600000,https://www.sec.gov/Archives/edgar/data/947484/000094748423000057/0000947484-23-000057-index.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748423000057/acgl-20230331.htm,8.445412469371087,1.9466376259188671,2.621835012251565,2.591886741083583,65.08848352845085,38.113258916417095,35.97604138306561,38.08331064524912,7.508848352845086,24928651000.0,26851651000.0,8.71631153846154,8.03631560283688,25.88644963655244,26.185557773109245,1.7821454818415787,1.7821454818415787,8.656238233397808,35.85000133511348,27.883334371754938,28.20551575630252,0.028681856872239,0.0381889898494708,0.194881326851587,0.0533432479502181,2.567423230974633,10.300196023522822,25.34375,1.343096234309623,0.0004011448513599,0.0139860139860139,0.0096711798839458,0.0,0.0153611333972565,0.0114226375908618,0.0035460992907801,0.4782608695652174,0.0132172791747259,40.841451026940334,0.0119502752337523,0.0142096267737191,-22.95058535257283,33211000000.0,13214000000.0,-322000000.0,33996000000.0,6437500000.0,3417500000.0,-4889000000.0,373.54932301740814,939.7368421052632,-2573.157894736842,0.2409320388349514,0.0957714925791095,-0.0349764778073225,0.0511152416356877,0.0299482711679825,2023-04-26,1.45,amc,3125130000.0,2025-04-25,2023-03-31,0.1931034482758621,65.71193548387096,2106841.419354839
2022-12-31,ACGL,USD,947484,2023-02-24,2023-02-24 13:13:42,2022,Q4,2950310000.0,1208271000.0,1742039000.0,0.5904596466,0,17820000.0,0.0,17820000.0,835608000.0,853428000.0,2062829000.0,5877000.0,31700000.0,25722000.0,904552000.0,0.3065955781,952307000.0,0.3227820127,927832000.0,887481000.0,0.3008094065,60919000.0,859688000.0,0.2913890405,2.32,2.32,365902520,365902520,https://www.sec.gov/Archives/edgar/data/947484/000094748423000015/0000947484-23-000015-index.htm,https://www.sec.gov/Archives/edgar/data/947484/000094748423000015/acgl-20221231.htm,8.063103801526156,2.349500079966653,2.682435748187796,2.6461173320150952,59.7688395258934,35.31241599538588,33.11431962808018,35.28282068131151,7.535094319656503,22971360205.6,24841652205.6,6.680144484278018,7.78608356599815,23.40410205255168,23.725327384553736,1.779336197835597,1.779336197835597,8.420014237690278,27.46293436485686,25.30962721276401,25.657006205814582,0.0374243402352127,0.0421490495701671,0.2111072493548255,0.056790606525578,2.0676445356375317,0.0057216773905351,30.041230283911677,1.1376027482996982,0.0004433346527524,0.011846158141093,0.0060400432496924,0.0,0.0167593353410498,0.0135393424417479,0.0045042724323884,0.5166394526086618,0.0025756615406516,43.18775608056392,-0.3633594182618909,0.018219048621358,-36.075280377954215,-3245228000.0,12116613000.0,-35050930000.0,-2317856000.0,1789690000.0,3335840500.0,-18144111500.0,0.0,243.1242659966183,0.0,0.0,0.3701810661764705,0.0,0.0665904832606291,0.0363184161727008,2023-02-13,1.34,amc,2421761033.0,2025-04-25,2022-12-31,0.5970149253731343,55.82746031746032,3889463.476190476
