date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,AEP,USD,4904,2025-02-13,2025-02-13 10:25:44,2024,Q4,4696300000.0,1645200000.0,3051100000.0,0.6496816643,0,0.0,0.0,0.0,1955500000.0,1955500000.0,3600700000.0,0.0,462800000.0,931100000.0,2091600000.0,0.4453718885,1095600000.0,0.2332900368,-397900000.0,697700000.0,0.148563763,58500000.0,664100000.0,0.1414091945,1.25,1.25,530092672,531337703,https://www.sec.gov/Archives/edgar/data/4904/000000490425000027/0000004904-25-000027-index.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490425000027/aep-20241231.htm,8.859394306058244,1.2527998123316824,3.258675494386008,-1.4642722697362622,0.7891073053732008,50.90826835651861,50.809229070044566,50.82847098855952,87.20286553970699,48890447138.560005,94450347138.56,18.40477606480951,10.41041823106701,28.302910234201693,-62.98691978685906,1.814534220806271,1.814534220806271,20.11165111653003,45.156983715127176,54.67775103540581,-121.6830032704973,0.0135834306877554,-0.015876312151537,1.6984538186892717,0.4439628242690002,21.78231975521132,0.44497398015266,2.3673292999135698,2.601114290016564,0.0101553581335198,0.7476283692215028,0.0,0.0,0.0005093230369234,1.4493458376751187,0.5331005259459575,2.68886263559231,0.0,37.85172024625049,0.0101725355631158,0.0064459769668674,-137.35989732753748,-7220500000.0,26933600000.0,-70303100000.0,75827700000.0,2633600000.0,2451600000.0,1700400000.0,51.16985712156379,144.28884026258206,93.82385120350108,1.7588479832216022,0.6237488626023658,0.9592443589295084,0.0246475998188822,4.72294776412227,2025-02-13,1.25,bmo,4906272639.0,2025-05-11,2024-12-31,-0.008,96.77640625,2736490.625
2024-09-30,AEP,USD,4904,2024-11-06,2024-11-06 07:05:51,2024,Q3,5420100000.0,2002900000.0,3417200000.0,0.6304680725,0,0.0,0.0,0.0,2065700000.0,2065700000.0,4068600000.0,0.0,498800000.0,852700000.0,2333400000.0,0.4305086622,1351500000.0,0.249349643,-369600000.0,981900000.0,0.1811590192,37500000.0,959600000.0,0.177044704,1.8,1.8,532208876,533600842,https://www.sec.gov/Archives/edgar/data/4904/000000490424000100/0000004904-24-000100-index.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490424000100/aep-20240930.htm,10.18415934874412,1.80305147710464,4.08241970019305,0.5520388953452929,0.8913793463301803,50.214495107368336,50.11584962743087,50.01307043214364,84.02715929149592,54604630677.6,98580030677.6,14.225883357023758,10.0744692307522,25.13215385354627,185.8564692906739,2.05146372965053,2.05146372965053,18.187861972583537,42.24737750818548,45.37213176121876,335.5344815439074,0.0175736011413707,0.005380496055997,1.6613643706748218,0.4416859520311309,18.846061541098827,0.565460761110485,2.709502806736167,1.5592794603129037,0.0086329674635704,0.4912463526469362,0.0,0.0,0.0005243754688166,0.8647765453122842,0.3466541207726795,1.9890959136142283,0.0,45.044013604888015,0.0138205456370954,0.0095896133175305,-131.77049117835458,-4626800000.0,26672100000.0,-67373700000.0,76072400000.0,2624450000.0,2298550000.0,1724350000.0,43.12448109813472,101.80438364371662,75.74666733236806,2.086981633360286,0.8840483757062146,1.1881710861956458,0.0360516053408672,3.530380804847757,2024-11-06,1.8,bmo,5434381844.0,2025-04-25,2024-09-30,0.0277777777777778,97.5925,2773393.578125
2024-06-30,AEP,USD,4904,2024-07-30,2024-07-30 07:18:58,2024,Q2,4579200000.0,1720000000.0,2859200000.0,0.6243885395,0,0.0,0.0,0.0,2175300000.0,2175300000.0,3895300000.0,0.0,465600000.0,821900000.0,1611500000.0,0.3519173655,683900000.0,0.1493492313,-359900000.0,324000000.0,0.070754717,6700000.0,340300000.0,0.0743142907,0.64,0.64,528898816,530140990,https://www.sec.gov/Archives/edgar/data/4904/000000490424000081/0000004904-24-000081-index.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490424000081/aep-20240630.htm,8.657988752238008,0.6434122930613632,2.764233830313585,-0.2471172104117548,0.8954453775899548,49.59852282974292,49.4992599869991,49.41436662244296,84.71488051128479,46162288660.48,90254388660.48,33.91293613023802,10.080863177078966,31.574752845745557,-353.19272119724565,1.766287943481588,1.766287943481588,19.70964112955975,56.00644657802049,61.73350797570452,-690.5462024520276,0.0073718182064775,-0.0028313154263491,1.6965624904343568,0.4450797309044333,27.360905988209744,0.6546291831895067,1.468857388316151,4.296209227152512,0.0101619744950297,1.3784895680282103,0.0,0.0,0.0005269888559423,1.0893980848153215,0.3478118448637317,1.9378269862513688,0.0,26.74622863360777,0.0071775689827181,0.0034176926607485,-132.43752468525096,-3509900000.0,26180100000.0,-66737200000.0,75984100000.0,2509950000.0,2161200000.0,1766650000.0,52.1187106918239,121.9970930232558,92.25,1.7268270608643186,0.7377224962470512,0.975609756097561,0.0130207536196394,3.01135104072534,2024-07-30,1.23,bmo,4739006746.0,2025-04-25,2024-06-30,0.016260162601626,87.47888888888889,2776025.0
2024-03-31,AEP,USD,4904,2024-04-30,2024-04-30 07:07:56,2024,Q1,5025700000.0,1893300000.0,3132400000.0,0.6232763595,0,0.0,0.0,0.0,1959800000.0,1959800000.0,3853100000.0,0.0,435600000.0,787100000.0,2062000000.0,0.4102911037,1172600000.0,0.2333207314,-333300000.0,839300000.0,0.1670016117,-141900000.0,1003100000.0,0.1995940864,1.91,1.9,526552036,527596395,https://www.sec.gov/Archives/edgar/data/4904/000000490424000046/0000004904-24-000046-index.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490424000046/aep-20240331.htm,9.544545755018218,1.905034890036965,2.7389505716392293,-0.6707789085445679,0.8502483503833608,49.08099909046786,48.981293845001865,49.00427353014736,84.750408219863,44525240164.16,88484440164.16,11.096909621214236,8.85951015065762,30.873138374816257,-126.06240137078144,1.7255637908391563,1.7255637908391563,17.606391182155722,42.91194964314258,61.353792930356406,-250.52219752027185,0.0225287948206831,-0.0079325793347276,1.712567772339197,0.4520955633354681,21.318719689621727,0.5363357966735738,2.691919191919192,1.4340260515064134,0.0104861871216996,0.465457083042568,0.0,0.0,0.0005371140707517,1.244903619470254,0.3572437670374276,2.2810316351162494,0.0,45.83103908713533,0.0149198025267425,0.0102679745854577,-130.6461095898222,-5057000000.0,25791200000.0,-66051300000.0,73394500000.0,2383400000.0,2011700000.0,1824900000.0,42.407823785741286,94.63951830137854,84.15306607510695,2.1222499049871204,0.950976945100206,1.0694797491950516,0.0388748725938155,3.409729480183797,2024-04-30,1.25,bmo,5020754640.0,2025-04-25,2024-03-31,0.016,81.29377049180329,4070373.8852459015
2023-12-31,AEP,USD,4904,2024-02-26,2024-02-26 16:44:18,2023,Q4,4577200000.0,1984000000.0,2593200000.0,0.5665472341,0,0.0,0.0,0.0,1969800000.0,1969800000.0,3953800000.0,0.0,460900000.0,877600000.0,1630100000.0,0.3561347549,623400000.0,0.1361968015,-331800000.0,291600000.0,0.0637070698,-48600000.0,336200000.0,0.0734510181,0.64,0.64,522727859,523901327,https://www.sec.gov/Archives/edgar/data/4904/000000490424000020/0000004904-24-000020-index.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490424000020/aep-20231231.htm,8.756372787852502,0.6431644960403765,2.556779741100426,-0.654260135769806,1.041459701500241,48.37297183351385,48.27253716354919,48.297980613273566,84.30658370553769,42455956707.98,85734356707.98,31.57046156155562,9.275530173027176,31.766522041137296,-124.14022429233916,1.6816438072294595,1.6816438072294595,18.730742966874946,52.59453819273664,64.14841504525252,-250.6852535321053,0.0079187945831122,-0.0080554067442724,1.7272950524226929,0.4510415373795043,26.549536838230782,0.5250612935529542,1.3525710566283358,3.956483126110125,0.0109902128271272,1.3878643664485426,0.0,0.0,0.0005430060816681,1.2558922558922558,0.3667089050074281,1.9126025524156791,0.0111203355763348,26.437280365429785,0.0080331975506092,0.0034791967422631,-130.3066668960531,-5501500000.0,25233400000.0,-65316000000.0,71864600000.0,2443150000.0,2145550000.0,1799750000.0,47.16486061347549,92.20010080645162,85.25957661290323,1.908200275149039,0.9761377613776138,1.0555998935887203,0.0133165918714128,3.211039876870232,2024-02-26,1.27,bmo,5062240000.0,2025-04-25,2023-12-31,-0.031496062992126,77.62238095238095,3700016.349206349
2023-09-30,AEP,USD,4904,2023-11-02,2023-11-02 07:14:40,2023,Q3,5341700000.0,2082300000.0,3259400000.0,0.6101802797,0,0.0,0.0,0.0,1906100000.0,1906100000.0,3988400000.0,0.0,470300000.0,792300000.0,2263800000.0,0.4237976674,1353300000.0,0.253346313,-352100000.0,1001200000.0,0.1874309677,64200000.0,953700000.0,0.1785386675,1.83,1.83,520459880,521444125,https://www.sec.gov/Archives/edgar/data/4904/000000490423000121/0000004904-23-000121-index.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490423000121/aep-20230930.htm,10.263423186432735,1.8324178993393303,3.4471437068309663,0.1723475784531172,1.084233428328808,48.7061557943717,48.60528346584563,48.62949282469189,83.23811625979701,39148992173.6,81647492173.6,10.26239702568942,7.328938759870453,21.820964368541333,436.4436139754738,1.5467979538911958,1.5467979538911958,15.284926554018384,36.06656602774097,45.50888588908088,910.2284523255296,0.0243607803687759,0.0022912467223227,1.6930979031754625,0.4504760022538622,18.773080660835763,0.5973169239499561,2.8775249840527324,1.8721694667640616,0.0109887886281298,0.4510852469329978,0.0,0.0,0.0005519019065319,0.9500027869126582,0.3190744519534979,2.151205351508267,0.0,44.77683490907521,0.0141559583998971,0.0100312286019915,-127.74471684541756,-4541500000.0,25297100000.0,-63039400000.0,71951200000.0,2412800000.0,2346250000.0,1700900000.0,41.9124997659921,97.61993948998705,74.34087307304422,2.147330760572439,0.9219427964225626,1.210639534883721,0.0376812052296155,3.274796128377849,2023-11-02,1.7,bmo,5382580000.0,2025-04-25,2023-09-30,0.0411764705882353,81.36984126984127,3009848.333333333
2023-06-30,AEP,USD,4904,2023-07-27,2023-07-27 07:10:45,2023,Q2,4372500000.0,1764600000.0,2607900000.0,0.596432247,0,0.0,0.0,0.0,1733200000.0,1733200000.0,3497800000.0,0.0,460000000.0,741600000.0,1726900000.0,0.3949456832,874700000.0,0.2000457404,-349400000.0,525300000.0,0.1201372213,28600000.0,521200000.0,0.1191995426,1.01,1.01,514879144,516242919,https://www.sec.gov/Archives/edgar/data/4904/000000490423000104/0000004904-23-000104-index.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490423000104/aep-20230630.htm,8.492284162125626,1.0122763877186682,2.260336262522997,-1.685832510628941,0.985473981443692,46.8529368126824,46.75097113663629,46.42137922758821,87.6324095193881,43352823924.8,87708023924.8,20.79471600383729,9.914882544265296,37.25109462519333,-49.94564968294931,1.8138194383927304,1.8138194383927304,20.05901061744997,50.7892894347096,75.363485070287,-101.0461105124424,0.0120222848897704,-0.0200217637841916,1.868513978260688,0.4651991987675269,25.68486884011813,0.6061083431948203,1.9015217391304349,2.254989343150552,0.0099601354861912,0.828472755180353,0.0,0.0,0.000546863037371,1.745832617288194,0.4646769582618639,2.73975188781014,0.0,32.5162034490803,0.0091795946636389,0.0054320184763667,-133.57833736609848,-5225800000.0,24071100000.0,-63837200000.0,70142200000.0,2301250000.0,2351600000.0,1569500000.0,48.123499142367066,124.13634818089083,85.776946616797,1.8701881950384944,0.7250092444225318,1.0492329646806993,0.0218062540269607,3.946168773151938,2023-07-27,1.12,bmo,4699560000.0,2025-04-25,2023-06-30,0.0089285714285712,88.32499999999999,2789252.2580645164
2023-03-31,AEP,USD,4904,2023-05-04,2023-05-04 07:08:19,2023,Q1,4690900000.0,2023700000.0,2667200000.0,0.5685902492,0,0.0,0.0,0.0,1962400000.0,1962400000.0,3986100000.0,0.0,415700000.0,775500000.0,1581800000.0,0.3372060799,704800000.0,0.1502483532,-314200000.0,390600000.0,0.0832676032,10400000.0,397000000.0,0.084631947,0.77,0.77,514176648,515598090,https://www.sec.gov/Archives/edgar/data/4904/000000490423000072/0000004904-23-000072-index.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490423000072/aep-20230331.htm,9.123129216867897,0.7721081880015679,1.3960182804723562,-2.672233376106182,1.0465274961300848,46.61394112943068,46.51183614235239,46.16740198594161,85.25144066830511,46784933201.52,89860033201.51999,29.46154483722922,9.973551600230232,65.17822959253274,-34.05016972454148,1.970871136038958,1.970871136038958,19.15624575273828,56.80871994027057,125.18812092716632,-65.40031528494904,0.0084856378503304,-0.0293684292351487,1.829060333133936,0.4593690718900864,27.231698065495006,0.6178407029164059,1.6954534520086602,1.792707292707293,0.0092294670623997,1.0876574307304785,0.0,0.0,0.0005554503432683,2.914182223460574,0.4459272207891875,2.697356544165055,0.0,28.32031346176046,0.0077483143601978,0.0042025969296694,-131.44320198687825,-4823500000.0,23915300000.0,-62751900000.0,69207500000.0,2441400000.0,2441150000.0,1379650000.0,43.44688652497389,100.9225675742452,64.80604832732124,2.071494811216604,0.8917727933724056,1.3887592643425748,0.0167240987100959,4.068251656578538,2023-05-04,1.14,bmo,4706460000.0,2025-04-25,2023-03-31,-0.026315789473684,91.4748387096774,2938731.6129032257
2022-12-31,AEP,USD,4904,2023-02-23,2023-02-23 08:24:42,2022,Q4,4881100000.0,2260700000.0,2620400000.0,0.5368462027,0,0.0,0.0,0.0,2060300000.0,2060300000.0,4321000000.0,0.0,394400000.0,868900000.0,1531700000.0,0.3138022167,560100000.0,0.1147487247,-291700000.0,268400000.0,0.0549876053,-85300000.0,384300000.0,0.078732253,0.75,0.75,512786071,514400302,https://www.sec.gov/Archives/edgar/data/4904/000000490423000011/0000004904-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490423000011/aep-20221231.htm,9.518784296307455,0.7494353332386051,1.0819326642747282,-2.6857203771433955,1.3590462756543946,47.04183940284915,46.93945752672365,46.595259409844616,79.55500803765007,48689037441.450005,88579937441.45001,31.67384689139344,9.975013304675176,87.75962047846072,-35.3536432191766,2.0377609482723265,2.0377609482723265,18.14753589179693,57.831127140726,159.6610263905011,-64.31886250468342,0.0078929471641769,-0.0282856279846592,1.6908560522989613,0.4322302272187475,26.04354638636809,0.6465601274077736,1.420131845841785,1.4470526864893063,0.0088870107674717,1.1259432734842572,0.0,0.0,0.0005616811491247,3.482335976928623,0.395812419331708,2.22350097824836,0.0129683882731351,28.030394390215303,0.0086593821892053,0.0041138166648647,-128.77753264869787,-5148700000.0,24069900000.0,-59928300000.0,66831700000.0,2467400000.0,2426600000.0,1218050000.0,48.27743746286697,104.02530189764232,51.83748396514354,1.8642248787381128,0.8651741293532338,1.7361953766991782,0.0160839394979366,3.767653041418124,2023-02-23,0.99,bmo,3514136544.0,2025-04-25,2022-12-31,0.0606060606060606,91.03,3309322.365079365
2022-09-30,AEP,USD,4904,2022-10-27,2022-10-27 07:14:24,2022,Q3,5526100000.0,2410000000.0,3116100000.0,0.5638877328,0,0.0,0.0,0.0,2186000000.0,2186000000.0,4596000000.0,0.0,360700000.0,821800000.0,1839500000.0,0.3328749027,930100000.0,0.1683103816,-273100000.0,657000000.0,0.1188903567,-16100000.0,683700000.0,0.1237219739,1.33,1.33,513730196,515315994,https://www.sec.gov/Archives/edgar/data/4904/000000490422000093/0000004904-22-000093-index.htm,https://www.sec.gov/Archives/edgar/data/4904/000000490422000093/aep-20220930.htm,10.75681367968489,1.3308542213858887,3.391858243037752,0.2100324272159388,1.410078686517387,47.71434537205985,47.61215165168138,47.25865870652462,75.41857632989905,44411975444.200005,82273875444.20001,16.23956978360392,8.03676651602396,25.487503841721665,411.6031088433736,1.8292944058538112,1.8292944058538112,14.888235001936268,44.72621660462083,47.21599738548064,762.5011625968491,0.0153944964879802,0.0024295248954995,1.5810109480933512,0.4206504371535594,20.58271269366676,0.7874015748031497,2.5785971721652343,2.550124396312015,0.0092092278244608,0.5982155916337575,0.0,0.0,0.000575346248852,0.938077474892396,0.2957963120464704,1.989048430275006,0.0,37.61812956971411,0.0113968030913656,0.007496965357375,-124.01125239677366,-2516400000.0,24459800000.0,-57417100000.0,67969200000.0,2304300000.0,2219200000.0,1118150000.0,37.727330305278585,83.65892116182573,42.34854771784233,2.385538527951651,1.0757968038567984,2.125220458553792,0.0281610663063983,3.181825815821813,2022-10-27,1.56,bmo,4754886793.0,2025-04-25,2022-09-30,0.0384615384615384,98.86609375,2536275.9375
