date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,AKAM,USD,1086222,2025-02-24,2025-02-24 17:10:36,2024,Q4,1019939000.0,414356000.0,605583000.0,0.5937443318,120245000,260235000.0,22825000.0,283060000.0,54218000.0,457523000.0,871879000.0,22746000.0,12582000.0,167949000.0,338640000.0,0.3320198561,148060000.0,0.1451655442,10049000.0,158109000.0,0.1550180942,18204000.0,139905000.0,0.137169968,0.93,0.91,150240000,153091000,https://www.sec.gov/Archives/edgar/data/1086222/000108622225000028/0001086222-25-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622225000028/akam-20241231.htm,6.78873136315229,0.9312100638977636,2.288258785942492,1.2042665069222578,10.626883652822151,32.47042731629393,6.653986954206602,32.47042731629393,30.931755857294995,14370456000.0,18487354000.0,25.67895357564061,14.08952496178693,41.80034207127649,79.42594056232002,2.945757352321694,2.945757352321694,18.12594086509095,54.592942357665954,53.77544882311192,102.18015906792166,0.0097355992043676,0.0125903450802117,0.9500339971018932,0.4469766708442696,12.15715213796362,1.2327588803833744,11.76760451438563,2.457296022300847,0.0,0.0,0.2551476117689391,0.1178943054437569,0.3740710218217467,0.4737192688517342,0.1596752354797689,0.9696931806679407,0.0971087486604591,26.08309309993467,0.013526419044878,0.0215566022400499,-22.284875865282213,486774000.0,999695000.0,-2912331000.0,7367245000.0,712090000.0,118538000.0,0.0,64.21151657108905,28.33367925165799,0.0,1.4016177285014024,3.176431807554026,0.0,0.0286787129355231,1.0839922790202343,2025-02-20,1.52,amc,1015369572.0,2025-05-11,2024-12-31,0.0921052631578946,98.08359375,1737681.875
2024-09-30,AKAM,USD,1086222,2024-11-08,2024-11-08 16:33:53,2024,Q3,1004679000.0,408806000.0,595873000.0,0.5930978949,120347000,255174000.0,20329000.0,275503000.0,129386000.0,525236000.0,934042000.0,23065000.0,4783000.0,165729000.0,244318000.0,0.24318016,70637000.0,0.0703080287,3169000.0,73806000.0,0.07346227,15899000.0,57907000.0,0.057637315,0.38,0.37,151776000,154765000,https://www.sec.gov/Archives/edgar/data/1086222/000108622224000216/0001086222-24-000216-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622224000216/akam-20240930.htm,6.619485294117647,0.3815293590554501,2.58632458359688,1.366652171621337,11.195478863588448,31.58693074003795,6.941413662239089,31.58693074003795,30.67038925785368,15321787200.0,19402284200.0,66.1482515067263,15.250430435990005,39.03222381299326,73.86663709774618,3.1959420442215056,3.1959420442215056,19.31192370896575,79.41405954534663,49.42728217617478,93.53879329878268,0.0037793893913368,0.0135379115564273,0.969985845213467,0.4563334107587128,16.70158154536301,1.3284919035230554,14.768346226217854,6.77883502858031,0.0,0.0,0.2539856013711842,0.119786518878169,0.367068719292962,0.4715852061690214,0.1842548714564552,1.1169861641595618,0.1021291377644003,16.466790288181556,0.0057684775252012,0.0089780257211824,-20.91730082489985,651407000.0,1053540000.0,-2761889000.0,7346936000.0,697875500.0,115568000.0,0.0,62.39243579292491,23.474728844488585,0.0,1.442482551870586,3.8339100995038873,0.0,0.012078709457258,1.2196724119755429,2024-11-07,1.59,amc,999306772.0,2025-04-22,2024-09-30,0.0,97.4675,1447004.21875
2024-06-30,AKAM,USD,1086222,2024-08-08,2024-08-08 16:51:47,2024,Q2,979580000.0,402888000.0,576692000.0,0.5887135303,113352000,247841000.0,25609000.0,273450000.0,41904000.0,428706000.0,831594000.0,26628000.0,4880000.0,158549000.0,330265000.0,0.3371495947,147986000.0,0.1510708671,18850000.0,166836000.0,0.170313808,35148000.0,131688000.0,0.1344331244,0.86,0.86,152265000,153588000,https://www.sec.gov/Archives/edgar/data/1086222/000108622224000199/0001086222-24-000199-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622224000199/akam-20240630.htm,6.433389157061701,0.8648606048665156,2.8303484057399926,1.7563195744261648,10.75279282829278,31.22632252980002,6.405247430466621,31.22632252980002,30.344333891570617,13632285450.0,17799743450.0,25.87989309959905,13.916459554094612,31.63214811944413,50.975916515222906,2.8671323661170605,2.8671323661170605,18.17079100226628,53.89533692640758,41.3022543698647,66.55950973353376,0.0096600089899085,0.0196171068292881,0.9707286048513084,0.457545016957567,12.618527546061497,1.2935618713628207,30.325,3.272606488614046,0.0,0.0,0.2530074113395537,0.1157148982216868,0.3746586380097728,0.3794687711009994,0.1669460380979603,1.0314603056468348,0.1005185895996243,24.65044349083388,0.0122548068859593,0.0208758477721918,-20.826444028502937,571235000.0,975295000.0,-2815745000.0,7250149000.0,707948000.0,129592000.0,0.5,64.2451050450193,27.81326323941145,0.0,1.4008849380343165,3.2358662565156977,0.0,0.0276965244319486,1.0740288313138278,2024-08-08,1.53,amc,977665964.0,2025-04-22,2024-06-30,0.0326797385620915,96.69190476190477,1708096.2063492064
2024-03-31,AKAM,USD,1086222,2024-05-09,2024-05-09 16:46:48,2024,Q1,986970000.0,394743000.0,592227000.0,0.6000455941,116932000,252107000.0,16841000.0,268948000.0,39619000.0,425499000.0,820242000.0,27841000.0,6818000.0,156183000.0,351263000.0,0.355900382,166728000.0,0.1689291468,21534000.0,188262000.0,0.1907474391,12844000.0,175418000.0,0.1777338724,1.16,1.11,151628000,157466000,https://www.sec.gov/Archives/edgar/data/1086222/000108622224000148/0001086222-24-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622224000148/akam-20240331.htm,6.509153982114121,1.1568971430078878,2.320666367689345,1.1747434510776371,11.04471469649405,30.56010103674783,8.406613554224814,30.56010103674783,30.20402564170206,16577489240.0,20682730240.0,23.6256958236897,16.796345623473865,47.11146829298792,93.0671287417754,3.577540528041224,3.577540528041224,20.95578410691308,58.88103853807546,58.77812832856842,116.11422514652712,0.0105816989207709,0.0107449323248663,0.9868769836722476,0.4602595956401653,11.687086314243174,3.186171251690488,24.45409210912291,2.005940097367431,0.0,0.0,0.2554353222489032,0.1184757388775748,0.3380859708003719,0.4937904614667583,0.1760479041916167,1.1125026411325176,0.0944912206044763,28.204345508051308,0.0161958957122837,0.0266733895768839,-20.376661958873036,1768477000.0,1274678000.0,-2724424000.0,7938922000.0,720470000.0,140802000.0,1.0,65.34891638043709,30.705876988318984,2.2799644325548522e-07,1.3772225307616957,2.931034994839505,394743000.0,0.0378564567445881,1.1459229166117075,2024-05-09,1.61,amc,989030194.0,2025-04-22,2024-03-31,0.0186335403726706,115.24491803278688,1766432.491803279
2023-12-31,AKAM,USD,1086222,2023-12-31,2023-12-30 19:00:00,2023,Q4,995017000.0,393397000.0,601620000.0,0.6046328857,109202000,250438000.0,22124000.0,272562000.0,35070000.0,416834000.0,810231000.0,23981000.0,10745000.0,147634000.0,354620000.0,0.3563959209,184786000.0,0.1857113999,11455000.0,196241000.0,0.197223766,35076000.0,161165000.0,0.161972107,1.07,1.03,150979000,157024000,,,6.590433106590983,1.0674663363779069,2.5777955874658063,1.691003384576663,5.725557859039999,30.448969724266288,8.017949516157877,30.448969724266288,30.11494313778737,17868364650.0,21914875650.0,27.71750170632581,17.957848609621745,45.91132073290116,69.9880325961787,3.886831018314588,3.886831018314588,22.02462435315175,61.79819426428289,56.30850413548034,85.83768360320556,0.009019571917008,0.0142881570306435,0.9866926392518852,0.4581779845873303,11.410836952230555,2.158819335963198,17.19739413680782,2.4148729562870352,0.0,0.0,0.2516921821436216,0.1097488786623746,0.3420808427281635,0.3440118398840678,0.1345575000226126,0.9068845929799368,0.0925843478051128,27.042986679655,0.0163409487824992,0.0247435143175079,-25.79972379933633,968817000.0,1210542000.0,-3498027000.0,7090008000.0,718842000.0,145696500.0,0.5,65.5136344404166,33.61344900952473,2.287765285449559e-07,1.3737598405085172,2.677499710740708,393397000.0,0.0350575518989461,0.8867922028891435,2024-02-13,1.59,amc,998130000.0,2025-04-22,2023-12-31,0.0628930817610062,111.24555555555555,1387163.126984127
2023-09-30,AKAM,USD,1086222,2023-11-08,2023-11-08 16:06:42,2023,Q3,965484000.0,383075000.0,582409000.0,0.6032300898,105942000,241918000.0,20801000.0,262719000.0,37619000.0,406280000.0,789355000.0,11412000.0,3459000.0,148560000.0,331412000.0,0.3432599608,176129000.0,0.1824256021,3264000.0,179393000.0,0.1858062899,20326000.0,160542000.0,0.1662813677,1.06,1.04,151359000,154976000,https://www.sec.gov/Archives/edgar/data/1086222/000108622223000285/0001086222-23-000285-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622223000285/akam-20230930.htm,6.378768358670445,1.0606703268388402,2.3747249915763184,1.0690940082849385,6.205524613666845,28.56918980701511,6.712392391598781,28.56918980701511,29.7672685469645,16125787860.0,20167965860.0,25.11147839817617,16.702283890773955,44.86414232297266,99.65447301581416,3.729192207398171,3.729192207398171,20.888969532379612,60.85466386250347,56.11003310742385,124.63440713892854,0.009955606596948,0.0100346725012665,1.041136125862702,0.4698438377940173,12.19683656596623,2.3040120124714525,50.91905174906042,2.238890757558769,0.0,0.0,0.2505665552199725,0.1097294206843407,0.3452507428443571,0.5498030247387574,0.2046838684017549,1.3302302100161552,0.0901278529732237,26.11141642132557,0.0170089978515394,0.0255890109207003,-24.99742664790333,1056890000.0,1015981000.0,-3390503000.0,7035154000.0,705913500.0,169479500.0,0.5,66.4996830605168,33.940977615349475,0.0,1.3533899089127563,2.6516619827502663,0.0,0.0371263705412603,1.3056309832913802,2023-11-07,1.51,amc,943320000.0,2025-04-22,2023-09-30,0.0794701986754966,99.57698412698412,1692908.507936508
2023-06-30,AKAM,USD,1086222,2023-08-08,2023-08-08 16:34:13,2023,Q2,935721000.0,373275000.0,562446000.0,0.6010830151,99041000,242268000.0,26355000.0,268623000.0,44997000.0,412661000.0,785936000.0,4509000.0,1990000.0,139125000.0,291122000.0,0.3111205156,149785000.0,0.1600744239,222000.0,150007000.0,0.1603116741,21191000.0,128816000.0,0.1376649664,0.85,0.84,152064000,153454000,https://www.sec.gov/Archives/edgar/data/1086222/000108622223000248/0001086222-23-000248-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622223000248/akam-20230630.htm,6.153468276515151,0.8471170033670034,2.4089265046296298,1.2496185816498318,5.198857060185185,28.206327598905723,6.598820233585859,28.206327598905723,21.60272648358585,13665991680.0,16650386680.0,26.5223102720159,14.604771806980928,37.30707426203417,71.91794465903948,3.18616451166392,3.18616451166392,17.794178692152897,57.19384546684895,45.45423609992602,87.62346822999442,0.0094260265201624,0.0139047355252011,0.7654183201540066,0.3933645779727089,10.251355101984736,1.9964264719891631,75.26884422110552,2.843676251397342,0.0,0.0,0.2589105085810834,0.105844584015962,0.3936901245092688,0.4812549991673742,0.1883991061438185,1.2671266846361189,0.093450932489492,23.1865552316508,0.0166561057928739,0.0254564950562631,-18.034546306160564,857698000.0,1003443000.0,-2338326000.0,6774190000.0,702131000.0,198311000.0,0.5,67.17819734728621,46.89403254972875,2.411091018685956e-07,1.3397203788415697,1.919220743162993,373275000.0,0.0300328711845446,1.159307922979798,2023-08-08,1.41,amc,929690000.0,2025-04-22,2023-06-30,0.0567375886524823,85.65951612903227,1440836.4032258063
2023-03-31,AKAM,USD,1086222,2023-05-09,2023-05-09 16:50:20,2023,Q1,915698000.0,361316000.0,554382000.0,0.6054201276,91863000,233469000.0,19801000.0,253270000.0,82611000.0,427744000.0,789060000.0,5292000.0,2681000.0,135457000.0,265024000.0,0.289422932,126638000.0,0.1382966873,248000.0,126886000.0,0.138567519,29780000.0,97106000.0,0.1060458798,0.62,0.62,156622580,156135000,https://www.sec.gov/Archives/edgar/data/1086222/000108622223000187/0001086222-23-000187-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622223000187/akam-20230331.htm,5.846526088383936,0.6200000025539102,1.4908386772839524,0.0718542626484635,4.800795645174533,26.6330755118451,6.111819892125388,26.6330755118451,20.622269151740444,12263548014.0,15191980014.0,31.5725805151072,13.392568307455075,52.52077316819344,1089.705705882353,2.9399533660758013,2.9399533660758013,16.59060084656732,57.32303494777832,65.06229154728715,1349.918252532433,0.0079182631232938,0.0009176789610276,0.773667748572941,0.3943664519090204,11.049686066167592,2.03014040009423,47.23535994032078,2.4045785018433463,0.0,0.0,0.2549628807751027,0.1003201929020266,0.3927607491959572,0.9518027914466444,0.2427055644983389,1.6407051684298335,0.0675801410508704,19.275149932507787,0.0128329545642602,0.0195414148760343,-17.435010009412437,861458000.0,957249000.0,-2314281000.0,6580440000.0,692511500.0,173774500.0,0.0,69.37170333450548,50.34819936011691,0.0,1.2973589471491902,1.787551514132064,0.0,0.0232793243228017,1.4189844146354886,2023-05-09,1.32,amc,910520000.0,2025-04-22,2023-03-31,0.0606060606060604,80.96879032258065,1708904.9516129033
2022-12-31,AKAM,USD,1086222,2023-02-28,2023-02-28 16:10:11,2022,Q4,927779000.0,357968000.0,569811000.0,0.6141667358,105382000,-187459000.0,444061000.0,256602000.0,40352000.0,402336000.0,760304000.0,0.0,924000.0,148570000.0,317894000.0,0.3426397881,167475000.0,0.1805117382,925000.0,168400000.0,0.1815087429,-8418000.0,176818000.0,0.1905820244,1.11,1.12,158989574,157451000,https://www.sec.gov/Archives/edgar/data/1086222/000108622223000078/0001086222-23-000078-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622223000078/akam-20221231.htm,5.8354706957073805,1.1121358184153636,2.147927008094254,1.451101441406466,6.9521288232396925,27.42435802740122,7.262318974450488,27.42435802740122,19.97326566835131,13402821088.2,16035101088.2,18.95002359516565,14.446135435486251,39.24714372617117,58.09380212474535,3.073909694286048,3.073909694286048,17.283319721830306,50.441660076000176,46.95518301190637,69.50327722335399,0.0131925957107397,0.0172135402302071,0.7280919373412196,0.382327359876677,8.280370186288511,2.40522526219122,181.25,1.9313531427795816,0.0,0.0,-0.2020513505910351,0.1135852395883071,0.3860531830334561,0.324417712548829,0.1194120582595639,0.7456956316887663,0.062918000946346,26.196206678347448,0.0228948475014599,0.0346848453248685,-14.645567262165253,1150694000.0,1154633000.0,-1973651000.0,6709802000.0,650616500.0,132235500.0,0.0,65.88696230460056,36.56136861395432,0.0,1.3659758600483505,2.4616146334754503,0.0,0.0405528478480395,0.696825566687788,2023-02-14,1.27,amc,904753250.0,2025-04-22,2022-12-31,0.078740157480315,87.06063492063491,1535308.1587301588
2022-09-30,AKAM,USD,1086222,2022-11-08,2022-11-08 16:49:18,2022,Q3,881896000.0,346450000.0,535446000.0,0.6071532244,94047000,220104000.0,19806000.0,239910000.0,41051000.0,375008000.0,721458000.0,782000.0,1615000.0,150985000.0,310760000.0,0.352377151,160438000.0,0.1819239457,-2278000.0,158160000.0,0.1793408747,34466000.0,123694000.0,0.1402591689,0.68,0.68,158715000,159068000,https://www.sec.gov/Archives/edgar/data/1086222/000108622222000251/0001086222-22-000251-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622222000251/akam-20220930.htm,5.556475443404845,0.779346627602936,2.3267870081592794,1.7094036480483883,5.444652364300791,26.67160633840532,6.456762120782535,26.67160633840532,19.87805185395205,12747988799.999998,15443502799.999998,25.76517211829191,14.45520650961111,34.51970451886833,46.98714671148657,3.01144216740874,3.01144216740874,17.511705235084406,49.69591581928175,41.818765434773184,56.92240110870301,0.0097030207619887,0.0212824159368574,0.7449073794099194,0.3889461550350058,8.673941305187283,2.251724078399917,99.34241486068112,3.4145385283946963,0.0,0.0,0.2495804493953935,0.1066418262470858,0.3957386175465801,0.2653372904120272,0.1111106071464208,0.6489916216842733,0.057492039877718,21.62624782950705,0.0162324763823113,0.0252489809082317,-16.025685978010902,942562000.0,1024785000.0,-2178612000.0,6474793000.0,645226000.0,125350000.0,0.5,63.479627983344976,30.926800404098717,0.0,1.4177776848914918,2.910097353235168,0.0,0.0292200858738953,0.6173833601108906,2022-11-08,1.23,amc,876104533.0,2025-04-22,2022-09-30,0.024390243902439,91.03453125,1506540.96875
