date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,ALGN,USD,1097149,2025-04-30,2025-04-30 16:06:37,2025,Q1,979262000.0,299154000.0,680108000.0,0.6945107642,97201000,0.0,0.0,447629000.0,0.0,544830000.0,843984000.0,5316000.0,0.0,0.0,131100000.0,0.1338763273,131100000.0,0.1338763273,9342000.0,140442000.0,0.1434161644,47212000.0,93230000.0,0.0952043478,1.27,1.27,73562000,73615000,https://www.sec.gov/Archives/edgar/data/1097149/000109714925000028/0001097149-25-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714925000028/algn-q125earningspressrele.htm,13.3120632935483,1.2673663032543976,0.7160762350126424,0.7160762350126424,11.867703433838123,51.57884505587124,43.96131154672249,51.57884505587124,1.1757021288165086,11686059320.000002,10899534320.000002,31.33663874289392,11.933537010524256,221.84788746298128,221.84788746298128,3.079944884921709,3.079944884921709,11.130355635161992,83.13908710907705,206.91651454172683,206.91651454172683,0.0079778818031876,0.0045075930694488,0.0227942701613997,0.0141716452394139,-5.999427917620137,1.2064750058765974,0.0,0.0,0.0,0.0,0.0,0.0992594423147227,0.0918200110768464,0.0,0.0,0.0,0.0,38.35112813403662,0.0211651710919025,0.0168210536153718,-7.01176558549251,411081000.0,3233882000.0,93452000.0,2349468000.0,1045844500.0,117037500.0,250427000.0,97.6019083758994,37.72097314426683,74.17928558535068,0.9221131174339156,2.3859405656314303,1.21327671586222,0.0245714362522379,0.0,2025-04-30,1.98,amc,975811650.0,2025-05-11,2025-03-31,0.0757575757575757,196.33283333333333,1008344.1833333332
2024-12-31,ALGN,USD,1097149,2025-02-28,2025-02-28 07:03:45,2024,Q4,995219000.0,298278000.0,696941000.0,0.7002890821,94878000,0.0,0.0,424971000.0,32943000.0,552792000.0,829086000.0,8522000.0,0.0,38129000.0,178906000.0,0.1797654587,144149000.0,0.1448414872,-3372000.0,140777000.0,0.1414532882,36970000.0,103807000.0,0.1043056855,1.39,1.39,74419000,74465000,https://www.sec.gov/Archives/edgar/data/1097149/000109714925000012/0001097149-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714925000012/algn-20241231.htm,13.37318426745858,1.3948991520982543,3.8441527029387657,3.535615904540508,14.027157043228208,51.760773458391,44.42235181875596,51.760773458391,1.6027761727515824,15517105690.0,14592495690.0,37.37008508578419,15.591649365617014,54.24082134942218,58.97416620742863,4.02834011295475,4.02834011295475,14.66259756897728,81.56515538886343,51.008800711694015,55.46010212186974,0.0066898429432557,0.016956577164359,0.0309650738515336,0.0191930293180574,-5.16813298603736,1.2229676054340792,0.0,2.755864248075756,0.0,0.0,0.0,0.0953337908540733,0.0878766131368068,0.0802613273303085,0.0230713039039648,0.6021925568464948,0.0390346245399253,40.305382118320594,0.0254499241022122,0.018313015724492,-5.63431045835069,454414000.0,3305867000.0,129826000.0,2385042000.0,1094608500.0,108864000.0,254203000.0,93.11937372578298,32.79614990042846,76.72651016836642,0.966501345520548,2.7442245590792416,1.1729974399005847,0.0269489626776843,0.3085367983982585,2025-02-05,2.43,amc,999155080.0,2025-05-05,2024-12-31,0.0041152263374484,223.38875,786623.265625
2024-09-30,ALGN,USD,1097149,2024-11-05,2024-11-05 16:09:39,2024,Q3,977872000.0,296098000.0,681774000.0,0.6972016787,85272000,0.0,0.0,434138000.0,0.0,519410000.0,815508000.0,4003000.0,0.0,37793000.0,203723000.0,0.2083329925,162298000.0,0.1659705974,3632000.0,165930000.0,0.1696847849,49967000.0,115963000.0,0.1185870952,1.55,1.55,74736000,74757000,https://www.sec.gov/Archives/edgar/data/1097149/000109714924000060/0001097149-24-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714924000060/algn-20240930.htm,13.084350246199955,1.5516350888460717,3.527911582102333,3.12917469492614,13.941540890601583,52.77716227788482,44.91726878612717,52.77716227788482,1.7073833226289874,19006859520.0,18092527520.0,40.97612928261601,19.43696058379829,72.08797445213948,81.27382610257331,4.818750933612956,4.818750933612956,18.50193841320745,88.80944969394717,68.62015580553891,77.36411866827446,0.0061011131206592,0.0123040842046482,0.0323507981281599,0.0200445367825881,-4.488113762314515,1.2586599328459358,0.0,2.273673499305813,0.0,0.0,0.0,0.0872015969370224,0.0922744893397302,0.1130234921983448,0.0304743361094294,0.7885058079538539,0.0501486902171245,42.92487833182536,0.02617375240472,0.0200678127774806,-5.124672179404838,533774000.0,3356937000.0,175767000.0,2532697000.0,1184243000.0,107413500.0,256805500.0,106.7167891094131,33.141561239859776,77.24033934710805,0.843353709862148,2.7156234236712984,1.1651942593824154,0.0293997445462552,0.3987368871761935,2024-10-23,2.31,amc,990046373.0,2025-04-24,2024-09-30,0.0173160173160173,235.95453125,764488.859375
2024-06-30,ALGN,USD,1097149,2024-08-02,2024-08-02 16:07:30,2024,Q2,1028490000.0,300352000.0,728138000.0,0.7079679919,92193000,0.0,0.0,452262000.0,-5510000.0,549965000.0,850317000.0,3301000.0,0.0,36166000.0,214339000.0,0.2084016374,178173000.0,0.1732374646,-3180000.0,143866000.0,0.1398807961,47302000.0,96564000.0,0.0938890996,1.28,1.28,75184000,75223000,https://www.sec.gov/Archives/edgar/data/1097149/000109714924000049/0001097149-24-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714924000049/algn-20240630.htm,13.679639284954243,1.2843690146839752,2.125811342838902,1.4148888061289635,10.402625558629495,49.98281549265801,42.39878165567142,49.98281549265801,1.717000957650564,17941909760.0,17309571760.0,46.4508247379976,17.444904432712033,112.25831530342182,168.66343062880134,4.774440928303727,4.774440928303727,16.830082703769605,80.757919743957,108.30192495635906,162.71911935850795,0.005382035763845,0.0059289675080831,0.0343518255369742,0.0209620344756138,-2.9501770559720817,1.1824674761300455,0.0,1.6551406321196305,0.0,0.0,0.0,0.0896391797683983,0.0925898020305524,0.3344240960538582,0.0519693920213127,1.4779074268650114,0.0457252865851879,38.005506685509566,0.0288241062697386,0.0172802116487709,-7.738647850606512,372255000.0,3187710000.0,11956000.0,2342453000.0,1183317500.0,111515000.0,269784000.0,105.7943003821136,31.7004048582996,77.75636586405284,0.8507074547015588,2.839080459770115,1.157461501703328,0.025696211828496,0.7109225367099383,2024-07-24,2.34,amc,1037716210.0,2025-04-24,2024-06-30,0.02991452991453,278.39952380952377,763592.4603174604
2024-03-31,ALGN,USD,1097149,2024-05-03,2024-05-03 16:25:47,2024,Q1,997431000.0,294166000.0,703265000.0,0.7050763411,91859000,0.0,0.0,451822000.0,-5449000.0,549130000.0,843296000.0,4392000.0,4251000.0,32946000.0,187081000.0,0.187562849,154135000.0,0.1545319927,4251000.0,158386000.0,0.1587939416,53358000.0,105028000.0,0.1052985119,1.4,1.39,75175000,75322000,https://www.sec.gov/Archives/edgar/data/1097149/000109714924000033/0001097149-24-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714924000033/algn-20240331.htm,13.268121050881277,1.3971134020618556,0.381296973727968,0.2566677751912204,11.95751247090123,50.01476554705687,42.30397073495178,50.01476554705687,1.7381709344861989,24029688750.0,23290299750.0,57.19829176505313,24.09158001906899,838.3229399246442,1245.3842316662349,6.391112634512987,6.391112634512987,23.350286636368832,124.49313265377027,812.527900851242,1207.0639932625031,0.004370759900084,0.0008029650404855,0.0336225284984015,0.0205362332542853,-3.952239938850017,1.22553818731306,36.25852740531639,0.2729176981376395,0.0,0.0,0.0,0.0920955935799067,0.0941653938737642,0.326855986603405,0.0093931309534193,0.2843744395184374,0.0388879030228657,39.65118829306924,0.0245456756720174,0.0188354036292423,-6.500967741935484,456273000.0,3180201000.0,83420000.0,2436637000.0,1030538500.0,115181500.0,288489000.0,104.45712034215902,35.86893114771932,85.68916870066562,0.8615975598905717,2.509135263310531,1.0503077736043074,0.0279340188198496,0.1246291985367475,2024-04-24,1.97,amc,974530763.0,2025-04-24,2024-03-31,0.0862944162436549,293.3867213114754,783657.8032786886
2023-12-31,ALGN,USD,1097149,2024-02-28,2024-02-28 17:13:47,2023,Q4,956726000.0,283756000.0,672970000.0,0.7034093356,82160000,0.0,0.0,401637000.0,-3639000.0,487436000.0,771192000.0,4978000.0,1335000.0,33371000.0,206251000.0,0.2155800093,185534000.0,0.1939259516,1335000.0,172880000.0,0.1806995942,48866000.0,124014000.0,0.1296233195,1.64,1.64,75703000,75802000,https://www.sec.gov/Archives/edgar/data/1097149/000109714924000011/0001097149-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714924000011/algn-20231231.htm,12.637887534179622,1.638164934018467,0.6194998877191128,0.1781171155700566,12.849451144604574,47.9570030249792,41.33047567467604,47.9570030249792,1.2985350646605816,20742622000.0,19902152000.0,41.81508136178173,21.680838610009552,442.29225126871086,1538.3137051320084,5.713451273368409,5.713451273368409,20.80235302479498,96.49481457059602,424.3710179538573,1475.98279442302,0.0059787041387535,0.0006500624655841,0.0267093496220481,0.0159385207820605,-4.074986303096712,1.1838793082896972,138.97677902621723,0.3781669811472898,0.0,0.0,0.0,0.085876206980891,0.0824553159112191,0.7124824086314981,0.0349253600299354,0.9905727499110636,0.0405852877417358,42.04323150833099,0.032887069197723,0.022215856784091,-8.64730591918418,380007001.0,3128841000.0,-6770000.0,2290517001.0,903801000.0,106409000.0,296545500.0,84.98583711532875,35.880298566373924,94.16956822058388,1.0589999822896004,2.5083403314917128,0.955722763740224,0.0341590347746543,0.4413827721490562,2024-01-31,2.18,amc,932540000.0,2025-04-24,2023-12-31,0.1100917431192659,237.05817460317465,1240687.857142857
2023-09-30,ALGN,USD,1097149,2023-11-03,2023-11-03 16:03:19,2023,Q3,960214000.0,297138000.0,663076000.0,0.6905502315,88738000,0.0,0.0,407992000.0,-9757000.0,496730000.0,793868000.0,5522000.0,0.0,37030000.0,203376000.0,0.2118027856,166346000.0,0.1732384656,-4235000.0,162111000.0,0.1688279904,40684000.0,121427000.0,0.1264582687,1.59,1.58,76569000,76826000,https://www.sec.gov/Archives/edgar/data/1097149/000109714923000082/0001097149-23-000082-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714923000082/algn-20230930.htm,12.540505948882709,1.5858506706369415,3.7509435933602377,3.4683488095704527,16.766641852446813,49.65280988389557,43.29206336768144,49.65280988389557,1.286721780354974,23378047080.0,22237557080.0,48.13189628336367,24.34670508865732,81.39818485686231,88.03036163995662,6.149098121817024,6.149098121817024,23.15895944029144,109.34209090551492,77.42720235649674,83.73583067237017,0.0051940608890244,0.011359717049556,0.0259143799386932,0.0155926572405603,-5.607790496420424,1.2726433429141784,0.0,2.3652564915545966,0.0,0.0,0.0,0.0924148158639636,0.077080330601114,0.0753396516785861,0.0225345600043323,0.5843370240345666,0.0412428896058586,42.0914919158391,0.0294990125372128,0.0208225478284802,-5.310922174770469,578818000.0,3314830000.0,185119000.0,2453208000.0,906286500.0,104924000.0,304462500.0,84.74779580385206,30.19596954950225,89.71255780142559,1.06197452271566,2.980530227799344,1.003204035261269,0.0319387900573034,0.2825947837897843,2023-10-25,2.26,amc,996480000.0,2025-04-24,2023-09-30,-0.0530973451327432,345.546507936508,699677.0793650794
2023-06-30,ALGN,USD,1097149,2023-08-04,2023-08-04 16:07:39,2023,Q2,1002173000.0,288564000.0,713609000.0,0.7120616899,88485000,0.0,0.0,453193000.0,-4763000.0,541678000.0,830242000.0,4421000.0,0.0,43595000.0,171931000.0,0.171558204,171931000.0,0.171558204,-342000.0,171589000.0,0.1712169456,59775000.0,111814000.0,0.111571555,1.46,1.46,76524000,76689000,https://www.sec.gov/Archives/edgar/data/1097149/000109714923000059/0001097149-23-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714923000059/algn-20230630.htm,13.096192044325964,1.4611625111076263,3.290170404056244,2.525116303381945,13.169214886832888,47.5445742512153,40.95760807067064,47.5445742512153,1.367544822539334,27061947360.0,26214641360.0,60.50661670273848,27.003269255906915,107.4837946277857,140.04899478347272,7.438072704814693,7.438072704814693,26.157800459601287,152.47187162291848,104.11849120451828,135.6640792415335,0.0041317795246794,0.0071403582835141,0.0287634255659441,0.0170313529876069,-4.928174674724163,1.1700901490936444,0.0,2.2320656028368795,0.0,0.0,0.0,0.0882931390089335,0.082033834861788,0.2325271966859562,0.0584180575609201,15.87015451341827,0.0377779086046022,39.53584277342645,0.027552836792045,0.019823458568929,-8.6355097747112,358391000.0,3134240000.0,-40793000.0,2267375000.0,968746500.0,120358000.0,312310500.0,81.57828039669798,34.356156693142594,97.53898615211877,1.1032348262595018,2.619617811265944,0.9227079709403458,0.0307324765048301,0.7650541006742982,2023-07-26,2.02,amc,991600000.0,2025-04-24,2023-06-30,0.0990099009900991,318.43306451612904,710557.0483870967
2023-03-31,ALGN,USD,1097149,2023-05-05,2023-05-05 16:03:56,2023,Q1,943147000.0,282493000.0,660654000.0,0.7004782924,87447000,0.0,0.0,439691000.0,0.0,527138000.0,809631000.0,2337000.0,0.0,35820000.0,169336000.0,0.1795435918,133516000.0,0.1415643585,1108000.0,134624000.0,0.1427391488,46826000.0,87798000.0,0.0930904726,1.14,1.14,77015789,77111000,https://www.sec.gov/Archives/edgar/data/1097149/000109714923000046/0001097149-23-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714923000046/algn-20230331.htm,12.246151240494337,1.1400000070115492,2.59550674732424,1.762963176291033,11.47851643771383,45.186176045018506,38.59607281306954,45.186176045018506,1.6461299903062734,25734055736.46,25028450736.46,73.27631533878903,27.285307313133583,128.73786606198254,189.53317034277043,7.39473948109926,7.39473948109926,26.53716836978753,147.80348382186895,125.20798787593486,184.33633879669452,0.0034117436015189,0.00527612131529,0.0364299468197143,0.0214825242889541,-4.166893041054472,1.163266649971715,0.0,2.2767602906672133,0.0,0.0,0.0,0.0927183143242781,0.0860029606293235,0.3207634007854123,0.0679841000395484,1.790033500837521,0.0400096697545557,34.0444624378663,0.022186927735634,0.0162772580760584,-7.915337983488035,327284000.0,2972507000.0,-89517000.0,2215530000.0,944391500.0,129215500.0,325318500.0,98.20189217587502,41.59568555681026,99.36405503853192,0.9164792857434376,2.1636859399054846,0.9057601359475448,0.0252289551095401,0.8325435710332072,2023-04-26,1.69,amc,903200000.0,2025-04-24,2023-03-31,0.076923076923077,295.0270967741936,1062425.5
2022-12-31,ALGN,USD,1097149,2023-02-27,2023-02-27 16:05:31,2022,Q4,901515000.0,283814000.0,617701000.0,0.6851810563,83520000,0.0,0.0,410067000.0,-100000.0,493587000.0,777401000.0,2760000.0,2760000.0,41468000.0,156789000.0,0.1739172393,112661000.0,0.1249685252,2660000.0,115321000.0,0.1279191139,73546000.0,41775000.0,0.0463386633,0.54,0.54,77541000,77683000,https://www.sec.gov/Archives/edgar/data/1097149/000109714923000013/0001097149-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1097149/000109714923000013/algn-20221231.htm,11.626300924672108,0.5387472433938174,1.8661998168710747,1.1800595813827524,12.89103828942108,46.44456481087425,39.95417907945474,46.44456481087425,1.6722508092493005,16353396900.0,15538254900.0,97.8659299820467,18.13990549242109,113.0104065456405,178.71978951509786,4.540897322621078,4.540897322621078,17.23571421440575,99.10296576928228,107.37735493099852,169.81142585489,0.002554515141744,0.0055953512630761,0.0352389293149972,0.0213364375977122,-5.198974417848191,1.258843847016985,40.81920289855073,3.4639616995810893,0.0,0.0,0.0,0.0926440491838738,0.0846125562315871,0.3676670789941053,0.0590162115993632,1.5788942635842953,0.0384774518449498,23.72745937528689,0.0100802926972109,0.0076726328619003,-6.87204511161837,498504000.0,3098087000.0,77802000.0,2352510000.0,859657000.0,133394000.0,329827500.0,85.82402955025707,40.548739667528736,107.42133932786966,1.0486573570552005,2.219551106592633,0.8378223597203854,0.0115997909677405,0.6861402354883223,2023-02-01,1.52,amc,891812328.0,2025-04-24,2022-12-31,0.1381578947368421,200.1671428571429,1060582.6984126985
