date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-28,AMD,USD,2488,2025-02-05,2025-02-05 16:42:57,2024,Q4,7658000000.0,3776000000.0,3882000000.0,0.5069208671,1712000000,0.0,0.0,792000000.0,507000000.0,3011000000.0,6280000000.0,182000000.0,19000000.0,787000000.0,1694000000.0,0.2212065814,871000000.0,0.1137372682,18000000.0,889000000.0,0.1160877514,419000000.0,482000000.0,0.0629407156,0.3,0.29,1623000000,1634000000,https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/0000002488-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248825000012/amd-20241228.htm,4.718422674060382,0.2969808995686999,0.800369685767098,0.6722119531731362,3.162045594577942,35.47011706715958,8.502156500308072,35.47011706715958,1.3746149106592729,203183370000.0,201608370000.0,105.3855653526971,26.532171585270305,156.4152193995381,186.2359028414299,3.529449867982213,3.529449867982213,26.32650430921912,119.0132054309327,155.2027482678984,184.79227314390468,0.0023722413896373,0.0053695339338057,0.0384241245136186,0.0319533123392944,-0.9297520661157024,2.61626150254086,45.8421052631579,2.695020746887967,0.0,0.0,0.0,0.2235570645077043,0.6322624447461936,0.1601231716705158,0.0271611386785061,0.2646310432569974,0.0442674327500652,15.39525295908688,0.0074337507391848,0.0189338885178929,0.9493222427603204,11768000000.0,13799000000.0,7391000000.0,57962000000.0,7101500000.0,2260000000.0,5554000000.0,81.47949856359362,47.431144067796616,136.66843220338984,1.1045723352084236,1.8974874371859296,0.65852807813045,0.0083727070594774,0.1281577325939618,2025-02-04,1.08,amc,7532859637.0,2025-05-04,2024-12-28,0.0092592592592592,143.88734375,36358921.578125
2024-09-28,AMD,USD,2488,2024-10-30,2024-10-30 16:26:03,2024,Q3,6819000000.0,3400000000.0,3419000000.0,0.5013931662,1636000000,0.0,0.0,721000000.0,338000000.0,2695000000.0,6109000000.0,0.0,23000000.0,786000000.0,1546000000.0,0.2267194603,724000000.0,0.1061739258,13000000.0,737000000.0,0.1080803637,-27000000.0,771000000.0,0.113066432,0.48,0.47,1620000000,1636000000,https://www.sec.gov/Archives/edgar/data/2488/000000248824000163/0000002488-24-000163-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248824000163/amd-20240928.htm,4.20925925925926,0.4759259259259259,0.3876543209876543,0.3061728395061728,2.8049382716049385,35.175925925925924,7.761728395061728,35.175925925925924,1.395679012345679,266247000000.0,264588000000.0,86.33171206225681,39.0448746150462,423.9601910828025,536.7883064516129,4.672229534087918,4.672229534087918,38.801583809942805,171.14359637774902,421.3184713375797,533.4435483870968,0.0028958072767017,0.0018629317889027,0.0392734930244801,0.0321385490263656,-1.073091849935317,2.498,31.47826086956522,0.814526588845655,0.0,0.0,0.0,0.239917876521484,0.6377592050089035,0.2101910828025477,0.0193576770787505,0.1679389312977099,0.051473823141223,19.40813077355613,0.0120787264212663,0.0305649157581764,0.0200617283950617,11235000000.0,12574000000.0,6084000000.0,57962000000.0,6521500000.0,2324500000.0,5182500000.0,95.9524857017158,66.97058823529412,142.2529411764706,0.9379642365887207,1.3438735177865613,0.6326758466691478,0.0135298762832324,0.0814814814814814,2024-10-29,0.922,amc,6714743758.0,2025-04-25,2024-09-28,-0.0021691973969631,151.9390625,46960761.875
2024-06-29,AMD,USD,2488,2024-07-31,2024-07-31 16:20:22,2024,Q2,5835000000.0,2740000000.0,3095000000.0,0.53041988,1583000000,0.0,0.0,650000000.0,55000000.0,2764000000.0,5504000000.0,25000000.0,25000000.0,769000000.0,1119000000.0,0.1917737789,269000000.0,0.046101114,30000000.0,299000000.0,0.0512425021,41000000.0,265000000.0,0.0454155955,0.16,0.16,1656250000,1637000000,https://www.sec.gov/Archives/edgar/data/2488/000000248824000123/0000002488-24-000123-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248824000123/amd-20240629.htm,3.523018867924528,0.16,0.3580377358490566,0.2650566037735849,3.2241509433962263,34.136150943396224,7.328603773584906,34.136150943396224,1.370566037735849,268660312500.0,266943312500.0,253.453125,46.04289845758355,453.0528035413153,611.9824886104784,4.751853841664015,4.751853841664015,45.74863967437875,238.55523905272565,450.1573566610455,608.071326879271,0.0009863756858393,0.0016340336833338,0.0397078071385616,0.0330701470111657,-1.5344057193923146,2.8192090395480225,10.76,2.237735849056604,0.0,0.0,0.0,0.2712939160239931,0.6540376513566862,0.2596964586846543,0.0263924592973436,0.1937106918238993,0.0592973436161096,11.085582681854229,0.0037625214759783,0.0112833177211956,0.4934339622641509,11270000000.0,12138000000.0,6117000000.0,57971000000.0,5421000000.0,1987500000.0,4821500000.0,89.04370179948586,69.60218978102189,163.93795620437956,1.010739650095271,1.2930627654554034,0.548988178721699,0.0046871130920796,0.0929811320754716,2024-07-30,0.678,amc,5728584992.0,2025-04-25,2024-06-29,0.0176991150442476,160.87476190476193,52736754.365079366
2024-03-30,AMD,USD,2488,2024-05-01,2024-05-01 16:10:44,2024,Q1,5473000000.0,2683000000.0,2790000000.0,0.5097752604,1525000000,0.0,0.0,620000000.0,53000000.0,2694000000.0,5377000000.0,25000000.0,25000000.0,784000000.0,899000000.0,0.1642609172,36000000.0,0.0065777453,28000000.0,64000000.0,0.0116937694,-52000000.0,123000000.0,0.0224739631,0.08,0.07,1757142857,1639000000,https://www.sec.gov/Archives/edgar/data/2488/000000248824000056/0000002488-24-000056-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248824000056/amd-20240330.htm,3.114715447407701,0.070000000005691,0.2965040650647564,0.2156910569281049,3.434552845807687,31.98260162861647,6.371138211900092,31.98260162861647,1.720406504204911,317146714259.93,316120714259.93,644.6071428047359,57.94750854374749,608.7268987714588,836.7987183639314,5.643380801094879,5.643380801094879,57.76004280283757,351.6359446717797,606.7576089442034,834.0915943533773,0.00038783312098,0.0011950305109873,0.0533470942026406,0.0441564179983798,-1.1412680756395996,2.638863144887241,1.44,4.235772357723577,0.0,0.0,0.0,0.2786405993056824,0.6628323146034317,0.272552783109405,0.0259455508861684,0.1753086419753086,0.0677873195687922,7.097365537237481,0.0010495246980103,0.0053730560894635,0.2650609756313057,10610000000.0,11195000000.0,5387000000.0,57869000000.0,5227000000.0,1955500000.0,4501500000.0,83.3564772519642,62.258665672754375,156.04919865821842,1.0797001380942988,1.4455818965517242,0.5767411865864145,0.0021886899889675,0.0808130081366514,2024-04-30,0.616,amc,5476961340.0,2025-04-25,2024-03-30,0.0064935064935064,174.81065573770493,77974689.04918033
2023-12-30,AMD,USD,2488,2024-01-31,2024-01-31 17:16:39,2023,Q4,6168000000.0,3042000000.0,3126000000.0,0.5068093385,1511000000,-51000000.0,695000000.0,644000000.0,-156000000.0,2788000000.0,5830000000.0,32000000.0,27000000.0,799000000.0,1215000000.0,0.1969844358,342000000.0,0.0554474708,22000000.0,364000000.0,0.0590142672,-297000000.0,667000000.0,0.1081387808,0.41,0.41,1616002054,1628000000,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/0000002488-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/amd-20231230.htm,3.816826831830252,0.4127470001346917,0.2357670270634445,0.1497522849064398,3.5723964494416416,34.58658970244106,6.353333508819909,34.58658970244106,1.874997616803772,238214862780.14,237284862780.14,89.28593057726387,38.62108670235733,625.2358603153281,984.3589371080164,4.262056515782938,4.262056515782938,38.47030849224059,195.2961833581399,622.7949154334383,980.5159619014048,0.0027999932171134,0.0010158895930156,0.0537286194804265,0.0442365765633055,-0.7654320987654321,2.506802212587831,12.666666666666666,0.5712143928035982,0.0,0.0,-0.0082684824902723,0.2449740596627756,0.6720925093908816,0.3648293963254593,0.0225356679636835,0.1686893203883495,0.0606355382619974,17.922025576169375,0.0100254968045175,0.0299640610961365,-0.0035581637942645,10079000000.0,10267000000.0,4775000000.0,57926000000.0,5220000000.0,2312500000.0,4398000000.0,78.57490272373542,60.798816568047336,128.72781065088756,1.1454038997214484,1.4802919708029196,0.699149620776833,0.0119337293351463,0.0860147421570047,2024-01-30,0.77,amc,5643760000.0,2025-04-25,2023-12-30,0.0,117.85738095238096,56442832.41269841
2023-09-30,AMD,USD,2488,2023-11-01,2023-11-01 16:20:28,2023,Q3,5800000000.0,2843000000.0,2957000000.0,0.5098275862,1507000000,0.0,0.0,576000000.0,59000000.0,2730000000.0,5573000000.0,33000000.0,26000000.0,823000000.0,1131000000.0,0.195,224000000.0,0.0386206897,33000000.0,257000000.0,0.0443103448,-39000000.0,299000000.0,0.0515517241,0.18,0.18,1661111111,1629000000,https://www.sec.gov/Archives/edgar/data/2488/000000248823000195/0000002488-23-000195-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248823000195/amd-20230930.htm,3.4916387962201765,0.1800000000120401,0.2534448160704645,0.1787959866340331,3.482608695885124,33.092307694521224,5.318127090656731,33.092307694521224,1.7385953178420466,170795444433.02,170096444433.02,142.80555554600332,29.447490419486204,405.6898917648931,575.0688364748148,3.1070664804988173,3.1070664804988173,29.326973178106893,150.39473424670203,404.0295592233254,572.7153011212795,0.0017506321728461,0.0017389222586465,0.0520647625977806,0.0423210007985094,-0.6180371352785146,2.188016258030681,8.615384615384615,1.4080267558528428,0.0,0.0,0.0,0.2598275862068965,0.682222813710703,0.2945368171021377,0.0213793103448275,0.1462264150943396,0.0608620689655172,11.576866854714009,0.004246715575033,0.0139134481154025,-0.5160702341482322,9061000000.0,8834000000.0,4032000000.0,57270000000.0,4684500000.0,2674500000.0,4506000000.0,78.4396551724138,81.35772071755189,140.71403447062963,1.1473788328387735,1.1062256809338522,0.6395950506186726,0.005439330543933,0.0746488294364313,2023-10-31,0.68,amc,5369880000.0,2025-04-25,2023-09-30,0.0294117647058822,108.55412698412698,59668108.047619045
2023-07-01,AMD,USD,2488,2023-08-02,2023-08-02 17:12:01,2023,Q2,5359000000.0,2704000000.0,2655000000.0,0.4954282515,1443000000,0.0,0.0,547000000.0,46000000.0,2623000000.0,5327000000.0,28000000.0,28000000.0,849000000.0,899000000.0,0.1677551782,-20000000.0,-0.0037320396,18000000.0,-2000000.0,-0.000373204,-23000000.0,27000000.0,0.0050382534,0.02,0.02,1612036539,1627000000,https://www.sec.gov/Archives/edgar/data/2488/000000248823000139/0000002488-23-000139-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248823000139/amd-20230701.htm,3.324366334353914,0.0167490000051419,0.235106333405511,0.157564666715039,3.89879500119693,34.20269867716689,5.1866070015922885,34.20269867716689,1.7915226672166642,183627082157.49,182646082157.49,1700.2507607175,34.26517674146109,484.5041745580211,722.9412683365748,3.330438953814024,3.330438953814024,34.08212020106176,203.1658310984316,481.9157840567018,719.0790636121653,0.000147037134625,0.0013832382294358,0.0518717353453279,0.0420792443391645,-1.0912124582869855,2.179741151611199,-0.7142857142857143,14.037037037037036,0.0,0.0,0.0,0.2692666542265348,0.6882016272602881,0.3298153034300791,0.0233252472476208,0.143184421534937,0.0649374883373763,3.5901772250397435,0.0035196513869102,0.0012740656851642,-0.6370823335289176,8933000000.0,8361000000.0,3674000000.0,57710000000.0,4178000000.0,2648500000.0,4401000000.0,72.45008397089009,92.49630177514793,152.00813609467457,1.242234585071859,0.973011874775099,0.5920735712721699,0.0004896982008125,0.0775416666904719,2023-08-01,0.57,amc,5310690000.0,2025-04-25,2023-07-01,0.0175438596491228,103.9967741935484,67734255.03225806
2023-04-01,AMD,USD,2488,2023-05-03,2023-05-03 16:28:42,2023,Q1,5353000000.0,2689000000.0,2664000000.0,0.4976648608,1411000000,0.0,0.0,585000000.0,43000000.0,2765000000.0,5454000000.0,25000000.0,25000000.0,982000000.0,904000000.0,0.1688772651,-145000000.0,-0.0270876144,18000000.0,-127000000.0,-0.023725014,13000000.0,-139000000.0,-0.0259667476,-0.09,-0.09,1544444444,1611000000,https://www.sec.gov/Archives/edgar/data/2488/000000248823000076/0000002488-23-000076-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248823000076/amd-20230401.htm,3.4659712240189844,-0.0900000000258992,0.31467625908336,0.2123741007805393,3.845395684559826,35.41338130515493,4.678705037317613,35.41338130515493,1.8602158278734435,151370999956.44,150393999956.44,-272.2499999216547,28.277788148036617,311.46296287333337,461.4969510867073,2.767597907566461,2.767597907566461,28.095273670173736,166.36504419960178,309.4526748074897,458.51829255012194,-0.0009182736458106,0.0021668615527042,0.0520715252130032,0.0421089984327409,-1.0807522123893805,2.380720693325224,-5.8,-3.4964028776978417,0.0,0.0,0.0,0.2635905099943956,0.7018363544962593,0.3251028806584362,0.0295161591630861,0.1570576540755467,0.0577246403885671,,-0.0026179229193219,-0.0068927898442923,-1.1991366909925574,9081000000.0,7226000000.0,2718000000.0,58496000000.0,4085000000.0,2505500000.0,4003000000.0,67.95815430599664,84.27668278170324,141.74414280401638,1.3243443839683324,1.0679110405083398,0.6349468713105076,-0.0025414122207189,0.1023021583028207,2023-05-02,0.56,amc,5299960000.0,2025-04-25,2023-04-01,0.0714285714285712,81.3808064516129,62625800.25806452
2022-12-31,AMD,USD,2488,2023-02-27,2023-02-27 16:20:39,2022,Q4,5599000000.0,2753000000.0,2846000000.0,0.5083050545,1366000000,-93000000.0,683000000.0,590000000.0,29000000.0,2992000000.0,5745000000.0,13000000.0,19000000.0,482000000.0,333000000.0,0.0594749062,-149000000.0,-0.026611895,13000000.0,-136000000.0,-0.0242900518,-154000000.0,21000000.0,0.0037506698,0.01,0.01,2528292800,1618000000,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/0000002488-23-000047-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,2.214537809861263,0.0083060000012656,0.2242620000341732,0.1752170476457473,2.3157919051147875,21.65492857472837,2.5531061908652357,21.65492857472837,1.139899619221318,163757524656.0,161785524656.0,1949.494341142857,29.24763790962672,288.81397646560845,369.65581186455984,2.991005016547945,2.991005016547945,28.89543215859975,485.8424163843843,285.33602232098764,365.2043445959368,0.0001282383819865,0.0027052192009533,0.0522922374429223,0.042364604912696,-5.921921921921922,2.358140995446695,-7.842105263157895,27.0,0.0,0.0,-0.0166101089480264,0.2439721378817646,0.7146345072506659,0.218694885361552,0.0221468119307019,0.0995983935742971,0.0562600464368637,2.0117110446842994,0.0003221739268316,0.0010889292196007,-0.7884767144058631,8650000000.0,6455000000.0,2189000000.0,58918000000.0,4234000000.0,2613500000.0,3570000000.0,66.35470619753528,81.50018162005085,123.28005811841628,1.3563468992248062,1.1042920176494184,0.7300450808804031,0.0003835616438356,0.0490449523884259,2023-01-31,0.66,amc,5511663759.0,2025-04-25,2022-12-31,0.0454545454545453,66.00571428571428,76068553.06349206
2022-09-24,AMD,USD,2488,2022-11-02,2022-11-02 16:35:10,2022,Q3,5565000000.0,3211000000.0,2354000000.0,0.4230008985,1279000000,0.0,0.0,557000000.0,22000000.0,2418000000.0,5629000000.0,0.0,31000000.0,590000000.0,548000000.0,0.0984725966,-64000000.0,-0.0115004492,-9000000.0,-73000000.0,-0.0131176999,-135000000.0,66000000.0,0.0118598383,0.04,0.04,1615000000,1625000000,https://www.sec.gov/Archives/edgar/data/2488/000000248822000170/0000002488-22-000170-index.htm,https://www.sec.gov/Archives/edgar/data/2488/000000248822000170/amd-20220924.htm,3.4458204334365323,0.0408668730650154,0.5975232198142415,0.5213622291021672,3.461919504643963,33.77213622291022,3.21547987616099,33.77213622291022,1.8086687306501548,109755399999.99998,109247399999.99998,415.7401515151515,19.72244384546271,113.7361658031088,130.35083135391923,2.0123097796193754,2.0123097796193754,19.63115902964959,199.35656934306567,113.20974093264248,129.74750593824226,0.000601337155165,0.0076716043128629,0.0529866891569799,0.042618454233089,-0.927007299270073,2.155133761769541,-2.064516129032258,14.62121212121212,0.0,0.0,0.0,0.2298292902066487,0.727743286487443,0.127461139896373,0.0221024258760107,0.1035353535353535,0.0494159928122192,5.572578944574215,0.0008893351502546,0.0035749106272343,-1.6956656346749226,7729000000.0,5193000000.0,1151000000.0,59054000000.0,4196500000.0,2126000000.0,3008500000.0,70.18867924528301,76.63033322952352,94.4285269386484,1.282258064516129,1.174469641550841,0.9531018106262986,0.001210076638187,0.0761609907120743,2022-11-01,0.67,amc,5650883725.0,2025-04-25,2022-09-24,0.0,85.1465625,79859410.640625
