date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,AON,USD,315293,2025-04-25,2025-04-25 16:04:45,2025,Q1,4729000000.0,2249000000.0,2480000000.0,0.5244237682,0,0.0,0.0,551000000.0,468000000.0,1019000000.0,3268000000.0,5000000.0,206000000.0,245000000.0,1836000000.0,0.3882427575,1461000000.0,0.3089448086,-211000000.0,1250000000.0,0.2643264961,268000000.0,965000000.0,0.204060055,4.46,4.43,216400000,217900000,https://www.sec.gov/Archives/edgar/data/315293/000162828025019927/0001628280-25-019927-index.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828025019927/aon-20250331.htm,21.85304990757856,4.459334565619224,0.6469500924214417,0.388170055452865,6.146025878003697,33.613678373382626,-70.64695009242145,32.36598890942699,86.48798521256931,86363076000.0,103909076000.0,22.37385388601036,18.26243941636709,616.8791142857143,1028.1318571428571,12.330536264991432,12.330536264991432,21.972737576654684,56.595357298474944,742.2076857142857,1237.0128095238094,0.0111737567105645,0.0009726378898315,2.642775556824672,0.367962786259542,9.556644880174291,1.0463292332747611,7.092233009708738,0.1425661914460285,0.0017021163072051,0.1523316062176165,0.0,0.0,0.4485130407124681,0.4,0.0118418270247409,0.2285714285714285,0.031084795939945,56.98633515695464,0.0405297362194992,0.0347848028260399,-139.37731053604438,1081000000.0,-15288000000.0,-18616000000.0,25009000000.0,9594000000.0,1452500000.0,-67500000.0,292.79974624656376,0.0,0.0,0.3073773155671108,0.0,0.0,0.1377784123358081,0.2587800369685767,2025-04-25,6.01,bmo,4867952475.0,2025-05-11,2025-03-31,-0.0565723793677204,383.4136666666666,1158733.4833333334
2024-12-31,AON,USD,315293,2025-02-18,2025-02-18 16:47:00,2024,Q4,4147000000.0,2120000000.0,2027000000.0,0.488787075,0,506000000.0,0.0,506000000.0,430000000.0,936000000.0,3056000000.0,4000000.0,206000000.0,232000000.0,1329000000.0,0.3204726308,1091000000.0,0.2630817458,-200000000.0,891000000.0,0.2148541114,157000000.0,716000000.0,0.1726549313,3.31,3.28,216600000,218300000,https://www.sec.gov/Archives/edgar/data/315293/000162828025006093/0001628280-25-006093-index.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828025006093/aon-20241231.htm,19.14589104339797,3.3056325023084026,5.54016620498615,5.286241920590951,6.020313942751616,29.68605724838412,-71.77746999076639,28.259464450600184,82.67313019390582,77794056000.0,94410056000.0,27.16272905027933,18.75911646973716,64.82838,67.94240698689957,12.709370364319556,12.709370364319556,22.765868338557997,71.03841685477803,78.67504666666666,82.45419737991267,0.009203788011773,0.0147183481473186,2.891847737297827,0.361503114469519,12.502633559066968,1.0190041313328984,5.296116504854369,1.6348773841961852,0.0018767500694397,0.2039106145251396,0.1220159151193634,0.0,0.4488307975084243,0.0458333333333333,0.013262599469496,0.2370689655172413,0.02724861345551,45.84590051661095,0.0336349200288923,0.0265303097673039,-177.4988457987073,437000000.0,-15547000000.0,-19103000000.0,23762000000.0,8770000000.0,2746500000.0,-67500000.0,82.5343621895346,123.3254716981132,-5.731132075471698,1.0904549040231395,0.729776247848537,-15.703703703703704,0.1169743505963078,0.2539242843951985,2025-01-31,4.25,bmo,4202199262.0,2025-05-01,2024-12-31,0.0399999999999999,367.7015625,1010275.171875
2024-09-30,AON,USD,315293,2024-10-25,2024-10-25 16:05:01,2024,Q3,3721000000.0,2150000000.0,1571000000.0,0.4221983338,0,531000000.0,0.0,531000000.0,417000000.0,948000000.0,3098000000.0,4000000.0,213000000.0,221000000.0,883000000.0,0.2373018006,623000000.0,0.1674281107,-174000000.0,449000000.0,0.1206664875,94000000.0,343000000.0,0.0921795216,1.58,1.57,217400000,218400000,https://www.sec.gov/Archives/edgar/data/315293/000162828024043809/0001628280-24-043809-index.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828024043809/aon-20240930.htm,17.115915363385465,1.577736890524379,4.659613615455382,4.37442502299908,5.975160993560258,30.14259429622815,-72.89788408463662,28.721251149954004,83.78104875804968,75218226000.0,92116226000.0,54.82377988338193,20.21451921526472,74.25293780848963,79.09382334384858,12.046480781550288,12.046480781550288,24.75577156678312,104.32188674971688,90.9340829220138,96.86248790746582,0.0045600650033942,0.0126432122980406,2.8829276105060857,0.3608499548962614,19.137032842582105,1.0703683591275228,2.924882629107981,2.853521126760564,0.0019543135728832,0.4285714285714285,0.1427035743079817,0.0,0.4490528214894256,0.0612043435340572,0.0166621875839828,0.2805429864253393,0.0306369255576457,31.930831391136824,0.0176006711596332,0.0124799883568621,-145.9533118675253,1555000000.0,-15848000000.0,-19679000000.0,25356000000.0,14894500000.0,2453500000.0,0.0,332.25745767266864,108.33488372093024,0.0,0.2708742811385309,0.8307573415765069,0.0,0.0549327354260089,0.2851885924563017,2024-10-25,2.48,bmo,3687464942.0,2025-04-25,2024-09-30,0.0967741935483871,327.15734375,993329.03125
2024-06-30,AON,USD,315293,2024-07-26,2024-07-26 16:22:37,2024,Q2,3760000000.0,2130000000.0,1630000000.0,0.4335106383,0,548000000.0,0.0,548000000.0,426000000.0,974000000.0,3104000000.0,31000000.0,225000000.0,173000000.0,1096000000.0,0.2914893617,656000000.0,0.1744680851,42000000.0,698000000.0,0.1856382979,160000000.0,524000000.0,0.1393617021,2.47,2.46,212500000,213300000,https://www.sec.gov/Archives/edgar/data/315293/000162828024033161/0001628280-24-033161-index.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828024033161/aon-20240630.htm,17.694117647058825,2.4658823529411764,2.4141176470588235,2.164705882352941,5.44,28.97882352941177,-74.90352941176471,27.576470588235296,88.20705882352941,62366625000.0,79911625000.0,29.755069179389317,16.58686835106383,121.57236842105264,135.5796195652174,10.642768771331058,10.642768771331058,21.253091755319147,72.91206660583941,155.77314814814815,173.7209239130435,0.0084019297180182,0.0073757398287946,3.160238907849829,0.3599207043321089,16.008211678832115,1.0870286832921952,2.915555555555556,0.9790076335877864,0.0023409956847913,0.2786259541984733,0.1457446808510638,0.0,0.4290323207587507,0.1033138401559454,0.014095744680851,0.3063583815028902,0.0311170212765957,39.11530996999056,0.0179542471118288,0.0178364762747634,-151.05882352941177,2045000000.0,-15917000000.0,-19752000000.0,25496000000.0,10053000000.0,2055500000.0,0.0,384.2234042553192,97.98591549295774,0.0,0.2342387241465238,0.9184993531694696,0.0,0.089419795221843,0.2494117647058823,2024-07-26,3.08,bmo,3736742633.0,2025-04-25,2024-06-30,-0.0487012987012986,295.67253968253965,1604124.0
2024-03-31,AON,USD,315293,2024-04-26,2024-04-26 16:09:07,2024,Q1,4070000000.0,1883000000.0,2187000000.0,0.5373464373,0,429000000.0,0.0,429000000.0,293000000.0,722000000.0,2605000000.0,28000000.0,144000000.0,60000000.0,1628000000.0,0.4,1465000000.0,0.35995086,-41000000.0,1424000000.0,0.3498771499,331000000.0,1071000000.0,0.2631449631,5.38,5.35,199100000,200100000,https://www.sec.gov/Archives/edgar/data/315293/000162828024018649/0001628280-24-018649-index.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828024018649/aon-20240331.htm,20.441988950276244,5.3792064289301855,1.5519839276745353,1.3108990457056755,32.18483174284279,-0.1406328478151682,-42.92817679558011,-0.6680060271220493,87.69964841788047,65621368999.99999,81943369000.0,15.317779878618111,16.123186486486485,212.36688996763755,251.42286973180072,-493.3937518796991,-493.3937518796991,20.133505896805897,50.33376474201474,265.18889644012944,313.9592681992337,0.0163209030277926,0.0039773629227393,-130.203007518797,0.424779846444428,10.025798525798526,1.3107427420093416,10.17361111111111,0.2885154061624649,0.0018743894233599,0.1148459383753501,0.1054054054054054,0.0,0.2089680378737704,0.1553398058252427,0.0117936117936117,0.8,0.0319410319410319,,0.0570391500137357,0.0332113619449268,-157.4409844299347,6786000000.0,-8547000000.0,-12171000000.0,16544000000.0,3671500000.0,2027000000.0,0.0,89.64619164619164,85.65055762081784,0.0,1.0039467192895906,1.05078125,0.0,-8.052631578947368,0.2410848819688598,2024-04-26,5.91,bmo,4135896222.0,2025-04-25,2024-03-31,-0.0423011844331641,310.02934426229507,1011441.5901639344
2023-12-31,AON,USD,315293,2024-04-17,2024-04-17 17:00:21,2023,Q4,3375000000.0,1671000000.0,1704000000.0,0.5048888889,0,618000000.0,0.0,618000000.0,307000000.0,925000000.0,2596000000.0,12000000.0,124000000.0,67000000.0,800000000.0,0.237037037,779000000.0,0.2308148148,-170000000.0,609000000.0,0.1804444444,102000000.0,498000000.0,0.1475555556,2.49,2.47,200300000,202000000,https://www.sec.gov/Archives/edgar/data/315293/000119312524099218/0001193125-24-099218-index.htm,https://www.sec.gov/Archives/edgar/data/315293/000119312524099218/d718867d10ka.htm,16.849725411882176,2.486270594108837,6.295556665002496,6.050923614578132,5.726410384423365,-3.704443334997504,-46.87968047928108,-4.123814278582127,60.68896655017474,58291306000.0,69545306000.0,29.262703815261045,17.271498074074074,46.226253766851706,48.09513696369637,-70.57058837772396,-70.57058837772396,20.606016592592592,86.9316325,55.15091673275178,57.38061551155115,0.0085432980348733,0.0207921229282459,-14.566585956416464,0.3543096086457198,14.0675,1.0024479238834234,6.282258064516129,2.532128514056225,0.002110091683312,0.2469879518072289,0.1831111111111111,0.0,0.2546600312141111,0.0388580491673275,0.0145185185185185,0.7313432835820896,0.0346666666666666,,0.0473584850004424,0.019675240014223,-155.20344483275088,53000000.0,-9390000000.0,-12997000000.0,10015000000.0,3294500000.0,2005500000.0,7982500000.0,87.70666666666666,121.83123877917414,0.0,1.0261477652782,0.7387267904509284,0.0,-0.6029055690072639,0.2446330504243634,2024-02-02,4.07,bmo,3356360000.0,2025-04-25,2023-12-31,-0.0442260442260442,320.0992063492063,978300.619047619
2023-09-30,AON,USD,315293,2023-10-27,2023-10-27 16:10:19,2023,Q3,2953000000.0,1685000000.0,1268000000.0,0.4293938368,0,392000000.0,0.0,392000000.0,185000000.0,577000000.0,2262000000.0,9000000.0,119000000.0,62000000.0,741000000.0,0.2509312563,691000000.0,0.2339993227,-131000000.0,560000000.0,0.1896376566,93000000.0,456000000.0,0.1544192347,2.25,2.23,202900000,204600000,https://www.sec.gov/Archives/edgar/data/315293/000162828023035412/0001628280-23-035412-index.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828023035412/aon-20230930.htm,14.553967471660917,2.247412518482011,5.1404632824051255,4.854608181370133,4.844751108920651,-2.395268605224248,-44.27304090685067,-2.8881222276983736,59.19172005914243,65784238000.00001,76867238000.0,36.06591995614036,22.277087030138844,63.07213614573347,66.78602842639594,-112.25979180887371,-112.25979180887371,26.0302194378598,103.73446423751687,73.69821476510067,78.03780507614213,0.0069317516454321,0.0149731916025233,-20.291808873720136,0.3591145204155593,14.956815114709851,1.019447929736512,5.80672268907563,2.233404710920771,0.0019001512185943,0.2741228070175439,0.1327463596342702,0.0,0.2566139164049287,0.0556088207094918,0.0196410430071114,0.935483870967742,0.0321706738909583,,0.0415971011952026,0.0185252894576477,-109.2040413997043,403000000.0,-8983000000.0,-12473000000.0,10198000000.0,3532000000.0,1687000000.0,17079000000.0,100.57568574331188,93.41839762611276,852.7299703264094,0.8948484848484849,0.9634076615208692,0.1055433761352959,-0.7781569965870307,0.2858551010349926,2023-10-27,2.21,bmo,2887010000.0,2025-04-25,2023-09-30,0.0497737556561085,330.8515873015873,727723.2222222222
2023-06-30,AON,USD,315293,2023-07-28,2023-07-28 16:59:31,2023,Q2,3177000000.0,1754000000.0,1423000000.0,0.4479068303,0,431000000.0,0.0,431000000.0,150000000.0,581000000.0,2335000000.0,5000000.0,130000000.0,64000000.0,852000000.0,0.268177526,842000000.0,0.2650299024,-184000000.0,658000000.0,0.2071136292,83000000.0,560000000.0,0.1762669185,2.74,2.71,204700000,206300000,https://www.sec.gov/Archives/edgar/data/315293/000162828023026117/0001628280-23-026117-index.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828023026117/aon-20230630.htm,15.52027357107963,2.7357107962872496,3.3610161211529066,3.0239374694675134,5.627747923790913,0.7914020517830972,-41.3580850024426,0.3175378602833414,59.26722032242306,70662440000.0,81712440000.0,31.545732142857144,22.24187598363236,102.70703488372094,114.15579967689824,1087.1144615384617,1087.1144615384617,25.72,95.90661971830986,118.76808139534884,132.00717285945072,0.0079250023067417,0.0087599579069163,184.64615384615385,0.3329357263724375,12.969483568075118,1.0435748834371867,6.476923076923077,1.1965217391304348,0.0017831255190168,0.225,0.1356625747560591,0.0,0.2393408971122638,0.1002906976744186,0.0217186024551463,1.078125,0.0311614730878186,4.421036579090871,0.0503207682640015,0.0204223040735202,-111.45823155837812,1000000000.0,-8466000000.0,-11938000000.0,10945000000.0,3738500000.0,1653000000.0,17411000000.0,106.62889518413596,83.38084378563285,933.5062713797035,0.844048884165781,1.0793846153846154,0.0964107074149398,8.615384615384615,0.3370786516853932,2023-07-28,2.84,bmo,3170260000.0,2025-04-25,2023-06-30,-0.028169014084507,324.75548387096774,848094.1612903225
2023-03-31,AON,USD,315293,2023-04-28,2023-04-28 16:13:13,2023,Q1,3871000000.0,1792000000.0,2079000000.0,0.5370705244,0,421000000.0,0.0,421000000.0,185000000.0,606000000.0,2398000000.0,5000000.0,111000000.0,63000000.0,1516000000.0,0.3916300697,1473000000.0,0.380521829,-131000000.0,1342000000.0,0.3466804443,263000000.0,1050000000.0,0.2712477396,5.09,5.07,206100000,207100000,https://www.sec.gov/Archives/edgar/data/315293/000162828023014187/0001628280-23-014187-index.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828023014187/aon-20230331.htm,18.78214459000485,5.094614264919942,2.1494420184376515,1.7806889859291606,6.263949539058709,0.2814167879670063,-42.14459000485201,-0.3396409509946628,58.92285298398835,64981269000.00001,75895269000.0,15.471730714285714,16.78668793593387,146.6845801354402,177.06067847411447,-928.3038428571429,-928.3038428571429,19.606114440712997,50.06284234828496,171.32114898419866,206.79909809264305,0.0161585025370926,0.0056477813629647,-171.9,0.3512976965521268,7.199208443271768,1.0752124302015051,13.27027027027027,0.4105653382761816,0.0017697407540625,0.1095238095238095,0.1087574270214414,0.0,0.2552769100516743,0.1715575620767494,0.0196331697235856,1.2063492063492065,0.0328080599328338,,0.0810350409644869,0.0411619428437022,-105.79694323144103,1549000000.0,-8686000000.0,-12051000000.0,11582000000.0,3374000000.0,1897500000.0,16264500000.0,86.3265306122449,84.42522321428571,835.1618303571428,1.0425531914893618,1.0660321237358714,0.1077635456130855,-15.0,0.368753032508491,2023-04-28,5.32,bmo,3844190000.0,2025-04-25,2023-03-31,-0.0281954887218045,309.53225806451616,843025.7903225806
2022-12-31,AON,USD,315293,2023-02-17,2023-02-17 17:07:28,2022,Q4,3130000000.0,1539000000.0,1591000000.0,0.5083067093,0,549000000.0,0.0,549000000.0,30000000.0,579000000.0,2118000000.0,3000000.0,110000000.0,62000000.0,881000000.0,0.2814696486,1012000000.0,0.3233226837,-303000000.0,709000000.0,0.2265175719,43000000.0,657000000.0,0.2099041534,3.17,3.14,207500000,209300000,https://www.sec.gov/Archives/edgar/data/315293/000162828023004087/0001628280-23-004087-index.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828023004087/aon-20221231.htm,15.08433734939759,3.166265060240964,5.021686746987951,4.68433734939759,5.5036144578313255,-2.067469879518072,-44.18313253012048,-2.549397590361446,55.77349397590361,62279050000.0,73052050000.0,23.69826864535769,19.897460063897764,59.76876199616123,64.07309670781893,-117.7297731568998,-117.7297731568998,23.339313099041533,82.91946651532349,70.10753358925145,75.15643004115226,0.0105492938636668,0.0156071744832331,-21.669187145557657,0.3505075831702544,12.228149829738934,1.020535802225943,9.2,1.5645645645645645,0.0018625846091101,0.1765601217656012,0.1753993610223642,0.0,0.2672150195694716,0.0671785028790787,0.0223642172523961,1.1290322580645162,0.0297124600638977,,0.0702656081941097,0.0274149801794283,-104.89036144578311,417000000.0,-9168000000.0,-12410000000.0,10413000000.0,7133000000.0,1956000000.0,11862499528.5,87.26837060702876,123.62573099415204,929.8245614035088,1.031301482701812,0.728003784295175,0.0967924528301886,-1.2419659735349715,0.3373493975903614,2023-02-03,3.65,bmo,3131707146.0,2025-04-25,2022-12-31,0.0657534246575343,292.19761904761907,797789.4444444445
