date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,APTV,USD,1521332,2025-05-01,2025-05-01 16:11:39,2025,Q1,4825000000.0,3905000000.0,920000000.0,0.1906735751,0,0.0,0.0,384000000.0,88000000.0,472000000.0,4377000000.0,0.0,0.0,242000000.0,690000000.0,0.1430051813,448000000.0,0.0928497409,-93000000.0,355000000.0,0.0735751295,356000000.0,-11000000.0,-0.0022797927,-0.05,-0.05,230160000,230160000,https://www.sec.gov/Archives/edgar/data/1521332/000152133225000027/0001521332-25-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1521332/000152133225000027/aptv-20250331.htm,20.96367744177963,-0.0477928397636426,1.186131386861314,0.3302050747306221,4.779283976364268,40.20681265206812,8.954640250260688,38.93378519290928,36.10097323600973,13694520000.0,20903520000.0,-311.2390909090909,2.838242487046632,50.16307692307692,180.19105263157897,1.528235687981252,1.528235687981252,4.332335751295337,30.29495652173913,76.56967032967033,275.0463157894737,-0.0008032410044309,0.005549665121523,0.927240263363464,0.3596658297982859,10.44782608695652,1.6141009595327491,0.0,-24.818181818181817,0.0,0.0,0.0,0.0,0.311358323954636,0.7216117216117216,0.0408290155440414,0.8140495867768595,0.0,,-6.803449409595739e-05,-0.0006914325224715,-38.54601147028154,2944000000.0,2061000000.0,-6110000000.0,14319000000.0,3585500000.0,2880000000.0,2374500000.0,66.19896373056994,66.60691421254802,55.9820742637644,1.3595378979994364,1.3512110726643598,1.6076574722107864,-0.0012275415690213,0.8559263121306917,2025-05-01,1.55,bmo,5008113900.0,2025-05-02,2025-03-31,0.0903225806451612,63.386833333333335,3573686.95
2024-12-31,APTV,USD,1521332,2025-02-07,2025-02-07 16:56:51,2024,Q4,4907000000.0,3945000000.0,962000000.0,0.1960464642,0,0.0,0.0,363000000.0,120000000.0,483000000.0,4442000000.0,20000000.0,107000000.0,245000000.0,699000000.0,0.1424495619,479000000.0,0.0976156511,-132000000.0,347000000.0,0.0707153047,64000000.0,268000000.0,0.0546158549,1.14,1.14,256380000,256660000,https://www.sec.gov/Archives/edgar/data/1521332/000152133225000010/0001521332-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1521332/000152133225000010/aptv-20241231.htm,19.139558467899217,1.0453233481550823,4.134487869568609,3.487011467353148,6.135423980029644,35.43568141040643,7.492784148529527,34.30844839691083,35.08463998751853,15505862400.0,22820862400.0,14.464423880597014,3.159947503566334,14.628172075471698,17.34436510067114,1.762831105047749,1.762831105047749,4.650675035663338,32.647871816881256,21.529115471698116,25.52669172259508,0.0172837855184372,0.05765561288613,1.0104592996816737,0.3788899309404041,10.464949928469242,1.525238744884038,4.476635514018692,3.955223880597015,0.0,0.0,0.0,0.0,0.3053968795293716,0.1566037735849056,0.0338292235581821,0.6775510204081633,0.0,28.406460503483284,0.0206041233478033,0.0164477721860807,-34.805757079335365,2695000000.0,1921000000.0,-6547000000.0,14052000000.0,3811000000.0,2929500000.0,2435000000.0,66.43162828612186,65.47528517110266,52.92775665399239,1.3547763666482606,1.3745644599303135,1.700431034482759,0.0304683947248749,0.6474764022154614,2025-02-06,1.66,bmo,4775178660.0,2025-05-02,2024-12-31,0.0542168674698795,61.2171875,3880638.921875
2024-09-30,APTV,USD,1521332,2024-10-31,2024-10-31 16:09:51,2024,Q3,4854000000.0,3951000000.0,903000000.0,0.1860321384,0,0.0,0.0,331000000.0,69000000.0,400000000.0,4351000000.0,31000000.0,101000000.0,241000000.0,749000000.0,0.1543057272,503000000.0,0.1036258756,-96000000.0,407000000.0,0.0838483725,32000000.0,363000000.0,0.0747836836,1.48,1.48,245480000,245780000,https://www.sec.gov/Archives/edgar/data/1521332/000152133224000073/0001521332-24-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1521332/000152133224000073/aptv-20240930.htm,19.77350496985498,1.4787355385367444,2.032752159035359,1.3280104285481509,7.515887241323122,37.46944761284015,7.304057357014828,36.18217370050513,41.502362717940365,17677014800.0,26710014800.0,12.17425261707989,3.6417418211784094,35.42487935871743,54.2239717791411,1.9902065750956992,1.9902065750956992,5.502681252575195,35.66090093457944,53.52708376753507,81.93256073619632,0.0205351414878037,0.0184420278926281,1.1356676424228778,0.4072922555115885,12.060080106809078,1.4968986905582358,4.98019801980198,1.37465564738292,0.0,0.0,0.0,0.0,0.2989986271501251,0.3466933867735471,0.0356407086938607,0.7178423236514523,0.0070045323444581,34.69635409564016,0.0227695828069219,0.0209089338171764,-38.48786051816849,2884000000.0,1793000000.0,-6880000000.0,14585000000.0,3974500000.0,2952000000.0,2462500000.0,74.1656365883807,68.08656036446469,58.086560364464695,1.2135,1.3218467714954834,1.5494117647058825,0.0408691736095474,0.7047417304872088,2024-10-31,1.68,bmo,5095688274.0,2025-04-25,2024-09-30,0.0892857142857143,69.82625,3383142.140625
2024-06-30,APTV,USD,1521332,2024-08-01,2024-08-01 16:06:15,2024,Q2,5051000000.0,4186000000.0,865000000.0,0.1712532172,0,0.0,0.0,405000000.0,-9000000.0,405000000.0,4591000000.0,16000000.0,64000000.0,248000000.0,795000000.0,0.1573945753,460000000.0,0.091071075,587000000.0,1028000000.0,0.2035240546,51000000.0,938000000.0,0.1857058008,3.47,3.47,270190000,270430000,https://www.sec.gov/Archives/edgar/data/1521332/000152133224000059/0001521332-24-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1521332/000152133224000059/aptv-20240630.htm,18.69425219290129,3.471631074429105,2.3798068026203785,1.543358377438099,7.983271031496354,43.561937895554976,16.39216847403679,42.44050482993449,28.14685961730634,18491803600.0,24623803600.0,4.92851908315565,3.6610183330033657,28.75863701399689,44.34485275779377,1.612610412488009,1.612610412488009,4.8750353593347855,30.97333786163522,38.29518444790047,59.04988872901679,0.0507251764235696,0.0225505315230581,0.6576262317955873,0.3046745586036928,7.713207547169811,1.4927217332430602,7.1875,0.685501066098081,0.0,0.0,0.0,0.0,0.2965940770069896,0.3514774494556765,0.0447436151257176,0.9112903225806452,0.0059394179370421,57.57690462413145,0.0213852657793302,0.053877082136703,-24.703912061882377,2911000000.0,4429000000.0,-4162000000.0,14498000000.0,3965500000.0,2904000000.0,2375500000.0,70.36428430013858,62.673196368848544,51.0630673674152,1.279057989364396,1.4360205831903945,1.7625263157894735,0.0817999476759396,0.8364484251822791,2024-08-01,1.42,bmo,5304786848.0,2025-04-25,2024-06-30,0.1126760563380282,76.89158730158731,2794090.571428572
2024-03-31,APTV,USD,1521332,2024-05-02,2024-05-02 16:12:43,2024,Q1,4901000000.0,4121000000.0,780000000.0,0.1591511936,0,0.0,0.0,366000000.0,-4000000.0,366000000.0,4487000000.0,20000000.0,65000000.0,230000000.0,714000000.0,0.1456845542,414000000.0,0.0844725566,-50000000.0,369000000.0,0.075290757,76000000.0,218000000.0,0.0444807182,0.79,0.79,275190000,275310000,https://www.sec.gov/Archives/edgar/data/1521332/000152133224000038/0001521332-24-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1521332/000152133224000038/aptv-20240331.htm,17.80951342708674,0.7921799483992877,0.8866601257313129,-0.0763109124604818,3.4194556488244485,41.49496711363058,14.47363639667139,40.40844507431229,24.837385079399688,21682220100.0,27511220100.0,24.864931307339457,4.4240400122424,88.86155778688526,-1032.4866714285715,1.94983993705036,1.94983993705036,5.613389124668435,38.5311205882353,112.75090204918033,-1310.0581,0.0100543209595035,-0.0009685355052732,0.6088129496402878,0.2863305701234985,8.163865546218487,1.2896239086635326,6.369230769230769,1.1192660550458715,0.0,0.0,0.0,0.0,0.3144983928269328,1.0860655737704918,0.054070597837176,1.1521739130434785,0.0055090797796368,26.8373265902538,0.0170371447171325,0.0134501480750246,-25.834877720847416,1725000000.0,3983000000.0,-4544000000.0,13455000000.0,3791500000.0,3022000000.0,2370500000.0,73.12385227504592,63.18126668284397,51.89031788400874,1.2307885484681065,1.4244728655375043,1.7344276094276094,0.0196043165467625,0.9629710381917947,2024-05-02,1.04,bmo,4983967661.0,2025-04-25,2024-03-31,0.1153846153846152,80.63885245901639,2822108.049180328
2023-12-31,APTV,USD,1521332,2024-03-28,2024-03-28 16:07:45,2023,Q4,4919000000.0,3997000000.0,922000000.0,0.1874364708,1781000000,0.0,0.0,381000000.0,-7000000.0,437000000.0,4434000000.0,35000000.0,71000000.0,246000000.0,628000000.0,0.1276682252,355000000.0,0.0721691401,-44000000.0,311000000.0,0.0632242326,-680000000.0,905000000.0,0.1839804838,3.22,3.22,280950000,281210000,https://www.sec.gov/Archives/edgar/data/1521332/000152133224000026/0001521332-24-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1521332/000152133224000026/aptv-20231231.htm,17.508453461470012,3.221213739099484,2.2210357714895888,1.4984872753158924,5.605979711692472,42.15696743192739,15.283858337782524,41.103399181349,24.41003737319808,25206834000.0,30353834000.0,6.963213812154696,5.1243817849156335,40.39556730769231,59.87371496437055,2.1827878420505717,2.1827878420505717,6.170732669241716,48.33413057324841,48.64396474358974,72.09936817102138,0.0359029618713718,0.0167018198318757,0.5877208174575684,0.2778482826380644,8.195859872611464,1.7152662229617304,5.0,0.6789989118607181,0.0011901534322001,0.0331491712707182,0.0,0.362065460459443,0.3090842100953863,0.3253205128205128,0.041268550518398,0.8252032520325203,0.0067086806261435,54.580800367433845,0.0572791426290622,0.053623274278604,-25.3594945719879,3439000000.0,4294000000.0,-4336000000.0,15314000000.0,3650000000.0,3103500000.0,2398500000.0,65.88534254929864,70.95071303477609,53.25243932949712,1.366009441821716,1.268486194858775,1.6900634249471458,0.0783685486664357,0.7225484961736964,2024-01-31,1.29,bmo,5050990000.0,2025-04-25,2023-12-31,0.0852713178294572,86.10301587301586,2481981.095238095
2023-09-30,APTV,USD,1521332,2023-11-02,2023-11-02 16:05:52,2023,Q3,5114000000.0,4221000000.0,893000000.0,0.1746186938,0,0.0,0.0,360000000.0,-4000000.0,419000000.0,4640000000.0,30000000.0,75000000.0,226000000.0,720000000.0,0.1407899883,446000000.0,0.0872115761,-49000000.0,397000000.0,0.0776300352,-1312000000.0,1629000000.0,0.3185373485,5.76,5.76,282840000,283010000,https://www.sec.gov/Archives/edgar/data/1521332/000152133223000060/0001521332-23-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1521332/000152133223000060/aptv-20230930.htm,18.080893791542923,5.759439966058549,2.637533587894216,1.8879932117098008,6.180172535709235,39.14934238438693,12.646726064205913,38.10634987979069,24.992928864375617,27885195600.0,33071195600.0,4.279495948434622,5.452717168556903,37.37961876675603,52.219467415730335,2.5872328446836157,2.5872328446836157,6.466796167383653,45.93221611111111,44.33136139410187,61.93107790262172,0.0584180947972263,0.019149946360785,0.6489144553720542,0.2949685799839737,7.2027777777777775,1.8079216354344123,5.946666666666666,0.4557116676847892,0.0,0.0,0.0,0.0,0.316140188098351,0.2841823056300268,0.0414548298787641,0.9380530973451328,0.0060617911615174,70.27163563850802,0.1001478539886349,0.1004625346901017,-24.394534012162357,3794000000.0,3577000000.0,-4148000000.0,15380000000.0,3737000000.0,3042000000.0,2406000000.0,65.09777082518576,65.15991471215352,51.85501066098081,1.3825358204920248,1.381217277486911,1.735608552631579,0.151141213583225,0.7495403761844153,2023-11-02,1.2,bmo,4983540000.0,2025-04-25,2023-09-30,0.0833333333333334,103.3620634920635,1749361.1904761903
2023-06-30,APTV,USD,1521332,2023-08-03,2023-08-03 16:03:24,2023,Q2,5200000000.0,4336000000.0,864000000.0,0.1661538462,0,0.0,0.0,353000000.0,-6000000.0,412000000.0,4748000000.0,24000000.0,72000000.0,224000000.0,689000000.0,0.1325,410000000.0,0.0788461538,-61000000.0,349000000.0,0.0671153846,30000000.0,242000000.0,0.0465384615,0.84,0.84,272690000,272770000,https://www.sec.gov/Archives/edgar/data/1521332/000152133223000052/0001521332-23-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1521332/000152133223000052/aptv-20230630.htm,19.069272800616083,0.8874546187979023,1.961934797755693,1.1478235358832374,4.554622465070226,34.918772232205065,6.949283068686054,33.855293556786094,25.94154534453041,27838922100.0,33538922100.0,28.759217045454548,5.353638865384616,52.03536841121496,88.94224313099042,3.0154811633448872,3.0154811633448872,6.4497927115384615,48.67768084179971,62.68957401869159,107.15310575079872,0.0086928653031433,0.0112432514044787,0.7584488734835355,0.316861254412164,8.272859216255442,1.75898888646764,5.694444444444445,2.17479674796748,0.0005747348960755,0.0661157024793388,0.0,0.0,0.3451443569553806,0.4149532710280373,0.0426923076923076,0.9910714285714286,0.0061538461538461,26.00025623621612,0.0212254444376644,0.0167231013751641,-26.81708166782793,3483000000.0,1895000000.0,-4504000000.0,15172000000.0,3801500000.0,3012000000.0,2432500000.0,65.33653846153847,62.85055350553506,49.40036900369004,1.3774834437086092,1.4319682959048876,1.8218487394957985,0.026213171577123,0.8141112618724559,2023-08-03,1.03,bmo,5045360000.0,2025-04-25,2023-06-30,0.2135922330097087,98.89,2084472.483870968
2023-03-31,APTV,USD,1521332,2023-05-04,2023-05-04 09:09:12,2023,Q1,4818000000.0,4058000000.0,760000000.0,0.1577418016,0,0.0,0.0,342000000.0,59000000.0,401000000.0,4459000000.0,22000000.0,67000000.0,216000000.0,587000000.0,0.1218347862,348000000.0,0.0722291407,-68000000.0,280000000.0,0.0581154006,34000000.0,246000000.0,0.0510585305,0.91,0.91,271010000,271170000,https://www.sec.gov/Archives/edgar/data/1521332/000152133223000040/0001521332-23-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1521332/000152133223000040/aptv-20230331.htm,17.777941773366297,0.907715582450832,-0.0332091066750304,-1.0257924061842736,4.058890815837054,34.2127596767647,6.047747315597211,33.14637836242205,25.60791114719014,30404611900.0,36177611900.0,30.898995833333338,6.310629286010792,-3378.2902111111107,-109.36910755395684,3.384683502170767,3.384683502170767,7.508844312992943,61.6313660988075,-4019.734655555555,-130.13529460431656,0.0080908778184404,-0.0091433497297822,0.7651118779917622,0.316494750414441,9.834752981260648,1.713620230700976,5.1940298507462686,-0.0548780487804878,0.0005262359556709,0.065040650406504,0.0,0.0,0.351491987474673,-29.88888888888889,0.0558322955583229,1.2453703703703705,0.0039435450394354,26.01861628106087,0.0176129303037535,0.0174678690619896,-26.67982731264529,3217000000.0,1639000000.0,-4719000000.0,14838000000.0,3750000000.0,3073000000.0,2412500000.0,71.5068493150685,66.44652538196156,55.11335633316905,1.2586206896551724,1.3544726301735648,1.6329979879275651,0.0273850606701547,0.9925832995092432,2023-05-04,0.9,bmo,4762730000.0,2025-04-25,2023-03-31,0.0111111111111111,110.37983870967744,1818345.483870968
2022-12-31,APTV,USD,1521332,2023-02-08,2023-02-08 08:33:34,2022,Q4,4640000000.0,3827000000.0,813000000.0,0.1752155172,1499000000,0.0,0.0,303000000.0,37000000.0,340000000.0,4167000000.0,51000000.0,62000000.0,188000000.0,670000000.0,0.1443965517,440000000.0,0.0948275862,-72000000.0,368000000.0,0.0793103448,25000000.0,343000000.0,0.0739224138,1.27,1.26,270950000,271400000,https://www.sec.gov/Archives/edgar/data/1521332/000152133223000013/0001521332-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1521332/000152133223000013/aptv-20221231.htm,17.124930799040413,1.265916220704927,3.4434397490311865,2.786491972688688,5.650489020114413,33.626130282339915,5.178077136002953,32.57427569662299,25.517623177708064,25233573500.0,30554573500.0,18.39181741982507,5.438270150862069,27.045630760986064,33.42195165562914,2.859004475413551,2.859004475413551,6.58503739224138,45.60384104477612,32.748739013933545,40.46963377483444,0.0135930014034674,0.0299204549843089,0.7763426240652618,0.312862426373225,7.941791044776119,1.6,7.096774193548387,3.507518796992481,0.0006340758672171,0.0466472303206997,0.0,0.3230603448275862,0.3519473996621159,0.1907824222936763,0.0383620689655172,0.946808510638298,0.0045258620689655,30.46008600770129,0.0238768453453757,0.0241668428098358,-27.071415390293417,2919000000.0,1403000000.0,-5006000000.0,14573000000.0,3519000000.0,2962500000.0,2323000000.0,71.22413793103449,74.07891298667363,55.03004964724327,1.263616557734205,1.214920634920635,1.6354700854700854,0.0388624518468162,0.6569477763424986,2023-02-02,1.22,bmo,4539920000.0,2025-04-25,2022-12-31,0.040983606557377,95.04936507936507,1930541.8095238092
