date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-29,AVY,USD,8818,2025-04-29,2025-04-29 16:04:04,2025,Q1,2148300000.0,1526800000.0,621500000.0,0.2892985151,0,0.0,0.0,347000000.0,0.0,347000000.0,1873800000.0,0.0,30900000.0,77900000.0,335800000.0,0.1563096402,274500000.0,0.1277754504,-47500000.0,227000000.0,0.1056649444,60700000.0,166300000.0,0.0774100452,2.1,2.09,78965996,79400000,https://www.sec.gov/Archives/edgar/data/8818/000000881825000012/0000008818-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000000881825000012/avy-20250329.htm,27.20538090851156,2.1059697645047115,-0.20641796248603,-0.6623103949705136,2.480814653436398,27.48651457521032,-7.035939874677196,27.48651457521032,44.19623859363466,13879853116.92,17143053116.92,20.865684180577272,6.460854218181818,-851.5247310993866,-265.38916093537284,6.394772226178301,6.394772226178301,7.97982270489224,51.05137914508636,-1051.7210501177915,-327.78304238852775,0.0119813948028941,-0.0037680514022331,1.5936880903017738,0.4140304259877673,9.717689100655152,1.0262801408832294,8.883495145631068,-0.0980156343956704,0.0050000529123322,0.4173180998196031,0.0,0.0,0.3262953786491436,-2.208588957055215,0.0167574361122748,0.4621309370988447,0.0036773262579714,36.08919220636211,0.0320251071996973,0.0295455353018512,-54.97366233435465,77600000.0,-555600000.0,-3153800000.0,4386700000.0,1492100000.0,1306650000.0,997800000.0,63.59447004608295,75.01571915116584,59.97838616714697,1.4152173913043478,1.1997485462831998,1.5005405405405403,0.0766182907164247,0.4558924324844836,2025-04-23,2.32,bmo,2267550000.0,2025-05-11,2025-03-29,-0.0086206896551724,183.936,703290.0166666667
2024-12-28,AVY,USD,8818,2025-02-26,2025-02-26 13:36:51,2024,Q4,2185700000.0,1576500000.0,609200000.0,0.278720776,0,0.0,0.0,329300000.0,0.0,329300000.0,1905800000.0,0.0,29200000.0,78200000.0,358100000.0,0.1638376721,279900000.0,0.1280596605,-38500000.0,241400000.0,0.1104451663,67400000.0,174000000.0,0.0796083635,2.18,2.16,79800396,80400000,https://www.sec.gov/Archives/edgar/data/8818/000000881825000003/0000008818-25-000003-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000000881825000003/avy-20241228.htm,27.389588392518757,2.180440307589451,4.400980666812731,3.530057670390508,4.1240396852166,29.058753041776885,-5.170400407536825,29.058753041776885,39.86697008370735,15043172649.96,17866272649.96,21.61375380741379,6.882542274767808,42.83363510808656,53.40139385857295,6.487201970744749,6.487201970744749,8.174165095831999,49.8918532531695,50.872074743621866,63.42304810067447,0.0115667089681685,0.0187261029674314,1.3593514166199492,0.375034205422898,7.8835520804244625,1.0754908125480334,9.585616438356164,2.018390804597701,0.0046798638583854,0.4045977011494253,0.0,0.0,0.3249812613770211,0.1978929384965831,0.0317975934483231,0.8887468030690537,0.0020588369858626,37.75737966892039,0.0328862589449225,0.0306683587140439,-52.23532975951648,216100000.0,-412600000.0,-3007500000.0,4534300000.0,1520450000.0,1341950000.0,995800000.0,60.37333577343642,76.53853472882967,55.8382492863939,1.490724321374983,1.1758782725441934,1.611798384623249,0.0750355772133339,0.8709229964222233,2025-01-30,2.39,bmo,2187924237.0,2025-04-29,2024-12-28,-0.0041841004184101,204.06671875,521226.109375
2024-09-28,AVY,USD,8818,2024-10-29,2024-10-29 12:01:54,2024,Q3,2183400000.0,1556800000.0,626600000.0,0.2869836036,0,0.0,0.0,346900000.0,0.0,346900000.0,1903700000.0,0.0,30000000.0,78100000.0,347400000.0,0.1591096455,279700000.0,0.1281029587,-40400000.0,239300000.0,0.1095997069,57600000.0,181700000.0,0.083218833,2.26,2.25,80440716,80800000,https://www.sec.gov/Archives/edgar/data/8818/000000881824000017/0000008818-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000000881824000017/avy-20240928.htm,27.142970731389312,2.258806348764971,3.357752310409569,2.708827206361515,2.644183326264774,29.759804723767004,-4.997469192094212,29.759804723767004,39.64285946932645,17885188795.44,20831388795.44,24.6081298781508,8.191439404341851,66.21691519970382,82.07980172299219,7.471151174000584,7.471151174000584,9.540802782559313,59.96369831732872,77.12472712121436,95.60068286112894,0.0101592441700322,0.0121832652980188,1.319562220644137,0.3737502810019049,8.480713874496258,0.9210809196775156,9.323333333333334,1.4865162355531094,0.0039641739771892,0.3902036323610346,0.0,0.0,0.3308013582744708,0.1932617549055905,0.0239076669414674,0.6683738796414853,0.0031144087203444,38.89070334387308,0.0341456400269123,0.0321251768033946,-51.68433607676988,-264300000.0,-402000000.0,-2973300000.0,4143900000.0,1551650000.0,1328300000.0,996700000.0,64.90931574608409,77.65159301130525,58.5913412127441,1.3865498190131451,1.1590232281119714,1.5360631475086337,0.075901249007895,0.6489251040480545,2024-10-23,2.33,bmo,2200415471.0,2025-04-25,2024-09-28,0.0,215.92328125,511669.0625
2024-06-29,AVY,USD,8818,2024-07-30,2024-07-30 13:34:39,2024,Q2,2235300000.0,1572600000.0,662700000.0,0.2964702724,0,0.0,0.0,373900000.0,5800000.0,373900000.0,1946500000.0,0.0,29200000.0,78600000.0,367400000.0,0.1643627254,288800000.0,0.12919966,-50400000.0,238400000.0,0.1066523509,61600000.0,176800000.0,0.0790945287,2.2,2.18,80500000,81000000,https://www.sec.gov/Archives/edgar/data/8818/000000881824000015/0000008818-24-000015-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000000881824000015/avy-20240629.htm,27.76770186335404,2.1962732919254657,2.4559006211180123,1.791304347826087,3.0434782608695654,28.4111801242236,-6.255900621118013,28.4111801242236,40.34782608695652,17601325000.0,20613525000.0,24.88875141402715,7.874256251957232,89.03047546788063,122.0618932038835,7.695914039613485,7.695914039613485,9.221815863642464,56.106491562329886,104.26669195751138,142.9509361997226,0.0100446983394716,0.0081925650483699,1.407371780857855,0.3878913499313104,8.198693522046815,0.8992788315859644,9.89041095890411,1.118212669683258,0.0040281058386229,0.4010180995475113,0.0,0.0,0.3363018485936709,0.270612038442084,0.0239341475417169,0.6806615776081425,0.004428935713327,37.46960250957579,0.0347109834542977,0.0321016795279164,-51.30062111801242,-332400000.0,-503600000.0,-3043300000.0,4048300000.0,1503300000.0,1307450000.0,976200000.0,61.54610119447054,75.16596718809615,56.0797405570393,1.4623184613371714,1.1973503883051622,1.6048576385345443,0.0773031349744217,0.6645962732919255,2024-07-23,2.26,bmo,2181894540.0,2025-04-25,2024-06-29,0.0707964601769912,221.99079365079365,433983.28571428574
2024-03-30,AVY,USD,8818,2024-04-30,2024-04-30 16:02:19,2024,Q1,2151300000.0,1519100000.0,632200000.0,0.2938688235,0,0.0,0.0,365200000.0,8600000.0,365200000.0,1884300000.0,0.0,28600000.0,77300000.0,344300000.0,0.1600427648,267000000.0,0.1241110026,-32600000.0,234400000.0,0.1089573746,62000000.0,172400000.0,0.0801375912,2.14,2.13,80500000,81000000,https://www.sec.gov/Archives/edgar/data/8818/000000881824000009/0000008818-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000000881824000009/avy-20240330.htm,26.72422360248447,2.1416149068322983,1.4881987577639753,0.7962732919254658,2.7801242236024843,27.37888198757764,-7.62111801242236,27.37888198757764,40.60869565217392,17971625000.0,21026325000.0,26.06094112529002,8.353844187235625,150.01356427378963,280.3685647425897,8.154094827586206,8.154094827586206,9.7737763212941,61.06977926227128,175.51189482470784,328.0237909516381,0.0095928999186217,0.0035667336704388,1.4702359346642468,0.3925283457699389,8.87220447284345,0.8726195514176894,9.335664335664337,0.6948955916473318,0.0036335055956264,0.3787703016241299,0.0,0.0,0.3413000290725845,0.4649415692821368,0.0258913215265188,0.720569210866753,0.0034862641193696,36.32200421827611,0.0321008799519087,0.0317045809809294,-52.579503105590064,-421400000.0,-613500000.0,-3164400000.0,3994300000.0,1446450000.0,1289300000.0,946600000.0,61.83238042114071,77.10815614508591,57.61635178724245,1.4555480378890393,1.1671917018824434,1.5620565552699228,0.0782214156079854,0.6919254658385093,2024-04-24,2.15,bmo,2150609199.0,2025-04-25,2024-03-30,0.0651162790697675,207.4054098360656,445977.2295081967
2023-12-30,AVY,USD,8818,2024-02-21,2024-02-21 16:04:03,2023,Q4,2110500000.0,1514500000.0,596000000.0,0.2823975361,135800000,0.0,0.0,334900000.0,10900000.0,334900000.0,1849400000.0,6900000.0,29700000.0,77000000.0,338100000.0,0.160199005,261100000.0,0.1237147595,-59500000.0,201600000.0,0.0955223881,58500000.0,143100000.0,0.067803838,1.78,1.77,80495585,81000000,https://www.sec.gov/Archives/edgar/data/8818/000000881824000003/0000008818-24-000003-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000000881824000003/avy-20231230.htm,26.218829268710824,1.777737251055446,3.874746670888845,2.67219624529718,3.1405449131154213,26.4349901798962,-9.128450970323405,26.434990192319244,40.67303815482551,16272987463.6,19302287463.6,28.42939808455625,7.71048920331675,52.17373345174735,75.65312628358903,7.647439947177968,7.647439947177968,9.145836277469794,57.09046868855368,61.886141274767546,89.73634339191074,0.0087937141425378,0.0132182244029342,1.5246487146952394,0.3951740603175685,8.9597752144336,1.0357473606223375,8.79124579124579,2.1795946890286517,0.0040066398469145,0.4556254367575122,0.0,0.0643449419568822,0.3486930254511307,0.3103558832959281,0.0458659085524757,1.2571428571428571,0.0023217247097844,32.517310819221414,0.0299995751031903,0.0267621701533096,-53.5131833627894,96500000.0,-734800001.0,-3285900000.0,4585000000.0,1420550000.0,1271200000.0,928400000.0,60.33688699360341,75.89237372069991,54.71310663585342,1.4916248498127076,1.1858899068201394,1.644944064298903,0.0672494008177076,1.2025504255916644,2024-01-31,2.15,bmo,2094660000.0,2025-04-25,2023-12-30,0.0046511627906977,186.8193650793651,433913.7460317461
2023-09-30,AVY,USD,8818,2023-10-31,2023-10-31 16:04:36,2023,Q3,2098300000.0,1512500000.0,585800000.0,0.2791783825,0,0.0,0.0,332600000.0,8700000.0,332600000.0,1845100000.0,31000000.0,31000000.0,75100000.0,337000000.0,0.160606205,261900000.0,0.1248153267,-68600000.0,184600000.0,0.0879759806,46300000.0,138300000.0,0.065910499,1.72,1.71,80600000,81000000,https://www.sec.gov/Archives/edgar/data/8818/000000881823000018/0000008818-23-000018-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000000881823000018/avy-20230930.htm,26.03349875930521,1.715880893300248,4.002481389578164,3.240694789081886,3.0496277915632755,25.6029776674938,-9.590570719602978,25.6029776674938,41.49627791563275,14723201999.999998,17826902000.0,26.614609544468543,7.0167287804413085,45.63918784872907,56.36754211332312,7.134716999418491,7.134716999418491,8.495878568364867,52.898818991097926,55.26008059516429,68.25000765696784,0.0093933371287033,0.0177407061317232,1.6057375460360537,0.4074215243879947,9.209792284866468,1.0255074153700396,8.448387096774194,2.3326102675343456,0.0044351765329308,0.4721619667389732,0.0,0.0,0.3487723008446963,0.1903285802851829,0.0292617833484249,0.8175765645805593,0.0024781966353714,31.43982115570992,0.0321406415469318,0.0261115831209289,-53.17617866004963,70000000.0,-773000000.0,-3255200000.0,4461800000.0,1420700000.0,1250050000.0,963300000.0,61.17237763904113,75.29057851239669,55.70181818181818,1.4712522787827793,1.1953686872678415,1.6157461809635725,0.0670188020934289,0.7617866004962779,2023-10-25,2.1,bmo,2171130000.0,2025-04-25,2023-09-30,0.0,181.0863492063492,510355.9206349207
2023-07-01,AVY,USD,8818,2023-08-01,2023-08-01 16:04:59,2023,Q2,2090500000.0,1537100000.0,553400000.0,0.2647213585,0,0.0,0.0,319600000.0,-61700000.0,319600000.0,1856700000.0,31900000.0,31900000.0,74000000.0,246100000.0,0.1177230328,172100000.0,0.0823248027,-93600000.0,140200000.0,0.0670652954,39800000.0,100400000.0,0.0480267878,1.24,1.24,80700000,81000000,https://www.sec.gov/Archives/edgar/data/8818/000000881823000015/0000008818-23-000015-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000000881823000015/avy-20230701.htm,25.904584882280048,1.2441140024783148,2.349442379182156,1.6418835192069392,3.14002478314746,24.971499380421317,-10.578686493184634,24.971499380421317,44.32961586121437,13864260000.0,17192660000.0,34.52255976095618,6.632030614685482,73.1237341772152,104.63592452830189,6.879843191742755,6.879843191742755,8.224185601530735,69.86046322633076,90.6785864978903,129.75592452830188,0.0072416414579645,0.0095569471432301,1.7593787217149663,0.4289101532729274,13.524583502641203,1.0928815118641468,5.394984326018808,1.8884462151394423,0.0047171648540924,0.651394422310757,0.0,0.0,0.3470597486178822,0.3011603375527426,0.0273140397034202,0.7716216216216216,0.000813202583114,26.438916788445898,0.0195830906249769,0.0186015488939118,-55.031598513011154,242300000.0,-853700000.0,-3400100000.0,4678200000.0,1392150000.0,1235500000.0,1020550000.0,60.927050944750064,72.29978530999935,57.99557608483508,1.477176370830978,1.2448169744088111,1.5518425037859669,0.0498213576816196,0.7075588599752168,2023-07-25,2.01,bmo,2156480000.0,2025-04-25,2023-07-01,-0.044776119402985,170.96032258064517,581445.0483870967
2023-04-01,AVY,USD,8818,2023-05-02,2023-05-02 16:05:30,2023,Q1,2065000000.0,1522700000.0,542300000.0,0.2626150121,0,0.0,0.0,334400000.0,-13200000.0,334400000.0,1857100000.0,26400000.0,26400000.0,72300000.0,267000000.0,0.1292978208,194700000.0,0.0942857143,-39600000.0,168300000.0,0.0815012107,47100000.0,121200000.0,0.0586924939,1.5,1.49,80900000,81500000,https://www.sec.gov/Archives/edgar/data/8818/000000881823000009/0000008818-23-000009-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000000881823000009/avy-20230401.htm,25.525339925834363,1.4981458590852903,0.0234857849196538,-0.8393077873918418,4.791100123609394,25.252163164400493,-8.377008652657603,25.252163164400493,44.32014833127317,14475437000.0,17683237000.0,29.858574669967,7.009896852300242,7618.651052631579,-213.18758468335787,7.085729600078321,7.085729600078321,8.563310895883777,66.22935205992509,9306.966842105265,-260.43058910162006,0.0083728042200038,-0.0046907046744081,1.7421802339811052,0.4328594188973888,12.014232209737829,1.130688050837841,7.375,0.0156765676567656,0.0042002186186157,0.5016501650165016,0.0,0.0,0.3308806538316529,36.73684210526316,0.0338014527845036,0.9654218533886584,0.0050847457627118,29.17545257143556,0.0225171055751469,0.0220295545013359,-52.40636588380717,345500000.0,-677700000.0,-3190200000.0,4631700000.0,1371750000.0,1287750000.0,1030250000.0,59.67021791767554,73.06626387338281,62.09627635121824,1.5082901175955008,1.2317586151108235,1.4493622691795165,0.059327426697342,0.8627935723114957,2023-04-26,1.66,bmo,2176830000.0,2025-04-25,2023-04-01,0.0240963855421686,181.65451612903223,505511.6774193549
2022-12-31,AVY,USD,8818,2023-02-22,2023-02-22 16:06:18,2022,Q4,2025900000.0,1525700000.0,500200000.0,0.2469026112,136100000,0.0,0.0,312300000.0,3800000.0,312300000.0,1838000000.0,22500000.0,22500000.0,73500000.0,265200000.0,0.1309047831,191700000.0,0.0946246113,-18700000.0,169200000.0,0.0835184363,46300000.0,122900000.0,0.0606643961,1.52,1.51,80810016,81600000,https://www.sec.gov/Archives/edgar/data/8818/000000881823000002/0000008818-23-000002-index.htm,https://www.sec.gov/Archives/edgar/data/8818/000000881823000002/avy-20221231.htm,25.069912125744413,1.5208510786583682,4.2791725223764345,3.0243775722059008,2.4563786746435,25.147872758743173,-8.297238797725273,25.147872758743173,38.66599902665531,14626612896.0,17561512896.0,29.75307749389748,7.219809909669776,42.29789732793522,59.84702494271686,7.197427859462652,7.197427859462652,8.668499381015845,66.21988271493213,50.78517320994795,71.85561741407528,0.0084024921472838,0.0167092683547287,1.5264737722665092,0.3901767184453808,11.066742081447964,0.9936424030287878,8.52,2.8136696501220504,0.004143132824454,0.4930838079739625,0.0,0.0671800187570956,0.3399408842211182,0.2932330827067669,0.0500518288168221,1.379591836734694,0.0063675403524359,29.334941822845053,0.0242191371308477,0.0234193376271961,-51.776378809280274,-17800000.0,-670500000.0,-3136300000.0,4225100000.0,1480000000.0,1361200000.0,1012150000.0,61.05730786317192,79.00439142688602,59.57331061152257,1.4740250291036088,1.1391771821100576,1.5107436379839587,0.0604763310697765,1.254794950170533,2023-02-02,2.02,bmo,2156788398.0,2025-04-25,2022-12-31,-0.1831683168316832,178.18920634920636,528270.9523809524
