date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-02-01,BBWI,USD,701985,2025-03-14,2025-03-14 16:19:39,2024,Q4,2787000000.0,1486000000.0,1301000000.0,0.4668101902,0,0.0,0.0,623000000.0,0.0,623000000.0,2109000000.0,0.0,76000000.0,71000000.0,759000000.0,0.272335845,678000000.0,0.2432723358,-67000000.0,611000000.0,0.2192321493,158000000.0,453000000.0,0.162540366,2.1,2.09,216000000,217000000,https://www.sec.gov/Archives/edgar/data/701985/000070198525000011/0000701985-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198525000011/bbwi-20250201.htm,12.90277777777778,2.0972222222222223,4.421296296296297,4.143518518518518,3.1203703703703702,-6.402777777777778,-10.074074074074074,-6.412037037037037,23.310185185185187,8123760000.0,12408760000.0,4.483311258278145,2.914876210979548,8.506554973821988,9.07682681564246,-5.865530685920578,-5.865530685920578,4.452371725870111,16.34882740447958,12.993465968586388,13.864536312849165,0.0557623563473071,0.1101706598914788,-3.5805054151624547,1.0178571428571428,5.645586297760211,1.4809098294069862,8.921052631578947,2.108167770419426,0.005293115503166,0.0949227373068432,0.0,0.0,0.1627668308702791,0.06282722513089,0.0215285252960172,0.8450704225352113,0.0032292787944025,,0.131143831051131,0.1110566315273351,-23.42708333333333,592000000.0,-2176000000.0,-4432000000.0,3461000000.0,202500000.0,424000000.0,956000000.0,6.620021528525296,20.471063257065943,44.45491251682368,13.595121951219513,4.396449704142012,2.024523160762943,-0.3270758122743682,0.2777777777777778,2025-02-27,2.04,bmo,1421895300.0,2025-05-11,2025-02-01,0.0245098039215685,33.43515625,4947410.21875
2024-11-02,BBWI,USD,701985,2024-11-26,2024-11-26 17:13:53,2024,Q3,1610000000.0,910000000.0,700000000.0,0.4347826087,0,482000000.0,0.0,482000000.0,0.0,482000000.0,1392000000.0,0.0,77000000.0,69000000.0,291000000.0,0.1807453416,218000000.0,0.1354037267,-73000000.0,145000000.0,0.0900621118,39000000.0,106000000.0,0.0658385093,0.49,0.48,218000000,219000000,https://www.sec.gov/Archives/edgar/data/701985/000070198524000033/0000701985-24-000033-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198524000033/bbwi-20241102.htm,7.385321100917431,0.4862385321100917,-0.4541284403669725,-0.7522935779816514,0.8761467889908257,-8.01834862385321,-10.89908256880734,-8.022935779816514,24.912844036697248,6304560000.0,11467560000.0,14.869245283018868,3.9158757763975154,-63.68242424242425,-38.44243902439025,-3.60466552315609,-3.60466552315609,7.122708074534161,39.40742268041237,-115.8339393939394,-69.92414634146341,0.0168132272513862,-0.0260129176342203,-3.061177815894797,1.0742375601926164,17.742268041237114,1.092063492063492,2.831168831168831,-0.9339622641509434,0.0069790754628395,0.4150943396226415,0.2993788819875776,0.0,0.1260032102728732,-0.6565656565656566,0.0403726708074534,0.9420289855072465,0.0055900621118012,,0.0407480228180463,0.0243342516069788,-26.61467889908257,145000000.0,-2376000000.0,-5012000000.0,2960000000.0,173000000.0,460500000.0,1020500000.0,11.180124223602483,50.43956043956044,116.5054945054945,8.05,1.7843137254901962,0.7724957555178268,-0.0606060606060606,0.2981651376146789,2024-11-25,0.47,bmo,1579292366.0,2025-04-25,2024-11-02,0.0425531914893617,33.16125,5265976.1875
2024-08-03,BBWI,USD,701985,2024-08-28,2024-08-28 17:26:00,2024,Q2,1526000000.0,900000000.0,626000000.0,0.4102228047,0,0.0,443000000.0,443000000.0,0.0,443000000.0,1343000000.0,0.0,77000000.0,71000000.0,254000000.0,0.1664482307,183000000.0,0.119921363,-30000000.0,153000000.0,0.1002621232,1000000.0,152000000.0,0.0996068152,0.68,0.68,222000000,223000000,https://www.sec.gov/Archives/edgar/data/701985/000070198524000027/0000701985-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198524000027/bbwi-20240803.htm,6.873873873873874,0.6846846846846847,-0.2072072072072072,-0.4549549549549549,2.315315315315315,-7.738738738738738,-11.31081081081081,-7.743243243243243,24.50900900900901,7370400000.000001,12220400000.0,12.122368421052633,4.829882044560944,-160.22608695652175,-72.97425742574258,-4.287609075043631,-4.287609075043631,8.008125819134994,48.111811023622046,-265.6608695652174,-120.9940594059406,0.0206230326712254,-0.0137034624986432,-3.1204188481675392,1.084074373484236,19.09448818897637,1.1128924515698062,2.3766233766233764,-0.3026315789473684,0.0061055030934549,0.2960526315789473,0.0,0.0,0.1602667744543249,-1.1956521739130437,0.0360419397116644,0.7746478873239436,0.0065530799475753,,0.0439564607274244,0.0365824308062575,-25.274774774774773,169000000.0,-2511000000.0,-5000000000.0,3171000000.0,133500000.0,407000000.0,838500000.0,8.610747051114023,41.1,86.3,10.452054794520548,2.18978102189781,1.0428736964078795,-0.0884235020360674,0.2477477477477477,2024-08-28,0.356,bmo,1541950264.0,2025-04-25,2024-08-03,0.0393258426966292,45.90396825396825,2912137.222222222
2024-05-04,BBWI,USD,701985,2024-06-04,2024-06-04 16:55:29,2024,Q1,1384000000.0,778000000.0,606000000.0,0.4378612717,0,419000000.0,419000000.0,419000000.0,12000000.0,419000000.0,1197000000.0,0.0,82000000.0,71000000.0,258000000.0,0.186416185,187000000.0,0.1351156069,-69000000.0,118000000.0,0.0852601156,31000000.0,87000000.0,0.0628612717,0.39,0.39,225000000,226000000,https://www.sec.gov/Archives/edgar/data/701985/000070198524000018/0000701985-24-000018-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198524000018/bbwi-20240504.htm,6.151111111111111,0.3866666666666666,0.3377777777777778,0.1333333333333333,3.8,-7.448888888888889,-10.973333333333333,-7.453333333333333,24.622222222222224,10343250000.0,14946250000.0,29.72198275862069,7.473446531791907,136.0953947368421,344.775,-6.167710196779964,-6.167710196779964,10.799313583815028,57.9312015503876,196.66118421052636,498.2083333333333,0.0084112827206148,0.0029004423174534,-3.2546213476446035,1.0453936027580923,17.84108527131783,1.57002457002457,2.2804878048780486,0.8735632183908046,0.0043506634761801,0.5172413793103449,0.3027456647398844,0.0,0.1518866117601991,0.6052631578947368,0.0332369942196531,0.647887323943662,0.0086705202312138,,0.0315354257447237,0.0196476964769647,-24.641111111111112,696000000.0,-2469000000.0,-4980000000.0,3719000000.0,172500000.0,391500000.0,762000000.0,7.868497109826589,46.61953727506427,94.16452442159384,11.43801652892562,1.9305210918114144,0.9557739557739556,-0.0518783542039356,0.2044444444444444,2024-06-04,0.33,bmo,1367720659.0,2025-04-25,2024-05-04,0.1515151515151514,44.90983606557377,2789691.5081967213
2024-02-03,BBWI,USD,701985,2024-03-22,2024-03-22 16:40:07,2023,Q4,2912000000.0,1576000000.0,1336000000.0,0.4587912088,0,63000000.0,578000000.0,641000000.0,13000000.0,641000000.0,2217000000.0,0.0,86000000.0,70000000.0,765000000.0,0.262706044,695000000.0,0.2386675824,-74000000.0,622000000.0,0.2135989011,43000000.0,579000000.0,0.1988324176,2.57,2.55,225000000,227000000,https://www.sec.gov/Archives/edgar/data/701985/000070198524000010/0000701985-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198524000010/bbwi-20240203.htm,12.942222222222222,2.5733333333333333,4.115555555555556,3.902222222222222,4.817777777777778,-7.226666666666667,-10.751111111111111,-7.231111111111111,25.15111111111111,9776250000.0,14265250000.0,4.221178756476684,3.357228708791209,10.557505399568036,11.134681093394075,-6.008758451137063,-6.008758451137063,4.898780906593407,18.64738562091503,15.40523758099352,16.24743735763098,0.0592251630226313,0.0898094872778417,-3.4253226797787337,1.0201354567087682,5.86797385620915,1.6408068269976726,8.081395348837209,1.5993091537132988,0.004602991944764,0.077720207253886,0.0216346153846153,0.0,0.1451583379095735,0.0518358531317494,0.0164835164835164,0.6857142857142857,0.0048076923076923,,0.1426264056891066,0.123982869379015,-24.364444444444445,826000000.0,-2419000000.0,-4974000000.0,3895000000.0,210500000.0,503500000.0,957500000.0,6.923076923076923,21.7005076142132,40.545685279187815,13.0,4.147368421052631,2.219718309859155,-0.3558696988322065,0.2133333333333333,2024-02-29,1.87,bmo,2840051352.0,2025-04-25,2024-02-03,0.1016042780748662,33.77412698412699,3465806.8412698414
2023-10-28,BBWI,USD,701985,2023-12-01,2023-12-01 17:12:47,2023,Q3,1562000000.0,880000000.0,682000000.0,0.4366197183,0,461000000.0,461000000.0,461000000.0,22000000.0,461000000.0,1341000000.0,0.0,84000000.0,70000000.0,313000000.0,0.2003841229,221000000.0,0.1414852753,-62000000.0,159000000.0,0.1017925736,40000000.0,119000000.0,0.076184379,0.52,0.52,227000000,228000000,https://www.sec.gov/Archives/edgar/data/701985/000070198523000035/0000701985-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198523000035/bbwi-20231028.htm,6.881057268722467,0.5242290748898678,-0.2158590308370044,-0.5330396475770925,1.8149779735682816,-9.3568281938326,-12.85022026431718,-9.3568281938326,25.51982378854625,6421830000.0,11718830000.0,13.49123949579832,4.111286811779769,-131.0577551020408,-53.07297520661157,-3.023460451977401,-3.023460451977401,7.5024519846350834,37.44035143769968,-239.15979591836737,-96.8498347107438,0.0185305434743679,-0.0188419811798194,-2.687853107344633,1.0888804119778752,16.923322683706072,1.390347764371895,2.630952380952381,-0.4117647058823529,0.0070073483726601,0.3781512605042016,0.2951344430217669,0.0,0.1512492847606332,-1.469387755102041,0.0460947503201024,1.0285714285714285,0.0070422535211267,,0.0392134935332552,0.0267415730337078,-27.33370044052863,550000000.0,-2917000000.0,-5408000000.0,3654000000.0,175000000.0,567500000.0,1011500000.0,11.350832266325224,64.125,123.23863636363636,7.928934010152284,1.4035087719298245,0.7302904564315352,-0.0560263653483992,0.3171806167400881,2023-11-16,0.35,bmo,1558780000.0,2025-04-25,2023-10-28,0.3714285714285714,36.31587301587302,3593527.031746032
2023-07-29,BBWI,USD,701985,2023-09-01,2023-09-01 16:58:39,2023,Q2,1559000000.0,937000000.0,622000000.0,0.3989737011,0,434000000.0,434000000.0,434000000.0,25000000.0,434000000.0,1371000000.0,86000000.0,86000000.0,66000000.0,279000000.0,0.1789608724,188000000.0,0.1205901219,-61000000.0,127000000.0,0.0814624759,28000000.0,99000000.0,0.063502245,0.43,0.43,228000000,229000000,https://www.sec.gov/Archives/edgar/data/701985/000070198523000030/0000701985-23-000030-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198523000030/bbwi-20230729.htm,6.837719298245614,0.4342105263157895,0.1447368421052631,-0.2280701754385964,3.4649122807017543,-9.447368421052632,-12.925438596491228,-9.447368421052632,26.214912280701757,8331120000.0,13432120000.0,21.038181818181812,5.343887107119949,252.4581818181818,-160.21384615384616,-3.867743732590529,-3.867743732590529,8.615856318152662,48.14379928315413,407.0339393939394,-258.31,0.0118831561662777,-0.0062416577843075,-2.734911792014856,1.1339749759384024,18.2831541218638,1.560593569661995,2.186046511627907,0.3333333333333333,0.0055214665015027,0.4646464646464646,0.2783835792174471,0.0,0.1526467757459095,2.575757575757576,0.0545221295702373,1.2878787878787878,0.0070558050032071,,0.0336435218324982,0.0224897773739209,-26.470394736842103,680000000.0,-2947000000.0,-5456000000.0,3789000000.0,149000000.0,467000000.0,794500000.0,8.832584990378447,48.794023479188894,78.56990394877268,10.18954248366013,1.844488188976378,1.145476772616137,-0.0459610027855153,0.3728070175438596,2023-08-23,0.33,bmo,1566180000.0,2025-04-25,2023-07-29,0.2121212121212121,36.56548387096774,3727358.35483871
2023-04-29,BBWI,USD,701985,2023-06-02,2023-06-02 16:42:10,2023,Q1,1396000000.0,800000000.0,596000000.0,0.4269340974,0,415000000.0,415000000.0,415000000.0,0.0,415000000.0,1215000000.0,0.0,89000000.0,63000000.0,264000000.0,0.1891117479,181000000.0,0.1296561605,-69000000.0,112000000.0,0.0802292264,31000000.0,81000000.0,0.0580229226,0.36,0.35,229000000,230000000,https://www.sec.gov/Archives/edgar/data/701985/000070198523000018/0000701985-23-000018-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198523000018/bbwi-20230429.htm,6.096069868995633,0.3537117903930131,0.1921397379912663,-0.2139737991266375,4.567685589519651,-9.475982532751091,-12.93886462882096,-9.480349344978166,26.49344978165939,8037900000.0,12969900000.0,24.808333333333337,5.757808022922636,182.67954545454543,-164.0387755102041,-3.702395209580839,-3.702395209580839,9.290759312320915,49.12840909090909,294.7704545454545,-264.6918367346939,0.0100772589855559,-0.0060961196332375,-2.753569783509904,1.1146746224128286,18.681818181818183,1.6288175411119812,2.033707865168539,0.5432098765432098,0.0057228878189576,0.5679012345679012,0.2972779369627507,0.0,0.147865000932314,2.113636363636364,0.0666189111747851,1.4761904761904765,0.0050143266475644,,0.030793174715193,0.0177242888402625,-26.169213973799128,803000000.0,-2963000000.0,-5453000000.0,3891000000.0,72500000.0,213000000.0,385500000.0,9.34813753581662,47.925,86.73750000000001,9.627586206896552,1.8779342723004693,1.0376134889753568,-0.0373099953938277,0.4061135371179039,2023-05-18,0.26,bmo,1395690000.0,2025-04-25,2023-04-29,0.2692307692307693,41.89032258064516,3122637.8387096776
2023-01-28,BBWI,USD,701985,2023-03-17,2023-03-17 17:17:26,2022,Q4,2888000000.0,1639000000.0,1249000000.0,0.4324792244,0,597000000.0,0.0,597000000.0,0.0,597000000.0,2236000000.0,0.0,86000000.0,59000000.0,722000000.0,0.25,652000000.0,0.2257617729,-76000000.0,576000000.0,0.1994459834,148000000.0,434000000.0,0.1502770083,1.9,1.89,228421052,230000000,https://www.sec.gov/Archives/edgar/data/701985/000070198523000008/0000701985-23-000008-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198523000008/bbwi-20230128.htm,12.643318007308713,1.900000005253456,4.714976971562148,4.382258076632971,0.0,0.0,0.0,0.0,0.376497696893542,10198999971.8,10198999971.8,5.87499998375576,3.5315096855263155,9.469823557845867,10.18881116063936,0.0,0.0,3.5315096855263155,14.126038742105262,9.469823557845867,10.18881116063936,0.0425531916070203,0.0981468774161919,0.0,0.0,0.0,0.0,7.5813953488372094,2.4815668202764978,0.0045102461150298,0.1059907834101382,0.2067174515235457,0.0,0.0,0.0705663881151346,0.0263157894736842,1.2881355932203389,0.0041551246537396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121000000.0,316000000.0,634500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327188949291766,2023-02-23,1.62,bmo,2806936658.0,2025-04-25,2023-01-28,0.1481481481481481,37.28190476190476,3910932.238095238
2022-10-29,BBWI,USD,701985,2022-11-30,2022-11-30 17:02:34,2022,Q3,1604000000.0,926000000.0,678000000.0,0.4226932668,0,476000000.0,476000000.0,476000000.0,0.0,476000000.0,1402000000.0,0.0,86000000.0,56000000.0,261000000.0,0.1627182045,202000000.0,0.1259351621,-83000000.0,119000000.0,0.0741895262,28000000.0,91000000.0,0.0567331671,0.4,0.4,228000000,229144000,https://www.sec.gov/Archives/edgar/data/701985/000070198522000040/0000701985-22-000040-index.htm,https://www.sec.gov/Archives/edgar/data/701985/000070198522000040/bbwi-20221029.htm,7.035087719298246,0.3991228070175439,-0.0614035087719298,-0.4605263157894737,1.293859649122807,-11.43859649122807,-14.916666666666666,-11.442982456140353,21.69298245614035,7658520000.000001,12223520000.0,21.039890109890116,4.774638403990026,-547.037142857143,-72.93828571428573,-2.9354235339210426,-2.9354235339210426,7.620648379052369,46.833409961685824,-873.1085714285714,-116.4144761904762,0.0118821913372296,-0.0137102207737265,-1.862782675354542,0.9468147282291058,17.490421455938698,1.3415977961432506,2.3488372093023258,-0.1538461538461538,0.0060063824342039,0.5054945054945055,0.2967581047381546,0.0,0.1544905513345022,-6.5,0.0567331670822942,1.625,0.006857855361596,,0.0383206619288747,0.0209677419354838,-29.07894736842105,496000000.0,-3401000000.0,-5793000000.0,3484000000.0,213000000.0,609500000.0,1120000000.0,13.578553615960098,61.42548596112312,123.33693304535636,6.628099173553719,1.4651898734177216,0.7297084318360915,-0.0348792640858566,0.3991228070175439,2022-11-16,0.2,amc,1556781331.0,2025-04-25,2022-10-29,1.0,35.275625,4122867.28125
