date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,BIIB,USD,875045,2025-05-01,2025-05-01 16:48:23,2025,Q1,2431000000.0,629300000.0,1801700000.0,0.7411353353,434100000,0.0,0.0,572500000.0,0.0,1176500000.0,1805800000.0,0.0,0.0,0.0,0.0,0.0,625200000.0,0.257178116,-314000000.0,311200000.0,0.1280131633,70700000.0,240500000.0,0.0989304813,1.65,1.65,146100000,145900000,https://www.sec.gov/Archives/edgar/data/875045/000087504525000018/0000875045-25-000018-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504525000018/biib-20250331.htm,16.639288158795345,1.646132785763176,1.7748117727583848,1.4524298425735798,17.784394250513348,116.21286789869951,6.276522929500342,116.21286789869951,45.31964407939768,19992324000.0,24015224000.0,20.78204158004158,8.223909502262444,77.101133821828,94.21453345900096,1.1774943900298611,1.1774943900298611,9.878742904154668,0.0,92.61559583494022,113.1725918944392,0.0120296169669919,0.0106140736814789,0.3899709636191227,0.2361922156308078,0.0,1.4395741307056291,0.0,0.0,0.0,0.0,0.0,0.1785684903331962,0.5729548283992851,0.1816428846895487,0.0193747429041546,0.0,0.0,65.60709389579239,0.0212513308034532,0.0200895467530948,-41.86841204654346,2328600000.0,917000000.0,-3428400000.0,21869100000.0,1735850000.0,407850000.0,2367200000.0,59.342245989304814,55.99078341013825,325.20419513745435,1.5166261151662612,1.6074074074074074,0.2767491974141343,0.014164806492841,0.3223819301848049,2025-05-01,3.26,bmo,2321937080.0,2025-05-11,2025-03-31,-0.0736196319018404,142.99591666666666,1558668.25
2024-12-31,BIIB,USD,875045,2025-02-12,2025-02-12 07:06:19,2024,Q4,2454700000.0,583500000.0,1871200000.0,0.7622927445,532300000,0.0,0.0,680000000.0,208300000.0,1420600000.0,2004100000.0,18500000.0,60000000.0,184000000.0,535500000.0,0.2181529311,450600000.0,0.1835662199,-159100000.0,291500000.0,0.1187517823,24800000.0,266700000.0,0.1086487147,1.8304735758407689,1.8254620123203285,145700000,146100000,https://www.sec.gov/Archives/edgar/data/875045/000087504525000009/0000875045-25-000009-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504525000009/biib-20241231.htm,16.847632120796156,1.831159917638984,5.222374742621826,4.767330130404941,16.300617707618393,114.72889498970488,3.746739876458476,114.72889498970488,45.506520247083046,22280444000.0,26535744000.0,20.877477511244376,9.076646433372714,29.28169798922329,32.07665418946156,1.3328813113184972,1.3328813113184972,10.810178025828003,0.0,34.87415429097122,38.20291390728477,0.0119746267174927,0.0311753212817482,0.3966439339554917,0.2363802305226868,0.0,1.3487194327883083,0.0,2.853018372703412,0.0,0.0,0.0,0.2168493090805393,0.576488539820958,0.0871336575108424,0.0270094105185969,0.3603260869565217,0.0,68.75286512396114,0.0504929425269593,0.0224594248770961,-43.421070693205216,1928000000.0,545900000.0,-3876500000.0,21635800000.0,1928450000.0,423450000.0,2464850000.0,68.5183525481729,0.0,0.0,1.3135166952054795,0.0,0.0,0.0159607561617611,0.455044612216884,2025-02-12,3.43,bmo,2408313451.0,2025-05-11,2024-12-31,0.0029154518950436,168.66859375,1523655.15625
2024-09-30,BIIB,USD,875045,2024-10-30,2024-10-30 16:31:22,2024,Q3,2465800000.0,638700000.0,1827100000.0,0.7409765593,542700000,0.0,0.0,588400000.0,245000000.0,1376100000.0,2014800000.0,11600000.0,59800000.0,182800000.0,693600000.0,0.2812880201,496400000.0,0.2013139752,-45400000.0,451000000.0,0.1829021007,62500000.0,388500000.0,0.1575553573,2.67,2.66,145700000,145900000,https://www.sec.gov/Archives/edgar/data/875045/000087504524000032/0000875045-24-000032-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504524000032/biib-20240930.htm,16.923816060398078,2.666437886067261,6.421413864104324,5.529169526424159,11.662319835277968,112.27796842827728,0.4639670555936857,112.27796842827728,46.05833905284832,28242488000.0,33194188000.0,18.1740592020592,11.453681563792683,30.18649850363403,35.057706057596825,1.7264295276577275,1.7264295276577275,13.461833076486332,47.85782583621684,35.47903805044891,41.20430486593843,0.013755870233529,0.0285243991251762,0.4065615658754561,0.2349045674808923,7.139129181084199,1.2590783410138249,8.301003344481606,2.408236808236808,0.0,0.0,0.0,0.2200908427285262,0.5753959284008873,0.138948268490808,0.0527212263768351,0.7111597374179431,0.029483331981507,82.0737482251542,0.0173568444011731,0.0323160232575549,-51.67759094028826,1405500000.0,67600000.0,-5123800000.0,21288100000.0,2033149999.5,388600000.0,2487650000.0,72.56427934139022,59.56317519962423,347.93799906059184,1.2402796640008047,1.511000709723208,0.2586667746638587,0.0237485405497924,0.8922443376801648,2024-10-30,3.77,bmo,2434500754.0,2025-04-25,2024-09-30,0.0822281167108753,209.209375,994898.15625
2024-06-30,BIIB,USD,875045,2024-08-01,2024-08-01 16:11:25,2024,Q2,2353000000.0,704800000.0,1648200000.0,0.7004674883,442000000,0.0,0.0,553800000.0,-2000000.0,995800000.0,1700600000.0,20100000.0,61300000.0,158800000.0,918800000.0,0.390480238,652400000.0,0.2772630684,-113200000.0,698700000.0,0.2969400765,115100000.0,583600000.0,0.2480237994,4.01,4.0,145600000,145900000,https://www.sec.gov/Archives/edgar/data/875045/000087504524000025/0000875045-24-000025-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504524000025/biib-20240630.htm,16.160714285714285,4.008241758241758,4.298076923076923,4.0054945054945055,13.110576923076923,109.12843406593409,9.813186813186814,109.12843406593409,47.48489010989011,33745712000.0,38689312000.0,14.455839616175464,14.34156906077348,53.924116331096194,57.863017832647465,2.1238277813091995,2.1238277813091995,16.442546536336593,42.10852416195037,61.82376478108021,66.33969821673526,0.0172940490928151,0.0172821957349721,0.4312704936088262,0.2556511876914352,5.3804962995211145,2.2870149926002186,10.64274061990212,1.0723098012337218,0.0,0.0,0.0,0.1878453038674033,0.5394809003100272,0.0680728667305848,0.0181045473863153,0.2682619647355164,0.0300042498937526,99.20582540747652,0.0229966875143543,0.0472787958327257,-42.543956049107145,4000300000.0,1428800000.0,-3806500000.0,22099300000.0,2038949999.5,370750000.0,2511450000.0,79.48916273268168,45.26816118047673,320.0184449489217,1.1322298148071552,1.9881523272214388,0.2812337895534895,0.0367295819146458,0.2925824175824176,2024-08-01,4.07,bmo,2392415810.0,2025-04-25,2024-06-30,0.2972972972972972,217.32396825396825,1150430.6666666667
2024-03-31,BIIB,USD,875045,2024-04-24,2024-04-24 16:15:22,2024,Q1,2200300000.0,689800000.0,1510500000.0,0.6864972958,383600000,0.0,0.0,581500000.0,-1900000.0,965100000.0,1654900000.0,17400000.0,69200000.0,147600000.0,681600000.0,0.3097759396,545400000.0,0.2478752897,-80600000.0,464800000.0,0.2112439213,71400000.0,393400000.0,0.1787938008,2.71,2.7,145200000,145900000,https://www.sec.gov/Archives/edgar/data/875045/000087504524000016/0000875045-24-000016-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504524000016/biib-20240331.htm,15.15358126721763,2.709366391184573,3.809917355371901,2.977272727272727,7.399449035812672,104.77272727272728,4.827134986225896,104.77272727272728,48.31818181818182,31193316000.0,37065516000.0,19.822900355871887,14.176846793619053,56.38704989154014,72.15664122137404,2.0504381778741867,2.0504381778741867,16.845664682088806,54.38015845070422,67.00201735357918,85.74026370575989,0.0126116761680611,0.0138587381989141,0.4566226253861828,0.2614688568030232,8.61531690140845,2.0963758222663524,7.881502890173411,1.4062023385866802,0.0,0.0,0.0,0.1743398627459891,0.546233005615863,0.2185466377440347,0.0549470526746352,0.8191056910569106,0.0330863973094578,79.91885500101448,0.0195644241408428,0.0326324084442785,-51.804579889807165,3533400000.0,700900000.0,-4598400000.0,21748900000.0,2049850000.0,395150000.0,2522100000.0,81.79475526064628,50.49289649173674,328.3734415772688,1.1003150472570886,1.7824289405684757,0.2740781945327399,0.0258594623019785,0.8326446280991735,2024-04-24,3.47,bmo,2309062540.0,2025-04-25,2024-03-31,0.057636887608069,234.2018032786885,1181073.6065573771
2023-12-31,BIIB,USD,875045,2024-02-13,2024-02-13 07:07:23,2023,Q4,2386300000.0,618300000.0,1768000000.0,0.7408959477,570900000,537100000.0,71400000.0,608500000.0,1600000.0,1310300000.0,1928600000.0,23800000.0,71500000.0,140100000.0,601200000.0,0.2519381469,291600000.0,0.1221975443,-133600000.0,291600000.0,0.1221975443,42700000.0,249700000.0,0.1046389808,1.72,1.71,144900000,145700000,https://www.sec.gov/Archives/edgar/data/875045/000087504524000009/0000875045-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504524000009/biib-20231231.htm,16.468599033816425,1.7232574189095928,0.0862663906142167,-0.3636991028295376,7.245686680469289,102.13526570048307,1.4989648033126295,102.13526570048307,51.13664596273292,37495773000.0,43784073000.0,37.540821986383655,15.71293341155764,2999.66184,-711.4947438330171,2.533600889225238,2.533600889225238,18.348100825545824,72.82779940119761,3502.72584,-830.8173244781784,0.0066594173161865,-0.0014054917603645,0.4958444261253835,0.2733564787221361,10.459580838323353,1.997292024575605,4.078321678321679,0.0502209722780233,0.0,0.0,0.2250764782298956,0.2392406654653648,0.5432038979616164,5.216,0.0273226333654611,0.4653818700927908,0.0230063277877886,62.92948810287471,0.0105239569063202,0.0203627289481839,-56.29261559696342,3425000000.0,217200000.0,-5186100000.0,21736900000.0,2154850000.0,421700000.0,2754900000.0,79.2021120563215,58.704512372634646,367.8893740902474,1.1363333333333334,1.5331019092486982,0.244638759199177,0.0168723056340121,0.4499654934437543,2024-02-13,3.16,bmo,2465030000.0,2025-04-25,2023-12-31,-0.0664556962025316,245.61714285714285,1096745.1904761903
2023-09-30,BIIB,USD,875045,2023-11-08,2023-11-08 16:35:26,2023,Q3,2530300000.0,659600000.0,1870700000.0,0.7393194483,736300000,0.0,0.0,788200000.0,-300000000.0,1635900000.0,2295500000.0,95900000.0,63800000.0,125000000.0,47600000.0,0.0188119986,-141200000.0,-0.0558036596,-376000000.0,-141200000.0,-0.0558036596,-72900000.0,-68100000.0,-0.0269138047,-0.47,-0.47,144800000,144800000,https://www.sec.gov/Archives/edgar/data/875045/000087504523000038/0000875045-23-000038-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504523000038/biib-20230930.htm,17.474447513812155,-0.4703038674033149,4.091160220994476,3.4861878453038675,15.800414364640885,99.99792817679558,2.2624309392265194,99.99792817679558,53.72237569060773,37215048000.0,42642348000.0,-136.61911894273126,14.707761135043276,62.82081026333557,73.72236133122028,2.5701532490314025,2.5701532490314025,16.852684661897797,895.8476470588236,71.98235651586765,84.47374801901744,-0.0018299049352294,0.013564405452332,0.5328287188270475,0.2736546401259878,114.0189075630252,1.6833124265774646,-2.2131661442006267,-8.67349926793558,0.0,0.0,0.0,0.2909931628660633,0.5019685597945603,0.1478730587440918,0.0346204007429949,0.7008,0.0245820653677429,,-0.0028853993722249,-0.0048500473609617,-57.16246546961326,3431800000.0,327600000.0,-5259400000.0,21346400000.0,2166850000.0,442750000.0,2157950000.0,78.59660909773545,60.05003032140692,406.9375379017586,1.1450875684482056,1.4987502840263576,0.2211641630901287,-0.0047031361146985,0.6049723756906077,2023-11-08,3.99,bmo,2389710000.0,2025-04-25,2023-09-30,0.0927318295739348,267.4687301587301,1004456.3492063492
2023-06-30,BIIB,USD,875045,2023-07-25,2023-07-25 16:20:33,2023,Q2,2456000000.0,592700000.0,1863300000.0,0.7586726384,584200000,548000000.0,0.0,548000000.0,109800000.0,1242000000.0,1834700000.0,75900000.0,49100000.0,117400000.0,750700000.0,0.3056596091,655700000.0,0.2669788274,0.0,708100000.0,0.2883143322,114800000.0,591600000.0,0.2408794788,4.09,4.07,144700000,145500000,https://www.sec.gov/Archives/edgar/data/875045/000087504523000030/0000875045-23-000030-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504523000030/biib-20230630.htm,16.97304768486524,4.088458880442294,3.36558396682792,2.7643400138217,42.0062197650311,99.93434692467171,47.89495507947478,99.93434692467171,45.87491361437457,41217795000.0,45188995000.0,17.41793230223124,16.782489820846905,84.6361293634497,103.0444875,2.8503713564537883,2.8503713564537883,18.39942793159609,60.19581057679499,92.79054414784396,112.9724875,0.0143530239790847,0.0097045463009362,0.4556550603367795,0.2619172549767856,5.289996003729852,3.273717244625765,13.35437881873727,0.820832631046688,0.0,0.0,0.2231270358306188,0.2378664495114006,0.2993266234179227,0.1786447638603696,0.0354234527687296,0.7410562180579217,0.0291123778501628,95.8800971696991,0.025006271979645,0.0335627201915276,-16.29751209398756,7245200000.0,6930400000.0,-264600000.0,18449000000.0,2076100000.0,468300000.0,1307250000.0,77.83387622149837,67.63286654293908,202.48861143917665,1.1563088512241055,1.330713964975303,0.444469441319835,0.0409114484284775,0.6012439530062198,2023-07-25,3.77,bmo,2369330000.0,2025-04-25,2023-06-30,0.0663129973474799,297.83758064516127,989684.8387096776
2023-03-31,BIIB,USD,875045,2023-04-25,2023-04-25 16:21:24,2023,Q1,2463000000.0,662800000.0,1800200000.0,0.7308972797,570600000,0.0,0.0,605000000.0,107300000.0,1282900000.0,1945700000.0,80900000.0,62500000.0,112300000.0,613100000.0,0.2489240763,526900000.0,0.2139261064,-79000000.0,438300000.0,0.177953715,50700000.0,387900000.0,0.1574908648,2.69,2.67,144400000,145200000,https://www.sec.gov/Archives/edgar/data/875045/000087504523000016/0000875045-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504523000016/biib-20230331.htm,17.05678670360111,2.686288088642659,3.153047091412742,2.657202216066482,34.912049861495845,95.47783933518004,43.08795013850416,95.47783933518004,46.20637119113574,40147531999.99999,43859031999.99999,25.874923949471512,16.300256597645145,88.17819459696902,104.63260880896532,2.911984623195764,2.911984623195764,17.807158749492487,71.53650627956287,96.3299626619811,114.30553036226216,0.0096618641464685,0.009557249994844,0.4794153913106549,0.2687044685833225,6.053661719132279,3.23808418189658,8.4304,1.1746646026831786,0.0,0.0,0.0,0.2316686967113276,0.3075443931312606,0.157258950142763,0.0290702395452699,0.6375779162956366,0.030694275274056,75.96592727695236,0.0215883089515597,0.0227730386947919,-24.98926592797784,6747600000.0,6221900000.0,-1048900000.0,18012700000.0,2082300000.0,491350000.0,1312700000.0,74.11205846528624,66.69885334942668,173.94387447193725,1.2143772803471058,1.3493485342019544,0.5174082747853239,0.0281351998259229,0.4958448753462603,2023-04-25,3.28,bmo,2341920000.0,2025-04-25,2023-03-31,0.0365853658536585,276.6967741935484,993480.0322580644
2022-12-31,BIIB,USD,875045,2023-02-15,2023-02-15 16:24:20,2022,Q4,2544000000.0,570900000.0,1973100000.0,0.7755896226,601600000,578700000.0,54100000.0,632800000.0,210200000.0,1444600000.0,2015500000.0,49900000.0,54800000.0,239700000.0,898300000.0,0.3531053459,340100000.0,0.1336871069,75300000.0,603800000.0,0.2373427673,54300000.0,550400000.0,0.2163522013,3.82,3.79,144100000,145200000,https://www.sec.gov/Archives/edgar/data/875045/000087504523000009/0000875045-23-000009-index.htm,https://www.sec.gov/Archives/edgar/data/875045/000087504523000009/biib-20221231.htm,17.654406662040248,3.8195697432338656,-1.2144344205412907,-1.8209576682859123,33.954198473282446,92.91047883414296,40.17557251908397,92.91047883414296,46.27897293546148,39904172000.0,43098872000.0,18.125078125,15.68560220125786,-228.02384000000004,-152.0738262195122,2.9805034208718,2.9805034208718,16.941380503144654,47.97826115996883,-246.27926857142856,-164.24875,0.0137930439955,-0.0065757535327383,0.4940097397747303,0.269364383137643,3.5563842814204607,2.9916890735761426,6.206204379562044,-0.3184713375796178,0.0,0.0,0.2274764150943396,0.2364779874213836,0.3094839558362962,-0.4994285714285714,0.0343553459119496,0.7295492487479132,0.0264150943396226,89.35746309148394,0.0144778472377037,0.0324624004718372,-27.74739764052741,6518400000.0,5789300000.0,-1374500000.0,17820000000.0,2060300000.0,437350000.0,1359700000.0,75.58018867924528,77.48292170257488,211.9390436153442,1.1907882419022655,1.1615462868769075,0.4246504016661708,0.041110214812823,0.6065232477446217,2023-02-15,3.48,bmo,2445157198.0,2025-04-25,2022-12-31,0.1637931034482758,282.436746031746,1368478.0634920634
