date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,BKNG,USD,1075531,2025-04-29,2025-04-29 17:11:25,2025,Q1,4762000000.0,184000000.0,4578000000.0,0.9613607728,0,142000000.0,1777000000.0,1919000000.0,1781000000.0,3700000000.0,3700000000.0,0.0,0.0,154000000.0,1229000000.0,0.2580848383,1062000000.0,0.2230155397,-666000000.0,396000000.0,0.0831583368,63000000.0,333000000.0,0.0699286014,10.14,10.07,32845000,33093000,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000024/0001075531-25-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000024/bkng-20250331.htm,144.98401583193788,10.138529456538286,99.95433094839396,96.27036078550768,474.2883239458061,-186.08616227736337,-312.4067590196377,-186.08616227736337,502.3595676663115,151313958950.0,152235958950.0,113.59906828078076,31.77529587358253,46.09014893390192,47.85387696078431,-24.75686501145288,-24.75686501145288,31.968912001259977,123.86977945484134,46.37098962838867,48.145464563567366,0.0022007222751341,0.0208969484503729,-2.699607329842932,0.6068184325696002,0.7502034174125305,1.2169086251067465,0.0,9.85885885885886,0.0021081994167201,0.957957957957958,0.0298194036119277,0.0,0.1525872531352285,0.0368565336582394,0.0254094918101637,0.657608695652174,0.0300293994120117,,0.077981614962055,0.0144518704973526,-464.530369919318,3556000000.0,-10261000000.0,-13353000000.0,9117000000.0,3244500000.0,3558000000.0,0.0,62.1797564048719,1610.2173913043478,0.0,1.4474164133738605,0.0558930741190765,0.0,-0.0544829842931937,3.683970162886284,2025-04-29,17.34,amc,4596095384.0,2025-05-11,2025-03-31,0.430795847750865,4781.796083333334,282065.7166666667
2024-12-31,BKNG,USD,1075531,2025-02-20,2025-02-20 17:12:27,2024,Q4,5471000000.0,0.0,5471000000.0,1.0,0,1016000000.0,2328000000.0,3344000000.0,398000000.0,3742000000.0,3742000000.0,251000000.0,507000000.0,203000000.0,2274000000.0,0.4156461342,1729000000.0,0.3160299762,-165000000.0,1564000000.0,0.2858709559,496000000.0,1068000000.0,0.1952111131,32.31,31.95,33051000,33426000,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000010/0001075531-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553125000010/bkng-20241231.htm,165.53205651871352,32.31369701370609,21.81477111131282,19.515294544794408,489.0623581737315,-121.6302078605791,-248.1316752897038,-121.6302078605791,532.1472875253396,164211249420.0,165128249420.0,38.43896287921349,30.01485092670444,227.75485356449377,254.59108437209304,-40.848569507462685,-40.848569507462685,30.182461966733687,72.61576491644679,229.02669822468792,256.0127897984496,0.0065038175141606,0.0039278673189453,-4.249004975124378,0.616464558972138,0.4032541776605101,1.3095801112034255,3.41025641025641,0.6750936329588015,0.0017599281475584,0.2705992509363296,0.1857064522025223,0.0,0.150895048361484,0.1054091539528432,0.0138914275269603,0.3743842364532019,0.0305245841710838,,0.0855188059011371,0.0453946529519275,-398.3162385404375,4844000000.0,-8201000000.0,-11237000000.0,10416000000.0,3424000000.0,3944500000.0,0.0,52.624748674830926,0.0,0.0,1.7102219443576117,0.0,0.0,-0.2656716417910448,2.299476566518411,2025-02-20,35.82,amc,5180249999.0,2025-05-11,2024-12-31,0.159966499162479,4805.23484375,213376.625
2024-09-30,BKNG,USD,1075531,2024-10-30,2024-10-30 17:10:28,2024,Q3,7994000000.0,190000000.0,7804000000.0,0.9762321741,0,1443000000.0,3023000000.0,4466000000.0,349000000.0,4815000000.0,4815000000.0,327000000.0,305000000.0,190000000.0,3364000000.0,0.4208156117,3179000000.0,0.3976732549,-310000000.0,2869000000.0,0.3588941706,352000000.0,2517000000.0,0.3148611459,75.37,74.34,33401000,33864000,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000048/0001075531-24-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000048/bkng-20240930.htm,239.33415167210563,75.3570252387653,71.04577707254273,68.74045687254872,472.291248765007,-109.36798299452111,-237.74737283314872,-109.36798299452111,509.71527798568906,140689020120.0,141634020120.0,13.973879630512515,17.599327010257692,59.28740839443742,61.2757056271777,-38.51328226663016,-38.51328226663016,17.717540670502878,42.10285972651605,59.685638482932994,61.68729099303136,0.0178905219316556,0.0163196815077796,-4.577059950725431,0.5976124097505182,0.2809155766944114,1.2309029859695406,10.422950819672131,0.9427890345649584,0.002068391689357,0.1156138259833134,0.1805103827870903,0.0,0.153263278290085,0.0324483775811209,0.009632224168126,0.4052631578947368,0.0185138854140605,,0.203292210930586,0.1062473617560152,-392.780156282746,3851000000.0,-7941000000.0,-11102000000.0,9621000000.0,3731500000.0,3996500000.0,0.0,41.08206154615962,1925.5263157894733,0.0,2.190737188270759,0.046740467404674,0.0,-0.6890227210511908,2.305320199994012,2024-10-30,77.52,amc,7636651399.0,2025-04-25,2024-09-30,0.0821723426212591,3834.96375,250807.84375
2024-06-30,BKNG,USD,1075531,2024-08-01,2024-08-01 17:12:20,2024,Q2,5859000000.0,142000000.0,5717000000.0,0.9757637822,0,919000000.0,2759000000.0,3861000000.0,1000000.0,3861000000.0,4003000000.0,293000000.0,264000000.0,142000000.0,2016000000.0,0.3440860215,1856000000.0,0.3167776071,66000000.0,1922000000.0,0.328042328,401000000.0,1521000000.0,0.2596006144,44.94,44.38,33839000,34267000,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000041/0001075531-24-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000041/bkng-20240630.htm,173.14341440349892,44.94813676527084,74.61804426844765,70.30349596619286,482.4906173350277,-126.3630721948048,-253.79000561482312,-126.3630721948048,520.1394840273058,131460454320.0,132507454320.0,21.607569743589742,22.437353527905785,52.06354626534654,55.25870295081968,-30.743791936389147,-30.743791936389147,22.616052964669738,65.72790392857142,52.47819973069307,55.69880383354351,0.0115700193481576,0.0180966969291697,-4.054490177736202,0.6074419256508181,0.5193452380952381,1.1695594858837746,7.03030303030303,1.6600920447074292,0.0022440208466183,0.1939513477975016,0.156852705239802,0.0,0.1510809011597351,0.0578217821782178,0.0249189281447345,1.028169014084507,0.02389486260454,,0.1065716174152867,0.062776012216765,-402.77490469576526,3087000000.0,-8588000000.0,-11524000000.0,8911000000.0,3555000000.0,3598000000.0,0.0,58.58678955453149,2489.5774647887324,0.0,1.536182485579444,0.0361507128309572,0.0,-0.3557062675397567,4.314548302254795,2024-08-01,38.37,amc,5771483866.0,2025-04-25,2024-06-30,0.091998957518895,3703.0171428571434,224739.57142857145
2024-03-31,BKNG,USD,1075531,2024-05-02,2024-05-02 17:18:36,2024,Q1,4415000000.0,177000000.0,4238000000.0,0.9599093998,0,1012000000.0,2288000000.0,3447000000.0,2000000.0,3447000000.0,3624000000.0,243000000.0,219000000.0,177000000.0,1333000000.0,0.3019252548,791000000.0,0.1791619479,146000000.0,937000000.0,0.2122310306,161000000.0,776000000.0,0.1757644394,22.69,22.37,34206000,34706000,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000027/0001075531-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000027/bkng-20240331.htm,129.07092322984272,22.68607846576624,79.050458983804,75.2499561480442,467.49108343565456,-118.4587499269134,-246.15564520844296,-118.4587499269134,516.7222124773432,122076767220.0,123903767220.0,39.32885541881444,27.650456901472253,45.14673343934911,47.42687149184149,-30.127533864758146,-30.127533864758146,28.06427343601359,92.9510631807952,45.822399119822485,48.1366617016317,0.006356655878686,0.0210850930821364,-4.307996051332675,0.6295441431044432,1.3705926481620403,1.2164923954372624,3.6118721461187215,3.484536082474227,0.002449278489339,0.3853092783505155,0.2292185730464326,0.0,0.1575302942873629,0.048076923076923,0.029445073612684,0.7344632768361582,0.0326160815402038,,0.0456251877771687,0.0332191780821917,-389.3176635677952,3644000000.0,-8420000000.0,-11304000000.0,9480000000.0,3274500000.0,3374000000.0,0.0,67.18912797281993,1661.6949152542372,0.0,1.339502427184466,0.0541615667074663,0.0,-0.1915103652517275,3.800502835759808,2024-05-02,14.09,amc,4253910412.0,2025-04-25,2024-03-31,0.447125621007807,3563.261967213115,287848.524590164
2023-12-31,BKNG,USD,1075531,2024-02-22,2024-02-22 17:21:32,2023,Q4,4784000000.0,175000000.0,4609000000.0,0.9634197324,0,1607000000.0,2246000000.0,3999000000.0,-1000000.0,3999000000.0,4174000000.0,237000000.0,208000000.0,175000000.0,794000000.0,0.1659698997,610000000.0,0.1275083612,-198000000.0,411000000.0,0.0859113712,189000000.0,222000000.0,0.0464046823,6.37,6.28,34730000,35222000,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000014/0001075531-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553124000014/bkng-20231231.htm,137.7483443708609,6.392168154333429,38.75611862942701,36.04952490642096,365.994817160956,-79.00950187158077,-206.8240714080046,-79.00950187158077,437.9786927728189,123194950600.0,126062950600.0,138.73305247747746,25.751452884615382,91.52670921248142,98.39852284345048,-44.896119023323614,-44.896119023323614,26.350951212374586,158.76945919395467,93.65746701337297,100.68925766773162,0.001802021908518,0.0101627541867775,-5.467565597667639,0.6163421247227016,3.612090680100755,1.2778694673668418,2.9326923076923075,6.063063063063063,0.0,0.0,0.3359113712374582,0.0,0.1823597075014378,0.0698365527488855,0.0196488294314381,0.5371428571428571,0.0336538461538461,,0.0253980614426031,0.0111540973722554,-343.65822055859485,3704000000.0,-7183000000.0,-10052000000.0,9632000000.0,3350000000.0,3250000000.0,340000000.0,61.19774247491639,1789.7142857142858,0.0,1.4706424838610512,0.050287356321839,0.0,-0.0809037900874635,2.706593723006047,2024-02-22,29.48,amc,4705988098.0,2025-04-25,2023-12-31,0.0854816824966078,3118.125555555556,257045.88888888888
2023-09-30,BKNG,USD,1075531,2023-11-02,2023-11-02 17:18:59,2023,Q3,7341000000.0,169000000.0,7172000000.0,0.9769786133,0,1175000000.0,2745000000.0,3920000000.0,-4000000.0,4236000000.0,4236000000.0,289000000.0,254000000.0,169000000.0,3572000000.0,0.4865822095,3103000000.0,0.4226944558,46000000.0,3149000000.0,0.4289606321,638000000.0,2511000000.0,0.3420514916,70.62,69.8,35570000,35987000,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000061/0001075531-23-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000061/bkng-20230930.htm,206.3817824008996,70.59319651391623,38.57183019398369,36.57576609502389,391.2847905538375,-17.570986786617937,-143.07000281135788,-17.570986786617937,409.6148439696373,109696101500.0,110718101500.0,10.921555306650736,14.942937133905463,79.95342674927113,84.3167574942352,-175.5137624,-175.5137624,15.082155224083913,30.99610904255319,80.6983247084548,85.10230707148348,0.0228905126587383,0.0118600386176896,-22.9056,0.5584552369806904,0.286114221724524,1.4400716957605986,12.216535433070868,0.5463958582238152,0.0,0.0,0.1600599373382372,0.0,0.1741369221767115,0.0517492711370262,0.0096717068519275,0.4201183431952662,0.0174363165781228,,0.1681380663263408,0.1186056397902791,-264.73854371661514,5647000000.0,-5089000000.0,-7781000000.0,11487000000.0,3126000000.0,2571500000.0,764500000.0,42.25991009399264,1608.284023668639,362.1301775147929,2.129677980852916,0.0559602649006622,0.2485294117647059,-4.0176,1.9960640989597973,2023-11-02,67.61,amc,6851200000.0,2025-04-25,2023-09-30,0.0696642508504658,3027.948253968254,282538.84126984124
2023-06-30,BKNG,USD,1075531,2023-08-03,2023-08-03 17:10:57,2023,Q2,5462000000.0,160000000.0,5302000000.0,0.9707067008,0,1056000000.0,2467000000.0,3523000000.0,2000000.0,3788000000.0,3788000000.0,266000000.0,241000000.0,160000000.0,2019000000.0,0.3696448187,1673000000.0,0.3062980593,-55000000.0,1618000000.0,0.2962284877,328000000.0,1290000000.0,0.2361772245,35.16,34.89,36678000,36964000,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000047/0001075531-23-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000047/bkng-20230630.htm,148.917607285021,35.17094716178636,47.35808931784721,44.84977370630896,415.56246251158734,-18.130759583401492,-141.99247505316538,-18.130759583401492,404.2477779595398,99042703740.0,99026703740.0,19.19432243023256,18.13304718784328,57.01940341968912,60.20833054103343,-148.93639660150373,-148.93639660150373,18.13011785792749,49.04740155522536,57.01019213586644,60.19860409726443,0.013024684820665,0.0166089973100728,-21.933834586466165,0.5492130431508396,-0.0079247152055473,1.5502764201586412,6.941908713692946,1.3465116279069766,0.0,0.0,0.1933357744415965,0.0,0.1710595677385345,0.052964881980426,0.0168436470157451,0.575,0.0234346393262541,,0.0893283172135601,0.058596411537588,-257.722613010524,6868000000.0,-5208000000.0,-7874000000.0,12751000000.0,2426500000.0,2127500000.0,752000000.0,46.21933357744416,1194.1875,477.5625,1.9472370766488416,0.0753650494583137,0.1884570082449941,-1.9398496240601504,2.508315611538252,2023-08-03,28.9,amc,5170440000.0,2025-04-25,2023-06-30,0.3017301038062283,2641.664193548387,317838.9516129032
2023-03-31,BKNG,USD,1075531,2023-05-04,2023-05-04 17:14:10,2023,Q1,3778000000.0,161000000.0,3617000000.0,0.9573848597,0,1148000000.0,2059000000.0,3207000000.0,120000000.0,3327000000.0,3327000000.0,228000000.0,194000000.0,161000000.0,658000000.0,0.1741662255,450000000.0,0.1191106406,-147000000.0,303000000.0,0.0802011646,37000000.0,266000000.0,0.0704076231,7.07,7.0,37621000,37983000,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000031/0001075531-23-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000031/bkng-20230331.htm,100.42263629355944,7.070519124956806,76.79221711278275,74.45309800377449,385.39645410807793,28.547885489487253,-93.53818346136468,28.547885489487253,341.803779803833,99786316610.0,98311316610.0,93.78413215225564,26.412471310217047,34.54008882312219,35.625246915387365,92.91090932029796,92.91090932029796,26.02205309952356,149.40929575987843,34.02953153686396,35.098649271688686,0.0026656961499002,0.0280699808867311,11.792364990689013,0.5024597318098866,-2.2416413373860182,1.592773261065944,2.31958762886598,10.8609022556391,0.0,0.0,0.3038644785600847,0.0,0.1822185194001428,0.030460366908965,0.023292747485442,0.546583850931677,0.0299100052938062,67.39130754360069,0.026354203132121,0.0129044777567554,-206.52029451636056,6562000000.0,-3519000000.0,-6500000000.0,12476000000.0,2138500000.0,2319500000.0,566000000.0,48.78771836950768,1191.8012422360248,366.14906832298135,1.8447265625,0.0755159474671669,0.2458015267175572,0.2476722532588454,2.3391191090082666,2023-05-04,10.48,amc,3774150000.0,2025-04-25,2023-03-31,0.1068702290076335,2433.330806451613,331872.96774193546
2022-12-31,BKNG,USD,1075531,2023-02-23,2023-02-23 17:20:46,2022,Q4,4049000000.0,163000000.0,3886000000.0,0.9597431465,0,1031000000.0,1788000000.0,2819000000.0,124000000.0,2943000000.0,2943000000.0,131000000.0,145000000.0,163000000.0,1760000000.0,0.4346752285,1345000000.0,0.3321807854,107000000.0,1452000000.0,0.3586070635,217000000.0,1235000000.0,0.3050135836,32.07,31.92,38524000,38709000,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000016/0001075531-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1075531/000107553123000016/bkng-20221231.htm,105.10331222095316,32.05793790883605,56.40639601287509,54.45955767833039,321.77343993354793,72.21472328937806,-48.12584362994497,72.21472328937806,342.1763056795764,77636646720.0,78452646720.0,15.715920388663966,19.174276789330698,35.72786319374137,37.005074699714015,27.906774521926668,27.906774521926668,19.375808031612745,44.57536745454546,36.1033809111827,37.39401654909437,0.0159074361422909,0.0270233206692521,4.686196980589504,0.514057016679153,0.4636363636363636,1.8642907717724808,9.275862068965518,1.759514170040486,0.0,0.0,0.2546307730303778,0.0,0.1828003627617207,0.0345144960883571,0.0185230921215114,0.4601226993865031,0.0251914052852556,228.22957760680325,0.0657957696458248,0.059589867310012,-214.7427577613955,7324000000.0,-1854000000.0,-6781000000.0,13274000000.0,2256500000.0,2319000000.0,544500000.0,49.54556680661892,1384.233128834356,263.3742331288344,1.816509645580978,0.0650179497407259,0.3417190775681342,0.4439252336448598,1.9468383345446991,2023-02-23,22.23,amc,3895636127.0,2025-04-25,2022-12-31,0.1129104813315338,1898.109365079365,353887.49206349207
