date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,BKR,USD,1701605,2025-04-23,2025-04-23 16:31:11,2025,Q1,6427000000.0,4952000000.0,1475000000.0,0.2295005446,146000000,0.0,0.0,577000000.0,0.0,723000000.0,5675000000.0,0.0,51000000.0,285000000.0,897000000.0,0.1395674498,752000000.0,0.1170063793,-191000000.0,561000000.0,0.0872880037,152000000.0,402000000.0,0.062548623,0.41,0.4,992000000,999000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160525000075/0001701605-25-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160525000075/bkr-20250331.htm,6.47883064516129,0.4052419354838709,0.7147177419354839,0.4122983870967742,3.3034274193548385,17.344758064516128,7.210685483870968,17.179435483870968,6.123991935483871,43598400000.0,46345400000.0,27.1134328358209,6.78363155437996,61.49280677009873,106.59755501222494,2.5582912803661544,2.5582912803661544,7.211047144857631,51.66711259754738,65.3672778561354,113.31393643031784,0.0092205218540129,0.0093810782047047,0.3534796385400774,0.1580687483600105,3.0624303232998886,1.3372240749563284,14.745098039215684,1.7334963325183377,0.0052524863297735,0.5696517412935324,0.0,0.0227166640734401,0.2637890317501968,0.0,0.0,0.0,0.0077796794772055,12.515635139100755,0.0214402860415001,0.0143279751933563,-10.09475806451613,4247000000.0,7153000000.0,-4063000000.0,19468000000.0,6916000000.0,4503500000.0,5057500000.0,93.96296872568853,81.14903069466882,93.79846526655896,0.9578241430700448,1.109070548712206,0.9595039720984304,0.023588780659547,0.0,2025-04-22,0.472,amc,6497260395.0,2025-05-11,2025-03-31,0.0805084745762712,44.62491666666666,7614907.583333333
2024-12-31,BKR,USD,1701605,2025-02-04,2025-02-04 07:05:30,2024,Q4,7364000000.0,5761000000.0,1603000000.0,0.2176806084,0,0.0,0.0,585000000.0,281000000.0,866000000.0,6699000000.0,0.0,55000000.0,292000000.0,1325000000.0,0.1799293862,665000000.0,0.0903041825,127000000.0,792000000.0,0.1075502444,-399000000.0,1179000000.0,0.1601032048,1.19,1.18,997156539,999000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160525000035/0001701605-25-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160525000035/bkr-20241231.htm,7.384998956517899,1.1823620002355515,1.1933933674981396,0.8393867635260024,3.3735926792132283,17.10363351485779,7.046035126085655,16.943177263765605,6.095331838364448,40903361229.78001,43562361229.78001,8.67331663057252,5.554503154505705,34.372572462,48.869009832473125,2.421033514636283,2.421033514636283,5.915584088780555,32.877253758324535,36.60702624351261,52.04583181574672,0.0288240370608374,0.0204628660050219,0.3564960047351287,0.1570002346010479,2.006792452830189,1.324840274035871,12.090909090909092,0.9908409658617818,0.0050851566655251,0.1764206955046649,0.0,0.0,0.261423767692829,0.2966386554621849,0.0479359043997827,1.2089041095890412,0.006518196632265,21.23068066733747,0.0393321116772444,0.0416107856285734,-10.154373565212111,4220000000.0,7026000000.0,-4097000000.0,19376000000.0,7021000000.0,4486500000.0,5104000000.0,87.04236827810972,70.95643117514321,77.39281374761326,1.0339792193204156,1.268383971818582,1.1628986677432378,0.0697839597514057,0.3540066039721372,2025-01-30,0.624,amc,7069502922.0,2025-04-30,2024-12-31,0.1217948717948717,40.3321875,6069895.90625
2024-09-30,BKR,USD,1701605,2024-10-23,2024-10-23 16:11:51,2024,Q3,6908000000.0,5366000000.0,1542000000.0,0.2232194557,0,0.0,0.0,612000000.0,0.0,612000000.0,5978000000.0,0.0,55000000.0,278000000.0,1342000000.0,0.1942675159,930000000.0,0.13462652,79000000.0,1009000000.0,0.1460625362,235000000.0,766000000.0,0.1108859294,0.77,0.77,993000000,999000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160524000131/0001701605-24-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160524000131/bkr-20240930.htm,6.956696878147029,0.771399798590131,1.0171198388721048,0.7150050352467271,2.6827794561933533,16.458207452165155,6.2245720040281975,16.303121852970797,6.133937562940584,35896950000.0,39268950000.0,11.715714751958224,5.196431673422119,35.54153465346534,50.55908450704225,2.2173667304960154,2.2173667304960154,5.684561378112334,29.26151266766021,38.88014851485149,55.30838028169014,0.0213388602652871,0.019778839149287,0.3728457594663042,0.1608313349320543,2.512667660208644,1.2953870211102425,16.90909090909091,1.3065976714100906,0.0058222216650718,0.2728459530026109,0.0,0.0,0.2707700506261657,0.297029702970297,0.0434279096699478,1.079136690647482,0.0076722640416907,16.821565342139557,0.0287753874375537,0.0279888921368021,-10.78147029204431,3778000000.0,6181000000.0,-4619000000.0,19090000000.0,6985500000.0,4540000000.0,5190000000.0,90.1563404748118,74.3179276928811,88.12150577711516,0.9982658959537573,1.211013315278718,1.021317091739627,0.0473160788189511,0.3021148036253776,2024-10-22,0.61,amc,7210701016.0,2025-04-25,2024-09-30,0.098360655737705,35.14328125,6480003.203125
2024-06-30,BKR,USD,1701605,2024-07-26,2024-07-26 16:34:49,2024,Q2,7139000000.0,5649000000.0,1490000000.0,0.2087127049,0,0.0,0.0,643000000.0,38000000.0,643000000.0,6292000000.0,0.0,47000000.0,283000000.0,1154000000.0,0.1616472895,847000000.0,0.1186440678,-23000000.0,824000000.0,0.1154223281,243000000.0,579000000.0,0.081103796,0.58,0.58,996000000,1001000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160524000111/0001701605-24-000111-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160524000111/bkr-20240630.htm,7.167670682730924,0.5813253012048193,0.3493975903614458,0.0562248995983935,3.343373493975903,15.784136546184738,5.6194779116465865,15.636546184738956,5.965863453815261,34800240000.0,38411240000.0,15.0260103626943,4.874665919596582,100.0006896551724,621.4328571428572,2.2345087967124693,2.2345087967124693,5.3804790586916935,33.285303292894284,110.3771264367816,685.915,0.0166378162909221,0.001609184304476,0.3785154745087967,0.1608195111305106,3.129116117850953,1.2656920387732402,18.02127659574468,0.6010362694300518,0.0060057057077767,0.3609671848013817,0.0,0.0,0.276189436927106,0.8390804597701149,0.0409020871270486,1.0318021201413428,0.0070037820423028,14.301160729624184,0.0247766857372099,0.0218227046585255,-9.792921686746988,3344000000.0,5597000000.0,-5005000000.0,18419000000.0,6962000000.0,4622000000.0,5232500000.0,88.89060092449922,74.0679766330324,81.66755177907595,1.0124804992199687,1.215100021510002,1.1020288724151386,0.0371773468601515,0.2931726907630522,2024-07-25,0.49,amc,6808761667.0,2025-04-25,2024-06-30,0.1632653061224489,32.79761904761905,6300780.603174604
2024-03-31,BKR,USD,1701605,2024-04-24,2024-04-24 16:17:20,2024,Q1,6418000000.0,5140000000.0,1278000000.0,0.199127454,0,0.0,0.0,618000000.0,29000000.0,618000000.0,5758000000.0,0.0,41000000.0,283000000.0,965000000.0,0.1503583671,660000000.0,0.1028357744,-19000000.0,641000000.0,0.0998753506,178000000.0,455000000.0,0.0708943596,0.46,0.45,998000000,1004000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160524000067/0001701605-24-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160524000067/bkr-20240331.htm,6.430861723446894,0.4559118236472946,0.7855711422845691,0.4519038076152304,3.7685370741482966,15.5811623246493,5.391783567134269,15.5811623246493,6.059118236472946,33373120000.0,36662120000.0,18.33687912087912,5.199925210345902,42.56775510204081,73.99804878048779,2.146181350482315,2.146181350482315,5.712390152695543,37.99183419689119,46.76290816326531,81.29073170731708,0.0136337267837109,0.013513869844953,0.3862379421221865,0.1617080854042702,3.4082901554404144,1.2459215418468776,16.097560975609756,1.7230769230769232,0.0062924892847896,0.4615384615384615,0.0,0.0,0.2737944589537169,0.4247448979591837,0.0518853225303833,1.176678445229682,0.0079464007478965,12.642460714767758,0.0197736890354124,0.0168693459884324,-10.025801603206412,3241000000.0,5381000000.0,-5171000000.0,18341000000.0,6974000000.0,4533000000.0,5216500000.0,96.38049236522282,80.45719844357977,93.48443579766536,0.9337989233231484,1.11860718171926,0.962727102453643,0.0292604501607717,0.3336673346693387,2024-04-23,0.4,amc,6372641147.0,2025-04-25,2024-03-31,0.0749999999999999,30.837540983606555,9558617.50819672
2023-12-31,BKR,USD,1701605,2024-02-05,2024-02-05 07:52:57,2023,Q4,6835000000.0,5388000000.0,1447000000.0,0.2117044623,658000000,0.0,0.0,634000000.0,-84000000.0,634000000.0,6022000000.0,0.0,45000000.0,274000000.0,842000000.0,0.123189466,651000000.0,0.0952450622,-129000000.0,522000000.0,0.0763716167,71000000.0,440000000.0,0.0643745428,0.44,0.43,1001000000,1010000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160524000033/0001701605-24-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160524000033/bkr-20231231.htm,6.828171828171828,0.4395604395604395,0.9310689310689312,0.5754245754245755,3.684315684315684,15.503496503496503,5.283716283716283,15.352647352647352,6.05994005994006,34214180000.0,37589180000.0,19.439875,5.005732260424287,36.71049356223176,59.39961805555556,2.2263261322228005,2.2263261322228005,5.4995142648134605,44.64273159144893,40.33173819742489,65.25899305555555,0.0128601649959168,0.0168351250855639,0.3917881311816762,0.1629719853836784,4.008313539192399,1.2547917789238705,14.466666666666669,2.066518847006652,0.0058455295435985,0.4545454545454545,0.0,0.096269202633504,0.2768980917580186,0.3819742489270386,0.0520848573518653,1.2992700729927007,0.0071689831748354,12.322311853779183,0.0233373728471227,0.0164701478570091,-9.874875124875125,3310000000.0,5289000000.0,-5125000000.0,18432000000.0,6790000000.0,4297000000.0,5029000000.0,93.1602048280907,74.6826280623608,85.0890868596882,0.9660777385159012,1.2050995303064191,1.0577149587750294,0.0286309213951067,0.3556443556443556,2024-01-23,0.48,amc,6915210000.0,2025-04-25,2023-12-31,0.0625,34.10730158730159,6802888.238095238
2023-09-30,BKR,USD,1701605,2023-10-26,2023-10-26 16:04:16,2023,Q3,6641000000.0,5298000000.0,1343000000.0,0.20222858,0,0.0,0.0,627000000.0,94000000.0,627000000.0,5925000000.0,49000000.0,49000000.0,268000000.0,1076000000.0,0.1620237916,714000000.0,0.1075139286,45000000.0,759000000.0,0.1142900166,235000000.0,518000000.0,0.0780003012,0.51,0.51,1009000000,1017000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160523000078/0001701605-23-000078-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160523000078/bkr-20230930.htm,6.581764122893954,0.5133795837462835,0.8037661050545094,0.5242814667988107,4.264618434093162,15.257680872150644,5.1962338949454905,15.257680872150644,6.64816650148662,35637880000.0,39095880000.0,17.199749034749036,5.366342418310495,43.94313193588163,67.368393194707,2.3148996427411497,2.3148996427411497,5.887047131456106,36.33446096654275,48.20700369913687,73.90525519848771,0.0145350958025561,0.0148437561381316,0.4325430334524196,0.18218878248974,3.2137546468401488,1.2744263070735746,14.571428571428571,1.547709923664122,0.0056681261623867,0.3899613899613899,0.0,0.0,0.2777564979480164,0.3477188655980271,0.0424634844149977,1.0561797752808988,0.0075289865984038,13.275620201680312,0.019980252374209,0.0196226986892946,-9.406590683845392,3480000000.0,5243000000.0,-4994000000.0,18400000000.0,6461500000.0,4138500000.0,4960500000.0,88.15690408071073,70.03963759909401,84.32616081540205,1.0209069946195235,1.2849866601988844,1.0672844480257857,0.0336472880805456,0.2794846382556987,2023-10-25,0.4,amc,6533200000.0,2025-04-25,2023-09-30,0.0499999999999999,35.40047619047619,7023303.079365079
2023-06-30,BKR,USD,1701605,2023-07-19,2023-07-19 16:32:54,2023,Q2,6315000000.0,5004000000.0,1311000000.0,0.2076009501,0,0.0,0.0,695000000.0,158000000.0,695000000.0,5699000000.0,58000000.0,58000000.0,276000000.0,948000000.0,0.1501187648,774000000.0,0.1225653207,-160000000.0,614000000.0,0.0972288203,200000000.0,410000000.0,0.0649247823,0.41,0.4,1010000000,1015000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160523000063/0001701605-23-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160523000063/bkr-20230630.htm,6.252475247524752,0.4059405940594059,0.8495049504950495,0.5762376237623762,3.844554455445544,15.110891089108913,5.013861386138614,15.110891089108913,6.635643564356435,31926100000.0,35765100000.0,19.46713414634146,5.055597783056215,37.20990675990676,54.85584192439863,2.091868693487092,2.091868693487092,5.663515439429928,37.72689873417721,41.684265734265736,61.4520618556701,0.0128421573571466,0.0182295989801447,0.4353295767265103,0.1840800155154739,4.04957805907173,1.2838924539030137,13.344827586206897,2.072463768115942,0.0060138883233467,0.4682926829268293,0.0,0.0,0.2825478624664062,0.3216783216783216,0.0437054631828978,1.0,0.0077593032462391,11.748097393761118,0.0212328709937894,0.0158331724271094,-9.56039603960396,3495000000.0,5064000000.0,-5025000000.0,18416000000.0,6354500000.0,4208500000.0,4871500000.0,91.46793349168644,74.71223021582733,89.15467625899281,0.9839513867248364,1.2046220510351469,1.0094815412547913,0.02686410693225,0.2732673267326733,2023-07-19,0.33,bmo,6264670000.0,2025-04-25,2023-06-30,0.1818181818181818,29.155806451612904,6787512.0
2023-03-31,BKR,USD,1701605,2023-04-19,2023-04-19 16:28:48,2023,Q1,5716000000.0,4567000000.0,1149000000.0,0.2010146956,0,0.0,0.0,655000000.0,386000000.0,655000000.0,5222000000.0,64000000.0,64000000.0,269000000.0,1093000000.0,0.1912176347,880000000.0,0.1539538139,-120000000.0,760000000.0,0.132960112,179000000.0,576000000.0,0.1007697691,0.57,0.57,1010000000,1018000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160523000049/0001701605-23-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160523000049/bkr-20230331.htm,5.659405940594059,0.5702970297029702,0.4564356435643564,0.195049504950495,3.485148514851485,14.701980198019802,4.762376237623762,14.701980198019802,6.656435643564357,29148600000.0,33392600000.0,12.651302083333334,5.099475157452765,63.2290672451193,147.96243654822334,1.9630008754798305,1.9630008754798305,5.841952414275717,30.551326623970724,72.4351409978308,169.50558375634515,0.0197608118400197,0.0067584721050067,0.4484477069162906,0.1900291079276297,3.882891125343092,1.2259760956175298,13.75,0.7934595524956971,0.0065869372800065,0.3333333333333333,0.0,0.0,0.2864847896809543,0.5726681127982647,0.0461861441567529,0.9814126394052044,0.0085724282715185,13.735033740324704,0.029027305924459,0.0230372355317361,-9.467079207920792,2836000000.0,4810000000.0,-4807000000.0,17388000000.0,6124500000.0,4280500000.0,4686500000.0,99.05353393981804,84.00919640902123,94.31574337639589,0.9085995867111748,1.0713112831339433,0.9542415378186376,0.0387904909421509,0.2613861386138614,2023-04-19,0.26,bmo,5511560000.0,2025-04-25,2023-03-31,0.0769230769230769,30.245806451612903,6805333.048387097
2022-12-31,BKR,USD,1701605,2023-02-14,2023-02-14 16:16:46,2022,Q4,5905000000.0,4568000000.0,1337000000.0,0.2264182896,556000000,0.0,0.0,645000000.0,-254000000.0,645000000.0,5213000000.0,64000000.0,64000000.0,255000000.0,664000000.0,0.1124470787,438000000.0,0.0741744285,-93000000.0,345000000.0,0.0584250635,157000000.0,182000000.0,0.0308213378,0.18,0.18,1000000000,1009000000,https://www.sec.gov/Archives/edgar/data/1701605/000170160523000044/0001701605-23-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1701605/000170160523000044/bkr-20221231.htm,5.905,0.182,0.898,0.657,3.236,14.525,4.415,14.525,6.721,29530000000.0,33699000000.0,40.56318681318682,5.000846740050805,32.88418708240535,44.94672754946728,2.0330464716006884,2.0330464716006884,5.706858594411516,50.75150602409639,37.52672605790646,51.29223744292238,0.0061632238401625,0.0222485607856417,0.4583132530120481,0.1947573213188613,6.278614457831325,1.3175620767494356,6.84375,4.776595744680851,0.0064341347781916,1.043956043956044,0.0,0.0941574936494496,0.2957783563968286,0.2683741648106904,0.0408128704487722,0.9450980392156862,0.0088060965283657,7.712319689950618,0.0100356666892135,0.0075609654771301,-9.658,3517000000.0,4415000000.0,-5064000000.0,18165000000.0,5770500000.0,4049000000.0,4349000000.0,90.8077900084674,84.68038528896673,90.37434325744309,0.9911043974488084,1.0628199162401115,0.9958578591672116,0.0125301204819277,0.241,2023-01-23,0.41,bmo,6059211471.0,2025-04-25,2022-12-31,-0.073170731707317,27.588412698412696,8324127.142857143
