date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,BLDR,USD,1316835,2025-05-01,2025-05-01 14:29:11,2025,Q1,3657496000.0,2542255000.0,1115241000.0,0.3049192672,0,0.0,0.0,930800000.0,0.0,930800000.0,3473055000.0,0.0,64892000.0,0.0,329472000.0,0.0900813015,184441000.0,0.0504282165,-64892000.0,119549000.0,0.0326860234,23245000.0,96304000.0,0.0263305825,0.85,0.84,113675000,114339000,https://www.sec.gov/Archives/edgar/data/1316835/000095017025061689/0000950170-25-061689-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017025061689/bldr-20250331.htm,32.17502529140092,0.8471871563668353,1.1640906091928744,0.2846184297338904,1.0149197272927204,38.479524961513086,-8.033041565867604,38.479524961513086,45.51676270068177,14202554500.0,19196409500.0,36.869066965027415,3.8831360307707774,107.32841499909316,438.9736817704148,3.246921580372003,3.246921580372003,5.248511413272906,58.26416053564491,145.0668754912037,593.3241484824133,0.0067807520119003,0.0022780408975019,1.1680473508056404,0.446313577107546,15.157145371989122,1.8209742563792843,2.8422763977069594,1.3740654593786343,0.0,0.0,0.0,0.0,0.4618705293635399,0.7555014811680067,0.0273340011855105,0.6893284883921369,0.0038928272238711,27.08293900107678,0.0152271841883544,0.0156330074238279,-44.168271387728176,1478949000.0,-913156000.0,-3793050000.0,9534599000.0,1671159500.0,945038000.0,1280642000.0,41.43166527044732,36.18125640425528,47.75359277491833,2.172251571654684,2.4874758077614767,1.88467494842128,0.0220165700385902,0.8794721794589839,2025-05-01,1.5,bmo,4369933390.0,2025-05-02,2025-03-31,0.0066666666666666,145.505,1681474.6666666667
2024-12-31,BLDR,USD,1316835,2025-02-20,2025-02-20 13:46:21,2024,Q4,3820300000.0,2586200000.0,1234100000.0,0.3230374578,0,0.0,0.0,930000000.0,0.0,930000000.0,3516160000.0,0.0,53109000.0,136488000.0,440634000.0,0.1153401565,304146000.0,0.0796131194,-53146000.0,251000000.0,0.0657016465,60800000.0,190200000.0,0.049786666,1.66,1.65,114814000,115598000,https://www.sec.gov/Archives/edgar/data/1316835/000095017025023953/0000950170-25-023953-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017025023953/bldr-20241231.htm,33.27381678192555,1.6565924016234954,3.252765342205654,2.384648213632484,1.3380249795321129,37.42113331126866,-4.2300416325535215,37.42113331126866,5.9687059069451465,16410365020.0,16888923020.0,21.569880415352262,4.295569724890715,43.94107319868368,59.93756193592923,3.819499500752944,3.819499500752944,4.420836850509122,38.328687799852034,45.22247992438341,61.68545722832379,0.011590235791111,0.0166840286408205,0.1471398613280204,0.0597351282981164,1.0860668945201686,1.7674457990767891,5.726825961701406,1.963073736885263,0.0,0.0,0.0,0.0,0.4518661192019039,0.2668858762447685,0.0260900976363112,0.7302620010550378,0.0032002722299295,37.34715805561006,0.0258586449019992,0.0327877443479927,-37.302650373647815,1363963000.0,-485668000.0,-3145377000.0,8702133000.0,1745886000.0,944840000.0,1208147000.0,39.07351778656127,30.208359755626013,42.190762508700026,2.303350327749454,2.979307738919468,2.1331683678729765,0.0442688998177573,0.8681171285731705,2025-02-20,2.18,bmo,3890848902.0,2025-05-02,2024-12-31,0.0596330275229357,176.9590625,1285751.671875
2024-09-30,BLDR,USD,1316835,2024-11-05,2024-11-05 16:02:16,2024,Q3,4232494000.0,2846161000.0,1386333000.0,0.3275451779,0,0.0,0.0,958310000.0,0.0,958310000.0,3804471000.0,0.0,54263000.0,141705000.0,569728000.0,0.1346081058,428023000.0,0.1011278457,-54263000.0,373760000.0,0.0883072723,88977000.0,284783000.0,0.0672849152,2.45,2.44,116176000,116940000,https://www.sec.gov/Archives/edgar/data/1316835/000095017024121436/0000950170-24-121436-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017024121436/bldr-20240930.htm,36.43174149566176,2.451306638204104,6.283208235780196,5.426077675251343,2.824189161272552,38.27531503925079,-2.955558807326814,38.27531503925079,37.80125843547721,22521879360.0,26531112360.0,19.77108830232142,5.321184001678443,30.85366467659783,35.72746495764459,5.064883196942973,5.064883196942973,6.268434724302031,46.56803309649517,36.34608067861439,42.08749065642945,0.012644726288064,0.0279896712846969,0.9754115042864632,0.3981348866826257,7.037100160076387,1.7736679526036012,7.887934688461751,2.563207775745041,0.0,0.0,0.0,0.0,0.4396895320850105,0.1364160677737623,0.0235270268546157,0.7027133834374228,0.0040777376175843,45.94618603637356,0.0356718246794911,0.0466543874861793,-35.657196839278335,1515525000.0,-343365000.0,-2973056000.0,8845813000.0,1899535500.0,1024990500.0,1246813500.0,38.98101686617866,32.30538961077746,38.06977539218617,2.308816117059461,2.7859128487332936,2.364080141604211,0.0640440617063588,0.8571305605288527,2024-11-05,2.98,bmo,4440341721.0,2025-04-25,2024-09-30,0.0302013422818791,165.81859375,1716504.046875
2024-06-30,BLDR,USD,1316835,2024-08-06,2024-08-06 16:08:52,2024,Q2,4456340000.0,2993656000.0,1462684000.0,0.3282254047,0,0.0,0.0,973201000.0,0.0,973201000.0,3966857000.0,0.0,52016000.0,143355000.0,632838000.0,0.1420084643,489483000.0,0.1098396891,-52016000.0,437467000.0,0.0981673301,93377000.0,344090000.0,0.0772135878,2.89,2.87,119244000,120072000,https://www.sec.gov/Archives/edgar/data/1316835/000095017024091788/0000950170-24-091788-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017024091788/bldr-20240630.htm,37.37160779578008,2.88559592096877,3.791251551440743,3.05237160779578,0.6337341920767502,36.09944315856563,-3.9293213914326928,36.09944315856563,36.93932608768576,15977503560.000002,20254711560.0,11.608520706791827,3.5853421327816104,35.34189124145071,43.89701426189018,3.711691601763864,3.711691601763864,4.545145020353025,32.00615569861481,44.802982543067216,55.64832821854128,0.0215359050747725,0.0227805926397177,1.0111821145637665,0.4059976754439597,6.758772387246025,1.82543205140602,9.410239157182405,1.3138539335638932,0.0,0.0,0.0,0.0,0.4452109640471712,0.1948907725113032,0.0197711574969593,0.6146070942764466,0.0037533042810916,48.41269599362363,0.0426596181203491,0.0578497265550066,-35.403959528362016,1562164000.0,-468548000.0,-2961840000.0,8748148000.0,1867168000.0,1026669000.0,1323307500.0,39.70286602907319,30.91602709195713,38.77323246224683,2.266838870878888,2.9111114352533902,2.3211889823122758,0.0799346380024169,0.7388799436449632,2024-08-06,3.02,bmo,4483775587.0,2025-04-25,2024-06-30,0.1589403973509933,169.7579365079365,1898950.873015873
2024-03-31,BLDR,USD,1316835,2024-05-07,2024-05-07 13:27:26,2024,Q1,3891352000.0,2591498000.0,1299854000.0,0.3340366022,0,0.0,0.0,926257000.0,0.0,926257000.0,3517755000.0,0.0,48336000.0,140381000.0,513978000.0,0.1320821144,373597000.0,0.0960069919,-48336000.0,325261000.0,0.0835856021,66480000.0,258781000.0,0.0665015655,2.12,2.1,121972000,123371000,https://www.sec.gov/Archives/edgar/data/1316835/000095017024054249/0000950170-24-054249-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017024054249/bldr-20240331.htm,31.903650018036927,2.1216426720886763,2.600490276456892,1.8362820975305807,5.718320598170072,40.638080871019575,1.0778703308956157,40.638080871019575,35.20866264388548,25054268520.0,28602928520.0,24.204122907014035,6.438448261683857,78.9889513756869,111.86189762250252,5.0546186138057765,5.0546186138057765,7.350383239552731,55.6501027670445,90.17686260786223,127.70589806898091,0.0103288188115898,0.0089395944575754,0.8566441678630252,0.380190416873686,6.904303297028277,2.213466300009149,7.729166666666667,1.2256966315146784,0.0,0.0,0.0,0.0,0.4320421387296331,0.2938708080722098,0.0239536284561252,0.663992990504413,0.0043429635766694,44.04473232946567,0.031013116741473,0.0407965689269068,-28.77272447774899,2161789000.0,131470000.0,-2268447000.0,9332917000.0,1830678500.0,953183500.0,1292586000.0,40.90114952335332,35.59658159103345,47.12395301867877,2.2004271529975634,2.5283326650295663,1.9098567551055448,0.0522082398236894,0.764208178926311,2024-05-07,2.3,bmo,3825628680.0,2025-04-25,2024-03-31,0.1521739130434783,184.80786885245905,1251931.8688524591
2023-12-31,BLDR,USD,1316835,2024-02-22,2024-02-22 13:08:58,2023,Q4,4150862000.0,2685976000.0,1464886000.0,0.3529112748,0,318450000.0,656000000.0,974450000.0,0.0,974450000.0,3660426000.0,0.0,46798000.0,142149000.0,632585000.0,0.1523984657,490436000.0,0.1181528078,-46798000.0,443638000.0,0.1068785231,92945000.0,350693000.0,0.0844867885,2.86,2.83,122600000,123800000,https://www.sec.gov/Archives/edgar/data/1316835/000095017024018584/0000950170-24-018584-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017024018584/bldr-20231231.htm,33.85694942903752,2.8604649265905384,4.989388254486133,4.175856443719413,0.5396084828711256,38.59992659053834,-0.998189233278956,38.59992659053834,30.670114192495923,20466844000.0,24114046000.0,14.590285520383924,4.930745469254338,33.45901170346854,39.97742792405657,4.324878691373484,4.324878691373484,5.809406817186406,38.11985108720568,39.421424589544856,47.10142589264786,0.0171346886701242,0.0250141155128753,0.7846751012340378,0.3454388375917689,5.7655524554012505,1.77131182862635,10.479849566220778,1.744257798131129,0.0,0.0,0.0767190043899315,0.0,0.4516160150955149,0.1630524163027894,0.0240285029952814,0.7016510844254972,0.0031253749221246,49.84284365961777,0.0426670132154221,0.0594903709172285,-31.95241027732463,1437291000.0,-122378000.0,-2716604000.0,8598028000.0,1973214500.0,956738500.0,1279888500.0,41.04240516789043,29.53286254233098,41.15593363455221,2.192853942936356,3.047452642661995,2.1868049647266674,0.0741054499127389,0.8135318107667211,2024-02-22,2.54,bmo,3995810000.0,2025-04-25,2023-12-31,0.3976377952755904,132.90079365079364,2001711.2698412696
2023-09-30,BLDR,USD,1316835,2023-11-01,2023-11-01 12:45:29,2023,Q3,4534264000.0,2953162000.0,1581102000.0,0.3487009138,0,0.0,0.0,939474000.0,0.0,939474000.0,3892636000.0,50193000.0,50193000.0,140611000.0,782239000.0,0.1725173038,641628000.0,0.1415065378,-50193000.0,591435000.0,0.130436825,139978000.0,451457000.0,0.0995656627,3.62,3.59,124577000,125792000,https://www.sec.gov/Archives/edgar/data/1316835/000095017023057261/0000950170-23-057261-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017023057261/bldr-20230930.htm,36.39728039686298,3.623919343056905,5.2133700442296735,4.045530073769636,0.7071610329354536,36.76990937331932,-2.32168056703886,36.76990937331932,31.823803751896417,15508590730.0,19334815730.0,8.588077452559158,3.420310491405,23.878987860796407,30.77223447359022,3.3856488123501176,3.3856488123501176,4.264157475171274,24.717274042843684,29.77032782316549,38.36425201396881,0.0291101240505816,0.0324968276469566,0.8545274342156249,0.3645720025143533,4.891375909408762,1.7635262956892102,12.783216783216783,1.4385999109549747,0.0,0.0,0.0,0.0,0.4535739236717381,0.2240086471039284,0.0320859129508118,1.034670118269552,0.0026747450082306,54.755380383661645,0.0549662070413869,0.0769505717213547,-31.001519140772373,1547425000.0,-289228000.0,-2581965000.0,8669953000.0,2054299000.0,1047028999.5,1346881000.0,40.76014321177593,31.453868768459028,40.57890491615428,2.2080393469765403,2.8613332325672203,2.217901152974964,0.0985566569192162,1.1678399704600368,2023-11-01,3.73,bmo,3982540000.0,2025-04-25,2023-09-30,0.1367292225201073,137.96873015873018,1493775.7777777778
2023-06-30,BLDR,USD,1316835,2023-08-02,2023-08-02 12:08:38,2023,Q2,4528890000.0,2933944000.0,1594946000.0,0.3521715034,0,0.0,0.0,1017874000.0,0.0,1017874000.0,3951818000.0,53016000.0,53016000.0,138966000.0,716038000.0,0.1581045245,577072000.0,0.1274201846,-53016000.0,524056000.0,0.115714005,119437000.0,404619000.0,0.0893417592,3.19,3.16,126977000,128066000,https://www.sec.gov/Archives/edgar/data/1316835/000095017023036892/0000950170-23-036892-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017023036892/bldr-20230630.htm,35.66701056096773,3.186553470313521,3.081865219685455,2.0937728880033397,0.7034029784921678,34.19564173039212,-4.490073005347425,34.19564173039212,33.36551501453019,17268872000.0,21363193000.0,10.669835079420393,3.8130473471424566,44.12911996647297,64.95451382489345,3.977115009926164,3.977115009926164,4.717092488446396,29.83527829528601,54.59180580896746,80.35474552491715,0.0234305402228935,0.0153953888823774,0.9635143226947578,0.3897878825824234,5.718021948555803,1.8432936780621887,10.884864946431266,0.9671468715013384,0.0,0.0,0.0,0.0,0.4576674500368579,0.3206150370790594,0.0277032562062668,0.902846739490235,0.0027368737151929,49.5150524444388,0.0496107857181212,0.0695112246938454,-32.12633980957181,1649361000.0,-570136000.0,-2785835000.0,8721792000.0,1902866500.0,1000451499.5,1349206500.0,40.83927187456529,32.57623523489201,41.78760739809621,2.2037611315997045,2.76275018740048,2.153748577720682,0.0931859532111486,0.9880923316821156,2023-08-02,2.51,bmo,4777060000.0,2025-04-25,2023-06-30,0.5498007968127492,111.20516129032258,2533286.5
2023-03-31,BLDR,USD,1316835,2023-05-03,2023-05-03 12:26:48,2023,Q1,3883314000.0,2511914000.0,1371400000.0,0.3531519728,0,0.0,0.0,904217000.0,0.0,904217000.0,3416131000.0,42108000.0,42108000.0,136549000.0,603732000.0,0.1554682418,467183000.0,0.1203052341,-42108000.0,425075000.0,0.1094619184,91289000.0,333786000.0,0.0859539043,2.44,2.41,137074000,138412000,https://www.sec.gov/Archives/edgar/data/1316835/000095017023016998/0000950170-23-016998-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017023016998/bldr-20230331.htm,28.33005529859784,2.43507886251222,4.773925033193749,4.003209944993215,1.0534966514437458,33.97604213782336,-2.4160088711207086,33.97604213782336,27.32629090856034,12169429720.0,15728638720.0,9.114694534821712,3.1337743278035206,18.596856754704064,22.17720309948682,2.613017715243733,2.613017715243733,4.050313397268416,26.05235223576024,24.03590373192376,28.663398647072544,0.0274282367933343,0.0450913487834333,0.7952397475582063,0.353502500163216,5.895345948202182,1.8271916354928217,11.094875083119597,1.9604806672538693,0.0,0.0,0.0,0.0,0.4761328619987027,0.1614426457980901,0.02720485647053,0.7736783132794821,0.0028393274404284,43.14536702749044,0.0414459578138502,0.0608153904008955,-26.95040999751959,1515358000.0,-331172000.0,-2472395000.0,8594047000.0,1808732500.0,871208500.0,1381179500.0,40.57343804801775,33.6414463234012,47.87372099522515,2.218199993145442,2.6752714236722768,1.8799457850576613,0.0716704686388824,0.770715088200534,2023-05-03,1.51,bmo,3575730000.0,2025-04-25,2023-03-31,0.9602649006622516,79.2208064516129,1794768.2741935484
2022-12-31,BLDR,USD,1316835,2023-02-28,2023-02-28 12:24:11,2022,Q4,4357565000.0,2872438000.0,1485127000.0,0.3408157996,0,317322000.0,641800000.0,959122000.0,0.0,959122000.0,3831560000.0,0.0,42233000.0,141668000.0,667673000.0,0.1532215813,526005000.0,0.1207107639,-42233000.0,483772000.0,0.1110188833,99259000.0,384513000.0,0.0882403361,2.57,2.55,149517000,150946500,https://www.sec.gov/Archives/edgar/data/1316835/000095017023004939/0000950170-23-004939-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095017023004939/bldr-20221231.htm,29.14427790819773,2.571700876823371,6.49668599557241,5.594373883906178,0.5380324645358053,33.190647217373275,-0.3025207835898259,33.190647217373275,23.620397680531312,9700662960.0,13109635960.0,6.307109876649164,2.226165980312399,9.986630113294176,11.597365736788872,1.954767545660853,1.954767545660853,3.008477431776692,19.63481518647601,13.496096688680362,15.672871383244027,0.0396378063628756,0.0862264778653849,0.7031479279066515,0.3293407555902884,5.105752366802312,1.898028466788476,12.454833897662963,2.5262214801580183,0.0,0.0,0.0728209447248635,0.0,0.4726495871699908,0.1388880595862523,0.0309601807431443,0.9523039783154982,0.0010751417362678,43.82373069928228,0.04719013861857,0.0688183439698376,-23.00037621140071,1654868000.0,-45232000.0,-2134947000.0,8716001000.0,2150378500.0,945736500.0,1592538500.0,38.55649887035535,25.17482013536933,44.685956668168295,2.33423683780577,3.57500071563787,2.014055571604464,0.0774826974593385,0.902312111666232,2023-02-28,2.36,bmo,4253302574.0,2025-04-25,2022-12-31,0.3601694915254237,62.45587301587301,2005560.8412698407
