date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,BLK,USD,2012383,2025-04-11,2025-04-11 06:40:46,2025,Q1,5276000000.0,1858000000.0,3418000000.0,0.6478392722,0,8645000000.0,0.0,8645000000.0,0.0,8645000000.0,10503000000.0,0.0,-166000000.0,101000000.0,1698000000.0,0.3218347233,1698000000.0,0.3218347233,65000000.0,1763000000.0,0.3341546626,248000000.0,1770000000.0,0.3354814253,9.74,11.3,155000000,156600000,https://www.sec.gov/Archives/edgar/data/2012383/000095017025053022/0000950170-25-053022-index.htm,https://www.sec.gov/Archives/edgar/data/2012383/000095017025053022/blk-ex99_1.htm,34.038709677419355,11.419354838709678,,,,,,,,146704400000.0,,20.7209604519774,27.805989385898407,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0120650778027107,,0.0,0.0,,0.0,-10.228915662650602,0.0,0.005504606542135,0.4562429378531073,1.63855193328279,0.0,0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,2025-04-11,10.08,bmo,5290455852.0,2025-05-12,2025-03-31,0.121031746031746,980.1183333333332,899593.4833333333
2024-12-31,BLK,USD,2012383,2025-02-25,2025-02-25 15:59:36,2024,Q4,5677000000.0,2881000000.0,2796000000.0,0.4925136516,0,494000000.0,92000000.0,586000000.0,135000000.0,721000000.0,3602000000.0,212000000.0,166000000.0,110000000.0,2195000000.0,0.3866478774,2075000000.0,0.3655099524,28000000.0,2103000000.0,0.3704421349,442000000.0,1670000000.0,0.2941694557,10.63,10.64,150000000,157000000,https://www.sec.gov/Archives/edgar/data/2012383/000095017025026584/0000950170-25-026584-index.htm,https://www.sec.gov/Archives/edgar/data/2012383/000095017025026584/blk-20241231.htm,37.84666666666666,11.133333333333333,16.986666666666668,16.85333333333333,97.23333333333332,329.03333333333336,17.753333333333334,316.6333333333333,95.92,153766500000.0,155226500000.0,23.0189371257485,27.08587282015149,60.34791993720564,60.82535601265823,3.237530266343825,3.237530266343825,27.34305090716928,70.71822323462415,60.920918367346935,61.40288765822785,0.0108606230876036,0.0164405120751269,0.2994420465312138,0.1026007286368719,0.6651480637813212,16.397135416666668,12.5,1.525748502994012,0.0051441633905954,0.4736526946107784,0.0870177910868416,0.0,0.3368466616167082,0.0353218210361067,0.0158534437202747,0.45,0.0426281486700722,281.632118196771,0.0119557694927433,0.0181673792195642,-475.5883333333333,23650000000.0,2663000000.0,-64074000000.0,72964000000.0,4495500000.0,0.0,0.0,70.53197111150256,0.0,0.0,1.276017082490447,0.0,0.0,0.0351615959574692,0.6,2025-01-15,11.27,bmo,5567497785.0,2025-04-25,2024-12-31,0.0585625554569654,1014.921875,643190.9375
2024-09-30,BLK,USD,1364742,2024-09-30,2024-09-28 20:00:00,2024,Q3,5374000000.0,962000000.0,4412000000.0,0.8209899516,0,0.0,0.0,-2228000000.0,0.0,-2228000000.0,3190000000.0,236000000.0,0.0,0.0,2184000000.0,0.4064011909,2184000000.0,0.4064011909,81000000.0,2265000000.0,0.4214737626,574000000.0,1631000000.0,0.3034983253,11.02,10.9,148000000,149600000,https://www.sec.gov/Archives/edgar/data/2012383/000095017024122256/0000950170-24-122256-index.html,https://www.sec.gov/Archives/edgar/data/2012383/000095017024122256/0000950170-24-122256-index.html,36.310810810810814,11.02027027027027,9.33108108108108,8.695945945945946,108.14864864864865,294.7567567567568,66.38513513513513,278.22972972972974,95.80405405405403,140527480000.0,140669480000.0,21.540079705702023,26.1495124674358,101.7577697320782,109.18996114996116,3.412683471756764,3.412683471756764,26.175935988090806,64.40910256410257,101.86059377262852,109.30029526029526,0.0116062708873737,0.0091583510926119,0.344334353295449,0.1067567160583062,0.065018315018315,18.63077984817115,0.0,0.8166765227675932,0.005386846757659,0.4641324340895156,0.0,0.0,0.2544798819419347,0.0680666183924692,0.0174916263490882,0.8545454545454545,0.0290286564942314,262.65710236738727,0.0124119996065821,0.0164719189634103,-471.4831081081081,25547000000.0,9825000000.0,-62196000000.0,61860000000.0,4264500000.0,675500000.0,0.0,76.06624488276888,0.0,0.0,1.183179216204315,0.0,0.0,0.0396085288260721,0.6351351351351351,2024-10-11,10.33,bmo,5034963238.0,2025-04-25,2024-09-30,0.1093901258470475,865.45640625,523853.625
2024-06-30,BLK,USD,1364742,2024-08-06,2024-08-06 15:57:51,2024,Q2,4976000000.0,1005000000.0,3971000000.0,0.7980305466,157000000,392000000.0,76000000.0,468000000.0,-2073000000.0,507000000.0,3011000000.0,178000000.0,126000000.0,108000000.0,1922000000.0,0.3862540193,1965000000.0,0.3948954984,214000000.0,2014000000.0,0.4047427653,477000000.0,1495000000.0,0.3004421222,10.07,9.99,148442950,149657889,https://www.sec.gov/Archives/edgar/data/1364742/000095017024091706/0000950170-24-091706-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000095017024091706/blk-20240630.htm,33.52129555495899,10.071209174972608,9.195451855409772,9.148295692048697,82.04498765350594,284.54702631549696,56.378561595548994,270.1509233008371,79.51876461630546,116122466496.5,117572466496.5,19.418472658277597,23.33650854029341,85.07140402673993,85.50991641863034,2.8956776843174903,2.8956776843174903,23.627907254119776,61.17193886394381,86.13367508901099,86.57766310493372,0.0128743390069574,0.0116945500812362,0.2912074210762555,0.0932218949317878,0.7544224765868887,14.676535899333826,15.595238095238097,0.9130434782608696,0.0065275912824573,0.5070234113712374,0.0787781350482315,0.0315514469453376,0.2703738295375625,0.0051282051282051,0.0014067524115755,0.0648148148148148,0.0359726688102893,247.42028067830452,0.0121013981855866,0.0163564950055251,-457.16384644740623,18477000000.0,8369000000.0,-63204000000.0,54858000000.0,3974000000.0,1398000000.0,-254000000.0,72.1121382636656,120.98507462686568,0.0,1.2480561825934289,0.7438934122871946,0.0,0.0372799361627848,0.0471561633610757,2024-07-15,9.93,bmo,4848955171.0,2025-04-25,2024-06-30,0.0433031218529707,780.2066666666666,612063.5873015873
2024-03-31,BLK,USD,1364742,2024-05-07,2024-05-07 12:07:25,2024,Q1,4899000000.0,888000000.0,4011000000.0,0.8187385181,160000000,440000000.0,82000000.0,522000000.0,-2152000000.0,2152000000.0,3040000000.0,141000000.0,92000000.0,111000000.0,1833000000.0,0.3741579914,1859000000.0,0.379465197,220000000.0,1913000000.0,0.3904878547,290000000.0,1573000000.0,0.3210859359,10.58,10.48,148700000,150100000,https://www.sec.gov/Archives/edgar/data/1364742/000095017024054148/0000950170-24-054148-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000095017024054148/blk-20240331.htm,32.94552790854068,10.578345662407532,-1.593813046402152,-2.0242098184263617,74.35776731674513,280.7330195023537,53.82649630127774,267.1486213853396,78.84330867518494,122940699000.0,125198699000.0,19.539208359821995,25.0950600122474,-518.7371265822785,-408.44086046511626,3.0947941850220264,3.0947941850220264,25.55597040212288,68.30261811238407,-528.264552742616,-415.9425215946844,0.0127947865336278,-0.0024483348675282,0.2928130899937067,0.093815530535213,1.2318603382433169,13.223529411764703,20.206521739130437,-0.1506675143038779,0.0064665322913122,0.505403687221869,0.0898142478056746,0.0326597264747907,0.2721311739845791,-0.270042194092827,0.0130638905899163,0.5765765765765766,0.0359256991222698,252.1602374594765,0.0128704707338528,0.0174299422695491,-460.4522528581036,17663000000.0,8004000000.0,-63135000000.0,53920000000.0,5153500000.0,1165500000.0,-254000000.0,72.76791181873851,146.4527027027027,-51.48648648648649,1.2368088866447866,0.6145328719723183,-1.748031496062992,0.0395972309628697,0.4303967720242098,2024-04-12,9.35,bmo,4657499395.0,2025-04-25,2024-03-31,0.0491978609625669,803.4026229508196,599907.2131147541
2023-12-31,BLK,USD,1364742,2024-02-23,2024-02-23 14:28:07,2023,Q4,4896000000.0,820000000.0,4076000000.0,0.8325163399,186000000,526000000.0,100000000.0,626000000.0,-2167000000.0,2167000000.0,2987000000.0,159000000.0,82000000.0,111000000.0,1759000000.0,0.3592728758,1909000000.0,0.3899101307,342000000.0,1927000000.0,0.3935866013,438000000.0,1375000000.0,0.2808415033,9.25,9.15,148700000,150200000,https://www.sec.gov/Archives/edgar/data/1364742/000095017024019271/0000950170-24-019271-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000095017024019271/blk-20231231.htm,32.92535305985205,9.246805648957633,13.4364492266308,12.602555480833894,71.3315400134499,277.3369199731002,50.1546738399462,264.6065904505716,65.79690652320107,120714660000.0,121680660000.0,21.94812,24.65577205882353,60.41774774774774,64.41550693703309,3.0679507967570587,3.0679507967570587,24.853075980392155,69.17604320636725,60.90123123123123,64.9309818569904,0.0113904972270973,0.0155242122207857,0.2465753424657534,0.0787429693777341,0.549175667993178,15.462096774193547,23.28048780487805,1.453090909090909,0.0061550105016242,0.5403636363636364,0.1074346405228758,0.0379901960784313,0.2741800650915909,0.062062062062062,0.0253267973856209,1.117117117117117,0.0328839869281045,234.63211330702305,0.0119783942123925,0.0153753256773529,-447.9119031607263,17933000000.0,7458000000.0,-62798000000.0,54248000000.0,5116000000.0,1051500000.0,8943500000.0,116.65441176470588,97.24390243902438,0.0,0.7715096123542389,0.9255079006772008,0.0,0.0349454850433324,0.8338937457969066,2024-01-12,8.84,bmo,4613210000.0,2025-04-25,2023-12-31,0.0927601809954751,698.0673015873016,674515.5555555555
2023-09-30,BLK,USD,1364742,2023-11-06,2023-11-06 14:24:41,2023,Q3,4522000000.0,2328000000.0,2194000000.0,0.4851835471,0,447000000.0,74000000.0,521000000.0,36000000.0,557000000.0,2885000000.0,139000000.0,82000000.0,108000000.0,1998000000.0,0.4418398939,1637000000.0,0.3620079611,171000000.0,1808000000.0,0.3998230871,213000000.0,1604000000.0,0.3547103052,10.750670241286864,10.6578073089701,149200000,150500000,https://www.sec.gov/Archives/edgar/data/1364742/000095017023059279/0000950170-23-059279-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000095017023059279/blk-20230930.htm,28.902769220512493,10.753895112433783,10.56617125760327,10.043226233432549,49.049561497858825,272.4074266292376,45.75098519155121,258.97176216208214,65.12676877941507,96427382744.42,98775382744.42,15.029205539965712,22.367752898264904,61.18488752818528,64.37074949560747,2.4963725566163566,2.4963725566163566,22.912406110976573,56.60480386499713,62.67473524392132,65.93817272658211,0.0166342791264115,0.015535006316312,0.2501876925466642,0.0814942867984989,1.3455587392550143,13.099424815119145,30.52,0.9880877742946708,0.0077571326599475,0.4663341645885286,0.1055439573184875,0.0336348874971004,0.2850866467091116,0.049492385786802,0.0180932498260264,0.7222222222222222,0.0338668522384597,250.32277416546927,0.0103761141670619,0.0189200028309231,-394.0860066763453,14725000000.0,6824000000.0,-62012000000.0,51019000000.0,3846000000.0,1186500000.0,18018500000.0,81.12734864300626,49.945280437756495,734.0766073871408,1.1093669583118888,1.801972062448644,0.1226030077710068,0.04152535791027,0.5229450241707202,2023-10-13,8.26,bmo,4541390000.0,2025-04-25,2023-09-30,0.3208232445520582,698.5115873015874,559584.6666666666
2023-06-30,BLK,USD,1364742,2023-08-04,2023-08-04 14:22:08,2023,Q2,4463000000.0,2291000000.0,2172000000.0,0.4866681604,141000000,435000000.0,82000000.0,517000000.0,37000000.0,554000000.0,2845000000.0,89000000.0,69000000.0,136000000.0,1985000000.0,0.4447680932,1615000000.0,0.3618642169,251000000.0,1866000000.0,0.4181044141,443000000.0,1366000000.0,0.3060721488,9.13,9.06,149604642,150739213,https://www.sec.gov/Archives/edgar/data/1364742/000095017023038497/0000950170-23-038497-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000095017023038497/blk-20230630.htm,29.83196203230111,9.13073272151542,6.584020300653505,6.176278941932831,45.68040074585386,266.67621717245913,42.311521322981406,255.3931448196641,65.419093078676,103397752271.88,106281752271.88,18.923453929699853,23.1677688263231,104.97233733185786,111.90232929857144,2.7061807022581656,2.7061807022581656,23.81397093252969,53.54244446946096,107.90025611358377,115.02354141978356,0.0132111189071901,0.008936364473092,0.2543446398659966,0.0792374677929617,1.452896725440806,14.230968858131488,23.405797101449277,0.6921995783555868,0.0072341998115506,0.5475841874084919,0.0974680708043916,0.0315930988124579,0.2736864420599458,0.0619289340101522,0.0136679363656733,0.5980392156862745,0.0354021958323997,229.05970236109133,0.0100547723886664,0.015334875053324,-427.6906060174256,15295000000.0,6330000000.0,-66297000000.0,51370000000.0,3693000000.0,1169500000.0,17679000000.0,76.75106430652028,45.41248363160192,713.0074203404627,1.172622175512349,1.981833910034602,0.1262258953168044,0.035751675041876,0.4077413587206739,2023-07-14,8.46,bmo,4466950000.0,2025-04-25,2023-06-30,0.0969267139479903,669.780806451613,615829.1290322581
2023-03-31,BLK,USD,1364742,2023-05-05,2023-05-05 13:21:58,2023,Q1,4243000000.0,2247000000.0,1996000000.0,0.4704218713,135000000,442000000.0,80000000.0,522000000.0,37000000.0,559000000.0,2806000000.0,86000000.0,59000000.0,149000000.0,1710000000.0,0.4030167334,1438000000.0,0.3389111478,116000000.0,1554000000.0,0.3662502946,385000000.0,1157000000.0,0.2726844214,7.72,7.64,149909343,151349829,https://www.sec.gov/Archives/edgar/data/1364742/000095017023018214/0000950170-23-018214-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000095017023018214/blk-20230331.htm,28.303772900932533,7.717997936926453,-2.6282551315030447,-3.1685816940709293,37.64942122386595,260.5908292186965,36.42868343436073,251.56537441432187,57.04114119158003,100307339588.16,103155339588.16,21.67401460418323,23.640664527023333,-254.5871563151269,-211.1733465013895,2.6598255088078067,2.6598255088078067,24.31188771816168,60.32475999307603,-261.815582711066,-217.1691359750737,0.0115345497622645,-0.0047354460994603,0.2251803139584217,0.0699517290235424,1.6654970760233918,13.262045646661033,24.372881355932204,-0.3370402053036783,0.0079356107266746,0.6879861711322386,0.1041715767145887,0.0318171105349988,0.2768085141435608,-0.2055837563451776,0.0190902663209992,0.7641509433962265,0.0388875795427763,209.01094090134853,0.0089242062693974,0.0131785771237214,-436.2636690362922,14506000000.0,5461000000.0,-66644000000.0,50650000000.0,3422000000.0,1192500000.0,8604000000.0,75.93683714353051,47.38317757009346,689.2389853137516,1.185195530726257,1.8994082840236688,0.13057880055788,0.0306798896902842,0.5403265625678848,2023-04-14,7.76,bmo,4412950000.0,2025-04-25,2023-03-31,0.0219072164948453,704.3975806451613,729862.6290322581
2022-12-31,BLK,USD,1364742,2023-02-24,2023-02-24 14:35:17,2022,Q4,4337000000.0,2202000000.0,2135000000.0,0.4922757667,151000000,471000000.0,100000000.0,571000000.0,37000000.0,608000000.0,2810000000.0,72000000.0,54000000.0,136000000.0,1870000000.0,0.4311736223,1427000000.0,0.3290292829,225000000.0,1652000000.0,0.3809084621,345000000.0,1259000000.0,0.2902928291,8.39,8.29,150035914,151839446,https://www.sec.gov/Archives/edgar/data/1364742/000095017023004343/0000950170-23-004343-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000095017023004343/blk-20221231.htm,28.90641236737492,8.391324226544853,13.150184828413815,12.257065331704515,58.29937490833028,258.504773730375,34.27179441850169,251.56643495370048,56.93970045065343,106319949737.82,107392949737.82,21.11198366517474,24.51462986807009,53.88745551840852,57.81400203252854,2.816870224083828,2.816870224083828,24.76203590911229,57.42938488653475,54.43129738358844,58.3974713093094,0.0118416158313151,0.0172968479061068,0.2249099194573972,0.072168191246982,0.5737967914438503,12.708655332302936,26.425925925925927,1.5095638867635808,0.0068754735287461,0.5806195393169182,0.1086004150334332,0.0348166935669817,0.2860118339170945,0.0679168778509883,0.0308969333640765,1.2181818181818185,0.0396587502882176,217.9379480604087,0.0096220063987364,0.0149907721616955,-450.8787142790359,15151000000.0,5142000000.0,-62398000000.0,51341000000.0,3312500000.0,1401500000.0,0.0,67.73345630620244,49.12806539509536,0.0,1.328737745098039,1.8319467554076536,0.0,0.0333562950402713,0.8931194967093012,2023-01-13,8.11,bmo,4252712200.0,2025-04-25,2022-12-31,0.1011097410604192,667.7725396825397,848294.7936507936
