date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,BR,USD,1383312,2025-05-01,2025-05-01 11:58:13,2025,Q3,1811700000.0,1235900000.0,575800000.0,0.3178230391,0,0.0,0.0,230900000.0,0.0,230900000.0,1466800000.0,0.0,0.0,500000.0,344900000.0,0.1903736822,344900000.0,0.1903736822,-34000000.0,310900000.0,0.1716067782,67800000.0,243100000.0,0.1341833637,2.07,2.05,117200000,118500000,https://www.sec.gov/Archives/edgar/data/1383312/000162828025021409/0001628280-25-021409-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000162828025021409/br-20250331.htm,15.458191126279864,2.074232081911263,3.0750853242320817,2.976962457337884,2.7064846416382253,20.32679180887372,-20.496587030716725,20.32679180887372,31.06313993174061,28416312000.0,31739712000.0,29.222863019333605,15.68488822652757,78.84659267480578,81.44543422184007,11.928099735549678,11.928099735549678,17.519297897002815,92.02583937373151,88.06801331853497,90.97079965606191,0.0085549454834251,0.0122781591080503,1.5281870461318894,0.4386476456696708,9.635836474340389,1.3173297476864667,0.0,1.4825174825174825,0.0036246786704763,0.4236939531057178,0.0,0.0,0.5764735649910839,0.0319089900110987,0.0063476292984489,0.1412776412776412,0.0114809295137163,30.800257841074664,0.0383337214626218,0.0691587721544195,-40.204351535836174,401200000.0,-2402200000.0,-4251800000.0,5344200000.0,1112250000.0,99150000.0,0.0,58.82762046696473,0.0,0.0,1.5298935990542135,0.0,0.0,0.1020442429584854,0.0981228668941979,2025-05-01,2.41,bmo,1864222667.0,2025-05-11,2025-03-31,0.0124481327800829,,
2024-12-31,BR,USD,1383312,2025-01-31,2025-01-31 11:07:54,2025,Q2,1589200000.0,1145800000.0,443400000.0,0.2790083061,0,0.0,0.0,232800000.0,-100000.0,232800000.0,1378600000.0,3800000.0,36600000.0,125400000.0,337900000.0,0.2126227032,210700000.0,0.1325824314,-34700000.0,176000000.0,0.1107475459,33600000.0,142400000.0,0.0896048326,1.22,1.2,117100000,118300000,https://www.sec.gov/Archives/edgar/data/1383312/000138331225000006/0001383312-25-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331225000006/br-20241231.htm,13.57130657557643,1.2160546541417592,2.02134927412468,1.946199829205807,2.475661827497865,19.029035012809565,-22.310845431255338,19.029035012809565,33.33561058923996,26475139000.0,30052239000.0,46.480229985955056,16.65941291215706,111.85103084072666,116.1699824484423,11.88131714760131,11.88131714760131,18.91029385854518,88.93826279964486,126.9634093789607,131.86590171127688,0.0053786308732883,0.0086080756743146,1.7354036709599243,0.4698320900055889,10.586268126664692,1.3536749528852194,5.756830601092896,1.6622191011235956,0.0038828880180761,0.7219101123595506,0.0,0.0,0.588158821957087,0.0371778622729193,0.005537377296753,0.2227848101265822,0.013654669015857,22.817927125419505,0.0239556306711991,0.0420096173702687,-42.11934244235696,394100000.0,-2612600000.0,-4493900000.0,5394200000.0,967800000.0,183150000.0,0.0,58.91454820035239,15.576016756851107,0.0,1.5276362587715082,5.778113968734241,0.0,0.0639052192254184,0.0751494449188727,2025-01-31,1.32,bmo,1556356417.0,2025-04-30,2024-12-31,0.1818181818181818,234.26392857142855,597890.2857142857
2024-09-30,BR,USD,1383312,2024-11-05,2024-11-05 14:07:58,2025,Q1,1422900000.0,1075000000.0,347900000.0,0.2445006677,0,0.0,0.0,213400000.0,0.0,213400000.0,1288400000.0,3600000.0,35900000.0,123300000.0,259500000.0,0.1823740249,134400000.0,0.0944549863,-34100000.0,100300000.0,0.0704898447,20500000.0,79800000.0,0.0560826481,0.68,0.68,116900000,118100000,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000051/0001383312-24-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000051/br-20240930.htm,12.171941830624466,0.6826347305389222,-1.0735671514114629,-1.1411462788708298,2.504704875962361,18.87425149700599,-21.99059024807528,18.87425149700599,32.83746792130026,25137007000.0,28647007000.0,78.75002192982456,17.66603907512826,-200.2948764940239,-188.433335832084,11.39276967005076,11.39276967005076,20.13283224400871,110.39309055876686,-228.26300398406377,-214.74517991004493,0.003174602290559,-0.0053069166110348,1.7235315445975343,0.4743361065722019,13.52601156069364,1.388523241464418,3.743732590529248,-1.5726817042606516,0.0037156372673962,1.1704260651629073,0.0,0.0,0.5958638410397775,-0.0629482071713147,0.0055520416051725,0.0640713706407137,0.0104715721414013,17.026301437999006,0.0150942108881283,0.0246296296296296,-41.45786997433704,377800000.0,-2570700000.0,-4460500000.0,5315200000.0,980449999.5,241000000.0,15250000.0,56.62871600253004,14.065116279069768,0.0,1.589299676086228,6.398809523809524,0.0,0.0361675126903553,0.0675791274593669,2024-11-05,0.971,bmo,1483632881.0,2025-04-25,2024-09-30,0.0298661174047374,235.31166666666667,515417.68333333335
2024-06-30,BR,USD,1383312,2024-08-06,2024-08-06 10:22:53,2024,Q4,1944300000.0,1253000000.0,691300000.0,0.3555521267,0,0.0,0.0,201700000.0,1800000.0,201700000.0,1454700000.0,2700000.0,35700000.0,120100000.0,622500000.0,0.320166641,489600000.0,0.2518129918,-31200000.0,410200000.0,0.2109756725,87000000.0,323200000.0,0.1662294913,2.75,2.72,117500000,118700000,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000039/0001383312-24-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000039/br-20240630.htm,16.547234042553193,2.7506382978723405,6.136170212765958,5.826382978723404,2.597446808510638,18.452765957446807,-22.2,18.452765957446807,30.74553191489362,23095800000.0,26368300000.0,17.864944306930692,11.878722419379724,32.033009708737865,33.736196319018404,10.652061617931926,10.652061617931926,13.56184745152497,42.35871485943776,36.571844660194174,38.51635991820041,0.0139938863343118,0.0296417530460083,1.6497094363988565,0.433963408715908,5.257028112449799,1.083767055844704,13.714285714285714,2.2308168316831685,0.0040829934446955,0.291769801980198,0.0,0.0,0.5795278074347278,0.0504854368932038,0.0187213907318829,0.3030807660283097,0.0069433729362752,33.79393298722618,0.0591774313880487,0.0932567735233863,-42.16638298510638,119100000.0,-2608500000.0,-4533300000.0,5244200000.0,1115349999.5,236050000.0,15250000.0,49.32572129301034,22.553870710295293,2.1907422186751795,1.824605857568136,3.990445859872611,41.08196721311475,0.1490637395074255,0.3097872340425532,2024-08-06,3.49,bmo,1961040000.0,2025-04-25,2024-06-30,0.0028653295128939,224.00046875,467731.078125
2024-03-31,BR,USD,1383312,2024-05-08,2024-05-08 10:35:27,2024,Q3,1726500000.0,1187300000.0,539200000.0,0.3123081379,0,0.0,0.0,235400000.0,-900000.0,235400000.0,1422700000.0,2800000.0,38200000.0,120300000.0,423300000.0,0.245178106,303800000.0,0.1759629308,-36300000.0,266600000.0,0.1544164495,52900000.0,213700000.0,0.1237764263,1.81,1.79,117800000,119400000,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000028/0001383312-24-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000028/br-20240331.htm,14.656196943972835,1.8140916808149403,1.7606112054329373,1.4193548387096775,2.00679117147708,19.246179966044146,-21.238539898132423,19.246179966044146,31.955857385398986,23940494000.0,27431094000.0,28.007129153018248,13.86648942948161,115.43150433944068,143.18477272727273,10.55949805928017,10.55949805928017,15.888267593397046,64.80296243798725,132.26178399228544,164.06156698564592,0.0089262986803864,0.0069839828701947,1.6435250529287226,0.4535628210434063,8.246161115048428,1.394422665716322,7.952879581151833,0.9705194197473092,0.0039347558993561,0.4408048666354703,0.0,0.0,0.5805073398738954,0.1938283510125361,0.0232841007819287,0.3341645885286783,0.0116999710396756,28.02806694524306,0.0355247494035926,0.0620085308881989,-41.06939728353141,442700000.0,-2501900000.0,-4383100000.0,5541800000.0,1028650000.0,147300000.0,0.5,60.735013032145964,11.984334203655353,0.0,1.4818470517552145,7.509803921568627,0.0,0.0942572335920959,0.3412563667232597,2024-05-08,2.24,bmo,1766616667.0,2025-04-25,2024-03-31,-0.0044642857142858,209.1565625,561940.09375
2023-12-31,BR,USD,1383312,2024-02-01,2024-02-01 11:38:23,2024,Q2,1405000000.0,1057200000.0,347800000.0,0.247544484,0,0.0,0.0,223400000.0,-400000.0,223400000.0,1280600000.0,3700000.0,40000000.0,79600000.0,242400000.0,0.1725266904,124400000.0,0.0885409253,-36800000.0,87600000.0,0.0623487544,17400000.0,70300000.0,0.0500355872,0.6,0.59,117700000,119100000,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000007/0001383312-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331224000007/br-20231231.htm,11.93712829226848,0.5972812234494478,1.612574341546304,1.4256584536958368,2.359388275276126,17.567544604927782,-23.017841971113,17.567544604927782,33.262531860662705,24216775000.0,27814775000.0,86.11939900426742,17.236138790035586,127.59101685985247,144.3192789034565,11.711938385645889,11.711938385645889,19.79699288256228,114.74742161716172,146.54781348788197,165.76147199046483,0.0029029464080167,0.0069290811844269,1.8740629685157424,0.4843871096777419,14.843234323432345,1.4041808258675728,3.11,2.6998577524893315,0.0038857362303609,1.3385490753911806,0.0,0.0,0.5971274281857046,0.1159114857744994,0.0156583629893238,0.2763819095477386,0.0145907473309608,15.36512941791462,0.0141050710922795,0.0218126532005336,-42.35556499150383,392500000.0,-2709200000.0,-4568500000.0,5495900000.0,904200000.0,139850000.0,0.5,57.15160142348754,11.620317820658345,8.513053348467651e-08,1.5747590226406636,7.745054945054945,1057200000.0,0.0339991294675243,0.1869158878504672,2024-02-01,0.88,bmo,1402320000.0,2025-04-25,2023-12-31,0.0454545454545455,198.36253968253968,490236.98412698414
2023-09-30,BR,USD,1383312,2023-11-02,2023-11-02 10:22:22,2024,Q1,1431100000.0,1075300000.0,355800000.0,0.2486199427,0,0.0,0.0,207300000.0,-2100000.0,207300000.0,1282600000.0,2900000.0,33400000.0,119500000.0,268000000.0,0.1872685347,148400000.0,0.1036964573,-35500000.0,112900000.0,0.0788903641,22000000.0,90900000.0,0.0635175739,0.77,0.76,117900000,119200000,https://www.sec.gov/Archives/edgar/data/1383312/000138331223000049/0001383312-23-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331223000049/br-20230930.htm,12.138252756573369,0.7709923664122137,-0.5258693808312129,-0.6480067854113656,1.9906700593723496,17.92027141645462,-23.201017811704837,17.92027141645462,31.51314673452078,21109995000.0,24557995000.0,58.05829207920793,14.750887429250229,-340.48379032258066,-276.30883507853406,9.991478133282849,9.991478133282849,17.160222905457342,91.63430970149254,-396.0966935483871,-321.43972513089005,0.0043060171260106,-0.00361913870657,1.7427110942824688,0.4561899098027555,12.865671641791044,1.436038961038961,4.4431137724550895,-0.682068206820682,0.0040549512209737,0.9416941694169416,0.0,0.0,0.6006789572802061,-0.232258064516129,0.0100621899238348,0.1795511221945137,0.0114597163021452,17.631472726001473,0.016788305997205,0.0282035370772572,-42.71882951653944,402900000.0,-2735400000.0,-4631500000.0,5395100000.0,945100000.0,150250000.0,17050000.0,57.61861505135909,11.9854924207198,0.0,1.561995197555119,7.509078212290503,0.0,0.0430234759560772,0.1221374045801526,2023-11-02,0.94,bmo,1387930000.0,2025-04-25,2023-09-30,0.1595744680851065,201.6754098360656,540403.6229508197
2023-06-30,BR,USD,1383312,2023-08-08,2023-08-08 11:26:56,2023,Q4,1839000000.0,1159100000.0,679900000.0,0.3697117999,0,0.0,0.0,225700000.0,-700000.0,225700000.0,1384800000.0,3100000.0,36000000.0,103200000.0,557400000.0,0.3030995106,454200000.0,0.2469820555,-36700000.0,417500000.0,0.2270255574,93400000.0,324100000.0,0.1762370854,2.75,2.72,118000000,119100000,https://www.sec.gov/Archives/edgar/data/1383312/000138331223000037/0001383312-23-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331223000037/br-20230630.htm,15.584745762711863,2.7466101694915253,6.179661016949153,5.938983050847457,2.1440677966101696,18.98813559322034,-22.78135593220339,18.98813559322034,29.230508474576272,19544340000.0,22705240000.0,15.07585621721691,10.627699836867864,26.80244103126714,27.88861301369863,8.722815317325717,8.722815317325717,12.346514410005438,40.73419447434517,31.137191442676905,32.399029680365295,0.0165828060707089,0.035856928399731,1.523341961974471,0.4145654180634504,5.670792967348404,0.5807406789557094,12.616666666666667,2.249922863313792,0.0043644349208006,0.2631903733415612,0.0,0.0,0.5986493708400136,0.0389467910038398,0.0154431756389342,0.3928077455048409,0.008537248504622,34.255549071654315,0.0499787022315294,0.0980813460840092,-42.30550847457627,-1005300000.0,-2688200000.0,-4600100000.0,4069200000.0,1035100000.0,170550000.0,17050000.5,47.66721044045677,12.213786558536796,2.6477439392632216,1.8880903490759755,7.368722186904005,33.99120234604106,0.144648754797822,0.2406779661016949,2023-08-08,3.11,bmo,1880000000.0,2025-04-25,2023-06-30,0.0321543408360128,184.4873015873016,527649.5873015873
2023-03-31,BR,USD,1383312,2023-05-02,2023-05-02 11:38:08,2023,Q3,1645700000.0,1137700000.0,508000000.0,0.3086832351,0,0.0,0.0,221200000.0,1800000.0,221200000.0,1358900000.0,1800000.0,38500000.0,105700000.0,392500000.0,0.2385003342,286800000.0,0.1742723461,-36700000.0,250100000.0,0.1519718053,51600000.0,198500000.0,0.1206173665,1.69,1.67,117700000,119100000,https://www.sec.gov/Archives/edgar/data/1383312/000138331223000024/0001383312-23-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331223000024/br-20230331.htm,13.982158028887,1.6864910790144434,1.4910790144435004,1.3746813933729822,2.823279524214104,16.98300764655905,-19.89124893797791,16.98300764655905,34.96261682242991,17251289000.0,20996289000.0,21.72706423173804,10.482645075044054,98.29794301994302,106.6210692212608,8.630391215168341,8.630391215168341,12.758272467642948,53.49372993630573,119.63697435897436,129.7669283065513,0.0115063865662444,0.0093790093018556,2.0394216819250586,0.4834505413706818,9.54140127388535,1.348409286328461,7.44935064935065,0.8841309823677582,0.0049503547242179,0.4302267002518892,0.0,0.0,0.5146994295743748,0.078062678062678,0.0083247250410159,0.1838926174496644,0.0126997630187762,25.38578431016084,0.0322698292774924,0.0485069155955231,-44.85089209430756,405200000.0,-2341200000.0,-4865200000.0,4883400000.0,978200000.0,176800000.0,1.0,59.94895789025946,14.539861123318977,7.910697020304121e-08,1.5012771392081736,6.189880304678999,1137700000.0,0.0993046175396468,0.1163976210705182,2023-05-02,2.02,bmo,1862400000.0,2025-04-25,2023-03-31,0.0148514851485147,177.10460317460317,481841.6984126984
2022-12-31,BR,USD,1383312,2023-02-02,2023-02-02 10:35:12,2023,Q2,1292900000.0,988200000.0,304700000.0,0.2356717457,0,0.0,0.0,196800000.0,-1900000.0,196800000.0,1185000000.0,2100000.0,34100000.0,107400000.0,215300000.0,0.1665248666,30600000.0,0.0236677237,-36000000.0,71900000.0,0.0556114162,14400000.0,57500000.0,0.0444736639,0.49,0.48,117700000,118900000,https://www.sec.gov/Archives/edgar/data/1383312/000138331223000010/0001383312-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1383312/000138331223000010/br-20221231.htm,10.984706881903143,0.4885301614273576,1.045879354290569,0.8802039082412915,2.384027187765505,15.17926932880204,-21.51911639762107,15.17926932880204,35.16992353440951,15787101000.0,19612501000.0,68.63956956521739,12.210612576378685,128.24614947197398,152.38514478764478,8.836393708720474,8.836393708720474,15.169387423621316,91.09382721783558,159.32169780666126,189.3098552123552,0.0036422139821617,0.0065623194530775,2.2978842494122915,0.5099052326953412,17.7677659080353,1.258906664049465,0.8973607038123167,2.1371527777777777,0.0054031452639721,1.4834782608695651,0.0,0.0,0.5364847912759431,0.1584077985377741,0.0150823729600123,0.2586206896551724,0.0161652099930389,12.91702152780789,0.0035131412748216,0.0154077011709852,-45.36066269753611,263800000.0,-2532800000.0,-4982000000.0,4726500000.0,850150000.0,168450000.0,1.0,59.8793410163199,15.46448087431694,9.107468123861569e-08,1.5030225528946757,5.819787985865724,988200000.0,0.0321840367177879,0.1656754460492778,2023-02-02,0.91,bmo,1345560000.0,2025-04-25,2022-12-31,0.0,151.3264516129032,598867.3225806452
