date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,CAH,USD,721371,2025-05-01,2025-05-01 08:53:18,2025,Q3,54878000000.0,52755000000.0,2123000000.0,0.0386858122,0,0.0,1315000000.0,1315000000.0,0.0,1393000000.0,54148000000.0,0.0,74000000.0,-9000000.0,730000000.0,0.013302234,730000000.0,0.013302234,-65000000.0,665000000.0,0.0121177885,157000000.0,506000000.0,0.0092204526,2.11,2.1,240000000,241000000,https://www.sec.gov/Archives/edgar/data/721371/000072137125000038/0000721371-25-000038-index.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137125000038/cah-20250331.htm,228.65833333333333,2.1083333333333334,12.154166666666669,11.629166666666666,13.858333333333333,-7.908333333333333,-53.8,-12.283333333333331,32.30416666666667,33064800000.000004,37417800000.0,16.336363636363636,0.602514668901928,11.335207404868015,11.8469365818703,-11.216010854816826,-11.216010854816826,0.6818360727431758,51.257260273972605,12.827494000685636,13.406592619132928,0.0153032832498608,0.0844100070165251,-2.6048168249660786,0.1539772613342423,5.963013698630137,0.9436200971032676,9.864864864864863,5.7421259842519685,0.0037502117054995,0.2450592885375494,0.0,0.0,0.2208497924645585,0.0431950634213232,0.0022960020408907,0.6086956521739131,0.0005648893910127,,0.0405507660949931,0.0130221066989216,-128.60208333333333,-2067000000.0,-12912000000.0,-17174000000.0,11611000000.0,12517500000.0,32055000000.0,16531000000.0,20.772258464229743,55.97725334091556,27.565538811487063,4.332701721143218,1.6077959283189076,3.264946156702562,-0.1716417910447761,0.525,2025-05-01,2.17,bmo,55390682167.0,2025-05-11,2025-03-31,0.0829493087557604,,
2024-12-31,CAH,USD,721371,2025-01-30,2025-01-30 08:48:59,2025,Q2,55264000000.0,53323000000.0,1941000000.0,0.0351223219,0,0.0,1306000000.0,1306000000.0,86000000.0,1392000000.0,54629000000.0,0.0,35000000.0,192000000.0,738000000.0,0.0133540822,549000000.0,0.0099341343,-38000000.0,511000000.0,0.0092465258,110000000.0,400000000.0,0.0072379849,1.65,1.65,242000000,243000000,https://www.sec.gov/Archives/edgar/data/721371/000072137125000013/0000721371-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137125000013/cah-20241231.htm,228.3636363636364,1.6528925619834711,-1.6528925619834711,-2.06198347107438,15.743801652892564,-12.070247933884298,-42.79752066115702,-12.359504132231406,31.574380165289256,28621340000.0,32417340000.0,17.8883375,0.5179020700636943,-71.55335,-57.35739478957916,-9.569154129053826,-9.569154129053826,0.5865905471916618,43.9259349593496,-81.04335,-64.96460921843688,0.0139755860487314,-0.0174345435957925,-2.542962219993313,0.1618229011531424,5.143631436314363,1.015132157964966,15.685714285714283,-0.9975062344139652,0.004262553744863,0.305,0.0,0.0,0.1582060337857963,-0.2475,0.0017914012738853,0.515625,0.0005428488708743,,0.0349606395245522,0.0101096901379972,-117.29028925619836,533000000.0,-10357000000.0,-14167000000.0,10527000000.0,12075000000.0,30831500000.0,16261500000.0,20.143493051534453,52.82560996193012,28.53102788665304,4.467944053682594,1.703719087481628,3.154460482725982,-0.1337345369441658,0.4090909090909091,2025-01-30,1.74,bmo,55018995351.0,2025-04-30,2024-12-31,0.1091954022988505,137.93464285714285,2925646.0
2024-09-30,CAH,USD,721371,2024-11-01,2024-11-01 08:58:41,2025,Q1,52277000000.0,50375000000.0,1902000000.0,0.036383113,0,0.0,1277000000.0,1277000000.0,0.0,1277000000.0,51709000000.0,0.0,32000000.0,182000000.0,755000000.0,0.0144422978,568000000.0,0.0108651988,-27000000.0,541000000.0,0.0103487193,124000000.0,416000000.0,0.0079576104,1.71,1.7,243000000,245000000,https://www.sec.gov/Archives/edgar/data/721371/000072137124000121/0000721371-24-000121-index.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137124000121/cah-20240930.htm,215.1316872427984,1.7119341563786008,-6.777777777777778,-7.148148148148148,11.79835390946502,-13.48148148148148,-39.76954732510288,-13.48559670781893,21.382716049382715,26856360000.0,29153360000.0,16.139639423076922,0.5137318514834439,-16.306229508196722,-15.461347150259067,-8.195410436374733,-8.195410436374733,0.5576708686420414,38.61372185430464,-17.700886460230723,-16.783742084052964,0.0154898132137043,-0.064677417192799,-1.5758315532499236,0.1199284702385099,3.0423841059602648,0.9488724839956167,17.75,-3.949640287769784,0.0047660963734474,0.3076923076923077,0.0,0.0,0.1483545832462435,-0.0546448087431694,0.0017215984084779,0.4945054945054945,0.0005738661361593,,0.0469704388218839,0.0113441138774508,-110.38168724279836,-1773000000.0,-9664000000.0,-13430000000.0,7150000000.0,11939500000.0,31062000000.0,15288000000.0,20.282150850278324,54.25012406947891,27.904913151364767,4.437399202105085,1.658982381030792,3.225238491580767,-0.1269453768690875,0.3703703703703703,2024-11-01,1.62,bmo,50895104504.0,2025-04-25,2024-09-30,0.1604938271604936,127.48416666666668,2394443.3
2024-06-30,CAH,USD,721371,2024-08-14,2024-08-14 08:47:07,2024,Q4,59867000000.0,58058000000.0,1809000000.0,0.030216981,0,0.0,0.0,1277000000.0,-16000000.0,1277000000.0,59335000000.0,0.0,13000000.0,186000000.0,590000000.0,0.009855179,532000000.0,0.0088863648,-12000000.0,391000000.0,0.006531144,158000000.0,236000000.0,0.0039420716,0.96,0.96,244000000,245000000,https://www.sec.gov/Archives/edgar/data/721371/000072137124000056/0000721371-24-000056-index.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137124000056/cah-20240630.htm,245.3565573770492,0.9672131147540984,8.512295081967213,7.721311475409836,21.85655737704918,-13.163934426229508,-39.59836065573771,-13.168032786885243,23.040983606557376,23853440000.0,24329440000.0,25.26847457627119,0.3984405432041024,11.484564275397208,12.661061571125265,-7.424039838157486,-7.424039838157486,0.4063915011609066,41.23633898305085,11.713740972556572,12.913715498938428,0.0098937511738348,0.0789823186928174,-1.7457205104263929,0.1243101881607234,0.8067796610169492,0.9787878787878788,40.92307692307692,8.838297872340426,0.005114566284779,0.5169491525423728,0.0,0.0,0.1429489594645508,0.0929224843524313,0.0032238127850067,1.0376344086021505,0.0005512218751565,,0.0319740814828858,0.006102764345375,-108.3934426229508,-756000000.0,-9662000000.0,-13449000000.0,8698000000.0,11832000000.0,31924000000.0,16117000000.0,18.18731521539413,49.2319749216301,23.185951979055428,4.94850388493966,1.828080229226361,3.881660760847763,-0.0734516028633675,0.7909836065573771,2024-08-14,1.73,bmo,58639521340.0,2025-04-25,2024-06-30,0.0635838150289017,116.7465625,2080881.296875
2024-03-31,CAH,USD,721371,2024-05-02,2024-05-02 08:47:36,2024,Q3,54911000000.0,53028000000.0,1883000000.0,0.0342918541,0,0.0,1282000000.0,1282000000.0,7000000.0,1282000000.0,54310000000.0,0.0,36000000.0,177000000.0,554000000.0,0.0100890532,601000000.0,0.0109449837,-26000000.0,341000000.0,0.006210049,82000000.0,258000000.0,0.0046985121,1.06,1.05,243000000,245000000,https://www.sec.gov/Archives/edgar/data/721371/000072137124000038/0000721371-24-000038-index.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137124000038/cah-20240331.htm,225.97119341563783,1.0617283950617284,-0.2016460905349794,-0.6625514403292181,15.300411522633745,-13.423868312757202,-40.20164609053498,-13.436213991769549,24.238683127572017,27230580000.0,29366580000.0,26.38622093023256,0.4959039172479103,-555.7261224489796,-169.13403726708074,-8.340147013782543,-8.340147013782543,0.5348032270401195,53.00826714801444,-599.3179591836735,-182.4011180124224,0.0094746421119197,-0.0059124704651902,-1.7929555895865237,0.127593722755013,3.855595667870036,0.9842450283699664,16.694444444444443,-0.189922480620155,0.0044802571226907,0.4728682170542636,0.0,0.0,0.1418265039232781,-2.2857142857142856,0.0020396641838611,0.632768361581921,0.0005645499080329,,0.0424196641450704,0.0065527137886368,-115.68312757201646,-572000000.0,-9769000000.0,-13408000000.0,8405000000.0,11677000000.0,33174000000.0,17864000000.0,18.956857460253865,54.46198234894773,29.322810590631363,4.7476223413453225,1.6525289039857896,3.069282861607918,-0.0790199081163859,0.4609053497942387,2024-05-02,1.95,bmo,56052123729.0,2025-04-25,2024-03-31,0.0666666666666667,104.55375,1912313.65625
2023-12-31,CAH,USD,721371,2024-02-01,2024-02-01 08:54:23,2024,Q2,57445000000.0,55599000000.0,1846000000.0,0.0321350857,0,0.0,1283000000.0,1283000000.0,16000000.0,1346000000.0,56945000000.0,0.0,8000000.0,175000000.0,673000000.0,0.011715554,482000000.0,0.0083906345,8000000.0,490000000.0,0.0085298982,136000000.0,353000000.0,0.0061450083,1.44,1.44,245000000,246000000,https://www.sec.gov/Archives/edgar/data/721371/000162828024002813/0001628280-24-002813-index.htm,https://www.sec.gov/Archives/edgar/data/721371/000162828024002813/cah-20231231.htm,234.46938775510205,1.4408163265306122,4.853061224489796,4.387755102040816,18.73877551020408,-14.06938775510204,-35.99183673469388,-14.077551020408164,19.31020408163265,24696000000.0,24828000000.0,17.490084985835693,0.4299068674384194,20.7703952901598,22.973023255813956,-7.160336329370832,-7.160336329370832,0.432204717555923,36.89153046062407,20.88141295206055,23.09581395348837,0.0142938127632005,0.0435293164885001,-1.3693824296897652,0.101410688596397,0.1961367013372957,0.983597137334796,60.25,3.3587570621468927,0.0050210560414642,0.3512747875354107,0.0,0.0,0.1153243295471625,0.095878889823381,0.0019845069196622,0.6514285714285715,0.0004874227521977,,0.0367514942652522,0.0085675452647929,-111.68367346938776,-628000000.0,-8818000000.0,-12362000000.0,7189000000.0,11526500000.0,32899500000.0,17719000000.0,18.468448080772912,55.45621324124535,29.86726379970863,4.873176111299626,1.6229020111503547,3.013332610698607,-0.1023485068135691,0.4653061224489795,2024-02-01,1.6,bmo,57012600000.0,2025-04-25,2023-12-31,0.1374999999999999,101.89888888888888,2032754.9682539685
2023-09-30,CAH,USD,721371,2023-11-03,2023-11-03 08:45:54,2024,Q1,54763000000.0,52995000000.0,1768000000.0,0.0322845717,0,0.0,1197000000.0,1197000000.0,2000000.0,1261000000.0,54256000000.0,0.0,14000000.0,172000000.0,160000000.0,0.0029216807,-14000000.0,-0.0002556471,-12000000.0,-26000000.0,-0.0004747731,-32000000.0,5000000.0,9.13025e-05,0.0201,0.02,249000000,250000000,https://www.sec.gov/Archives/edgar/data/721371/000072137123000084/0000721371-23-000084-index.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137123000084/cah-20230930.htm,219.9317269076305,0.0200803212851405,2.1887550200803214,1.819277108433735,15.477911646586346,-14.016064257028113,-35.83132530120482,-14.016064257028113,18.843373493975903,21618180000.0,22442180000.0,1080.909,0.3947588700399905,39.66638532110091,47.72225165562914,-6.194320916905443,-6.194320916905443,0.4098055256286179,140.263625,41.1783119266055,49.541236203090506,0.0002312868150787,0.0209545854461383,-1.340401146131805,0.1070235644017387,5.15,0.9892485384286326,-1.0,90.83333333333331,0.0060597145550643,26.2,0.0,0.0,0.1242736215968885,0.1688073394495413,0.0016799664006719,0.5348837209302325,0.0005295546262987,,0.0003424964731017,0.0001306233345524,-106.03915662650604,-377000000.0,-8922000000.0,-12512000000.0,7496000000.0,11304500000.0,30737000000.0,16463500000.0,18.51341234044884,53.563543730540616,28.8485706198698,4.861340434975588,1.6802473050095117,3.119738623653382,-0.0014326647564469,0.3694779116465863,2023-11-03,1.4,bmo,54758500000.0,2025-04-25,2023-09-30,0.2357142857142858,107.89524590163934,2412922.7540983604
2023-06-30,CAH,USD,721371,2023-08-15,2023-08-15 08:50:31,2023,Q4,53453000000.0,51626000000.0,1827000000.0,0.0341795596,0,0.0,0.0,1267000000.0,-1000000.0,1336000000.0,52962000000.0,0.0,27000000.0,176000000.0,324000000.0,0.0060613997,137000000.0,0.0025629993,-16000000.0,121000000.0,0.0022636709,187000000.0,-64000000.0,-0.0011973135,-0.25,-0.25,254000000,254000000,https://www.sec.gov/Archives/edgar/data/721371/000072137123000060/0000721371-23-000060-index.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137123000060/cah-20230630.htm,210.4448818897638,-0.2519685039370078,3.377952755905512,2.5236220472440944,15.917322834645669,-11.224409448818898,-35.16535433070866,-11.224409448818898,18.614173228346456,24020780000.0,24678780000.0,-93.831171875,0.4493813256505715,27.99624708624708,37.47391575663026,-8.425387583304103,-8.425387583304103,0.461691205357978,76.16907407407408,28.763146853146853,38.500436817472696,-0.0026643597751613,0.0266852283731002,-1.648895124517713,0.1082755602644125,2.0308641975308643,1.0037678751557586,5.074074074074074,-13.0,0.0052454583073488,-1.96875,0.0,0.0,0.1400603450261418,0.2529137529137529,0.0040596411801021,1.2329545454545454,0.0005051166445288,,-0.0071148503025109,-0.0017141632740518,-101.36614173228348,127000000.0,-8932000000.0,-12435000000.0,8670000000.0,11168000000.0,29767500000.0,16280000000.0,19.10014405178381,52.18417076666796,27.788323712857864,4.71200634696756,1.7246609206921897,3.238770388958595,0.0224482637670992,0.8543307086614174,2023-08-15,1.48,bmo,52719200000.0,2025-04-25,2023-06-30,0.0472972972972973,99.21539682539682,2127462.698412698
2023-03-31,CAH,USD,721371,2023-05-04,2023-05-04 16:25:56,2023,Q3,50487000000.0,48702000000.0,1785000000.0,0.0353556361,0,0.0,1179000000.0,1179000000.0,74000000.0,1253000000.0,49955000000.0,0.0,28000000.0,175000000.0,747000000.0,0.0147958881,572000000.0,0.0113296492,-28000000.0,544000000.0,0.010775051,197000000.0,345000000.0,0.0068334423,1.35,1.34,256000000,258000000,https://www.sec.gov/Archives/edgar/data/721371/000162828023015775/0001628280-23-015775-index.htm,https://www.sec.gov/Archives/edgar/data/721371/000162828023015775/cah-20230331.htm,197.21484375,1.34765625,5.31640625,4.890625,15.5859375,-8.6640625,-34.31640625,-8.6640625,18.6015625,19328000000.0,20072000000.0,14.005797101449277,0.3828312238794145,14.201322556943424,15.437699680511182,-8.714156898106403,-8.714156898106403,0.3975676906926536,26.870147255689425,14.747979426891993,16.031948881789138,0.0178497516556291,0.0647764900662251,-2.1343552750225427,0.1091361781589321,0.9959839357429718,1.0305817924499276,20.428571428571427,3.922190201729107,0.0066225165562913,0.3710144927536232,0.0,0.0,0.1513935956843488,0.0800881704628949,0.0021589716164557,0.6228571428571429,0.0004159486600511,,0.0334734214786832,0.0093724531377343,-97.85546875,994000000.0,-8785000000.0,-12098000000.0,9923000000.0,11206500000.0,29842000000.0,16941500000.0,19.59474716263593,54.70186029321177,30.713317728224716,4.59306768558952,1.6452822539779062,2.9303249097472923,-0.1555455365193868,0.42578125,2023-05-04,1.49,bmo,49709100000.0,2025-04-25,2023-03-31,0.1677852348993288,90.39888888888888,2127283.031746032
2022-12-31,CAH,USD,721371,2023-02-02,2023-02-02 16:19:17,2023,Q2,51469000000.0,49806000000.0,1663000000.0,0.0323107113,0,0.0,1191000000.0,1191000000.0,71000000.0,1262000000.0,51068000000.0,0.0,25000000.0,170000000.0,58000000.0,0.0011268919,408000000.0,0.0079271018,-538000000.0,-137000000.0,-0.0026617964,-7000000.0,-130000000.0,-0.0025257922,-0.5,-0.5,261000000,261000000,https://www.sec.gov/Archives/edgar/data/721371/000072137123000007/0000721371-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/721371/000072137123000007/cah-20221231.htm,197.1992337164751,-0.4980842911877394,2.2873563218390807,1.9616858237547887,14.0,-8.475095785440613,-33.83141762452107,-8.475095785440613,20.256704980842912,20063070000.0,21671070000.0,-38.58282692307693,0.3898088169577804,33.6064824120603,39.18568359375,-9.07010397830018,-9.07010397830018,0.421050923857079,373.6391379310345,36.29994974874372,42.32630859375,-0.0064795666864542,0.0255195241804968,-2.378842676311031,0.1182950406906164,27.724137931034484,1.0416716849331566,16.32,-4.592307692307692,0.0064297238657892,-0.9923076923076924,0.0,0.0,0.1487792815071264,0.1423785594639866,0.0016514795313683,0.5,0.0004857292739318,,0.0326794365384935,-0.0034333403760828,-99.01436781609196,1384000000.0,-8830000000.0,-12098000000.0,10343000000.0,11230000000.0,29222500000.0,16577000000.0,19.97105053527366,54.36031803397181,31.194434405493315,4.506523071534892,1.6556194528471229,2.885130046921161,0.0587703435804701,0.3256704980842911,2023-02-02,1.13,bmo,50722155778.0,2025-04-25,2022-12-31,0.1681415929203541,84.46854838709677,2282842.209677419
