date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,CHRW,USD,1043277,2025-05-02,2025-05-02 11:30:37,2025,Q1,4046740000.0,0.0,4046740000.0,1.0,0,0.0,0.0,147682000.0,0.0,147682000.0,3869887000.0,0.0,-20051000.0,40102000.0,176853000.0,0.0437025853,176853000.0,0.0437025853,-20051000.0,156802000.0,0.0387477327,21500000.0,135302000.0,0.0334348142,1.12,1.11,120969000,121932000,https://www.sec.gov/Archives/edgar/data/1043277/000104327725000022/0001043277-25-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327725000022/chrw-20250331.htm,33.452702758557976,1.118484901090362,0.8806471079367442,0.8529705957724706,1.074176028569303,14.340244194793708,2.2886359315196456,14.340244194793708,14.125428828873511,12387225600.0,13986073600.0,22.88810512778821,3.06103816899529,116.27813124818128,120.0510316621924,7.140743114902939,7.140743114902939,3.4561334802828942,79.08304411008012,131.28641991532982,135.54629735518446,0.0109227041122105,0.0083297909743405,0.9965787084408192,0.3307983714094258,9.040547799584964,1.291760277286253,-8.820158595581267,0.7873571713647988,0.0062556380663641,0.572718806817342,0.0,0.0,0.2789588975671024,0.0314274718157156,0.0008273326183545,0.1305670384525388,0.0057196657062227,18.996981305488333,0.0435943546803932,0.03590585851284,-12.394212566855972,660360000.0,276854000.0,-567664000.0,2552307000.0,2533441500.0,1215707000.0,0.0,55.21871432313418,0.0,0.0,1.6298822075669737,0.0,0.0,0.0779962241853896,0.0276765121642734,2025-04-30,1.02,amc,4246633540.0,2025-05-11,2025-03-31,0.1470588235294117,101.0735,1321009.35
2024-12-31,CHRW,USD,1043277,2025-02-14,2025-02-14 11:32:56,2024,Q4,4184656000.0,3854414000.0,330242000.0,0.078917359,21105000,0.0,0.0,146443000.0,0.0,146443000.0,4000857000.0,0.0,15350000.0,24280000.0,208129000.0,0.0497362268,183799000.0,0.0439221288,-15350000.0,168449000.0,0.0402539659,19143000.0,149306000.0,0.0356793963,1.24,1.22,120589000,122291000,https://www.sec.gov/Archives/edgar/data/1043277/000104327725000012/0001043277-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327725000012/chrw-20241231.htm,34.701805305624895,1.2381394654570483,2.2218444468400933,2.199653368051812,1.208750383534153,14.280332368624004,1.372347394870179,14.280332368624004,14.565855923840482,12459255480.0,14054625480.0,20.861947075134285,2.977366713058373,46.50190527376553,46.97103711913864,7.235125719273122,7.235125719273122,3.358609520113481,67.52843419225576,52.45633366924197,52.98553642923387,0.0119835410903701,0.0212897151379385,1.0110803919279976,0.3286440769463371,7.66529412047336,1.2773046387411404,11.97387622149837,1.7945025652016664,0.0059807747035619,0.4990824213360481,0.0,0.0050434253138131,0.2938057269958093,0.0099876833501287,0.0006394790874088,0.1102141680395387,0.0048608535564213,19.94551251340348,0.0465240747049759,0.0399068254500697,-12.37328653525612,644705000.0,165490000.0,-606272000.0,2663193000.0,2743821000.0,1275571000.0,0.0,55.57534239373559,27.51394894269271,0.0,1.619423221225979,3.2710680748683525,0.0,0.0867024263509036,0.0221910787882808,2025-01-29,1.1,amc,4435736560.0,2025-04-29,2024-12-31,0.0999999999999998,107.61734375,1161002.5625
2024-09-30,CHRW,USD,1043277,2024-11-01,2024-11-01 16:40:09,2024,Q3,4644641000.0,4270947000.0,373694000.0,0.0804570256,0,0.0,0.0,193575000.0,0.0,193575000.0,4464522000.0,0.0,36282000.0,23948000.0,204067000.0,0.0439360114,180119000.0,0.0387799617,-36282000.0,143837000.0,0.0309683784,46608000.0,97229000.0,0.0209335878,0.81,0.8,119860000,121179000,https://www.sec.gov/Archives/edgar/data/1043277/000104327724000051/0001043277-24-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327724000051/chrw-20240930.htm,38.75055064241615,0.8111880527281828,0.9015100951109628,0.7572751543467379,1.0988152844985817,13.683180377106623,1.3547805773402302,13.683180377106623,16.295603203737695,13228948200.0,15014153200.0,34.01492404529513,2.848217590982812,122.4279135625376,145.74623155992816,8.066107217636363,8.066107217636363,3.23257560702754,73.57462598068281,138.94917588265236,165.41422763779786,0.0073497150740978,0.0068612408656948,1.1687999141497964,0.3414907840320094,8.748131741045833,1.490061972379071,4.964417617551403,1.111345380493474,0.005516160385298,0.7505271061103169,0.0,0.0,0.2632439957921778,0.1599925963629633,0.0037221391276527,0.7218974444630032,0.0047375028554413,15.80321897645401,0.0331611878117647,0.0235098374557176,-13.881897630568997,1098149000.0,162384000.0,-634303000.0,3042399000.0,2907401000.0,1402234500.0,0.5,56.26357128570324,28.92862636787579,0.0,1.5996140654311664,3.11110520269783,0.0,0.0592835898067516,0.1442349407642249,2024-10-30,1.15,amc,4528964144.0,2025-04-25,2024-09-30,0.1130434782608696,97.10265625,1410314.234375
2024-06-30,CHRW,USD,1043277,2024-08-02,2024-08-02 13:06:04,2024,Q2,4483348000.0,4147692000.0,335656000.0,0.0748672644,10883000,0.0,0.0,142357000.0,686778000.0,142357000.0,4290049000.0,1375000.0,22900000.0,25054000.0,218353000.0,0.048703112,193299000.0,0.0431148775,-21525000.0,156565000.0,0.0349214471,30314000.0,126251000.0,0.0281599822,1.06,1.05,119418000,119920000,https://www.sec.gov/Archives/edgar/data/1043277/000104327724000042/0001043277-24-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327724000042/chrw-20240630.htm,37.54331842770772,1.0572191796881545,1.3936090036677888,1.231681990989633,0.9476460835049992,12.648352844629787,0.0424810330100989,12.648352844629787,16.79523187459177,10366676580.0,12236263580.0,20.527909838337912,2.312262304866809,62.29150340700148,70.48085515178298,6.863344268329581,6.863344268329581,2.72926919346881,56.03890754878568,73.52551693886626,83.19178420641126,0.0121785414086874,0.0141882500977955,1.3126980795674903,0.3596931324702767,8.562222639487436,1.4166097424798805,8.441004366812226,1.3181836183475777,0.0070131444189416,0.5758607852611068,0.0,0.0024274270032127,0.2730902595736915,0.1161925706937784,0.0043130713921828,0.7718128841701923,0.0043654875775871,17.345657307324256,0.0432453385216874,0.0315077846696438,-14.280412077743724,934961000.0,5073000.0,-822731000.0,2931788000.0,2869551500.0,1407717500.0,1.0,58.44027499092197,31.065368402475404,2.1698814666084176e-08,1.5400338210930815,2.8971167775634195,4147692000.0,0.0835855223739292,0.1619270126781557,2024-07-31,0.96,amc,4532300000.0,2025-04-25,2024-06-30,0.1979166666666666,79.83603174603175,1670808.492063492
2024-03-31,CHRW,USD,1043277,2024-05-03,2024-05-03 14:19:39,2024,Q1,4412311000.0,4125727000.0,286584000.0,0.0649509973,10222000,0.0,0.0,146540000.0,678673000.0,146540000.0,4272267000.0,5320000.0,22100000.0,23878000.0,163922000.0,0.037151053,140044000.0,0.0317393765,-16780000.0,110353000.0,0.0250102497,17449000.0,92904000.0,0.0210556328,0.78,0.78,119344000,119604000,https://www.sec.gov/Archives/edgar/data/1043277/000104327724000026/0001043277-24-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327724000026/chrw-20240331.htm,36.97136848102963,0.7784555570451803,-0.2792180587210082,-0.4675308352326049,1.0208975734012602,11.982118916744872,-0.6464589757340126,11.982118916744872,17.66304967153774,8752688960.0,10716729960.0,23.553046585722896,1.9836971963218368,-262.66209404915526,-156.86665878093805,6.1207871921140935,6.1207871921140935,2.428824704332945,65.37700833323166,-321.6015952945413,-192.06641862465725,0.0106143381107878,-0.0063748409494492,1.4586627636199871,0.3811852075478318,11.9815583021193,1.3736975033043335,6.33683257918552,-0.3586820804271075,0.0085208100437285,0.8027641436321364,0.0,0.002316699797453,0.2754241159864388,-0.6744290730126339,0.0050934759585169,0.9412011056202362,0.005138577040467,14.48688402514892,0.0325023511123383,0.0234313582818214,-15.076832513574203,849895000.0,-77151000.0,-917913000.0,2867141000.0,2699882500.0,1343862000.0,0.5,57.68205822300377,30.186090839262995,2.18143372065093e-08,1.5602771948957213,2.981505637124008,4125727000.0,0.0649681047612787,0.1883127765115967,2024-05-01,0.62,amc,4269819674.0,2025-04-25,2024-03-31,0.3870967741935484,78.1883606557377,1687314.0327868853
2023-12-31,CHRW,USD,1043277,2024-02-16,2024-02-16 13:26:51,2023,Q4,4221887000.0,3966418000.0,255469000.0,0.0605106198,9321000,0.0,0.0,152316000.0,2547247000.0,152316000.0,4118734000.0,0.0,21600000.0,23086000.0,130515000.0,0.0309139018,103153000.0,0.0244329135,-38149000.0,69280000.0,0.0164097239,38307000.0,30973000.0,0.007336293,0.26,0.26,118605000,119613000,https://www.sec.gov/Archives/edgar/data/1043277/000104327724000011/0001043277-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327724000011/chrw-20231231.htm,35.59619745373298,0.2611441338898023,0.3990641203996459,0.2630158930905105,1.2269634501074995,11.96152776021247,-1.6954934446271237,11.96152776021247,16.644332026474434,10246285950.0,12053262950.0,82.7033702741097,2.4269446227307707,216.48150155289343,328.45923866004165,7.22232157395131,7.22232157395131,2.854946840797716,92.35155307819024,254.6589539625193,386.3844510338195,0.0030228514167126,0.0030445178040341,1.376263571432096,0.3736643777941086,13.844975673294256,1.4038517675255229,4.775601851851852,1.52813741000226,0.0070881293333415,2.344848739224486,0.0,0.0022077805498365,0.3099912349194684,0.3409182142781686,0.0038219876571357,0.6989517456467123,0.0049409185998916,8.38348752943183,0.0132435653022514,0.0085905129650929,-14.604458075123308,828701000.0,-201094000.0,-925889000.0,2947100000.0,2609448500.0,1339740000.0,0.5,54.825643143652506,29.5872976574834,0.0,1.641567610327611,3.041845897583575,0.0,0.0218320050017727,0.1360482273091353,2024-01-31,0.8,amc,4342040000.0,2025-04-25,2023-12-31,-0.375,83.80015873015873,1175392.619047619
2023-09-30,CHRW,USD,1043277,2023-11-03,2023-11-03 12:42:44,2023,Q3,4341030000.0,4049713000.0,291317000.0,0.0671078062,8233000,0.0,0.0,177795000.0,627753000.0,177795000.0,4227508000.0,21800000.0,20748000.0,25544000.0,139066000.0,0.0320352543,113522000.0,0.0261509365,-20748000.0,92774000.0,0.0213714257,10825000.0,81949000.0,0.0188777779,0.69,0.68,118464000,119751000,https://www.sec.gov/Archives/edgar/data/1043277/000104327723000036/0001043277-23-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327723000036/chrw-20230930.htm,36.64429700162074,0.6917628984332793,1.7325010129659644,1.591749392220421,1.4749881820637494,11.856631550513235,-3.816231091301999,11.856631550513235,16.65371758508914,10203304320.0,11980689320.0,31.12699459419883,2.350433956918059,49.71425664712847,54.11027666852279,7.264289156077528,7.264289156077528,2.759872500305227,86.15110321717745,58.37433099946891,63.536124519396495,0.0080316138213546,0.0184807778035576,1.3898193344079102,0.3671004596564621,12.780873829692377,1.1168880822088942,5.471467129361867,2.5044722937436696,0.007129749120332,0.8877106493062759,0.0,0.0018965545043457,0.3491512349306566,0.0812418692353792,0.003841023904465,0.6527560288130285,0.0036090513080996,13.584715700314318,0.0288277930407931,0.0236778592989245,-14.798373341268231,309700000.0,-452086000.0,-953840000.0,2668124000.0,2670185500.0,1367074000.0,1.0,54.8793857678938,30.569477392595477,2.2223797093769362e-08,1.639960045847541,2.9441131375638028,4049713000.0,0.0583439651882692,0.1407516207455429,2023-11-01,0.82,amc,4362750000.0,2025-04-25,2023-09-30,0.024390243902439,93.35015873015874,912521.8095238096
2023-06-30,CHRW,USD,1043277,2023-08-04,2023-08-04 13:39:53,2023,Q2,4421856000.0,4133637000.0,288219000.0,0.0651805486,8749000,0.0,0.0,155596000.0,680077000.0,155596000.0,4289233000.0,21759000.0,18259000.0,25975000.0,158598000.0,0.0358668396,132623000.0,0.0299926094,-18259000.0,114364000.0,0.0258633479,17048000.0,97316000.0,0.0220079532,0.82,0.81,118500000,119807000,https://www.sec.gov/Archives/edgar/data/1043277/000104327723000029/0001043277-23-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327723000029/chrw-20230630.htm,37.31524050632911,0.8212320675105486,1.8973164556962023,1.6918227848101266,1.7734599156118145,11.713983122362867,-3.904751054852321,11.713983122362867,17.854852320675107,11180475000.0,13067861000.0,28.72208835135024,2.528457507435792,49.728130337318525,55.768252353090816,8.054476348004872,8.054476348004872,2.955288684208622,82.39612731560297,58.12278056504413,65.18254098892164,0.0087041024643407,0.0179313490705895,1.5110801977081016,0.3880554519013975,11.900440106432615,1.1050135597037978,7.263431732296402,2.3103292367133874,0.0065077735963811,0.7476673928233795,0.0,0.0019785809397682,0.3424108475057911,0.108307536293766,0.0055069635917587,0.9374783445620788,0.0013648115180593,14.7121622480565,0.0313126236755477,0.0273787073691756,-15.080137126582278,289994000.0,-462713000.0,-965669000.0,2643770000.0,2783314000.0,1384995000.0,0.5,54.818684733288464,29.580659840232705,2.1772593965072403e-08,1.6417759827307166,3.042528479286688,4133637000.0,0.0701069874296433,0.2054936708860759,2023-08-02,0.91,amc,4655710000.0,2025-04-25,2023-06-30,-0.0109890109890109,96.6591935483871,1179756.3870967743
2023-03-31,CHRW,USD,1043277,2023-04-28,2023-04-28 11:56:56,2023,Q1,4611670000.0,4309136000.0,302534000.0,0.0656018319,7317000,0.0,0.0,141501000.0,638105000.0,141501000.0,4450637000.0,18665000.0,28265000.0,24380000.0,185413000.0,0.0402051751,161033000.0,0.034918587,-28265000.0,132768000.0,0.0287895708,17877000.0,114891000.0,0.0249131009,0.97,0.96,118636000,119909000,https://www.sec.gov/Archives/edgar/data/1043277/000104327723000016/0001043277-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327723000016/chrw-20230331.htm,38.87243332546613,0.9684328534340336,2.1455881857109143,1.918422738460501,2.0159142250244444,11.643919215078052,-3.891247176236555,11.643919215078052,19.17986108769682,11788859320.0,13796856320.0,25.652268933162738,2.556310256371336,46.31364054937457,51.7977596948953,8.534068140160477,8.534068140160477,2.99172671071434,74.41148312146397,54.20224526997297,60.62047470495707,0.0097457266119959,0.0193058542664838,1.6267384688443798,0.4015947218377921,10.829860905114527,1.097283189070881,5.697258093047939,2.215526020314907,0.0062291862178231,0.6391710403774011,0.0,0.0015866269702732,0.3293722335327286,0.1058756050034571,0.0058438700080448,1.105414273995078,0.0033842404161616,15.928526704902804,0.0371958406670314,0.0306167479535271,-15.341614265484338,286778000.0,-461642000.0,-979550000.0,2647716000.0,3061320500.0,1439184500.0,0.5,56.07430496978319,29.477693440169908,0.0,1.6050132061110414,3.0531561155783984,0.0,0.0831706949821484,0.227165447250413,2023-04-26,0.99,amc,4821260000.0,2025-04-25,2023-03-31,-0.0101010101010101,98.4533870967742,1507997.0483870967
2022-12-31,CHRW,USD,1043277,2023-02-17,2023-02-17 14:06:38,2022,Q4,5066821000.0,4725957000.0,340864000.0,0.0672737403,6656000,0.0,0.0,176830000.0,2790713000.0,176830000.0,4902787000.0,24217000.0,42476000.0,24053000.0,188087000.0,0.0371213035,164034000.0,0.0323741454,-42476000.0,121558000.0,0.0239909797,25365000.0,96193000.0,0.0189848822,0.81,0.8,119212000,120472000,https://www.sec.gov/Archives/edgar/data/1043277/000104327723000005/0001043277-23-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1043277/000104327723000005/chrw-20221231.htm,42.502608797772034,0.8069070227829414,6.487450927758951,6.253892225614871,1.824329765459853,11.35306848303862,-4.029216857363353,11.35306848303862,20.162768848773613,10915050720.0,13058736720.0,28.367580593182456,2.1542207076192352,14.11340155317812,14.640482550208642,8.064780031653099,8.064780031653099,2.577303741339984,69.42923604502172,16.8852348774603,17.515833135489896,0.0088128770509277,0.0683037595632904,1.7445911179218307,0.3965307955376749,11.397310818929538,1.080167879881499,3.8618043130238258,8.03989895314628,0.0063269518183237,0.7179212624619256,0.0,0.0013136441962327,0.3079575599489736,0.0360016136915521,0.005495161561855,1.157568702448759,0.0024336758689521,14.35686562257722,0.0338669740150166,0.0233432205456644,-16.32929151008288,266386000.0,-480331000.0,-1011904000.0,2631712000.0,3707603500.0,1564802000.0,1.0,57.71695901631417,27.937160663967106,1.904376193012336e-08,1.5593337128964255,3.221515639421458,4725957000.0,0.0710739148617356,0.2335587021440794,2023-02-01,1.38,amc,5683693669.0,2025-04-25,2022-12-31,-0.253623188405797,95.21746031746032,1422661.4444444445
