date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,CME,USD,1156375,2025-04-30,2025-04-30 14:50:10,2025,Q1,1642300000.0,206700000.0,1435600000.0,0.8741399257,0,28500000.0,0.0,28500000.0,299100000.0,327600000.0,534300000.0,0.0,41700000.0,82500000.0,1369000000.0,0.8335870426,1108000000.0,0.6746635816,136800000.0,1244800000.0,0.7579613956,288600000.0,956200000.0,0.5822322353,2.6256002980982336,2.6211250128391264,359613000,360227000,https://www.sec.gov/Archives/edgar/data/1156375/000115637525000103/0001156375-25-000103-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637525000103/cme-20250331.htm,4.566853812292659,2.6256002980982336,3.1050045465542127,3.0655176536999496,4.224541381985635,75.1660813151916,-1.7910920906641306,75.1660813151916,9.508555029990571,95401732770.0,97415832770.0,25.25993771711502,58.0903201424831,85.43948842020419,86.54003335449927,3.5293844691406444,3.5293844691406444,59.31670996163916,81.82766297354053,87.24326775031345,88.36704714259797,0.0098970948701354,0.0115553456734138,0.1265006085672957,0.0216648630565742,1.691810163796724,1.0166792675353853,0.0,1.1677473331938926,0.026911460887085,2.719127303537386,0.0173537112586007,0.0,0.1753438474931509,0.0,0.0,0.0,0.0129087255678012,66.63716623574993,0.0233749958504055,0.0072543270885578,-357.8959881873013,2025200000.0,-644100000.0,-7355500000.0,30071200000.0,671650000.0,90050000.0,0.0,42.20787919381356,43.62844702467344,0.0,2.132303297844716,2.062874251497006,0.0,0.0349306529242675,0.0,2025-04-23,2.8,bmo,1644806673.0,2025-05-11,2025-03-31,0.0,246.6903333333333,2161828.6166666667
2024-12-31,CME,USD,1156375,2025-02-27,2025-02-27 16:30:05,2024,Q4,1525300000.0,220800000.0,1304500000.0,0.8552415918,0,33900000.0,0.0,33900000.0,323500000.0,357400000.0,578200000.0,0.0,40700000.0,83400000.0,1220700000.0,0.80030158,947100000.0,0.6209270307,149500000.0,1096600000.0,0.7189405363,222000000.0,874600000.0,0.5733953976,2.46,2.46,359389000,360050000,https://www.sec.gov/Archives/edgar/data/1156375/000115637525000021/0001156375-25-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637525000021/cme-20241231.htm,4.244147706245879,2.433574761609287,2.8323070544730085,2.759405546636096,8.363082899031411,73.69980717272927,-3.270272601554305,73.69980717272927,9.65165878755332,83460907470.0,83996507470.0,23.856879564943977,54.71769977709303,81.9932286766873,84.15943074518503,3.151025883361209,3.151025883361209,55.06884381433161,68.81011507331858,82.51941003045486,84.6995134314813,0.0104791575662459,0.011882209648349,0.1294224692206336,0.0249405225286837,0.4387646432374867,1.007033257455732,23.27027027027027,1.163846329750743,0.0050179181211339,0.4788474731305739,0.022225136038812,0.0,0.2012572118707574,0.0257392671185774,0.0171769487969579,0.3141486810551558,0.0177669966563954,63.5253082644867,0.0210508449895556,0.0079664944509622,-299.1874403501498,719600000.0,-1175300000.0,-7926600000.0,28768000000.0,601250000.0,104900000.0,0.0,33.81564282436242,32.567934782608695,0.0,2.6614901413365906,2.763454317897372,0.0,0.0330200967270613,0.072901507836912,2025-02-12,2.46,bmo,1514517535.0,2025-05-11,2024-12-31,0.024390243902439,229.95734375,1945475.296875
2024-09-30,CME,USD,1156375,2024-11-08,2024-11-08 15:23:02,2024,Q3,1584400000.0,218800000.0,1365600000.0,0.8619035597,66600000,31000000.0,0.0,31000000.0,243800000.0,341400000.0,560200000.0,0.0,40200000.0,83900000.0,1301000000.0,0.8211310275,1024200000.0,0.6464276698,152700000.0,1176900000.0,0.7428048473,264100000.0,879400000.0,0.5550366069,2.51,2.5,359400000,359989000,https://www.sec.gov/Archives/edgar/data/1156375/000115637524000200/0001156375-24-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637524000200/cme-20240930.htm,4.408458542014468,2.446855870895938,2.790762381747357,2.707846410684474,6.773511407902059,78.50918196994992,-6.581524763494714,78.50918196994992,9.648302726766834,79301610000.0,80406910000.0,22.544237548328404,50.05150845746024,79.06441674975075,81.48541923551171,2.810499287643269,2.810499287643269,50.749122696288815,61.80392774788624,80.1664107676969,82.62115700780929,0.0110893082750778,0.0122721341975276,0.1214692268980231,0.0248731631240878,0.8495772482705611,1.0230208149428002,25.47761194029851,1.0988168273444348,0.0052773203469639,0.4758926540823288,0.0195657662206513,0.0420348396869477,0.2219353228090113,0.0297108673978065,0.0188083817217874,0.3551847437425506,0.0128124211057813,65.74393271248849,0.0210578785431014,0.008202325266874,-296.80703951029494,2321000000.0,-2365400000.0,-6436100000.0,33288800000.0,614450000.0,114900000.0,0.0,35.7523352688715,53.43235831809872,0.0,2.517318080711789,1.6843725943033103,0.0,0.031166493007563,0.0829159710628825,2024-10-23,2.66,bmo,1588665198.0,2025-04-25,2024-09-30,0.0075187969924812,206.93015625,2075981.65625
2024-06-30,CME,USD,1156375,2024-08-05,2024-08-05 16:48:32,2024,Q2,1532500000.0,204700000.0,1327800000.0,0.8664274062,64100000,34700000.0,0.0,34700000.0,228400000.0,327200000.0,531900000.0,0.0,40100000.0,84200000.0,1084800000.0,0.707862969,1000600000.0,0.6529200653,153900000.0,1154500000.0,0.7533442088,271300000.0,883200000.0,0.5763132137,2.43,2.42,359330000,359869000,https://www.sec.gov/Archives/edgar/data/1156375/000115637524000149/0001156375-24-000149-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637524000149/cme-20240630.htm,4.264881863468121,2.457907772799377,2.16207942559764,2.1114296050983774,5.334372304010241,76.90924776667687,-8.239222998358056,76.90924776667687,10.82598168814182,70249015000.0,72303915000.0,19.884798177083333,45.83948776508972,90.42221006564552,92.59129431923026,2.541956990570202,2.541956990570202,47.18036867862969,66.65183904867257,93.06720942206204,95.29974298141558,0.0125724182751886,0.0108001514327282,0.1393120517589503,0.0312045861826092,1.8942662241887904,1.0204037988364338,24.952618453865338,0.8854570321404148,0.0059573789041739,0.4738451086956521,0.0226427406199021,0.0418270799347471,0.2479864936824896,0.0234264384090616,0.0118760195758564,0.2161520190023753,0.0122675367047308,65.21737768748476,0.020571444317982,0.0095189954183367,-259.8644004118777,1774600000.0,-2960600000.0,-6994900000.0,33005200000.0,613850000.0,105450000.0,0.0,35.207177814029365,43.92281387396189,0.0,2.5562969140950798,2.049049049049049,0.0,0.0319585465229882,0.0506498204992625,2024-07-24,2.53,bmo,1533393935.0,2025-04-25,2024-06-30,0.0118577075098815,206.60587301587304,2010596.5555555555
2024-03-31,CME,USD,1156375,2024-05-01,2024-05-01 13:55:31,2024,Q1,1487900000.0,206000000.0,1281900000.0,0.8615498353,59400000,33100000.0,0.0,33100000.0,229800000.0,322300000.0,528300000.0,0.0,39900000.0,85300000.0,1044900000.0,0.7022649372,959600000.0,0.6449358156,153800000.0,1113400000.0,0.7483029774,258200000.0,855200000.0,0.5747698098,2.35,2.35,359258000,359833000,https://www.sec.gov/Archives/edgar/data/1156375/000115637524000072/0001156375-24-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637524000072/cme-20240331.htm,4.141591836507468,2.3804619521346777,2.484843761308029,2.4297301660645,4.350912157836429,75.58412060413407,-9.744250649950732,75.58412060413407,9.64738433103786,76169881160.0,78153781160.0,22.26668649438728,51.192876644935815,85.32528414921028,87.26071847863443,2.80508654867387,2.80508654867387,52.526232381208416,74.79546479088908,87.54764328441806,89.53348740978348,0.0112275349124359,0.0114599102257546,0.1261683275515389,0.025943990967311,1.898650588573069,1.012552366562818,24.050125313283207,1.0438493919550982,0.0305685129678624,2.7226379794200186,0.0222461186907722,0.0399220377713556,0.2321396522778233,0.0221799036630446,0.0133073459237852,0.2321219226260258,0.0156596545466765,63.62637247150939,0.0200520863947597,0.0084340248602547,-286.32695722850985,1206300000.0,-3500700000.0,-7591800000.0,32257200000.0,581900000.0,100800000.0,0.0,37.99852140600847,48.49514563106795,0.0,2.3685132123527537,1.855855855855856,0.0,0.0314942071576404,0.0551135952435297,2024-04-24,2.45,bmo,1476141150.0,2025-04-25,2024-03-31,0.020408163265306,210.062131147541,1788184.0327868853
2023-12-31,CME,USD,1156375,2024-02-28,2024-02-28 15:24:36,2023,Q4,1439300000.0,212900000.0,1226400000.0,0.8520808726,58500000,36100000.0,0.0,36100000.0,-314800000.0,314800000.0,576100000.0,0.0,39700000.0,86300000.0,949500000.0,0.6596956854,863200000.0,0.5997359828,142800000.0,1006000000.0,0.6989508789,191400000.0,814600000.0,0.5659695685,2.24,2.24,359197000,359693000,https://www.sec.gov/Archives/edgar/data/1156375/000115637524000010/0001156375-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637524000010/cme-20231231.htm,4.006993376893459,2.2678363126640813,2.9073182682483427,2.849411325818423,8.432420092595429,74.43798249985385,-11.088344279044646,74.43798249985385,10.923253813367038,75646888200.0,76613588200.0,23.21596126933464,52.5581103314111,72.43788968687159,73.91000312652662,2.829200804850044,2.829200804850044,53.229756270409226,80.68834986835176,73.36358153787226,74.8545072789448,0.0107684535264201,0.0135299683087294,0.1452582289559015,0.029912854617781,1.0181147972617166,1.0157712362538256,21.743073047858942,1.2530597552195823,0.005289047699387,0.4911613061625338,0.0250816369068297,0.0406447578684082,0.2366041412348227,0.0199176481853873,0.0144514694643229,0.2410196987253766,0.0168832071145695,61.630317981323074,0.0192318714780759,0.0082183461007246,-277.4856137439901,1473300000.0,-3982900000.0,-8212400000.0,32875600000.0,547000000.0,72200000.0,43598600000.0,33.4912804835684,38.299671207139504,0.0,2.6872666168782677,2.349889624724062,0.0,0.0304661173839381,0.05790694242992,2024-02-14,2.28,bmo,1428300000.0,2025-04-25,2023-12-31,0.0394736842105264,213.37031746031747,1680313.0952380951
2023-09-30,CME,USD,1156375,2023-11-01,2023-11-01 14:56:44,2023,Q3,1337800000.0,205500000.0,1132300000.0,0.8463895949,55600000,32200000.0,0.0,32200000.0,-1155600000.0,312100000.0,517600000.0,0.0,39600000.0,88300000.0,908500000.0,0.6791000149,820200000.0,0.613096128,154100000.0,974300000.0,0.7282852444,224100000.0,750200000.0,0.5607714158,2.06,2.06,359020000,359619000,https://www.sec.gov/Archives/edgar/data/1156375/000115637523000190/0001156375-23-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637523000190/cme-20230930.htm,3.7262548047462536,2.089577182329675,2.3862180379923124,2.330789371065679,6.696841401593226,78.4123447161718,-7.23274469388892,78.4123447161718,9.649323157484265,71882984400.0,73007484400.0,23.95460690482538,53.732235311705786,83.90683366405976,85.90222801147227,2.553424473209338,2.553424473209338,54.57279443863059,80.36046714364336,85.21942850472745,87.24603776290631,0.0104364058651966,0.0116411415995688,0.1216520553005868,0.027267110515915,1.2377545404512933,1.0329572544534908,20.71212121212121,1.141962143428419,0.0055645992349755,0.5331911490269261,0.0240693676184781,0.0415607714157572,0.2448148142250446,0.0232286681452083,0.0148751681865749,0.2253680634201585,0.0141276722978023,60.71733313039475,0.0167439886263796,0.007909338860663,-142.12272296807978,2896300000.0,-2596700000.0,-6669800000.0,34061900000.0,578900000.0,52350000.0,100222000000.0,37.56615338615638,23.56204379562044,38188.55474452554,2.3957736389684814,3.819702602230483,0.0023567270508686,0.0266485741485386,0.0554286669266336,2023-10-25,2.22,bmo,1341770000.0,2025-04-25,2023-09-30,0.0135135135135134,198.77507936507936,1313842.3174603174
2023-06-30,CME,USD,1156375,2023-08-02,2023-08-02 11:51:37,2023,Q2,1360200000.0,205700000.0,1154500000.0,0.8487722394,53300000,37800000.0,0.0,37800000.0,-1425300000.0,315900000.0,521600000.0,0.0,40200000.0,89300000.0,927900000.0,0.6821790913,838600000.0,0.6165269813,177800000.0,1016400000.0,0.7472430525,238800000.0,777600000.0,0.5716806352,2.14,2.14,358940000,359429000,https://www.sec.gov/Archives/edgar/data/1156375/000115637523000129/0001156375-23-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637523000129/cme-20230630.htm,3.7894912798796456,2.166378781969131,1.81200200590628,1.7548893965565275,5.535186939321335,77.49986070095281,-8.381623669694099,77.49986070095281,9.65063798963615,66507992600.0,68051692600.0,21.3824564686214,48.89574518453168,102.25706119311192,105.58500174630892,2.3908430069955204,2.3908430069955204,50.03065181590942,73.33946826166613,104.63052367773678,108.035708207652,0.0116918278480713,0.0094710421315587,0.1230794671037968,0.0226297070590435,1.6636491001185472,1.0217797317837094,20.860696517412936,0.8364197530864198,0.0060113075792938,0.5141460905349794,0.027790030877812,0.0391854139097191,0.2037473388381901,0.0315190651906519,0.0150713130421996,0.2295632698768197,0.0143361270401411,61.46231537399497,0.0171493291737459,0.0064546975854649,-179.47052432161365,2480400000.0,-3008500000.0,-7112800000.0,33736800000.0,661500000.0,74050000.0,120671300000.0,39.66034406704896,22.270296548371416,49548.91589693729,2.269269269269269,4.041257367387034,0.0018163868647944,0.0279533248495567,0.057112609349752,2023-07-26,2.2,bmo,1340500000.0,2025-04-25,2023-06-30,0.0454545454545452,184.805,1461091.322580645
2023-03-31,CME,USD,1156375,2023-05-03,2023-05-03 14:22:58,2023,Q1,1441600000.0,204500000.0,1237100000.0,0.8581437292,51300000,38300000.0,0.0,38300000.0,285100000.0,323400000.0,527900000.0,0.0,39900000.0,88700000.0,1002400000.0,0.6953385128,913700000.0,0.6338096559,243200000.0,1156900000.0,0.8025110988,273100000.0,883800000.0,0.6130688124,2.43,2.43,358933000,359313000,https://www.sec.gov/Archives/edgar/data/1156375/000115637523000066/0001156375-23-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637523000066/cme-20230331.htm,4.016348455004137,2.4622979776169927,2.514118233765076,2.47177049755804,4.653236119275742,76.29390443341794,-9.747780226393226,76.29390443341794,9.693452538496045,68742848160.0,70617048160.0,19.445250101832997,47.68510554938957,76.17780159574468,77.48292173128945,2.510292289040476,2.510292289040476,48.985188790233074,70.44797302474062,78.25470762411348,79.59541045987376,0.0128566101588188,0.0129060698494049,0.1255970552577379,0.0207143855186004,1.8697126895450915,1.0154040601686714,22.899749373433583,1.0210454854039377,0.029611807693247,2.303236026250283,0.0265677025527192,0.035585460599334,0.1859994507321162,0.0168439716312056,0.0105438401775804,0.1713641488162345,0.0140122086570477,65.01393964601326,0.0188592293101155,0.0065391103613602,-201.69223782711532,1987800000.0,-3498800000.0,-7623100000.0,33311300000.0,603400000.0,109300000.0,131674950000.0,45.17480577136515,42.77750611246944,56374.67970660147,1.992260917634052,2.103909465020576,0.0015964613984221,0.0322738493448824,0.0423477362070358,2023-04-26,2.38,bmo,1392500000.0,2025-04-25,2023-03-31,0.0168067226890756,180.83064516129036,1940189.677419355
2022-12-31,CME,USD,1156375,2023-02-27,2023-02-27 17:01:05,2022,Q4,1207800000.0,193000000.0,1014800000.0,0.840205332,50000000,38500000.0,0.0,38500000.0,308000000.0,346500000.0,539500000.0,0.0,39900000.0,90600000.0,745700000.0,0.6174035436,668300000.0,0.5533200861,159000000.0,827300000.0,0.6849643981,189400000.0,637900000.0,0.528150356,1.76,1.75,358885000,359190000,https://www.sec.gov/Archives/edgar/data/1156375/000115637523000020/0001156375-23-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1156375/000115637523000020/cme-20221231.htm,3.365423464340945,1.777449600847068,2.7348593560611336,2.666871003246165,7.8468032935341405,74.89502208228262,-11.28160831464118,74.89502208228262,9.691962606405951,60350101600.0,61068401600.0,23.65186612321681,49.966966053982446,61.487622618441165,63.05516832096959,2.24527605873796,2.24527605873796,50.561683722470605,81.89406141880113,62.21946164034641,63.80566461184829,0.0105699904902894,0.0158591282305314,0.1279228534118093,0.0197409856828478,0.9632560010728176,1.0101011348161597,16.74937343358396,1.5386424204420757,0.0060231878714848,0.5698385326853739,0.0318761384335154,0.0413975823811889,0.1775649530904713,0.0248599083036169,0.0202020202020202,0.2693156732891832,0.0211127670144063,54.72885765184283,0.0140937814005463,0.0044531100565312,-213.13638073477577,1390800000.0,-4048800000.0,-8218700000.0,32773800000.0,531700000.0,108200000.0,137616800000.0,36.00596125186289,56.61139896373057,63071.86010362694,2.499586092715232,1.5897858319604612,0.0014269438042913,0.0237325465889347,0.0679883528149685,2023-02-08,1.88,bmo,1211223120.0,2025-04-25,2022-12-31,0.0212765957446808,173.77968253968254,2073663.8095238092
