date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,CNC,USD,1071739,2025-04-25,2025-04-24 20:18:11,2025,Q1,46620000000.0,37201000000.0,9419000000.0,0.202037752,0,0.0,0.0,3353000000.0,4532000000.0,7885000000.0,45086000000.0,0.0,170000000.0,0.0,1916000000.0,0.0410982411,1534000000.0,0.0329043329,212000000.0,1746000000.0,0.0374517375,432000000.0,1311000000.0,0.0281209781,2.64,2.63,496214000,498180000,https://www.sec.gov/Archives/edgar/data/1071739/000107173925000086/0001071739-25-000086-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173925000086/cnc-20250331.htm,93.9514000008061,2.642005263857932,3.0430419133680227,2.7709818747556496,34.83779175920067,56.46555719911167,10.52973112407147,56.25798546594816,37.262148992168704,30125151940.0,33630151940.0,5.744689538520214,0.6461851552981553,19.95043174834437,21.90920141090909,1.079135690643359,1.079135690643359,0.7213674804804805,17.55227136743215,22.271623801324505,24.45829232,0.0435184527072629,0.0456429233199744,0.6562544777188709,0.210468268921465,1.8293319415448848,1.1115957246318284,9.023529411764706,1.1491628614916287,0.0,0.0,0.0,0.0,0.2618675612333992,0.0894039735099337,0.0028957528957528,0.4299363057324841,0.0012655512655512,57.82959976551157,0.0231293171768361,0.0204046692607003,-84.1129029007646,4145000000.0,5225000000.0,-17737000000.0,28983000000.0,9856500000.0,13482000000.0,0.0,0.0,33.744254186715416,0.0,0.0,2.6671207341554344,0.0,0.0469623155179825,0.2720600386123729,2025-04-25,2.52,bmo,42757901103.0,2025-05-12,2025-03-31,0.1507936507936507,60.43125,4500512.683333334
2024-12-31,CNC,USD,1071739,2025-02-18,2025-02-18 17:02:34,2024,Q4,40805000000.0,32497000000.0,8308000000.0,0.2036024997,0,0.0,0.0,3231000000.0,4902000000.0,8133000000.0,40630000000.0,0.0,172000000.0,314000000.0,833000000.0,0.0204141649,175000000.0,0.0042886901,172000000.0,347000000.0,0.0085038598,67000000.0,283000000.0,0.0069354246,-5.79,-5.77,521790000,523744000,https://www.sec.gov/Archives/edgar/data/1071739/000107173925000027/0001071739-25-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173925000027/cnc-20241231.htm,78.2019586423657,0.5423637861975124,-1.124973648402614,-1.4201115391249353,31.97646562793461,50.805879760056726,6.790087966423274,50.614231779068206,37.56492075355986,31610038200.0,36976038200.0,27.92406201413428,0.7746609043009435,-53.85015025553663,-42.65862105263158,1.196896561908368,1.196896561908368,0.9061643965200344,44.38900144057623,-62.99154718909711,-49.900186504723344,0.0089528521987043,-0.0234419204213426,0.7356683074592957,0.235660137061071,6.441776710684274,1.1091036455444967,1.0174418604651163,-2.1345454545454547,0.0,0.0,0.0,0.0,0.2785735945175571,-0.262350936967632,0.0037740472981252,0.4904458598726114,0.0007597108197524,24.852662706869307,0.0029144385090351,0.0047580618043646,-46.88715766879396,3738000000.0,3543000000.0,-17936000000.0,28772000000.0,9856500000.0,13177000000.0,0.0,43.47923048645999,36.04763516632305,0.0,2.0699538375691167,2.4966963736939154,0.0,0.010715638015903,0.2951378907223212,2025-02-04,0.44,bmo,39361155765.0,2025-05-04,2024-12-31,0.8181818181818182,62.36140625,6260551.703125
2024-09-30,CNC,USD,1071739,2024-10-25,2024-10-24 19:24:57,2024,Q3,42023000000.0,37988000000.0,4035000000.0,0.0960188468,0,0.0,0.0,3057000000.0,313000000.0,3370000000.0,41358000000.0,0.0,176000000.0,313000000.0,1410000000.0,0.0335530543,665000000.0,0.0158246674,256000000.0,921000000.0,0.0219165695,211000000.0,713000000.0,0.0169668991,1.37,1.36,521965000,523542000,https://www.sec.gov/Archives/edgar/data/1071739/000107173924000200/0001071739-24-000200-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173924000200/cnc-20240930.htm,80.50922954604236,1.365991972641844,-1.873688848869177,-2.1668119509928827,33.6593449752378,52.51118370005652,8.178709300432022,52.31576829864071,34.06550247621967,39293525200.0,42321525200.0,13.77753338008415,0.9350480736739404,-40.177428629856855,-34.7422857648099,1.438954304757022,1.438954304757022,1.007103852652119,30.01526609929078,-43.27354314928425,-37.41956251105216,0.0181454831647428,-0.028783368105644,0.6447064855165342,0.2137800391009216,2.147517730496454,1.0982942368104285,3.778409090909091,-1.3774647887323943,0.0,0.0,0.0,0.0,0.2809923376765309,-0.156441717791411,0.0036408633367441,0.4888178913738019,0.001166028127454,40.09882404281966,0.0105917087300961,0.0120416814443262,-71.60058624620424,3348000000.0,4269000000.0,-17533000000.0,28530000000.0,0.0,13592500000.0,-18400500000.0,0.0,31.59997894071812,0.0,0.0,2.8481031638926377,0.0,0.0261105211118028,0.2931231021237056,2024-10-25,1.33,bmo,37931717088.0,2025-04-25,2024-09-30,0.2180451127819549,73.3,3869429.0
2024-06-30,CNC,USD,1071739,2024-07-26,2024-07-25 18:05:54,2024,Q2,39836000000.0,35407000000.0,4429000000.0,0.1111808414,0,0.0,0.0,2894000000.0,-7832000000.0,7832000000.0,-38597000000.0,0.0,176000000.0,306000000.0,1998000000.0,0.0501556381,1229000000.0,0.0308514911,287000000.0,1516000000.0,0.0380560297,370000000.0,1146000000.0,0.0287679486,2.16,2.16,529602000,530755000,https://www.sec.gov/Archives/edgar/data/1071739/000107173924000157/0001071739-24-000157-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173924000157/cnc-20240630.htm,75.21874917390795,2.163889109180101,4.106857602501501,3.7556504695979247,38.16828486297257,51.84459273190056,7.8247438642603315,51.64444243035336,33.61769781836171,34604194680.0,34627194680.0,7.548908089005237,0.8686663992368712,15.909974565517244,17.39778515837104,1.2651893780848964,1.2651893780848964,0.8692437664424139,17.33092826826827,15.92054927816092,17.409348758169934,0.033117372347415,0.0574785808019272,0.6445102555665241,0.2120355557693927,0.0115115115115115,1.1734547343334658,6.982954545454546,1.897905759162304,0.0,0.0,0.0,0.0,0.2804166616548588,0.0855172413793103,0.004669143488302,0.6078431372549019,0.0015563811627673,50.14418258189286,0.018389670905433,0.0191561914950521,-101.71128507822856,5677000000.0,4144000000.0,-17274000000.0,31031000000.0,8412000000.0,13864000000.0,-36646000000.0,0.0,35.19727737453046,-93.54336713079334,0.0,2.55701596013577,-0.9621205945490612,0.041899747724032,0.3512071329035766,2024-07-26,2.07,bmo,36826664220.0,2025-04-25,2024-06-30,0.1690821256038648,72.74,3738132.1904761903
2024-03-31,CNC,USD,1071739,2024-04-26,2024-04-25 19:08:02,2024,Q1,40407000000.0,35762000000.0,4645000000.0,0.1149553295,0,0.0,0.0,3218000000.0,-8286000000.0,8286000000.0,-39218000000.0,0.0,178000000.0,308000000.0,1959000000.0,0.0484816987,1106000000.0,0.027371495,367000000.0,1473000000.0,0.0364540797,315000000.0,1163000000.0,0.0287821417,2.17,2.16,535109000,538060000,https://www.sec.gov/Archives/edgar/data/1071739/000107173924000097/0001071739-24-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173924000097/cnc-20240331.htm,75.51171817330675,2.173388973087726,-0.8521628303766149,-1.134348329032029,36.7532596162651,50.57661149410681,6.686488173437561,50.37852101160698,33.97064897058356,41604724750.0,42019724750.0,8.94340600816853,1.0296415163214294,-91.23843146929823,-68.54155642504118,1.543316445952964,1.543316445952964,1.039912014007474,21.449578739152628,-92.1485191885965,-69.22524670510708,0.0279535559239578,-0.014589689119383,0.6677053193857111,0.2178543764523625,0.2118427769270035,1.1727672035139092,6.213483146067416,-0.3920894239036973,0.0,0.0,0.0,0.0,0.284251549186677,-0.3311403508771929,0.0037369762664884,0.4902597402597403,0.0017323731036701,49.63439075942845,0.0174060154223177,0.0196658662788731,-77.59260262862333,5664000000.0,3578000000.0,-17112000000.0,31138000000.0,8412000000.0,15066500000.0,-35837500000.0,37.47271512361719,34.933448912253226,-91.83462893574185,2.401747503566334,2.576327353937036,-0.9800224712942918,0.0431411825803101,0.2821854986554141,2024-04-26,2.08,bmo,36432359571.0,2025-04-25,2024-03-31,0.0865384615384614,77.21196721311476,3005087.7377049183
2023-12-31,CNC,USD,1071739,2024-02-20,2024-02-20 16:34:20,2023,Q4,39460000000.0,31595000000.0,7865000000.0,0.1993157628,0,3048000000.0,440000000.0,3488000000.0,4571000000.0,8059000000.0,39654000000.0,0.0,183000000.0,315000000.0,522000000.0,0.0132285859,-194000000.0,-0.004916371,218000000.0,24000000.0,0.0006082108,-15000000.0,45000000.0,0.0011403953,0.0842,0.0837,534254000,537614000,https://www.sec.gov/Archives/edgar/data/1071739/000107173924000037/0001071739-24-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173924000037/cnc-20231231.htm,73.8599991764217,0.0842295986553212,0.4061738424045491,-0.0112306131540428,36.7840016172083,48.5836325043893,4.299453069139398,48.36650731674447,33.71430068843659,39646989340.0,40282989340.0,220.2610518888889,1.004738706031424,182.70502,-6607.831556666667,1.534326212848297,1.534326212848297,1.0208562934617331,77.17047766283525,185.6358955760369,-6713.831556666667,0.0011350168259711,-0.0001513355767961,0.6899767801857585,0.210642596377642,1.2183908045977012,1.1100337727421288,-1.0601092896174864,4.822222222222222,0.0,0.0,0.0772427774961986,0.0,0.2795217447808981,1.0276497695852536,0.0056512924480486,0.707936507936508,0.0012417638114546,9.574056545796225,-0.0065388285074255,0.0007379226657046,-105.98891164127924,4040000000.0,2297000000.0,-17929000000.0,29718000000.0,0.0,15581500000.0,-17592000000.0,0.0,46.29466687767052,-100.22345307801866,0.0,1.944068422348019,-0.897993406093679,0.0017414860681114,0.4174044555585919,2024-02-06,0.43,bmo,36140800000.0,2025-04-25,2023-12-31,0.0465116279069767,72.14111111111112,3086473.571428572
2023-09-30,CNC,USD,1071739,2023-10-24,2023-10-23 18:48:57,2023,Q3,38042000000.0,30335000000.0,7707000000.0,0.2025918721,0,3048000000.0,0.0,3048000000.0,3924000000.0,6972000000.0,37307000000.0,181000000.0,181000000.0,328000000.0,1277000000.0,0.0335681615,735000000.0,0.0193207507,33000000.0,768000000.0,0.020188213,293000000.0,469000000.0,0.012328479,0.87,0.87,539535000,541270000,https://www.sec.gov/Archives/edgar/data/1071739/000107173923000209/0001071739-23-000209-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173923000209/cnc-20230930.htm,70.50886411446893,0.8692670540372729,1.8923702818167496,1.6403013706247047,37.86779356297553,47.10723122688982,2.930301092607523,46.88296403384396,35.7493026402365,37163170800.0,38080170800.0,19.80979253731343,0.9768984490825928,36.39879608227228,41.99228338983051,1.46919038545167,1.46919038545167,1.00100338573156,29.82002411902897,37.29693516160627,43.0284415819209,0.0126200211097165,0.0238138991089533,0.7553666732555842,0.2264372311302307,0.7180892717306187,1.1235787359908822,4.060773480662983,2.1494736842105264,0.0,0.0,0.080121970453709,0.0,0.2824688022185089,0.1332027424094025,0.0035749960569896,0.4146341463414634,0.0013143367856579,30.281361605454386,0.0094739771116853,0.0077461764608727,-71.42076046966369,4554000000.0,1581000000.0,-17560000000.0,30823000000.0,0.0,12301500000.0,0.0,0.0,44.238997857260586,0.0,0.0,2.0344041311783245,0.0,0.0185412136785926,0.252068911192045,2023-10-24,1.58,bmo,36179700000.0,2025-04-25,2023-09-30,0.2658227848101265,66.53142857142856,3422646.9523809524
2023-06-30,CNC,USD,1071739,2023-07-28,2023-07-27 18:21:26,2023,Q2,37608000000.0,30224000000.0,7384000000.0,0.196341204,0,0.0,0.0,3016000000.0,3197000000.0,6213000000.0,36437000000.0,181000000.0,181000000.0,325000000.0,1921000000.0,0.0510795575,1171000000.0,0.0311369921,244000000.0,1415000000.0,0.0376249734,360000000.0,1058000000.0,0.0281323123,1.93,1.92,548932000,550308000,https://www.sec.gov/Archives/edgar/data/1071739/000107173923000183/0001071739-23-000183-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173923000183/cnc-20230630.htm,68.51121814723864,1.9273789831891743,4.638097250661284,4.2464276085198165,35.30856280923685,46.976674706521024,1.0037673154416211,46.76535527169121,33.1316082866366,37025463400.0,37861463400.0,8.74892802457467,0.9845103009997872,14.542601492537315,15.883939682539683,1.4423070156986484,1.4423070156986484,1.0067396139119336,19.709246954711087,14.870959701492538,16.242584041184042,0.0285749293282309,0.0629566732174917,0.7014140469790815,0.2173246593364151,0.435190005205622,1.1137162205328053,6.469613259668508,2.4132701421800946,0.0,0.0,0.0,0.0,0.3045876431752622,0.0844461901021209,0.0057168687513295,0.7072368421052632,0.0014890448840672,45.033628157974746,0.016844051830222,0.0183626360275613,-68.64966881143748,3560000000.0,551000000.0,-22200000000.0,31212000000.0,0.0,10148000000.0,0.0,0.0,28.86050820539968,0.0,0.0,3.118448204704911,0.0,0.0412138210432004,0.3916696421414674,2023-07-28,2.03,bmo,36473900000.0,2025-04-25,2023-06-30,0.0344827586206898,66.68661290322581,3273518.870967742
2023-03-31,CNC,USD,1071739,2023-04-25,2023-04-24 21:17:06,2023,Q1,38889000000.0,34315000000.0,4574000000.0,0.1176168068,0,0.0,0.0,3011000000.0,325000000.0,3336000000.0,37651000000.0,180000000.0,180000000.0,325000000.0,1896000000.0,0.0487541464,1218000000.0,0.0313199105,173000000.0,1391000000.0,0.0357684692,261000000.0,1130000000.0,0.0290570598,2.05,2.04,550779000,553845000,https://www.sec.gov/Archives/edgar/data/1071739/000107173923000116/0001071739-23-000116-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173923000116/cnc-20230331.htm,70.60726716160202,2.051639586839731,7.750840173644964,7.342327866530859,32.659197246082364,45.72795985322607,-0.6899318964593785,45.46651197667304,39.61843134905288,34814740590.0,40602740590.0,7.702376236725663,0.895233628789632,8.155244926212228,8.608986298219584,1.3902539968852328,1.3902539968852328,1.0440674892643165,21.4149475685654,9.511065961583508,10.040242480217607,0.0324575160075894,0.1161576944554795,0.8641881638846738,0.260791496951146,3.0527426160337554,1.0654959369388564,6.766666666666667,3.7778761061946895,0.0,0.0,0.0,0.0,0.3080909112819647,0.0527055516514406,0.0057856977551492,0.6502890173410405,0.0015685669469515,45.81288199354485,0.0195638409434173,0.0196809251776508,-72.27581298488141,2152000000.0,-380000000.0,-22787000000.0,32774000000.0,0.0,9974500000.0,0.0,0.0,27.811744135217836,0.0,0.0,3.236043002640513,0.0,0.0451241913585176,0.4085123071141056,2023-04-25,2.09,bmo,36026400000.0,2025-04-25,2023-03-31,0.0095693779904306,70.99225806451614,4013738.290322581
2022-12-31,CNC,USD,1071739,2023-02-21,2023-02-21 16:29:25,2022,Q4,35561000000.0,31714000000.0,3847000000.0,0.1081803099,0,8391000000.0,-5193000000.0,3198000000.0,352000000.0,3550000000.0,35264000000.0,174000000.0,174000000.0,352000000.0,567000000.0,0.0159444335,297000000.0,0.0083518461,-256000000.0,41000000.0,0.0011529485,260000000.0,-219000000.0,-0.006158432,-0.39,-0.39,559934000,559934000,https://www.sec.gov/Archives/edgar/data/1071739/000107173923000047/0001071739-23-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1071739/000107173923000047/cnc-20221231.htm,63.50927073547954,-0.3911175245653952,-2.8146174370550816,-3.2307379083963466,25.70838705990349,43.28545864334011,-2.653884207781632,42.963992184793206,32.493115260012786,45920187340.0,51866187340.0,-52.420305182648406,1.2913075374708247,-29.13717470812183,-25.38429372028745,1.9088077208296963,1.9088077208296963,1.4585131841061838,91.47475721340388,-32.91001734771574,-28.67119255942509,-0.0047691443063698,-0.0393944385854938,0.7490543293012428,0.2344217510081956,10.486772486772487,1.058459808881394,1.706896551724138,7.19634703196347,0.0,0.0,0.2359607435111498,0.0,0.3346298946272928,-0.1478426395939086,0.0065521217063637,0.6213333333333333,0.0015185174770113,,-0.0325966679162147,-0.0042817760572467,-68.29019134397983,1664000000.0,-1486000000.0,-22505000000.0,29819000000.0,0.0,9573500000.0,0.0,0.0,26.51983351201362,0.0,0.0,3.393686463349385,0.0,-0.0091033794737498,0.4161204713412652,2023-02-07,0.87,bmo,35395300879.0,2025-04-25,2022-12-31,-0.0114942528735632,81.68396825396826,3461425.253968254
