date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,CNP,USD,1130310,2025-04-24,2025-04-24 06:02:16,2025,Q1,2920000000.0,1754000000.0,1166000000.0,0.3993150685,0,0.0,0.0,0.0,517000000.0,517000000.0,2271000000.0,0.0,0.0,363000000.0,1012000000.0,0.3465753425,649000000.0,0.222260274,-271000000.0,378000000.0,0.1294520548,81000000.0,297000000.0,0.1017123288,0.46,0.45,652000000,653000000,https://www.sec.gov/Archives/edgar/data/1130310/000113031025000079/0001130310-25-000079-index.htm,https://www.sec.gov/Archives/edgar/data/48732/000113031025000079/cnp-20250331.htm,4.478527607361963,0.455521472392638,0.6288343558282209,-0.9631901840490796,2.9049079754601226,16.802147239263803,10.754601226993865,16.802147239263803,34.02914110429448,23621960000.0,44554960000.0,19.88380471380471,8.089712328767122,57.61453658536585,-37.61458598726114,2.1562720219078044,2.1562720219078044,15.25854794520548,44.02664031620554,108.67063414634148,-70.94738853503185,0.0125730464364515,-0.0265854315221937,2.0252852578731173,0.4987411769995055,20.68478260869565,0.9313217743751409,0.0,1.3804713804713804,0.0060536890249581,0.4814814814814814,0.0,0.0,0.0886346266241064,2.5317073170731708,0.3554794520547945,2.8595041322314048,0.0,13.122847409012088,0.0121788529120747,0.0073255555829613,-46.59355828220859,-305000000.0,7012000000.0,-29395000000.0,36738000000.0,1315500000.0,1181000000.0,661000000.0,39.2054794520548,53.46636259977196,31.197263397947548,2.2955974842767297,1.6833013435700577,2.8848684210526314,0.027110908261068,1.5920245398773003,2025-04-24,0.55,bmo,2256407700.0,2025-04-25,2025-03-31,-0.0363636363636363,33.50991666666667,4522714.5
2024-12-31,CNP,USD,1130310,2025-02-20,2025-02-20 06:05:52,2024,Q4,2262000000.0,1286000000.0,976000000.0,0.4314765694,0,0.0,0.0,0.0,493000000.0,493000000.0,1779000000.0,0.0,222000000.0,356000000.0,858000000.0,0.3793103448,483000000.0,0.2135278515,-203000000.0,280000000.0,0.1237842617,32000000.0,248000000.0,0.1096374889,0.38,0.38,643000000,644000000,https://www.sec.gov/Archives/edgar/data/1130310/000113031025000040/0001130310-25-000040-index.htm,https://www.sec.gov/Archives/edgar/data/48732/000113031025000040/cnp-20241231.htm,3.5178849144634525,0.3856920684292379,1.3825816485225506,-1.7465007776049766,0.9097978227060654,16.587869362363918,10.455676516329705,16.587869362363918,32.947122861586315,20402390000.0,41341390000.0,20.56692540322581,9.019624226348364,22.949820022497185,-18.167756010685665,1.912843615225952,1.912843615225952,18.276476569407603,48.18343822843823,46.503250843644544,-36.8133481745325,0.0121554386520402,-0.0550425709929081,1.9654040877554848,0.4789572290257722,24.404428904428904,1.0830655129789863,2.175675675675676,3.5846774193548385,0.006763913443474,0.5564516129032258,0.0,0.0,0.0900886492414549,2.2632170978627677,0.8894783377541998,5.651685393258427,0.0,11.997946366653451,0.0106182829060041,0.0062272441933458,-48.43040435458787,336000000.0,6723000000.0,-28721000000.0,36368000000.0,1283500000.0,1502000000.0,723500000.0,54.07161803713528,92.37947122861588,49.968895800933126,1.664459161147903,0.9742424242424242,1.8011204481792715,0.0232514532158259,3.1290824261275274,2025-02-20,0.4,bmo,2481705160.0,2025-05-11,2024-12-31,0.0,30.795625,5194152.0
2024-09-30,CNP,USD,1130310,2024-10-28,2024-10-28 06:08:37,2024,Q3,1856000000.0,973000000.0,883000000.0,0.4757543103,0,0.0,0.0,0.0,459000000.0,459000000.0,1432000000.0,0.0,195000000.0,334000000.0,774000000.0,0.4170258621,424000000.0,0.2284482759,-179000000.0,245000000.0,0.1320043103,52000000.0,193000000.0,0.103987069,0.3,0.3,648000000,648000000,https://www.sec.gov/Archives/edgar/data/1130310/000113031024000115/0001130310-24-000115-index.htm,https://www.sec.gov/Archives/edgar/data/48732/000113031024000115/cnp-20240930.htm,2.864197530864198,0.2978395061728395,0.2098765432098765,-1.0925925925925926,0.992283950617284,16.257716049382715,10.17283950617284,16.257716049382715,30.97530864197531,19064160000.0,38829160000.0,24.694507772020728,10.271637931034483,140.17764705882354,-26.926779661016948,1.8096022781205507,1.8096022781205507,20.92088362068965,50.16687338501292,285.5085294117647,-54.843446327683615,0.0101237085714765,-0.0371377495782662,1.8867584242999524,0.463408947846968,25.53617571059431,1.1131386861313868,2.174358974358974,0.7046632124352331,0.0068190783123935,0.6735751295336787,0.0,0.0,0.0919264215606276,6.205882352941177,0.4547413793103448,2.5269461077844317,0.0,10.43787706825693,0.0085195297351181,0.0049550706033376,-46.97916666666666,434000000.0,6592000000.0,-28088000000.0,35815000000.0,1181500000.0,1370500000.0,717500000.0,58.57758620689655,155.7656731757451,67.8006166495375,1.5364238410596027,0.577790973871734,1.3274215552523874,0.0183198860939724,1.3024691358024691,2024-10-28,0.32,bmo,1933076369.0,2025-04-25,2024-09-30,-0.03125,27.98375,6808826.671875
2024-06-30,CNP,USD,1130310,2024-07-30,2024-07-30 06:16:35,2024,Q2,1905000000.0,911000000.0,994000000.0,0.5217847769,0,0.0,0.0,0.0,527000000.0,527000000.0,1438000000.0,0.0,217000000.0,386000000.0,864000000.0,0.4535433071,467000000.0,0.245144357,-206000000.0,261000000.0,0.137007874,33000000.0,228000000.0,0.1196850394,0.36,0.36,641000000,642000000,https://www.sec.gov/Archives/edgar/data/1130310/000113031024000093/0001130310-24-000093-index.htm,https://www.sec.gov/Archives/edgar/data/48732/000113031024000093/cnp-20240630.htm,2.9719188767550704,0.3556942277691107,0.8985959438377535,-0.3681747269890795,0.8720748829953198,16.152886115444616,10.001560062402495,16.152886115444616,30.173166926677062,19582550000.0,38624550000.0,21.47209429824561,10.279553805774276,33.99748263888889,-82.97690677966102,1.8913028781147383,1.8913028781147383,20.275354330708662,44.704340277777774,67.05651041666667,-163.6633474576271,0.0116430189122458,-0.0120515458916228,1.8470156461271008,0.4667122217883639,22.03935185185185,1.1964809384164223,2.152073732718894,2.526315789473684,0.0065364316700327,0.5614035087719298,0.0,0.0,0.0962270597422881,1.4097222222222223,0.426246719160105,2.1036269430051813,0.0,11.36984995258064,0.0106861384898497,0.0061566710771474,-45.001170046801874,670000000.0,6411000000.0,-26542000000.0,34847000000.0,1203000000.0,905000000.0,682500000.0,54.56692913385827,104.42371020856204,69.3523600439078,1.6493506493506491,0.8618732261116367,1.2977207977207976,0.0220204751786749,1.2667706708268331,2024-07-30,0.32,bmo,1886823037.0,2025-04-25,2024-06-30,0.1249999999999999,29.524444444444445,4838725.285714285
2024-03-31,CNP,USD,1130310,2024-04-30,2024-04-30 06:16:12,2024,Q1,2620000000.0,1497000000.0,1123000000.0,0.4286259542,0,0.0,0.0,0.0,507000000.0,507000000.0,2004000000.0,0.0,204000000.0,363000000.0,995000000.0,0.3797709924,616000000.0,0.2351145038,-188000000.0,428000000.0,0.1633587786,78000000.0,350000000.0,0.1335877863,0.55,0.55,632228000,633970000,https://www.sec.gov/Archives/edgar/data/1130310/000113031024000066/0001130310-24-000066-index.htm,https://www.sec.gov/Archives/edgar/data/48732/000113031024000066/cnp-20240331.htm,4.144074605996571,0.5535977527094655,0.8509588313076928,-0.4855843145194455,1.0075479099312274,15.813915233112104,9.577241121873756,15.813915233112104,30.61079230910368,17967919760.0,36937919760.0,12.8342284,6.857984641221374,33.397620371747216,-58.527425928338765,1.7971514062812564,1.7971514062812564,14.09844265648855,37.12353744723618,68.65784342007434,-120.31895687296416,0.0194791608975885,-0.0170860068444562,1.9152830566113224,0.4763551332122689,19.065326633165828,1.2495626822157435,3.019607843137255,1.5371428571428571,0.0070124979231318,0.36,0.0,0.0,0.0980870170899773,1.570631970260223,0.3225190839694656,2.327823691460055,0.0,14.034861186639825,0.0133260579814557,0.009653574580759,-44.753237755999415,856000000.0,6055000000.0,-25915000000.0,34190000000.0,1285500000.0,835000000.0,716500000.0,42.97328244274809,45.27054108216433,39.85971943887776,2.094324540367706,1.98804780876494,2.257918552036199,0.03500700140028,1.3365431458271384,2024-04-30,0.53,bmo,2680626221.0,2025-04-25,2024-03-31,0.0377358490566038,28.012295081967213,4180852.8852459015
2023-12-31,CNP,USD,1130310,2024-02-20,2024-02-20 06:34:49,2023,Q4,2182000000.0,1372000000.0,810000000.0,0.3712190651,0,0.0,0.0,13000000.0,-2000000.0,489000000.0,1861000000.0,0.0,201000000.0,359000000.0,677000000.0,0.3102658112,321000000.0,0.1471127406,-204000000.0,117000000.0,0.0536205316,-75000000.0,192000000.0,0.0879926673,0.3,0.3,631225829,631225829,https://www.sec.gov/Archives/edgar/data/1130310/000113031024000010/0001130310-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/48732/000113031024000010/cnp-20231231.htm,3.456766025333225,0.3041700627240968,1.2800490139639074,-0.4277391507057611,0.9996422373901306,15.314645814342937,8.72429445532084,15.314645814342937,29.81341880419155,18034121934.53,36562121934.53,23.481929602252603,8.264950474120072,22.31945783976485,-66.79304420196296,1.8655344920378607,1.8655344920378607,16.756242866420713,54.00608852958641,45.25015090907178,-135.41526642418518,0.0106464845195693,-0.0149716188556444,1.9259335884969484,0.4687901296739267,27.367799113737075,0.7833850931677019,1.5970149253731345,4.208333333333333,0.0070422059061734,0.6614583333333334,0.0,0.0,0.1047463175122749,1.3341584158415842,0.4940421631530706,3.002785515320334,0.0297891842346471,10.23771349002234,0.0142717212346039,0.0054000843763183,-44.42467134848501,-837000000.0,5507000000.0,-27021000000.0,33176000000.0,1247000000.0,840000000.0,790000000.0,54.44546287809349,60.1530612244898,50.51020408163266,1.653030303030303,1.4961832061068705,1.7818181818181815,0.0198613840902037,1.7077881646696684,2024-02-20,0.32,bmo,2593260000.0,2025-04-25,2023-12-31,0.0,27.79714285714286,4693124.603174604
2023-09-30,CNP,USD,1130310,2023-10-26,2023-10-26 06:15:59,2023,Q3,1860000000.0,841000000.0,1019000000.0,0.5478494624,0,0.0,0.0,22000000.0,13000000.0,501000000.0,1342000000.0,183000000.0,183000000.0,374000000.0,886000000.0,0.476344086,518000000.0,0.2784946237,-168000000.0,350000000.0,0.188172043,68000000.0,282000000.0,0.1516129032,0.41,0.4,631185000,633043000,https://www.sec.gov/Archives/edgar/data/1130310/000113031023000146/0001130310-23-000146-index.htm,https://www.sec.gov/Archives/edgar/data/48732/000113031023000146/cnp-20230930.htm,2.9468380902587987,0.4467786782005276,0.9299967521408145,-0.7557213812115307,1.0868445859771698,15.18572209415623,8.594944429921497,15.18572209415623,29.238654277272115,16947317250.0,35099317250.0,15.024217420212766,9.111460887096774,28.871068568994893,-35.52896698113207,1.7681082159624415,1.7681082159624415,18.87060067204301,39.6154822234763,59.79440758091993,-73.58347431865828,0.0166398017951779,-0.0281460477173754,1.9063119457485656,0.4685008076715982,20.48758465011287,0.7762650911893142,2.830601092896175,2.081560283687943,0.0084969200656227,0.5106382978723404,0.0,0.0,0.1066639316940591,1.8126064735945489,0.5720430107526882,2.8449197860962565,0.0,12.355354264723555,0.0114213781402222,0.0080939123446514,-43.48091288607936,-871000000.0,5425000000.0,-26394000000.0,32460000000.0,1059500000.0,797500000.0,769500000.0,56.80645161290322,81.65279429250891,86.68252080856124,1.584327086882453,1.1022280471821757,1.0382716049382716,0.0294209702660406,1.6857181333523452,2023-10-26,0.35,bmo,2086520000.0,2025-04-25,2023-09-30,0.142857142857143,28.89666666666667,3997606.793650794
2023-06-30,CNP,USD,1130310,2023-07-27,2023-07-27 06:15:58,2023,Q2,1875000000.0,1016000000.0,859000000.0,0.4581333333,0,0.0,0.0,19000000.0,13000000.0,479000000.0,1495000000.0,167000000.0,167000000.0,349000000.0,724000000.0,0.3861333333,380000000.0,0.2026666667,-163000000.0,217000000.0,0.1157333333,99000000.0,118000000.0,0.0629333333,0.17,0.17,631057000,633005000,https://www.sec.gov/Archives/edgar/data/1130310/000113031023000110/0001130310-23-000110-index.htm,https://www.sec.gov/Archives/edgar/data/48732/000113031023000110/cnp-20230630.htm,2.9712054537070345,0.1869878632199627,1.218590396747045,-0.5815639474722568,1.1583739662185826,16.42640839100113,9.834293891043124,16.42640839100113,27.1496869537934,18395311550.0,35147311550.0,38.97311769067797,9.810832826666667,23.92108133940182,-50.12346471389646,1.774581473085086,1.774581473085086,18.745232826666665,48.54601042817679,45.70521657997399,-95.76924128065396,0.0064146779835321,-0.0199507357623415,1.6366968936909123,0.4453369031682285,23.13812154696133,0.8800251256281407,2.275449101796408,6.516949152542373,0.0065234013391852,1.0169491525423728,0.0,0.0,0.1091949497335748,1.4772431729518856,0.6058666666666667,3.2550143266475646,0.0,8.313220051325764,0.0057643859932619,0.0034770309691487,-41.08464053167939,-382000000.0,6206000000.0,-24929000000.0,32232000000.0,1112000000.0,883000000.0,755000000.0,45.36,73.70078740157481,64.57677165354332,1.984126984126984,1.2211538461538465,1.393689986282579,0.0113833687053829,1.800154344219302,2023-07-27,0.29,bmo,1948000000.0,2025-04-25,2023-06-30,-0.0344827586206894,29.548387096774192,3654428.080645161
2023-03-31,CNP,USD,1130310,2023-04-27,2023-04-27 06:16:40,2023,Q1,2779000000.0,1781000000.0,998000000.0,0.3591219863,0,0.0,0.0,8000000.0,457000000.0,457000000.0,2238000000.0,150000000.0,150000000.0,319000000.0,856000000.0,0.3080244692,541000000.0,0.1946743433,-138000000.0,403000000.0,0.1450161929,78000000.0,325000000.0,0.1169485426,0.5,0.49,630309000,633051000,https://www.sec.gov/Archives/edgar/data/1130310/000113031023000061/0001130310-23-000061-index.htm,https://www.sec.gov/Archives/edgar/data/48732/000113031023000061/cnp-20230331.htm,4.408948626784641,0.5156201164825506,2.7177146447218745,0.9360488268452456,1.0502785141890725,16.430036696287058,9.617505064976068,16.430036696287058,26.418788245130564,18568903140.0,34956903140.0,14.283771646153848,6.681865109751709,10.839990157618214,31.47271718644068,1.7930574681344151,1.7930574681344151,12.57895039222742,40.8375036682243,20.406831955633397,59.24898837288136,0.017502380057113,0.0317735514882975,1.593472383159521,0.4371159143886416,19.14485981308411,0.9965079365079365,3.6066666666666665,5.270769230769231,0.0077549007022285,0.4430769230769231,0.0,0.0,0.1137423182877728,0.655575014594279,0.404102195034185,3.520376175548589,0.0,13.806241063045457,0.0123521509181689,0.0097136708709426,-40.27270751329903,-11000000.0,6062000000.0,-24257000000.0,31881000000.0,1476000000.0,1143000000.0,828500000.0,41.42137459517812,47.19820325659742,39.46659180235823,2.1727912431587177,1.906852248394004,2.2804097311139566,0.0313827732715334,1.7816658178766287,2023-04-27,0.47,bmo,1859470000.0,2025-04-25,2023-03-31,0.0638297872340426,29.208870967741937,3966268.032258065
2022-12-31,CNP,USD,1130310,2023-02-17,2023-02-17 06:17:48,2022,Q4,2711000000.0,1901000000.0,810000000.0,0.298782737,0,0.0,0.0,56000000.0,456000000.0,456000000.0,2357000000.0,135000000.0,138000000.0,314000000.0,618000000.0,0.2279601623,354000000.0,0.1305791221,-188000000.0,166000000.0,0.0612320177,32000000.0,134000000.0,0.0494282553,0.19,0.19,629535631,629535631,https://www.sec.gov/Archives/edgar/data/1130310/000113031023000013/0001130310-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/48732/000113031023000013/cnp-20221231.htm,4.306348785522514,0.2128553069937355,0.7704091335221024,-1.3581439364152528,0.9276679051070263,15.956205662328903,9.074943051158291,15.956205662328903,26.99450064963837,18879773573.69,35661773573.69,35.2234581598694,6.964136323751383,38.927368193175255,-22.081606518935672,1.87951951953111,1.87951951953111,13.154471993246036,57.70513523250809,73.52943004884537,-41.709676694374274,0.0070975427473736,-0.0452865600671974,1.6780487804878048,0.4372956986457739,27.155339805825243,0.9190299237238412,2.565217391304348,3.619402985074627,0.0059852412720389,0.8432835820895522,0.0,0.0,0.1123852020961967,2.7628865979381443,0.4942825525636297,4.267515923566879,0.0188122464035411,8.74174860831513,0.0080602215932242,0.0039165253989594,-41.65649839127215,-414000000.0,5713000000.0,-23802000000.0,31061000000.0,1380500000.0,1190000000.0,879000000.0,55.54039099963113,64.00841662283008,41.47290899526565,1.6204423191870891,1.4060650887573964,2.170091324200913,0.0133399701343952,2.128553069937355,2023-02-17,0.29,bmo,1987400798.0,2025-04-25,2022-12-31,-0.0344827586206894,29.07619047619048,3965709.777777778
