date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-01-26,CPB,USD,16732,2025-03-05,2025-03-05 07:23:34,2025,Q2,2685000000.0,1866000000.0,819000000.0,0.305027933,25000000,165000000.0,256000000.0,421000000.0,46000000.0,492000000.0,2358000000.0,8000000.0,88000000.0,110000000.0,437000000.0,0.1627560521,327000000.0,0.1217877095,-80000000.0,247000000.0,0.0919925512,74000000.0,173000000.0,0.0644320298,0.58,0.58,298000000,299000000,https://www.sec.gov/Archives/edgar/data/16732/000001673225000026/0000016732-25-000026-index.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673225000026/cpb-20250126.htm,9.01006711409396,0.5805369127516778,1.7181208053691277,1.3791946308724832,2.7818791946308723,13.12751677852349,-18.828859060402685,13.120805369127517,26.0503355704698,11917020000.0,18763020000.0,17.22112716763006,4.438368715083799,23.2754296875,28.995182481751826,3.047831202046036,3.047831202046036,6.9880893854748605,42.93597254004577,36.6465234375,45.652116788321166,0.0145170520818123,0.0344884878937855,1.962915601023018,0.4824010056568196,15.665903890160184,0.932024611778494,3.715909090909091,2.959537572254335,0.0093144091391975,0.6416184971098265,0.0614525139664804,0.0093109869646182,0.5985543683218102,0.0,0.0,0.0,0.0063314711359404,13.091410024924771,0.0167470304668007,0.0270862689838734,-33.52936241610738,-232000000.0,-5611000000.0,-8817000000.0,11928000000.0,775500000.0,1404500000.0,1350500000.0,23.832402234636877,65.40192926045016,62.122186495176855,3.7763713080168775,1.3761061946902655,1.4487577639751552,0.0442455242966751,0.0,2025-03-05,0.73,bmo,2455662950.0,2025-05-11,2025-01-26,0.0136986301369863,37.18928571428571,2855172.1428571427
2024-10-27,CPB,USD,16732,2024-12-03,2024-12-03 16:10:18,2025,Q1,2772000000.0,1905000000.0,867000000.0,0.3127705628,26000000,175000000.0,250000000.0,425000000.0,49000000.0,500000000.0,2405000000.0,4000000.0,87000000.0,109000000.0,476000000.0,0.1717171717,367000000.0,0.1323953824,-83000000.0,284000000.0,0.1024531025,66000000.0,218000000.0,0.0786435786,0.73,0.72,298000000,301000000,https://www.sec.gov/Archives/edgar/data/16732/000001673224000198/0000016732-24-000198-index.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673224000198/exhibit991-q12025.htm,9.302013422818792,0.7315436241610739,0.7550335570469798,0.7550335570469798,2.7114093959731544,12.899328859060402,-19.73489932885906,12.89261744966443,26.859060402684563,14193740000.0,21302740000.0,16.277224770642203,5.120396825396825,63.083288888888895,63.08328888888889,3.6943623112962,3.6943623112962,7.68497113997114,44.75365546218488,94.67884444444444,94.67884444444444,0.0153588835641627,0.0158520587244799,2.060645497136908,0.4913728897715988,14.934873949579831,0.9053391053391052,4.218390804597701,1.0321100917431192,0.0081726169423985,0.5321100917431193,0.0631313131313131,0.0093795093795093,0.6035873882820258,0.0,0.0,0.0,0.0068542568542568,14.56739585911363,0.0203269548744955,0.0341318302802567,-33.97147651006711,-328000000.0,-5881000000.0,-9131000000.0,12081000000.0,735000000.0,1382000000.0,1399500000.0,27.272727272727277,68.64566929133858,66.75590551181102,3.3,1.3110805230557467,1.3481953290870488,0.0567412805830296,0.0,2024-12-03,0.88,bmo,2743248720.0,2025-04-25,2024-10-27,0.0113636363636363,39.19775,3344303.833333333
2024-07-28,CPB,USD,16732,2024-09-19,2024-09-19 07:21:47,2024,Q4,2293000000.0,1618000000.0,675000000.0,0.2943741823,26000000,182000000.0,188000000.0,370000000.0,202000000.0,598000000.0,2216000000.0,1000000.0,84000000.0,113000000.0,190000000.0,0.0828608809,77000000.0,0.0335804623,-83000000.0,-6000000.0,-0.0026166594,-3000000.0,-3000000.0,-0.0013083297,-0.01,-0.01,218595161,298000000,https://www.sec.gov/Archives/edgar/data/16732/000001673224000130/0000016732-24-000130-index.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673224000130/cpb-20240728.htm,10.489710703156874,-0.0137240000477412,1.3175040045831572,0.6724760023393198,0.494064001718684,17.365434727075225,-27.4342760954347,17.356285393710063,34.88640812135819,10273972567.0,17707972567.0,-856.1643805833334,4.4805811456607065,35.67351585763889,69.89096984353742,2.7079527061149187,2.7079527061149187,7.722622139991278,93.19985561578947,61.48601585763889,120.462398414966,-0.0002920000010157,0.0143080000497727,1.9878755930416447,0.4950443058746308,39.126315789473686,0.6124161073825504,0.9166666666666666,-96.0,0.0108040000375835,-37.0,0.0793720017444396,0.0113388573920628,0.6427961929766984,0.4895833333333333,0.0614914958569559,1.247787610619469,0.0082860880941997,,0.0029228666869116,-0.0005512679162072,-46.503774161771126,-1386000000.0,-5997000000.0,-9249000000.0,11438000000.0,639000000.0,1320500000.0,1343000000.0,24.7274313126908,72.92336217552534,77.09517923362176,3.639682539682539,1.234172387490465,1.1673881673881674,-0.0007907221929362,0.6450280022438374,2024-08-29,0.62,bmo,2808340000.0,2025-04-25,2024-07-28,0.0161290322580645,45.1871875,2411918.75
2024-04-28,CPB,USD,16732,2024-06-05,2024-06-05 07:21:09,2024,Q3,2369000000.0,1637000000.0,732000000.0,0.3089911355,27000000,208000000.0,206000000.0,414000000.0,43000000.0,484000000.0,2121000000.0,4000000.0,70000000.0,106000000.0,354000000.0,0.1494301393,248000000.0,0.1046855213,-66000000.0,182000000.0,0.0768256648,49000000.0,133000000.0,0.056141832,0.45,0.44,298000000,300000000,https://www.sec.gov/Archives/edgar/data/16732/000001673224000082/0000016732-24-000082-index.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673224000082/cpb-20240428.htm,7.949664429530201,0.4463087248322148,0.714765100671141,0.3355704697986577,0.3590604026845637,13.13758389261745,-20.241610738255037,13.130872483221475,24.325503355704697,13389140000.0,20461140000.0,25.16755639097744,5.651810890671169,62.85981220657277,133.8914,3.421707130079223,3.421707130079223,8.63703672435627,57.79983050847458,96.06169014084507,204.6114,0.0099334236552907,0.0074687395904441,1.8346537183746483,0.4709702814406613,19.9774011299435,0.618744576222158,3.5428571428571427,1.6015037593984962,0.0082156135494886,0.8270676691729323,0.0878007598142676,0.011397214014352,0.6525618316604342,0.5305164319248826,0.0476994512452511,1.0660377358490567,0.0185732376530181,11.48300990434226,0.013716095453778,0.0251132930513595,-33.84228187919463,-1318000000.0,-6032000000.0,-9189000000.0,11250000000.0,641500000.0,1317500000.0,1244000000.0,24.61798227100042,73.12156383628589,71.47220525351253,3.655864197530864,1.2308270676691728,1.2592307692307692,0.033989266547406,0.3791946308724832,2024-06-05,0.709,bmo,2347498923.0,2025-04-25,2024-04-28,0.0578279266572638,48.6671875,2419090.625
2024-01-28,CPB,USD,16732,2024-03-06,2024-03-06 07:27:01,2024,Q2,2456000000.0,1680000000.0,776000000.0,0.3159609121,25000000,189000000.0,217000000.0,406000000.0,28000000.0,459000000.0,2139000000.0,0.0,46000000.0,96000000.0,413000000.0,0.1681596091,317000000.0,0.1290716612,-46000000.0,271000000.0,0.1103420195,68000000.0,203000000.0,0.0826547231,0.68,0.68,298000000,299000000,https://www.sec.gov/Archives/edgar/data/16732/000001673224000039/0000016732-24-000039-index.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673224000039/cpb-20240128.htm,8.241610738255034,0.6812080536912751,1.7114093959731544,1.308724832214765,0.5671140939597316,12.922818791946307,-10.805369127516778,12.916107382550337,15.322147651006713,13046440000.0,17397440000.0,16.06704433497537,5.312068403908794,25.581254901960783,33.45241025641025,3.389566121070408,3.389566121070408,7.083648208469056,42.12455205811138,34.11262745098039,44.60882051282052,0.015559800221363,0.0298932122479389,1.174330995063653,0.3733685775648439,10.535108958837773,1.0068093385214008,6.891304347826087,2.5123152709359604,0.0084314188391622,0.541871921182266,0.0769543973941368,0.0101791530944625,0.5840905336196928,0.2352941176470588,0.0488599348534201,1.25,0.0077361563517915,14.070093047134728,0.0235947500571985,0.0403177755710029,-23.54278523489933,14000000.0,-3220000000.0,-6185000000.0,9555000000.0,680500000.0,1336500000.0,1264000000.0,23.269543973941367,69.91071428571428,63.64285714285714,3.867716535433071,1.2873563218390804,1.414141414141414,0.052740971680956,0.4026845637583892,2024-03-06,0.77,bmo,2436992533.0,2025-04-25,2024-01-28,0.0389610389610389,44.574444444444445,2669485.714285714
2023-10-29,CPB,USD,16732,2023-12-06,2023-12-06 07:33:36,2024,Q1,2518000000.0,1730000000.0,788000000.0,0.3129467832,24000000,158000000.0,222000000.0,380000000.0,26000000.0,430000000.0,2160000000.0,1000000.0,49000000.0,96000000.0,454000000.0,0.1803018268,358000000.0,0.1421763304,-48000000.0,310000000.0,0.1231135822,76000000.0,234000000.0,0.0929308975,0.79,0.78,298000000,299000000,https://www.sec.gov/Archives/edgar/data/16732/000001673223000176/0000016732-23-000176-index.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673223000176/cpb-20231029.htm,8.449664429530202,0.785234899328859,0.5838926174496645,0.1040268456375839,0.3053691275167785,12.60738255033557,-11.167785234899329,12.600671140939598,15.956375838926174,12039200000.0,16654200000.0,12.862393162393165,4.781254964257347,69.19080459770115,388.3612903225807,3.206178428761651,3.206178428761651,6.614058776806989,36.68325991189428,95.71379310344828,537.2322580645161,0.0194365074091301,0.0025749219217223,1.2532623169107855,0.3839438688096598,10.165198237885464,0.9692640692640692,7.306122448979592,0.7435897435897436,0.0094690677121403,0.4871794871794871,0.062748212867355,0.0095313741064336,0.5780370400587419,0.8218390804597702,0.0567911040508339,1.4895833333333333,0.0067513899920571,14.920655197869651,0.0266160009912849,0.0452436194895591,-24.142617449664428,-71000000.0,-3328000000.0,-6261000000.0,9443000000.0,627500000.0,1337000000.0,1315500000.0,25.94916600476569,71.16763005780346,69.71098265895954,3.46831955922865,1.2646198830409356,1.291044776119403,0.0623169107856191,0.4798657718120805,2023-12-06,0.88,bmo,2520710000.0,2025-04-25,2023-10-29,0.0340909090909091,43.2688524590164,2806759.016393442
2023-07-30,CPB,USD,16732,2023-09-21,2023-09-21 07:21:03,2023,Q4,2068000000.0,1412000000.0,656000000.0,0.3172147002,26000000,167000000.0,199000000.0,366000000.0,-8000000.0,384000000.0,1796000000.0,2000000.0,49000000.0,103000000.0,375000000.0,0.1813346228,272000000.0,0.1315280464,-47000000.0,225000000.0,0.1088007737,56000000.0,169000000.0,0.08172147,0.57,0.57,298000000,299000000,https://www.sec.gov/Archives/edgar/data/16732/000001673223000109/0000016732-23-000109-index.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673223000109/cpb-20230730.htm,6.939597315436242,0.5671140939597316,0.7550335570469798,0.3758389261744966,0.6342281879194631,12.291946308724832,-11.557046979865772,12.28523489932886,16.83221476510067,13654360000.0,18432360000.0,20.198757396449704,6.602688588007737,60.68604444444445,121.91392857142856,3.729680415187107,3.729680415187107,8.9131334622824,49.15296,81.9216,164.57464285714286,0.0123769989951927,0.0082025082098318,1.356733133023764,0.4119256924863161,12.741333333333332,0.9275427542754276,5.551020408163265,1.331360946745562,0.0081292715293869,0.6568047337278107,0.0807543520309477,0.0125725338491295,0.5894012274008956,0.5022222222222222,0.054642166344294,1.0970873786407769,0.0072533849129593,12.520400226344428,0.020233952879293,0.0341345182791355,-24.039429530201343,-161000000.0,-3444000000.0,-6334000000.0,9619000000.0,528500000.0,1329500000.0,1285500000.0,23.02224371373308,83.24362606232295,82.28753541076487,3.9092627599243857,1.0811638591117918,1.093725793958172,0.0461622507511608,0.3791946308724832,2023-08-31,0.5,bmo,2534740000.0,2025-04-25,2023-07-30,0.0,41.1279365079365,2910361.904761905
2023-04-30,CPB,USD,16732,2023-06-07,2023-06-07 07:39:44,2023,Q3,2229000000.0,1561000000.0,668000000.0,0.2996859578,24000000,167000000.0,194000000.0,361000000.0,29000000.0,414000000.0,1975000000.0,1000000.0,47000000.0,108000000.0,362000000.0,0.1624046658,254000000.0,0.113952445,-46000000.0,208000000.0,0.0933153881,48000000.0,160000000.0,0.0717810677,0.54,0.53,299000000,301000000,https://www.sec.gov/Archives/edgar/data/16732/000001673223000076/0000016732-23-000076-index.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673223000076/cpb-20230430.htm,7.454849498327759,0.5351170568561873,0.6220735785953178,0.2809364548494983,0.745819397993311,12.0,-11.879598662207355,11.993311036789295,16.073578595317727,16334370000.0,20870370000.0,25.522453125,7.328115746971736,87.81919354838709,194.4567857142857,4.555039040713888,4.555039040713888,9.363109017496637,57.65295580110497,112.20629032258064,248.4567857142857,0.0097952966658646,0.0051425307495789,1.327105409927496,0.3941853723183964,12.530386740331492,0.9195804195804196,5.404255319148936,1.1625,0.0067342664577819,0.6875,0.0749214894571556,0.0107671601615074,0.5914023026588254,0.5483870967741935,0.0457604306864064,0.9444444444444444,0.0076267384477344,12.016699602605916,0.0194451249387555,0.0324346239610784,-24.16722408026756,-184000000.0,-3552000000.0,-6381000000.0,9320000000.0,562500000.0,1363500000.0,1265500000.0,21.318977119784652,78.00768737988469,73.7988468930173,4.221590909090909,1.153732446415373,1.21953125,0.0446179587283881,0.3411371237458194,2023-06-07,0.64,bmo,2232820000.0,2025-04-25,2023-04-30,0.0625,43.744126984126986,2711753.9682539683
2023-01-29,CPB,USD,16732,2023-03-08,2023-03-08 07:23:31,2023,Q2,2485000000.0,1726000000.0,759000000.0,0.3054325956,21000000,162000000.0,217000000.0,379000000.0,9000000.0,409000000.0,2135000000.0,0.0,45000000.0,85000000.0,435000000.0,0.1750503018,350000000.0,0.1408450704,-45000000.0,305000000.0,0.1227364185,73000000.0,232000000.0,0.093360161,0.78,0.77,299000000,301000000,https://www.sec.gov/Archives/edgar/data/16732/000001673223000037/0000016732-23-000037-index.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673223000037/cpb-20230129.htm,8.311036789297658,0.7759197324414716,1.6889632107023411,1.4280936454849498,0.5284280936454849,12.043478260869565,-11.876254180602007,12.036789297658864,15.434782608695652,15518100000.0,19930100000.0,16.722090517241377,6.244708249496982,30.728910891089107,36.34215456674473,4.311781050291748,4.311781050291748,8.02016096579477,45.81632183908046,39.46554455445545,46.67470725995316,0.0149502838620707,0.027516255211656,1.269797165879411,0.381883512994067,10.142528735632183,0.773249351611708,7.777777777777778,2.1767241379310347,0.0071529375374562,0.4784482758620689,0.0651911468812877,0.0084507042253521,0.5976435196791176,0.1544554455445544,0.0313883299798792,0.9176470588235294,0.0064386317907444,14.496227179997948,0.0270393569161813,0.0481827622014537,-23.862040133779264,-612000000.0,-3551000000.0,-6279000000.0,8858000000.0,665000000.0,1410500000.0,1306000000.0,21.62173038229376,71.64542294322133,65.23174971031287,4.1624790619765495,1.2561863173216885,1.3796962430055957,0.0644623506529591,0.2608695652173913,2023-03-08,0.74,bmo,2439960000.0,2025-04-25,2023-01-29,0.0810810810810811,51.56967741935484,2499520.9677419355
2022-10-30,CPB,USD,16732,2022-12-07,2022-12-07 07:30:11,2023,Q1,2575000000.0,1741000000.0,834000000.0,0.3238834951,21000000,161000000.0,201000000.0,362000000.0,15000000.0,398000000.0,2139000000.0,1000000.0,47000000.0,91000000.0,527000000.0,0.2046601942,436000000.0,0.1693203883,-46000000.0,390000000.0,0.1514563107,93000000.0,297000000.0,0.1153398058,0.99,0.99,299000000,301000000,https://www.sec.gov/Archives/edgar/data/16732/000001673222000156/0000016732-22-000156-index.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673222000156/cpb-20221030.htm,8.612040133779264,0.9933110367892976,0.7591973244147158,0.5016722408026756,0.4347826086956521,11.602006688963211,-12.34448160535117,11.595317725752508,16.384615384615383,15820089999.999998,20542090000.0,13.316574074074072,6.143724271844659,69.69202643171805,105.46726666666666,4.56304874531295,4.56304874531295,7.97751067961165,38.97929791271347,90.4937885462555,136.94726666666668,0.018773597368915,0.0094816148327854,1.3994808191520045,0.3984561057731789,8.960151802656547,0.7596439169139466,9.27659574468085,0.7643097643097643,0.0072692380384688,0.3872053872053872,0.0625242718446602,0.0081553398058252,0.587993758725466,0.3392070484581498,0.0299029126213592,0.8461538461538461,0.0058252427184466,16.09812206816504,0.0331964376355498,0.0591987243372533,-24.57441471571906,-729000000.0,-3691000000.0,-6404000000.0,8743000000.0,637000000.0,1390500000.0,1303500000.0,25.61941747572816,74.80183802412407,70.3561171740379,3.5129604365620737,1.203178991015895,1.2792064658339457,0.0856648399192385,0.2575250836120401,2022-12-07,0.88,bmo,2453162727.0,2025-04-25,2022-10-30,0.1590909090909091,53.06645161290322,2436141.935483871
