date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-28,CRL,USD,1100682,2025-02-19,2025-02-19 09:07:49,2024,Q4,1002549000.0,718305000.0,284244000.0,0.2835213042,0,0.0,0.0,195708000.0,256223000.0,451931000.0,1170236000.0,1835000.0,28234000.0,102104000.0,-86453000.0,-0.0862331916,-167687000.0,-0.1672606526,-49104000.0,-216791000.0,-0.2162398047,-3044000.0,-213414000.0,-0.2128713908,-4.22,-4.22,51138000,51138000,https://www.sec.gov/Archives/edgar/data/1100682/000110068225000011/0001100682-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068225000011/crl-20241228.htm,19.604775313856624,-4.173295787868121,3.1163127224373266,1.6376471508467283,3.805506668231061,68.60021901521374,-1.2110368023778797,67.68944815988111,53.81962532754507,9519850080.0,12049238080.0,-11.15185751637662,9.495645679163813,59.73726534556544,113.67528096864328,2.7502070863437065,2.7502070863437065,12.018602661815034,-139.37327889142077,75.60922980384282,143.87837126549329,-0.0224177900078863,0.0087969872735642,0.786939661759646,0.3618317173296388,-29.25737684059547,1.4113968298995776,-5.939186796061486,-0.7455636804259241,0.0,0.0,0.0,0.0,0.4742088732649739,0.4744920369975276,0.0754237448743153,0.7405782339575335,0.017191179682988,,-0.0253024646422024,-0.0539150658470969,-61.51399644100277,408970000.0,-61930000.0,-2617196000.0,5995482000.0,737561000.0,138150000.0,307372000.0,64.7173853846545,17.583519535573327,34.90016079520538,1.39066186721042,5.118429209688108,2.5787846803377565,-0.0616535649398541,1.478665571590598,2025-02-19,2.5,bmo,948220870.0,2025-05-11,2024-12-28,0.064,192.63078125,672361.265625
2024-09-28,CRL,USD,1100682,2024-11-06,2024-11-06 09:16:46,2024,Q3,1009763000.0,660742000.0,349021000.0,0.3456464537,0,0.0,0.0,199213000.0,0.0,199213000.0,859955000.0,1528000.0,30284000.0,88198000.0,209723000.0,0.2076952711,117405000.0,0.1162698574,-26164000.0,91241000.0,0.0903588268,20946000.0,68679000.0,0.0680149698,1.34,1.33,51394000,51583000,https://www.sec.gov/Archives/edgar/data/1100682/000110068224000035/0001100682-24-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068224000035/crl-20240928.htm,19.6474880336226,1.3363233062225162,4.89924893956493,4.145834144063509,4.089407323812118,74.47789625248083,-1.465852044985796,73.5936685216173,54.28207572868428,10191944140.0,12741262140.0,37.09992916320855,10.093402253796189,40.47763288746267,47.83355848519977,2.6946611574574337,2.6946611574574337,12.618071904001235,60.75281271009856,50.60233105102624,59.79819937954954,0.0067385573406409,0.0209058249410695,0.7295848290168372,0.3447705489438697,12.155643396289392,1.4766765360528975,3.876799630167745,3.5819332811722027,0.0,0.0,0.0,0.0,0.487647432320628,0.1537816928258245,0.0383466219300964,0.4390235606249575,0.0191440961889076,47.03999388612481,0.0129372840476453,0.0167477526885679,-62.89058547690392,482502000.0,-75336000.0,-2681402000.0,6410666000.0,758214000.0,134532000.0,342655500.0,67.22233831106904,18.51958858374373,45.79397102045882,1.338840663107078,4.859719188308584,1.965324211778703,0.0181581287231249,0.7534147955014204,2024-11-06,2.42,bmo,975989510.0,2025-04-23,2024-09-28,0.0702479338842975,207.81984375,693324.390625
2024-06-29,CRL,USD,1100682,2024-08-07,2024-08-07 09:15:54,2024,Q2,1026117000.0,690655000.0,335462000.0,0.3269237329,0,0.0,0.0,165855000.0,-2240000.0,165855000.0,856510000.0,3010000.0,32769000.0,86082000.0,238504000.0,0.2324335334,169607000.0,0.165290118,-31999000.0,119653000.0,0.1166075603,25392000.0,89988000.0,0.0876976017,1.75,1.74,51551000,51846000,https://www.sec.gov/Archives/edgar/data/1100682/000110068224000027/0001100682-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068224000027/crl-20240629.htm,19.90489030280693,1.7456111423638727,3.754243370642664,2.988283447459797,3.4827258443095186,73.19148028166282,-2.0703381117728075,72.21448662489574,55.749626583383446,10649405580.0,13311047580.0,29.58562691692226,10.378354105818342,55.02573477665539,69.12998838032054,2.860644860262458,2.860644860262458,12.972251292981207,55.81058422500252,68.7785030097915,86.40788047958766,0.008450049096543,0.0144655022144437,0.7631981806894889,0.3574583340829711,11.15973736289538,1.58231444435415,5.175836919039336,2.150675645641641,0.0,0.0,0.0,0.0,0.4881333490516127,0.2040251117368951,0.0384809919336683,0.4587021677005646,0.0161648233096225,53.25705850947234,0.0190768872129208,0.0221184374140491,-63.03330197280364,551754000.0,-106728000.0,-2675916000.0,6431618000.0,774600500.0,131391499.5,355196000.0,66.85386754142071,17.344535260006808,45.4930319768915,1.3462197971454473,5.188954252785479,1.9783249453612173,0.0241725895169914,0.7659599231828674,2024-08-07,2.39,bmo,1024341473.0,2025-04-23,2024-06-29,0.1715481171548115,226.5890476190476,521293.2698412698
2024-03-30,CRL,USD,1100682,2024-05-09,2024-05-09 09:17:54,2024,Q1,1011560000.0,691366000.0,320194000.0,0.3165348571,0,0.0,0.0,177218000.0,5833000.0,177218000.0,868584000.0,2202000.0,35001000.0,85357000.0,219369000.0,0.2168620744,142976000.0,0.1413420855,-43965000.0,99011000.0,0.0978795128,24529000.0,67329000.0,0.0665595714,1.42,1.41,51437000,51842000,https://www.sec.gov/Archives/edgar/data/1100682/000110068224000018/0001100682-24-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068224000018/crl-20240330.htm,19.665999183467157,1.3089604759220017,2.525186150047631,0.9865272080409044,6.558819526799774,72.00896242004782,-3.770709800338278,70.7746369345024,60.58172132900442,13936855150.0,16680630150.0,51.74907970562462,13.777586252916288,107.29902030980536,274.65030644017025,3.828348851167512,3.828348851167512,16.490005684289613,76.03914021580077,128.42318112527715,328.7212310815072,0.0048310037863886,0.0036409935709204,0.8463661622855511,0.3779250594551578,12.507578554855062,1.7471413160733549,4.084911859661153,1.7802631578947368,0.0,0.0,0.0,0.0,0.4781041026113414,0.6093249568859325,0.0782395507928348,0.927211593659571,0.0165467199177508,45.65552600739965,0.0149369621093492,0.0158238587756621,-64.94578805140269,713378000.0,-193954000.0,-2780670000.0,6614359000.0,783677500.0,149309499.5,370770000.0,70.01878287002253,16.88162262824611,47.0305019338527,1.2853693867696765,5.331241076874517,1.913651700476914,0.0184947677956068,1.5386589420067267,2024-05-09,2.06,bmo,992310770.0,2025-04-23,2024-03-30,0.1019417475728155,238.8055737704918,567293.9180327869
2023-12-30,CRL,USD,1100682,2024-02-14,2024-02-14 09:19:45,2023,Q4,1013476000.0,649391000.0,364085000.0,0.3592438301,0,0.0,0.0,197142000.0,107737000.0,231163000.0,880554000.0,1591000.0,33544000.0,80514000.0,322764000.0,0.3184722677,132922000.0,0.1311545611,75784000.0,208706000.0,0.2059308755,19754000.0,187084000.0,0.1845963792,3.65,3.62,51311000,51624000,https://www.sec.gov/Archives/edgar/data/1100682/000110068224000007/0001100682-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068224000007/crl-20231230.htm,19.751632203621057,3.646079787959697,4.305957786829335,2.779520960417844,5.393989592874823,71.3102063884937,-5.848609459959853,70.09962776012941,60.41443355225975,12129920400.0,14919530400.0,16.209189989523423,11.968631126933444,54.900677550318406,85.05062684055532,3.372343157212274,3.372343157212274,14.721148206765626,46.22427036472469,67.52660369416546,104.61036600757257,0.0154233493568515,0.011757702878248,0.8525108691361017,0.3741770135232442,8.642878387924304,1.5246795983629708,3.962616265203912,1.1693075490071552,0.0,0.0,0.0,0.0,0.4831111063927875,0.3544941455488519,0.0772815537812439,0.9727873413319422,0.0192614329298375,75.83369177478697,0.0168546656180129,0.0441662407443037,-67.89618697745122,553580000.0,-300098000.0,-2927341000.0,6546446000.0,789842500.0,152639000.0,336615500.0,69.2998650190039,23.41321330292536,52.70062258331267,1.2987038282876822,3.843983260031846,1.7077597111442464,0.0520128266648725,1.5264368264114907,2024-02-14,2.39,bmo,991250000.0,2025-04-23,2023-12-30,0.0292887029288702,196.66,506483.2698412698
2023-09-30,CRL,USD,1100682,2023-11-08,2023-11-08 09:06:25,2023,Q3,1026623000.0,664783000.0,361840000.0,0.3524565493,0,0.0,0.0,176109000.0,-6260000.0,210338000.0,875121000.0,1373000.0,33742000.0,78870000.0,225485000.0,0.2196375885,151502000.0,0.1475731598,-38629000.0,112873000.0,0.10994591,24852000.0,87389000.0,0.0851227763,1.7,1.69,51283000,51607000,https://www.sec.gov/Archives/edgar/data/1100682/000110068223000022/0001100682-23-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068223000022/crl-20230930.htm,20.018778152604177,1.7040539750014625,4.006200885283622,2.7202581752237585,3.06483630052844,65.33761675409005,-8.19333892322992,64.46567088508863,57.29766199325312,10050442340.0,12797922340.0,28.752023538431608,9.789808274312966,48.919164468240446,72.0446323018143,3.040067640796577,3.040067640796577,12.466038984125625,56.757311306738806,62.29215059625213,91.73940589091274,0.0086950401826791,0.0138802845965086,0.8786025862728687,0.381839270030907,12.184757300929109,1.4533122831590557,4.490012447394938,2.3341020892741504,0.0,0.0,0.0,0.0,0.4957124398597241,0.3209880749574105,0.064236823059682,0.8361480917966274,0.0222058145979585,49.716115206888446,0.0178577921824019,0.0227805758893298,-65.3853226215315,450509000.0,-420179000.0,-2811973000.0,6122204000.0,799978000.0,138272500.0,289126000.0,70.07236346740721,18.45818861192299,39.66328862200147,1.2843865333850446,4.875884730198546,2.269100801441776,0.0264335102947888,1.285942710059864,2023-11-08,2.35,bmo,1000500000.0,2025-04-23,2023-09-30,0.1574468085106383,205.3019047619048,463330.2380952381
2023-07-01,CRL,USD,1100682,2023-08-09,2023-08-09 09:09:28,2023,Q2,1059937000.0,660960000.0,398977000.0,0.3764157681,0,0.0,0.0,199758000.0,-2663000.0,234032000.0,894992000.0,1426000.0,35044000.0,77671000.0,241379000.0,0.2277295726,164945000.0,0.1556177395,-36281000.0,128664000.0,0.1213883467,29221000.0,97020000.0,0.0915337421,1.89,1.89,51216000,51467000,https://www.sec.gov/Archives/edgar/data/1100682/000110068223000018/0001100682-23-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068223000018/crl-20230701.htm,20.6954272102468,1.8943298969072164,2.892104029990628,1.576440955951265,3.9137183692596063,64.43302874101843,-10.670122617931897,63.48998359887535,60.823648859731335,10768164000.0,13647819000.0,27.747278911564628,10.159249087445763,72.69793818608984,133.37004421654962,3.311545980675357,3.311545980675357,12.87606621903,56.54103712419059,92.13904079069955,169.03626500204362,0.0090098924942079,0.0074979355812188,0.9472267301164958,0.3962878299455469,11.930014624304516,1.493395843485113,4.706797169272914,1.4895166075037962,0.0,0.0,0.0,0.0,0.4948912051532214,0.4549155425932677,0.0635726462987894,0.8675438709428229,0.0153499689132467,52.020158755272114,0.0188349776774668,0.0247128172968324,-68.9005291315214,497157000.0,-546481000.0,-2967599000.0,6270472000.0,794477500.0,130104000.0,273932000.0,67.98341788238358,19.09095860566449,38.84531590413943,1.3238522393167518,4.714273487204359,2.3168816601233875,0.0298366732755113,1.315663074039363,2023-08-09,2.63,bmo,1053710000.0,2025-04-23,2023-07-01,0.0228136882129277,198.96370967741936,532552.6774193548
2023-04-01,CRL,USD,1100682,2023-05-11,2023-05-11 09:08:55,2023,Q1,1029373000.0,648570000.0,380803000.0,0.3699368451,0,0.0,0.0,173709000.0,0.0,216188000.0,864758000.0,33574000.0,0.0,77069000.0,249247000.0,0.2421347752,172178000.0,0.1672649273,-41137000.0,131041000.0,0.1273017652,27087000.0,103131000.0,0.1001881728,2.01,2.01,51308955,51428000,https://www.sec.gov/Archives/edgar/data/1100682/000110068223000009/0001100682-23-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068223000009/crl-20230401.htm,20.0622483930924,2.010000008770399,2.13185008347958,0.0488803367755199,3.928885318362067,61.52567324748672,-13.699908719637731,60.58585679634286,61.70410212018545,10355173298.1,13319559297.1,25.10198994022166,10.059690023052868,94.66894579687886,4128.858623189244,3.3311404785181224,3.3311404785181224,12.939487724177727,53.43919604689325,121.76992125924504,5310.83118338564,0.0099593697788643,0.0002421976849446,1.0184572007886517,0.4111952830589345,11.89336681685236,1.4758170027878768,0.0,1.0606219274514936,0.0,0.0,0.0,0.0,0.5013022377344635,0.9770713913496611,0.1038253383370265,1.386744345975684,0.0130759209732526,52.344965236116586,0.0203193735444139,0.0268591785853712,-70.52395142329443,466963000.0,-702928000.0,-3094266000.0,6229253000.0,770349500.0,162959500.0,259196500.0,68.92332516978782,16.65257412461261,36.43794810120728,1.3057988682103083,5.404569847671744,2.469952472351705,0.033176059810905,2.0829697272142846,2023-05-11,2.59,bmo,986350000.0,2025-04-23,2023-04-01,0.0733590733590733,226.6275806451613,574046.9677419355
2022-12-31,CRL,USD,1100682,2023-02-22,2023-02-22 09:17:29,2022,Q4,1099843000.0,700959000.0,398884000.0,0.3626735816,0,0.0,0.0,199640000.0,35434000.0,235074000.0,936033000.0,343000.0,34779000.0,77545000.0,357245000.0,0.3248145417,279700000.0,0.2543090241,-34779000.0,244921000.0,0.2226872381,55815000.0,187410000.0,0.1703970476,3.68,3.65,50906000,51377000,https://www.sec.gov/Archives/edgar/data/1100682/000110068223000006/0001100682-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068223000006/crl-20221231.htm,21.60537068322005,3.68149137626213,4.611578202962323,2.8627863120260875,4.614583742584371,59.39388284288689,-15.355223352846425,58.46644796291204,61.52624445055593,11092417400.0,13955781400.0,14.79699242302972,10.085455287709246,47.2506353378174,76.11465762730472,3.726923861326825,3.726923861326825,12.68888504995713,39.06501532561688,59.447775359201216,95.7626714608222,0.0168953252696747,0.013138073942295,1.0406488877271156,0.4073878336448426,8.015126873714118,1.318295872515654,8.042209379223094,1.241404291772868,0.0,0.0,0.0,0.0,0.5004988971124998,0.3792176591113364,0.0809424617877278,1.1480301760268232,0.020065591179832,69.59154969867485,0.0329136488072373,0.0493496931739902,-71.74317369268849,347447000.0,-781673000.0,-3140233000.0,6010042000.0,765444500.0,193772000.0,258665500.0,61.56796924651973,26.438564880399568,32.84473128956187,1.4617990669732452,3.4041182041133475,2.740165514114046,0.0629675908924289,1.7487918909362354,2023-02-22,2.75,bmo,1035027773.0,2025-04-23,2022-12-31,0.0836363636363636,218.37396825396823,623536.0952380953
2022-09-24,CRL,USD,1100682,2022-11-02,2022-11-02 16:13:44,2022,Q3,989157000.0,618934000.0,370223000.0,0.3742813325,0,0.0,0.0,183714000.0,-16616000.0,219247000.0,838181000.0,122000.0,11375000.0,74605000.0,226493000.0,0.2289757844,150976000.0,0.1526309777,-27869000.0,123107000.0,0.1244564816,25495000.0,96473000.0,0.0975305235,1.9,1.88,50870000,51283000,https://www.sec.gov/Archives/edgar/data/1100682/000110068222000032/0001100682-22-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068222000032/crl-20220924.htm,19.44480047179084,1.896461568704541,2.610163160998624,1.1870650678199333,3.8264399449577353,52.52494594063299,-21.074896795753883,51.63854924316886,66.128838215058,9538633700.0,12697531700.0,24.718402299088865,9.643194861887446,71.83842098524616,157.9610124863379,3.6312019363093406,3.6312019363093406,12.836720257754836,56.06147518907869,95.62906559019122,210.27277349054413,0.0101139222905687,0.0063306760589831,1.2762796395534886,0.4541113232717968,13.947000569554026,1.3955436533838694,13.272615384615383,1.360273327049953,0.0,0.0,0.0,0.0,0.5071300483599039,0.5452142281535484,0.0731865618905795,0.9703505127002212,0.0222401499458629,46.94077963056058,0.0186600889451856,0.0265127124874098,-74.73046491055632,401158000.0,-1072080000.0,-3295473000.0,5899160000.0,766921000.0,196505000.0,259143500.0,70.83295169523139,26.410909725431143,38.02825503203896,1.270595081046989,3.407682693842943,2.366661313388549,0.0367256942051953,1.4230980931786907,2022-11-02,2.51,bmo,970431176.0,2025-04-23,2022-09-24,0.047808764940239,215.87765625,562129.625
2022-06-25,CRL,USD,1100682,2022-08-03,2022-08-03 15:59:26,2022,Q2,973131000.0,654576000.0,318555000.0,0.3273505828,0,0.0,0.0,129780000.0,-39783000.0,129780000.0,784356000.0,188000.0,3703000.0,76421000.0,244759000.0,0.2515170106,188775000.0,0.1939872432,-43298000.0,144113000.0,0.1480920863,33449000.0,109321000.0,0.1123394486,2.15,2.13,50823000,51283000,https://www.sec.gov/Archives/edgar/data/1100682/000110068222000028/0001100682-22-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068222000028/crl-20220625.htm,19.147452924856857,2.1510143045471537,2.9410699879975604,1.3108631918619522,4.07551699033902,52.9898667925939,-23.6020305767074,52.09660980264841,67.25301536705823,11502261360.0,14710440360.0,26.303869704814264,11.81984887954448,76.9515859614381,172.64959562907148,4.344236618416093,4.344236618416093,15.116608514167158,60.1017341956782,98.41470998300709,220.804544444778,0.0095043049865109,0.0057920784370004,1.2895302575134853,0.4534643776543587,13.107501664903028,1.329109322749455,50.97893599783959,1.367294481389669,0.0,0.0,0.0,0.0,0.5169934075414899,0.5542903782597642,0.0851396163517553,1.0841522618128523,0.0153422303883033,50.21316998893751,0.0221904686511984,0.0300602381644394,-77.41056706609213,344951000.0,-1199526000.0,-3443171000.0,6003124000.0,731069500.0,218679000.0,238970000.0,69.85788141576006,29.063531201877243,35.303540001466594,1.2883299375250714,3.096664317038901,2.549319416587152,0.0412889497549954,1.630206796135608,2022-08-03,2.73,bmo,995181292.0,2025-04-23,2022-06-25,0.0146520146520146,244.34935483870967,552799.7096774194
