date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-01-25,CSCO,USD,858877,2025-02-18,2025-02-18 16:34:49,2025,Q2,13991000000.0,4880000000.0,9111000000.0,0.6512043457,2299000000,752000000.0,2672000000.0,3424000000.0,275000000.0,5998000000.0,10603000000.0,238000000.0,404000000.0,761000000.0,4052000000.0,0.2896147523,3113000000.0,0.2225001787,-226000000.0,2887000000.0,0.2063469373,459000000.0,2428000000.0,0.1735401329,0.61,0.61,3981000000,4005000000,https://www.sec.gov/Archives/edgar/data/858877/000085887725000007/0000858877-25-000007-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887725000007/csco-20250125.htm,3.514443607133886,0.6098970108013062,0.5629238884702336,0.6174328058276815,4.233358452650088,11.43682491836222,-5.85983421250942,11.43682491836222,7.897764380808842,247737630000.0,270218630000.0,25.508405065897858,17.70692802515903,110.5478045515395,100.788295362083,5.441195475510653,5.441195475510653,19.31374669430348,66.68771717670286,120.57948683623384,109.9343490642799,0.0098006911586261,0.0099217870131396,0.6816824072040413,0.2557116374871266,5.54812438302073,0.8666133586546391,7.705445544554456,0.922981878088962,0.006430189874667,0.6560955518945635,0.0537488385390608,0.1643199199485383,0.5673161688980433,0.0968317715305667,0.015509970695447,0.2851511169513798,0.0658280323064827,12.527726048340048,0.0282216775537304,0.0462326484757316,-12.803629741271038,-5338000000.0,-23328000000.0,-41164000000.0,65512000000.0,8161500000.0,1949000000.0,3035000000.0,56.241155028232434,35.07786885245901,53.98155737704918,1.6002516298753289,2.565720294426919,1.667236077895456,0.0533274763891939,0.0545089173574478,2025-02-12,0.91,amc,13870805641.0,2025-05-11,2025-01-25,0.0329670329670328,57.36571428571428,23376211.035714287
2024-10-26,CSCO,USD,858877,2024-11-19,2024-11-19 16:36:14,2025,Q1,13841000000.0,4720000000.0,9121000000.0,0.6589841774,2286000000,795000000.0,2752000000.0,3547000000.0,0.0,5833000000.0,11483000000.0,286000000.0,418000000.0,789000000.0,3474000000.0,0.2509934253,2358000000.0,0.170363413,-91000000.0,2267000000.0,0.1637887436,-444000000.0,2711000000.0,0.1958673506,0.68,0.68,3990000000,4013000000,https://www.sec.gov/Archives/edgar/data/858877/000085887724000030/0000858877-24-000030-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887724000030/csco-20241026.htm,3.468922305764411,0.6794486215538847,0.9175438596491228,0.8631578947368421,4.679448621553885,11.347619047619048,-6.075438596491228,11.347619047619048,8.12155388471178,222402600000.0,245324600000.0,20.50927701954998,16.0683910122101,60.74913957934991,64.57682926829268,4.912043642467478,4.912043642467478,17.724485225055993,70.61732872769142,67.0102704179186,71.23246225319396,0.0121896056970557,0.0154854304760825,0.7064734854341056,0.2593547550128514,6.598157743235463,0.8818509200335455,5.641148325358851,1.3504241977130211,0.0071581896974226,0.5872371818517153,0.0574380463839317,0.1651614767719095,0.5636609828675213,0.0592734225621414,0.0156780579437901,0.2750316856780735,0.0597500180622787,13.171096867612272,0.0296339937274583,0.0503762891387159,-13.064786967418549,-4790000000.0,-24241000000.0,-42304000000.0,66810000000.0,8801500000.0,2150000000.0,3258000000.0,49.28834621775883,38.059322033898304,59.93008474576271,1.8259894459102903,2.364729458917836,1.501749920458161,0.0598758751684078,0.0543859649122807,2024-11-13,0.872,amc,13775382648.0,2025-04-25,2024-10-26,0.0435779816513761,61.56283166666667,21096236.883333333
2024-07-27,CSCO,USD,858877,2024-09-05,2024-09-05 16:41:20,2024,Q4,13642000000.0,4861000000.0,8781000000.0,0.6436739481,2179000000,763000000.0,2841000000.0,3602000000.0,382000000.0,6163000000.0,11024000000.0,270000000.0,418000000.0,823000000.0,3637000000.0,0.2666031374,2618000000.0,0.191907345,-222000000.0,2396000000.0,0.1756340713,234000000.0,2162000000.0,0.1584811611,0.54,0.54,4018004824,4035000000,https://www.sec.gov/Archives/edgar/data/858877/000085887724000017/0000858877-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887724000017/csco-20240727.htm,3.395217426946524,0.5380780000775828,0.9283214339913892,0.8790432452701307,4.443498896107846,11.313326387385144,-6.078141035103944,11.313326387385144,7.80984627309646,192382070973.12,215836070973.12,22.2458453946716,14.1021896329805,51.57696272737802,54.468310015039634,4.232177023849352,4.232177023849352,15.821439009904706,59.344534224118775,57.86489838421448,61.10874036611551,0.0112380534686211,0.0183592991911054,0.6811272191301669,0.2488646684831971,6.448721473742095,0.9082889808791642,6.2631578947368425,1.725254394079556,0.0083479712629998,0.7428307123034228,0.0559302155109221,0.1597273127107462,0.5616696004436835,0.053083109919571,0.0145140008796364,0.2405832320777642,0.0586424277965107,11.703318795403966,0.0248220958786868,0.0396449921150108,-12.916423019207404,-3722000000.0,-24422000000.0,-42094000000.0,68247000000.0,9296500000.0,2179000000.0,3245500000.0,66.12446855299808,42.65788932318453,62.450113145443325,1.361069540057867,2.1098090277777777,1.4411503112955826,0.0475614316826891,0.0492781887212587,2024-08-14,0.849,amc,13534689421.0,2025-04-25,2024-07-27,0.0247349823321555,57.1125,18332018.078125
2024-04-27,CSCO,USD,858877,2024-05-21,2024-05-21 16:37:23,2024,Q3,12702000000.0,4608000000.0,8094000000.0,0.6372224846,1948000000,736000000.0,2559000000.0,3262000000.0,-118000000.0,5328000000.0,9936000000.0,411000000.0,357000000.0,861000000.0,3453000000.0,0.2718469532,2766000000.0,0.2177609825,44000000.0,2235000000.0,0.1759565423,349000000.0,1886000000.0,0.1484805542,0.47,0.46,4042000000,4060000000,https://www.sec.gov/Archives/edgar/data/858877/000085887724000007/0000858877-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887724000007/csco-20240427.htm,3.1425037110341414,0.466600692726373,0.9824344383968332,0.9408708560118751,4.643740722414647,11.323107372587828,-6.106877783275606,11.323107372587828,8.003463631865413,193450120000.0,216530120000.0,25.64291092258749,15.229894504802392,48.715718962477965,50.86776755193269,4.226754937947911,4.226754937947911,17.046931191938278,62.70782507964089,54.527856962981616,56.93666053115961,0.0097492831743914,0.0196588143755093,0.6990255200139835,0.260109920486512,6.684042861280046,0.8947342176124464,7.7478991596638656,2.105514316012725,0.0083484052633309,0.8563096500530223,0.0579436309242639,0.1533616753267202,0.5727898014601863,0.0423067237471669,0.0132262635805384,0.1951219512195122,0.0638482128798614,10.903018813014729,0.0246260666323051,0.0358923609789517,-12.4872587827808,-4222000000.0,-24684000000.0,-41344000000.0,68230000000.0,8465000000.0,1951000000.0,3163500000.0,60.72272083136514,40.1171875,60.8984375,1.482147024504084,2.243427458617332,1.4778704297626684,0.0412078307988114,0.0415635823849579,2024-05-15,0.828,amc,12534414719.0,2025-04-25,2024-04-27,0.0628019323671498,48.63515625,19024974.703125
2024-01-27,CSCO,USD,858877,2024-02-20,2024-02-20 16:37:31,2024,Q2,12791000000.0,4399000000.0,8392000000.0,0.6560863107,1943000000,642000000.0,2458000000.0,3100000000.0,-241000000.0,5284000000.0,9756000000.0,324000000.0,120000000.0,422000000.0,3530000000.0,0.2759752951,3108000000.0,0.2429833477,65000000.0,3161000000.0,0.2471268861,527000000.0,2634000000.0,0.2059260417,0.65,0.65,4055000000,4073000000,https://www.sec.gov/Archives/edgar/data/858877/000085887724000003/0000858877-24-000003-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887724000003/csco-20240127.htm,3.1543773119605425,0.6495684340320592,0.1992601726263871,0.1573366214549938,6.330702836004932,11.405918618988904,1.352897657213317,11.405918618988904,2.8914919852034524,211427700000.0,209317700000.0,20.06716970387244,16.529411304823704,261.66794554455447,331.3913793103448,4.571310890575339,4.571310890575339,16.364451567508404,59.296798866855525,259.0565594059406,328.08416927899685,0.0124581594559274,0.0030175800048905,0.250913493762297,0.1147033822918931,-0.5977337110481586,1.3654986872386632,25.9,0.3067577828397874,0.0074871930215388,0.6009870918754746,0.0501915409272144,0.1519036822766007,0.4029197224583391,0.2103960396039604,0.0132905949495739,0.4028436018957346,0.0627003361738722,12.911266617213004,0.0344123111894611,0.0436027744210299,-5.271886559802713,11276000000.0,5486000000.0,-12796000000.0,54046000000.0,8303500000.0,1966000000.0,3275500000.0,58.82260964740834,37.808592862014095,65.65355762673335,1.5300239234449762,2.3804112554112558,1.3708320349018386,0.0569501199974054,0.0419235511713933,2024-02-14,0.839,amc,12706333712.0,2025-04-25,2024-01-27,0.0369487485101311,47.48,19600549.53968254
2023-10-28,CSCO,USD,858877,2023-11-21,2023-11-21 16:38:58,2024,Q1,14668000000.0,5111000000.0,9557000000.0,0.6515544041,1913000000,672000000.0,2506000000.0,3178000000.0,-83000000.0,5158000000.0,10269000000.0,360000000.0,111000000.0,401000000.0,4831000000.0,0.3293564221,4276000000.0,0.2915189528,166000000.0,4442000000.0,0.3028361058,804000000.0,3638000000.0,0.248022907,0.9,0.89,4057000000,4087000000,https://www.sec.gov/Archives/edgar/data/858877/000085887723000031/0000858877-23-000031-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887723000031/csco-20231028.htm,3.6154794182893766,0.8967217155533646,0.5844219866896722,0.5513926546709391,5.7981266946019225,11.143702243036726,1.083559280256347,11.143702243036726,1.9129898940103525,209178920000.0,207226920000.0,14.374582188015394,14.260902645214072,88.22392239561367,93.50868126955744,4.626828577748286,4.626828577748286,14.12782383419689,42.89524322086525,87.4006410797132,92.63608404112652,0.0173918098439364,0.0106941942333386,0.1692103516921035,0.0774432588933206,-0.4040571310287725,1.4669502496763456,38.52252252252252,0.6517317207256734,0.0075533423731224,0.434304562946674,0.0458140169075538,0.1304199618216525,0.4131724403231357,0.0565162378743146,0.0091355331333515,0.3341645885286783,0.0450640850831742,14.994598872337829,0.0481466918522745,0.0627587634556997,-5.470236628050284,12624000000.0,4396000000.0,-13913000000.0,55442000000.0,8726500000.0,2198500000.0,3493000000.0,50.60199072811562,36.6973195069458,58.84954020739581,1.7785861525403177,2.4524952015355086,1.5293237582286057,0.0804689228046892,0.033029332018733,2023-11-15,1.03,amc,13785900000.0,2025-04-25,2023-10-28,0.0776699029126214,49.89262295081967,19933199.524590164
2023-07-29,CSCO,USD,858877,2023-09-07,2023-09-07 16:30:09,2023,Q4,15203000000.0,5455000000.0,9748000000.0,0.641189239,1953000000,690000000.0,2579000000.0,3269000000.0,17000000.0,5292000000.0,10747000000.0,312000000.0,111000000.0,422000000.0,5004000000.0,0.3291455634,4253000000.0,0.2797474183,218000000.0,4471000000.0,0.2940866934,513000000.0,3958000000.0,0.2603433533,0.97,0.97,4071000000,4093000000,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/0000858877-23-000023-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887723000023/csco-20230729.htm,3.7344632768361583,0.9722426922132156,1.465487595185458,1.4082535003684598,6.42250061409973,10.894866126258904,0.9825595676737904,10.894866126258904,2.088430361090641,212058390000.0,210326390000.0,13.394289413845376,13.948456883509834,35.54448374120014,36.98907901622187,4.781150993168445,4.781150993168445,13.834532000263106,42.031652677857714,35.25417197452229,36.686968428397,0.0186646706126553,0.0270350067262134,0.1891867517417085,0.0823842438047362,-0.3461231015187849,1.384522022421668,38.31531531531532,1.5073269327943406,0.0074932192025036,0.4014653865588681,0.0453857791225416,0.1284614878642373,0.3961925146290696,0.0390546429768689,0.015325922515293,0.5521327014218009,0.0416365191080707,15.437947221462824,0.0520921633205073,0.0643587700613018,-5.557971014492754,12039000000.0,4000000000.0,-14151000000.0,54477000000.0,8856000000.0,2377500000.0,3559000000.0,54.49845425245018,38.16131989000917,60.12098991750688,1.651422985009776,2.358408992650238,1.4969813391877058,0.0892386084368588,0.0572340948169982,2023-08-16,1.06,amc,15049900000.0,2025-04-25,2023-07-29,0.0754716981132074,51.09269841269842,18886082.095238097
2023-04-29,CSCO,USD,858877,2023-05-24,2023-05-24 16:38:19,2023,Q3,14571000000.0,5339000000.0,9232000000.0,0.6335872624,1962000000,641000000.0,2526000000.0,3167000000.0,157000000.0,5286000000.0,10625000000.0,262000000.0,109000000.0,451000000.0,4517000000.0,0.3099993137,3946000000.0,0.2708118866,11000000.0,3957000000.0,0.2715668108,745000000.0,3212000000.0,0.220437856,0.79,0.78,4089000000,4110000000,https://www.sec.gov/Archives/edgar/data/858877/000085887723000013/0000858877-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887723000013/csco-20230429.htm,3.563462949376376,0.7855221325507459,1.276351186109073,1.2103203717290292,5.695280019564685,10.343604793348009,0.479334800684764,10.343604793348009,2.079481535827831,193205250000.0,193555250000.0,15.037768524283935,13.25957381099444,37.01959187583829,39.03925035360679,4.568039957441778,4.568039957441778,13.28359412531741,42.85039849457605,37.08665453151945,39.10997171145686,0.016624807038111,0.0256152459625191,0.1984631753162312,0.0860667083636661,0.0774850564533982,1.3910651485079564,36.20183486238532,1.6248443337484433,0.0082451175627991,0.4959526774595267,0.0439914899457827,0.1346510191476219,0.4135692973372022,0.0517340486683272,0.0185299567634342,0.5986696230598669,0.0427561594948871,13.520925861400505,0.0454072243573806,0.0561597370353533,-5.82770848618244,11231000000.0,1960000000.0,-15284000000.0,53613000000.0,8650000000.0,2385500000.0,3307000000.0,52.53860407659049,41.16501217456453,58.56152837610039,1.7130260992240771,2.1863226863226863,1.536845135290731,0.0759427828348504,0.066030814380044,2023-05-17,0.97,amc,14393900000.0,2025-04-25,2023-04-29,0.0309278350515464,53.95412698412699,18246227.33333333
2023-01-28,CSCO,USD,858877,2023-02-21,2023-02-21 16:36:05,2023,Q2,13592000000.0,5165000000.0,8427000000.0,0.6199970571,1855000000,582000000.0,2384000000.0,2966000000.0,314000000.0,5135000000.0,10300000000.0,219000000.0,107000000.0,438000000.0,3960000000.0,0.2913478517,3292000000.0,0.2422012949,123000000.0,3415000000.0,0.2512507357,642000000.0,2773000000.0,0.2040170689,0.68,0.67,4103000000,4116000000,https://www.sec.gov/Archives/edgar/data/858877/000085887723000005/0000858877-23-000005-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887723000005/csco-20230128.htm,3.312698025834755,0.6758469412624909,1.155008530343651,1.1135754326102851,5.376797465269315,10.10821350231538,0.2320253473068486,10.10821350231538,2.1920545941993663,199036530000.0,198914530000.0,17.944151640822213,14.64365288404944,41.99968980797636,43.562383453709785,4.799067608622269,4.799067608622269,14.6346770158917,50.23094191919192,41.97394598016459,43.53568176843948,0.0139321158784269,0.0229555850878228,0.2142788252881323,0.0927274624373956,-0.0308080808080808,1.4132907676500808,30.76635514018692,1.708979444644789,0.0078377572197425,0.562567616300036,0.0428193054738081,0.1364773396115361,0.4228088480801336,0.0358725469508335,0.0125073572689817,0.3881278538812785,0.0442171865803413,12.398028733886743,0.0382760571558264,0.0501283488195524,-5.883378016085791,11263000000.0,952000000.0,-15851000000.0,53749000000.0,8958000000.0,2322500000.0,2902000000.0,58.22984108299,40.58276863504357,54.714424007744434,1.5455992722310667,2.217689995706312,1.644904458598726,0.0668611660317307,0.0414330977333658,2023-02-15,0.86,amc,13419365106.0,2025-04-25,2023-01-28,0.0232558139534883,49.18758064516129,18736077.677419357
2022-10-29,CSCO,USD,858877,2022-11-22,2022-11-22 16:40:00,2023,Q1,13632000000.0,5286000000.0,8346000000.0,0.6122359155,1781000000,565000000.0,2391000000.0,2956000000.0,71000000.0,4808000000.0,10094000000.0,169000000.0,100000000.0,415000000.0,3990000000.0,0.292693662,3540000000.0,0.2596830986,-65000000.0,3475000000.0,0.2549149061,805000000.0,2670000000.0,0.1958626761,0.65,0.65,4108000000,4116000000,https://www.sec.gov/Archives/edgar/data/858877/000085887722000025/0000858877-22-000025-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887722000025/csco-20221029.htm,3.31840311587147,0.6499513145082765,0.9644595910418696,0.921616358325219,4.815968841285297,9.803310613437196,-0.0603700097370983,9.803310613437196,2.185491723466407,187489120000.0,189075120000.0,17.55516104868914,13.753603286384976,47.32183745583039,49.52169043845747,4.655570123162495,4.655570123162495,13.869947183098592,47.387248120300754,47.722140333165065,49.94060221870048,0.0142408263476835,0.0201931717424456,0.220450933651172,0.0954069679970769,0.3974937343358396,1.4516789845758356,35.4,1.4838951310861423,0.0083204828098825,0.5842696629213483,0.0414465962441314,0.1306484741784037,0.4354460850688847,0.04442200908632,0.0129107981220657,0.4240963855421686,0.0363849765258215,11.973415508703855,0.0391883015552201,0.0508242281189325,-6.042964946445959,11245000000.0,-248000000.0,-16641000000.0,53737000000.0,9824500000.0,2298500000.0,2616000000.0,60.22447183098592,39.43246311010216,45.35754824063564,1.4944091208068406,2.2823834196891197,1.9842342342342345,0.0662991656734207,0.0428432327166504,2022-11-16,0.84,amc,13312659211.0,2025-04-25,2022-10-29,0.0238095238095238,48.8358064516129,18430398.04838709
2022-07-30,CSCO,USD,858877,2022-09-08,2022-09-08 16:47:54,2022,Q4,13102000000.0,5150000000.0,7952000000.0,0.6069302397,1682000000,489000000.0,2349000000.0,2798000000.0,-54000000.0,4480000000.0,9630000000.0,129000000.0,93000000.0,430000000.0,3939000000.0,0.3006411235,3472000000.0,0.2649977103,-56000000.0,3416000000.0,0.2607235537,601000000.0,2815000000.0,0.2148526942,0.68,0.68,4128000000,4137000000,https://www.sec.gov/Archives/edgar/data/858877/000085887722000013/0000858877-22-000013-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887722000013/csco-20220730.htm,3.173934108527132,0.6819282945736435,0.8907461240310077,0.8570736434108527,4.667393410852713,9.634932170542635,-0.2664728682170542,9.634932170542635,2.3275193798449614,187287360000.0,189723360000.0,16.63298046181172,14.294562662188978,50.9348273048681,52.935941209723005,4.708907047494532,4.708907047494532,14.480488475041978,48.16536176694593,51.59732390535763,53.62446579988694,0.0150303789855332,0.0188907569629899,0.239232645261861,0.1012212506116891,0.6184310738766184,1.4320202808112326,37.333333333333336,1.3062166962699822,0.008366821978803,0.5566607460035524,0.0373225461761563,0.1283773469699282,0.4348098976617519,0.0378025564318738,0.0106090673179667,0.3232558139534883,0.0365593039230651,12.15863846926516,0.0411907047261572,0.052984245892074,-6.245821220930233,11077000000.0,-1100000000.0,-17512000000.0,53947000000.0,10057000000.0,2285000000.0,2399500000.0,72.31186078461303,39.8621359223301,44.87766990291262,1.2446091004084734,2.257781674704077,2.0054517133956384,0.0707766575314912,0.033672480620155,2022-08-17,0.82,amc,12732066990.0,2025-04-25,2022-07-30,0.0121951219512195,45.5152380952381,19284046.52380952
2022-04-30,CSCO,USD,858877,2022-05-25,2022-05-25 16:34:27,2022,Q3,12835000000.0,4714000000.0,8121000000.0,0.632723023,1708000000,517000000.0,2209000000.0,2726000000.0,166000000.0,4511000000.0,9225000000.0,115000000.0,90000000.0,478000000.0,4369000000.0,0.340397351,3610000000.0,0.2812621737,191000000.0,3801000000.0,0.296143358,757000000.0,3044000000.0,0.2371640047,0.73,0.73,4152000000,4170000000,https://www.sec.gov/Archives/edgar/data/858877/000085887722000009/0000858877-22-000009-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887722000009/csco-20220430.htm,3.091281310211946,0.733140655105973,0.8817437379576107,0.8562138728323699,4.842967244701349,9.730250481695569,-0.2078516377649325,9.730250481695569,2.289980732177264,203364960000.0,205830960000.0,16.702115637319316,15.844562524347488,55.54901939360831,57.205333333333336,5.033786138613861,5.033786138613861,16.036693416439423,47.11168688487068,56.22260584539743,57.899004219409285,0.0149681636403832,0.0174808875629311,0.2331188118811881,0.1014903499035529,0.5644312199588006,1.4898964803312629,40.11111111111112,1.2026938239159002,0.0076463516625479,0.5108409986859396,0.0402804830541488,0.133073626801714,0.4446587712964859,0.0289538377492488,0.0082586677054927,0.2217573221757322,0.0371640046747175,12.669133742334113,0.0415098884404277,0.0590677998990957,-5.776312620423892,11831000000.0,-863000000.0,-16416000000.0,55140000000.0,9793500000.0,2195000000.0,2145000000.0,67.22477600311647,43.7017394993636,42.594399660585495,1.338792114321477,2.0594145915246838,2.112953832362169,0.0753465346534653,0.0255298651252408,2022-05-18,0.86,amc,13367326943.0,2025-04-25,2022-04-30,0.0116279069767441,44.36578125,18862141.40625
2022-01-29,CSCO,USD,858877,2022-02-22,2022-02-22 17:12:26,2022,Q2,12720000000.0,4671000000.0,8049000000.0,0.6327830189,1670000000,544000000.0,2266000000.0,2810000000.0,93000000.0,4559000000.0,9230000000.0,111000000.0,88000000.0,516000000.0,4006000000.0,0.3149371069,3487000000.0,0.2741352201,116000000.0,3603000000.0,0.283254717,630000000.0,2973000000.0,0.2337264151,0.71,0.71,4183000000,4205000000,https://www.sec.gov/Archives/edgar/data/858877/000085887722000004/0000858877-22-000004-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887722000004/csco-20220129.htm,3.0408797513746118,0.7107339230217548,0.5883337317714559,0.5620368156825245,5.047334448960076,9.442027253167582,-0.5407602199378436,9.442027253167582,2.763327755199618,232616630000.0,237356630000.0,19.560766061217624,18.287470911949686,94.5211824461601,98.94369629944704,5.88962502531902,5.88962502531902,18.660112421383648,59.25028207688467,96.44722876879317,100.9598596341982,0.0127806855425598,0.0101067580593872,0.2904344743771521,0.1216927287772379,1.183225162256615,1.419988423692842,39.625,0.8277833837874201,0.0066246338449662,0.5183316515304406,0.0427672955974842,0.1312893081761006,0.4429992998238951,0.0446972775294595,0.0086477987421383,0.2131782945736434,0.0375,12.287892581551471,0.0406114849527702,0.0566242571994514,-6.006096103275161,10884000000.0,-2262000000.0,-17967000000.0,54782000000.0,9688000000.0,2181000000.0,1945500000.0,70.75471698113208,40.48169556840077,39.67244701348748,1.272,2.2232270347453595,2.268576979116076,0.0752734454121936,0.0262969160889313,2022-02-16,0.81,amc,12663781128.0,2025-04-25,2022-01-29,0.0370370370370369,47.869516129032256,24518620.032258064
2021-10-30,CSCO,USD,858877,2021-11-23,2021-11-23 16:41:46,2022,Q1,12900000000.0,4847000000.0,8053000000.0,0.6242635659,1714000000,551000000.0,2261000000.0,2812000000.0,187000000.0,4610000000.0,9457000000.0,121000000.0,89000000.0,533000000.0,3995000000.0,0.3096899225,3438000000.0,0.2665116279,219000000.0,3657000000.0,0.2834883721,677000000.0,2980000000.0,0.2310077519,0.71,0.7,4218000000,4243000000,https://www.sec.gov/Archives/edgar/data/858877/000085887721000018/0000858877-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887721000018/csco-20211030.htm,3.058321479374111,0.7064959696538644,0.812470365101944,0.7835467045993362,5.534850640113798,10.123518255097204,0.1301564722617354,10.123518255097204,2.2738264580369845,236081460000.0,237964460000.0,19.80549161073825,18.300888372093024,68.88866647213307,71.43160665658094,5.528710334652584,5.528710334652584,18.446857364341085,59.5655719649562,69.4381266413773,72.00134947049925,0.0126227616518467,0.0139994051205884,0.2225240626683216,0.0989987601712839,0.4713391739674593,1.6175230226353388,38.62921348314607,1.15,0.0066121244760177,0.5238255033557047,0.0427131782945736,0.1328682170542635,0.4391702524457965,0.0355996498395097,0.0094573643410852,0.2288930581613508,0.0351162790697674,12.685624108956116,0.0382468326904674,0.0553604934143305,-5.212422949265054,14350000000.0,549000000.0,-15692000000.0,58740000000.0,9761000000.0,2311500000.0,1695500000.0,65.41395348837209,41.98266969259336,34.01691768103982,1.3758532423208192,2.1437417072091995,2.6457423580786026,0.0697875927964216,0.0289236605026078,2021-11-17,0.8,amc,12987300000.0,2025-04-25,2021-10-30,0.0249999999999998,56.58403225806452,22590425.48387097
2021-07-31,CSCO,USD,858877,2021-09-09,2021-09-09 16:39:49,2021,Q4,13126000000.0,4782000000.0,8344000000.0,0.6356849002,1713000000,521000000.0,2448000000.0,2969000000.0,128000000.0,4761000000.0,9543000000.0,130000000.0,98000000.0,489000000.0,4322000000.0,0.3292701508,3575000000.0,0.2723602011,160000000.0,3735000000.0,0.2845497486,726000000.0,3009000000.0,0.229239677,0.71,0.71,4216000000,4233000000,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/0000858877-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/csco-20210731.htm,3.1133776091081597,0.7137096774193549,1.0683111954459203,1.02988614800759,5.815464895635674,9.790085388994308,-0.1214421252371916,9.790085388994308,2.757115749525617,233439920000.0,235790920000.0,19.39514124293785,17.78454365381685,51.829467140319714,53.76322432058959,5.655721865536038,5.655721865536038,17.963653816852048,54.55597408607127,52.35144760213144,54.304679871027176,0.0128898262131001,0.0186000749143505,0.2792489400363416,0.1182190221237576,0.543961129106895,1.4895837300529382,36.47959183673469,1.4968428049185776,0.006691229160805,0.5191093386507145,0.0396922139265579,0.1305043425262837,0.4285978030093234,0.0359680284191829,0.0123419168063385,0.3312883435582822,0.0323023007770836,12.53849155241407,0.0390532679070134,0.0540118470651588,-5.530123339658444,12855000000.0,-512000000.0,-17110000000.0,56980000000.0,9609500000.0,2401000000.0,1569000000.0,69.5672710650617,44.45420326223337,29.34127979924717,1.29371180760891,2.024555461473328,3.067350865939705,0.07290127195639,0.0384250474383301,2021-08-18,0.82,amc,12987300000.0,2025-04-25,2021-07-31,0.024390243902439,57.133125,19959298.15625
