date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,CSX,USD,277948,2025-04-16,2025-04-16 16:02:05,2025,Q1,3423000000.0,2382000000.0,1041000000.0,0.3041191937,0,0.0,0.0,0.0,0.0,0.0,2382000000.0,0.0,209000000.0,425000000.0,1492000000.0,0.4358749635,1041000000.0,0.3041191937,-183000000.0,858000000.0,0.2506573181,212000000.0,646000000.0,0.1887233421,0.34,0.34,1890000000,1892000000,https://www.sec.gov/Archives/edgar/data/277948/000027794825000028/0000277948-25-000028-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794825000028/csx-20250331.htm,1.8111111111111111,0.3417989417989418,0.6640211640211641,0.2835978835978835,0.6068783068783069,6.441798941798941,6.214285714285714,6.441798941798941,10.488888888888887,55622700000.0,74098700000.0,21.52581269349845,16.249693251533742,44.3208764940239,103.77369402985074,4.568599589322382,4.568599589322382,21.64729769208297,49.66400804289544,59.04278884462151,138.2438432835821,0.0116139633638784,0.009636353503156,1.611088295687885,0.4540614366073289,12.383378016085793,0.8827828120432623,4.980861244019139,1.9427244582043344,0.0044046765079724,0.3792569659442724,0.0,0.0,0.0099539341188453,0.5729083665338646,0.210049664037394,1.6917647058823528,0.0,7.038501359361912,0.019408741717634,0.0151043980453131,-15.273015873015874,-401000000.0,11745000000.0,-28004000000.0,36373000000.0,1337000000.0,1302500000.0,207000000.0,35.44259421560035,49.68513853904282,0.0,2.5393175074183976,1.811406844106464,0.0,0.0530595482546201,0.3804232804232804,2025-04-16,0.365,amc,3452325378.0,2025-05-11,2025-03-31,-0.0684931506849314,31.7635,14709773.283333331
2024-12-31,CSX,USD,277948,2025-02-27,2025-02-27 14:08:11,2024,Q4,3539000000.0,2328000000.0,1211000000.0,0.3421870585,0,0.0,0.0,0.0,105000000.0,105000000.0,2433000000.0,85000000.0,207000000.0,422000000.0,1565000000.0,0.4422153151,1106000000.0,0.3125176604,-170000000.0,936000000.0,0.2644814919,203000000.0,733000000.0,0.2071206556,0.38,0.38,1936000000,1943000000,https://www.sec.gov/Archives/edgar/data/277948/000027794825000008/0000277948-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794825000008/csx-20241231.htm,1.827995867768595,0.3786157024793388,0.7169421487603306,0.2840909090909091,0.5191115702479339,6.4602272727272725,6.2365702479338845,6.457644628099174,9.915289256198347,62474720000.00001,80530720000.0,21.307885402455664,17.653212771969486,45.01060518731989,113.59040000000002,4.997178051511758,4.997178051511758,22.755218988414807,51.45732907348243,58.019250720461095,146.4194909090909,0.0117327456609649,0.0088035608642983,1.5188769796832506,0.4440417173323356,11.537380191693291,0.8608058608058609,5.342995169082125,1.893587994542974,0.0036814890887066,0.3137789904502046,0.0,0.0,0.010125339070246,0.6037463976945245,0.2367900536874823,1.985781990521327,0.0,7.416989098526988,0.0216024926891889,0.0173159150504358,-14.488894628099173,-456000000.0,12074000000.0,-27437000000.0,36122000000.0,1369500000.0,1295500000.0,414500000.0,33.7213902232269,49.87113402061856,16.005154639175256,2.6689291101055805,1.8046511627906976,5.6231884057971016,0.0586306191009438,0.4328512396694214,2025-01-23,0.44,amc,3557748729.0,2025-04-25,2024-12-31,-0.0454545454545455,34.29609375,11754063.984375
2024-09-30,CSX,USD,277948,2024-10-17,2024-10-16 17:36:04,2024,Q3,3619000000.0,2264000000.0,1355000000.0,0.3744128212,0,0.0,0.0,1000000.0,0.0,1000000.0,2263000000.0,0.0,206000000.0,416000000.0,1806000000.0,0.499032882,1354000000.0,0.3741365018,-170000000.0,1184000000.0,0.3271621995,290000000.0,894000000.0,0.2470295662,0.46,0.46,1936000000,1940000000,https://www.sec.gov/Archives/edgar/data/277948/000027794824000054/0000277948-24-000054-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794824000054/csx-20240930.htm,1.869318181818182,0.4617768595041322,0.8708677685950413,0.5480371900826446,0.8553719008264463,6.681818181818182,6.400826446280992,6.679235537190083,9.93853305785124,66850080000.0,84241080000.0,18.694093959731543,18.471975683890577,39.65010676156584,63.006672950047125,5.169753306008816,5.169753306008816,23.27744680851064,46.64511627906977,49.96505338078292,79.39781338360038,0.0133732076311651,0.0158713347837429,1.4720439254504678,0.4419652186027072,9.629568106312291,1.3923705722070845,6.572815533980583,1.8859060402684564,0.0034704520922039,0.2595078299776286,0.0,0.0,0.012630894610973,0.370699881376038,0.1726996407847471,1.5024038461538465,0.0,8.330493336572014,0.0252397542706385,0.0210229276895943,-14.054622933884298,1008000000.0,12392000000.0,-26556000000.0,37220000000.0,1421500000.0,1246500000.0,416000000.0,35.13954130975407,51.71819787985866,16.497349823321553,2.5612172682236376,1.7401998462720984,5.455421686746988,0.0691361843631583,0.3228305785123967,2024-10-16,0.48,amc,3675280006.0,2025-04-25,2024-09-30,-0.0416666666666665,33.93578125,10748585.96875
2024-06-30,CSX,USD,277948,2024-08-05,2024-08-05 16:03:16,2024,Q2,3701000000.0,2269000000.0,1432000000.0,0.3869224534,0,0.0,0.0,0.0,28000000.0,386000000.0,2269000000.0,0.0,209000000.0,410000000.0,1862000000.0,0.5031072683,1432000000.0,0.3869224534,-181000000.0,1267000000.0,0.3423399081,304000000.0,963000000.0,0.260199946,0.5,0.49,1944000000,1948000000,https://www.sec.gov/Archives/edgar/data/277948/000027794824000047/0000277948-24-000047-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794824000047/csx-20240630.htm,1.90380658436214,0.4953703703703703,0.5601851851851852,0.2813786008230453,0.6388888888888888,6.491769547325103,6.216563786008231,6.489711934156379,9.88528806584362,65298960000.00001,83068960000.0,16.95196261682243,17.643599027289923,59.96231404958678,119.3765265082267,5.175884590995562,5.175884590995562,22.44500405295866,44.6127604726101,76.28003673094582,151.86281535648993,0.0147475549380878,0.0083768562317072,1.5066582117945466,0.4487040271941834,9.543501611170784,1.1610076670317635,6.851674641148326,1.1308411214953271,0.0035682038427564,0.2419522326064382,0.0,0.0,0.0126292431896511,0.497704315886134,0.1464469062415563,1.3219512195121952,0.0035125641718454,8.504895507850247,0.0270883628250614,0.0230234059339661,-14.001543209876544,441000000.0,12085000000.0,-26562000000.0,36430000000.0,1415000000.0,1249000000.0,434000000.0,34.77438530126992,47.28074041427941,16.54032613486117,2.588111888111888,1.903523489932886,5.4412470023980815,0.0763316423589093,0.2788065843621399,2024-08-05,0.48,amc,3697941910.0,2025-04-25,2024-06-30,0.0208333333333333,33.96190476190476,12305654.047619049
2024-03-31,CSX,USD,277948,2024-04-18,2024-04-17 17:40:02,2024,Q1,3681000000.0,2328000000.0,1353000000.0,0.3675631622,0,0.0,0.0,0.0,41000000.0,-2327000000.0,2328000000.0,0.0,210000000.0,410000000.0,1757000000.0,0.4773159468,1354000000.0,0.3678348275,-169000000.0,1185000000.0,0.3219233904,292000000.0,893000000.0,0.2425971203,0.46,0.46,1958000000,1962000000,https://www.sec.gov/Archives/edgar/data/277948/000027794824000032/0000277948-24-000032-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794824000032/csx-20240331.htm,1.879979570990807,0.4560776302349336,0.5536261491317671,0.2860061287027579,0.7584269662921348,6.4361593462717055,6.170582226762002,6.433605720122574,9.812053115423902,72015240000.0,89534240000.0,20.161041433370663,19.564042379788106,66.43472324723247,128.59864285714286,5.716856394379614,5.716856394379614,24.32334691659875,50.958588503130336,82.59616236162361,159.88257142857142,0.0124001530787094,0.0077761318298737,1.5084543939033104,0.4450638248038412,9.970973249857712,1.148148148148148,6.447619047619048,1.213885778275476,0.0032631981786077,0.2631578947368421,0.0,0.0,0.0121794121091462,0.4833948339483395,0.1423526215702255,1.278048780487805,0.0043466449334419,8.125271204134474,0.0256074917970049,0.0211736810906935,-13.959397344228805,448000000.0,12082000000.0,-26621000000.0,36531000000.0,1396500000.0,1271500000.0,448500000.0,34.229828850855746,50.48969072164948,17.435567010309278,2.6292857142857144,1.782542113323124,5.1618625277161865,0.0708898944193061,0.2676200204290092,2024-04-17,0.45,amc,3666841208.0,2025-04-25,2024-03-31,0.0222222222222222,36.49327868852459,11666242.819672132
2023-12-31,CSX,USD,277948,2024-02-14,2024-02-14 15:34:39,2023,Q4,3680000000.0,2368000000.0,1312000000.0,0.3565217391,0,0.0,0.0,0.0,-75000000.0,-75000000.0,2368000000.0,79000000.0,204000000.0,417000000.0,1742000000.0,0.4733695652,1312000000.0,0.3565217391,-171000000.0,1149000000.0,0.3122282609,263000000.0,886000000.0,0.2407608696,0.45,0.45,1964567672,1969000000,https://www.sec.gov/Archives/edgar/data/277948/000027794824000010/0000277948-24-000010-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794824000010/csx-20231231.htm,1.8731856644335536,0.4509898094261219,0.7635267653941116,0.4117954354692242,0.7309496234039629,6.17591349635117,5.918350467491557,6.17336840713319,9.822008310029853,68111561188.240005,85850561188.24,19.218837807065466,18.508576409847823,45.40770745882667,84.19228824257108,5.616058805098945,5.616058805098945,23.32895684463044,49.28275613561424,57.23370745882667,106.11935869992584,0.0130080706497295,0.0118775724104189,1.5742084432717678,0.4443099837095648,10.183122847301952,1.0496277915632757,6.431372549019608,1.693002257336343,0.0031712677881959,0.2437923250564334,0.0,0.0,0.01177565743542,0.4606666666666666,0.1877717391304348,1.6570743405275778,0.0040760869565217,7.914723016797896,0.0250592035410973,0.0208647324792765,-14.32032624834926,160000000.0,11627000000.0,-27453000000.0,36099000000.0,1396000000.0,1219000000.0,436500000.0,34.067934782608695,47.014358108108105,16.951013513513512,2.641780330222541,1.9143088116410671,5.309417040358745,0.0730540897097625,0.3517313299248874,2024-01-24,0.44,amc,3626120000.0,2025-04-25,2023-12-31,0.0227272727272727,31.854444444444443,12516259.396825396
2023-09-30,CSX,USD,277948,2023-10-20,2023-10-19 17:47:07,2023,Q3,3572000000.0,2283000000.0,1289000000.0,0.360862262,0,0.0,0.0,0.0,34000000.0,-2277000000.0,2283000000.0,203000000.0,203000000.0,399000000.0,1694000000.0,0.4742441209,1295000000.0,0.3625419933,-169000000.0,1126000000.0,0.3152295633,280000000.0,846000000.0,0.2368421053,0.42,0.42,1994000000,1999000000,https://www.sec.gov/Archives/edgar/data/277948/000027794823000053/0000277948-23-000053-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794823000053/csx-20230930.htm,1.7913741223671014,0.4242728184553661,0.7853560682046138,0.4969909729187562,0.7216649949849548,5.994984954864594,5.739719157472417,5.992978936810431,9.60481444332999,61315500000.0,78904500000.0,18.119237588652485,17.165593505039194,39.15421455938698,61.872351160444,5.131004184100418,5.131004184100418,22.089725643896976,46.578807556080285,50.3860153256705,79.62108980827448,0.0137974900310688,0.0161623080623985,1.5856903765690376,0.4527837514934289,10.383116883116884,1.1448534423994547,6.379310344827586,1.851063829787234,0.0035553815919302,0.2576832151300236,0.0,0.0,0.0121624850657108,0.3671775223499361,0.1609742441209406,1.4411027568922306,0.0041993281075028,7.5637164443443154,0.0246478817787186,0.0204639462035267,-13.638039117352056,425000000.0,11445000000.0,-26537000000.0,36086000000.0,1363000000.0,1160500000.0,427000000.0,35.2491601343785,47.34559789750328,16.83311432325887,2.55325232308792,1.900915903413822,5.346604215456675,0.0707949790794979,0.2883650952858576,2023-10-19,0.43,amc,3598990000.0,2025-04-25,2023-09-30,-0.0232558139534883,31.682222222222222,13456310.904761905
2023-06-30,CSX,USD,277948,2023-07-20,2023-07-20 17:28:15,2023,Q2,3699000000.0,2229000000.0,1470000000.0,0.397404704,0,0.0,0.0,0.0,31000000.0,31000000.0,2229000000.0,201000000.0,201000000.0,402000000.0,1915000000.0,0.5177074885,1482000000.0,0.400648824,-186000000.0,1312000000.0,0.3546904569,316000000.0,984000000.0,0.2660178427,0.49,0.49,2020000000,2025000000,https://www.sec.gov/Archives/edgar/data/277948/000027794823000043/0000277948-23-000043-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794823000043/csx-20230630.htm,1.8311881188118813,0.4871287128712871,0.6099009900990099,0.3267326732673267,0.5118811881188119,6.076237623762376,5.823267326732673,6.076237623762376,8.964851485148515,68882000000.0,85834000000.0,17.5005081300813,18.621789672884564,55.91071428571429,104.36666666666666,5.612025419586118,5.612025419586118,23.20464990537983,44.82193211488251,69.67045454545455,130.05151515151516,0.0142852994976917,0.0095816033216224,1.4590190646895878,0.4344809180677875,8.852219321148825,1.41654501216545,7.373134328358209,1.2369477911646587,0.0032229029354548,0.2256097560975609,0.0,0.0,0.0123977970254991,0.4642857142857143,0.1546363882130305,1.4228855721393034,0.004595836712625,8.160757978716054,0.0287208944666797,0.0241733405394782,-13.217945544554455,856000000.0,11763000000.0,-26032000000.0,35844000000.0,1352000000.0,1161500000.0,410500000.0,32.28710462287105,45.22207267833109,17.24091520861373,2.787490580256217,1.9901785714285711,5.220140515222482,0.0801694639074466,0.2831683168316831,2023-07-20,0.49,amc,3734740000.0,2025-04-25,2023-06-30,0.0,31.63193548387097,12128577.016129032
2023-03-31,CSX,USD,277948,2023-04-20,2023-04-20 17:28:08,2023,Q1,3706000000.0,2250000000.0,1456000000.0,0.3928764166,0,0.0,0.0,0.0,41000000.0,41000000.0,2250000000.0,201000000.0,201000000.0,393000000.0,1838000000.0,0.4959525094,1464000000.0,0.3950350783,-160000000.0,1304000000.0,0.3518618457,317000000.0,987000000.0,0.2663248786,0.48,0.48,2054000000,2058000000,https://www.sec.gov/Archives/edgar/data/277948/000027794823000027/0000277948-23-000027-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794823000027/csx-20230331.htm,1.804284323271665,0.4805258033106134,0.6090555014605648,0.3933787731256086,0.7151898734177216,6.004868549172347,5.761441090555015,6.004868549172347,8.823271665043817,61496760000.0,78127760000.0,15.576686930091183,16.59383702104695,49.15808153477219,76.10985148514851,4.985954272742014,4.985954272742014,21.08142471667566,42.50694232861807,62.45224620303757,96.69277227722772,0.0160496260290786,0.0131389035780096,1.4530565915355926,0.4320844785187328,9.048422198041347,1.4454976303317535,7.2835820895522385,1.2674772036474165,0.0036749903572155,0.2289766970618034,0.0,0.0,0.0120545831525145,0.3541167066346922,0.1195358877495952,1.1272264631043256,0.0035078251484079,8.057519554784077,0.0282910614399133,0.0240860949777929,-12.875,1034000000.0,11834000000.0,-25789000000.0,35827000000.0,1345000000.0,1166500000.0,367500000.0,33.440366972477065,48.12,15.76,2.691358024691358,1.8703241895261848,5.710659898477157,0.0800227014755959,0.2156767283349561,2023-04-20,0.43,amc,3586480000.0,2025-04-25,2023-03-31,0.1162790697674418,30.740806451612904,13880633.596774194
2022-12-31,CSX,USD,277948,2023-02-15,2023-02-15 11:55:01,2022,Q4,3730000000.0,2326000000.0,1404000000.0,0.3764075067,0,0.0,0.0,0.0,44000000.0,44000000.0,2326000000.0,157000000.0,199000000.0,393000000.0,1846000000.0,0.4949061662,1459000000.0,0.391152815,-155000000.0,1304000000.0,0.3495978552,286000000.0,1018000000.0,0.272922252,0.49,0.49,2076435616,2077551020,https://www.sec.gov/Archives/edgar/data/277948/000027794823000006/0000277948-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/277948/000027794823000006/csx-20221231.htm,1.7963475348132345,0.4902632145951401,0.6568949162158852,0.321705134920976,1.0050877493713728,6.080130731103776,5.838370285399689,6.080130731103776,8.78717349067085,64327975383.68,80416975383.68,15.797636390884088,17.246106000986597,47.16127227542522,96.29936434682637,5.095285178905347,5.095285178905347,21.55951082672386,43.562825234929576,58.95672682087976,120.3846936881437,0.015825152181896,0.010384284535861,1.4294653465346534,0.4305926703569383,8.715601300108343,1.557668959935249,7.331658291457287,1.3398821218074657,0.0032178845792264,0.2033398821218074,0.0,0.0,0.0119774766176751,0.5102639296187683,0.1865951742627346,1.7709923664122138,0.0045576407506702,8.189593997339967,0.0287185043550841,0.0245834339531514,-12.543008701696245,1378000000.0,12123000000.0,-25438000000.0,36122000000.0,1390000000.0,1141000000.0,353000000.0,31.68096514745308,43.72312983662941,13.19432502149613,2.8408225437928407,2.0584070796460177,6.821114369501466,0.0806336633663366,0.3351897812949092,2023-01-25,0.46,amc,3732033961.0,2025-04-25,2022-12-31,0.0217391304347825,30.07174603174603,14905825.507936507
