date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,CVS,USD,64803,2025-05-01,2025-05-01 06:35:46,2025,Q1,94588000000.0,80192000000.0,14396000000.0,0.152196896,0,0.0,0.0,0.0,11022000000.0,11022000000.0,91214000000.0,0.0,785000000.0,1154000000.0,4556000000.0,0.0481667865,3374000000.0,0.0356704867,-757000000.0,2617000000.0,0.0276673574,835000000.0,1779000000.0,0.0188078826,1.4107850911974624,1.4074367088607596,1261000000,1264000000,https://www.sec.gov/Archives/edgar/data/64803/000006480325000013/0000064803-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480325000013/cvs-20250331.htm,75.01030927835052,1.4107850911974624,3.613005551149881,3.0237906423473437,10.034892942109437,61.149881046788266,-32.2466296590008,61.00634417129263,65.02616970658208,85432750000.0,156569750000.0,12.005726531759414,0.9032091808686092,18.75170105355575,22.4056517178075,1.1105402384016432,1.1105402384016432,1.6552813253266798,46.404786603438055,34.365616769095695,41.06209021767637,0.0208233961800363,0.0446315961970087,1.0556877120461725,0.3177533892834086,21.083876704208656,0.822731309225391,4.298089171974523,0.0,0.0098322949922599,0.4721753794266441,0.0,0.0,0.460797777647358,0.163081650570676,0.0078551190425846,0.0,0.0,44.00572597480604,0.0133345664999069,0.0129088903723913,-101.03865979381445,-15770000000.0,-40663000000.0,-105284000000.0,130563000000.0,38047000000.0,16213000000.0,17746000000.0,37.70298557956612,18.55621508379888,19.51129788507582,2.3870788643533123,4.85012701100762,4.612712108139201,0.0231252193581094,0.5892149088025377,2025-05-01,1.7,bmo,93678681216.0,2025-05-11,2025-03-31,0.3235294117647059,59.848,10992504.8
2024-12-31,CVS,USD,64803,2025-02-12,2025-02-12 06:47:38,2024,Q4,97710000000.0,84811000000.0,12899000000.0,0.1320131,0,0.0,0.0,-40000000.0,10521000000.0,10481000000.0,94063000000.0,0.0,758000000.0,1147000000.0,4027000000.0,0.0412137959,2368000000.0,0.0242349811,-242000000.0,2126000000.0,0.0217582643,503000000.0,1644000000.0,0.0168252994,1.31,1.3,1259000000,1261000000,https://www.sec.gov/Archives/edgar/data/64803/000006480325000007/0000064803-25-000007-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480325000007/cvs-20241231.htm,77.60921366163622,1.3057982525814138,1.47736298649722,0.8673550436854647,8.731532962668785,60.15091342335187,-34.046862589356635,60.01588562351072,66.4638602065131,56516510000.0,130850510000.0,8.594359793187348,0.5784107051478866,30.385220430107527,51.75504578754579,0.7479686341979884,0.7479686341979884,1.339172142053014,32.49329774025329,70.34973655913979,119.82647435897437,0.0290888450118381,0.0193217875626078,1.0974060349391213,0.3274687518511937,18.458902408741,0.811320308714203,3.12401055408971,1.146025878003697,0.0148275256203895,0.5097323600973236,0.0,0.0,0.468356929881721,0.4129032258064516,0.0078599938593797,0.6695727986050567,0.0014021082796029,41.991598777873314,0.0102654407746389,0.0122121527261922,-103.32545671167594,-15964000000.0,-42865000000.0,-108840000000.0,131568000000.0,36324000000.0,15802500000.0,17878000000.0,33.59134172551428,16.864321845043687,19.214842414309462,2.679261838822013,5.336710294487792,4.683879162754736,0.0217575436739015,0.6100079428117554,2025-02-12,0.914,bmo,97092668956.0,2025-05-11,2024-12-31,0.3019693654266957,56.10015625,13780446.3125
2024-09-30,CVS,USD,64803,2024-11-06,2024-11-06 06:35:35,2024,Q3,95428000000.0,82870000000.0,12558000000.0,0.1315965964,0,0.0,0.0,0.0,11726000000.0,11726000000.0,94596000000.0,0.0,752000000.0,1161000000.0,2018000000.0,0.0211468332,832000000.0,0.0087186151,-727000000.0,105000000.0,0.001100306,34000000.0,87000000.0,0.0009116821,0.0691,0.0691,1259000000,1259000000,https://www.sec.gov/Archives/edgar/data/64803/000006480324000034/0000064803-24-000034-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480324000034/cvs-20240930.htm,75.79666401906275,0.0691024622716441,-0.5917394757744241,-1.123907863383638,7.688641779189833,59.65528196981732,-34.934868943606034,59.52660841938046,66.28752978554408,79165920000.0,154994920000.0,227.48827586206892,0.8295879616045605,-106.26297986577184,-55.94764664310954,1.0563343296327925,1.0563343296327925,1.6242079892693968,76.80620416253717,-208.04687248322148,-109.53704593639576,0.0010989577333276,-0.0178738527891799,1.1035439795046968,0.327635316348885,37.57631318136769,0.7957625816819691,1.1063829787234043,-10.492957746478874,0.0105727312964972,9.620689655172416,0.0,0.0,0.4717759986055374,-0.8993288590604027,0.0070210001257492,0.5770887166236004,0.0013937209204845,9.620410192935196,0.0032070691030228,0.0006524771632992,-104.59273232724384,-17284000000.0,-43983000000.0,-109978000000.0,130764000000.0,34282000000.0,15064500000.0,16858500000.0,34.121117491721506,17.064920960540604,19.167491251357543,2.6376627325243924,5.273976961751416,4.69545016714828,0.0011608667805294,0.5321683876092137,2024-11-06,1.44,bmo,92746399917.0,2025-04-25,2024-09-30,-0.2430555555555554,58.3409375,8630622.1875
2024-06-30,CVS,USD,64803,2024-08-07,2024-08-07 06:35:29,2024,Q2,91234000000.0,77851000000.0,13383000000.0,0.1466887345,0,0.0,0.0,0.0,10338000000.0,10338000000.0,88189000000.0,0.0,732000000.0,1151000000.0,4220000000.0,0.0462546858,3045000000.0,0.0333757152,-708000000.0,2337000000.0,0.0256154504,569000000.0,1770000000.0,0.019400662,1.41,1.41,1256000000,1259000000,https://www.sec.gov/Archives/edgar/data/64803/000006480324000029/0000064803-24-000029-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480324000029/cvs-20240630.htm,72.63853503184713,1.4092356687898089,2.4593949044585988,1.9514331210191085,12.947452229299364,59.80175159235669,-35.40764331210191,59.65764331210191,67.32006369426752,73036400000.0,144351400000.0,10.315875706214689,0.8005392726395861,23.644027193266428,29.79861281109751,0.97472841318564,0.97472841318564,1.582210579389263,34.206492890995264,46.73078666235027,58.89490004079968,0.0242344912947516,0.0335586091318849,1.118670759375417,0.3319932985056301,16.899289099526065,0.8595090064630281,4.159836065573771,1.7471719457013577,0.0117475669666084,0.4847457627118644,0.0,0.0,0.4736316792154657,0.2065393331175137,0.0069930069930069,0.5543006081668115,0.0014577898590437,43.49267495343855,0.0130341695608386,0.0133184848530451,-102.5360270700637,-11434000000.0,-44472000000.0,-107418000000.0,138082000000.0,32301000000.0,14066500000.0,16207000000.0,31.94697152377403,16.66568187948774,18.57548393726477,2.8171684421800216,5.400319089900111,4.845095842668658,0.0236220472440944,0.5079617834394905,2024-08-07,1.73,bmo,91408068460.0,2025-04-25,2024-06-30,0.0578034682080925,62.55380952380952,12884978.174603175
2024-03-31,CVS,USD,64803,2024-05-01,2024-05-01 06:40:00,2024,Q1,88437000000.0,75876000000.0,12561000000.0,0.1420333118,0,0.0,0.0,0.0,10290000000.0,10290000000.0,86166000000.0,0.0,716000000.0,1138000000.0,3434000000.0,0.0388299015,2271000000.0,0.0256792971,-691000000.0,1580000000.0,0.0178658254,456000000.0,1113000000.0,0.0125852302,0.88,0.88,1260000000,1267000000,https://www.sec.gov/Archives/edgar/data/64803/000006480324000016/0000064803-24-000016-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480324000016/cvs-20240331.htm,70.18809523809524,0.8833333333333333,3.891269841269841,3.331746031746032,10.388095238095238,58.84920634920635,-36.422222222222224,58.7047619047619,65.48253968253968,100245600000.0,172236600000.0,22.516981132075472,1.1335255605685404,20.44576789720579,23.8793711291091,1.3552563270603506,1.3552563270603506,1.94756267173242,50.15626092020967,35.12881909035284,41.02825154835636,0.0111027316909669,0.0418771497202869,1.1057754704737184,0.3275046748057003,20.96418171228888,0.8098152882295755,3.171787709497207,4.362099644128114,0.008379420144126,0.7547169811320755,0.0,0.0,0.4806621206600385,0.143789516622476,0.0079717765188778,0.6195079086115993,0.0015491253660798,34.157826963335104,0.0092434612192398,0.0085812753949468,-103.30813492063491,-15846000000.0,-45892000000.0,-108120000000.0,134278000000.0,33722000000.0,14307000000.0,17185500000.0,32.78639031174735,16.27036216985608,19.38873952237861,2.745041437750256,5.531530217977692,4.641869570537135,0.0150470473718364,0.5595238095238095,2024-05-01,1.7,bmo,89328378367.0,2025-04-25,2024-03-31,-0.2294117647058823,76.38639344262295,11297367.524590164
2023-12-31,CVS,USD,64803,2024-02-07,2024-02-07 06:52:35,2023,Q4,93813000000.0,79937000000.0,13876000000.0,0.1479112703,0,0.0,0.0,0.0,10503000000.0,10503000000.0,90440000000.0,0.0,690000000.0,1134000000.0,4529000000.0,0.0482768913,3373000000.0,0.0359545052,-668000000.0,2705000000.0,0.0288339569,658000000.0,2046000000.0,0.0218093441,1.59,1.59,1288000000,1293000000,https://www.sec.gov/Archives/edgar/data/64803/000006480324000007/0000064803-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480324000007/cvs-20231231.htm,72.8361801242236,1.5885093167701865,-2.046583850931677,-2.75388198757764,8.89363354037267,59.5,-34.06055900621118,59.36413043478261,62.17003105590062,101700479999.99998,172889480000.0,12.42674486803519,1.0840766205110164,-38.58136570561456,-28.672252607837606,1.3300961274375172,1.3300961274375172,1.8429160137720784,38.17387502759991,-65.58781487101669,-48.74245277699465,0.0201178991485585,-0.0348769248680045,1.038241718000026,0.3178858598154792,15.718480900861117,0.8569119448408239,4.888405797101449,-1.2877381533952126,0.007659747525282,0.3807429130009775,0.0,0.0,0.4825490133264992,-0.3455993930197268,0.0097108076705787,0.8033509700176367,0.0013537569420016,46.06257343273698,0.0145647800834609,0.0158332172540279,-97.98466614906832,-11331000000.0,-43870000000.0,-105234000000.0,139610000000.0,34077000000.0,14885500000.0,17989500000.0,33.79520961913594,16.77233321240477,20.294106608954557,2.663099327220598,5.365979727461905,4.434785020804438,0.0267587397496763,0.7072981366459627,2024-02-07,2.01,bmo,90359800000.0,2025-04-25,2023-12-31,0.0547263681592041,71.17222222222223,7368956.857142857
2023-09-30,CVS,USD,64803,2023-11-01,2023-11-01 06:38:24,2023,Q3,89764000000.0,76187000000.0,13577000000.0,0.1512521724,0,0.0,0.0,0.0,9887000000.0,9887000000.0,86074000000.0,0.0,693000000.0,1127000000.0,4839000000.0,0.0539080255,3690000000.0,0.0411077938,-671000000.0,3019000000.0,0.0336326367,754000000.0,2261000000.0,0.0251882715,1.76,1.75,1287000000,1290000000,https://www.sec.gov/Archives/edgar/data/64803/000006480323000047/0000064803-23-000047-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480323000047/cvs-20230930.htm,69.74669774669775,1.7567987567987569,2.1103341103341102,1.6868686868686869,12.57808857808858,57.89432789432789,-36.03341103341104,57.75990675990676,62.77311577311578,89858339999.99998,156911340000.0,9.935685537372844,1.0010509781204044,33.08480854197349,41.3902994011976,1.208796965172121,1.208796965172121,1.748043090771356,32.42639801611903,57.7729528718704,72.2760663288807,0.0251618269378223,0.0241602504564406,1.0774715148580114,0.3187190118819288,13.856788592684438,0.8600909837774208,5.324675324675325,1.1991169977924945,0.0086692008777371,0.3445378151260504,0.0,0.0,0.4810271143546115,0.2006627393225331,0.0060714763156722,0.4835847382431233,0.0017156098213092,47.782130328647625,0.0159447127404284,0.0173361651881215,-98.6291763791764,-11410000000.0,-46375000000.0,-106653000000.0,140061000000.0,31236500000.0,14120500000.0,17622500000.0,33.013568914041265,17.570714163833724,21.20913016656385,2.72615179032405,5.122159472905741,4.243455497382199,0.0304155400406258,0.4234654234654235,2023-11-01,2.13,bmo,88246500000.0,2025-04-25,2023-09-30,0.0375586854460094,70.8552380952381,9148225.38095238
2023-06-30,CVS,USD,64803,2023-08-02,2023-08-02 06:36:58,2023,Q2,88921000000.0,75318000000.0,13603000000.0,0.1529784865,0,0.0,0.0,0.0,10369000000.0,10369000000.0,85687000000.0,0.0,686000000.0,1104000000.0,4360000000.0,0.0490322871,3234000000.0,0.0363693616,-664000000.0,2570000000.0,0.0289020591,656000000.0,1901000000.0,0.021378527,1.48,1.48,1283000000,1287000000,https://www.sec.gov/Archives/edgar/data/64803/000006480323000033/0000064803-23-000033-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480323000033/cvs-20230630.htm,69.307092751364,1.4816835541699145,4.604832424006236,4.14419329696025,13.16212003117693,56.89945440374123,-37.705378020265,56.68433359314107,64.55339049103664,88693790000.0,157022790000.0,11.664096528143082,0.9974448105621844,15.012489844278942,16.6811717133722,1.2195609548167092,1.2195609548167092,1.7658684675161098,36.014401376146786,26.5779942450914,29.53221553507617,0.0214332931313455,0.059947827237961,1.1293897643208757,0.3284507199955213,15.671788990825688,0.8554402444259274,4.714285714285714,3.086729362591432,0.0089634234820724,0.4182009468700683,0.0,0.0,0.4853741537403377,0.1000338524035206,0.0066463490064214,0.5353260869565217,0.0022941712306429,43.47108820171015,0.0137650498205826,0.0147715881982703,-100.8394388152767,-11450000000.0,-48376000000.0,-109313000000.0,140632000000.0,28938500000.0,12947000000.0,17777000000.0,29.904521991430595,15.97267585437744,20.66159483788736,3.00957828470859,5.634622577990574,4.355907697646174,0.0261392074361301,0.460639127045986,2023-08-02,2.12,bmo,86532900000.0,2025-04-25,2023-06-30,0.0424528301886791,71.1533870967742,8797493.129032258
2023-03-31,CVS,USD,64803,2023-05-03,2023-05-03 06:38:46,2023,Q1,85278000000.0,71903000000.0,13375000000.0,0.1568399822,0,0.0,0.0,0.0,9929000000.0,9929000000.0,81832000000.0,0.0,589000000.0,1001000000.0,4469000000.0,0.0524050752,3446000000.0,0.0404090152,-567000000.0,2879000000.0,0.0337601726,737000000.0,2136000000.0,0.0250474917,1.66,1.65,1283000000,1291000000,https://www.sec.gov/Archives/edgar/data/64803/000006480323000016/0000064803-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480323000016/cvs-20230331.htm,66.4676539360873,1.6648480124707716,5.797349961028838,5.0303975058456745,13.811379579111458,55.79111457521434,-30.276695245518315,55.636788776305536,60.067809820732656,95339730000.0,157199730000.0,11.158676264044944,1.1179874058960106,12.817925517612265,14.772192438797644,1.335627048835841,1.335627048835841,1.8433796524308728,35.17559409263817,21.134677332616292,24.35694607995042,0.0224040911380806,0.0676947585230207,1.0713905466364069,0.3195504115656207,13.842022823897963,0.9154208969541928,5.850594227504245,3.4724556489262373,0.0081707804291033,0.3647003745318352,0.0,0.0,0.461392219947353,0.1322936273191718,0.0115387321466263,0.983016983016983,0.0012078144421773,45.65197626966426,0.0152853208768769,0.0165703425002909,-93.25818394388152,-6348000000.0,-38845000000.0,-99044000000.0,134609000000.0,27803500000.0,13682500000.0,18676500000.0,29.899739674945472,15.679874275065018,22.859546889559542,3.0100596519713387,5.739841941406562,3.9370859114055743,0.0299235101286038,0.7669524551831645,2023-05-03,2.07,bmo,80813400000.0,2025-04-25,2023-03-31,0.0628019323671499,83.855,9260789.822580645
2022-12-31,CVS,USD,64803,2023-02-08,2023-02-08 06:37:38,2022,Q4,83846000000.0,70033000000.0,13813000000.0,0.1647425041,0,0.0,0.0,0.0,10195000000.0,10195000000.0,80228000000.0,0.0,552000000.0,1049000000.0,4710000000.0,0.056174415,3618000000.0,0.0431505379,-509000000.0,3109000000.0,0.0370798846,809000000.0,2302000000.0,0.0274550962,1.78,1.77,1310000000,1319000000,https://www.sec.gov/Archives/edgar/data/64803/000006480323000009/0000064803-23-000009-index.htm,https://www.sec.gov/Archives/edgar/data/64803/000006480323000009/cvs-20221231.htm,64.00458015267175,1.757251908396947,-1.4900763358778626,-2.015267175572519,12.002290076335878,54.78549618320611,-23.80458015267175,54.55648854961832,54.41526717557252,122078900000.0,179865900000.0,13.25791702867072,1.4559895522744075,-62.54042008196721,-46.242007575757576,1.7081377940085911,1.7081377940085911,2.145193569162512,38.188089171974525,-92.14441598360656,-68.13102272727272,0.0188566574567759,-0.0216253586819671,0.9896878366844366,0.3098543423502354,12.26900212314225,0.9454343786462308,6.554347826086956,-0.8486956521739131,0.0058896336713387,0.3123370981754995,0.0,0.0,0.451004271164166,-0.3524590163934426,0.0082055196431553,0.655862726406101,0.0012642225031605,46.444198845853634,0.0164903699461729,0.0183686822744609,-84.56564885496184,-3788000000.0,-31184000000.0,-90873000000.0,129910000000.0,26920500000.0,14381500000.0,18574000000.0,29.27796197791189,19.06843916439393,24.53272028900661,3.0739844551987097,4.719840948914948,3.6685699319015193,0.0322097692705928,0.5251908396946565,2023-02-08,1.92,bmo,76430863948.0,2025-04-25,2022-12-31,0.0364583333333333,96.49269841269842,6114490.650793651
