date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,CZR,USD,1590895,2025-04-29,2025-04-29 16:22:26,2025,Q1,2794000000.0,1382000000.0,1412000000.0,0.5053686471,0,483000000.0,0.0,483000000.0,0.0,924000000.0,2306000000.0,0.0,0.0,357000000.0,850000000.0,0.3042233357,488000000.0,0.1746599857,-575000000.0,-87000000.0,-0.0311381532,11000000.0,-115000000.0,-0.0411596278,-0.54,-0.54,212000000,212000000,https://www.sec.gov/Archives/edgar/data/1590895/000159089525000110/0001590895-25-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089525000110/czr-20250331.htm,13.179245283018869,-0.5424528301886793,1.028301886792453,-0.0235849056603773,4.169811320754717,20.183962264150946,-49.16037735849056,19.117924528301888,118.3490566037736,5300000000.0,29506000000.0,-11.52173913043478,1.8969219756621327,24.311926605504585,-1060.0,1.307673328398717,1.307673328398717,10.56048675733715,34.712941176470586,135.348623853211,-5901.2,-0.0216981132075471,-0.000943396226415,6.190476190476191,0.7744305204024939,28.47764705882353,0.8353601496725912,0.0,-2.224489795918368,0.0,0.0,0.1728704366499642,0.0,0.4537625779369096,1.0229357798165135,0.079813886900501,0.6246498599439776,0.0093056549749463,,0.0181001366290842,-0.006498276544047,-126.80896226415096,-352000000.0,-10422000000.0,-26333000000.0,29015000000.0,455000000.0,271000000.0,44000000.0,14.173228346456693,16.02026049204052,2.800289435600579,6.35,5.617886178861789,32.13953488372093,-0.0283740439180853,1.05188679245283,2025-04-29,-0.19,amc,2881065490.0,2025-05-11,2025-03-31,1.842105263157895,32.53033333333333,5152187.8
2024-12-31,CZR,USD,1590895,2025-02-25,2025-02-25 16:33:44,2024,Q4,2799000000.0,1396000000.0,1403000000.0,0.5012504466,0,477000000.0,0.0,477000000.0,257000000.0,734000000.0,2130000000.0,5000000.0,591000000.0,345000000.0,979000000.0,0.3497677742,669000000.0,0.2390139335,-626000000.0,43000000.0,0.0153626295,19000000.0,11000000.0,0.003929975,0.0512,0.0512,215000000,215000000,https://www.sec.gov/Archives/edgar/data/1590895/000159089525000068/0001590895-25-000068-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089525000068/czr-20241231.htm,13.018604651162793,0.0511627906976744,1.4372093023255814,0.1395348837209302,4.027906976744186,20.35348837209302,-48.17674418604651,19.334883720930232,119.31627906976745,7185300000.0,31381300000.0,163.30227272727274,2.5670953912111467,23.25339805825243,239.51,1.728482078421939,1.728482078421939,11.211611289746338,32.05444330949949,101.55760517799352,1046.0433333333333,0.0015309033721626,0.0041751910149889,6.028866971373587,0.7690088984351028,24.715015321756898,0.7689260563380281,1.131979695431472,12.875,0.0,0.0,0.1704180064308681,0.0,0.4521018717397975,0.9029126213592232,0.0996784565916398,0.808695652173913,0.007502679528403,4.717795958072061,0.0122633785088416,0.0006160394265232,-125.45581395348836,-525000000.0,-10358000000.0,-26467000000.0,29021000000.0,469500000.0,282000000.0,44000000.0,15.112540192926046,19.083094555873924,2.901146131805157,5.95531914893617,4.716216216216216,31.022222222222226,0.0026461390425787,1.2976744186046512,2025-02-25,-0.15,amc,2813784770.0,2025-05-11,2024-12-31,-1.3333333333333337,39.5915625,3904412.25
2024-09-30,CZR,USD,1590895,2024-10-29,2024-10-29 16:32:33,2024,Q3,2874000000.0,1355000000.0,1519000000.0,0.5285316632,0,478000000.0,0.0,478000000.0,397000000.0,875000000.0,2230000000.0,2000000.0,598000000.0,326000000.0,974000000.0,0.3389004871,644000000.0,0.2240779402,-592000000.0,52000000.0,0.0180932498,43000000.0,-9000000.0,-0.003131524,-0.0419,-0.0419,215000000,215000000,https://www.sec.gov/Archives/edgar/data/1590895/000159089524000138/0001590895-24-000138-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089524000138/czr-20240930.htm,13.367441860465116,-0.041860465116279,1.0790697674418606,-0.9627906976744186,3.730232558139535,20.390697674418604,-50.12093023255814,19.432558139534883,120.92093023255812,8974100000.0,33572100000.0,-249.2805555555556,3.1225121781489213,38.68146551724138,-43.353140096618354,2.147941598851125,2.147941598851125,11.681315240083508,34.468275154004104,144.7073275862069,-162.18405797101448,-0.0010028860832841,-0.0230663799155347,6.0794638583054095,0.7704206982316721,25.254620123203285,0.8381120423467138,1.0769230769230769,25.77777777777778,0.0,0.0,0.1663187195546277,0.0,0.4598258970548091,1.8922413793103448,0.1527487821851078,1.3466257668711656,0.0083507306889352,,0.0036184111953492,-0.0005053624571845,-127.48720930232558,-367000000.0,-10776000000.0,-26685000000.0,29688000000.0,507500000.0,352000000.0,44000000.0,14.686847599164928,17.800738007380073,2.856088560885609,6.127931769722815,5.0559701492537314,31.511627906976745,-0.0021541407371948,2.041860465116279,2024-10-29,0.21,amc,2892967860.0,2025-04-24,2024-09-30,-1.1904761904761905,37.5009375,4986763.0625
2024-06-30,CZR,USD,1590895,2024-07-30,2024-07-30 16:39:43,2024,Q2,2830000000.0,1648000000.0,1182000000.0,0.4176678445,0,465000000.0,80000000.0,545000000.0,-1000000.0,545000000.0,2193000000.0,2000000.0,596000000.0,326000000.0,963000000.0,0.3402826855,637000000.0,0.2250883392,-598000000.0,-92000000.0,-0.0325088339,10000000.0,-122000000.0,-0.0431095406,-0.56,-0.56,216000000,216000000,https://www.sec.gov/Archives/edgar/data/1590895/000159089524000124/0001590895-24-000124-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089524000124/czr-20240630.htm,13.101851851851851,-0.5648148148148148,2.101851851851852,0.5787037037037037,4.356481481481482,20.810185185185187,-50.263888888888886,19.93055555555556,118.92129629629628,8154000000.0,32304000000.0,-16.709016393442624,2.8812720848056537,17.96035242290749,65.232,1.8940766550522647,1.8940766550522647,11.414840989399291,33.545171339563865,71.15418502202643,258.432,-0.014961981849399,0.0153298994358597,5.828339140534262,0.7584028533430057,25.077881619937692,0.6981999234009958,1.0687919463087248,-3.721311475409836,0.0,0.0,0.1643109540636042,0.0,0.4640309515173498,0.724669603524229,0.1162544169611307,1.00920245398773,0.0084805653710247,,0.0231000925795565,-0.0068802165576359,-126.0,-788000000.0,-10857000000.0,-26766000000.0,29424000000.0,548500000.0,437500000.0,44500000.0,17.363957597173144,23.810679611650485,2.45752427184466,5.183150183150183,3.779816513761468,36.62222222222222,-0.0283391405342624,1.523148148148148,2024-07-30,0.12,amc,2866660000.0,2025-04-24,2024-06-30,-1.1666666666666663,37.57158730158731,4448174.428571428
2024-03-31,CZR,USD,1590895,2024-04-30,2024-04-30 16:26:09,2024,Q1,2742000000.0,1673000000.0,1069000000.0,0.389861415,0,500000000.0,78000000.0,578000000.0,26000000.0,578000000.0,2251000000.0,2000000.0,592000000.0,327000000.0,818000000.0,0.2983223924,491000000.0,0.1790663749,-612000000.0,-127000000.0,-0.0463165573,15000000.0,-158000000.0,-0.0576221736,-0.73,-0.73,216000000,216000000,https://www.sec.gov/Archives/edgar/data/1590895/000159089524000088/0001590895-24-000088-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089524000088/czr-20240331.htm,12.694444444444445,-0.7314814814814815,0.3703703703703703,-0.8518518518518519,3.9444444444444446,21.24074074074074,-50.41203703703704,20.38888888888889,118.75,9324720000.0,33530720000.0,-14.754303797468356,3.400700218818381,116.559,-50.67782608695652,2.11732970027248,2.11732970027248,12.228563092633117,40.99110024449877,419.134,-182.23217391304348,-0.0169442085124271,-0.0197324959891557,5.689827429609446,0.757978160258931,29.591687041564796,0.685207100591716,0.8293918918918919,-0.5063291139240507,0.0,0.0,0.1823486506199854,0.0,0.4681629813363985,3.3,0.0962800875273523,0.8073394495412844,0.0091174325309992,,0.0179303718722402,-0.0089864634285064,-125.85069444444444,-798000000.0,-10889000000.0,-26734000000.0,29482000000.0,579500000.0,423500000.0,45000000.0,18.08533916849015,23.61625821876868,2.367005379557681,4.976406533575318,3.810933940774487,38.02272727272727,-0.0358764759309718,1.2222222222222223,2024-04-30,-0.05116,amc,2835250000.0,2025-04-24,2024-03-31,9.750586395621582,43.25098360655738,3195967.0
2023-12-31,CZR,USD,1590895,2024-02-20,2024-02-20 17:03:33,2023,Q4,2825000000.0,1382000000.0,1443000000.0,0.5107964602,0,476000000.0,0.0,476000000.0,5000000.0,861000000.0,2243000000.0,2000000.0,583000000.0,318000000.0,900000000.0,0.3185840708,536000000.0,0.1897345133,-576000000.0,-40000000.0,-0.014159292,16000000.0,-72000000.0,-0.0254867257,-0.33,-0.33,216000000,216000000,https://www.sec.gov/Archives/edgar/data/1590895/000159089524000051/0001590895-24-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089524000051/czr-20231231.htm,13.078703703703704,-0.3333333333333333,2.351851851851852,0.6435185185185185,4.652777777777778,21.85185185185185,-49.9675925925926,21.074074074074076,118.76851851851852,10126080000.0,34192080000.0,-35.160000000000004,3.5844530973451327,19.933228346456698,72.8494964028777,2.224534270650264,2.224534270650264,12.103391150442478,37.9912,67.30724409448818,245.9861870503597,-0.0071103526734926,0.0137269308557704,5.507688927943761,0.7513936342384463,26.74,0.7602230483271375,0.9193825042881648,-9.071428571428571,0.0,0.0,0.1684955752212389,0.0,0.4649343643229635,0.7263779527559056,0.1306194690265486,1.160377358490566,0.007787610619469,,0.024392146664933,-0.0040329356410687,-125.75,-645000000.0,-10793000000.0,-26601000000.0,29624000000.0,581500000.0,389500000.0,45500000.0,19.369911504424778,26.570188133140377,2.995658465991317,4.646381578947368,3.3872549019607843,30.043478260869566,-0.015817223198594,1.7083333333333333,2024-02-20,-0.03891,amc,2849310000.0,2025-04-24,2023-12-31,7.738113595476742,44.40857142857143,3340712.26984127
2023-09-30,CZR,USD,1590895,2023-10-31,2023-10-31 16:17:02,2023,Q3,2994000000.0,1361000000.0,1633000000.0,0.5454241817,0,528000000.0,0.0,528000000.0,-1000000.0,922000000.0,2283000000.0,3000000.0,581000000.0,320000000.0,1031000000.0,0.3443553774,724000000.0,0.2418169673,-585000000.0,139000000.0,0.0464261857,47000000.0,74000000.0,0.0247160989,0.34,0.34,215000000,216000000,https://www.sec.gov/Archives/edgar/data/1590895/000159089523000122/0001590895-23-000122-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089523000122/czr-20230930.htm,13.925581395348836,0.3441860465116279,1.6186046511627907,0.0511627906976744,3.911627906976744,22.05581395348837,-50.70697674418604,21.413953488372098,59.88837209302326,9965250000.0,21419250000.0,33.66638513513514,3.3284068136272547,28.635775862068964,905.931818181818,2.164476542137272,2.164476542137272,7.154058116232465,20.77521823472357,61.54956896551724,1947.2045454545453,0.0074258046712325,0.0011038358295075,2.670503909643788,0.370008125432604,11.10960232783705,0.7262787973447872,1.2461273666092942,3.782608695652174,0.0,0.0,0.1763527054108216,0.0,0.4707935839176623,0.9683908045977012,0.1125584502338009,1.053125,0.0086840347361389,12.877641080776408,0.0155921727330334,0.0042081319306226,-126.5453488372093,-701000000.0,-10902000000.0,-26627000000.0,29643000000.0,540500000.0,335000000.0,49000000.0,16.683366733466933,24.533431300514327,2.9757531227038942,5.394594594594595,3.6684636118598384,30.244444444444444,0.0160729800173761,1.5674418604651164,2023-10-31,0.29,amc,2938630000.0,2025-04-24,2023-09-30,0.1724137931034484,53.13087301587301,2416005.873015873
2023-06-30,CZR,USD,1590895,2023-08-01,2023-08-01 16:15:47,2023,Q2,2879000000.0,1329000000.0,1550000000.0,0.5383813824,0,585000000.0,0.0,585000000.0,3000000.0,908000000.0,2237000000.0,3000000.0,586000000.0,323000000.0,965000000.0,0.3351858284,609000000.0,0.2115317819,-583000000.0,26000000.0,0.0090309135,-902000000.0,920000000.0,0.3195554012,4.28,4.28,215000000,215000000,https://www.sec.gov/Archives/edgar/data/1590895/000159089523000091/0001590895-23-000091-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089523000091/czr-20230630.htm,13.390697674418604,4.27906976744186,3.623255813953489,2.153488372093024,5.21860465116279,21.706976744186047,-51.15348837209302,21.13953488372093,61.08837209302325,10958550000.0,22384550000.0,2.9778668478260872,3.806373740882251,14.067458279845956,23.66857451403888,2.411122112211221,2.411122112211221,7.775112886418896,23.19642487046632,28.734980744544288,48.34676025917926,0.0839527127220298,0.0422501152068476,2.760836083608361,0.3748133102335862,11.84041450777202,0.7828487302171513,1.0392491467576792,0.8467391304347827,0.0,0.0,0.2031955540118096,0.0,0.4679192305394588,0.4056482670089859,0.1097603334491142,0.978328173374613,0.0100729419937478,45.11424114313615,0.7050704007465499,0.051647673047774,-126.8279069767442,-590000000.0,-10998000000.0,-26684000000.0,29708000000.0,534500000.0,292000000.0,55000000.0,16.443209447724904,20.248306997742663,3.589164785553048,5.473384030418251,4.444816053511706,25.07547169811321,0.2024202420242024,1.4697674418604652,2023-08-01,0.33,amc,2866740000.0,2025-04-24,2023-06-30,1.4848484848484846,45.4058064516129,2844949.564516129
2023-03-31,CZR,USD,1590895,2023-05-03,2023-05-02 19:54:51,2023,Q1,2830000000.0,1323000000.0,1507000000.0,0.5325088339,0,588000000.0,0.0,588000000.0,300000000.0,888000000.0,2211000000.0,4000000.0,594000000.0,300000000.0,919000000.0,0.3247349823,603000000.0,0.2130742049,-788000000.0,-185000000.0,-0.0653710247,-49000000.0,-136000000.0,-0.0480565371,-0.63,-0.63,215000000,215000000,https://www.sec.gov/Archives/edgar/data/1590895/000159089523000077/0001590895-23-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089523000077/czr-20230331.htm,13.16279069767442,-0.6325581395348837,0.8093023255813954,-0.4558139534883721,4.488372093023256,16.906976744186046,-56.032558139534885,16.730232558139534,63.097674418604655,10494150000.0,22501150000.0,-19.290716911764708,3.7081802120141343,60.31120689655173,-107.08316326530613,2.917472894078399,2.917472894078399,7.950936395759717,24.484385201305766,129.3169540229885,-229.60357142857143,-0.0129596013016776,-0.0093385362320912,3.6063386155129273,0.3889771807250592,13.065288356909685,0.8460244005048381,1.0151515151515151,87.0,0.0,0.0,0.207773851590106,0.0,0.4702389876757923,1.5632183908045978,0.096113074204947,0.9066666666666666,0.0095406360424028,,0.01428113680691,-0.0076979679628686,-131.68953488372094,-366000000.0,-12047000000.0,-27703000000.0,29924000000.0,577000000.0,299500000.0,58000000.0,17.26855123674912,19.387755102040817,3.877551020408163,5.211786372007366,4.642105263157895,23.210526315789476,-0.0378092855157075,1.2651162790697674,2023-05-02,0.06,amc,2757880000.0,2025-04-24,2023-03-31,0.5,49.01467741935484,3055360.3225806453
2022-12-31,CZR,USD,1590895,2023-02-22,2023-02-21 21:52:34,2022,Q4,2821000000.0,1301000000.0,1520000000.0,0.5388160227,0,601000000.0,0.0,601000000.0,295000000.0,896000000.0,2197000000.0,585000000.0,585000000.0,295000000.0,919000000.0,0.3257710032,488000000.0,0.172988302,-644000000.0,-156000000.0,-0.0552995392,6000000.0,-162000000.0,-0.0574264445,-0.75,-0.75,215000000,215000000,https://www.sec.gov/Archives/edgar/data/1590895/000159089523000070/0001590895-23-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089523000070/czr-20221231.htm,13.12093023255814,-0.7534883720930232,2.437209302325581,1.344186046511628,4.8279069767441865,17.446511627906975,-55.66046511627907,17.269767441860466,120.9860465116279,8944000000.0,33333000000.0,-13.80246913580247,3.1705069124423964,17.068702290076338,30.94809688581315,2.408833827093994,2.408833827093994,11.81602268699043,36.27094668117519,63.61259541984733,115.33910034602076,-0.0181127012522361,0.0323121645796064,6.848101265822785,0.7584036746502819,26.538628944504897,0.787856071964018,0.8341880341880342,-0.5758241758241758,0.0,0.0,0.2130450194966324,0.0,0.4688161780057864,0.4484732824427481,0.0833037929812123,0.1950207468879668,0.0085076214108472,,0.0163384347541422,-0.0090965242293222,-131.396511627907,-566000000.0,-11967000000.0,-27674000000.0,30389000000.0,558500000.0,307000000.0,52500000.0,19.493087557603687,21.7217524980784,4.081475787855496,4.617021276595745,4.143312101910828,22.05084745762712,-0.0436304874764341,1.0930232558139534,2023-02-21,-0.18,amc,2803493354.0,2025-04-24,2022-12-31,-0.3888888888888888,44.52968253968254,4088676.8095238097
