date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,DECK,USD,910521,2025-02-03,2025-02-03 13:23:48,2025,Q3,1827165000.0,724542000.0,1102623000.0,0.6034610996,0,0.0,0.0,535349000.0,0.0,535349000.0,1259891000.0,15978000.0,610000.0,17161000.0,601713000.0,0.3293150865,567274000.0,0.3104667613,16668000.0,583942000.0,0.3195890902,127208000.0,456734000.0,0.2499686673,3.01,3.0,151820000,152386000,https://www.sec.gov/Archives/edgar/data/910521/000091052125000005/0000910521-25-000005-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052125000005/deck-20241231.htm,12.035074430246343,3.008391516269266,7.21522197338954,7.054755631669082,14.760393887498353,17.329199051508365,17.13299301804769,17.329199051508365,1.6970030299038334,30833123800.0,28849229800.0,16.876958908248564,16.87484370595978,28.147436177156603,28.787673252397408,11.71952606674702,11.71952606674702,15.78906655939666,47.9451662171168,26.33634722913234,26.935389565222263,0.0148130952595857,0.0347370901160524,0.0976955200825263,0.0648350437006997,-3.2970768456057957,3.1698800056540826,929.9573770491804,2.3983653505103626,0.0,0.0,0.0,0.0,0.0075139625558067,0.0222399729782776,0.0133332238741438,1.4591518926689029,0.0048479475033727,34.24898314887219,0.1513564406199699,0.1160824640080923,9.508156040047425,2241230000.0,2601131000.0,1940678000.0,2859321000.0,460943500.0,561476000.0,677280000.0,16.268136703581778,72.83689558369286,71.63174805601331,5.532286926270086,1.2356375059475997,1.2564261300676818,0.1736024560239217,0.1604663417204584,2025-01-30,2.48,amc,1734195907.0,2025-03-24,2024-12-31,0.2096774193548387,,
2024-09-30,DECK,USD,910521,2024-10-31,2024-10-31 11:40:56,2025,Q2,1311320000.0,578048000.0,733272000.0,0.5591861636,0,0.0,0.0,428186000.0,0.0,428186000.0,1006234000.0,14797000.0,1151000.0,17306000.0,337369000.0,0.2572743495,305086000.0,0.2326556447,13826000.0,318912000.0,0.2431992191,76591000.0,242321000.0,0.1847916603,1.59,1.59,152240000,152778000,https://www.sec.gov/Archives/edgar/data/910521/000091052124000059/0000910521-24-000059-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052124000059/deck-20240930.htm,8.61350499211771,1.591703888596952,-0.5947845507094062,-0.7448502364687336,8.050978717813978,14.603514188124016,14.407140042038886,14.603514188124016,1.7063452443510247,24274668000.0,23307610000.0,25.043916953132413,18.51162797791538,-268.0802650469354,-214.0698790080779,10.918604792377248,10.918604792377248,17.774158862825246,69.08640094377373,-257.4004417448923,-205.5417298670147,0.0099824640238128,-0.0046713718185558,0.1163271245241739,0.0761073129503939,-2.866469651924154,3.084936731990316,265.0616854908775,-0.3736778900714341,0.0,0.0,0.0,0.0,0.0087977644214357,-0.2523025952512424,0.0174221395235335,1.3689256396428786,0.0088231705457096,22.86920598117476,0.0901599588949275,0.0719429138066171,5.802942722017867,1825654000.0,2193343000.0,1526397000.0,2392531000.0,447371000.0,589588000.0,765586500.0,40.60432236219992,83.54373685230291,121.11483821412754,2.216512793814886,1.077280037869399,0.7430963978243739,0.1089945795301359,0.1500656857593273,2024-10-24,1.24,amc,1203989543.0,2025-03-05,2024-09-30,0.2822580645161291,110.72,3063108.464285714
2024-06-30,DECK,USD,910521,2024-08-01,2024-08-01 10:48:59,2025,Q1,825347000.0,372873000.0,452474000.0,0.5482227475,0,0.0,0.0,319667000.0,125000.0,319667000.0,692540000.0,17252000.0,1031000.0,17526000.0,167710000.0,0.2031993816,132807000.0,0.1609105007,16346000.0,149153000.0,0.1807155051,33528000.0,115625000.0,0.1400925914,0.7566818000000001,0.7533484,152868000,153486000,https://www.sec.gov/Archives/edgar/data/910521/000091052124000042/0000910521-24-000042-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052124000042/deck-20240630.htm,5.399082868880341,0.7563715100609676,0.7369102755318314,0.5895870947484104,9.40940550017008,13.570413690242562,13.304229793024048,13.570413690242562,1.7230486432739356,24110340960.0,22934311960.0,52.13046694054054,29.21236880972488,214.0287701731025,267.5092474120427,11.622342811362063,11.622342811362063,27.787478430284477,136.74981789994632,203.5890986240568,254.4609610669152,0.0047956600942237,0.0037381885287117,0.1264739824206717,0.0793559047358931,-7.012277145071851,2.863469483928238,128.8137720659554,0.9742702702702702,0.0,0.0,0.0,0.0,0.0123074121829195,0.1999201065246338,0.0272867048647417,1.2850051352276617,0.0101121104214348,15.19691322731093,0.0421920991672278,0.0354077502933675,5.302921474736374,1700360000.0,2033791000.0,1381093000.0,2267843000.0,299846500.0,510549000.0,613796500.0,33.054606123242706,155.1025416160462,181.81895712481196,2.7227672798289837,0.5802612843237187,0.4949978892367002,0.0557368056218371,0.147323180783421,2024-07-25,0.58,amc,807490148.0,2025-03-05,2024-06-30,0.2931034482758621,161.51383333333334,3129328.216666667
2024-03-31,DECK,USD,910521,2024-05-24,2024-05-24 14:32:03,2024,Q4,959758000.0,420282000.0,539476000.0,0.5620958617,49171000,46362000.0,348852000.0,395214000.0,645000.0,395214000.0,815496000.0,18937000.0,0.0,16265000.0,135252724.0,0.1409237787,144262000.0,0.1503108075,19945000.0,164207000.0,0.1710920878,36662000.0,127545000.0,0.1328928751,0.8300166000000001,0.8250165,153738000,154710000,https://www.sec.gov/Archives/edgar/data/910521/000091052124000017/0000910521-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052124000017/deck-20240331.htm,6.242815699436704,0.8296257268860009,-0.1865121180189673,-0.2859475211073384,9.770199950565248,13.70817884973136,13.44101653462384,13.708178843226788,1.7359338615046378,23841689040.000004,22606517040.000004,46.731916264847705,24.84135484153297,-831.4741242937854,-542.3372771320035,11.312954242395593,11.312954242395593,23.55439291988189,167.14278553088516,-788.3977484829463,-514.2402820681968,0.0053496629280758,-0.0018438710414453,0.126634900329037,0.0851131481617908,-9.132326236919264,3.3937593837717865,0.0,-0.2248147712572033,0.0,0.0,0.0483059271191279,0.0512327065781165,0.0130990161625651,-0.5331310594964079,0.0159279735099889,0.9398708884106978,0.0089616340785906,15.996399636625886,0.0453809158297014,0.0412165948296755,6.072143842121011,1723490000.0,2066395000.0,1415372000.0,2292354000.0,314121000.0,442832000.0,506637000.0,27.809979182252192,81.05336416977173,101.5698745128271,3.236248377252879,1.1103795742702172,0.8860895066738912,0.0605204919175619,0.0994354030883711,2024-05-23,2.97,amc,888488126.0,2025-03-05,2024-03-31,-0.7205387205387205,180.775625,1912254.25
2023-12-31,DECK,USD,910521,2024-02-05,2024-02-05 13:24:18,2024,Q3,1560307000.0,643738000.0,916569000.0,0.5874286278,0,0.0,0.0,428670000.0,170000.0,428670000.0,1072408000.0,11895000.0,911000.0,15763000.0,503662000.0,0.3227967317,487899000.0,0.3126942326,11154000.0,499053000.0,0.3198428258,109134000.0,389919000.0,0.2498988981,2.5317173,2.5183837,153984000,154866000,https://www.sec.gov/Archives/edgar/data/910521/000091052124000007/0000910521-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052124000007/deck-20231231.htm,10.13291640689942,2.532204644638404,6.106673420615129,5.998597256857855,10.7206073358271,13.66499116791355,13.34165887364921,13.66499116791355,1.785263403990025,17155357440.0,15778546440.0,10.999308471759518,10.99486026788318,18.243975455425225,18.57267544885286,8.152950750645141,8.152950750645141,10.11246276534041,31.327649177424544,16.779796922357043,17.08211694858004,0.0227287015944565,0.0538425388821277,0.1302121006182901,0.0818504423803248,-2.733601105503294,2.8560858792247923,535.5642151481889,2.41160343558534,0.0,0.0,0.0,0.0,0.014873371115225,0.0176980421766826,0.0106658497334178,1.0557634967962952,0.0076702853989631,27.902642658850485,0.1542624160583987,0.1182407220125961,6.012132754052369,1721412000.0,2054402000.0,1405585000.0,2304194000.0,424208500.0,492014500.0,632647500.0,19.13144656788696,70.90538386734977,75.35157160211142,4.704296650054119,1.269297126553501,1.194401099889974,0.1853059847257139,0.1080761637572734,2024-02-01,1.9,amc,879190000.0,2025-03-05,2023-12-31,0.3263157894736843,152.55203125,2017419.53125
2023-09-30,DECK,USD,910521,2023-11-02,2023-11-02 12:33:27,2024,Q2,1091907000.0,508888000.0,583019000.0,0.5339456565,0,0.0,0.0,358402000.0,622000.0,358402000.0,867290000.0,10089000.0,1011000.0,12785000.0,237402000.0,0.2174196154,224617000.0,0.2057107428,9700000.0,234317000.0,0.2145942832,55770000.0,178547000.0,0.1635185048,1.1433562000000002,1.1366894,156186000,157068000,https://www.sec.gov/Archives/edgar/data/910521/000091052123000042/0000910521-23-000042-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052123000042/deck-20230930.htm,6.991068341592716,1.1431690420396194,-0.0239073924679548,-0.1948830240866658,5.269684862919852,11.49353975388319,11.171231736519278,11.49353975388319,1.6139666807524362,13382016480.000002,12810033480.000002,18.7373863464522,12.25563759550951,-3583.8287305838244,-439.64835008870494,7.454622495306747,7.454622495306747,11.7317990268402,53.95924836353528,-3430.646352437065,-420.85660950128135,0.0133423090807611,-0.0022745450990507,0.1398606229075331,0.0881394036860376,-2.409343644956656,2.8705684825978746,222.1730959446093,-0.0209132609340957,0.0,0.0,0.0,0.0,0.0176722544551879,-7.15158007498661,0.0244562952705679,2.088697692608525,0.0089110153154068,17.19386005750442,0.0800301994528813,0.0638079646400373,3.3317262750822736,1420491000.0,1744790000.0,1126478000.0,1975381000.0,408730500.0,499941000.0,733442500.0,42.5920888866909,84.3370643442172,128.4563204477213,2.1130684677013587,1.067146464011005,0.7006272613625725,0.0994618774127779,0.170975631618711,2023-10-26,0.74,amc,960620000.0,2025-03-05,2023-09-30,0.5405405405405405,153.85285714285715,2162884.492063492
2023-06-30,DECK,USD,910521,2023-08-03,2023-08-03 12:15:49,2024,Q1,675791000.0,329367000.0,346424000.0,0.512620026,0,0.0,0.0,275688000.0,346000.0,275688000.0,605055000.0,11287000.0,1005000.0,12911000.0,83089000.0,0.1229507348,70736000.0,0.1046714147,10628000.0,81364000.0,0.1203981704,17812000.0,63552000.0,0.0940409091,0.4050081,0.4016747,156990000,157926000,https://www.sec.gov/Archives/edgar/data/910521/000091052123000035/0000910521-23-000035-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052123000035/deck-20230630.htm,4.30467545703548,0.4048155933498949,0.797897955283776,0.6021402637110644,6.668507548251481,11.479208866806802,11.15502261290528,11.479208866806802,1.6663863940378367,13805700600.0,13019412600.0,54.30867871978852,20.428950074801232,110.21459500886142,146.04570612503966,7.66080668279211,7.66080668279211,19.265442422287364,156.6923732383348,103.93744790918235,137.72783878133924,0.0046033158215817,0.0068471715227548,0.1446079369809241,0.0915063088547288,-9.463202108582363,2.956166316029812,70.38407960199005,1.9710158610271904,0.0,0.0,0.0,0.0,0.0178706992024304,0.2453417636633616,0.0454755982248949,2.487816724682264,0.0103419548351487,10.225295195914144,0.0255396096099621,0.0227214223198503,3.8023138416459648,1439355000.0,1751227000.0,1129378000.0,1998209000.0,303508000.0,394309500.0,636702500.0,40.04920160227052,142.91431746349815,202.357157820911,2.247235809936785,0.6297479608576444,0.44475817395919,0.0352651126089757,0.1957576915727116,2023-07-27,0.37,amc,666920000.0,2025-03-05,2023-06-30,0.0810810810810811,138.60852459016394,2662535.557377049
2023-03-31,DECK,USD,910521,2023-05-26,2023-05-26 13:38:57,2023,Q4,791571000.0,395403000.0,396168000.0,0.5004832163,0,19109000.0,271140000.0,290249000.0,0.0,290249000.0,685652000.0,8894000.0,197000.0,12769000.0,127824000.0,0.1614814085,105919000.0,0.1338085908,8939000.0,114858000.0,0.1451013238,23071000.0,91787000.0,0.115955486,0.58,0.58,157812000,158958000,https://www.sec.gov/Archives/edgar/data/910521/000091052123000016/0000910521-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052123000016/deck-20230331.htm,5.015911337540872,0.5816224368235622,0.3772780270194915,0.2190771297493219,6.221294958558285,11.188838618102553,10.862836793146275,11.188838618102553,1.5631574278255138,11824853160.000002,11089546160.000002,32.20732009979627,14.938461818333415,198.60684862023217,342.02566048650687,6.6968523327139495,6.6968523327139495,14.009540723447426,86.75636938290151,186.25684274173236,320.7574164810691,0.0077622105541647,0.0029237572367452,0.1395952842247384,0.0964273964156993,-5.752495618976092,3.840630905947163,537.6598984771574,0.6486648436053036,0.0,0.0,0.0241406014116232,0.0,0.0201263358191818,0.4193217890794269,0.0315398113372015,1.9552040097110188,0.0110754436430844,12.100528525706787,0.0401232543783161,0.0366450863876561,4.356273604035181,1412873000.0,1714286000.0,1119783000.0,1944301000.0,316318000.0,376479500.0,628108000.0,34.82511360320173,60.45591459852353,121.28557446453364,2.58434189261986,1.4886880894561474,0.7420503254186903,0.0519823778566748,0.1582008972701695,2023-05-25,0.44,amc,720730000.0,2025-03-05,2023-03-31,0.318181818181818,101.64349206349206,2305189.4603174604
2022-12-31,DECK,USD,910521,2023-02-06,2023-02-06 12:25:56,2023,Q3,1345640000.0,633111000.0,712529000.0,0.5295093784,0,0.0,0.0,349869000.0,228000.0,349869000.0,982980000.0,3571000.0,1155000.0,12642000.0,374731000.0,0.278477899,362660000.0,0.2695074463,2644000.0,365304000.0,0.2714723106,86642000.0,278662000.0,0.2070851045,1.7583685000000002,1.7467016000000002,158508000,159516000,https://www.sec.gov/Archives/edgar/data/910521/000091052123000005/0000910521-23-000005-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052123000005/deck-20221231.htm,8.48941378353143,1.7580311403840816,4.509103641456583,4.308451308451309,6.673751482575012,11.161405102581574,10.833364877482524,11.161405102581574,1.2716077421959775,10545537240.0,9688099240.0,9.460867681994674,7.836819089801136,14.754595434073616,15.441743502937369,5.960719048232733,5.960719048232733,7.199621919681341,25.85347686740622,13.554926748459906,14.186204087131218,0.0264246376128676,0.0647595266564152,0.1132761540426821,0.0713365552636272,-2.2881426943594203,2.752032979028733,313.991341991342,2.564859937845849,0.0,0.0,0.0,0.0,0.0185089536889939,0.0444993836824866,0.0236355934722511,2.634827271974153,0.0056330073422312,21.011834740630203,0.1353925858019857,0.1010636523081342,3.937742889948772,1428443000.0,1717175000.0,1203632000.0,1889559000.0,380507500.0,485141000.0,824203500.0,21.826558366279244,69.27988930850988,102.82993029658306,4.123416916660793,1.2990782880616554,0.8752315570031133,0.157509840761667,0.2006523330052741,2023-02-02,1.6,amc,1259721408.0,2025-03-05,2022-12-31,0.0937499999999999,89.53682539682539,2118807.3174603176
2022-09-30,DECK,USD,910521,2022-11-03,2022-11-03 12:47:41,2023,Q2,875614000.0,453693000.0,421921000.0,0.4818573024,0,0.0,0.0,294090000.0,241000.0,294090000.0,747783000.0,1884000.0,1038000.0,11934000.0,141890000.0,0.1620462898,127831000.0,0.1459901281,1087000.0,128918000.0,0.1472315427,27394000.0,101524000.0,0.1159460676,0.6383461,0.633346,159102000,160092000,https://www.sec.gov/Archives/edgar/data/910521/000091052122000039/0000910521-22-000039-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052122000039/deck-20220930.htm,5.503475757690035,0.6381063720129225,-1.306866035624945,-1.380950585159206,2.6351585775163104,9.527466656610224,9.197225679124085,9.527466656610224,1.2456348757400912,8289214200.0,8067100200.0,20.41195727118711,9.466744707142643,-39.866366237826135,-37.72763526798718,5.468400140120422,5.468400140120422,9.213078137170031,56.8546070899993,-38.7981252855597,-36.71670277454122,0.0122477230712653,-0.0265057693888523,0.1300566880783513,0.0799339428442608,-1.5653957290859115,2.6258879751421857,123.15125240847784,-2.048037902367913,0.0,0.0,0.0,0.0,0.0213035543631497,-0.0566887098713478,0.0134614110783975,1.0418987006099178,0.0076700463903044,11.695708042323982,0.0564089196109992,0.0420597007134373,1.6170506970371208,1184661000.0,1463297000.0,962775000.0,1623305000.0,378335000.0,543516000.0,882276000.0,44.67797454129331,95.79940620639948,183.50265487896,2.0144154009671618,0.9394630255441804,0.4904561193371551,0.0669754505590633,0.074084549534261,2022-10-27,0.61,amc,810711083.0,2025-03-05,2022-09-30,0.0327868852459016,80.3916129032258,2662624.64516129
