date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-01-31,DELL,USD,1571996,2025-03-25,2025-03-25 16:21:05,2025,Q4,23931000000.0,18105000000.0,5826000000.0,0.2434499185,773000000,0.0,0.0,2746000000.0,0.0,3519000000.0,21624000000.0,33000000.0,344000000.0,774000000.0,3238000000.0,0.1353056705,2307000000.0,0.0964021562,-187000000.0,2120000000.0,0.0885880239,467000000.0,1654000000.0,0.0691153734,2.375991406116656,2.319699934163157,696130464,713023256,https://www.sec.gov/Archives/edgar/data/1571996/000157199625000034/0001571996-25-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199625000034/dell-20250131.htm,33.80084745762712,2.165254237288136,0.826271186440678,-0.211864406779661,5.13135593220339,-1.9590395480225988,-36.00988700564972,-2.093220338983051,34.963276836158194,73348800000.0,94282800000.0,11.96164383561644,3.0650119092390624,125.38256410256407,-488.992,-49.49311740890688,-49.49311740890688,3.939776858468096,43.66966188050023,161.16717948717948,-628.552,0.0209001374255611,-0.0020450232314639,-16.576923076923077,0.3080656083063727,9.696155627605371,0.7786661508371483,11.545454545454543,0.3816046966731898,0.0042400148332351,0.202870189171559,0.0,0.0323011992812669,0.3023098337220675,1.2564102564102564,0.0307133007396264,0.0,0.0,,0.0436529126322506,0.0275531111830044,-88.1927966101695,-10298000000.0,-25495000000.0,-44904000000.0,20146000000.0,15896000000.0,22116000000.0,6684000000.0,58.67619405791651,103.64179104477611,33.41293532338308,1.5338418151519035,0.8683755760368663,2.6935675997617627,-1.034412955465587,1.0381355932203389,2025-02-27,2.52,amc,24567697435.0,2025-05-11,2025-01-31,0.0634920634920635,,
2024-11-01,DELL,USD,1571996,2024-11-26,2024-11-26 16:12:16,2025,Q3,24366000000.0,19059000000.0,5307000000.0,0.2178034967,745000000,0.0,0.0,3180000000.0,-286000000.0,3925000000.0,22984000000.0,-96000000.0,-746000000.0,-1584000000.0,-933000000.0,-0.0382910613,1595000000.0,0.0654600673,-203000000.0,1392000000.0,0.057128786,265000000.0,1127000000.0,0.0462529755,1.58,1.58,708000000,724000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000143/0001571996-24-000143-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000143/dell-20241101.htm,34.41525423728814,1.5918079096045197,2.193502824858757,1.2909604519774012,7.379943502824859,-3.093220338983051,-37.54237288135593,-3.227401129943503,34.28813559322034,92655960000.0,112452960000.0,20.55367346938776,3.802674218172864,59.66256278171282,101.37413566739606,-40.54965426695842,-40.54965426695842,4.615158827874907,-120.52836012861736,72.41014810045074,123.03387308533917,0.0121632758432377,0.0098644490867074,-10.95054704595186,0.3053287940354602,-21.218649517684888,0.7683838383838384,-2.1380697050938338,1.3779946761313222,0.0033672955306922,0.2768411712511091,0.0,0.0305753919395879,0.2976168686166123,0.4114616870573084,0.026225067717311,0.8352941176470589,0.0081260773208569,,0.0339267573934442,0.0195792289918521,-89.61511299435028,-11465000000.0,-26580000000.0,-46106000000.0,19252000000.0,16274500000.0,23747500000.0,6302500000.0,59.800541738488064,110.49897686132536,31.411931371005824,1.5050030883261272,0.8144871794871795,2.8651533373421527,-0.4932166301969365,0.902542372881356,2024-11-26,2.04,amc,24671168815.0,2025-04-24,2024-11-01,0.0539215686274509,,
2024-08-02,DELL,USD,1571996,2024-09-10,2024-09-10 16:09:32,2025,Q2,25026000000.0,19715000000.0,5311000000.0,0.2122192919,780000000,0.0,0.0,2903000000.0,283000000.0,4025000000.0,23684000000.0,42000000.0,387000000.0,784000000.0,2160000000.0,0.0863102374,1342000000.0,0.0536242308,-353000000.0,989000000.0,0.0395189003,148000000.0,846000000.0,0.033804843,1.19,1.17,708000000,724000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000090/0001571996-24-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000090/dell-20240802.htm,35.347457627118644,1.194915254237288,1.8926553672316384,0.9293785310734464,6.600282485875706,-3.9505649717514126,-39.30084745762712,-4.087570621468927,35.182203389830505,72421320000.0,92393320000.0,21.401099290780145,2.8938432030688084,54.04576119402986,110.0627963525836,-25.024644091223223,-25.024644091223223,3.691893231039719,42.774685185185184,68.95023880597014,140.4153799392097,0.0116816429195159,0.0090857222707346,-8.473393227366966,0.2965641515594954,9.246296296296295,0.7215228797109526,3.4677002583979326,1.5933412604042807,0.0043633559841218,0.3735224586288416,0.0,0.0311675857108607,0.3026836141110453,0.508955223880597,0.0272516582753935,0.8698979591836735,0.0076320626548389,,0.0305412799187963,0.0146724709065367,-92.60628531073446,-14490000000.0,-27825000000.0,-47941000000.0,17554000000.0,14791000000.0,22340500000.0,5367500000.0,58.83121553584272,109.99492772001014,27.17575450164849,1.5298001100311756,0.8182195476239884,3.3117755753401648,-0.2923289564616448,0.963276836158192,2024-08-29,1.7,amc,24138675289.0,2025-04-24,2024-08-02,0.1117647058823529,87.6907142857143,8604895.75
2024-05-03,DELL,USD,1571996,2024-06-11,2024-06-11 16:03:36,2025,Q1,22244000000.0,17438000000.0,4806000000.0,0.2160582629,763000000,0.0,0.0,3123000000.0,0.0,3886000000.0,21324000000.0,54000000.0,359000000.0,800000000.0,1812000000.0,0.081460169,993000000.0,0.0446412516,-373000000.0,547000000.0,0.0245909009,-408000000.0,960000000.0,0.0431577054,1.36,1.32,708000000,727000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000062/0001571996-24-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000062/dell-20240503.htm,31.4180790960452,1.3559322033898304,1.4731638418079096,0.6313559322033898,8.413841807909604,-3.846045197740113,-31.58615819209039,-3.9858757062146895,37.57203389830509,88570800000.0,108855800000.0,23.0653125,3.9817838518252113,84.91927133269415,198.144966442953,-31.385825655563423,-31.385825655563423,4.893715159144039,60.074944812362034,104.3679769894535,243.52527964205817,0.0108387865978403,0.0050468100096194,-9.299078667611624,0.3272477865070458,11.194812362030904,0.7254158461474002,2.766016713091922,1.0921465968586388,0.0037935753092441,0.35,0.0,0.0343013846430498,0.244918318992393,0.5714285714285714,0.0267937421327099,0.745,0.0094407480668944,,0.0517265022048461,0.0158546655656482,-91.3103813559322,-13107000000.0,-22363000000.0,-48286000000.0,13413000000.0,13604500000.0,19987500000.0,4202000000.0,53.50071929509081,106.24727606376878,24.680582635623352,1.6822203735914694,0.8470805401729331,3.64659138435801,-0.3401842664776754,0.8418079096045198,2024-05-30,1.26,amc,21664440387.0,2025-04-24,2024-05-03,0.0079365079365079,105.775,8185028.666666667
2024-02-02,DELL,USD,1571996,2024-03-25,2024-03-25 16:20:07,2024,Q4,22318000000.0,17002000000.0,5316000000.0,0.2381933865,716000000,0.0,0.0,3109000000.0,-1000000.0,3825000000.0,20827000000.0,92000000.0,373000000.0,841000000.0,2502000000.0,0.1121068196,1740000000.0,0.0779639753,-203000000.0,1288000000.0,0.0577112645,130000000.0,1160000000.0,0.0519759835,1.63,1.59,713034701,729559748,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000036/0001571996-24-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199624000036/dell-20240202.htm,31.30001943622096,1.6268492941131063,2.149965489547752,1.1303797681510033,10.521227072790108,-3.238271569057899,-30.86666044322014,-3.3715049164206103,38.14120120922418,61549155390.31999,80870155390.31999,13.264904178948274,2.7578257635236127,40.14948166361383,76.36371636516128,-25.60281006252912,-25.60281006252912,3.6235395371592434,32.322204392613905,52.75287370536203,100.3351803850124,0.0188467249086319,0.0130952243761701,-11.157653910149753,0.3267551072616306,7.722222222222222,0.7412669608611374,4.664879356568365,1.321551724137931,0.0042405131044421,0.225,0.0,0.0320817277533829,0.2399834326158194,0.4742335290280495,0.0325746034590913,0.8644470868014269,0.0,,0.0450647831418902,0.0185930212056612,-90.59236515334756,-12547000000.0,-22009000000.0,-48451000000.0,14292000000.0,14316000000.0,20056500000.0,3501500000.0,56.40021507303521,102.63557228561346,19.173038466062817,1.5957385957385957,0.8768889576564031,4.694091662065158,-0.4825291181364393,1.0195857213967487,2024-02-29,1.73,amc,22167076435.0,2025-04-24,2024-02-02,0.2716763005780348,125.49203125,7469725.8125
2023-11-03,DELL,USD,1571996,2023-12-08,2023-12-08 08:32:51,2024,Q3,22251000000.0,17103000000.0,5148000000.0,0.2313603883,692000000,0.0,0.0,2970000000.0,-1000000.0,3662000000.0,20765000000.0,88000000.0,372000000.0,822000000.0,2249000000.0,0.101074109,1427000000.0,0.0641319491,-306000000.0,1180000000.0,0.0530313244,176000000.0,1006000000.0,0.0452114512,1.39,1.36,722000000,740000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000046/0001571996-23-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000046/dell-20231103.htm,30.818559556786703,1.3933518005540166,2.9806094182825484,2.005540166204986,11.693905817174516,-3.559556786703601,-30.72853185595568,-3.689750692520775,38.53601108033241,50186220000.0,69194220000.0,12.471724652087476,2.2554590804907644,23.32073420074349,34.658991712707184,-18.83867117117117,-18.83867117117117,3.109712821895646,30.766660738105823,32.153447955390334,47.7860635359116,0.0200453431240687,0.0288525415940869,-10.30442942942943,0.3296862990007686,8.4517563361494,0.6968717392638665,3.836021505376344,2.1391650099403576,0.0053002597127259,0.2644135188866799,0.0,0.0310997258550177,0.2355880092236741,0.3271375464684015,0.03163902745944,0.8564476885644768,0.0,,0.0295193241602173,0.0158056812468577,-89.63434903047091,-14816000000.0,-22186000000.0,-51773000000.0,11733000000.0,15104000000.0,20972500000.0,3482500000.0,59.2395847377646,109.05455183301174,17.79161550605157,1.5192544039328144,0.8252750434279097,5.058562555456965,-0.3776276276276276,0.9750692520775625,2023-11-30,1.47,amc,23017300000.0,2025-04-24,2023-11-03,0.2789115646258503,116.48421875,12017773.109375
2023-08-04,DELL,USD,1571996,2023-09-12,2023-09-12 16:27:00,2024,Q2,22934000000.0,17547000000.0,5387000000.0,0.2348914276,705000000,0.0,0.0,3517000000.0,-71000000.0,4222000000.0,21769000000.0,66000000.0,423000000.0,831000000.0,2360000000.0,0.1029039853,1600000000.0,0.0697654138,-451000000.0,714000000.0,0.0311328159,259000000.0,462000000.0,0.0201447632,0.64,0.63,726000000,738000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000032/0001571996-23-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000032/dell-20230804.htm,31.58953168044077,0.6363636363636364,4.426997245179064,3.5674931129476586,11.90771349862259,-3.68732782369146,-30.739669421487605,-3.8181818181818175,39.14049586776859,38652240000.0,58000240000.0,20.915714285714287,1.6853684485916107,12.026210329807093,14.923644787644788,-13.943809523809524,-13.943809523809524,2.5290067149210778,24.576372881355933,18.04612321095209,22.39391505791506,0.0119527354688887,0.0670077594468005,-10.098484848484848,0.3267995984029512,8.198305084745762,0.7086686820305446,3.7825059101654848,6.956709956709957,0.0069594931626213,0.5822510822510822,0.0,0.0307403854539112,0.2292838964253193,0.194150591163659,0.0272085113804831,0.7509025270758123,0.0,,0.0243157455675201,0.0069980914296101,-91.22107438016528,-14841000000.0,-22317000000.0,-52234000000.0,11767000000.0,15179000000.0,19805500000.0,3800000000.0,61.07002703409785,108.84424687980852,18.38262950931783,1.4737180311014009,0.8268696102916921,4.895926339285714,-0.1666666666666666,0.859504132231405,2023-08-31,1.13,amc,20863700000.0,2025-04-24,2023-08-04,0.5398230088495577,134.06126984126985,13224901.904761905
2023-05-05,DELL,USD,1571996,2023-06-12,2023-06-12 16:43:52,2024,Q1,20922000000.0,15904000000.0,5018000000.0,0.2398432272,688000000,0.0,0.0,3261000000.0,0.0,3949000000.0,19853000000.0,88000000.0,405000000.0,809000000.0,1926000000.0,0.0920562088,1211000000.0,0.0578816557,-364000000.0,705000000.0,0.0336965873,127000000.0,583000000.0,0.0278654048,0.81,0.79,724000000,737000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000019/0001571996-23-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000019/dell-20230505.htm,28.89779005524862,0.8052486187845304,2.4544198895027622,1.4861878453038675,10.941988950276244,-4.038674033149171,-31.194751381215468,-4.175414364640884,41.06077348066298,32862360000.0,54263360000.0,14.091921097770156,1.5707083452824775,18.49316826111424,30.54122676579925,-10.870777373470064,-10.870777373470064,2.5936029060319283,28.1741225337487,30.5364997186269,50.43063197026022,0.01774066135238,0.0327426271272057,-9.69996692027787,0.3486931291174162,11.111630321910695,0.7374052322477309,2.990123456790124,3.0480274442538597,0.0083986664378334,0.4734133790737564,0.0,0.032884045502342,0.2337978928342093,0.3944850872256612,0.0335054010132874,0.8665018541409147,0.0,,0.0230857355070187,0.0090481585522946,-91.14779005524862,-12296000000.0,-22585000000.0,-52489000000.0,14360000000.0,16468500000.0,19527500000.0,4396000000.0,63.647834815027245,104.06815895372232,22.72635814889336,1.414030819140308,0.8648178357803153,3.960159362549801,-0.1928547800198478,0.9682320441988952,2023-06-01,0.87,amc,20273900000.0,2025-04-24,2023-05-05,0.5057471264367817,93.30409836065574,6768677.737704918
2023-02-03,DELL,USD,1571996,2023-03-30,2023-03-30 16:19:36,2023,Q4,25039000000.0,19283000000.0,5756000000.0,0.229881385,795000000,0.0,0.0,3772000000.0,14000000.0,4567000000.0,23850000000.0,48000000.0,387000000.0,854000000.0,2164000000.0,0.0864251767,1743000000.0,0.0696114062,-266000000.0,923000000.0,0.0368624945,317000000.0,614000000.0,0.0245217461,0.86,0.84,716000000,735000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000007/0001571996-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199623000007/dell-20230203.htm,34.970670391061454,0.8575418994413407,3.7905027932960897,2.730446927374301,12.400837988826815,-4.2248603351955305,-31.705307262569832,-4.360335195530726,43.107541899441344,30243840000.0,51842840000.0,12.3142671009772,1.2078693238547866,11.143640383198232,15.469994884910486,-9.687328635490072,-9.687328635490072,2.070483645513,23.95695009242144,19.102004421518053,26.51807672634271,0.0203016548163196,0.064641262485187,-9.762331838565023,0.3401144948722813,9.981053604436228,0.7618190266000697,4.503875968992248,4.420195439739413,0.0078032419163704,0.3843648208469055,0.0,0.031750469267942,0.2195712579928803,0.2796610169491525,0.0303127121690163,0.8887587822014051,0.0,,0.029245460377512,0.0087795810395367,-94.64141061452514,-12303000000.0,-22701000000.0,-53285000000.0,14307000000.0,17345000000.0,21942000000.0,5474000000.0,65.20587882902672,96.45024114505004,22.291137271171497,1.3802436469874868,0.9331236390031454,4.0374790619765495,-0.1966688020499679,1.0600558659217878,2023-03-02,1.64,amc,23423565669.0,2025-04-24,2023-02-03,0.0975609756097561,70.67809523809524,4642441.714285715
2022-10-28,DELL,USD,1571996,2022-12-05,2022-12-05 16:13:45,2023,Q3,24721000000.0,19014000000.0,5707000000.0,0.2308563569,677000000,0.0,0.0,3268000000.0,0.0,3945000000.0,22959000000.0,21000000.0,301000000.0,832000000.0,2594000000.0,0.1049310303,1762000000.0,0.0712754338,-1308000000.0,454000000.0,0.0183649529,213000000.0,245000000.0,0.0099106023,0.34,0.33,728000000,743000000,https://www.sec.gov/Archives/edgar/data/1571996/000157199622000044/0001571996-22-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1571996/000157199622000044/dell-20221028.htm,33.957417582417584,0.3365384615384615,0.5439560439560439,-0.4821428571428571,15.603021978021978,-4.626373626373627,-40.46978021978022,-4.7651098901098905,37.9532967032967,28508480000.0,50928480000.0,29.09028571428571,1.153209012580397,71.99111111111111,-81.22074074074072,-8.218068607667915,-8.218068607667915,2.0601302536305166,19.63318427139553,128.60727272727271,-145.0953846153846,0.0085939341557319,-0.012312126076171,-7.878062842317671,0.3208683604940591,8.64302235929067,0.7458034495356395,5.853820598006645,1.6431535269709543,0.0083483931798538,0.9714285714285714,0.0,0.0273856235589175,0.3063682900483727,1.8863636363636365,0.0302172242223211,0.8978365384615384,0.0095060879414263,,0.0232791956435479,0.004147059819222,-84.72973901098901,-13220000000.0,-29462000000.0,-49753000000.0,19448000000.0,17517500000.0,24913500000.0,6027500000.0,60.24877634399903,109.90375512780058,29.214263174503,1.493806272282313,0.8188983160342823,3.0806869734283864,-0.0706255405015854,1.026098901098901,2022-11-21,1.6,amc,24374413074.0,2025-04-24,2022-10-28,0.4374999999999998,59.577936507936506,4540452.634920635
