date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-28,DHR,USD,313616,2025-04-22,2025-04-22 06:03:03,2025,Q1,5741000000.0,2230000000.0,3511000000.0,0.6115659293,379000000,0.0,0.0,1858000000.0,0.0,2237000000.0,4467000000.0,6000000.0,72000000.0,591000000.0,1792000000.0,0.312140742,1274000000.0,0.2219125588,-145000000.0,1129000000.0,0.1966556349,175000000.0,954000000.0,0.1661731406,1.33,1.32,716300000,720800000,https://www.sec.gov/Archives/edgar/data/313616/000031361625000088/0000313616-25-000088-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361625000088/dhr-20250328.htm,8.014798268881753,1.331844199357811,1.8134859695658243,1.471450509563032,2.78235376239006,70.99958118106939,-13.52087114337568,70.98841267625296,23.103448275862068,147450355000.0,161934355000.0,38.64003013626834,25.683740637519595,113.51066589684372,139.8959724857685,2.8997690220063324,2.8997690220063324,28.206646054694303,90.36515345982144,124.66078137028484,153.63790796963946,0.0064699742499772,0.0071481686158029,0.3240378375189286,0.2082638151574902,8.082589285714286,1.4334085778781038,17.694444444444443,1.3616352201257862,0.0013156970697018,0.2033542976939203,0.0,0.066016373454102,0.765230800343799,0.1886066204772902,0.0426754920745514,0.4145516074450084,0.0106253265981536,46.122379351036685,0.0147525675305431,0.0513621190912027,-31.230629624459027,2880000000.0,-9685000000.0,-18734000000.0,68532000000.0,3521500000.0,1737500000.0,2431000000.0,54.96255007838356,69.49775784753363,102.1883408071749,1.6374786081003994,1.2950058072009292,0.8807266982622433,0.0187614309032626,0.3420354600027921,2025-04-22,1.63,bmo,5571884314.0,2025-05-11,2025-03-28,0.1533742331288343,218.35333333333332,4321394.166666667
2024-12-31,DHR,USD,313616,2025-02-20,2025-02-20 16:18:06,2024,Q4,6538000000.0,2648000000.0,3890000000.0,0.5949831753,442000000,0.0,0.0,2023000000.0,0.0,2465000000.0,5113000000.0,14000000.0,61000000.0,546000000.0,1971000000.0,0.3014683389,1425000000.0,0.2179565616,-110000000.0,1315000000.0,0.2011318446,229000000.0,1086000000.0,0.1661058428,1.5,1.49,731000000,737200000,https://www.sec.gov/Archives/edgar/data/313616/000031361625000043/0000313616-25-000043-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361625000043/dhr-20241231.htm,8.943912448700411,1.4856361149110806,2.761969904240766,2.0560875512995898,2.8426812585499315,67.78385772913816,-13.01641586867305,67.77428180574556,21.9781121751026,167801050000.0,181728050000.0,38.62823434622468,25.665501682471703,83.11097077761269,111.64407850964736,3.386977978725552,3.386977978725552,27.79566381156317,92.20093860984272,90.00894006934126,120.9102129075183,0.00647194996694,0.0089570357277263,0.3230527016934784,0.206404271233654,7.065956367326231,1.3970285378052367,23.36065573770492,1.859116022099448,0.001162090463677,0.1795580110497237,0.0,0.0676047721015601,0.7617162312037348,0.2555720653789004,0.0789232181095136,0.8672268907563025,0.0087182624655858,47.59703999239315,0.0165173420885047,0.0587757752881961,-30.22742818057456,2699000000.0,-9515000000.0,-18495000000.0,66754000000.0,3522000000.0,1674500000.0,2504000000.0,48.68920159070052,59.58081570996978,79.1918429003021,1.8484591461690696,1.5105533371363378,1.136480686695279,0.0219203520174393,0.7058823529411765,2025-01-29,2.14,bmo,6445383671.0,2025-04-29,2024-12-31,0.0,245.7603125,2848726.25
2024-09-27,DHR,USD,313616,2024-10-22,2024-10-21 17:38:16,2024,Q3,5798000000.0,2397000000.0,3401000000.0,0.5865815799,383000000,0.0,0.0,2060000000.0,0.0,2443000000.0,4840000000.0,4000000.0,87000000.0,591000000.0,1655000000.0,0.2854432563,958000000.0,0.1652293894,19000000.0,977000000.0,0.1685063815,159000000.0,818000000.0,0.1410831321,1.13,1.12,723000000,729400000,https://www.sec.gov/Archives/edgar/data/313616/000031361624000220/0000313616-24-000220-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361624000220/dhr-20240927.htm,8.019363762102351,1.1313969571230982,2.092669432918396,1.6804979253112031,3.633471645919778,70.9612724757953,-14.8298755186722,70.95297372060857,24.35822959889349,199143120000.0,214040120000.0,60.86281173594132,34.34686443601242,131.62136153337738,163.9038024691358,3.8820078364100654,3.8820078364100654,36.91619868920317,129.32937764350453,141.46736285525446,176.16470781893003,0.0041075985954222,0.0061011397230293,0.3416050995146104,0.2173788997084909,9.001208459214501,1.370758958986238,11.011494252873565,1.8496332518337408,0.0009842167783652,0.2396088019559902,0.0,0.0660572611245257,0.7694225640389506,0.1969596827495043,0.0513970334598137,0.5042301184433164,0.0144877543980682,42.49952373547806,0.0107698066320802,0.0440068861631159,-31.41597510373444,2721000000.0,-10722000000.0,-19250000000.0,69591000000.0,3402500000.0,1620500000.0,2674500000.0,54.43773715074163,59.92490613266583,100.55068836045056,1.6532648987738807,1.5018796992481205,0.8950709484690067,0.015945729936256,0.4121715076071922,2024-10-22,1.57,bmo,5586862933.0,2025-04-25,2024-09-27,0.0891719745222929,264.638125,2679989.109375
2024-06-28,DHR,USD,313616,2024-07-23,2024-07-22 17:41:46,2024,Q2,5743000000.0,2315000000.0,3428000000.0,0.5969005746,391000000,0.0,0.0,1869000000.0,0.0,2260000000.0,4575000000.0,39000000.0,65000000.0,580000000.0,1748000000.0,0.304370538,1168000000.0,0.2033780254,-85000000.0,1083000000.0,0.1885773986,176000000.0,907000000.0,0.1579313947,1.23,1.22,737600000,742400000,https://www.sec.gov/Archives/edgar/data/313616/000031361624000186/0000313616-24-000186-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361624000186/dhr-20240628.htm,7.786062906724512,1.2296637744034706,1.9210954446854664,1.5319956616052062,3.218546637744035,67.65455531453362,-14.164859002169198,67.6477765726681,24.77630151843817,184289360000.0,200125360000.0,50.79640573318633,32.0893888211736,130.0560056457304,163.08792920353983,3.693395594925547,3.693395594925547,34.84683266585408,114.48819221967965,141.23172900494,177.10208849557523,0.0049216080624513,0.0061316616434068,0.3649518007094615,0.2318121061676532,9.05949656750572,1.43396507983883,17.96923076923077,1.5622932745314222,0.0010852498483905,0.2205071664829107,0.0,0.0680828835103604,0.7682515435045509,0.2025405786873677,0.0499738812467351,0.4948275862068965,0.0151488768936096,43.26246012518092,0.0134820001230638,0.0498214776160395,-30.46366594360087,2908000000.0,-10448000000.0,-19044000000.0,69001000000.0,3338500000.0,1662000000.0,2658000000.0,51.68378896047362,63.95248380129589,103.84017278617708,1.741358399029715,1.4072948328267476,0.8667165855484837,0.0181774455378078,0.3890997830802603,2024-07-23,1.57,bmo,5585736563.0,2025-04-25,2024-06-28,0.0955414012738852,252.64888888888888,2931206.253968254
2024-03-29,DHR,USD,313616,2024-04-23,2024-04-22 17:53:08,2024,Q1,5796000000.0,2309000000.0,3487000000.0,0.6016218081,368000000,0.0,0.0,1807000000.0,1000000.0,2175000000.0,4484000000.0,60000000.0,65000000.0,586000000.0,1924000000.0,0.3319530711,1312000000.0,0.226363009,-41000000.0,1271000000.0,0.2192891649,183000000.0,1088000000.0,0.187715666,1.47,1.45,740600000,748600000,https://www.sec.gov/Archives/edgar/data/313616/000031361624000102/0000313616-24-000102-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361624000102/dhr-20240329.htm,7.826086956521739,1.4690791250337565,2.3480961382662704,1.9551714825816904,9.493653794220902,72.16716176073454,-9.839319470699431,72.16041047799082,26.097758574129085,184942632000.0,197174632000.0,42.49600919117647,31.908666666666665,106.3499896492237,127.72281215469611,3.460623329965196,3.460623329965196,34.019087646652864,102.48161746361748,113.38391719378951,136.17032596685084,0.0058829053541316,0.0078294549198369,0.3604468395643875,0.2309656842761564,6.357588357588358,1.847775777834919,20.184615384615384,1.5983455882352942,0.0009570535364717,0.1626838235294117,0.0,0.0634920634920634,0.7282079566437256,0.1673375503162737,0.0502070393374741,0.4965870307167235,0.010351966873706,48.83861623202871,0.0145159205660275,0.0479971766366684,-25.74567917904401,6594000000.0,-7287000000.0,-15583000000.0,72990000000.0,3650500000.0,1722500000.0,2619500000.0,52.46894409937888,65.4439151147683,103.09657860545693,1.71530038472921,1.3752233472304944,0.8729678638941399,0.0203585195164851,0.39292465568458,2024-04-23,1.72,bmo,5622318947.0,2025-04-25,2024-03-29,0.1162790697674418,244.02967213114752,2766192.0327868853
2023-12-31,DHR,USD,313616,2024-02-21,2024-02-21 16:38:09,2023,Q4,2693000000.0,1070000000.0,1623000000.0,0.6026735982,239000000,0.0,0.0,766000000.0,1000000.0,1005000000.0,2075000000.0,117000000.0,78000000.0,493000000.0,1830000000.0,0.679539547,541000000.0,0.2008911994,-84000000.0,457000000.0,0.1696992202,-79000000.0,1079000000.0,0.4006683996,1.46,1.45,739800000,746100000,https://www.sec.gov/Archives/edgar/data/313616/000031361624000052/0000313616-24-000052-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361624000052/dhr-20231231.htm,3.640173019735064,1.4585022979183564,2.1884293052176265,1.6450391997837253,7.926466612598,72.30332522303326,-11.9816166531495,72.29791835631252,26.51257096512571,171145332000.0,184817332000.0,39.65369138090825,63.5519242480505,105.71052007411984,140.6288677074774,3.1998155031223123,3.1998155031223123,68.62879019680653,100.99307759562842,114.15523903644224,151.8630501232539,0.0063045832883131,0.0071109155346404,0.3652544591107953,0.2312281033992993,7.47103825136612,1.6844331641285957,6.935897435897436,3.0205223880597014,0.0011685974584454,0.1853568118628359,0.0,0.0887486075009283,0.7380219676167029,0.2483014206300185,0.149275900482733,0.8154158215010142,0.0096546602302265,48.7088318612898,0.0081256103644069,0.0487485316707328,-28.244795890781297,5663000000.0,-8864000000.0,-17061000000.0,72570000000.0,4061500000.0,1830000000.0,2809000000.0,131.07315261789824,148.54205607476638,218.1869158878505,0.6866394696583376,0.6058890147225368,0.4124903623747109,0.0201735033466701,0.5433901054339011,2024-01-30,1.9,bmo,5594410000.0,2025-04-25,2023-12-31,0.0999999999999999,212.8219047619048,3160445.746031746
2023-09-29,DHR,USD,313616,2023-10-24,2023-10-23 17:43:27,2023,Q3,6873000000.0,2873000000.0,4000000000.0,0.5819874873,417000000,0.0,0.0,2145000000.0,1000000.0,2562000000.0,5435000000.0,79000000.0,73000000.0,554000000.0,2024000000.0,0.2944856686,1438000000.0,0.2092245017,-41000000.0,1397000000.0,0.2032591299,268000000.0,1129000000.0,0.1642659683,1.53,1.51,739400000,745900000,https://www.sec.gov/Archives/edgar/data/313616/000031361623000256/0000313616-23-000256-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361623000256/dhr-20230929.htm,9.29537462807682,1.526913713822018,2.2612929402218014,1.7676494454963485,16.604003245875035,70.88855829050581,-7.473627265350284,70.87773870705978,29.93373005139302,162608848000.0,172391848000.0,36.007273693534096,23.65907871380765,97.2540956937799,124.41380872226472,3.1028077928521,3.1028077928521,25.082474610795867,85.17383794466403,103.10517224880384,131.89888905891354,0.0069430416234176,0.0080376930042576,0.4209361344858511,0.2514418583445414,4.833498023715415,2.2637984413366072,19.698630136986303,1.4809565987599649,0.0012237956448716,0.1762621789193977,0.0,0.0606721955477957,0.660416714158707,0.2183014354066985,0.0531063582132984,0.6588447653429603,0.0165866433871671,49.34616806623715,0.0143625895900255,0.0378948075051186,-24.856978631322693,11838000000.0,-5526000000.0,-14114000000.0,74081000000.0,4200000000.0,1925000000.0,3103500000.0,55.01091226538629,59.33170901496693,94.73024712843716,1.6360390383242085,1.516895459345301,0.9500661375661376,0.0215429236552368,0.493643494725453,2023-10-24,1.83,bmo,6634090000.0,2025-04-25,2023-09-29,0.1038251366120218,222.9973015873016,2959618.396825397
2023-06-30,DHR,USD,313616,2023-07-25,2023-07-24 17:46:33,2023,Q2,7157000000.0,3116000000.0,4041000000.0,0.5646220483,418000000,0.0,0.0,2194000000.0,-29000000.0,2612000000.0,5728000000.0,59000000.0,67000000.0,562000000.0,2021000000.0,0.2823808858,897000000.0,0.125331843,229000000.0,1392000000.0,0.1944949001,286000000.0,1106000000.0,0.1545340226,1.5,1.49,737300000,744700000,https://www.sec.gov/Archives/edgar/data/313616/000031361623000214/0000313616-23-000214-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361623000214/dhr-20230630.htm,9.707039197070392,1.500067815000678,2.6122338261223383,2.1497355214973557,11.630272616302726,70.15326190153262,-9.723314797233147,70.14241150142412,27.04733487047335,156853202000.0,168153202000.0,35.45506374321881,21.91605449210563,81.4398764278297,98.96101072555206,3.032972426328409,3.032972426328409,23.494928321922597,83.20296981692232,87.30695846313603,106.09034826498424,0.007051178974338,0.0101049897597882,0.3843104648464692,0.2340934253610044,5.591291439881247,2.0777010947168013,13.388059701492535,1.7414104882459314,0.0013898345537122,0.1971066907775768,0.0,0.0584043593684504,0.6936585710583968,0.1770508826583593,0.0476456615900517,0.6067615658362989,0.0134134413860556,48.6560727360516,0.0091269156106814,0.0425237417816909,-26.9391699443917,9057000000.0,-7169000000.0,-15717000000.0,72126000000.0,4256000000.0,2018500000.0,3283000000.0,52.802850356294535,56.49550706033376,91.9351732991014,1.7044534412955463,1.5930470347648262,0.9789506754633992,0.0213860314022739,0.462498304624983,2023-07-25,2.0,bmo,6341780000.0,2025-04-25,2023-06-30,0.0249999999999999,211.66306451612903,3731470.3387096776
2023-03-31,DHR,USD,313616,2023-04-25,2023-04-24 17:55:09,2023,Q1,7167000000.0,2797000000.0,4370000000.0,0.6097390819,429000000,0.0,0.0,2147000000.0,2000000.0,2576000000.0,5373000000.0,48000000.0,68000000.0,557000000.0,2423000000.0,0.3380772987,1794000000.0,0.2503139389,4000000.0,1798000000.0,0.2508720525,348000000.0,1450000000.0,0.2023161713,1.96,1.94,729400000,737200000,https://www.sec.gov/Archives/edgar/data/313616/000031361623000125/0000313616-23-000125-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361623000125/dhr-20230331.htm,9.825884288456264,1.987935289278859,2.669317247052372,2.292295037016726,10.11653413764738,70.58678365780094,-11.44228132711818,70.57581573896353,27.282698108034,162955254000.0,175408254000.0,28.095733448275865,22.73688488907493,83.6955593220339,97.46127631578948,3.1655319553984227,3.1655319553984227,24.474431979907912,72.39300619067272,90.09155315870572,104.9092428229665,0.0088981481996278,0.0102604853722605,0.3852519522902988,0.2332079021636876,5.1394964919521255,1.8936998854524627,26.38235294117647,1.3427586206896551,0.0012518774018786,0.1406896551724138,0.0,0.0598576810380912,0.7035747883349012,0.1412429378531073,0.0383703083577508,0.4937163375224416,0.0097669875819729,56.18499337221086,0.0185767285159202,0.0575214217708663,-29.13182067452701,7802000000.0,-8346000000.0,-17022000000.0,71699000000.0,5096500000.0,2188500000.0,3246500000.0,54.16073670992047,66.96102967465141,108.85591705398642,1.6617203802457683,1.344065353195579,0.8267809636417381,0.0281673724697929,0.3770222100356457,2023-04-25,2.25,bmo,7024560000.0,2025-04-25,2023-03-31,0.0488888888888888,227.4490322580645,2933935.3870967743
2022-12-31,DHR,USD,313616,2023-02-22,2023-02-22 16:40:48,2022,Q4,8369000000.0,3430000000.0,4939000000.0,0.5901541403,453000000,0.0,0.0,2190000000.0,-68000000.0,2643000000.0,6073000000.0,29000000.0,64000000.0,565000000.0,2825000000.0,0.3375552635,1692000000.0,0.2021746923,-103000000.0,2193000000.0,0.2620384753,-39000000.0,2232000000.0,0.2666985303,3.03,2.96,728900000,745700000,https://www.sec.gov/Archives/edgar/data/313616/000031361623000087/0000313616-23-000087-index.htm,https://www.sec.gov/Archives/edgar/data/313616/000031361623000087/dhr-20221231.htm,11.481684730415695,3.062148442859103,3.486074907394704,3.034709836740294,8.224722184113046,68.71998902455755,-13.667169707778845,68.70901358211003,27.083276169570585,171488303000.0,185170303000.0,19.20791924283154,20.49089532799617,67.48850964187328,77.52635759493671,3.424150453256659,3.424150453256659,22.125738200501853,65.54700991150442,72.87300393545848,83.71171021699818,0.0130154649673103,0.0128988389371373,0.3928956511321433,0.2332780082987552,4.843185840707965,1.8933126713553463,26.4375,1.1384408602150538,0.0011837542062562,0.0909498207885304,0.0,0.0541283307444139,0.7119383521043272,0.1294765840220385,0.0393117457282829,0.5823008849557522,0.0078862468634245,68.80361165225247,0.0224467248957585,0.0918594122973084,-30.59404582247221,7494000000.0,-9962000000.0,-18377000000.0,71502000000.0,5144500000.0,2243500000.0,3173000000.0,63.233361214004056,60.24489795918368,81.60349854227405,1.4232993197278911,1.4939024390243902,1.1028938906752412,0.0445669102671618,0.4513650706544108,2023-01-24,2.54,bmo,7899922272.0,2025-04-25,2022-12-31,0.1299212598425197,231.77682539682544,3014396.015873016
