date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,DLR,USD,1297996,2025-05-01,2025-05-01 17:23:22,2025,Q1,1407637000.0,605324000.0,802313000.0,0.5699715196,0,123540000.0,0.0,123540000.0,483023000.0,606563000.0,1211887000.0,0.0,98464000.0,443009000.0,665003000.0,0.4724250641,195750000.0,0.1390628408,-72220000.0,123530000.0,0.0877569999,17135000.0,109974000.0,0.0781266761,0.2964004716602857,0.2894891811058798,336683000,344721000,https://www.sec.gov/Archives/edgar/data/1297996/000155837025006125/0001558370-25-006125-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837025006125/dlr-20250331x10q.htm,4.180897164394994,0.3266395986729357,1.185343483335957,1.185343483335957,6.896353543243942,133.8961634534562,100.33594805796552,63.25118286340564,0.0,48243307070.0,45921422070.0,109.66980165766452,34.2725482990288,120.88479163586705,120.88479163586705,2.26541217908039,2.26541217908039,32.623056988413914,67.66474288341307,115.06677041231818,115.06677041231818,0.0022795700933277,0.008272339195589,0.0,0.0,-3.42127365503543,0.0,0.0,3.7509751398092015,0.0175902742067139,7.71648753341699,0.0,0.0,0.2506435922427054,0.0,0.0,0.0,0.0148319488618159,21.560558253140243,0.0037399106502166,0.0032554593343178,6.896353543243942,4648642000.0,33781408000.0,4648642000.0,15947796000.0,628732000.0,1028107500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051641658524921,0.0,2025-03-31,,,,,,,162.64916666666667,2515764.85
2024-12-31,DLR,USD,1297996,2025-02-25,2025-02-24 21:40:43,2024,Q4,1435862000.0,662689000.0,773173000.0,0.5384730566,0,126816000.0,0.0,126816000.0,502035000.0,628851000.0,1291540000.0,0.0,104742000.0,455355000.0,750713000.0,0.5228308849,144322000.0,0.1005124448,-233987000.0,-89665000.0,-0.062446809,4928000.0,-89665000.0,-0.062446809,-0.27,-0.27,323336000,336249000,https://www.sec.gov/Archives/edgar/data/1297996/000155837025001424/0001558370-25-001424-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837025001424/dlr-20241231x10k.htm,4.440773684340748,-0.2773121458792092,2.3797999604126976,2.3797999604126976,11.97172909914145,71.67707895192616,37.32431588193087,66.00068349951754,56.020170967662125,57337172880.00001,71474877880.0,-159.86497763898956,39.93223086898324,74.51466633743787,74.51466633743787,2.686790357274047,2.686790357274047,49.77837555419672,95.20932484185036,92.8878493518308,92.8878493518308,-0.0015638196914183,0.0134201768477567,0.8438735230651988,0.397684584199283,18.83237002689443,1.1085971725811534,1.3778808882778637,4.143913446210848,0.0001776334529314,-0.1135894719232699,0.0883204653371981,0.0,0.2452870592313122,0.0,0.0,0.0,0.0103986316233732,,0.0036020293623416,-0.002623614709342,-53.48568362322785,502369000.0,12068295000.0,-16979481000.0,12788707000.0,1265962000.0,2098489000.0,0.0,78.81799225830895,279.25520115770746,0.0,1.141871258342187,0.3222858504582448,0.0,-0.0042016556674179,0.0,2024-12-31,,,,,,,177.41328125,1911066.1875
2024-09-30,DLR,USD,1297996,2024-11-01,2024-11-01 17:01:14,2024,Q3,1431214000.0,656361000.0,774853000.0,0.5413956264,0,117602000.0,0.0,117602000.0,488965000.0,606567000.0,1262928000.0,0.0,123803000.0,459997000.0,652477000.0,0.4558905936,168286000.0,0.1175826955,-115725000.0,52561000.0,0.0367247665,12427000.0,51193000.0,0.0357689346,0.0948,0.0925,327977000,336249000,https://www.sec.gov/Archives/edgar/data/1297996/000155837024014149/0001558370-24-014149-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837024014149/dlr-20240930x10q.htm,4.363763312671315,0.1560871646487406,1.727300999765227,1.727300999765227,6.633407220628276,70.66535458279087,34.80094945682167,64.77927110742522,56.26690896007952,53076517910.00001,69231361910.0,259.198122350712,37.08496277286277,93.68951909481656,93.68951909481656,2.498175685423088,2.498175685423088,48.372473934715565,106.10544419190256,122.20569960195228,122.20569960195228,0.0009645131597895,0.0106735524919064,0.8627672612648969,0.4046868477192304,24.75925434919545,0.7928484578009188,1.3593047018246731,14.115587780933872,0.0078897037049429,8.179985544898717,0.0821694030382598,0.0,0.2596886734016713,0.0,0.0,0.0,0.015804764346911,15.083178941832088,0.003007152661066,0.001526659461956,-57.89226073779564,-901416000.0,11413911000.0,-18668715000.0,12089791000.0,1248431500.0,2002993500.0,-22638000.0,80.14273197439377,293.54070397235665,0.0,1.1229964063211086,0.3066014313588193,0.0,0.0024095233240568,0.0,2024-10-24,1.67,amc,1466360000.0,2025-04-25,2024-09-30,0.0,153.33609375,1615151.875
2024-06-30,DLR,USD,1297996,2024-08-02,2024-08-02 17:17:23,2024,Q2,1356749000.0,1032619000.0,324130000.0,0.2389019642,0,120395000.0,0.0,120395000.0,62261000.0,545209000.0,1152485000.0,0.0,114756000.0,425343000.0,629607000.0,0.4640556212,204264000.0,0.1505540081,79771000.0,89660000.0,0.0660844416,14992000.0,80220000.0,0.0591266329,0.22,0.2,319537000,327946000,https://www.sec.gov/Archives/edgar/data/1297996/000155837024010734/0001558370-24-010734-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837024010734/dlr-20240630x10q.htm,4.245984033147961,0.2510507390380456,1.793883024501075,-0.2574756600957009,7.283469519961694,70.12554101715921,34.3113661328735,64.27269142540614,55.67850045534633,48611163810.0,64005686810.0,151.49328038519073,35.82915027761214,84.80486069726383,-590.8519661371288,2.366946157475911,2.366946157475911,47.175775924655184,101.6597445867025,111.6614565117269,-777.967095037254,0.0016502382109909,-0.0016924713080635,0.8606978657532028,0.40536226815386,24.451003562539807,0.8267841091663187,1.7799853602426017,7.145499875342807,0.0085531587275939,5.182984293193718,0.08873785792361,0.0,0.2624345794217853,1.1435297935144415,0.4831291565352176,1.541073909762239,0.0232172642102555,19.05396022752306,0.0041272214415928,0.0024941758258397,-56.261640279529445,-734205000.0,10963751000.0,-17694713000.0,11920752000.0,1219839500.0,1807568000.0,-36212499.5,81.08815263545432,162.5673749587867,-3.9461214677883336,1.1099031988632226,0.5536166160203815,-22.807204677975086,0.0039060249924248,2.051358684596776,2024-07-25,1.63,amc,1382370000.0,2025-04-25,2024-06-30,0.0122699386503067,143.59507936507936,1863091.7301587304
2024-03-31,DLR,USD,1297996,2024-05-03,2024-05-03 17:17:47,2024,Q1,1331143000.0,1023891000.0,307252000.0,0.2308181766,0,115210000.0,0.0,115210000.0,-126046000.0,126046000.0,1149937000.0,0.0,109535000.0,431102000.0,612308000.0,0.4599866431,181206000.0,0.1361281245,160883000.0,310250000.0,0.2330703764,22413000.0,281508000.0,0.2114784062,0.87,0.82,312292000,320798000,https://www.sec.gov/Archives/edgar/data/1297996/000155837024006671/0001558370-24-006671-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837024006671/dlr-20240331x10q.htm,4.262494716483292,0.9014255888719532,1.1280308173120028,-0.9831824062095732,3.909587821654093,66.73313117210816,30.02259744085664,60.9040577408323,59.19980979339849,44317357720.0,61501665720.0,39.35710327948051,33.29270988917043,125.80330060322191,-144.33740789473686,2.3300582139186163,2.3300582139186163,46.20214786841083,100.44236841589527,174.58424730679158,-200.30506031787388,0.006352093502022,-0.0069282108816121,0.9662585141312892,0.4310757777837773,28.06481052019572,0.7135155261829388,1.6543205368147167,1.2513853957969223,0.017792689830065,2.801074925046535,0.0865496794859755,0.0,0.2689086404224662,1.87159179618196,0.4952999039171599,1.5293712392890777,0.0125726537269098,35.146275941537915,0.0041252505760146,0.0090317579347192,-62.99409046501352,-1083327000.0,9375817000.0,-19094742000.0,11614489000.0,1247693000.0,1529488500.0,-17843499.5,82.30133051069645,153.81723249838117,-2.386396510956733,1.0935424669507985,0.5851099941025606,-37.71376616869005,0.0148007476399656,2.111213223521576,2024-05-02,1.63,amc,1361990000.0,2025-04-25,2024-03-31,0.0245398773006135,141.3255737704918,2108082.4918032787
2023-12-31,DLR,USD,1297996,2024-02-23,2024-02-23 07:24:51,2023,Q4,1369633000.0,1067631000.0,302002000.0,0.2204984839,0,116799000.0,0.0,116799000.0,-122380000.0,122380000.0,1190011000.0,0.0,113638000.0,420475000.0,600097000.0,0.4381443788,179622000.0,0.1311460807,-93426000.0,40606000.0,0.0296473581,20724000.0,28310000.0,0.0206697707,0.0926,0.0926,305781000,305781000,https://www.sec.gov/Archives/edgar/data/1297996/000155837024001575/0001558370-24-001575-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837024001575/dlr-20231231x10k.htm,4.479130488813889,0.0925825999653346,1.5118826872827285,-1.951824998937148,5.343801609648736,68.66457039515208,30.27072643493219,62.52034626088606,62.40295832638392,41152006980.00001,58494512980.00001,363.4052188272695,30.046010120959416,89.0148429716313,-68.95085372576158,2.152579248976359,2.152579248976359,42.708165603486485,97.47509649273368,126.52796958717732,-98.00850321112678,0.0006879372861148,-0.0145030836598093,0.9921782275893952,0.4299841428620879,28.899504580092884,0.7031223915709502,1.5806508386279237,23.24191845558293,0.0002473998413965,0.3596255740021194,0.0852775889599622,0.0,0.2661355972876815,2.290989714582365,0.773299124656021,2.518903620904929,0.0187984664505017,11.41212796415423,0.0022271790437236,0.0008744901523172,-67.13494134691167,-1428019000.0,9256213000.0,-19734828000.0,11726345000.0,1301917500.0,1728084500.0,1482827500.0,83.98592907735139,110.35259373322806,-0.7197430572922667,1.0716080775520105,0.8155675997754123,-125.04462403373157,0.0014808395266879,3.4637076862198763,2024-02-15,1.64,amc,1394800000.0,2025-04-25,2023-12-31,-0.0060975609756097,129.1636507936508,1932433.634920635
2023-09-30,DLR,USD,1297996,2023-11-09,2023-11-09 16:25:12,2023,Q3,1402437000.0,679823000.0,722614000.0,0.5152559438,0,112328000.0,0.0,112328000.0,625941000.0,534236000.0,1214059000.0,0.0,110767000.0,420613000.0,606304000.0,0.4323217371,58231000.0,0.0415212947,704940000.0,763171000.0,0.5441748899,17228000.0,733618000.0,0.5231022855,2.4,2.33,301827000,311341000,https://www.sec.gov/Archives/edgar/data/1297996/000155837023018593/0001558370-23-018593-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837023018593/dlr-20230930x10q.htm,4.646492858491785,2.430591033936659,1.1873059732893343,-2.449883542559148,3.6263554950352352,66.38531675429965,28.26986651293622,60.26639763838225,60.91255255494041,36527103540.0,53739339540.0,12.447589733348964,26.04545055499819,101.92823309456108,-49.398266447221616,2.0080841852562497,2.0080841852562497,38.31854089702425,88.6343147002164,149.9586716746521,-72.6756286708473,0.0200842095020381,-0.0202436253723281,1.0046322088819444,0.4358022885104792,28.38878846255344,0.5642985165207577,0.5257071149349536,0.4804166029884521,0.0106351712112785,0.529528991927679,0.0800948634412811,0.0,0.2743520630708652,3.0633969656296305,0.7827816864500865,2.610004921388545,0.0137118458797079,57.40963968985566,0.0015053112271664,0.0241097719641584,-60.69606678660292,-1843629000.0,8532609000.0,-19507859000.0,10935053000.0,1242054000.0,2120020000.0,1478441000.0,85.077083676486,284.24951788921527,393.7456808610477,1.0578641875200363,0.3166232283112509,0.2285739358541964,0.0403307834744161,3.637189515848483,2023-10-26,1.62,amc,1397310000.0,2025-04-25,2023-09-30,0.0,122.80031746031746,2300861.492063492
2023-06-30,DLR,USD,1297996,2023-08-04,2023-08-04 09:09:58,2023,Q2,1366267000.0,646414000.0,719853000.0,0.5268757864,0,110349000.0,0.0,110349000.0,502095000.0,543577000.0,1189991000.0,0.0,111116000.0,432573000.0,605197000.0,0.442956611,154860000.0,0.1133453417,-23041000.0,131819000.0,0.0964811417,16173000.0,118184000.0,0.0865013939,0.37,0.35,295390000,306819000,https://www.sec.gov/Archives/edgar/data/1297996/000155837023013321/0001558370-23-013321-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837023013321/dlr-20230630x10q.htm,4.625298757574732,0.400094789938725,1.57211821659501,-0.5605978536849588,0.4801448931920511,65.92159517925454,25.38468126883104,59.654883374521816,65.20466501912726,33636059300.0,52661230300.0,71.15188879205307,24.618950249109435,72.43093986063379,-203.122433044476,1.908812716724429,1.908812716724429,38.5438792710356,87.0150220506711,113.3992056211616,-318.01220024759203,0.0035136101689534,-0.0049231391383591,1.0867257506984669,0.4517636584342515,31.43632734464976,0.4206108019868814,1.3936786781381618,4.015599328986736,0.0114167654592046,3.2492977052731336,0.0807667900930052,0.0,0.2824854056154306,1.3565875948560255,0.4610980137850068,1.456362278736768,0.0132133763019966,23.17371745603929,0.0035716518144263,0.0038857735656397,-74.18732269203426,-2585274000.0,7498381000.0,-21039361000.0,10680158000.0,1114224500.0,2008377500.0,-8655500.0,76.30607341024852,291.39876302184047,-2.410204605717079,1.179460506585473,0.3088551202712362,-37.341228120848015,0.0067068237721105,2.132716070279969,2023-07-27,1.65,amc,1371710000.0,2025-04-25,2023-06-30,0.0181818181818182,98.93806451612905,3112909.2741935486
2023-03-31,DLR,USD,1297996,2023-05-04,2023-05-04 16:43:05,2023,Q1,1338723000.0,616004000.0,722719000.0,0.539857013,0,111920000.0,0.0,111920000.0,433465000.0,545385000.0,1161389000.0,0.0,102220000.0,421198000.0,613709000.0,0.4584286667,177334000.0,0.1324650432,-87043000.0,90291000.0,0.067445618,21454000.0,68726000.0,0.0513369831,0.2,0.19,291218549,303065000,https://www.sec.gov/Archives/edgar/data/1297996/000155837023008142/0001558370-23-008142-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837023008142/dlr-20230331x10q.htm,4.596970229392909,0.2359945828862707,1.2009056469819854,1.2009056469819854,0.4512281255820693,65.77000697850465,23.825814062414,59.10505721254727,66.69123607232862,28629695552.19,47817794552.19,104.14433966835696,21.385824813788965,81.86321735355678,81.86321735355679,1.6633094465414038,1.6633094465414038,35.71896094426555,77.91607187150588,136.7293096658241,136.7293096658241,0.0024005145243237,0.0122154983926557,1.1224120462763985,0.4605028042407483,31.265793723083743,0.2487498038319335,1.7348268440618275,5.088700055292029,0.0257765926520147,10.73794488257719,0.0836020595746842,0.0,0.2911569492642814,0.0,0.0,0.0,0.0130736530260554,17.71554824935559,0.0034108782554052,0.0023110389553617,-75.08335432301051,-3628570000.0,6938519000.0,-21598149000.0,9903650000.0,1019679000.0,1896352000.0,856327500.0,71.93866094778382,281.0756261322978,0.0,1.251065822108169,0.32019852179441,0.0,0.0039927984848675,0.0,2023-04-27,1.65,amc,1384540000.0,2025-04-25,2023-03-31,0.006060606060606,105.41596774193548,2232436.870967742
2022-12-31,DLR,USD,1297996,2023-02-27,2023-02-24 21:24:08,2022,Q4,1233106000.0,533023000.0,700083000.0,0.5677395131,0,109029000.0,0.0,109029000.0,433745000.0,542774000.0,1075797000.0,0.0,86882000.0,430130000.0,571461000.0,0.4634321786,120981000.0,0.0981107869,-137895000.0,-16915000.0,-0.0137173933,-17676000.0,761000.0,0.0006171408,0.0026,0.0025,289364739,301712082,https://www.sec.gov/Archives/edgar/data/1297996/000155837023002087/0001558370-23-002087-index.htm,https://www.sec.gov/Archives/edgar/data/1297996/000155837023002087/dlr-20221231x10k.htm,4.261424540741987,0.0026298988696062,1.5773310928530238,-1.4969100986419772,0.549109751758662,67.81111294973643,25.300321750674676,60.76529594022166,62.73994911315024,29014602379.53,46940676379.53,9531.735341501317,23.52969037497993,63.569405595520834,-66.98465064199024,1.6501195040445684,1.6501195040445684,38.067024553874525,82.14152213279647,102.84445248174944,-108.3697362814756,2.622817262996134e-05,-0.0149287932446591,1.0275552406614126,0.435527247705303,31.368849317801217,0.2534912324771032,1.3924748509472618,599.7687253613666,0.0003500306455057,13.345597897503286,0.0884181895149322,0.0,0.2965198166334731,1.949014512821412,0.7214116223584996,2.0681584637202706,0.0244974884559802,1.8962194281914533,-0.0001462380616126,2.607604459915089e-05,-69.5339161555548,-3271986000.0,7321021000.0,-20751788000.0,10380467000.0,915204500.0,1745145500.0,846796000.5,70.74515897254575,315.5579590374149,289.178797162599,1.272171853270222,0.2852090952626833,0.3112261371963413,4.327961921214714e-05,3.074241191495001,2023-02-16,1.68,amc,1210934049.0,2025-04-25,2022-12-31,-0.0178571428571428,102.0536507936508,2168119.031746032
