date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,DOV,USD,29905,2025-04-24,2025-04-24 06:37:53,2025,Q1,1866059000.0,1120559000.0,745500000.0,0.3995050532,0,0.0,0.0,449191000.0,0.0,449191000.0,1569750000.0,20254000.0,27608000.0,87418000.0,410407000.0,0.2199324887,296309000.0,0.1587886557,-928000.0,295381000.0,0.1582913509,56140000.0,230821000.0,0.1236943741,1.68,1.67,137267000,138260000,https://www.sec.gov/Archives/edgar/data/29905/000002990525000014/0000029905-25-000014-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990525000014/dov-20250331.htm,13.5943744672791,1.6815476407293817,1.1409297209088856,0.7898475234397196,13.15188646943548,51.99914764655744,4.470287833200988,51.99914764655744,21.85820335550424,24115066560.0,25282548560.0,26.118796123402984,12.922992552754229,153.97968584782777,222.4226762589928,3.378516917125482,3.378516917125482,13.5486330067806,61.603599743669086,161.43429979822747,233.1908186681424,0.0095716509604359,0.0044959444640239,0.4164890784470829,0.2350310881533595,2.844693194804182,2.1289259644879013,10.73272239930455,0.6784997898804701,0.002960763132142,0.3093262744724266,0.0,0.0,0.5158018137734071,0.3077158838403187,0.0258255499960076,0.5512823445972226,0.0127938076984704,44.35514052522737,0.0219977388081068,0.0376887285685268,-15.053811185499791,2414697000.0,613623000.0,-957151000.0,9954675000.0,1366728500.0,422031500.0,1177064500.0,66.52034046083216,67.7926552729486,97.12669301661046,1.3529696236746247,1.3275774438637875,0.926624774351252,0.0323379846946531,0.3510821974691659,2025-04-24,1.99,bmo,1876212730.0,2025-05-11,2025-03-31,0.0301507537688441,192.28391666666667,928094.6
2024-12-31,DOV,USD,29905,2025-02-14,2025-02-14 16:24:26,2024,Q4,1929866000.0,1184142000.0,745724000.0,0.3864123209,0,0.0,0.0,450660000.0,0.0,450660000.0,1634802000.0,23145000.0,28304000.0,86663000.0,381727000.0,0.1977997436,295064000.0,0.152893517,8586000.0,303650000.0,0.1573425305,65267000.0,1435983000.0,0.7440843043,10.47,10.38,137735000,138298000,https://www.sec.gov/Archives/edgar/data/29905/000002990525000006/0000029905-25-000006-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990525000006/dov-20241231.htm,14.011442262315317,10.425694267978365,-0.0637891603441391,-0.4551711620140124,13.39439503394199,50.48822739318256,3.3937633862126546,50.48822739318256,21.47388826369477,25839086000.0,26923611000.0,4.498501375016278,13.389057064065588,-2940.938538584111,-412.1526486210582,3.7157176967027294,3.7157176967027294,13.951026133420662,70.53106277522942,-3064.376394263601,-429.45162936851005,0.0555740632621448,-0.0024262855118017,0.4212544844719496,0.2341805524911345,2.8411011010486558,2.04163071976807,10.424816280384398,-0.006118456834099,0.0027380999467241,0.0492693855010818,0.0,0.0,0.5185444905972904,-6.135556567266105,0.0279330274744464,0.6220301628145806,0.0041774921160329,108.82754024604048,0.0216231879877622,0.2384322462509572,-15.407842959305912,2287970000.0,467440000.0,-1070667000.0,9762450000.0,1391593000.0,432594000.0,1179553000.0,63.15477344022849,0.0,87.01272313624548,1.4250704277354207,0.0,1.0343314949364015,0.2064975303408285,0.3913820016698733,2025-01-30,2.2,bmo,1951766800.0,2025-04-29,2024-12-31,0.0,195.54921875,806234.046875
2024-09-30,DOV,USD,29905,2024-10-24,2024-10-24 06:36:52,2024,Q3,1983542000.0,1220355000.0,763187000.0,0.3847596875,0,0.0,0.0,429570000.0,0.0,429570000.0,1649925000.0,5176000.0,34128000.0,86668000.0,507126000.0,0.2556668828,333617000.0,0.1681925565,52713000.0,386330000.0,0.1947677438,73434000.0,347100000.0,0.1749899926,2.53,2.51,137251000,138223000,https://www.sec.gov/Archives/edgar/data/29905/000002990524000045/0000029905-24-000045-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990524000045/dov-20240930.htm,14.451931133470794,2.52894332281732,2.818995854310715,2.6129572826427494,2.817946681627092,41.515172931344765,-6.71635907935097,41.515172931344765,24.926907636374235,26316506740.0,29316855740.0,18.9545568568136,13.26743106019434,68.01712734227598,73.38045718300984,4.618552361978302,4.618552361978302,14.78005292552414,57.80980612313311,75.77177054095267,81.74657444560007,0.0131894405070268,0.0136276065643201,0.5944393812634927,0.2843215781922428,5.916377783824927,1.5691589697231447,9.775462962962964,1.1146931719965427,0.0026874007518826,0.2037539613944108,0.0,0.0,0.5556821589104717,0.0730893489441989,0.0142568193665674,0.3499832922859865,0.0038406043330567,48.60312938543608,0.0272792523849375,0.0655753685993169,-30.231854412718302,1358698000.0,-921827000.0,-2469072000.0,8974290000.0,1494438000.0,919752500.0,1226537000.0,64.83678691956106,63.80677753604484,89.55108964194845,1.3881008648941433,1.4105084675238213,1.0050128966587275,0.0609161216069009,0.206038571667966,2024-10-24,2.3,bmo,2019706101.0,2025-04-22,2024-09-30,-0.0130434782608694,182.20515625,909918.53125
2024-06-30,DOV,USD,29905,2024-07-25,2024-07-25 06:39:50,2024,Q2,2178262000.0,1356695000.0,821567000.0,0.3771662913,40600000,0.0,0.0,452193000.0,0.0,452193000.0,1808888000.0,4080000.0,32374000.0,85669000.0,471332000.0,0.2163798478,369374000.0,0.1695728062,-16085000.0,353289000.0,0.1621884787,71467000.0,281822000.0,0.1293792941,2.05,2.04,137443000,138404000,https://www.sec.gov/Archives/edgar/data/29905/000002990524000035/0000029905-24-000035-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990524000035/dov-20240630.htm,15.848475367970725,2.0504645562160317,1.4817924521437975,1.1844182679365265,2.39191519393494,39.02434463741333,-7.779210290811464,39.02434463741333,23.30972839649891,24326036570.0,27168669570.0,21.579256206044956,11.167635743542329,119.44317825613028,149.43200792431966,4.535374050338736,4.535374050338736,12.47263624394127,57.64231915083211,133.4007795759641,166.89397118987654,0.0115852000464208,0.006692006711885,0.5912766426723131,0.2808583427207096,6.031063029881273,1.5303306829528631,11.40958794094026,0.7226618220011213,0.0028860846195792,0.2491182377529078,0.0,0.018638712882105,0.5696916158331385,0.2006854494210996,0.0187635830767832,0.4770920636402899,0.0038480219551183,42.43118898808919,0.031452913437517,0.0580007281425018,-27.72091521576217,1131810000.0,-1069198000.0,-2662168000.0,8590075000.0,1552198500.0,972040000.0,1242233500.0,64.4515443964041,64.63393024961395,82.17951713539152,1.3963978806537536,1.392457485602735,1.09516340734546,0.0525432156585203,0.2973741842072713,2024-07-25,2.21,bmo,2148205445.0,2025-04-22,2024-06-30,0.0678733031674207,179.06825396825397,1051161.0317460315
2024-03-31,DOV,USD,29905,2024-04-25,2024-04-25 06:39:01,2024,Q1,2093941000.0,1322763000.0,771178000.0,0.3682902237,40100000,0.0,0.0,418292000.0,0.0,458392000.0,1781155000.0,4757000.0,36365000.0,84709000.0,919956000.0,0.4393418919,312786000.0,0.1493767017,486096000.0,798882000.0,0.3815207785,166661000.0,632221000.0,0.3019287555,4.55,4.52,139051000,139869000,https://www.sec.gov/Archives/edgar/data/29905/000002990524000020/0000029905-24-000020-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990524000020/dov-20240331.htm,15.05879856311713,4.5466843100732826,1.1980712112821914,0.8782245363212059,6.687862726625482,37.057281141451696,-9.579442075209815,37.057281141451696,28.614119999137007,24407622030.0,27420125030.0,9.651538793396613,11.656308387703524,146.5104898164989,199.8691595833538,4.736720951814646,4.736720951814646,13.094984549753304,29.80590922826744,164.5935005072242,224.5379471494784,0.0259026053100511,0.0050032731517188,0.7651019280196676,0.3288934801464215,3.2746163946971376,1.3101109590257451,8.601292451533068,0.2635043758432573,0.0029268316230149,0.1129937158050744,0.0,0.0191504918329363,0.5409915030683573,0.2669679998559363,0.0212398534730634,0.5250327592109457,0.0072394589948997,61.57089061923493,0.02482390184135,0.1149043555700953,-29.65124306908976,925506000.0,-1332031000.0,-2924240000.0,8434727000.0,1488261000.0,964152500.0,1235556500.0,66.38361829028784,65.98209203009156,84.75402623145644,1.3557561687348898,1.3640064634348803,1.0618964549745076,0.1226934132787046,0.3198466749609855,2024-04-25,1.87,bmo,2030938711.0,2025-04-22,2024-03-31,0.0427807486631015,161.0332786885246,962474.2459016392
2023-12-31,DOV,USD,29905,2024-02-09,2024-02-09 16:31:46,2023,Q4,2105757000.0,1319994000.0,785763000.0,0.3731498934,37611000,360308000.0,23860000.0,431291000.0,-20759000.0,440290000.0,1751285000.0,4944000.0,30898000.0,80461000.0,440590000.0,0.2092311696,354472000.0,0.1683347129,-25241000.0,329231000.0,0.1563480497,32969000.0,296262000.0,0.1406914473,2.12,2.11,139893000,140586000,https://www.sec.gov/Archives/edgar/data/29905/000002990524000008/0000029905-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990524000008/dov-20231231.htm,15.052625935536446,2.117775728592567,3.691035291258318,3.254916257425318,2.849041767636694,36.50364921761632,-8.999699770538912,36.50364921761632,26.539655307985388,21516942330.0,24800195330.0,18.15702176620693,10.218150684053288,41.671235266776414,47.25467195941494,4.21355133792412,4.21355133792412,11.777330114538382,56.288602396786125,48.02981568703399,54.46522451355031,0.0137687778986578,0.0211619287265153,0.7209905602645985,0.3244314034799097,7.451946253886834,1.4045393720197037,11.472328306039223,1.7428829887059427,0.003319012474204,0.2410535269457439,0.1711061627718678,0.0178610352476567,0.5609193028196734,0.1181562893386269,0.028972953669393,0.7582555523794137,0.0028479069522266,41.70608111724008,0.0337504442394381,0.0594555835110908,-29.71264466413616,976465000.0,-1258995000.0,-2851673000.0,8373881000.0,1490357500.0,964606500.0,1252616500.0,61.20535275437764,65.35543343378833,83.55392524511475,1.4704596240328482,1.3770851981446823,1.0771486765699514,0.0580154525364699,0.4361190338330009,2024-02-01,2.42,bmo,2164670000.0,2025-04-22,2023-12-31,0.0123966942148761,140.1068253968254,804825.1904761905
2023-09-30,DOV,USD,29905,2023-10-24,2023-10-24 06:46:46,2023,Q3,2153268000.0,1360253000.0,793015000.0,0.3682843938,0,0.0,0.0,420245000.0,0.0,420245000.0,1780498000.0,3808000.0,32389000.0,80315000.0,421457000.0,0.1957290035,372770000.0,0.1731182556,-18308000.0,354462000.0,0.1646158304,64709000.0,289753000.0,0.1345642995,2.07,2.06,139878000,140615000,https://www.sec.gov/Archives/edgar/data/29905/000002990523000034/0000029905-23-000034-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990523000034/dov-20230930.htm,15.393900398919058,2.0714694233546376,2.74136747737314,2.4330416505812207,2.0288966099029158,34.547963225096154,-7.222479589356439,34.547963225096154,22.763350920087504,19514379780.0,22382284780.0,16.837081738584242,9.062680437363117,50.89065991753965,57.33975000661125,4.038154118986032,4.038154118986032,10.39456527473589,53.10692379056464,58.36973840613159,65.76661048573587,0.0148481787925929,0.017439908612868,0.6521889291257114,0.2925800481892814,6.804739273520193,1.5800848348554242,11.509154342523695,1.3233926827332243,0.003659250296706,0.2464443853903152,0.0,0.0,0.5423977950456295,0.1124715417895618,0.0200290906659087,0.6088773435735261,0.0028389406242046,40.12746706246559,0.0346614757584993,0.0587813092181324,-27.55551444830495,1269098000.0,-1010266000.0,-2482727000.0,8104021000.0,1554918500.0,999799500.0,1338020500.0,64.72986641699966,64.2236333976106,84.67563754683871,1.3903937236670056,1.4013532906618205,1.0628795082908715,0.0599592343507501,0.3083258267919186,2023-10-24,2.32,bmo,2223210000.0,2025-04-22,2023-09-30,0.0129310344827587,144.37571428571428,835606.9841269841
2023-06-30,DOV,USD,29905,2023-07-25,2023-07-25 06:36:19,2023,Q2,2100086000.0,1341250000.0,758836000.0,0.3613356786,0,0.0,0.0,434340000.0,0.0,434340000.0,1775590000.0,2653000.0,33804000.0,78791000.0,412618000.0,0.1964767157,324496000.0,0.154515577,-24473000.0,300023000.0,0.1428622447,57784000.0,242239000.0,0.115347181,1.73,1.72,139862000,140578000,https://www.sec.gov/Archives/edgar/data/29905/000002990523000028/0000029905-23-000028-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990523000028/dov-20230630.htm,15.015415194977908,1.731985814588666,1.3960475325678168,1.109486493829632,2.0432783743976204,33.333607413021404,-9.371223062733266,33.333607413021404,24.714018103559223,20650624300.0,23787595300.0,21.312241525931004,9.833227924951643,105.7628745121739,133.0795830513936,4.4294635792201165,4.4294635792201165,11.326962467251342,57.65040618683625,121.82897815153596,153.29528145642018,0.0117303475420837,0.0075143006693507,0.7341636449629513,0.3139678942128237,7.602603376488665,1.4086393443163967,9.599337356525854,0.8060386642943539,0.0034236737336798,0.2918646460726803,0.0,0.0,0.547882023771587,0.2052659612607168,0.0190844565413035,0.5086748486502265,0.0030670172554838,36.04164316092518,0.0293599698396301,0.0491476328025283,-29.20523444538188,990581000.0,-1310678000.0,-2824804000.0,7979570000.0,1511066000.0,1034045000.0,1400838000.0,66.90420297073548,69.04269897483691,93.69125815470645,1.3452069676305214,1.3035411612863097,0.9606018936301262,0.0519591472092541,0.2865610387381848,2023-07-25,2.2,bmo,2197340000.0,2025-04-22,2023-06-30,-0.0681818181818183,142.93209677419355,806365.7096774194
2023-03-31,DOV,USD,29905,2023-04-26,2023-04-26 06:35:33,2023,Q1,2079023000.0,1332004000.0,747019000.0,0.3593125232,38000000,0.0,0.0,432414000.0,0.0,432414000.0,1764418000.0,2091000.0,34214000.0,77896000.0,398400000.0,0.1916284716,314605000.0,0.1513234822,-28315000.0,286290000.0,0.1377041043,57716000.0,228574000.0,0.1099429876,1.64,1.63,139757000,140616000,https://www.sec.gov/Archives/edgar/data/29905/000002990523000014/0000029905-23-000014-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990523000014/dov-20230331.htm,14.875984744950165,1.6355102070021537,1.726453773335146,1.38031726496705,1.949283399042624,31.916548008328743,-10.889243472598867,31.916548008328743,25.11604427685197,21234678580.0,24438181580.0,23.225168413730348,10.213777615735852,88.00699002005935,110.07614253352617,4.760539891731107,4.760539891731107,11.754647052966709,61.3408172188755,101.2838877836906,126.6824335826737,0.0107641845926165,0.009084620672417,0.7792582592189637,0.3217069140170732,8.040921184738956,1.3218494131735667,9.195212486116796,1.0556056244367251,0.0033328971631648,0.3096283916805936,0.0,0.0182778160703368,0.553688621884384,0.2004898791465658,0.0232681408526986,0.6210203348053815,0.0059075825519967,34.27092646687069,0.028508536287425,0.0474000028202684,-30.57608921198938,807357000.0,-1521848000.0,-3028234000.0,7801473000.0,1488920500.0,1053653000.0,1386012000.0,63.24475486803176,70.21343779748409,94.9602553746085,1.423042909847567,1.2818059166905642,0.9477649322335878,0.0512433301551082,0.346136508368096,2023-04-26,1.92,bmo,2072200000.0,2025-04-22,2023-03-31,0.0104166666666666,146.80548387096775,887269.8225806452
2022-12-31,DOV,USD,29905,2023-02-10,2023-02-10 16:27:47,2022,Q4,2139181000.0,1372852000.0,766329000.0,0.3582347637,40000000,333409000.0,25905000.0,413611000.0,0.0,413611000.0,1786463000.0,1462000.0,33126000.0,76730000.0,433269000.0,0.2025396635,352718000.0,0.1648845984,-29305000.0,323413000.0,0.1511854303,59834000.0,263579000.0,0.1232149126,1.88,1.87,140343000,141168000,https://www.sec.gov/Archives/edgar/data/29905/000002990523000008/0000029905-23-000008-index.htm,https://www.sec.gov/Archives/edgar/data/29905/000002990523000008/dov-20221231.htm,15.242520111441255,1.878105783687109,2.412966802761805,2.021618463336255,2.713836814091191,30.54207192378672,-12.233335470953309,30.54207192378672,27.930149704652173,19003845630.0,22509652630.0,18.02481004746205,8.883701580184193,56.117639018080986,66.98098699421965,4.433556450849041,4.433556450849041,10.52255635684872,51.95306525507248,66.47015479428188,79.33756037642746,0.01386977168368,0.0149296098023503,0.9067529464352788,0.3566895996785763,8.091525126422615,1.234448886045879,10.647769123950974,1.284787483069592,0.0037316131366617,0.2690464718357684,0.1558582466841281,0.0186987449869833,0.5509308982070329,0.1621855464309021,0.0256747792730021,0.7157956470741561,0.0028814766024941,35.925310622618966,0.0322930943334261,0.0538653952657618,-31.4110981666346,650191000.0,-1716863000.0,-3186688000.0,7658245000.0,1506966500.0,1105698500.0,1387202500.0,63.81806401608841,70.02427064242904,89.59066235836055,1.4102590134559894,1.2852686529157118,1.004568976619484,0.0614924157199828,0.3913483394255502,2023-01-31,2.15,bmo,2120266455.0,2025-04-22,2022-12-31,0.0046511627906977,132.8322222222222,937547.5238095238
