date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,DVA,USD,927066,2025-02-13,2025-02-13 17:25:47,2024,Q4,3294683000.0,2225371000.0,1069312000.0,0.3245568694,0,414482000.0,0.0,414482000.0,0.0,503950000.0,2729321000.0,0.0,138721000.0,174102000.0,729060000.0,0.2212838079,565362000.0,0.1715982994,-151629000.0,413733000.0,0.1255759659,64488000.0,259329000.0,0.0787113662,3.18,3.02,81620000,85795000,https://www.sec.gov/Archives/edgar/data/927066/000092706625000012/0000927066-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/927066/000092706625000012/dva-20241231.htm,40.36612349914237,3.1772727272727272,6.711014457240872,4.618598382749326,10.365069835824553,25.62302131830434,-67.15628522420975,1.4839745160499878,149.54125214408234,12206271000.0,23478174000.0,11.76716738197425,3.704839281958234,22.28426133677041,32.379953311934635,100.77666319908852,100.77666319908852,7.126079807981527,32.20334951855814,42.862702714544696,62.28127967742791,0.0212455548463572,0.0308833058024027,99.6254685358564,0.6980994451460053,15.460871533207143,1.2598572009914542,4.075532904174566,1.5683918166330226,0.0,0.0,0.1258033018654602,0.0,0.4380983274311975,0.3115583118668451,0.0517976995055366,0.9802127488483764,0.0083152157582383,10.29986963756342,0.0333457608367535,0.0267002079047457,-151.46267458956137,772662000.0,-5481296000.0,-11447845000.0,13679783000.0,2594524000.0,517722000.0,131779000.0,69.86737115528261,22.13024255281479,5.44192855932786,1.2881549500405838,4.066832967836257,16.538254594638783,2.141056125229108,2.090872335211958,2025-02-13,2.14,amc,3266426750.0,2025-05-02,2024-12-31,0.0467289719626168,156.78640625,772702.375
2024-09-30,DVA,USD,927066,2024-10-29,2024-10-29 17:04:29,2024,Q3,3263590000.0,2151875000.0,1111715000.0,0.3406417473,0,393534000.0,0.0,393534000.0,183303000.0,576837000.0,2732423000.0,0.0,134583000.0,187014000.0,697524000.0,0.213729053,534878000.0,0.1638925233,-161444000.0,373434000.0,0.1144242996,77674000.0,214688000.0,0.065782773,2.56,2.5,83721000,85795000,https://www.sec.gov/Archives/edgar/data/927066/000092706624000179/0000927066-24-000179-index.htm,https://www.sec.gov/Archives/edgar/data/927066/000092706624000179/dva-20240930.htm,38.98173695966364,2.564326751949929,9.679781655737507,8.018955817536819,13.040587188399565,26.51275068381888,-62.18045651628624,4.619091984090013,147.3088472426273,13724383530.0,24851869530.0,15.98177766107095,4.205302605413057,16.93529935180238,20.442811225059767,35.489659128815795,35.489659128815795,7.614887142686428,35.62869453954273,30.666138775741885,37.01747887481288,0.0156428155429142,0.0489169512446582,31.543283813661223,0.6968946688355749,15.95283603144838,1.3712701079420897,3.9743355401499447,2.74006288882878,0.0,0.0,0.1205831614878094,0.0,0.4242227816837056,0.1715767872941914,0.042605229210777,0.7435058337878447,0.0081382771732968,16.325114877136045,0.0277594108095331,0.0213021046405562,-145.1758041590521,1093014000.0,-5205810000.0,-11247063000.0,13876468000.0,2682243500.0,490889000.0,127882000.0,72.56532836538904,20.420312518152773,5.395252977054894,1.2402617341827762,4.407376229917828,16.681330863029945,0.5551581914329674,1.6608258382006904,2024-10-29,2.72,amc,3266430000.0,2025-04-25,2024-09-30,-0.0477941176470589,147.74390625,711708.96875
2024-06-30,DVA,USD,927066,2024-08-06,2024-08-06 17:03:37,2024,Q2,3186722000.0,2317960000.0,868762000.0,0.2726193248,0,367845000.0,8700000.0,367845000.0,-27479000.0,367845000.0,2685805000.0,0.0,97747000.0,175661000.0,691878000.0,0.2171127572,500917000.0,0.1571887978,-134958000.0,371440000.0,0.1165586455,71688000.0,222676000.0,0.0698761925,2.56,2.5,86899000,88950000,https://www.sec.gov/Archives/edgar/data/927066/000092706624000128/0000927066-24-000128-index.htm,https://www.sec.gov/Archives/edgar/data/927066/000092706624000128/dva-20240630.htm,36.67156123775878,2.562469073291983,9.23567589960759,7.800388957295251,6.029286873266666,27.90430269623356,-57.17011703241695,7.28316781550996,135.4847811827524,12045070390.000002,23217569390.0,13.523090038890588,3.7797681724355,15.008105687845688,17.769626714622497,19.03155378416812,19.03155378416812,7.285721625544996,33.557317026990304,28.92899119205653,34.25198258896563,0.0184868990209363,0.0562758023035513,18.44800916416495,0.685776959505384,16.148076684039673,1.157652122519442,5.124627865816854,3.6042097037848713,0.0,0.0,0.1154305270431496,0.0,0.4342222393467896,0.1554068113599918,0.0391389647418256,0.7100323919367418,0.007622252584317,20.49182950260653,0.0269968544699661,0.0231166994889278,-137.6719898963164,472135000.0,-4968026000.0,-11133791000.0,13304804000.0,2862094500.0,491708500.0,136286500.0,77.1891460880491,19.162565359195156,4.92193566756976,1.165967037610931,4.696657170529285,18.2854888967775,0.3518344130194343,1.4352869423123396,2024-08-06,2.54,amc,3151915301.0,2025-04-25,2024-06-30,-0.015748031496063,137.82015873015874,860323.1904761905
2024-03-31,DVA,USD,927066,2024-05-02,2024-05-02 16:12:00,2024,Q1,3070555000.0,2078976000.0,991579000.0,0.3229315222,0,362480000.0,0.0,362480000.0,-12641000.0,549563000.0,2628539000.0,0.0,99418000.0,187083000.0,629099000.0,0.2048812023,483845000.0,0.1575757477,-112059000.0,371786000.0,0.1210810424,65806000.0,239649000.0,0.078047454,2.73,2.65,87775000,90547000,https://www.sec.gov/Archives/edgar/data/927066/000092706624000090/0000927066-24-000090-index.htm,https://www.sec.gov/Archives/edgar/data/927066/000092706624000090/dva-20240331.htm,34.982113358017656,2.730264881800057,-1.5361549416120763,-2.9148504699515807,4.052885217886642,30.031181999430363,-54.6299971518086,10.54966676160638,136.03988607234407,12098906000.0,23595258000.0,12.621486006618012,3.940299392129436,-89.73053190542585,-47.28887516562374,13.065815547998536,13.065815547998536,7.68436259894384,37.506430625386464,-174.9922720935062,-92.22265302852053,0.0198074933386539,-0.0211466226781165,12.787820046933197,0.6793372243083919,18.274312945975115,1.4260971599639347,4.866774628336921,-0.4406693247924701,0.0,0.0,0.1180503198933091,0.0,0.4263187832436986,-0.897497700910736,0.0394114419054535,0.6468519320301684,0.0079926918749216,25.45733990743952,0.0258964186272107,0.0239653793075861,-138.11445741953858,1100652000.0,-4795148000.0,-11111195000.0,14045115000.0,2703493000.0,502208000.0,144456500.0,87.6703592672986,21.207301094384928,6.312107499076469,1.0265727293941909,4.24382148390534,14.258312301108306,0.2588010544310619,1.3786955283395044,2024-05-02,1.95,amc,3027737994.0,2025-04-25,2024-03-31,0.1589743589743588,119.95245901639343,895882.0983606557
2023-12-31,DVA,USD,927066,2024-02-14,2024-02-14 17:01:00,2023,Q4,3145747000.0,2333646000.0,812101000.0,0.2581583961,0,401471000.0,0.0,401471000.0,-4652000.0,401471000.0,2735117000.0,0.0,96190000.0,195277000.0,577907000.0,0.1837105781,410630000.0,0.1305349731,-100842000.0,289067000.0,0.0918913695,58495000.0,150665000.0,0.0478948243,1.67,1.62,90353000,92782000,https://www.sec.gov/Archives/edgar/data/927066/000092706624000013/0000927066-24-000013-index.htm,https://www.sec.gov/Archives/edgar/data/927066/000092706624000013/dva-20231231.htm,34.81618761966952,1.667515190419798,5.38724779476055,3.6277710756698727,5.270926255907385,30.36257788894669,-50.606332938585325,11.68856595796487,124.0978274102686,9465380280.0,20117167280.0,15.706003849600108,3.008945182177715,19.44592192360001,28.877235584843493,8.962605025864102,8.962605025864102,6.395036625640905,34.810388661151364,41.32922848091644,61.373992555982674,0.0159174798627319,0.0346293535287311,10.525946953736256,0.6309166270939824,18.431662880013565,1.1876047890140615,4.268946875974634,3.230703879467693,0.0,0.0,0.1276234229898335,0.0,0.4152100541917334,0.326600295015552,0.0505361683568322,0.8140948498799142,0.0095563947132429,20.941451215363003,0.0211382115031349,0.0146224271239447,-138.52773565902626,495692000.0,-4572434000.0,-11738221000.0,13386373000.0,2396852000.0,474975000.0,126362500.0,69.11937927621007,19.84361381289193,5.519024736399608,1.3020950266400433,4.535464197631639,16.30722895775829,0.1426620850168119,1.7594767190906777,2024-02-13,1.59,amc,3008200000.0,2025-04-25,2023-12-31,0.0188679245283019,92.39333333333332,1365322.603174603
2023-09-30,DVA,USD,927066,2023-11-07,2023-11-07 17:08:38,2023,Q3,3121332000.0,2067315000.0,1054017000.0,0.3376817974,0,376883000.0,0.0,376883000.0,-19650000.0,565306000.0,2632621000.0,126324000.0,98080000.0,188423000.0,682134000.0,0.2185393928,495939000.0,0.1588869752,-117730000.0,378209000.0,0.1211691034,68848000.0,246632000.0,0.0790149846,2.7,2.62,91322000,94041000,https://www.sec.gov/Archives/edgar/data/927066/000092706623000209/0000927066-23-000209-index.htm,https://www.sec.gov/Archives/edgar/data/927066/000092706623000209/dva-20230930.htm,34.17940912375988,2.700685486520225,7.239898381550995,5.741825627997635,5.049944153654103,30.93098048662973,-48.71714373316397,13.13156742077484,122.94292722454612,8632668660.0,19312524660.0,8.750556152486295,2.765700239513131,13.056813095731457,16.463404868838857,7.198683673545969,7.198683673545969,6.187270261542188,28.311922085689908,29.209973743197583,36.83101078467832,0.0285696126787287,0.0607407767692545,9.280607671274456,0.6574212847500759,15.65653669220417,1.2354001095380882,5.0564743066884175,2.1371860059929983,0.0,0.0,0.1207442848117406,0.0,0.4296613924013246,0.206919030434296,0.0438296855316896,0.7260631663862692,0.0086873168249965,28.247924788244884,0.0272386371910482,0.0255441831137364,-129.26497448588512,597429000.0,-4448947000.0,-10968702000.0,13477954000.0,2372373000.0,431655500.0,109959500.0,68.56088362276105,18.95576145870368,4.772277084043796,1.312701867951444,4.747896843715335,18.858921729611385,0.2056636043498963,1.498072753553361,2023-11-07,2.02,amc,3019020000.0,2025-04-25,2023-09-30,0.297029702970297,101.99984126984128,695242.1904761905
2023-06-30,DVA,USD,927066,2023-08-03,2023-08-03 17:07:32,2023,Q2,3000369000.0,2055844000.0,944525000.0,0.3148029459,0,364016000.0,0.0,364016000.0,1373000.0,547688000.0,2603532000.0,128764000.0,103507000.0,183672000.0,580509000.0,0.1934792021,405291000.0,0.1350803851,-110096000.0,295195000.0,0.0983862318,48818000.0,178691000.0,0.0595563412,1.96,1.91,90984000,93418000,https://www.sec.gov/Archives/edgar/data/927066/000092706623000178/0000927066-23-000178-index.htm,https://www.sec.gov/Archives/edgar/data/927066/000092706623000178/dva-20230630.htm,32.97688604589818,1.963982678273103,4.947100589114569,3.578739118965972,3.736118438406753,28.901993757144112,-51.31091180866966,11.182669480348194,127.2940077376242,9141162480.0,20291930480.0,12.789063914802648,3.046679418431533,20.30886540311526,28.074133559372004,8.984437944496207,8.984437944496207,6.763144959836607,34.955410648241454,45.08245923747021,62.32012260141028,0.0195479514110988,0.0356199772963667,11.28141794536112,0.6768274018661059,19.20860486228465,1.2490411572185944,3.915590249934787,1.8269034853090995,0.0,0.0,0.1213237438461735,0.0,0.4303412761895046,0.2765986754260653,0.0414945628354379,0.6778333115553813,0.0099401106997172,22.229660501586288,0.0224746338653577,0.0184965893966454,-133.63815615932472,598550000.0,-4668472000.0,-11327258000.0,13602144000.0,2374584000.0,437931500.0,108534500.0,70.9998870138973,18.73218979650207,4.8286299933263415,1.267607651014764,4.804563747096244,18.638827187916483,0.1756273563950448,1.3683614701485975,2023-08-03,1.69,amc,2953400000.0,2025-04-25,2023-06-30,0.1301775147928994,92.80967741935484,628339.0806451613
2023-03-31,DVA,USD,927066,2023-05-08,2023-05-08 17:03:28,2023,Q1,2872699000.0,2058189000.0,814510000.0,0.2835347525,0,331614000.0,0.0,331614000.0,171251000.0,502865000.0,2561054000.0,0.0,100774000.0,178071000.0,493468000.0,0.171778526,311645000.0,0.1084850867,-97022000.0,214623000.0,0.0747112733,43955000.0,115547000.0,0.0402224528,1.28,1.25,90497000,92483000,https://www.sec.gov/Archives/edgar/data/927066/000092706623000104/0000927066-23-000104-index.htm,https://www.sec.gov/Archives/edgar/data/927066/000092706623000104/dva-20230331.htm,31.74358266019868,1.276804755958761,5.111296507066532,3.4791429550150834,4.056454910107518,26.726874924030632,-53.68539288595202,9.1215178403704,128.294308098611,7340211670.0,18532555670.0,15.881441469704969,2.555162121057584,15.868772216180924,23.313212779337597,8.89216042981574,8.89216042981574,6.451269579583521,37.555739521103696,40.06545284148764,58.86116546821999,0.0157416441370824,0.0428941308718417,13.942936751184174,0.6880453463449768,22.68099248583495,1.1850404644198085,3.092513942088237,2.710273747861345,0.0,0.0,0.1154363892631981,0.0,0.4350287937071413,0.3193228077836894,0.0514168035008192,0.8294725137725963,0.0088324603447837,16.18777132910276,0.0167451535605667,0.0122262668296736,-133.7275545045692,474646000.0,-4858367000.0,-11269346000.0,13585106000.0,2466431500.0,463874500.0,107946000.0,74.63338832227114,19.58868208896267,4.668813213946824,1.2058946005690503,4.59448979728508,19.276847429053102,0.1399772250960059,1.6321535520514492,2023-05-08,1.15,amc,2837940000.0,2025-04-25,2023-03-31,0.0869565217391305,80.12677419354839,672432.6935483871
2022-12-31,DVA,USD,927066,2023-02-22,2023-02-22 17:19:41,2022,Q4,2916888000.0,2088681000.0,828207000.0,0.2839351391,0,379711000.0,0.0,379711000.0,194068000.0,573779000.0,2662460000.0,100962000.0,100962000.0,194068000.0,448496000.0,0.1537583891,256252000.0,0.0878511619,-108759000.0,147493000.0,0.0505651914,34330000.0,113163000.0,0.0387957988,1.26,1.23,90122000,91910000,https://www.sec.gov/Archives/edgar/data/927066/000092706623000011/0000927066-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/927066/000092706623000011/dva-20221231.htm,32.365992765362506,1.2556645436186502,3.813963294201194,1.6609041077650295,3.5704822351922947,24.68653602893855,-55.86312997936131,7.90401899647145,132.303455316127,6729409740.0,18307813740.0,14.866629861350445,2.3070511243489635,19.57805942011277,44.95744194436279,9.447092679475409,9.447092679475409,6.276488415050561,40.820461587171344,53.2634330650933,122.3097574891104,0.016816185129485,0.0222432584406726,16.597021588430017,0.6983881147326966,25.816069708536972,1.2044262289450087,2.5381034448604427,2.714702049520199,0.0,0.0,0.1301767500157702,0.0,0.428827323695323,0.5645201645515853,0.0665222661960281,0.999845415009172,0.0060074298361815,14.943490861711092,0.013163945189753,0.0117037466820354,-137.7479999334236,535545000.0,-5034497000.0,-11548160000.0,13717481000.0,2521960000.0,448459500.0,107983500.0,78.69976838329069,20.6734297865495,4.702000927858299,1.1435865930592566,4.353414064779691,19.14078737559796,0.1588640594334616,2.153059186436164,2023-02-22,0.88,amc,2931114298.0,2025-04-25,2022-12-31,0.2613636363636364,77.65857142857142,844199.6507936508
2022-09-30,DVA,USD,927066,2022-10-31,2022-10-28 18:02:55,2022,Q3,2948694000.0,2085555000.0,863139000.0,0.2927190817,0,365447000.0,0.0,365447000.0,194414000.0,559861000.0,2645416000.0,98303000.0,99680000.0,194414000.0,497692000.0,0.1687838752,311787000.0,0.1057373196,-104578000.0,207209000.0,0.070271449,42515000.0,164694000.0,0.0558532015,1.81,1.77,91160000,93263000,https://www.sec.gov/Archives/edgar/data/927066/000092706622000167/0000927066-22-000167-index.htm,https://www.sec.gov/Archives/edgar/data/927066/000092706622000167/dva-20220930.htm,32.346358051777095,1.8066476524791577,7.79433962264151,6.215467310223782,4.846588415971918,22.738920579201405,-56.268944712593246,5.843264589732339,133.13247038174637,7545313200.0,19214479200.0,11.453533826368902,2.558866128530122,10.619244734931009,13.3167782676376,14.165026883335337,14.165026883335337,6.5162676086430125,38.60716909253112,27.042384016483425,33.91177440249064,0.021827324543665,0.0750932380116441,22.59678751652049,0.7096343966816255,23.446561327085828,1.262091369582121,3.127879213483146,4.314255528434551,0.0,0.0,0.1239352065694168,0.0,0.4246222349409989,0.2025665276159272,0.0488114399120424,0.7403273426810827,0.0094262069919767,15.411885209529904,0.0164819502093875,0.0168753500456276,-137.3818368802106,665033000.0,-5129477000.0,-11686477000.0,13829588000.0,2564046000.0,409723500.0,108183500.0,76.09958510445641,18.001208311456665,4.610787056682754,1.1826608499437086,4.999664380458312,19.519444054471432,0.3091846389523008,1.578872312417727,2022-10-28,1.65,bmo,2977022691.0,2025-04-25,2022-09-30,-0.1212121212121211,87.70203125,740190.78125
