date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,EA,USD,712515,2025-02-05,2025-02-05 16:22:02,2025,Q3,1883000000.0,456000000.0,1427000000.0,0.7578332448,606000000,176000000.0,251000000.0,427000000.0,17000000.0,1050000000.0,1489000000.0,43000000.0,15000000.0,77000000.0,497000000.0,0.2639405204,377000000.0,0.200212427,28000000.0,405000000.0,0.2150823155,112000000.0,293000000.0,0.1556027616,1.12,1.11,262000000,265000000,https://www.sec.gov/Archives/edgar/data/712515/000071251525000015/0000712515-25-000015-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251525000015/ea-20241231.htm,7.187022900763359,1.118320610687023,4.488549618320611,4.297709923664122,12.041984732824428,28.290076335877863,6.549618320610687,28.290076335877863,7.4961832061068705,38330600000.0,37503600000.0,32.70529010238908,20.35613382899628,32.59404761904762,34.04138543516874,5.171424716675661,5.171424716675661,19.916941051513543,75.4599597585513,31.89081632653061,33.3069271758437,0.0076440233129666,0.0293760076805476,0.2629519697787372,0.1448962902386439,-1.663983903420523,1.3762886597938144,25.133333333333333,4.013651877133106,0.0013044408383902,0.1706484641638225,0.0934678704195432,0.3218268720127456,0.4234629395583971,0.042517006802721,0.0265533722782793,0.6666666666666666,0.0865639936271906,26.680347589513,0.0261925679320602,0.0377820760799484,-8.883587786259541,1168000000.0,1716000000.0,-1767000000.0,7430000000.0,877000000.0,126000000.0,0.0,35.46468401486989,15.986842105263158,0.0,2.537735849056604,5.62962962962963,0.0,0.0395304910955207,0.1908396946564885,2025-02-04,3.41,amc,2317663837.0,2025-05-03,2024-12-31,-0.1700879765395894,,
2024-09-30,EA,USD,712515,2024-11-01,2024-11-01 16:07:26,2025,Q2,2025000000.0,456000000.0,1569000000.0,0.7748148148,650000000,197000000.0,272000000.0,469000000.0,0.0,1117000000.0,1566000000.0,0.0,14000000.0,122000000.0,535000000.0,0.2641975309,384000000.0,0.1896296296,15000000.0,399000000.0,0.197037037,105000000.0,294000000.0,0.1451851852,1.11,1.11,264000000,266000000,https://www.sec.gov/Archives/edgar/data/712515/000071251524000048/0000712515-24-000048-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251524000048/ea-20240930.htm,7.670454545454546,1.1136363636363635,0.8863636363636364,0.696969696969697,9.708333333333334,28.060606060606062,6.367424242424242,28.060606060606062,7.446969696969697,37868160000.0,37623160000.0,32.200816326530614,18.700325925925927,161.8297435897436,205.80521739130435,5.111792656587473,5.111792656587473,18.57933827160494,70.32366355140186,160.78273504273506,204.47369565217392,0.0077637783298686,0.0048589633084892,0.2634989200863931,0.148599269183922,-0.4579439252336448,1.42518837459634,27.428571428571427,0.7959183673469388,0.0013467778735486,0.173469387755102,0.0972839506172839,0.3209876543209876,0.4359774665042631,0.2136752136752136,0.0246913580246913,0.4098360655737705,0.0859259259259259,26.51621210000085,0.0271594709561386,0.0396814684842758,-9.113636363636363,1185000000.0,1681000000.0,-1756000000.0,7490000000.0,722500000.0,125500000.0,0.0,44.977777777777774,33.75,0.0,2.0009881422924902,2.6666666666666665,0.0,0.0396868250539956,0.1893939393939394,2024-10-29,2.03,amc,2043032397.0,2025-04-25,2024-09-30,0.0591133004926109,145.30392857142857,3258739.964285714
2024-06-30,EA,USD,712515,2024-08-02,2024-08-02 17:28:04,2025,Q1,1653000000.0,280000000.0,1373000000.0,0.8306110103,627000000,180000000.0,205000000.0,377000000.0,19000000.0,1004000000.0,1284000000.0,0.0,30000000.0,80000000.0,446000000.0,0.2698124622,369000000.0,0.22323049,30000000.0,394000000.0,0.238354507,114000000.0,280000000.0,0.1693889897,1.05,1.04,266000000,268000000,https://www.sec.gov/Archives/edgar/data/712515/000071251524000039/0000712515-24-000039-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251524000039/ea-20240630.htm,6.214285714285714,1.0526315789473684,0.4511278195488721,0.1992481203007518,10.398496240601505,27.81954887218045,6.195488721804511,27.81954887218045,8.180451127819548,36527120000.0,36273120000.0,32.6135,22.09747126436781,304.3926666666667,689.1909433962264,4.936097297297297,4.936097297297297,21.943811252268603,81.32986547085201,302.276,684.3984905660377,0.0076655372775077,0.0014509766989568,0.29,0.1688700031476235,-0.5695067264573991,1.4534035656401945,12.3,0.4285714285714285,0.0013688459424121,0.1785714285714285,0.1088929219600726,0.3793103448275862,0.4526282656594271,0.5583333333333333,0.0405323653962492,0.8375,0.0865093768905021,25.66873686482942,0.0254324025349695,0.0402530189764232,-8.335526315789474,1119000000.0,1648000000.0,-1721000000.0,7429000000.0,499000000.0,95000000.0,0.0,23.57531760435571,25.714285714285715,0.0,3.817551963048498,3.5,0.0,0.0378378378378378,0.2518796992481203,2024-07-30,0.4154,amc,1215106243.0,2025-04-25,2024-06-30,0.2518054886856043,135.03016666666667,4153741.5833333335
2024-03-31,EA,USD,712515,2024-05-22,2024-05-22 16:12:19,2024,Q4,1779000000.0,400000000.0,1379000000.0,0.7751545812,638000000,185000000.0,234000000.0,419000000.0,-28000000.0,1057000000.0,1457000000.0,37000000.0,26000000.0,149000000.0,424000000.0,0.2383361439,322000000.0,0.1810005621,26000000.0,260000000.0,0.1461495222,78000000.0,182000000.0,0.1023046655,0.68,0.67,267000000,270000000,https://www.sec.gov/Archives/edgar/data/712515/000071251524000023/0000712515-24-000023-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251524000023/ea-20240331.htm,6.662921348314606,0.6816479400749064,2.1722846441947565,1.9812734082397003,12.217228464419476,28.138576779026216,6.49438202247191,28.138576779026216,7.146067415730337,35601780000.0,34583780000.0,48.903543956043954,20.01224283305228,61.38237931034483,67.30015122873345,4.738690270198323,4.738690270198323,19.440011242270938,81.56551886792452,59.627206896551726,65.37576559546314,0.0051121039453645,0.0148588076214166,0.2504991348329562,0.1402384500745156,-2.400943396226415,1.3744336569579287,12.384615384615383,3.1868131868131866,0.0014325126440307,0.2802197802197802,0.103991006183249,0.3586284429454749,0.4306259314456035,0.0879310344827586,0.0286677908937605,0.3422818791946309,0.0831928049465992,20.774108048395565,0.0216814159292035,0.0238188718754089,-8.319288389513108,1157000000.0,1734000000.0,-1660000000.0,7514000000.0,716000000.0,86000000.0,0.0,28.583473861720066,24.750000000000004,0.0,3.148672566371681,3.636363636363636,0.0,0.0242246772261413,0.1910112359550561,2024-05-07,1.52,amc,1777258749.0,2025-04-25,2024-03-31,-0.0986842105263157,153.90578125,1859162.015625
2023-12-31,EA,USD,712515,2024-02-06,2024-02-06 16:14:15,2024,Q3,1945000000.0,529000000.0,1416000000.0,0.7280205656,584000000,170000000.0,276000000.0,446000000.0,0.0,1030000000.0,1559000000.0,32000000.0,17000000.0,82000000.0,447000000.0,0.2298200514,365000000.0,0.1876606684,17000000.0,382000000.0,0.1964010283,92000000.0,290000000.0,0.1491002571,1.08,1.07,269000000,271000000,https://www.sec.gov/Archives/edgar/data/712515/000071251524000007/0000712515-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251524000007/ea-20231231.htm,7.230483271375465,1.0780669144981412,4.698884758364312,4.505576208178439,11.53903345724907,28.00371747211896,6.133828996282528,28.00371747211896,7.319702602230484,36801890000.0,36011890000.0,31.725767241379312,18.921280205655528,29.11541930379747,30.36459570957096,4.885422806318863,4.885422806318863,18.51511053984576,80.56351230425057,28.49041930379747,29.712780528052804,0.0078800300745423,0.0329330912080874,0.2591265100225673,0.1433502239847249,-1.767337807606264,1.3259146341463417,21.47058823529412,4.358620689655172,0.0013857983924195,0.1758620689655172,0.0874035989717223,0.3002570694087403,0.4320334875523243,0.0411392405063291,0.0267352185089974,0.6341463414634146,0.0776349614395886,26.06285343198269,0.0266231976208393,0.0374967675200413,-8.660780669144982,1069000000.0,1650000000.0,-1735000000.0,7513000000.0,957000000.0,107000000.0,0.0,40.11825192802056,10.54820415879017,0.0,2.243367935409458,8.53225806451613,0.0,0.0384972786406478,0.1933085501858736,2024-01-30,2.93,amc,2397487597.0,2025-04-25,2023-12-31,0.0102389078498292,145.0003125,2067664.9375
2023-09-30,EA,USD,712515,2023-11-07,2023-11-07 16:13:44,2024,Q2,1914000000.0,456000000.0,1458000000.0,0.7617554859,602000000,173000000.0,280000000.0,453000000.0,28000000.0,1055000000.0,1511000000.0,14000000.0,14000000.0,85000000.0,493000000.0,0.2575757576,377000000.0,0.196969697,14000000.0,391000000.0,0.2042842215,-8000000.0,399000000.0,0.2084639498,1.47,1.47,271000000,272000000,https://www.sec.gov/Archives/edgar/data/712515/000071251523000048/0000712515-23-000048-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251523000048/ea-20230930.htm,7.062730627306273,1.4723247232472323,0.4132841328413284,0.2250922509225092,8.505535055350553,27.9520295202952,6.121771217712177,27.9520295202952,6.992619926199262,32628400000.0,32563400000.0,20.443859649122807,17.04723092998955,291.325,534.8918032786885,4.307379537953795,4.307379537953795,17.013270637408567,66.05152129817444,290.7446428571429,533.8262295081968,0.0122286106581996,0.0018695369677949,0.2483168316831683,0.1431615800289215,-0.1318458417849898,1.3787661406025824,26.928571428571427,0.2807017543859649,0.0015630554976646,0.1278195488721804,0.0903866248693835,0.3145245559038662,0.4502625770606591,0.4553571428571428,0.0266457680250783,0.6,0.0809822361546499,30.429844608090093,0.0369171437469736,0.0552402049010106,-9.128228782287822,1056000000.0,1659000000.0,-1720000000.0,7514000000.0,782000000.0,113500000.0,0.0,49.23197492163009,30.0,0.0,1.828080229226361,3.0,0.0,0.0526732673267326,0.1881918819188192,2023-11-01,1.25,amc,1772870000.0,2025-04-25,2023-09-30,0.1679999999999999,131.7473015873016,2186009.4285714286
2023-06-30,EA,USD,712515,2023-08-08,2023-08-08 16:08:56,2024,Q1,1924000000.0,368000000.0,1556000000.0,0.8087318087,596000000,163000000.0,229000000.0,392000000.0,0.0,1013000000.0,1381000000.0,15000000.0,14000000.0,88000000.0,631000000.0,0.327962578,542000000.0,0.2817047817,14000000.0,556000000.0,0.288981289,154000000.0,402000000.0,0.2089397089,1.48,1.47,272000000,274000000,https://www.sec.gov/Archives/edgar/data/712515/000071251523000037/0000712515-23-000037-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251523000037/ea-20230630.htm,7.073529411764706,1.4779411764705883,1.3198529411764706,1.1544117647058822,9.566176470588236,26.96323529411765,5.0588235294117645,26.96323529411765,6.963235294117647,35278400000.0,34899400000.0,21.93930348258706,18.335966735966736,98.26852367688022,112.3515923566879,4.81025361330788,4.81025361330788,18.138981288981288,55.3080824088748,97.21281337047354,111.14458598726117,0.0113950746065581,0.0089006304140777,0.2563403326970275,0.1436979286096461,-0.6006339144215531,1.2764285714285717,38.71428571428572,0.8930348258706468,0.001473989750102,0.1293532338308457,0.0847193347193347,0.3097713097713098,0.4554001375831231,0.1253481894150417,0.0233887733887733,0.5113636363636364,0.0675675675675675,29.94372560438888,0.0378589216347914,0.0564210526315789,-10.144301470588236,774000000.0,1376000000.0,-2175000000.0,7277000000.0,600500000.0,87000000.0,0.0,24.183991683991685,18.342391304347824,0.0,3.72147001934236,4.906666666666666,0.0,0.054813198800109,0.1654411764705882,2023-08-01,1.02,amc,1588920000.0,2025-04-25,2023-06-30,0.1176470588235293,137.25377049180327,2081527.524590164
2023-03-31,EA,USD,712515,2023-05-24,2023-05-24 16:19:51,2023,Q4,1874000000.0,448000000.0,1426000000.0,0.7609391676,635000000,224000000.0,255000000.0,479000000.0,26000000.0,1140000000.0,1588000000.0,35000000.0,6000000.0,109000000.0,305000000.0,0.1627534685,397000000.0,0.211846318,6000000.0,181000000.0,0.0965848453,193000000.0,-12000000.0,-0.0064034152,-0.0438,-0.0438,274000000,274000000,https://www.sec.gov/Archives/edgar/data/712515/000071251523000028/0000712515-23-000028-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251523000028/ea-20230331.htm,6.839416058394161,-0.0437956204379562,2.2518248175182483,2.08029197080292,10.0985401459854,26.616788321167885,4.726277372262774,26.616788321167885,6.883211678832117,33003300000.0,32459300000.0,-687.56875,17.611152614727853,53.48995137763371,57.90052631578947,4.525339366515837,4.525339366515837,17.32086446104589,106.42393442622952,52.608265802269045,56.9461403508772,-0.000363600003636,0.01727100017271,0.2577814342520225,0.1396834831711122,-1.7836065573770492,1.2082191780821918,66.16666666666667,-51.41666666666666,0.001575600015756,-4.333333333333333,0.119530416221985,0.3388473852721451,0.4456497510959209,0.0761750405186385,0.0250800426894343,0.2716763005780346,0.0757737459978655,,-0.0025703556629834,-0.0016083634901487,-10.532846715328468,684000000.0,1295000000.0,-2197000000.0,7231000000.0,760000000.0,80500000.0,0.0,32.84951974386339,19.888392857142858,0.0,2.739766081871345,4.525252525252525,0.0,-0.0016454134101192,0.1715328467153284,2023-05-09,1.31,amc,1758340000.0,2025-04-25,2023-03-31,0.3511450381679389,132.1563492063492,1864808.0634920637
2022-12-31,EA,USD,712515,2023-02-07,2023-02-07 16:06:17,2023,Q3,1881000000.0,568000000.0,1313000000.0,0.6980329612,556000000,162000000.0,256000000.0,418000000.0,50000000.0,1024000000.0,1592000000.0,7000000.0,7000000.0,100000000.0,411000000.0,0.2185007974,289000000.0,0.15364168,-7000000.0,282000000.0,0.1499202552,78000000.0,204000000.0,0.1084529506,0.74,0.73,276000000,278000000,https://www.sec.gov/Archives/edgar/data/712515/000071251523000008/0000712515-23-000008-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251523000008/ea-20221231.htm,6.815217391304348,0.7391304347826086,4.068840579710145,3.894927536231884,9.25,27.35869565217391,5.202898550724638,27.35869565217391,7.0978260869565215,33721680000.0,33471680000.0,41.32558823529412,17.927527910685804,30.02821015138024,31.36900465116279,4.465856177989671,4.465856177989671,17.794619883040937,81.43961070559611,29.80559216384684,31.136446511627906,0.0060495206644508,0.0318786015406112,0.2585088067805589,0.1449146250927988,-0.6082725060827251,1.234179248313524,41.285714285714285,5.504901960784314,0.0015420346791737,0.2549019607843137,0.0861244019138756,0.2955874534821903,0.4539717891610987,0.0427426536064114,0.0255183413078149,0.3934426229508196,0.0749601275917065,21.330424369447467,0.020044470737031,0.0277362338545207,-9.923913043478262,729000000.0,1436000000.0,-2077000000.0,7397000000.0,877500000.0,99000000.0,0.0,40.0,9.823943661971832,0.0,2.25,9.161290322580646,0.0,0.0270162892332141,0.1739130434782608,2023-01-31,3.05,amc,2476780887.0,2025-04-25,2022-12-31,-0.1114754098360655,125.86111111111111,2213859.793650794
2022-09-30,EA,USD,712515,2022-11-08,2022-11-08 16:07:11,2023,Q2,1904000000.0,462000000.0,1442000000.0,0.7573529412,565000000,174000000.0,233000000.0,407000000.0,43000000.0,1015000000.0,1477000000.0,14000000.0,14000000.0,109000000.0,554000000.0,0.2909663866,427000000.0,0.2242647059,0.0,427000000.0,0.2242647059,128000000.0,299000000.0,0.1570378151,1.08,1.07,278000000,279000000,https://www.sec.gov/Archives/edgar/data/712515/000071251522000068/0000712515-22-000068-index.htm,https://www.sec.gov/Archives/edgar/data/712515/000071251522000068/ea-20220930.htm,6.848920863309353,1.0755395683453235,-0.4028776978417266,-0.5935251798561151,6.741007194244604,28.05035971223021,5.798561151079137,28.05035971223021,7.086330935251799,32167380000.0,32584380000.0,26.895802675585283,16.894632352941176,-287.20875,-194.95381818181812,4.12508078994614,4.12508078994614,17.113644957983194,58.81657039711191,-290.9319642857143,-197.4810909090909,0.0092951306572061,-0.0051294199278896,0.2508335470633496,0.1495527180977139,0.7527075812274369,1.3440062475595471,30.5,-0.3745819397993311,0.0016476318556251,0.177257525083612,0.0913865546218487,0.2967436974789916,0.4729719397507455,-0.4732142857142857,0.0278361344537815,0.4173228346456692,0.0735294117647058,26.053955841263736,0.0282208588957055,0.0433773393297548,-9.776079136690647,881000000.0,1612000000.0,-1839000000.0,7598000000.0,749000000.0,103000000.0,0.0,43.44012605042017,26.49350649350649,0.0,2.071817192600653,3.397058823529412,0.0,0.0383431649140805,0.1906474820143885,2022-11-01,1.35,amc,1808662829.0,2025-04-25,2022-09-30,-0.0518518518518518,126.6867741935484,2068892.8064516129
