date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,EG,USD,1095073,2025-05-02,2025-05-02 16:25:29,2025,Q1,4263000000.0,0.0,4263000000.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38000000.0,0.0,0.0,0.0,0.0,0.0,0.0,248000000.0,0.0581749941,39000000.0,210000000.0,0.0492610837,4.9,4.9,42700000,42700000,https://www.sec.gov/Archives/edgar/data/1095073/000109507325000042/0001095073-25-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1095073/000109507325000042/eg-20250331.htm,99.8360655737705,4.918032786885246,21.73302107728337,21.73302107728337,105.76112412177986,331.1241217798595,331.1241217798595,331.1475409836066,0.8899297423887588,15514191000.0,13947191000.0,18.469275,3.639266009852217,16.717878232758622,16.717878232758622,1.0971846534653464,1.0971846534653464,3.27168449448745,0.0,15.029300646551723,15.029300646551723,0.0135359942390808,0.0598162031136525,0.0,0.0,0.0,9.00088809946714,0.0,4.419047619047619,0.0054788548110565,0.4047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0014074595355383,191.42459464946128,0.0,0.0036124681758755,-825.8255269320844,9009000000.0,14139000000.0,-33858000000.0,9009000000.0,5498500000.0,350500000.0,0.0,118.62772695285013,0.0,0.0,0.7586759209823812,0.0,0.0,0.0148514851485148,0.0,2025-04-30,7.46,amc,3907000000.0,2025-05-11,2025-03-31,-0.1353887399463806,353.40483333333333,434509.4
2024-12-31,EG,USD,1095073,2025-02-27,2025-02-27 16:53:29,2024,Q4,4614000000.0,23000000.0,4591000000.0,0.9950151712,0,0.0,0.0,0.0,5359000000.0,5359000000.0,5359000000.0,0.0,37000000.0,0.0,0.0,0.0,-745000000.0,-0.1614651062,-3000000.0,-748000000.0,-0.1621153013,-155000000.0,-593000000.0,-0.1285218899,-13.96,-13.96,42478510,42478510,https://www.sec.gov/Archives/edgar/data/1095073/000109507325000015/0001095073-25-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1095073/000109507325000015/eg-20241231.htm,108.6196290783269,-13.960000009416524,18.362225982031852,18.362225982031852,147.27446890204013,326.6592919572744,326.6592919572744,326.6592919572744,85.3137268703634,15396760734.599998,17434760734.6,-6.491045840893761,3.336965915604681,19.73943683923077,19.73943683923077,1.1095964784231769,1.1095964784231769,3.7786650920242737,0.0,22.35225735205128,22.35225735205128,-0.0385145947398789,0.0506600065718475,0.2585038916114154,0.0636658916242168,0.0,14.41635687732342,-20.135135135135137,-1.315345699831366,0.0055206417418038,-0.1433389544688027,0.0,0.0,0.0,0.0,0.0,0.0,0.0030342436064152,,-0.0065040707619814,-0.0105251947959745,-757.4535924164949,10827000000.0,13876000000.0,-30831000000.0,10827000000.0,5375000000.0,840000000.0,0.0,104.90247074122236,2743.043478260869,0.0,0.8579397545555969,0.0328102710413694,0.0,-0.0427356586912654,0.0,2025-02-03,11.64,amc,4157000000.0,2025-05-03,2024-12-31,-2.579896907216495,374.51265625,427595.90625
2024-09-30,EG,USD,1095073,2024-11-05,2024-11-05 16:19:48,2024,Q3,4285000000.0,0.0,4285000000.0,1.0,0,0.0,0.0,0.0,4251000000.0,4251000000.0,4251000000.0,0.0,38000000.0,0.0,0.0,0.0,614000000.0,0.1432905484,-37000000.0,577000000.0,0.134655776,68000000.0,509000000.0,0.1187864644,11.66,11.81,43135593,42600000,https://www.sec.gov/Archives/edgar/data/1095073/000109507324000046/0001095073-24-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1095073/000109507324000046/eg-20240930.htm,99.33791799268876,11.80000006027505,40.29155226867984,40.29155226867984,128.20039358216312,355.50687804384654,355.50687804384654,355.50687804384654,80.3976428468249,16901819405.19,18732819405.19,8.301483008443025,3.944415263754959,9.724867321743382,9.724867321743382,1.1021727685158134,1.1021727685158134,4.371719814513418,0.0,10.778377103101263,10.778377103101263,0.0301151010904602,0.102829166395324,0.2236713400717313,0.0613991121294572,0.0,12.632676709154111,16.157894736842106,3.4145383104125737,0.0050882096144981,0.1689587426326129,0.0,0.0,0.0,0.0,0.0,0.0,0.0037339556592765,307.2247981572705,0.0109917307208508,0.009111413432622,-717.9685694827471,10039000000.0,15335000000.0,-29627000000.0,10039000000.0,2686000000.0,924000000.0,-22234000000.0,112.83080513418903,0.0,0.0,0.7976545048399106,0.0,0.0,0.0331920443430062,0.0,2024-10-30,11.91,amc,4334547493.0,2025-04-24,2024-09-30,0.2275398824517211,380.9553125,331991.46875
2024-06-30,EG,USD,1095073,2024-08-02,2024-08-02 16:18:24,2024,Q2,4227000000.0,-23000000.0,4250000000.0,1.0054412113,0,22000000.0,0.0,22000000.0,-1046000000.0,1046000000.0,-3357000000.0,9000000.0,37000000.0,-847000000.0,22000000.0,0.0052046369,847000000.0,0.200378519,-15000000.0,832000000.0,0.196829903,108000000.0,724000000.0,0.1712798675,16.71,16.71,42800000,42800000,https://www.sec.gov/Archives/edgar/data/1095073/000109507324000037/0001095073-24-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1095073/000109507324000037/eg-20240630.htm,98.76168224299066,16.91588785046729,33.78504672897196,33.78504672897196,127.87383177570094,331.3551401869159,298.13084112149534,331.3551401869159,79.9766355140187,16204936000.0,18020936000.0,5.595627071823205,3.8336730541755375,11.20673305670816,11.20673305670816,1.1426410943449443,1.1426410943449443,4.263292169387272,819.1334545454546,12.462611341632089,12.462611341632089,0.0446777451018627,0.0892320710183613,0.2387533493160344,0.0686133457618188,82.54545454545455,0.4961654564738517,22.89189189189189,1.997237569060773,0.0053687345633453,0.1201657458563535,0.0052046368582919,0.0,0.0288151735597479,0.0,0.0,0.0,0.0040217648450437,355.1284891088703,0.0271134816294652,0.0151063075093371,-1213.271028037383,-12351000000.0,12760000000.0,-23004000000.0,-10929000000.0,0.0,792500000.0,-25556500000.0,0.0,-3400.4347826086955,174005.21739130435,0.0,-0.0264672036823935,0.0005172258702887,0.0510506275560569,0.0,2024-07-31,16.59,amc,4319442183.0,2025-04-24,2024-06-30,0.0156720916214588,378.0309523809524,271107.7619047619
2024-03-31,EG,USD,1095073,2024-05-03,2024-05-03 16:20:33,2024,Q1,4133000000.0,0.0,4133000000.0,1.0,0,22000000.0,0.0,22000000.0,-1028000000.0,1028000000.0,-3265000000.0,6000000.0,37000000.0,-837000000.0,32000000.0,0.0077425599,837000000.0,0.202516332,-5000000.0,832000000.0,0.201306557,99000000.0,733000000.0,0.1773530123,16.9,16.9,42900000,42900000,https://www.sec.gov/Archives/edgar/data/1095073/000109507324000027/0001095073-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1095073/000109507324000027/eg-20240331.htm,96.34032634032634,17.086247086247088,28.01864801864802,28.01864801864802,125.75757575757576,317.6923076923077,286.6666666666667,317.6689976689977,79.79020979020979,17075916000.0,18917916000.0,5.823982264665757,4.131603193805952,14.206252911813644,14.206252911813644,1.2530023481068389,1.2530023481068389,4.577284297120736,591.184875,15.738698835274542,15.738698835274542,0.0429259548946012,0.0703915385856899,0.2484590548869973,0.0706623815685128,57.5625,0.4841203857665447,22.62162162162162,1.6579310344827587,0.0044507129222233,0.1036834924965893,0.0053230099201548,0.0,0.0277766183897491,0.0,0.0,0.0,0.0038712799419308,349.4636564519854,0.0281334191017863,0.0157340030480606,-750.9673659673659,-12410000000.0,12298000000.0,-22643000000.0,-11079000000.0,0.0,683000000.0,-22923500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537863222776636,0.0,2024-04-29,16.01,amc,4054073403.0,2025-04-24,2024-03-31,0.019362898188632,374.9516393442623,388684.59016393445
2023-12-31,EG,USD,1095073,2023-12-31,2023-12-29 19:00:00,2023,Q4,3659000000.0,0.0,3659000000.0,1.0,0,18000000.0,0.0,18000000.0,-244000000.0,244000000.0,-3351000000.0,3000000.0,36000000.0,-391500000.0,-85500000.0,-0.0233670402,3415000000.0,0.9333151134,-119500000.0,272000000.0,0.0743372506,-532000000.0,804000000.0,0.2197321673,18.53,18.53,43400000,43400000,,,84.30875576036867,18.52534562211981,24.70046082949309,24.70046082949309,111.17511520737328,304.1935483870968,275.46082949308754,304.1935483870968,82.14285714285714,15345372000.0,17437372000.0,4.771570895522388,4.193870456408855,14.314712686567162,14.314712686567164,1.1623520678685046,1.1623520678685046,4.765611369226565,-203.94587134502925,16.266205223880597,16.266205223880597,0.0523936467620335,0.0698581956827113,0.2673079836388426,0.0760167154919869,-24.46783625730994,0.4653922499352723,94.86111111111111,1.3484276729559748,0.0049526332760131,0.0945273631840796,0.0049193768789286,0.0,0.026861106324315,0.0,0.0,0.0,0.0032795845859524,356.08150604535035,0.4337173771287324,0.017796666445315,-1105.9447004608294,-12389000000.0,11955000000.0,-22437000000.0,-11019000000.0,3674000000.0,722500000.0,-25115000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0608998636570216,0.0,2024-02-07,14.63,amc,3763190000.0,2025-04-24,2023-12-31,0.7211209842788789,387.2606349206349,397778.5396825397
2023-09-30,EG,USD,1095073,2023-09-30,2023-09-29 20:00:00,2023,Q3,3991000000.0,0.0,3991000000.0,1.0,0,19000000.0,0.0,19000000.0,-3369000000.0,-3369000000.0,3266000000.0,5000000.0,34000000.0,-656000000.0,0.0,0.0,622000000.0,0.155850664,69000000.0,725000000.0,0.1816587321,47000000.0,678000000.0,0.169882235,15.64,15.64,42900000,42900000,,,93.03030303030305,15.804195804195803,32.121212121212125,32.121212121212125,683.6130536130536,261.67832167832165,234.73193473193476,261.67832167832165,72.7039627039627,15944643000.0,17264643000.0,5.87929314159292,3.995149837133551,11.570858490566035,11.570858490566035,1.420331640833779,1.420331640833779,4.325894011525933,0.0,12.528768505079826,12.528768505079826,0.042522118557311,0.0864240108731189,0.2748084803135578,0.0666047756811606,0.0,11.668787782373528,18.294117647058822,2.032448377581121,0.0047664911657162,0.1120943952802359,0.0047607116011024,0.0,0.0249578997366034,0.0,0.0,0.0,0.0030067652217489,305.043189162034,0.0093744821250835,0.0150126212302378,-134.45221445221446,33532000000.0,10070000000.0,1583000000.0,34688000000.0,7193000000.0,736500000.0,-10670000000.0,165.7028313705838,0.0,0.0,0.5431409907457811,0.0,0.0,0.0603955104222341,0.0,2023-10-25,10.6,amc,3595940000.0,2025-04-24,2023-09-30,0.3339622641509435,362.9414285714286,268152.61904761905
2023-06-30,EG,USD,1095073,2023-06-30,2023-06-30 00:00:00,2023,Q2,3651000000.0,0.0,3651000000.0,1.0,0,17000000.0,0.0,17000000.0,-2939000000.0,-2939000000.0,2901000000.0,2000000.0,33000000.0,-745000000.0,0.0,0.0,712000000.0,0.1950150644,5000000.0,750000000.0,0.2054231717,80000000.0,670000000.0,0.1835113667,16.27,16.27,40700000,40700000,,,89.7051597051597,16.461916461916463,26.87960687960688,26.87960687960688,693.6363636363636,267.8869778869779,241.2039312039312,267.8869778869779,76.60933660933661,13913702000.0,14931702000.0,5.191679850746269,3.8109290605313615,12.718191956124317,12.718191956124317,1.27613519214895,1.27613519214895,4.089756778964667,0.0,13.648722120658135,13.648722120658135,0.0481539708123689,0.0786275284607935,0.2829496468861781,0.0690651025342527,0.0,11.655320555188368,21.57575757575757,1.6328358208955225,0.0051028834741465,0.1059701492537313,0.0046562585592988,0.0,0.0243127070833706,0.0,0.0,0.0,0.003560668310052,314.99760896273574,0.0102901270519208,0.015373319260245,-132.96068796068795,32243000000.0,9817000000.0,1504000000.0,33329000000.0,3519000000.0,648000000.0,-9458500000.0,173.49219391947412,0.0,0.0,0.5187553282182438,0.0,0.0,0.0614509767953774,0.0,2023-07-26,11.64,amc,3669600000.0,2025-04-24,2023-06-30,0.306701030927835,361.1322580645161,396149.2096774193
2023-03-31,EG,USD,1095073,2023-03-31,2023-03-31 00:00:00,2023,Q1,3300000000.0,0.0,3300000000.0,1.0,0,19000000.0,0.0,19000000.0,-2879000000.0,-2860000000.0,2893000000.0,0.0,32000000.0,-519000000.0,0.0,0.0,440000000.0,0.1333333333,-111000000.0,408000000.0,0.1236363636,43000000.0,365000000.0,0.1106060606,9.3,9.3,38700000,38700000,,,85.27131782945736,9.431524547803615,27.493540051679588,27.493540051679588,698.4237726098191,232.8940568475452,206.77002583979328,232.8940568475452,80.54263565891473,13855374000.0,15330374000.0,9.489982191780822,4.1985981818181815,13.02196804511278,13.021968045112782,1.5372655053811162,1.5372655053811162,4.645567878787879,0.0,14.408246240601503,14.408246240601503,0.0263435689285615,0.0767933077807932,0.3422833684677688,0.0737350319080284,0.0,11.343560350640594,13.75,2.915068493150685,0.0046913204941274,0.1780821917808219,0.0057575757575757,0.0,0.0241640574583522,0.0,0.0,0.0,0.0036363636363636,222.31123525227383,0.006706205720669,0.0089399431762515,-260.968992248062,30679000000.0,8002000000.0,819000000.0,31690000000.0,0.0,592500000.0,-8322000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404970598025074,0.0,2023-05-02,12.51,bmo,3372261236.0,2025-04-24,2023-03-31,-0.0959232613908872,359.3848387096774,298755.1451612903
2022-12-31,EG,USD,1095073,2022-12-31,2022-12-31 00:00:00,2022,Q4,3274000000.0,0.0,3274000000.0,1.0,0,16000000.0,0.0,16000000.0,-2695000000.0,-2679000000.0,2706000000.0,0.0,27000000.0,-625100000.0,0.0,0.0,595000000.0,0.1817348809,-57100000.0,568000000.0,0.173488088,72000000.0,496000000.0,0.1514966402,12.72,12.72,39000000,39000000,,,83.94871794871794,12.717948717948715,26.025641025641026,26.025641025641026,632.4615384615385,216.43589743589743,191.7692307692308,216.43589743589743,79.76923076923077,12919530000.0,14605530000.0,6.511859879032258,3.946099572388515,12.728600985221677,12.728600985221677,1.5305686530031986,1.5305686530031986,4.461065974343311,0.0,14.38968472906404,14.38968472906404,0.0383914894736882,0.0785632294673258,0.3653595545551475,0.0771655907521393,0.0,10.633150308853809,22.03703703703704,2.0463709677419355,0.0049537405772501,0.1290322580645161,0.0048869883934025,0.0,0.0240704598909072,0.0,0.0,0.0,0.0030543677458766,248.8653541516806,0.0094803026089977,0.0127166444467234,-278.93589743589746,28071000000.0,7479000000.0,-540000000.0,29161000000.0,0.0,539000000.0,-7891500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0587608103305295,0.0,2023-02-08,9.29,bmo,3275446676.0,2025-04-24,2022-12-31,0.3143164693218516,311.5630158730159,314905.3015873016
