date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,EMN,USD,915389,2025-04-25,2025-04-25 12:25:38,2025,Q1,2290000000.0,1723000000.0,567000000.0,0.2475982533,67000000,0.0,0.0,182000000.0,0.0,249000000.0,1972000000.0,4000000.0,53000000.0,126000000.0,431000000.0,0.188209607,318000000.0,0.1388646288,-65000000.0,253000000.0,0.1104803493,70000000.0,182000000.0,0.0794759825,1.58,1.57,116700000,117900000,https://www.sec.gov/Archives/edgar/data/915389/000091538925000105/0000915389-25-000105-index.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538925000105/emn-20250331.htm,19.622964867180805,1.55955441302485,-1.43101970865467,-2.6906598114824334,3.581833761782348,50.93401885175664,10.976863753213369,50.30848329048843,43.479005998286205,10282437000.0,14885437000.0,14.124226648351648,4.490147161572052,-61.57147904191617,-32.746614649681526,1.7513944813490037,1.7513944813490037,6.500190829694323,34.536976798143854,-89.13435329341317,-47.40585031847134,0.0177000841337515,-0.0305375077911977,0.8552205757111224,0.3353817380268519,10.679814385150811,1.7192595857205817,6.0,-0.912568306010929,0.0093363081145063,0.5274725274725275,0.0,0.0292576419213973,0.3114688397568633,-0.8802395209580839,0.0641921397379912,1.1666666666666667,-0.0475982532751091,42.01575163419111,0.0177112351025394,0.0176561893674815,-56.61311053984576,1632000000.0,1281000000.0,-5126000000.0,11934000000.0,1215500000.0,1646500000.0,2052000000.0,49.480349344978166,103.633197910621,110.52814857806152,1.81890389197776,0.8684475806451613,0.8142722117202268,0.0309998296712655,1.2596401028277635,2025-04-24,1.89,amc,2330068710.0,2025-05-11,2025-03-31,0.0105820105820105,94.42133333333332,1089132.7333333334
2024-12-31,EMN,USD,915389,2025-02-14,2025-02-14 12:23:25,2024,Q4,2245000000.0,1691000000.0,554000000.0,0.2467706013,66000000,119000000.0,-9000000.0,110000000.0,0.0,176000000.0,1867000000.0,4000000.0,56000000.0,129000000.0,482000000.0,0.2146993318,378000000.0,0.1683741648,-81000000.0,297000000.0,0.1322939866,-34000000.0,330000000.0,0.1469933185,2.83,2.8,116700000,117900000,https://www.sec.gov/Archives/edgar/data/915389/000091538925000012/0000915389-25-000012-index.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538925000012/emn-20241231.htm,19.237360754070263,2.827763496143959,4.627249357326479,3.1276778063410453,7.172236503856041,50.14567266495287,10.179948586118252,49.52013710368466,43.47043701799486,10657044000.0,14837044000.0,8.073518181818182,4.747012917594655,19.735266666666664,29.197380821917807,1.844098286900848,1.844098286900848,6.608928285077951,30.7822489626556,27.47600740740741,40.64943561643835,0.0309654346927722,0.0342496474632177,0.8681432773836304,0.3297837375928482,8.67219917012448,1.5144017725258494,6.75,1.6314199395770392,0.0088204571549108,0.2848484848484848,0.0530066815144766,0.0293986636971046,0.3065798987707881,0.324074074074074,0.0779510022271715,1.3565891472868217,0.0,56.13112158670517,0.03251815725764,0.0312825860271115,-56.99228791773779,1393000000.0,1188000000.0,-5260000000.0,11672000000.0,1252000000.0,1709000000.0,1946000000.0,46.98440979955457,69.66883500887049,105.80721466587818,1.915529010238908,1.291825821237586,0.8506036217303823,0.0571033050700813,1.4995715509854328,2025-01-30,1.6,amc,2286860000.0,2025-04-30,2024-12-31,0.16875,102.5434375,1028858.75
2024-09-30,EMN,USD,915389,2024-11-01,2024-11-01 11:24:59,2024,Q3,2464000000.0,1859000000.0,605000000.0,0.2455357143,65000000,0.0,0.0,183000000.0,0.0,248000000.0,2107000000.0,4000000.0,53000000.0,127000000.0,459000000.0,0.1862824675,357000000.0,0.1448863636,-77000000.0,280000000.0,0.1136363636,99000000.0,180000000.0,0.0730519481,1.55,1.53,116400000,117800000,https://www.sec.gov/Archives/edgar/data/915389/000091538924000227/0000915389-24-000227-index.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538924000227/emn-20240930.htm,21.168384879725085,1.5463917525773196,3.402061855670103,2.3625429553264605,5.3436426116838485,49.20962199312715,8.599656357388316,48.57388316151203,43.8745704467354,13030980000.0,17462980000.0,18.098583333333337,5.288547077922078,32.90651515151515,47.38538181818182,2.304736469755925,2.304736469755925,7.087248376623377,38.04570806100218,44.09843434343434,63.50174545454546,0.0138132358425843,0.0211035547595038,0.8938804386275203,0.3355909694555113,9.655773420479305,1.52007722007722,6.735849056603773,2.2,0.0072903189169195,0.5277777777777778,0.0,0.0263798701298701,0.3138778220451527,0.3055555555555556,0.0491071428571428,0.952755905511811,0.0,41.11046918987148,0.0178646075243845,0.0174199167715087,-58.06701030927835,1347000000.0,1001000000.0,-5395000000.0,11663000000.0,1330500000.0,2072000000.0,1902000000.0,48.65259740259741,102.10328133405056,92.1785906401291,1.84984984984985,0.8814604077761973,0.9763655462184874,0.0318358684117439,1.0395189003436427,2024-10-31,2.14,amc,2377650000.0,2024-11-01,2024-09-30,0.05607476635514,100.03015625,860631.109375
2024-06-30,EMN,USD,915389,2024-07-26,2024-07-26 11:02:10,2024,Q2,2360000000.0,1741000000.0,619000000.0,0.2622881356,60000000,176000000.0,4000000.0,180000000.0,-23000000.0,240000000.0,1981000000.0,4000000.0,54000000.0,126000000.0,505000000.0,0.2139830508,379000000.0,0.1605932203,-92000000.0,287000000.0,0.1216101695,56000000.0,230000000.0,0.0974576271,1.96,1.94,117300000,118600000,https://www.sec.gov/Archives/edgar/data/915389/000091538924000192/0000915389-24-000192-index.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538924000192/emn-20240630.htm,20.11935208866155,1.96078431372549,3.1287297527706737,2.131287297527707,4.518329070758738,48.5848252344416,8.286445012787723,47.971014492753625,43.367433930093775,11163441000.0,15682441000.0,12.134175,4.730271610169492,30.41809536784741,44.653764,1.983906344410876,1.983906344410876,6.645102118644068,31.054338613861383,42.731446866485015,62.729764,0.0206029664151044,0.02239452871207,0.8944375333214857,0.336768149882904,8.948514851485148,1.401678219627873,7.018518518518518,1.5956521739130434,0.0085099209105866,0.4130434782608695,0.0745762711864406,0.0254237288135593,0.3162930746068919,0.3188010899182561,0.0495762711864406,0.9285714285714286,0.0059322033898305,46.004002939364014,0.0236453593122862,0.0225092973184576,-57.70886615515772,1101000000.0,972000000.0,-5404000000.0,11357000000.0,1301500000.0,1951500000.0,1834500000.0,50.682203389830505,105.19816197587592,98.21941412981046,1.7757712565838977,0.8555282555282555,0.9163157894736842,0.0408743557846099,0.9974424552429668,2024-07-25,2.01,amc,2357777568.0,2025-04-25,2024-06-30,0.0696517412935324,99.23238095238096,873246.7301587302
2024-03-31,EMN,USD,915389,2024-04-26,2024-04-26 12:11:20,2024,Q1,2308000000.0,1778000000.0,530000000.0,0.2296360485,59000000,186000000.0,5000000.0,191000000.0,-8000000.0,250000000.0,2028000000.0,4000000.0,53000000.0,127000000.0,407000000.0,0.1763431542,280000000.0,0.1213171577,-66000000.0,214000000.0,0.0927209705,49000000.0,165000000.0,0.0714904679,1.41,1.4,117400000,118200000,https://www.sec.gov/Archives/edgar/data/915389/000091538924000133/0000915389-24-000133-index.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538924000133/emn-20240331.htm,19.65928449744463,1.405451448040886,-0.1362862010221465,-1.7206132879045997,4.335604770017036,47.76831345826235,7.274275979557069,47.17206132879046,43.722316865417376,11775220000.0,16356220000.0,17.841242424242424,5.101915077989601,-735.95125,-58.29316831683168,2.1262585771036475,2.1262585771036475,7.086750433275563,40.18727272727273,-1022.26375,-80.97138613861387,0.014012477049261,-0.0171546688724287,0.917298663777537,0.3444534852183347,11.255528255528256,1.3896103896103895,5.283018867924528,-0.0969696969696969,0.0080677898162412,0.5757575757575758,0.0805892547660312,0.0255632582322357,0.3223487930566857,-11.625,0.0805892547660312,1.4645669291338583,0.0090987868284228,38.62260921774312,0.0167745027558111,0.0165099059435661,-57.84497444633731,1020000000.0,854000000.0,-5502000000.0,11309000000.0,1214000000.0,1519000000.0,1726000000.0,49.679376083188906,94.55568053993252,89.54443194600675,1.8116169544740977,0.9518201284796574,1.005087620124364,0.0297941495124593,1.584327086882453,2024-04-25,1.43,amc,2290366603.0,2025-04-25,2024-03-31,0.125874125874126,87.94704918032787,1153629.8852459015
2023-12-31,EMN,USD,915389,2024-02-14,2024-02-14 13:15:32,2023,Q4,2205000000.0,1756000000.0,449000000.0,0.2036281179,57000000,182000000.0,-3000000.0,191000000.0,-18000000.0,248000000.0,2004000000.0,2000000.0,59000000.0,118000000.0,319000000.0,0.1446712018,201000000.0,0.0911564626,185000000.0,425000000.0,0.1927437642,114000000.0,310000000.0,0.1405895692,2.63,2.61,118000000,118700000,https://www.sec.gov/Archives/edgar/data/915389/000091538924000016/0000915389-24-000016-index.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538924000016/emn-20231231.htm,18.6864406779661,2.6271186440677967,3.830508474576271,2.305084745762712,4.652542372881356,46.86440677966102,6.322033898305085,46.25423728813559,42.58474576271186,10598760000.0,15016760000.0,8.547387096774193,4.80669387755102,23.448584070796457,38.96602941176471,1.941876145108098,1.941876145108098,6.810321995464853,47.07448275862069,33.2229203539823,55.20867647058824,0.0292487045654397,0.0256633794896761,0.909857090509344,0.3393699173101893,13.849529780564264,1.3513198757763976,3.406779661016949,1.4580645161290322,0.0088689620295204,0.3032258064516129,0.0825396825396825,0.0258503401360544,0.3269322763616483,0.3982300884955752,0.0816326530612244,1.5254237288135593,0.0072562358276643,52.28858198309579,0.0116272494768658,0.0314752766778353,-58.02542372881356,905000000.0,746000000.0,-5622000000.0,11417000000.0,1151500000.0,1547500000.0,1702000000.0,47.10204081632653,59.96583143507972,86.25854214123007,1.910745233968804,1.5008547008547009,1.0433749257278668,0.0567973616709417,1.5254237288135593,2024-02-01,1.28,amc,2209160000.0,2025-04-25,2023-12-31,0.0234375,79.7031746031746,907157.5238095238
2023-09-30,EMN,USD,915389,2023-10-27,2023-10-27 10:56:18,2023,Q3,4050000000.0,3566000000.0,484000000.0,0.1195061728,60000000,0.0,0.0,160000000.0,-8000000.0,220000000.0,3786000000.0,2000000.0,57000000.0,120000000.0,386000000.0,0.095308642,264000000.0,0.0651851852,-65000000.0,199000000.0,0.0491358025,20000000.0,178000000.0,0.0439506173,1.5,1.5,118500000,119000000,https://www.sec.gov/Archives/edgar/data/915389/000091538923000170/0000915389-23-000170-index.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538923000170/emn-20230930.htm,34.177215189873415,1.5021097046413503,4.337552742616034,2.345991561181435,3.839662447257384,45.77215189873418,5.341772151898734,45.16455696202531,44.53164556962025,9091320000.0,13872320000.0,12.76870786516854,2.2447703703703703,17.687392996108947,32.70258992805756,1.698677130044843,1.698677130044843,3.4252641975308644,35.93865284974093,26.98894941634241,49.90043165467626,0.0195791150240009,0.0305786178464733,0.9753363228699552,0.3576812388652871,12.3860103626943,1.3640535372848948,4.631578947368421,2.8715083798882683,0.010339532653124,0.5280898876404494,0.0,0.0148148148148148,0.3282855968206112,0.4591439688715953,0.0582716049382716,1.9666666666666663,0.0024691358024691,39.06977968540287,0.0188182373154304,0.0181577068244414,-59.01054852320675,952000000.0,633000000.0,-5603000000.0,11169000000.0,1177000000.0,1926500000.0,1840500000.0,25.53333333333333,48.58384744812114,43.43522153673584,3.524804177545692,1.8524675324675324,2.072051133062174,0.0332585949177877,1.9915611814345997,2023-10-26,1.44,amc,2301700000.0,2025-04-25,2023-09-30,0.0208333333333333,82.97222222222223,885450.1904761905
2023-06-30,EMN,USD,915389,2023-07-28,2023-07-28 12:24:28,2023,Q2,2324000000.0,1740000000.0,584000000.0,0.2512908778,60000000,182000000.0,3000000.0,185000000.0,-16000000.0,245000000.0,1985000000.0,3000000.0,54000000.0,119000000.0,442000000.0,0.1901893287,323000000.0,0.1389845095,-73000000.0,269000000.0,0.1157487091,-3000000.0,272000000.0,0.1170395869,2.28,2.27,118800000,119600000,https://www.sec.gov/Archives/edgar/data/915389/000091538923000136/0000915389-23-000136-index.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538923000136/emn-20230630.htm,19.562289562289564,2.28956228956229,3.451178451178451,1.4225589225589226,3.451178451178451,45.05050505050505,3.9983164983164974,44.45286195286195,46.22053872053872,9945936000.0,14972936000.0,9.141485294117649,4.279662650602409,24.25838048780488,58.85169230769231,1.883343306192009,1.883343306192009,6.442743545611015,33.87542081447964,36.51935609756097,88.59725443786982,0.0273478534348099,0.0169918648179517,1.0295398598750236,0.3680861146841784,11.373303167420817,1.3171869393613205,5.981481481481482,1.5073529411764706,0.0094510964076181,0.3455882352941176,0.0783132530120482,0.0258175559380378,0.3301739895741656,0.5878048780487805,0.1037005163511187,2.025210084033614,0.007314974182444,47.85390181358044,0.0254601052762138,0.0274914089347079,-59.976851851851855,884000000.0,475000000.0,-5748000000.0,11163000000.0,1271000000.0,1942500000.0,1952000000.0,46.66523235800344,99.72413793103448,101.3793103448276,1.928630705394191,0.9024896265560166,0.8877551020408163,0.0515053967051694,2.0286195286195285,2023-07-27,1.93,amc,2693020000.0,2025-04-25,2023-06-30,0.0310880829015544,81.31,923967.3870967742
2023-03-31,EMN,USD,915389,2023-04-28,2023-04-28 14:10:42,2023,Q1,2412000000.0,1883000000.0,529000000.0,0.2193200663,62000000,188000000.0,3000000.0,191000000.0,-8000000.0,253000000.0,2136000000.0,3000000.0,52000000.0,141000000.0,409000000.0,0.1695688226,268000000.0,0.1111111111,-85000000.0,194000000.0,0.0804311774,60000000.0,134000000.0,0.0555555556,1.13,1.12,118900000,119700000,https://www.sec.gov/Archives/edgar/data/915389/000091538923000091/0000915389-23-000091-index.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538923000091/emn-20230331.htm,20.28595458368377,1.1269974768713205,-0.016820857863751,-1.4970563498738436,5.03784693019344,44.25567703952902,2.9941126997476872,43.63330529857023,47.95626576955425,10028026000.0,15079026000.0,18.709003731343284,4.157556384742952,-5014.013,-56.33722471910112,1.9329271395528145,1.9329271395528145,6.251669154228856,36.86803422982885,-7539.513,-84.71362921348315,0.0133625501170419,-0.0177502531405483,1.0890516576715497,0.3770940399119001,12.34963325183374,1.3372601817569842,5.153846153846154,-0.0149253731343283,0.0093737291865816,0.7014925373134329,0.0779436152570481,0.0257048092868988,0.3274377627978375,-88.0,0.0729684908789386,1.24822695035461,0.0091210613598673,33.26302845545644,0.0142110703256453,0.0132976084152029,-60.11143818334735,1002000000.0,356000000.0,-5748000000.0,11166000000.0,1307000000.0,1638000000.0,1919000000.0,49.88805970149254,93.5369091874668,92.91556027615506,1.804038893044129,0.9621870209504344,0.9686213991769548,0.025828835774865,1.4802354920100924,2023-04-27,1.22,amc,2432730000.0,2025-04-25,2023-03-31,0.3360655737704917,85.89129032258064,1044656.5
2022-12-31,EMN,USD,915389,2023-02-15,2023-02-15 16:35:14,2022,Q4,2373000000.0,1997000000.0,376000000.0,0.1584492204,64000000,0.0,0.0,172000000.0,15000000.0,236000000.0,2233000000.0,3000000.0,48000000.0,117000000.0,272000000.0,0.1146228403,155000000.0,0.0653181627,-112000000.0,28000000.0,0.01179941,26000000.0,2000000.0,0.000842815,0.0167,0.0166,119500000,120500000,https://www.sec.gov/Archives/edgar/data/915389/000091538923000015/0000915389-23-000015-index.htm,https://www.sec.gov/Archives/edgar/data/915389/000091538923000015/emn-20221231.htm,19.85774058577406,0.0167364016736401,3.8242677824267775,2.100418410041841,4.133891213389122,43.81589958158996,3.0292887029288704,43.12133891213389,43.50627615062761,9732080000.0,14390080000.0,1216.51,4.101171512852929,21.29557986870897,38.773227091633466,1.888624102464584,1.888624102464584,6.064087652760219,52.90470588235294,31.488140043763675,57.33099601593626,0.0002055059144602,0.0257909922647573,0.9996118765767514,0.351196563714461,17.125,1.162103968009843,3.2291666666666665,228.5,0.0093505191079399,45.5,0.0,0.0269700800674252,0.3323106293038794,0.4507658643326039,0.0868099452170248,1.7606837606837606,0.0063211125158027,4.029660171356817,0.0008827482515889,0.0002042275094455,-58.84728033472803,527000000.0,362000000.0,-5653000000.0,10561000000.0,1435500000.0,1363000000.0,1934500000.0,48.43236409608091,59.444166249374064,85.35803705558338,1.8582615505090057,1.5140257771038663,1.0543822597676875,0.0003881234232485,1.7238493723849373,2023-01-26,1.26,amc,2433881030.0,2025-04-25,2022-12-31,-0.2936507936507936,80.56714285714285,976992.507936508
