date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,EQR,USD,906107,2025-04-30,2025-04-30 16:19:23,2025,Q1,760810000.0,291541000.0,469269000.0,0.6168018296,0,18255000.0,0.0,18255000.0,256746000.0,275001000.0,566542000.0,1692000.0,72114000.0,259935000.0,603747000.0,0.7935581814,194268000.0,0.2553436469,77430000.0,271698000.0,0.3571167571,422000.0,256592000.0,0.3372616028,0.6944421003776292,0.6731905342566958,379208000,391179000,https://www.sec.gov/Archives/edgar/data/906107/000095017025061082/0000950170-25-061082-index.htm,https://www.sec.gov/Archives/edgar/data/906107/000095017025061082/eqr-20250331.htm,2.0063131579502542,0.6766523912997616,1.1221414105187657,0.9459663298242652,0.1050848083373768,30.5614069323432,30.5614069323432,29.13263960675935,0.0,27143708640.0,27103859640.0,26.446370736422026,35.67738152758245,63.788751871217904,75.66865515530306,2.457037912328137,2.457037912328137,35.62500445577739,44.8927442123936,63.69510519945949,75.55756789455785,0.0094530929212037,0.0132155117326664,0.0,0.0,-0.066002812436335,0.0,0.0,1.6069796599672204,0.0094300083822296,0.997557990896053,0.0239941641145621,0.0,0.0,0.0,0.0,0.0,0.0136302099078613,21.060272570238187,0.0094331543022272,0.0124788294629194,-23.557535705997765,141543000.0,11589130000.0,-8831512000.0,594326000.0,0.0,49673500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0232266076961582,0.0,2025-04-29,0.93,amc,769444610.0,2025-05-11,2025-03-31,0.0215053763440859,70.624,1650838.1
2024-12-31,EQR,USD,906107,2025-02-13,2025-02-13 16:13:57,2024,Q4,766779000.0,277383000.0,489396000.0,0.6382490913,0,12751000.0,0.0,12751000.0,0.0,12751000.0,290134000.0,1778000.0,79973000.0,267378000.0,450443000.0,0.5874482739,476645000.0,0.6216197888,-38334000.0,438311000.0,0.5716262443,331000.0,419115000.0,0.5465916516,1.12,1.11,380936063,391194576,https://www.sec.gov/Archives/edgar/data/906107/000095017025019894/0000950170-25-019894-index.htm,https://www.sec.gov/Archives/edgar/data/906107/000095017025019894/eqr-20241231.htm,2.012881096006917,1.100224002682571,0.9298804560806312,0.7295502500113779,0.1635497555924496,30.410213485090804,30.410213485090804,28.993211913359858,22.330820907339508,27335971880.88,35700311880.880005,16.305770421531083,35.65039193937236,77.1712100525937,98.36197026713492,2.475062101240792,2.475062101240792,46.55880231576504,79.2560032698477,100.78428084093444,128.45905135755206,0.0153319955780737,0.01016653079726,0.7629676510426853,0.4044624563025675,18.569141933607582,0.1633187042671735,5.960074024983432,0.816429307328676,0.0093801311004182,0.6118010569891319,0.0166293025761008,0.0,0.0,0.2154365163384854,0.0995241132060215,0.2854124123899498,0.0058765302649133,26.79044834252812,0.0233662479851221,0.0201167063194627,-24.118291472970885,-820530000.0,11584347000.0,-9089663000.0,-365085000.0,0.0,132567000.0,0.0,0.0,32.23423930089443,0.0,0.0,2.792062165943612,0.0,0.0379476411916816,0.2003302060692531,2025-02-03,1.0,amc,754927110.0,2025-05-03,2024-12-31,0.0,73.45515625,1445537.4375
2024-09-30,EQR,USD,906107,2024-11-04,2024-11-04 16:16:45,2024,Q3,748348000.0,272587000.0,475761000.0,0.6357483417,0,14551000.0,0.0,14551000.0,0.0,475761000.0,517180000.0,13896000.0,72722000.0,242798000.0,465820000.0,0.622464415,223262000.0,0.2983398098,-72962000.0,150300000.0,0.2008423888,290000.0,143446000.0,0.1916835483,0.39,0.38,378756000,391026000,https://www.sec.gov/Archives/edgar/data/906107/000095017024120716/0000950170-24-120716-index.htm,https://www.sec.gov/Archives/edgar/data/906107/000095017024120716/eqr-20240930.htm,1.9758050037491155,0.3787293138590544,1.059822154632534,0.8452856192377151,0.0755367571734837,30.11257643443272,30.11257643443272,28.6569057651892,23.087386074412024,28202171760.0,36845325760.0,49.151199336335615,37.68590516711476,70.25707065523373,88.08856829617967,2.598326581736184,2.598326581736184,49.235550519277126,79.09777544974453,91.78884084760372,115.08517933388931,0.005086345875088,0.0113522108412263,0.79894821943113,0.4144049593084066,18.554707827057666,0.2637497525242526,3.070075080443332,2.7028151659405992,0.0090982354899323,1.7887567446983534,0.0194441623415843,0.0,0.0,0.2024269208348488,0.1085818362579976,0.3346691488397763,0.0072573187875159,15.626811280613454,2.1144090038615144,0.0068549759648617,-25.060703988847703,-353286000.0,11405319000.0,-9393943000.0,105387000.0,6585000.0,140100000.0,0.0,0.0,54.73786350779751,0.0,0.0,1.644200088064806,0.0,0.0132159876911454,0.2145365353948188,2024-10-30,0.98,amc,744780000.0,2025-04-25,2024-09-30,0.0,72.220625,1767468.625
2024-06-30,EQR,USD,906107,2024-08-01,2024-08-01 16:15:42,2024,Q2,726239000.0,489978000.0,236261000.0,0.3253212785,0,18631000.0,0.0,18631000.0,-13385000.0,243029000.0,500685000.0,1328000.0,65828000.0,224398000.0,449952000.0,0.6195646337,225554000.0,0.3105781981,-39994000.0,185560000.0,0.2555081729,331000.0,177483000.0,0.2443864898,0.47,0.45,378578000,390542000,https://www.sec.gov/Archives/edgar/data/906107/000095017024089300/0000950170-24-089300-index.htm,https://www.sec.gov/Archives/edgar/data/906107/000095017024089300/eqr-20240630.htm,1.9183338704309283,0.4688148809492363,1.0484946299045377,0.8268362134091257,0.1441763652404524,30.39602142755258,30.39602142755258,28.992405792201343,19.896013503161832,25796304920.0,33224371920.0,36.33630392770012,35.52040708361848,64.98841105767414,82.41051721604232,2.3502706359859573,2.3502706359859573,45.74853721708693,73.83981384681033,83.70187692253431,106.14069273086236,0.0068801714257299,0.0121343735457752,0.680251627954989,0.3774786688971164,16.50857647037906,0.2252396062159303,3.426414291790727,2.1624962545286155,0.0099290577000979,1.4431410332257173,0.0256540890808673,0.0,0.0,0.211406344079791,0.1155473611304267,0.3686351515790491,0.0163596281664851,17.487755818652474,0.0116442283953623,0.0089730473385465,-21.68071969316759,-476129000.0,11507265000.0,-8133882000.0,-25333000.0,13700000.0,130242500.0,0.5,1.6321073365655108,21.0155762095441,0.0,55.14343204252088,4.282537823499078,0.0,0.0161702648724426,0.2216584164954117,2024-07-29,0.96,amc,734370000.0,2025-04-25,2024-06-30,0.0104166666666666,65.07428571428572,1860849.111111111
2024-03-31,EQR,USD,906107,2024-05-02,2024-05-02 16:17:00,2024,Q1,721603000.0,504710000.0,216893000.0,0.3005710896,0,15720000.0,0.0,15720000.0,-6505000.0,6505000.0,511215000.0,9329000.0,67212000.0,225695000.0,436083000.0,0.60432537,210388000.0,0.2915564375,96646000.0,307034000.0,0.4254888076,304000.0,295787000.0,0.409902675,0.78,0.77,378812000,390561000,https://www.sec.gov/Archives/edgar/data/906107/000095017024052144/0000950170-24-052144-index.htm,https://www.sec.gov/Archives/edgar/data/906107/000095017024052144/eqr-20240331.htm,1.904910615292018,0.7808279568757062,1.1114510627963212,0.9076454811357612,0.1175649134663104,30.54821917204313,30.54821917204313,29.216793554586445,20.0293628501737,23277997400.0,30753613400.0,19.6746285333703,32.258731463145246,55.28808425032836,67.70264522565127,2.103242434361987,2.103242434361987,42.61846666380267,70.52238541745493,73.04358443915056,89.44502147882511,0.0127067202095314,0.0147704716214119,0.6794699915212522,0.3779958649490115,17.142644863477823,0.2870335485792891,3.130214842587633,1.380284691442209,0.0108384753062993,0.8529719020781846,0.02178483182581,0.0,0.0,0.1833689205782947,0.1069895773714909,0.337244349702524,0.0131221738268826,22.65610309382349,0.0108139821000935,0.0148675555724443,-21.824961982460955,-488238000.0,11572032001.0,-8126204999.0,-34203000.0,7115000.0,125251000.0,0.5,1.774798608098913,26.047591686314917,1.7832022349468014e-07,50.70997891777934,3.455213867134016,504710000.0,0.0267253131462515,0.2038055816605598,2024-04-23,0.33,amc,726230000.0,2025-04-25,2024-03-31,1.3333333333333333,60.86950819672131,2141609.016393442
2023-12-31,EQR,USD,906107,2024-02-15,2024-02-15 16:20:41,2023,Q4,736473000.0,1147193000.0,-410720000.0,-0.5576850747,0,11581000.0,0.0,11581000.0,-29559000.0,29559000.0,1179975000.0,11049000.0,72687000.0,901504000.0,461225000.0,0.6262619268,-440279000.0,-0.5978209656,-68445000.0,324056000.0,0.4400106996,256000.0,311692000.0,0.4232225757,0.82,0.8,379247000,390787000,https://www.sec.gov/Archives/edgar/data/906107/000095017024015907/0000950170-24-015907-index.htm,https://www.sec.gov/Archives/edgar/data/906107/000095017024015907/eqr-20231231.htm,1.9419349394985328,0.8218707069535158,0.9077830543155252,0.6632432161625537,0.1337993444905299,30.52990794917297,30.52990794917297,29.23115542113715,20.50056295765029,23194746520.0,30846093520.0,18.60389945843974,31.494360988114973,67.37292540244108,92.21353269749892,2.0922881466318977,2.0922881466318977,41.88353615135925,66.87862435904385,89.59751105224328,122.6323922507186,0.0134380429521503,0.0108443952936977,0.6947690330393003,0.3844401106008596,16.589185321697652,0.1669572621847376,-6.057190419194629,1.0682814667250031,0.0108789720888917,0.8095652118116602,0.0157249485045616,0.0,0.0,0.2693813648431191,0.1259258655782357,0.4032024555347352,0.0066085246845437,23.24962759590693,-0.0218594632717326,0.0155577131601166,-22.16351085176679,-698513000.0,11578376000.0,-8316193000.0,-335338000.0,0.0,134702500.0,0.5,0.0,8.192780116336136,0.0,0.0,10.985282007086086,0.0,0.0281162579827145,0.2445398381529715,2024-01-30,0.43,amc,727050000.0,2025-04-25,2023-12-31,0.9069767441860463,57.85968253968254,2224735.8571428573
2023-09-30,EQR,USD,906107,2023-11-02,2023-11-02 16:13:50,2023,Q3,724067000.0,260114000.0,463953000.0,0.6407597639,0,14094000.0,0.0,14094000.0,-4958000.0,238830000.0,498944000.0,7627000.0,68891000.0,224736000.0,449859000.0,0.6212947144,252035000.0,0.3480824288,-69249000.0,182786000.0,0.2524434893,258000.0,172508000.0,0.2382486704,0.45,0.45,378853000,378853000,https://www.sec.gov/Archives/edgar/data/906107/000095017023058214/0000950170-23-058214-index.htm,https://www.sec.gov/Archives/edgar/data/906107/000095017023058214/eqr-20230930.htm,1.9112083050681927,0.455342837459384,1.168115337611158,0.9106803958263496,0.1036021887117166,30.470047749390925,30.470047749390925,29.19830382760596,20.749285342863853,22242459630.0,29995247630.0,32.23395383112668,30.718786562569488,50.26044784247442,64.46828137408917,2.010733238020894,2.010733238020894,41.42606641374348,66.6769979704752,67.77913073050364,86.93921878532466,0.0077557969248745,0.015511503931636,0.7044054506179563,0.3874905608068039,17.23381770732607,0.130679533159956,3.6584604665340894,2.4411372086096,0.0112892640551911,1.455590465369722,0.0194650495050872,0.0,0.0,0.2203848656856719,0.134697479653126,0.4278551092120675,0.0084287779998259,17.295747065736247,0.0128166771271248,0.00857865704244,-22.5049187930411,-843027000.0,11543669000.0,-8438579000.0,-382538000.0,0.0,141645500.0,0.5,0.0,57.08170263807408,3.460021375243163e-07,0.0,1.576687376875284,260114000.0,0.0155948386641854,0.2574349417848083,2023-10-31,0.97,amc,727520000.0,2025-04-25,2023-09-30,-0.0103092783505154,64.60777777777778,1539336.7936507936
2023-06-30,EQR,USD,906107,2023-08-02,2023-08-02 16:21:40,2023,Q2,717309000.0,258530000.0,458779000.0,0.6395834989,0,18876000.0,0.0,18876000.0,-6564000.0,240231000.0,498761000.0,2131000.0,65590000.0,221355000.0,439903000.0,0.6132684798,218461000.0,0.3045563349,-72127000.0,146421000.0,0.2041254188,336000.0,139203000.0,0.1940628098,0.37,0.37,378642000,378642000,https://www.sec.gov/Archives/edgar/data/906107/000095017023037206/0000950170-23-037206-index.htm,https://www.sec.gov/Archives/edgar/data/906107/000095017023037206/eqr-20230630.htm,1.8944253410873595,0.3676375045557545,0.9314893751881724,0.7099502960580178,0.0942869517908737,30.587895690388283,30.587895690388283,29.11421870790879,20.659018281120424,24979012740.0,32700093740.0,44.86076582401241,34.82322505363797,70.82206384444615,92.92199801351848,2.265903154120342,2.265903154120342,45.58717894240837,74.33478230428072,92.71335703612976,121.64444116257528,0.0055727983106829,0.0107617143558893,0.7036353671207541,0.3850335721283652,17.55178073347988,0.198515932463619,3.3307059002896784,2.434737888473168,0.0100763389898491,1.8081291351479496,0.0263150190503674,0.0,0.0,0.2378331788115145,0.1169426286300604,0.3735449452712391,0.0164517662541526,15.518642693208903,0.0110626327829055,0.0069098020726874,-22.523032310203305,-503227000.0,11581862000.0,-8439225000.0,-39523000.0,0.0,131488000.0,-7227500.0,0.0,41.18841140293196,0.0,0.0,2.1850806315291256,0.0,0.012627421269453,0.2215390791301546,2023-07-27,0.94,amc,725680000.0,2025-04-25,2023-06-30,0.0,62.49919354838709,1770875.1935483871
2023-03-31,EQR,USD,906107,2023-04-28,2023-04-28 16:18:00,2023,Q1,705088000.0,275714000.0,429374000.0,0.6089651221,0,16165000.0,0.0,16165000.0,215830000.0,231995000.0,507709000.0,1538000.0,66401000.0,215830000.0,413209000.0,0.5860389058,187943000.0,0.2665525438,-191458000.0,221751000.0,0.3145011686,298000.0,212035000.0,0.3007213284,0.56,0.56,378341000,378341000,https://www.sec.gov/Archives/edgar/data/906107/000095017023015831/0000950170-23-015831-index.htm,https://www.sec.gov/Archives/edgar/data/906107/000095017023015831/eqr-20230331.htm,1.8636309572581349,0.5604335771169395,1.0394829003465127,0.882521323356443,1.125278518585086,30.845200493734488,30.845200493734488,29.43716911463468,20.33443110844449,22700460000.0,30193948000.0,26.764991628740532,32.195215349006084,57.72100722387923,67.98702582256644,2.038239470865798,2.038239470865798,42.822949759462645,73.07185467886711,76.77487991985333,90.42974117534308,0.0093405596186156,0.0147086887226073,0.6848119578123507,0.3794024691225371,18.134861534961725,0.4831748370193283,2.830424240598786,1.7870550867674524,0.0104889944961467,1.122951399533096,0.0229262163020786,0.0,0.0,0.1509996719885882,0.0842235295452482,0.2711891496940359,0.0128267677226105,19.266434665240936,0.0095521144465968,0.0105476794309332,-21.181977369621585,-234343000.0,11670004000.0,-8213437000.0,232568000.0,0.0,120344000.0,-7227500.0,0.0,47.22067069499554,-4.718476392203515,0.0,1.9059449744227843,-19.07395364925631,0.0190382972946376,0.1569615769900698,2023-04-25,0.88,amc,713250000.0,2025-04-25,2023-03-31,-0.0113636363636363,61.3941935483871,2346241.2580645164
2022-12-31,EQR,USD,906107,2023-02-16,2023-02-16 16:24:34,2022,Q4,699703000.0,231370000.0,468333000.0,0.6693311305,0,11677000.0,0.0,11677000.0,214272000.0,225949000.0,457319000.0,,,217306000.0,459690000.0,0.6569787467,242363000.0,0.3463798212,-75259000.0,167104000.0,0.2388213285,175000.0,159020000.0,0.2272678551,0.42,0.42,377689000,377689000,https://www.sec.gov/Archives/edgar/data/906107/000095017023003060/0000950170-23-003060-index.htm,https://www.sec.gov/Archives/edgar/data/906107/000095017023003060/eqr-20221231.htm,1.8525903587343029,0.4210342371633804,0.8857234391258416,0.66299786332141,0.8813944806441278,30.980388626621373,30.980388626621373,29.583702464196733,20.47840948505252,22283651000.0,29964252000.0,35.03278046786568,31.847299497072328,66.61221482207768,88.98972872164117,1.9943413124643183,1.9943413124643183,42.824244000668855,65.18360634340534,89.57173091639564,119.66219794175085,0.0071361735112437,0.0112372519207018,0.6922192889762946,0.3825487076980207,16.70821858208793,0.2554822560037548,,2.0231019509658066,0.0105505152634099,1.4784555401836248,0.0166885092675035,0.0,0.0,0.2514617610484025,0.1202238664118919,0.3871085013759399,0.0070801468623115,16.740800786949634,0.0122207602832042,0.0078651666498337,-21.669725620815008,-399742000.0,11700952000.0,-8380138000.0,63214000.0,11419000.0,135935500.0,-11706499.5,0.0,37.353675930328045,0.0,0.0,2.4094014245844964,0.0,0.0142319656463869,0.2227255758044317,2023-02-09,0.94,amc,703555851.0,2025-04-25,2022-12-31,0.0,62.57968253968254,2129942.015873016
