date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,EQT,USD,33213,2025-04-23,2025-04-23 16:15:36,2025,Q1,2418769000.0,709213000.0,1709556000.0,0.7067876263,0,-82578000.0,174042000.0,91464000.0,1121842000.0,1196303000.0,1922519000.0,0.0,117569000.0,620775000.0,1132430000.0,0.468184436,496250000.0,0.205166347,-102164000.0,394086000.0,0.1629283326,78668000.0,242139000.0,0.1001083609,0.4,0.4,597976000,602838000,https://www.sec.gov/Archives/edgar/data/33213/000003321325000023/0000033213-25-000023-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321325000023/eqt-20250331.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-22,1.03,amc,2162284484.0,2025-05-11,2025-03-31,0.1456310679611649,51.07683333333333,8237453.466666667
2024-12-31,EQT,USD,33213,2025-02-19,2025-02-19 16:16:15,2024,Q4,1808270000.0,724284000.0,1083986000.0,0.5994602576,0,0.0,0.0,107994000.0,194547000.0,302541000.0,974675000.0,0.0,186435000.0,620319000.0,1380868000.0,0.7636403856,781445000.0,0.4321506191,-207331000.0,574114000.0,0.3174935159,146869000.0,418395000.0,0.2313786105,0.7,0.69,603089283,602521000,https://www.sec.gov/Archives/edgar/data/33213/000003321325000011/0000033213-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321325000011/eqt-20241231.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-18,0.532,amc,1774940397.0,2025-05-11,2024-12-31,0.2969924812030073,41.235625,7194570.28125
2024-09-30,EQT,USD,33213,2024-10-30,2024-10-30 16:16:01,2024,Q3,1216986000.0,683141000.0,533845000.0,0.4386615787,0,-28764000.0,117234000.0,88470000.0,727215000.0,815685000.0,1498826000.0,0.0,158299000.0,589299000.0,345296000.0,0.283730462,-281840000.0,-0.231588531,-120462000.0,-402302000.0,-0.3305724141,-104870000.0,-300823000.0,-0.2471869027,-0.54,-0.54,559603000,559603000,https://www.sec.gov/Archives/edgar/data/33213/000003321324000047/0000033213-24-000047-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321324000047/eqt-20240930.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-29,0.07577,amc,1354921492.0,2025-04-22,2024-09-30,0.5837402665962781,34.014375,8068379.40625
2024-06-30,EQT,USD,33213,2024-07-24,2024-07-24 16:16:08,2024,Q2,891179000.0,1112614000.0,-221435000.0,-0.2484742123,0,65545000.0,1662000.0,67207000.0,-52190000.0,119397000.0,1232011000.0,0.0,55720000.0,465982000.0,486719000.0,0.5461517832,-340832000.0,-0.3824506637,-37954000.0,-34983000.0,-0.0392547401,-44222000.0,9517000.0,0.0106791116,0.0215,0.0214,441968000,444921000,https://www.sec.gov/Archives/edgar/data/33213/000003321324000032/0000033213-24-000032-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321324000032/eqt-20240630.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-23,-0.19436,amc,1061629134.0,2025-04-22,2024-06-30,-0.5883926733895863,39.180793650793646,6552264.349206349
2024-03-31,EQT,USD,33213,2024-04-24,2024-04-24 16:17:23,2024,Q1,1305757000.0,1135166000.0,170591000.0,0.1306452885,0,72117000.0,1852000.0,73053000.0,1144522000.0,73053000.0,1208219000.0,54371000.0,54371000.0,486750000.0,668486000.0,0.5119528366,97538000.0,0.0746984316,-55355000.0,127365000.0,0.0975411198,24302000.0,103488000.0,0.0792551754,0.24,0.23,439459000,444967000,https://www.sec.gov/Archives/edgar/data/33213/000003321324000021/0000033213-24-000021-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321324000021/eqt-20240331.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-23,0.646,amc,1578886440.0,2025-04-22,2024-03-31,0.2693498452012383,35.8172131147541,6635839.442622951
2023-12-31,EQT,USD,33213,2024-02-14,2024-02-14 16:16:52,2023,Q4,1371202000.0,1150842000.0,220360000.0,0.1607057166,0,150785000.0,9506000.0,67172000.0,-14778000.0,26415000.0,1177257000.0,0.0,72804000.0,501887000.0,1227117000.0,0.8949206609,722717000.0,0.5270682219,-70291000.0,652426000.0,0.4758058988,150979000.0,502055000.0,0.3661422606,1.2,1.13,416792000,445400000,https://www.sec.gov/Archives/edgar/data/33213/000003321324000008/0000033213-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321324000008/eqt-20231231.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-13,0.48,amc,1571190000.0,2025-04-22,2023-12-31,0.0,40.55317460317461,5279227.555555556
2023-09-30,EQT,USD,33213,2023-10-26,2023-10-26 16:18:18,2023,Q3,1008196000.0,1068767000.0,-60571000.0,-0.0600785958,0,50629000.0,6313000.0,56942000.0,1077144000.0,93598000.0,1162365000.0,60295000.0,60427000.0,446886000.0,461190000.0,0.4574408151,15807000.0,0.015678499,-61930000.0,-46123000.0,-0.045748049,-126853000.0,81255000.0,0.0805944479,0.21,0.2,383359000,416190000,https://www.sec.gov/Archives/edgar/data/33213/000003321323000041/0000033213-23-000041-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321323000041/eqt-20230930.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-25,-0.12,amc,1131470000.0,2025-04-22,2023-09-30,-3.5,41.39539682539682,5392089.968253968
2023-06-30,EQT,USD,33213,2023-07-26,2023-07-26 16:18:14,2023,Q2,854365000.0,973884000.0,-119519000.0,-0.1398922006,0,54123000.0,6040000.0,60163000.0,980187000.0,74760000.0,1048644000.0,39321000.0,39883000.0,395684000.0,356883000.0,0.417717252,-34993000.0,-0.0409579044,-43691000.0,-78684000.0,-0.0920964693,-11818000.0,-66626000.0,-0.0779830634,-0.18,-0.18,361982000,361982000,https://www.sec.gov/Archives/edgar/data/33213/000003321323000028/0000033213-23-000028-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321323000028/eqt-20230630.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-25,-0.27,amc,1029090000.0,2025-04-22,2023-06-30,-0.3703703703703703,35.35903225806452,6466655.919354838
2023-03-31,EQT,USD,33213,2023-04-27,2023-04-27 16:17:16,2023,Q1,1836219000.0,435625000.0,1400594000.0,0.7627597797,0,0.0,0.0,51894000.0,-262180000.0,-210286000.0,225339000.0,0.0,46546000.0,391573000.0,2013998000.0,1.0968179721,1610880000.0,0.8772809779,-35001000.0,1575879000.0,0.8582195261,356646000.0,1218548000.0,0.6636180107,3.37,3.09,361462000,393883000,https://www.sec.gov/Archives/edgar/data/33213/000003321323000017/0000033213-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321323000017/eqt-20230331.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-26,1.32,amc,1174550000.0,2025-04-22,2023-03-31,0.2878787878787878,32.07693548387097,7074134.274193549
2022-12-31,EQT,USD,33213,2023-02-16,2023-02-16 16:18:29,2022,Q4,2572732000.0,981734000.0,1590998000.0,0.6184079803,0,30589000.0,26453000.0,57042000.0,18947000.0,75989000.0,1057723000.0,55416000.0,55630000.0,396026000.0,2724472000.0,1.0589801036,1150025000.0,0.4470053624,-46960000.0,2272816000.0,0.8834250905,558977000.0,1711982000.0,0.6654334769,4.67,4.28,366263000,400122000,https://www.sec.gov/Archives/edgar/data/33213/000003321323000008/0000033213-23-000008-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321323000008/eqt-20221231.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-15,0.43,amc,1440428382.0,2025-04-22,2022-12-31,-0.0232558139534883,40.13825396825397,6564331.793650794
