date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,ESS,USD,920522,2025-04-30,2025-04-30 16:19:14,2025,Q1,464583000.0,64926000.0,399657000.0,0.8602488683,0,16292000.0,0.0,16292000.0,126284000.0,142576000.0,207502000.0,4289000.0,62732000.0,151287000.0,512824000.0,1.1038372045,257081000.0,0.5533586033,41724000.0,298805000.0,0.6431681745,0.0,203110000.0,0.4371877576,3.1580551809620347,3.1580551809620347,64314899,64314899,https://www.sec.gov/Archives/edgar/data/920522/000092052225000040/0000920522-25-000040-index.htm,https://www.sec.gov/Archives/edgar/data/920522/000092052225000040/ess-20250331.htm,7.223567279488381,-0.1503228668679088,4.376948489027402,3.942927749913749,2.717068715290994,89.86954951138149,89.86954951138149,86.60514261244506,0.0,19717018586.43,19618283586.43,-509.8525699842263,42.44024982926624,70.04194835021296,77.75186852122924,3.5398590747883167,3.5398590747883167,42.22772590996657,38.25539285686707,69.6912060845888,77.36251803678392,-0.0004903378245356,0.0128614272430888,0.0,0.0,-0.1925319407828026,0.0,0.0,1.3229892188102153,0.0079916495417033,-16.298252229002898,0.0350680072236823,0.0,0.0,0.0,0.0,0.0,0.0042145321718616,,-0.6025590732867442,-0.0007331875350838,-112.43987182503388,429772000.0,5779951000.0,-6976535000.0,483123000.0,103353000.0,106373500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017357267978946,0.0,2025-04-29,3.92,amc,466061540.0,2025-05-11,2025-03-31,0.0127551020408163,292.1875,460936.68333333335
2024-12-31,ESS,USD,920522,2025-02-21,2025-02-21 16:51:05,2024,Q4,454469000.0,388552000.0,65917000.0,0.145041796,0,31528000.0,0.0,31528000.0,-270107000.0,-238579000.0,149973000.0,2659000.0,61244000.0,148435000.0,268409000.0,0.5905991388,304496000.0,0.6700038947,-245766000.0,58730000.0,0.1292277361,0.0,257453000.0,0.5664918839,4.01,4.01,64228356,64251234,https://www.sec.gov/Archives/edgar/data/920522/000092052225000024/0000920522-25-000024-index.htm,https://www.sec.gov/Archives/edgar/data/920522/000092052225000024/ess-20241231.htm,7.075831117333908,4.008400900063517,3.297982591987876,2.7941552793286504,2.126615228949656,89.5436121703006,89.5436121703006,86.20874555780316,104.55403840633878,18333341936.64,24920636936.64,17.802610512054628,40.34013747173074,86.54988073419442,102.15609780591092,3.311032983406676,3.311032983406676,54.83462444443956,92.84575754404658,117.64784413777475,138.8614816154772,0.0140428843191687,0.0097889408608767,1.2017400613973588,0.5147292652737501,24.54200492531919,0.6641997277947226,4.97185030370322,0.7021177156911165,0.0085906323322993,0.6117427258567584,0.0693732685837758,0.0,0.0,0.1834541883828083,0.0855063821734815,0.2617980934415737,0.0039782691448701,88.176427116112,0.0242920082949722,0.0199153593553021,-107.18788287216942,-178136000.0,5751239000.0,-6823774000.0,-126580000.0,203500500.0,229551500.0,37074000.0,40.93467321203426,49.278423479997535,0.0,2.1986251003841204,1.8263571284201423,0.0,0.046496453162932,0.6050287197137663,2025-02-04,1.4,amc,449859880.0,2025-05-04,2024-12-31,1.8,295.43390625,343589.8125
2024-09-30,ESS,USD,920522,2024-10-30,2024-10-30 16:25:59,2024,Q3,450698000.0,61106000.0,389592000.0,0.8644191898,0,29067000.0,0.0,29067000.0,0.0,260802000.0,321908000.0,11449000.0,59232000.0,146439000.0,416454000.0,0.9240200755,128790000.0,0.2857567595,81993000.0,210783000.0,0.4676812411,0.0,118424000.0,0.2627568793,1.84,1.84,64227662,64271459,https://www.sec.gov/Archives/edgar/data/920522/000092052224000092/0000920522-24-000092-index.htm,https://www.sec.gov/Archives/edgar/data/920522/000092052224000092/ess-20240930.htm,7.017194553960255,1.8438161426458275,4.923096842603425,4.353980688258589,2.4211997628062503,88.16040976238556,88.16040976238556,84.60273705743796,100.87044737826514,18974135908.04,25313313908.04,40.05551220200298,42.09944554455534,60.00694470267142,67.8505535857477,3.4918492034062125,3.4918492034062125,56.1646910082583,60.782977010762295,80.05500937080762,90.51913457743004,0.0062413382392723,0.0147382732660571,1.1813829125501762,0.5075681281763822,15.221796404885051,0.9678066327070386,2.1743314424635334,2.51977495676843,0.0082908123332953,1.3283709383233129,0.0644932970636656,0.0,0.0,0.115601251110851,0.0811030889864166,0.2496124666243282,0.0041025254161323,59.24371339405389,2.79656048465898,0.0093634707463095,-103.41816194399227,-14302000.0,5662337000.0,-6555159000.0,38168000.0,217035500.0,215060000.0,33174000.5,39.99696027051373,362.8455470821197,109.20891565476386,2.250170997778277,0.2480394226241699,0.8241085396774019,0.0217938119589917,0.5691161543448366,2024-10-29,3.88,amc,447750000.0,2025-04-25,2024-09-30,0.0077319587628866,290.0890625,387547.203125
2024-06-30,ESS,USD,920522,2024-07-31,2024-07-31 16:27:37,2024,Q2,442355000.0,283769000.0,158586000.0,0.3585039165,0,21136000.0,0.0,21136000.0,155265000.0,165942000.0,303338000.0,9568000.0,59120000.0,145613000.0,283063000.0,0.6399000803,139017000.0,0.3142656916,-38464000.0,98986000.0,0.2237705011,133870000.0,92914000.0,0.2100439692,1.45,1.45,64209878,64227650,https://www.sec.gov/Archives/edgar/data/920522/000092052224000075/0000920522-24-000075-index.htm,https://www.sec.gov/Archives/edgar/data/920522/000092052224000075/ess-20240630.htm,6.889204804282606,1.4470359217938398,3.5107838080614324,2.972019351913424,2.31182496562289,88.59055922828571,88.59055922828571,85.37064966857592,99.61845745914673,17517738915.96,23790956916.96,47.13428255149924,39.601087171977255,77.70914272008234,91.79617212934868,3.195711887623391,3.195711887623391,53.7824980320331,84.04827517888243,105.5372999550187,124.66898763295656,0.0053039950216034,0.0108937004322022,1.156108419397921,0.5066061204880147,22.161914489000683,0.7714609231663528,2.3514377537212447,2.4261898099317647,0.008981239003206,1.6932970273586327,0.0477806286805846,0.0,0.0,0.1534598783641711,0.0782041572944806,0.237574941797779,0.0043155384250206,52.72119048911359,-0.0040773251916441,0.007427498868856,-101.24917229246256,-113229000.0,5688389000.0,-6438853000.0,-59856000.0,208408000.0,200150000.0,-7799999.5,47.563246713612365,58.28247623947647,-2.4738428440033973,1.8922173362535075,1.5442034348403386,-36.38064568982637,0.0169500399424332,0.5387644561480088,2024-07-30,3.84,amc,431820000.0,2025-04-25,2024-06-30,0.0260416666666666,256.66253968253966,348534.8253968254
2024-03-31,ESS,USD,920522,2024-05-01,2024-05-01 16:46:09,2024,Q1,426928000.0,277330000.0,149598000.0,0.350405689,0,17171000.0,0.0,17171000.0,134519000.0,-134519000.0,142811000.0,57275000.0,55933000.0,139733000.0,272092000.0,0.6373252633,284117000.0,0.6654916051,152781000.0,285140000.0,0.6678877937,12409000.0,272731000.0,0.6388220028,4.25,4.25,64205085,64212006,https://www.sec.gov/Archives/edgar/data/920522/000092052224000045/0000920522-24-000045-index.htm,https://www.sec.gov/Archives/edgar/data/920522/000092052224000045/ess-20240331.htm,6.649442174245233,4.247809967076595,4.903895073108306,4.492899588872128,9.33204901138282,89.6493634421635,89.6493634421635,86.41108410650028,103.93292057786388,15388032721.95,21497251721.95,14.105503886567718,36.043624971775095,48.87339480697463,53.344170119805725,2.7736025126662054,2.7736025126662054,50.35334230116084,79.00729062945621,68.27667250623301,74.52239501208109,0.017723578116062,0.0187461909662124,1.1926914251200111,0.5135424132443578,22.452769651441425,1.9553951762894224,5.07959523000733,1.1544525558150704,0.0096392438643842,0.543865567170582,0.0402198965633549,0.0,0.0,0.0838100077813596,0.0618090169771015,0.1888458703384311,0.0037289660083199,90.87795083244028,0.0210865063990275,0.021166246351915,-99.62910258587772,382181000.0,5755945000.0,-6347035000.0,445039000.0,178830500.0,196468500.0,-6049999.5,38.58636585091632,70.27094075649947,-2.5312804240435582,2.3324300699300697,1.2807570103816457,-35.555128205128206,0.0491581607961455,0.4109954842361785,2024-04-30,1.29,amc,426928000.0,2025-04-25,2024-03-31,2.294573643410853,238.03573770491803,419327.08196721313
2023-12-31,ESS,USD,920522,2024-02-23,2024-02-23 16:05:20,2023,Q4,421748000.0,259049000.0,162699000.0,0.3857730232,0,19739000.0,0.0,19739000.0,-25886000.0,25886000.0,284935000.0,17204000.0,55099000.0,138016000.0,268357000.0,0.6362970305,136813000.0,0.3243951364,-59992000.0,70349000.0,0.1668033992,4958000.0,65391000.0,0.1550475639,1.02,1.02,64187383,64188581,https://www.sec.gov/Archives/edgar/data/920522/000092052224000033/0000920522-24-000033-index.htm,https://www.sec.gov/Archives/edgar/data/920522/000092052224000033/ess-20231231.htm,6.570574781028228,1.018751613537508,3.1731158131186,2.455420249802052,7.604749986457619,87.65247525358683,87.55744100051562,84.48305175489084,98.55402579662736,15914619741.02,21785111741.02,60.84407541183037,37.7349026931248,78.13770899093649,100.97660472580532,2.9347898170078404,2.9347898170078404,51.654333253554256,81.17959189072765,106.96069081483157,138.22426504546118,0.0041088634893018,0.0099032840598614,1.156393089405257,0.5072898137084011,21.875680530040206,1.8787827245538689,2.4830396195938222,3.114709975378875,0.0093176590087031,2.2676973895490207,0.0468028301260468,0.0,0.0004934705354001,0.2261800720759645,0.1092287337462181,0.3337801414328774,0.0049508237146352,44.00582937597048,0.0100054660240002,0.0052925349527373,-95.31934413808396,309995000.0,5620083000.0,-6072494000.0,379852000.0,169612000.0,195201000.0,-7749999.0,37.263697753160656,61.28605036609309,-1.493925517928753,2.415219246253314,1.4685234154001394,-60.2439672660389,0.0120586507278784,0.7176955633165477,2024-02-06,3.81,amc,419740000.0,2025-04-25,2023-12-31,0.005249343832021,220.5957142857143,434262.0
2023-09-30,ESS,USD,920522,2023-10-27,2023-10-27 16:10:14,2023,Q3,419183000.0,123896000.0,295287000.0,0.7044345787,0,14611000.0,0.0,14611000.0,-19615000.0,14611000.0,138507000.0,4406000.0,54161000.0,137357000.0,269141000.0,0.642060866,131784000.0,0.3143829783,-137511000.0,-5727000.0,-0.0136622907,137396586.0,-5727000.0,-0.0136622907,-0.0892,-0.0892,64184180,64186020,https://www.sec.gov/Archives/edgar/data/920522/000092052223000042/0000920522-23-000042-index.htm,https://www.sec.gov/Archives/edgar/data/920522/000092052223000042/ess-20230930.htm,6.530939555510408,-0.0892275947125911,4.488068555210957,3.891675487635738,7.644921225136786,89.37415730792229,89.37415730792229,86.18452397459934,98.5449529775094,13612822736.2,19483191736.2,-594.2388133490483,32.47465363862561,47.256408272495946,54.498377542997154,2.4608826529285937,2.4608826529285937,46.478964405045055,72.3902777213431,67.63517611147562,78.00015908224707,-0.0004207062789975,0.0183491701053125,1.1336271438547725,0.5017637320049126,21.81150029166868,3.0449951440746093,2.4331899337161427,3.0971518885269167,0.010892744500792,-25.89156626506024,0.0348558982592328,0.0,0.0,0.1328841260418727,0.0913181116600625,0.2786825571321447,0.0051242536076129,,0.2681237557631834,-0.000458246260276,-95.86014418973647,440085000.0,5736407000.0,-6105954000.0,504721000.0,157533500.0,193473500.0,-10149999.5,35.34081773354358,155.4536869632595,-8.135855152708723,2.5466303773321264,0.5789505656515623,-11.062143844834273,-0.0010353087839632,0.5963930675752187,2023-10-26,3.77,amc,419540000.0,2025-04-25,2023-09-30,0.0026525198938991,234.4415873015873,397308.6190476191
2023-06-30,ESS,USD,920522,2023-07-28,2023-07-28 16:13:15,2023,Q2,416043000.0,130675000.0,285368000.0,0.6859098699,0,13813000.0,0.0,13813000.0,-10946000.0,150547000.0,281222000.0,4468000.0,52600000.0,136718000.0,271550000.0,0.6526969568,134832000.0,0.3240818858,-27343000.0,107489000.0,0.2583603137,1733000.0,99620000.0,0.2394464034,1.55,1.55,64182554,64183674,https://www.sec.gov/Archives/edgar/data/920522/000092052223000037/0000920522-23-000037-index.htm,https://www.sec.gov/Archives/edgar/data/920522/000092052223000037/ess-20230630.htm,6.482182058383031,1.5521351799119742,3.2938545885849293,2.7494543143297165,2.6680926408755874,90.26378102685038,90.26378102685038,87.02174737390476,94.439448451989,15037972402.2,20977623402.2,37.73833668490263,36.14523595445663,71.13246614224627,85.21690968963036,2.692430421941397,2.692430421941397,50.42176746682434,77.251421109188,99.22814369465678,118.87561641666714,0.0066245632945453,0.0117347601977367,1.0758220092178044,0.4907007789863076,21.873139385011967,9.344128496325771,2.563346007604563,1.99901660425886,0.0098603053679169,1.488446095161614,0.0332008950997853,0.0,0.0,0.1652775675471127,0.0839841074119742,0.2555698591260844,0.0043841622140019,55.12770718178043,0.0108626359687018,0.0081353841600754,-96.1689682838112,287280000.0,5793360000.0,-6130204000.0,352785000.0,135525000.0,190509000.0,-6050000.0,32.54894325826898,119.11337287162809,-6.267457432561699,2.765066726924713,0.7555826674222011,-14.35989010989011,0.0178361757463102,0.5444002742552128,2023-07-27,3.73,amc,413660000.0,2025-04-25,2023-06-30,0.0107238605898123,218.59725806451613,392169.8870967742
2023-03-31,ESS,USD,920522,2023-04-28,2023-04-28 16:42:56,2023,Q1,412421000.0,131844000.0,280577000.0,0.6803169577,0,15311000.0,0.0,15311000.0,136365000.0,151676000.0,283520000.0,3283000.0,50012000.0,136347000.0,323732000.0,0.7849551793,143055000.0,0.3468664302,48091000.0,160694000.0,0.3896358333,-900000.0,153532000.0,0.3722700832,2.38,2.38,64458535,64459689,https://www.sec.gov/Archives/edgar/data/920522/000092052223000011/0000920522-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/920522/000092052223000011/ess-20230331.htm,6.398237254383768,2.381872315279893,4.296079642517473,3.9689856432511226,2.857030492548427,90.4002084440796,90.4002084440796,87.16892185030268,93.4723229437343,13480858009.9,19378777009.9,21.95121865458015,32.68712798305615,48.681592848089146,52.69356425000488,2.3992495898843536,2.3992495898843536,46.98785224297502,59.86055443978353,69.97994724052883,75.74716911251393,0.0113888893338428,0.0189776496282448,1.0634116189970744,0.4865787432244274,18.218523346471773,666.8402625820569,2.860413500759817,1.7136712996769683,0.0105430232924064,0.9257288382877836,0.037124685697382,0.0,0.0,0.0761377875840949,0.0511225180095097,0.1546348654535853,0.0047790970876846,68.34886932810763,0.011433911041923,0.0125028359642449,-95.86953069907656,304289000.0,5827065000.0,-6147963000.0,370662000.0,111815500.0,186766500.0,-6193000.0,26.314712393403827,142.03513242923455,-2.047874761081278,3.420139983082614,0.6336460455996001,-43.948,0.0273247880634607,0.3270939992663501,2023-04-27,3.62,amc,411290000.0,2025-04-25,2023-03-31,0.0082872928176795,220.5635483870968,550549.5645161291
2022-12-31,ESS,USD,920522,2023-02-23,2023-02-23 16:23:20,2022,Q4,415183000.0,127778000.0,287405000.0,0.6922369172,0,16036000.0,0.0,16036000.0,135441000.0,151477000.0,279255000.0,5488000.0,51101000.0,135758000.0,279448000.0,0.6730718743,143690000.0,0.3460883514,-9791000.0,191847000.0,0.4620781679,-2373000.0,185165000.0,0.44598406,2.86,2.86,64727333,64731222,https://www.sec.gov/Archives/edgar/data/920522/000092052223000005/0000920522-23-000005-index.htm,https://www.sec.gov/Archives/edgar/data/920522/000092052223000005/ess-20221231.htm,6.414338128221659,2.8606925609000453,2.578725126833203,1.7121978438382437,2.4012112471867177,91.49559738541986,91.38127164918104,88.31465371823677,93.90130441493704,13717016409.36,19701215409.36,18.519990831636647,33.03848281206118,82.18014312376434,123.77074341183476,2.399601777029207,2.399601777029207,47.451883649764085,70.50047024619965,118.03213277112764,177.76708903470305,0.013498926769064,0.0080794537742461,1.0543190681082335,0.4871030691660528,21.414356159285447,4.963589576171913,2.8118823506389305,0.8594068582020389,0.0103871713605865,0.769481273458807,0.0386239320974124,0.0,0.0005980810488725,0.3360293324706136,0.1350922364354995,0.4131469232015793,0.0014860916752371,75.39512013704883,0.0115261529618726,0.0149743176683847,-96.1359592863188,206396000.0,5914866000.0,-6192170000.0,281035000.0,150294000.0,193894500.0,-10122000.0,22.33725851010277,116.54189297062092,-6.610997198265743,4.029142607598622,0.7722544889732323,-13.613679948860003,0.0323920486630331,0.8665272829949598,2023-02-07,1.45,amc,412328979.0,2025-04-25,2022-12-31,0.9724137931034482,218.57698412698412,572828.0476190476
