date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,ETSY,USD,1370637,2025-04-30,2025-04-30 08:16:08,2025,Q1,651176000.0,192061000.0,459115000.0,0.7050551617,110510000,80225000.0,189004000.0,269229000.0,0.0,481442000.0,673503000.0,0.0,0.0,0.0,106666000.0,0.1638051771,-22327000.0,-0.0342871973,-10992000.0,-33319000.0,-0.0511674263,18777000.0,-52096000.0,-0.0800029485,-0.49,-0.49,107084000,107084000,https://www.sec.gov/Archives/edgar/data/1370637/000137063725000040/0001370637-25-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063725000040/etsy-20250331.htm,6.080983153412275,-0.4864965821224459,0.4592936386388256,0.4289623099622726,8.102937880542378,-8.500793769377312,-12.70424153001382,-8.500793769377312,0.9163086922416048,5052223120.0,4501154120.0,-24.244774646805897,7.7586138309765715,102.72295549275157,109.9863528899532,-5.55006994405135,-5.55006994405135,6.912346462400334,42.1985836161476,91.51849460179332,97.98964014368129,-0.0103115002569403,0.0090920370911884,-0.1077909565977772,0.0462664595751984,-5.166304164401027,2.138127049069804,0.0,-0.9440839987714988,0.0,0.0,0.1232001793677899,0.1697083430593265,0.2122414067885639,0.0660390785433991,0.0049878988169097,0.1190179552949798,0.0953782080420654,,-0.0217957279529982,-0.0311825125098762,-19.005271562511677,590845000.0,-1360421000.0,-1921118000.0,1278800000.0,184627000.0,197489500.0,0.0,23.633334152364338,84.08672244755573,0.0,3.808180403990783,1.0703235585871758,0.0,0.0572295476541224,0.0303313286765529,2025-04-30,0.5,bmo,643400000.0,2025-05-11,2025-03-31,-0.0799999999999999,51.221,3752246.366666666
2024-12-31,ETSY,USD,1370637,2025-02-19,2025-02-19 09:16:06,2024,Q4,852162000.0,217691000.0,634471000.0,0.7445427043,111466000,82708000.0,285165000.0,367873000.0,0.0,479339000.0,697030000.0,0.0,0.0,26402000.0,225907000.0,0.265098655,155132000.0,0.182045198,23201000.0,178333000.0,0.2092712419,48427000.0,129906000.0,0.1524428454,1.16,1.01,114944000,131721000,https://www.sec.gov/Archives/edgar/data/1370637/000137063725000017/0001370637-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063725000017/etsy-20241231.htm,7.413714504454343,1.1301677338530067,2.740108226614699,2.649072591870824,9.043534242761693,-6.60204969376392,-11.39557523663697,-6.60204969376392,20.772837207683743,6079388160.0,7655923160.0,11.69959078102628,7.134075633506305,19.30215729666401,19.96547779109673,-8.011148424095953,-8.011148424095953,8.984117057554784,33.889711961116745,24.307681825253447,25.1430176521782,0.0213682687436756,0.0500864547527098,-3.1464224250394666,0.9875633948801008,6.978690346027348,1.9961886175732544,0.0,2.4245146490539318,0.0,0.0,0.0970566629349818,0.1308037673587886,0.2278894457812987,0.0332233719309497,0.0122793553338449,0.3963336110900689,0.0799789241951647,,0.0642507544658819,0.0695877158445356,-17.29931966870824,662578000.0,-1309853000.0,-1848957000.0,1450271000.0,189733000.0,203844000.0,0.0,20.938976391812822,89.10947168233872,0.0,4.298204378089378,1.009993643782738,0.0,-0.1711843724715562,0.0910356347438752,2025-02-19,0.94,bmo,650637310.0,2025-05-11,2024-12-31,0.0957446808510639,53.318125,3683774.421875
2024-09-30,ETSY,USD,1370637,2024-10-31,2024-10-30 18:06:55,2024,Q3,662410000.0,185640000.0,476770000.0,0.7197506076,107251000,86176000.0,196526000.0,282702000.0,0.0,389953000.0,575593000.0,0.0,0.0,27739000.0,114556000.0,0.1729382105,86817000.0,0.131062333,-13007000.0,73810000.0,0.1114264579,16444000.0,57366000.0,0.0866019535,0.52,0.45,114181000,130748000,https://www.sec.gov/Archives/edgar/data/1370637/000137063724000051/0001370637-24-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063724000051/etsy-20240930.htm,5.8014030355313055,0.5024128357607658,1.9041346633853269,1.9901997705397567,9.151794081327017,-5.467634720312486,-10.569753286448709,-5.467634720312486,20.915397482943742,6340470930.0,7909672930.0,27.631658691559466,9.571822481544665,29.16285337785628,27.901721637190143,-10.156128351753964,-10.156128351753964,11.94075109071421,69.04634353503963,36.38036266880082,34.80711366246705,0.0090475929364445,0.0358400823075771,-3.8253099471407976,0.977862227838274,13.698121442787809,2.3883843315972224,0.0,3.7899801276017153,0.0,0.0,0.1300946543681405,0.161910297247928,0.2385404834809184,0.0451990653861721,0.014835222898205,0.3542665561123328,0.1046059087272233,,0.0356008189411817,0.0308478894582341,-16.514485772589136,767721000.0,-1206865000.0,-1745825000.0,1593175000.0,215505500.0,222351000.0,0.0,24.620008755906465,93.1565934065934,0.0,3.655563281569043,0.9661151906573476,0.0,-0.0918885151369533,0.0860651071544302,2024-10-30,0.53,amc,862711740.0,2025-04-25,2024-09-30,-0.1509433962264151,56.74921875,4019607.0625
2024-06-30,ETSY,USD,1370637,2024-08-01,2024-07-31 18:20:52,2024,Q2,647806000.0,184090000.0,463716000.0,0.7158254169,114493000,95991000.0,183063000.0,278896000.0,8808000.0,393389000.0,577479000.0,0.0,0.0,27087000.0,97256000.0,0.1501313665,70327000.0,0.1085618225,8808000.0,78977000.0,0.1219145855,25972000.0,53005000.0,0.0818223357,0.46,0.41,116432000,133118000,https://www.sec.gov/Archives/edgar/data/1370637/000137063724000043/0001370637-24-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063724000043/etsy-20240630.htm,5.563814071732857,0.4552442627456369,1.2974182355366222,1.209057647382163,8.587759378864916,-5.453792771746599,-10.378804795932387,-5.453792771746599,20.5147553937062,6637788320.0,8267151320.0,31.307368738798225,10.246568139226868,43.94111200111213,47.15242496785605,-10.45327580016252,-10.45327580016252,12.761770221331696,85.00402360779798,54.72723813558761,58.72682488829534,0.0079853405147454,0.0212078170037215,-3.7615575531184446,0.975689599393486,16.75334169614214,2.4075148143883363,0.0,2.849938685029714,0.0,0.0,0.1481786213773877,0.1767396411888744,0.2342354523203414,0.068104937740383,0.015881297795945,0.3798131945213571,0.1153385427118612,,0.0249780898977024,0.0282744755179475,-16.282810996976774,794521000.0,-1208425000.0,-1724078000.0,1606748000.0,252939500.0,251107500.0,0.0,34.7055291244601,123.46998750611114,0.0,2.593246732451312,0.7289220791048144,0.0,-0.0834729667588457,0.0883605881544592,2024-07-31,0.45,amc,629570000.0,2025-04-25,2024-06-30,-0.0888888888888889,63.96063492063493,3374531.412698413
2024-03-31,ETSY,USD,1370637,2024-05-02,2024-05-01 18:19:00,2024,Q1,645954000.0,187133000.0,458821000.0,0.7102998046,109846000,89074000.0,191811000.0,278987000.0,11565000.0,388833000.0,575966000.0,0.0,0.0,26846000.0,94936000.0,0.1469702177,69988000.0,0.1083482725,11565000.0,79655000.0,0.1233137344,16651000.0,63004000.0,0.0975363571,0.53,0.48,118440000,135338000,https://www.sec.gov/Archives/edgar/data/1370637/000137063724000030/0001370637-24-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063724000030/etsy-20240331.htm,5.453850050658561,0.5319486659912191,0.5828520770010132,0.5008443093549476,8.812158054711245,-4.928748733535968,-9.84873353596758,-4.928748733535968,20.170888213441405,7805196000.000001,9405399000.0,30.9710335851692,12.083207163358384,113.06470818304292,131.57781523937965,-13.370533488876442,-13.370533488876442,14.560477990692837,99.07094252970424,136.2449697970536,158.5535906945381,0.0080720586645101,0.007600065392336,-4.092496758091068,0.9565070819975888,16.855597455127665,2.485165123929212,0.0,1.0956923369944764,0.0,0.0,0.137895268084105,0.1700523566693603,0.2333065483804712,0.1407008242434777,0.0150366744381178,0.3618043656410638,0.1094242004848642,,0.0285556187989226,0.0329011544961012,-15.58311803444782,839298000.0,-1166484000.0,-1677013000.0,1663896000.0,273097500.0,272485500.0,0.5,35.67848484567013,120.07374434225925,0.0,2.5225286440638253,0.7495393809279672,0.0,-0.1079277306980082,0.0820077676460655,2024-05-01,0.49,amc,646330000.0,2025-04-25,2024-03-31,-0.0204081632653061,71.75606557377048,3994457.7377049183
2023-12-31,ETSY,USD,1370637,2024-02-22,2024-02-21 18:18:25,2023,Q4,842322000.0,255757000.0,586565000.0,0.6963667101,117488000,92543000.0,261076000.0,353619000.0,-19269000.0,471107000.0,726864000.0,0.0,0.0,23033000.0,166268000.0,0.1973924461,115458000.0,0.1370710963,-6290000.0,109168000.0,0.1296036433,25902000.0,83266000.0,0.0988529327,0.7,0.62,119599093,136552671,https://www.sec.gov/Archives/edgar/data/1370637/000137063724000013/0001370637-24-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063724000013/etsy-20231231.htm,7.042879497422276,0.6962092931591045,2.467451822565243,2.362417581210252,9.619144854217248,-4.546146516345237,-9.525423407684205,-4.546146516345237,19.97938228511482,9693506487.65,11168699487.65,29.10403552365311,11.508077062750347,32.847652488605746,34.30807518731662,-17.82828593592231,-17.82828593592231,13.259417998876913,67.17287444156422,37.84652746530896,39.52920259093306,0.0085898740673547,0.0291476567700216,-4.3947950672686975,0.8898175318388322,8.872380734717444,2.209465362748864,0.0,3.544123651910744,0.0,0.0,0.1098665356003998,0.1394811010516168,0.2217610039472704,0.0425678995611731,0.0149135366285102,0.5453913949550645,0.0812943268726211,,0.044350295893695,0.0398424218006462,-15.5610147436486,859665000.0,-1139232000.0,-1658669000.0,1704976000.0,265744500.0,265707500.0,0.5,30.99870358366515,103.91750763419964,3.5189652678128066e-07,2.9033472240892597,0.8660715797458238,255757000.0,-0.1531427310263649,0.1050342413549908,2024-02-21,0.78,amc,827690000.0,2025-04-25,2023-12-31,-0.2051282051282051,71.53714285714285,4156632.349206349
2023-09-30,ETSY,USD,1370637,2023-11-02,2023-11-02 16:23:58,2023,Q3,636302000.0,188827000.0,447475000.0,0.7032431141,113932000,84051000.0,160936000.0,244987000.0,8411000.0,358919000.0,547746000.0,2099000.0,0.0,22172000.0,110728000.0,0.1740179977,88556000.0,0.1391729085,8411000.0,96967000.0,0.1523914745,9117000.0,87850000.0,0.1380633724,0.72,0.64,121807908,138890567,https://www.sec.gov/Archives/edgar/data/1370637/000137063723000080/0001370637-23-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063723000080/etsy-20230930.htm,5.223815189404616,0.7212175419678006,1.793857259251181,1.7044459872014222,8.019906228091529,-5.110735503313956,-9.957235288861542,-5.110735503313956,19.613554154464257,7866354698.639999,9513482698.64,22.385756114513377,12.362611933704436,36.000634758953986,37.88914432309804,-12.63614600249306,-12.63614600249306,14.951206657593406,85.91758813163788,43.5387710115054,45.82271367020687,0.0111678157628956,0.0263927839455159,-3.837716536444947,0.9754568538178024,14.875442525829058,2.448650460900446,0.0,2.4872623790552075,0.0,0.0,0.1320929370016124,0.1790533425951828,0.2410349187917509,0.0498430249054945,0.0171160863866528,0.4912051235792892,0.1101961018510078,,0.0419870696115423,0.0472602758149506,-15.711713889709031,795044000.0,-1212870000.0,-1727864000.0,1631192000.0,242554500.0,236126000.0,0.0,34.13963809637562,112.535389536454,0.0,2.636231812004905,0.7997484202144781,0.0,-0.1411181505088927,0.0894112720497588,2023-11-01,0.51,amc,641170000.0,2025-04-25,2023-09-30,0.2941176470588236,78.86690476190476,3346580.888888889
2023-06-30,ETSY,USD,1370637,2023-08-03,2023-08-02 18:10:32,2023,Q2,628876000.0,188638000.0,440238000.0,0.7000394354,121988000,92768000.0,159763000.0,252531000.0,7786000.0,374519000.0,563157000.0,0.0,0.0,22946000.0,88665000.0,0.1409896387,-2372000.0,-0.0037718088,7786000.0,5414000.0,0.0086090104,-56501000.0,61915000.0,0.0984534312,0.5,0.45,123463325,141010561,https://www.sec.gov/Archives/edgar/data/1370637/000137063723000071/0001370637-23-000071-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063723000071/etsy-20230630.htm,5.093625981642727,0.5014849551476116,1.1037366764583734,1.0369233130567317,8.721415853655326,-3.759618493994066,-8.718799692135295,-3.759618493994066,19.349681372990723,10446231928.25,11993695928.25,42.17972998566584,16.610956576892743,76.65777699033544,81.59716242716095,-22.50494302418269,-22.50494302418269,19.071638809956177,135.26978997631534,88.01356068605939,93.68464739068284,0.0059270175528615,0.0122553281297332,-5.146714062584155,0.930014263735853,17.452929566345233,2.8094249223499115,0.0,2.200936768149883,0.0,0.0,0.147513977318263,0.1939778271074106,0.2383558241511831,0.0605337892875226,0.013117053282364,0.3594962084894971,0.1228875008745762,,-0.0130737181116403,0.0316462004370104,-14.363344337275867,910537000.0,-1076452000.0,-1619171000.0,1765943000.0,236184500.0,229199500.0,0.0,34.88237744801837,112.66531663821712,0.0,2.580099367771528,0.7988261399823836,0.0,-0.1333871923304788,0.0668133634016417,2023-08-02,0.41,amc,619140000.0,2025-04-25,2023-06-30,1.024390243902439,94.28217741935484,3359957.1612903224
2023-03-31,ETSY,USD,1370637,2023-05-04,2023-05-03 18:18:43,2023,Q1,640877000.0,195453000.0,445424000.0,0.6950226018,115924000,79987000.0,171314000.0,251301000.0,0.0,367225000.0,562678000.0,0.0,0.0,23172000.0,101371000.0,0.1581754377,78199000.0,0.1220187337,3072000.0,81271000.0,0.1268121652,6734000.0,74537000.0,0.1163046887,0.61,0.53,124337000,142966000,https://www.sec.gov/Archives/edgar/data/1370637/000137063723000049/0001370637-23-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063723000049/etsy-20230331.htm,5.154354697314556,0.5994756186814866,0.4474211216291208,0.3814230679524196,8.360037639640653,-4.344547479833034,-9.75345231105785,-4.344547479833034,19.21809276402037,13842438210.0,15445162210.0,46.42807669345426,21.599212032886182,248.8259820963132,291.8806159198735,-25.62522345924012,-25.62522345924012,24.10004136519176,152.36272908425485,277.63589024105266,325.67553421191354,0.0053846727627906,0.0034260582767665,-4.423497004746496,0.9556012078986108,15.81047834193211,2.6946723487466766,0.0,0.7463541596790856,0.0,0.0,0.1248086606322274,0.1808833832389054,0.2689525986576505,0.1475076845643615,0.0128043290678242,0.3541343000172622,0.1071703306562725,,0.0357500004091407,0.0407748518337386,-14.716423912431535,845833000.0,-1212715000.0,-1695783000.0,1766712000.0,245238500.0,125506000.0,0.5,32.10681612852388,102.34148363033567,0.0,2.803143097083472,0.8794087872038874,0.0,-0.137983442801395,0.0659980536767012,2023-05-03,0.55,amc,622090000.0,2025-04-25,2023-03-31,-0.0363636363636363,124.00774193548386,3258131.919354839
2022-12-31,ETSY,USD,1370637,2023-02-23,2023-02-22 19:04:21,2022,Q4,807241000.0,225775000.0,581466000.0,0.720312769,112787000,84526000.0,244809000.0,329335000.0,-11454000.0,442122000.0,667897000.0,0.0,0.0,22794000.0,162138000.0,0.2008545156,139344000.0,0.172617595,-11454000.0,127890000.0,0.1584285238,18342000.0,109548000.0,0.1357066849,0.87,0.76,125656123,143981481,https://www.sec.gov/Archives/edgar/data/1370637/000137063723000017/0001370637-23-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1370637/000137063723000017/etsy-20221231.htm,6.424207437945543,0.8718078943116843,2.3218128415437422,2.441393166332213,9.32458341086968,-4.355330937593865,-9.71225254180411,-4.355330937593865,19.02072054220549,15051090412.94,16519882412.94,34.34816339170957,18.64510154085335,51.5889988446958,49.062150927517145,-27.50192849092045,-27.50192849092045,20.464622600858977,101.88778949376456,56.62341872473008,53.84998309170209,0.007278409536748,0.0203823106222425,-4.367227385185483,0.907060863519422,9.058900442832648,2.396091839399767,0.0,2.6632161244386023,0.0,0.0,0.1047097459123111,0.1397191173391837,0.2554610865208251,0.0515029991431019,0.0186140198528072,0.6592085636571028,0.0797221647562499,,0.059318678774212,0.0558396722245698,-14.437475915916966,881988000.0,-1220404000.0,-1668492000.0,1804862000.0,239553500.0,120545500.0,0.5,29.19377236785545,11.4633152474809,3.986269516111173e-07,3.082849275727614,7.851131898320409,225775000.0,-0.2001702986072789,0.1195803247884705,2023-02-22,0.8,amc,755417145.0,2025-04-25,2022-12-31,-0.0375,114.41650793650793,3308163.9206349207
