date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,EXPD,USD,746515,2025-02-21,2025-02-21 14:40:47,2024,Q4,2954705000.0,2567135000.0,387570000.0,0.1311704553,0,0.0,10965000.0,10965000.0,75501000.0,86466000.0,2653601000.0,10007000.0,0.0,15176000.0,316280000.0,0.1070428351,301104000.0,0.1019066201,12179000.0,313283000.0,0.1060285206,77127000.0,235878000.0,0.0798313199,1.69,1.68,139357000,139992000,https://www.sec.gov/Archives/edgar/data/746515/000095017025024750/0000950170-25-024750-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017025024750/expd-20241231.htm,21.202415379205924,1.6926168043227108,1.791915727232934,1.7197916143430183,8.2401314609241,15.971813400116249,15.914930717509703,15.951922041949812,4.082586450626807,15436574890.0,14857191890.0,16.360761590737585,5.224404767988682,61.816523130276,64.40896622368723,6.943990806167488,6.943990806167488,5.02831649521695,46.9748067851271,59.496355419756846,61.99149600484009,0.0152804622580365,0.0155257887003973,0.2559306922319807,0.1196639028044837,-1.831867332743139,1.7710248331335563,0.0,1.0574196717424076,0.0065719889757228,0.4300909792350282,0.0,0.0,0.001667277321621,0.0402497236861074,0.0034016932316424,0.6622957301001582,0.0055937902430191,24.647739337769444,0.0812157430021227,0.0496948192269259,0.8469326980345444,1593302000.0,2217857000.0,1131101000.0,2602285000.0,2087399500.0,1138461500.0,0.0,60.85399388433024,36.346904233708,0.0,1.4789497657470068,2.4761393548486663,0.0,0.1061073894337952,0.0721241128899158,2025-02-18,1.38,bmo,2787209310.0,2025-05-11,2024-12-31,0.2173913043478261,119.320625,1104367.890625
2024-09-30,EXPD,USD,746515,2024-11-05,2024-11-05 16:18:13,2024,Q3,3000131000.0,2621070000.0,379061000.0,0.1263481495,0,0.0,7589000.0,7589000.0,69948000.0,77537000.0,2698607000.0,9917000.0,0.0,15774000.0,317298000.0,0.1057613818,301524000.0,0.1005036113,10890000.0,312414000.0,0.1041334528,82488000.0,229574000.0,0.0765213252,1.63,1.63,140417000,141027000,https://www.sec.gov/Archives/edgar/data/746515/000095017024121496/0000950170-24-121496-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024121496/expd-20240930.htm,21.365867380730258,1.6349444867786664,0.6407486273029619,0.5532164908807338,9.209518790459844,16.8011707984076,16.74471751995841,16.78363018722804,3.865863819907846,18450793800.0,17700453800.0,20.092425318198053,6.149996050172476,205.07262037078203,237.5200345000708,7.829057154750251,7.829057154750251,5.899893637977808,55.78495231611923,196.73291468456853,227.86078706504807,0.012442499899381,0.0042101711634759,0.23033537898432,0.1049780918935655,-2.364780112071302,1.7186370091752232,0.0,0.3913085079547332,0.0,0.0,0.0,0.0,0.0015329969519913,0.1366091672964922,0.0040968211054783,0.7791936097375428,0.0032531912773142,24.84767256629201,0.0737532410769196,0.0444653195144673,0.8129019278292514,1707299000.0,2351243000.0,1271298000.0,2709630000.0,2010426500.0,1156825000.0,0.0,65.30591830823387,42.58400576863647,0.0,1.3781293079015269,2.113469561529269,0.0,0.0974130428602282,0.087532136422228,2024-11-05,1.35,bmo,2466094329.0,2025-04-25,2024-09-30,0.2074074074074072,122.4409375,1070106.421875
2024-06-30,EXPD,USD,746515,2024-08-08,2024-08-08 12:13:40,2024,Q2,2439001000.0,2140415000.0,298586000.0,0.122421434,0,0.0,7998000.0,7998000.0,66669000.0,74667000.0,2215082000.0,11904000.0,0.0,14979000.0,238898000.0,0.0979491193,223919000.0,0.0918076704,12002000.0,235921000.0,0.0967285376,60770000.0,175469000.0,0.0719429799,1.24,1.24,141013000,141716000,https://www.sec.gov/Archives/edgar/data/746515/000095017024093558/0000950170-24-093558-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024093558/expd-20240630.htm,17.29628473970485,1.2443462659471112,0.8989880365640047,0.8426598966052775,9.019402466439264,15.448412557707446,15.392197882464735,15.434186918936552,3.921893726110359,17044241310.0,16325426310.0,24.283835478061658,6.988205953995099,134.4511774171919,143.43865239930656,7.831316326207108,7.831316326207108,6.693488977659296,68.33638753777763,128.78090313878,137.38934500866813,0.01029491408908,0.006971621548815,0.2541043299986537,0.1154967868829726,-3.0088782660382254,1.5278289134525234,0.0,0.7224580980116145,0.0060218579479851,0.5849352307245155,0.0,0.0,0.0016554794238756,0.0626572742547468,0.0032566612313812,0.53027571934041,0.0105387410665268,20.787571752406297,0.0586281571102535,0.0367058166928638,0.3181231517661492,1140595000.0,2170500000.0,691599000.0,2147130000.0,1708125000.0,1000302500.0,0.0,68.04034110687121,45.13743362852531,0.0,1.3227446913976617,1.993910436749401,0.0,0.0806227287827125,0.0563281399587272,2024-08-06,1.26,bmo,2279440355.0,2025-04-25,2024-06-30,-0.0158730158730158,119.1304761904762,1416955.0634920634
2024-03-31,EXPD,USD,746515,2024-05-09,2024-05-09 11:40:39,2024,Q1,2206678000.0,1922855000.0,283823000.0,0.1286200343,0,0.0,6779000.0,6779000.0,62268000.0,69047000.0,1991902000.0,14878000.0,0.0,15161000.0,229937000.0,0.1042005222,214776000.0,0.0973300137,18406000.0,233182000.0,0.1056710585,62782000.0,169152000.0,0.0766545912,1.18,1.17,143194000,144125000,https://www.sec.gov/Archives/edgar/data/746515/000095017024056466/0000950170-24-056466-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024056466/expd-20240331.htm,15.410408257329218,1.1812785451904408,1.7940975180524323,1.7229981703143986,9.570624467505622,15.347465675936142,15.292107211196,15.33208095311256,3.945242119083202,17050109579.999998,16244588579.999998,25.199391050652668,7.726596077905339,66.36762985395322,69.10628348390705,7.766069091608053,7.766069091608053,7.361558224625432,70.64799740798566,63.23213566157008,65.84140343624226,0.0099208746551645,0.0144704641833744,0.2573194161411129,0.1258692662737608,-3.503224796357263,1.6951505770280575,0.0,1.5187760121074536,0.0,0.0,0.0,0.0,0.0017661601312577,0.0396295892629153,0.004613722527709,0.6715256249587758,0.0056066177303621,20.186822716026526,0.0548147653479479,0.0377542691504954,1.809573026802799,1269582000.0,2189738000.0,805320000.0,2299246000.0,1552477500.0,893992500.0,0.0,64.1289938994271,43.39464494202631,0.0,1.4034213625921863,2.073988625099636,0.0,0.0770461980211909,0.0710993477380337,2024-05-07,1.08,bmo,2221162992.0,2025-04-25,2024-03-31,0.0833333333333331,123.6032786885246,1186825.3278688523
2023-12-31,EXPD,USD,746515,2024-02-23,2024-02-23 16:18:45,2023,Q4,2277768000.0,2002729000.0,275039000.0,0.1207493476,0,0.0,9066000.0,9066000.0,66575000.0,75641000.0,2078370000.0,16728000.0,159000.0,21386000.0,237921000.0,0.1044535703,199398000.0,0.0875409612,16978000.0,216376000.0,0.0949947492,57231000.0,158719000.0,0.0696818113,1.09,1.09,144979000,145891000,https://www.sec.gov/Archives/edgar/data/746515/000095017024019394/0000950170-24-019394-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017024019394/expd-20231231.htm,15.711020216721042,1.094772346339815,1.092247842791025,1.0183474848081446,10.435187165037696,16.494892363721643,16.440215479483236,16.487560267349064,3.641161816538947,18441328800.0,17456178799.0,29.047134873581616,8.096227886246536,116.45708511995352,124.90824782069778,7.71490735666325,7.71490735666325,7.663721151144454,73.36964286044527,110.23585785555058,118.23555292978142,0.0086067008360048,0.0080058764528942,0.2207764549124605,0.1166567817076273,-4.140660139289932,1.8870959603663904,1254.0754716981132,0.9976940378908636,0.0054099138452539,0.6285699884701894,0.0,0.0,0.0017522844134224,0.0676589644654663,0.0047037275086839,0.5009819508089405,0.0050211435053965,20.1526130659118,0.0502399145276394,0.035146843960936,3.655262141413584,1511977000.0,2383486000.0,1083993000.0,2515409000.0,1495791000.0,853658500.0,111884000.0,60.5566106820361,38.68573331688911,0.0,1.4862126361820671,2.326439032776678,0.0,0.0663998995962934,0.0739003579828802,2024-02-20,1.23,bmo,2308830000.0,2025-04-25,2023-12-31,-0.113821138211382,117.94142857142856,1364650.5396825396
2023-09-30,EXPD,USD,746515,2023-11-08,2023-11-08 16:21:03,2023,Q3,2190001000.0,1888610000.0,301391000.0,0.1376213983,0,0.0,6149000.0,6149000.0,79173000.0,85322000.0,1973932000.0,17156000.0,1601000.0,15607000.0,231676000.0,0.1057880795,216069000.0,0.0986615988,15822000.0,231891000.0,0.105886253,61048000.0,171353000.0,0.0782433433,1.16,1.16,147099000,148001000,https://www.sec.gov/Archives/edgar/data/746515/000095017023061159/0000950170-23-061159-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023061159/expd-20230930.htm,14.887939414951836,1.1648821541954737,1.2915111591513198,1.2371736041713404,11.145065568086798,16.93739590343918,16.88350702588053,16.925879849625083,3.542369424673179,16861958370.0,15742008370.0,24.601200985684525,7.699520854100067,88.75649210443206,92.65474110788134,6.7724692020981765,6.7724692020981765,7.188128393548679,67.94837777758593,82.86139788398779,86.50073010709556,0.0101621055063724,0.0107927558594725,0.2086441372330085,0.1134696964103832,-4.834121790776774,2.1066713855954697,134.95877576514678,1.112015124997805,0.0,0.0,0.0,0.0,0.0017314963933893,0.0420728497736603,0.003649770022936,0.5121419875696803,0.0072506816206933,21.06240124178421,0.0511716897654171,0.0374935943638278,5.159125826824112,1844871000.0,2483547000.0,1425269000.0,2840703000.0,1441302500.0,830987500.0,199745500.0,59.95817810128854,40.337332747364464,10.663461487549045,1.501046276755795,2.2311837166744835,8.440036108827,0.0688225465703797,0.0543375549799794,2023-11-07,1.28,bmo,2304710000.0,2025-04-25,2023-09-30,-0.03125,118.88412698412698,939438.6349206348
2023-06-30,EXPD,USD,746515,2023-08-08,2023-08-08 16:18:16,2023,Q2,2239752000.0,1921452000.0,318300000.0,0.1421139483,0,0.0,6314000.0,6314000.0,63489000.0,69803000.0,1991255000.0,17792000.0,395000.0,15506000.0,264003000.0,0.1178715322,248497000.0,0.1109484443,17686000.0,266183000.0,0.1188448543,70390000.0,196800000.0,0.087866871,1.31,1.3,150435000,151563000,https://www.sec.gov/Archives/edgar/data/746515/000095017023039847/0000950170-23-039847-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023039847/expd-20230630.htm,14.888503340313092,1.308206202014159,1.0532522351846312,0.9835809485824444,11.29116894339748,17.004712998969655,16.952019144481007,16.990274869544987,3.5044105427593317,18222191550.0,17050395550.0,23.14810918445122,8.135807692101626,115.00568995115056,123.15203967154396,7.129372592854582,7.129372592854582,7.612626554189928,64.58409771858653,107.61013562980447,115.23262629675936,0.010800018178933,0.0081200441557206,0.2061052484964388,0.1154220821903401,-4.438570773816965,2.205389501788036,629.1063291139241,0.8092526290521111,0.005612003348741,0.5196290650406504,0.0,0.0,0.0017368384150883,0.066148719437537,0.0046795359486228,0.6759318973300658,0.0083022584643299,22.362974233338043,0.0573915637484131,0.0431947144418937,5.63850832585502,1903439000.0,2550177000.0,1476610000.0,2920863000.0,1514044500.0,883210500.0,87861500.0,57.20543167279235,38.19833126198312,8.230791089238762,1.5732771761043312,2.356123867891906,10.934550400346,0.0769973536072164,0.069671286602187,2023-08-08,1.38,bmo,2695330000.0,2025-04-25,2023-06-30,-0.0579710144927535,113.7174193548387,1247651.3548387096
2023-03-31,EXPD,USD,746515,2023-05-04,2023-05-04 11:52:17,2023,Q1,2592589000.0,2241843000.0,350746000.0,0.1352879303,0,0.0,6384000.0,6384000.0,68393000.0,74777000.0,2316620000.0,18775000.0,0.0,15261000.0,291230000.0,0.1123317271,275969000.0,0.1064453332,24609000.0,300578000.0,0.1159373892,74580000.0,226011000.0,0.0871757922,1.47,1.45,154164000,155472000,https://www.sec.gov/Archives/edgar/data/746515/000095017023017600/0000950170-23-017600-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023017600/expd-20230331.htm,16.81708440362212,1.4660426558729664,3.5443553618224746,3.4786720635167745,15.248657274071768,20.435172932721,20.383753664928257,20.41442230352093,3.377065981681845,16976539680.0,15146367680.0,18.778444058032573,6.548102950371232,31.06911941904644,31.655757711370427,5.394225629446655,5.394225629446655,5.842178486447331,52.00826728015658,27.71968346229585,28.243078655791876,0.0133131370856607,0.0315898298539481,0.1654254982811536,0.0976304702210582,-6.284283899323559,2.418679292022526,0.0,2.417773608616005,0.0,0.0,0.0,0.0,0.0014865233075865,0.0185318038403256,0.003905748269394,0.6635213944040365,0.0048168066747178,25.94974590567773,0.0565229088364561,0.0424461701708093,8.899193391453258,2496955000.0,3142441000.0,2074802000.0,3514383000.0,1856056000.0,1029951500.0,128772500.0,55.69800303866136,38.17467592512053,0.0,1.615856854643941,2.357583864668153,0.0,0.0718140652758081,0.0656832983057004,2023-05-02,1.33,bmo,2894630000.0,2025-04-25,2023-03-31,0.0902255639097743,108.58032258064516,1433679.2258064516
2022-12-31,EXPD,USD,746515,2023-03-01,2023-03-01 12:48:18,2022,Q4,3441528000.0,3004662000.0,436866000.0,0.1269395455,0,0.0,8119000.0,8119000.0,99041000.0,107160000.0,3111822000.0,13107000.0,0.0,14922000.0,379425000.0,0.1102489941,329706000.0,0.0958022134,-8658000.0,321048000.0,0.0932864704,106311000.0,219276000.0,0.0637147221,1.39,1.38,157269000,158535000,https://www.sec.gov/Archives/edgar/data/746515/000095017023005412/0000950170-23-005412-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000095017023005412/expd-20221231.htm,21.88306659290769,1.394273505903897,3.0946912614692024,2.978164800437467,12.934087455251827,19.79751254220476,19.747108457483677,19.77516866006651,3.2966763952209277,16343394480.0,14827728480.0,18.633359875225743,4.748877382372016,33.580086418916004,34.89397228277463,5.255075280842156,5.255075280842156,4.308472422714562,39.07947151610991,30.46591112782233,31.65794885700072,0.0134167966310998,0.0286582448079048,0.166707877535232,0.0927414579977153,-3.994639256770113,2.199559894939522,0.0,2.266488774640607,0.0063616527231985,0.4741558583702731,0.0,0.0,0.0014179578902103,0.0376536627361058,0.0053249603083281,1.2281195550194344,0.0038067393320641,24.90722503800886,0.060718065085537,0.0392791267435938,8.054595947071578,2463962000.0,3105608000.0,2041118000.0,3481308000.0,2427983500.0,1326876500.0,378740000.0,55.11739262327664,33.21825882578473,7.714361881635938,1.6328784021977136,2.7093533249894497,11.66655147644101,0.0705062763241791,0.1165264610317354,2023-02-21,1.96,bmo,3968120650.0,2025-04-25,2022-12-31,-0.2959183673469388,103.07031746031748,1560775.015873016
2022-09-30,EXPD,USD,746515,2022-11-08,2022-11-08 16:24:29,2022,Q3,4362146000.0,3761516000.0,600630000.0,0.1376914024,0,0.0,6239000.0,6239000.0,67468000.0,73707000.0,3835223000.0,7835000.0,470000.0,15187000.0,550513000.0,0.1262023325,526923000.0,0.1207944438,7933000.0,534856000.0,0.1226130441,120694000.0,414209000.0,0.094955327,2.56,2.54,162029000,163250000,https://www.sec.gov/Archives/edgar/data/746515/000156459022037052/0001564590-22-037052-index.htm,https://www.sec.gov/Archives/edgar/data/746515/000156459022037052/expd-10q_20220930.htm,26.92200778872918,2.556388053990335,4.137432188065099,4.039128797931235,13.297212227440768,21.54795129266983,21.49902795178641,21.49109110097575,3.079004375759895,14308780990.0,12652664990.0,8.636208405659945,3.280215973972444,21.34415646853147,21.86362565245028,4.109144555996531,4.109144555996531,2.900559722210123,22.98340818472952,18.873757413661423,19.33310259207647,0.0289478887327633,0.0457380681455241,0.1431338988794376,0.0754318636052283,-3.008314063428112,2.064685819861432,1121.1127659574468,1.618651638730738,0.0,0.0,0.0,0.0,0.0011996925929614,0.0237595169335783,0.0036514137766136,1.0487917297688814,0.0032495473558198,35.15878684695234,0.1000452479939627,0.0627627527066417,8.329434854254485,2881306000.0,3483466000.0,2471423000.0,3857154000.0,3109077500.0,1729868000.0,622756000.0,56.70350786058055,36.96066426408927,11.961706397101594,1.5872033917423067,2.435021171614694,7.524010121315771,0.118951059393828,0.0983033901338649,2022-11-08,1.95,bmo,4321886669.0,2025-04-25,2022-09-30,0.3025641025641026,100.099375,1297498.953125
