date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,EXPE,USD,1324424,2025-02-07,2025-02-06 17:35:23,2024,Q4,3184000000.0,335000000.0,2849000000.0,0.8947864322,322000000,210000000.0,1749000000.0,1959000000.0,352000000.0,2633000000.0,2415000000.0,50000000.0,62000000.0,212000000.0,609000000.0,0.1912688442,216000000.0,0.067839196,119000000.0,335000000.0,0.1052135678,34000000.0,299000000.0,0.0939070352,2.33,2.2,128569000,135732000,https://www.sec.gov/Archives/edgar/data/1324424/000132442425000008/0001324424-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1324424/000132442425000008/expe-20241231.htm,24.764912226119822,2.3255994835458003,1.540029089438356,0.0544454728589317,45.6875296533379,21.77041121887858,-37.81626986287519,12.110228748765254,51.2798575084196,23956261770.0,24913261770.0,20.030319205685625,7.523951560929648,120.99122106060608,3422.32311,15.386166840077074,15.386166840077074,7.824516887562814,40.90847581280788,125.8245543939394,3559.0373957142856,0.0124810791796586,0.000292199178119,4.194605009633912,0.2917187779167411,1.5714285714285714,0.7211079274116523,3.4838709677419355,0.6622073578595318,0.0,0.0,0.0659547738693467,0.1011306532663316,0.3421922458459889,0.9646464646464646,0.0599874371859296,0.9009433962264152,0.0292085427135678,25.1729952287044,0.0197635042709061,0.0203028451144157,-87.70387885104496,-3796000000.0,-4862000000.0,-9774000000.0,6583000000.0,3508000000.0,1948500000.0,0.0,91.92211055276384,545.6417910447761,0.0,0.9790897908979088,0.1649433776464795,0.0,0.1920359666024406,1.4855836165794245,2025-02-06,2.06,amc,3070410000.0,2025-02-13,2024-12-31,-0.1067961165048543,172.30953125,1452731.71875
2024-09-30,EXPE,USD,1324424,2024-11-08,2024-11-07 17:33:49,2024,Q3,4060000000.0,388000000.0,3672000000.0,0.9044334975,320000000,229000000.0,2052000000.0,2281000000.0,309000000.0,2910000000.0,3298000000.0,67000000.0,61000000.0,211000000.0,1146000000.0,0.2822660099,762000000.0,0.1876847291,112000000.0,874000000.0,0.215270936,190000000.0,684000000.0,0.1684729064,5.27,5.04,129758000,135732000,https://www.sec.gov/Archives/edgar/data/1324424/000132442424000052/0001324424-24-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1324424/000132442424000052/expe-20240930.htm,31.289014935495302,5.271351284699209,-11.506034310023274,-8.646865703848704,48.10493379984278,19.775273971547037,-40.32121333559395,10.188196488848472,50.97951571386735,19206779160.0,19714779160.0,7.020021622807018,4.730733783251232,-12.86455402545211,-17.118341497326202,14.528577276853254,14.528577276853254,4.855856935960591,17.20312317626527,-13.20480854655057,-17.57110442067736,0.0356124259201405,-0.0584168740970727,4.957639939485627,0.2800256355479598,0.4432809773123909,0.7325353350916346,12.491803278688524,-2.182748538011696,0.0,0.0,0.0564039408866995,0.0788177339901477,0.3331766716513565,-0.2484929671801741,0.0913793103448275,1.7582938388625593,0.0362068965517241,34.761690977724825,0.0617337294085876,0.0438264881143076,-90.7381433129364,-3955000000.0,-5232000000.0,-10007000000.0,6577000000.0,3981000000.0,2716500000.0,0.0,83.4384236453202,432.83505154639175,0.0,1.0786397449521783,0.2079314040728831,0.0,0.5173978819969742,2.859168606174571,2024-11-07,6.07,amc,4112549025.0,2025-04-25,2024-09-30,0.0098846787479406,132.473125,1776895.125
2024-06-30,EXPE,USD,1324424,2024-08-09,2024-08-08 17:40:21,2024,Q2,3558000000.0,567000000.0,2991000000.0,0.8406408094,331000000,180000000.0,1990000000.0,2170000000.0,-21000000.0,2522000000.0,3089000000.0,67000000.0,61000000.0,205000000.0,754000000.0,0.2119168072,469000000.0,0.1318156268,19000000.0,488000000.0,0.1371557055,113000000.0,386000000.0,0.1084879146,2.93,2.8,131948000,137832000,https://www.sec.gov/Archives/edgar/data/1324424/000132442424000038/0001324424-24-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1324424/000132442424000038/expe-20240630.htm,26.965168096522877,2.9253948525176585,11.375693454997425,9.905417285597355,63.60839118440598,16.112407918270833,-43.28978082274836,6.737502652560099,50.11064964986207,16163630000.0,14352630000.0,10.468672279792743,4.5428976953344575,10.768574283810793,12.366970160673295,18.181811023622046,18.181811023622046,4.033903878583474,19.035318302387267,9.562045303131246,10.981354246365724,0.0238807743062666,0.0808605492701825,7.368953880764904,0.2530027420538369,-2.4018567639257293,0.7611511601712098,7.688524590163935,3.88860103626943,0.0,0.0,0.0505902192242833,0.0930297920179876,0.3027072954080253,0.1292471685542971,0.0545250140528386,0.946341463414634,0.0320404721753794,21.058768969695883,0.0392677696844557,0.0213791193575186,-92.65392427319853,-4241000000.0,-5712000000.0,-10252000000.0,6310000000.0,4002000000.0,3361000000.0,246500000.0,106.18887015177066,566.1904761904761,0.0,0.8475464506908051,0.1589571068124474,0.0,0.4341957255343082,1.4702761694000668,2024-08-08,3.06,amc,3534141107.0,2025-04-25,2024-06-30,0.1470588235294117,123.32714285714285,2422017.095238095
2024-03-31,EXPE,USD,1324424,2024-05-03,2024-05-02 17:41:53,2024,Q1,2889000000.0,568000000.0,2321000000.0,0.8033921772,341000000,186000000.0,1836000000.0,2022000000.0,-20000000.0,2383000000.0,2951000000.0,51000000.0,62000000.0,210000000.0,117000000.0,0.0404984424,-62000000.0,-0.021460713,-93000000.0,-155000000.0,-0.0536517826,-19000000.0,-135000000.0,-0.046728972,-1.0,-1.0,135501000,135501000,https://www.sec.gov/Archives/edgar/data/1324424/000132442424000026/0001324424-24-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1324424/000132442424000026/expe-20240331.htm,21.320875860694755,-0.9963026103128392,21.247075667338247,19.94081224492808,56.44238787905624,15.763721300949808,-42.19157054191482,6.568217208729087,48.84834798267171,18051443220.0,16986443220.0,-33.42859855555555,6.248336178608515,6.270039326154915,6.680770991857883,20.28252047191011,20.28252047191011,5.879696510903427,145.18327538461537,5.90011921500521,6.286618512213176,-0.0074786264097946,0.1496833226612226,7.367415730337079,0.2648115988853439,-9.102564102564102,0.7933183424349503,-1.0,-21.32592592592593,0.0,0.0,0.0643821391484942,0.1180339217722395,0.3171519728605468,0.0614796804445988,0.0612668743509865,0.8428571428571429,0.0359986154378677,,-0.0059156154849934,-0.0079843860894251,-87.64510963018724,-3217000000.0,-5717000000.0,-10277000000.0,7330000000.0,3319500000.0,3136500000.0,964500000.0,118.5669781931464,499.9119718309859,78.11619718309859,0.7590646347871781,0.1800316957210776,1.1521298174442192,-0.1516853932584269,1.3062634224101668,2024-05-02,-0.13917,amc,2804459425.0,2025-04-25,2024-03-31,-2.5089458935115325,142.13,2625941.573770492
2023-12-31,EXPE,USD,1324424,2024-02-09,2024-02-08 17:40:40,2023,Q4,2887000000.0,6447000000.0,-3560000000.0,-1.2331139591,357000000,199000000.0,-4544000000.0,-4345000000.0,-1000000.0,-3780000000.0,2667000000.0,45000000.0,61000000.0,208000000.0,440000000.0,0.1524073433,104000000.0,0.0360235539,-49000000.0,171000000.0,0.0592310357,35000000.0,132000000.0,0.045722203,0.96,0.91,138184000,144470000,https://www.sec.gov/Archives/edgar/data/1324424/000132442424000007/0001324424-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1324424/000132442424000007/expe-20231231.htm,20.892433277369303,0.9552480750303942,-1.7223412261911657,-3.0032420540728304,30.777803508365658,20.16152376541423,-36.80599780003474,11.101140508307765,47.96503213107162,20974949360.0,23316949360.0,39.72528287878788,7.265309788708001,-88.13003932773108,-50.54204665060241,13.673369856584094,13.673369856584094,8.07653251125736,52.993066727272726,-97.97037546218488,-56.18542014457832,0.0062932213915962,-0.0197855066478215,4.28096479791395,0.3034377599112836,5.322727272727272,0.7833319188661632,1.7049180327868851,-1.75,0.0,0.0,0.0689296847939037,0.1236577762383096,0.3637371777100083,-0.7436974789915967,0.0613093176307585,0.8509615384615384,0.0342916522341531,15.44660868207212,0.0083896389382693,0.0095860566448801,-85.10572859375904,-2553000000.0,-5086000000.0,-9626000000.0,8035000000.0,2835000000.0,3067500000.0,1436000000.0,88.31659161759613,43.52722196370405,20.04653327128897,1.0190610660077657,2.067671584348941,4.4895543175487465,0.0860495436766623,1.280900827881665,2024-02-08,1.67,amc,2876750000.0,2025-04-25,2023-12-31,0.029940119760479,122.45269841269842,2428129.793650794
2023-09-30,EXPE,USD,1324424,2023-11-03,2023-11-02 18:48:43,2023,Q3,3929000000.0,412000000.0,3517000000.0,0.8951387121,340000000,194000000.0,1856000000.0,2050000000.0,-157000000.0,2598000000.0,3010000000.0,56000000.0,62000000.0,208000000.0,714000000.0,0.1817256299,607000000.0,0.1544922372,-163000000.0,444000000.0,0.1130058539,139000000.0,425000000.0,0.1081700178,2.99,2.88,142228000,147748000,https://www.sec.gov/Archives/edgar/data/1324424/000132442423000060/0001324424-23-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1324424/000132442423000060/expe-20230930.htm,27.624658998228195,2.9881598560058498,-9.667576004724808,-11.165171414911269,35.548555839919004,20.57260173805439,-35.63292741232387,11.76280338611244,46.40436482267908,14659439959.999998,16141439959.999998,8.623199976470588,3.7310867803512338,-10.66141088,-9.231385365239294,8.76236698147041,8.76236698147041,4.1082819954186816,22.607058767507,-11.73922906181818,-10.16463473551637,0.0289915577375167,-0.1083261027933566,3.907949790794979,0.2902939348192878,2.0756302521008405,0.8036624203821656,9.790322580645162,-4.508196721311475,0.0,0.0,0.0493764316620005,0.0865360142529905,0.3549418346505639,-0.1549090909090909,0.0542122677526088,1.0240384615384617,0.0267243573428353,28.12215460505461,0.0418561253483959,0.0292538546255506,-82.2218550496386,-2466000000.0,-5068000000.0,-9502000000.0,8212000000.0,2905000000.0,2929000000.0,1960000000.0,64.98600152710614,659.0533980582524,313.6893203883495,1.3849136411702505,0.1365594961882665,0.2869080779944289,0.2540346682606096,1.4975954101864613,2023-11-02,5.15,amc,3857790000.0,2025-04-25,2023-09-30,0.0504854368932038,110.37984126984128,2414165.888888889
2023-06-30,EXPE,USD,1324424,2023-08-03,2023-08-03 16:06:47,2023,Q2,3358000000.0,407000000.0,2951000000.0,0.8787969029,344000000,194000000.0,1770000000.0,1964000000.0,19000000.0,2507000000.0,2914000000.0,63000000.0,61000000.0,199000000.0,724000000.0,0.2156045265,443000000.0,0.1319237641,21000000.0,464000000.0,0.1381774866,77000000.0,385000000.0,0.1146515783,2.62,2.54,147168000,151844000,https://www.sec.gov/Archives/edgar/data/1324424/000132442423000048/0001324424-23-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1324424/000132442423000048/expe-20230630.htm,22.81746031746032,2.6160578386605784,7.787018917155904,6.271743857360296,42.81501413350728,21.85257664709719,-34.74940204392259,11.95232659273755,44.91465535986084,16098707520.0,16373707520.0,10.453706181818182,4.794135652173913,14.04773780104712,17.441719956663054,9.15219301876066,9.15219301876066,4.876029636688505,22.61561812154696,14.287702897033158,17.739661451787647,0.0239149633299257,0.0573337952039518,3.723138146674247,0.255063093939866,0.3798342541436464,0.8304491541901614,7.262295081967213,2.9612403100775198,0.0,0.0,0.057772483621203,0.1024419297200714,0.3244274809160305,0.1945898778359511,0.0664085765336509,1.120603015075377,0.0315664085765336,26.5241304786067,0.0360578621833808,0.0221953188054882,-86.20929821700369,-2616000000.0,-5114000000.0,-9647000000.0,8380000000.0,2774500000.0,2691000000.0,2483500000.0,79.6813579511614,628.2309582309582,549.2874692874693,1.1294988227379752,0.1432594156986976,0.1638486312399356,0.2188743604320636,1.5152750597956075,2023-08-03,2.32,bmo,3368170000.0,2025-04-25,2023-06-30,0.2456896551724139,98.0124193548387,2582520.6774193547
2023-03-31,EXPE,USD,1324424,2023-05-05,2023-05-04 17:35:50,2023,Q1,2665000000.0,414000000.0,2251000000.0,0.8446529081,317000000,184000000.0,1674000000.0,1858000000.0,192000000.0,2367000000.0,2781000000.0,43000000.0,61000000.0,192000000.0,192000000.0,0.0720450281,5000000.0,0.0018761726,60000000.0,-61000000.0,-0.0228893058,79000000.0,-140000000.0,-0.052532833,-0.92,-0.92,152477000,152477000,https://www.sec.gov/Archives/edgar/data/1324424/000132442423000031/0001324424-23-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1324424/000132442423000031/expe-20230331.htm,17.478045869213062,-0.9181712651744196,20.704762029683167,19.17666270978573,39.0091620375532,21.577024731598865,-33.15909940515619,12.014926841425265,43.34424208241243,14794843310.0,15438843310.0,-26.41936305357143,5.551535951219512,4.686361517263224,5.059795933652531,8.075787832969432,8.075787832969432,5.793186983114446,80.41064223958334,4.890352648083624,5.280042171682626,-0.0094627565204,0.1976364290403559,3.574235807860262,0.2620667573841351,3.3541666666666665,0.8298658636736929,0.081967213114754,-22.55,0.0,0.0,0.0690431519699812,0.1189493433395872,0.3340270551508845,0.0738042445359518,0.0874296435272045,1.2135416666666667,0.0386491557223264,,0.001106170217473,-0.0084134615384615,-82.46817552811244,-2486000000.0,-5056000000.0,-9570000000.0,8473000000.0,2347000000.0,2598500000.0,2119000000.0,86.99437148217636,552.3913043478261,539.7826086956521,1.0345496894409938,0.1629279811097992,0.1667337897704389,-0.0764192139737991,1.528099319897427,2023-05-04,-0.04029,amc,2665550000.0,2025-04-25,2023-03-31,3.9640109208240255,104.84637096774196,2681085.5483870967
2022-12-31,EXPE,USD,1324424,2023-02-10,2023-02-09 17:38:11,2022,Q4,2618000000.0,412000000.0,2206000000.0,0.8426279603,317000000,186000000.0,1376000000.0,1562000000.0,199000000.0,2078000000.0,2490000000.0,27000000.0,60000000.0,199000000.0,442000000.0,0.1688311688,239000000.0,0.0912910619,55000000.0,183000000.0,0.0699006875,8000000.0,177000000.0,0.0676088617,1.14,1.11,155404000,159532000,https://www.sec.gov/Archives/edgar/data/1324424/000132442423000007/0001324424-23-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1324424/000132442423000007/expe-20221231.htm,16.846413219736945,1.1389668219608249,-1.1711410259710175,-2.310107847931842,26.665980283647784,23.989086509999744,-29.75470386862629,14.690741551054026,42.54716738307894,13613390400.0,16069390400.0,19.22795254237288,5.199919938884645,-74.79884835164835,-37.92030752089136,5.962939290407358,5.962939290407358,6.13804064171123,36.356086877828055,-88.29335384615385,-44.76153314763231,0.0130019043602833,-0.026371094154473,2.8699080157687256,0.3038820091832475,5.5565610859728505,0.8156429764334756,3.983333333333333,-1.04,0.0049216248143445,0.3785310734463277,0.0710466004583651,0.1210847975553857,0.3873660776401836,-0.9725274725274724,0.0676088617265087,0.8894472361809045,0.0359052711993888,19.40298977927542,0.0211955775357791,0.0133999545764251,-72.21821832127873,-1987000000.0,-4624000000.0,-9042000000.0,8938000000.0,2087000000.0,2661500000.0,1138500000.0,72.8113063407181,580.1941747572815,383.373786407767,1.2360717658168083,0.1551204819277108,0.2347578347578347,0.0775295663600525,1.1389668219608249,2023-02-09,1.67,amc,2701831320.0,2025-04-25,2022-12-31,-0.2455089820359281,94.59126984126983,2465218.1587301586
2022-09-30,EXPE,USD,1324424,2022-11-04,2022-11-03 17:42:33,2022,Q3,3619000000.0,455000000.0,3164000000.0,0.8742746615,310000000,187000000.0,1669000000.0,1856000000.0,-87000000.0,2365000000.0,2820000000.0,20000000.0,63000000.0,199000000.0,952000000.0,0.2630560928,747000000.0,0.2064106107,-57000000.0,690000000.0,0.1906604034,214000000.0,482000000.0,0.133185963,3.05,2.98,157628000,161829000,https://www.sec.gov/Archives/edgar/data/1324424/000132442422000065/0001324424-22-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1324424/000132442422000065/expe-20220930.htm,22.9591189382597,3.0578323648082826,-6.325018397746593,-7.403506991143705,29.417362397543585,23.555459689902808,-29.30316948765448,14.388306646027356,41.96589438424645,14768167320.0,16732167320.0,7.6598378215767635,4.080731505940868,-14.81260513540622,-12.654813470437018,6.511537619047619,6.511537619047619,4.623422857142857,17.57580600840336,-16.782514864593782,-14.33776119965724,0.0326377667286613,-0.0790213148803896,2.888888888888889,0.2994652406417112,2.063025210084034,0.8337080672722367,11.857142857142858,-2.0945378151260505,0.0,0.0,0.0516717325227963,0.0856590218292346,0.3808217925864984,-0.1705115346038114,0.0469743022934512,0.8542713567839196,0.0268029842497927,31.463203414189927,0.0478923549377727,0.0355798331733963,-74.39033674220316,-1849000000.0,-4619000000.0,-8896000000.0,9012000000.0,2167000000.0,2696500000.0,1639000000.0,51.13014644929538,527.5384615384615,103.25274725274724,1.7602140077821011,0.1706036745406824,0.8716475095785441,0.2125220458553791,1.0784885933971122,2022-11-03,3.89,amc,3591167803.0,2025-04-25,2022-09-30,0.0411311053984575,102.06984375,2588912.0
