date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,EXR,USD,1289490,2025-05-02,2025-05-02 16:31:47,2025,Q1,819997000.0,240698000.0,579299000.0,0.7064647797,0,45974000.0,0.0,45974000.0,144595000.0,190569000.0,431267000.0,38967000.0,153712000.0,180356000.0,627984000.0,0.7658369482,388730000.0,0.47406271,-94814000.0,293916000.0,0.3584354577,8991000.0,270875000.0,0.3303365744,1.277688035821543,1.2764701717462348,211850618,212052742,https://www.sec.gov/Archives/edgar/data/1289490/000162828025021878/0001628280-25-021878-index.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828025021878/exr-20250331.htm,3.870637752871695,1.2786132160350838,2.27237477305825,2.252223781570465,0.5643552099527036,69.75907429262254,69.75907429262254,65.5499008268175,0.7255678621621958,31457698266.820004,31338139266.820004,29.03340864496539,38.363187019976905,65.3457351139999,65.9303934249636,2.2652970962123926,2.2652970962123926,38.21738282801035,58.75992924918202,65.0973803018255,65.67981654420657,0.0086107698567922,0.0151675114928309,0.0,0.0,-0.2241766277598087,0.0,2.528950244613303,1.689581468807581,0.0109417732054175,1.270707891093678,0.0560660587782638,0.0,0.0,0.0,0.0,0.0,0.008740275879058,43.425704529766165,0.0129971604526568,0.009342476584227,-66.53677073531124,1739385000.0,14778503000.0,-12476030000.0,2424778000.0,0.0,173259500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195059519527447,0.0,2025-04-29,1.96,amc,707583200.0,2025-05-11,2025-03-31,0.0204081632653061,151.6436666666667,1296077.2833333334
2024-12-31,EXR,USD,1289490,2025-02-28,2025-02-28 16:26:11,2024,Q4,821896000.0,239351000.0,582545000.0,0.7087818897,0,44025000.0,0.0,44025000.0,158488000.0,202513000.0,441864000.0,34676000.0,149636000.0,196202000.0,629674000.0,0.7661236945,380032000.0,0.4623845353,-96196000.0,283836000.0,0.3453429631,6035000.0,262487000.0,0.3193676572,1.24,1.24,211737843,211737843,https://www.sec.gov/Archives/edgar/data/1289490/000162828025009060/0001628280-25-009060-index.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828025009060/exr-20241231.htm,3.8816679548397968,1.2396792008502704,1.9282287673063712,1.9055545021302591,0.6527978090340705,70.17811171336056,69.26526591658913,65.87171571403984,62.234963827415584,31675981312.8,44565620312.8,30.169095338816778,38.54013319544079,77.58415522914477,78.50733202999916,2.2710809697053995,2.2710809697053995,54.222943429339,70.77570347957833,109.15481891745596,110.45365624098464,0.0082866256741328,0.0127376637842931,0.9340618969588532,0.4516047704781272,20.470337031543306,0.0774857358123327,2.5397096955278142,1.5575261472516857,0.0108586691159907,1.3103848952519552,0.0535651712625441,0.0,0.0067001003815664,0.0117591157027424,0.0058413716577279,0.024469679208163,0.0103285573843892,42.864267258847256,0.0138257522078874,0.0091603657096815,-65.41269054110464,-1645616000.0,14666078000.0,-13850342000.0,-712164000.0,575683500.0,367638000.0,0.0,0.0,130.2969697222907,0.0,0.0,0.6907298012518794,0.0,0.0188195978715952,0.0226742651761121,2025-02-25,1.1,amc,707341000.0,2025-05-11,2024-12-31,0.8454545454545451,163.98328125,930057.3125
2024-09-30,EXR,USD,1289490,2024-11-04,2024-11-04 16:50:13,2024,Q3,824804000.0,226545000.0,598259000.0,0.7253347462,0,39750000.0,0.0,39750000.0,0.0,295520000.0,470302000.0,34947000.0,153860000.0,195046000.0,549548000.0,0.6662770792,302739000.0,0.3670435643,-88937000.0,213802000.0,0.2592155227,10857000.0,192818000.0,0.233774327,0.95,0.91,211698436,220298870,https://www.sec.gov/Archives/edgar/data/1289490/000162828024045038/0001628280-24-045038-index.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828024045038/exr-20240930.htm,3.8961270361014857,0.9108144757384982,2.212349835215599,2.585692224953424,0.4200834058122186,70.66033780240114,68.20227051653796,66.1819391051146,58.51805631667492,38145941182.84,50291331182.84,49.45848051380057,46.24849198456845,81.44733582898296,69.6873348889177,2.722646124251665,2.722646124251665,60.9736751796063,91.51399183117762,107.3795746840297,91.87527504825653,0.0050547448567539,0.0143498097838582,0.873218109728675,0.435957310087828,22.10069002161777,2.901546670122913,1.967626413622774,2.3077730419571805,0.0090024780973154,1.7809955502079682,0.0481932677339101,0.0,0.0185428083416393,0.1687537765479309,0.0958239775752785,0.4052172308070916,0.0099720660908531,36.82781603368707,0.0104117312024831,0.0070006812682597,-57.4023029154547,880283000.0,14438314000.0,-11761221000.0,2144718000.0,1229054000.0,385349000.0,0.0,125.6335202060126,154.4422962325366,0.0,0.7163693244638765,0.5827419184734938,0.0,0.0137622814933222,0.3733423897378249,2024-10-29,2.03,amc,726811750.0,2025-04-25,2024-09-30,0.0197044334975369,168.778125,931628.171875
2024-06-30,EXR,USD,1289490,2024-08-02,2024-08-02 16:32:25,2024,Q2,810663000.0,411342000.0,399321000.0,0.4925856984,0,39901000.0,0.0,39901000.0,194809000.0,234710000.0,451243000.0,31226000.0,147986000.0,194809000.0,571484000.0,0.7049587807,359420000.0,0.4433654922,-99505000.0,-480989000.0,-0.5933279303,9844000.0,185872000.0,0.2292839318,0.88,0.88,211584155,211587105,https://www.sec.gov/Archives/edgar/data/1289490/000162828024034445/0001628280-24-034445-index.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828024034445/exr-20240630.htm,3.831397488153118,0.8784778803497832,2.5769604533950097,2.403937100110356,0.5109361804526431,71.51216025604563,68.59538702224654,66.98342794147322,56.111602496888295,32143864827.6,43791231827.6,43.233871733773775,39.65132839120571,58.95317477606356,63.196329052463945,2.2680236689698847,2.2680236689698847,54.01903359053022,76.6272228576828,80.31492657892613,86.095592768095,0.00578250316186,0.0158237039238438,0.8272521293151477,0.4223148985954942,20.380915301215783,1.0554610804561984,2.42874325949752,2.93970109340292,0.0106840917183399,1.8476586037703369,0.0492202061769193,0.0,0.0222297104539717,0.0671424169729515,0.0451593325463231,0.1879225292465954,0.0003453962990786,36.38650636462955,0.0137848092583114,0.0068473910991209,-54.55549471556601,77816000.0,14513697000.0,-11150350000.0,962067999.0,1101208500.0,359984000.0,0.0,145.07469811746682,83.56717767696952,0.0,0.620370065682488,1.0769778578366815,0.0,0.0131148540369918,0.173023353284654,2024-07-30,2.0,amc,742440000.0,2025-04-25,2024-06-30,0.03,145.77603174603175,1047627.9206349206
2024-03-31,EXR,USD,1289490,2024-05-31,2024-05-31 16:26:07,2024,Q1,799539000.0,419989000.0,379550000.0,0.4747110522,0,43722000.0,0.0,43722000.0,-43722000.0,43722000.0,463711000.0,23573000.0,143592000.0,196966000.0,532794000.0,0.6663764995,335828000.0,0.4200270406,-105012000.0,241521000.0,0.3020753209,6742000.0,213112000.0,0.2665435957,1.01,1.01,211283335,220018777,https://www.sec.gov/Archives/edgar/data/1289490/000162828024026057/0001628280-24-026057-index.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828024026057/exr-20240331.htm,3.78420285726747,1.008655036612329,2.203467680023131,2.002661497178658,0.3997523041748654,72.36244164737366,69.39635821253957,67.6676463858354,54.589374027061815,31003716577.9,42343133577.9,36.37021446223113,38.77699096341768,66.59503169951628,73.27249273365805,2.168540031129508,2.168540031129508,52.95943484670541,79.47374328145588,90.9517514067051,100.07145238898777,0.0068737565531711,0.0136476863648538,0.7966843640287651,0.4144899294471785,21.28292923719111,0.9967544161978223,2.3387653908295727,2.1881950384944395,0.0111021528381973,1.6151507188708285,0.05468401166172,0.0,0.0228049950291337,0.0911318939074998,0.0530643283191939,0.2154026583268178,0.0073942609428683,39.18800234398834,0.0122274740530462,0.0079361166295441,-54.12127747794212,-3343000.0,14662294000.0,-11164470000.0,895483000.0,817580500.0,336272500.0,0.0,100.82164847493368,72.43625428285027,0.0,0.8926654281235625,1.24247175521482,0.0,0.0149060162497903,0.2008061828444728,2024-04-30,1.95,amc,716560000.0,2025-04-25,2024-03-31,0.0051282051282051,145.80065573770491,1204247.786885246
2023-12-31,EXR,USD,1289490,2024-02-29,2024-02-29 17:03:20,2023,Q4,797774000.0,16233000.0,781541000.0,0.9796521321,0,39397000.0,32795000.0,39397000.0,-39397000.0,39397000.0,55630000.0,22250000.0,140223000.0,196139000.0,542165000.0,0.6795972293,346026000.0,0.4337393798,-114298000.0,231728000.0,0.2904682278,4321000.0,216134000.0,0.2709213386,1.02,0.98,211071794,219961282,https://www.sec.gov/Archives/edgar/data/1289490/000162828024008044/0001628280-24-008044-index.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828024008044/exr-20231231.htm,3.779633388627947,1.0239833371577824,1.7269716293783903,1.5368609602095864,0.5933762992510501,73.02704311121741,71.51858007138557,68.18021833841048,54.65954868417899,33841140732.020004,45138944732.02,39.14370336460251,42.4194580570688,92.83881522576576,104.32303516782372,2.3515618445838182,2.3515618445838182,56.58111787551362,83.25684013542003,123.83288680032372,139.15109292581724,0.0063867232405525,0.0095856106792838,0.7919483402069958,0.4150916829100771,20.838313059677404,0.8548474742710238,2.467683618236666,1.6888595454861353,0.0101140798624482,1.583610167766293,0.0493836600340447,0.0,0.0115964074060773,0.1100832613198359,0.0502987061498619,0.2045845038467617,0.0090313798143333,39.6339080687486,0.012568924886368,0.007964295500295,-53.832177358572125,-157866000.0,15095555000.0,-11112592000.0,436466000.0,731205000.0,382321000.0,0.0,83.42419030953629,1854.6553317316573,0.0,1.0788237760062749,0.0485265366886086,0.0,0.0150187746843999,0.1901106691688042,2024-02-27,2.03,amc,720810000.0,2025-04-25,2023-12-31,-0.0049261083743841,127.15539682539682,1368238.761904762
2023-09-30,EXR,USD,1289490,2023-11-09,2023-11-09 17:03:14,2023,Q3,748034000.0,15043000.0,732991000.0,0.9798899515,0,37406000.0,0.0,37406000.0,-37406000.0,37406000.0,52449000.0,22092000.0,131127000.0,152338000.0,521347000.0,0.6969562881,353966000.0,0.4731950687,-93992000.0,205800000.0,0.2751211843,6944000.0,188350000.0,0.2517933677,0.96,0.96,195324444,195328020,https://www.sec.gov/Archives/edgar/data/1289490/000162828023038325/0001628280-23-038325-index.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828023038325/exr-20230930.htm,3.829699881290843,0.9642930303183148,2.091043965802867,2.072561896042054,1.3553449562103963,79.69663540933975,76.47207228195157,74.42550815606059,57.98376674247695,23747545901.52,34725944901.520004,31.52050159479692,31.74661299021168,58.14320597191209,58.6616979845957,1.6335797095944926,1.6335797095944926,46.42294989468394,66.60812261606954,85.02258613801074,85.7807750110419,0.0079313458654245,0.0170468983059882,0.7700644439844726,0.4052194943150642,21.05775807667446,0.1925235776152735,2.699413545646587,2.0539083557951483,0.0111710911561189,1.4084735864082825,0.0500057484018106,0.0,0.0227988181200643,0.0088386806126846,0.004825983845654,0.023697304677756,0.0093498423868433,40.184324964315785,0.0129049331806438,0.0069769642015615,-57.60769630041799,-906448000.0,14936865000.0,-11842996000.0,-28129000.0,707043000.0,321270000.0,0.0,86.97900095450207,2573.3670145582664,0.0,1.0347325102880658,0.0349736355097599,0.0,0.0129564856755336,0.0184820697608129,2023-11-07,2.03,amc,612850000.0,2025-04-25,2023-09-30,-0.0049261083743841,134.24063492063493,2005242.8412698407
2023-06-30,EXR,USD,1289490,2023-08-09,2023-08-09 16:37:27,2023,Q2,511386000.0,124119000.0,387267000.0,0.7572890146,0,34842000.0,0.0,34842000.0,-34842000.0,113928000.0,238047000.0,21077000.0,86372000.0,79086000.0,352425000.0,0.6891565276,273339000.0,0.5345062243,-52041000.0,221298000.0,0.4327416081,5986000.0,202410000.0,0.3958066901,1.5,1.5,134832232,143529817,https://www.sec.gov/Archives/edgar/data/1289490/000162828023028613/0001628280-23-028613-index.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828023028613/exr-20230630.htm,3.7927578028968623,1.501198912141423,2.580080406886686,2.565432574015388,0.7555982608075493,29.92909736894365,27.43348489551074,24.14688203040353,57.90494516177704,20069777733.2,27740214733.2,24.788520494540784,39.24584899312848,57.69200045188255,58.02140407339631,6.1643569473102895,6.1643569473102895,54.24515871220565,78.71239195062779,79.74121598146476,80.19651385850946,0.0100853134843226,0.0172350189722229,2.3715010667189227,0.6244074519550558,21.764735759381427,0.090947456132632,3.1646714212939377,1.6156925763543135,0.010901715151437,1.0809495578281705,0.0681324870059016,0.0,0.0272120236921364,0.0056772776663083,0.0038620533217569,0.0249728144045722,0.0135709620521484,28.55886278026672,0.0225213172555812,0.0168268855073471,-57.18066174266106,-506205000.0,3698918000.0,-8279402000.0,50374000.0,669878000.0,195286000.0,0.0,121.63901632035292,154.02508882604596,0.0,0.7398941780569216,0.5843203901777644,0.0,0.0621694722428863,0.0146478328712974,2023-08-03,1.51,amc,507950000.0,2025-04-25,2023-06-30,-0.0066225165562913,150.4517741935484,1431681.8548387096
2023-03-31,EXR,USD,1289490,2023-05-04,2023-05-04 16:43:14,2023,Q1,503050000.0,126255000.0,376795000.0,0.7490209721,0,34763000.0,0.0,34763000.0,78490000.0,113253000.0,239508000.0,19438000.0,80099000.0,78490000.0,342032000.0,0.6799165093,263542000.0,0.5238882795,-50356000.0,213186000.0,0.4237868999,4308000.0,196304000.0,0.3902276116,1.46,1.46,134511273,142940384,https://www.sec.gov/Archives/edgar/data/1289490/000162828023015789/0001628280-23-015789-index.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828023015789/exr-20230331.htm,3.739835247860601,1.4593869764357963,2.093869113854866,2.064652231787294,0.6551941561061577,29.98039428264128,27.70372807340839,24.18632228690602,56.84394942868469,21915921709.89,29434023709.89,27.910691720354656,43.56609026913826,77.8128866422036,78.91401636146608,6.736452035463324,6.736452035463324,58.51112952964914,86.05634475689409,104.5060472783145,105.98491176293304,0.0089571409589136,0.0126720200809384,2.325631283363861,0.6236099410607839,21.98069771249473,0.1406435149879744,3.2902033608409598,1.3483899692643553,0.0100378164748017,1.1206496046947592,0.0691044627770599,0.0,0.0252407174381828,0.0139535379142123,0.0078123446973461,0.050070072620716,0.0109313189543782,28.18132510105342,0.0212595472333343,0.0165987513801003,-55.94617151530489,-292989000.0,3726463730.0,-8052017000.0,239731270.0,646290500.0,174918000.0,-349585500.0,116.03926051088362,126.99726743495307,0.0,0.7755995652140396,0.7086766653943735,0.0,0.0603393504446055,0.0292168820675721,2023-05-02,1.41,amc,450320000.0,2025-04-25,2023-03-31,0.0354609929078014,157.14709677419356,1032602.370967742
2022-12-31,EXR,USD,1289490,2023-02-28,2023-02-28 16:59:50,2022,Q4,506718000.0,121182000.0,385536000.0,0.7608492297,0,35963000.0,19285000.0,35963000.0,79920000.0,115883000.0,237065000.0,17248000.0,72922000.0,79920000.0,349573000.0,0.6898768151,269570000.0,0.5319921534,-44682000.0,224888000.0,0.4438129295,5409000.0,204260000.0,0.4031038961,1.52,1.51,133921234,143341111,https://www.sec.gov/Archives/edgar/data/1289490/000162828023005628/0001628280-23-005628-index.htm,https://www.sec.gov/Archives/edgar/data/1289490/000162828023005628/exr-20221231.htm,3.783701694385522,1.525224894507767,2.16633308501324,2.1413781178270805,-3.473541768589139,30.45278092344937,29.016227553578247,24.33965774240103,56.99931797223434,19710527220.120003,27178156220.120003,24.12431119666112,38.898415331841385,67.93969081587493,68.731439242196,6.046921512113308,6.046921512113308,53.63566366326044,77.74672592025128,93.67966213788873,94.7713763359556,0.0103629901787455,0.0145493825100358,2.319457589389118,0.6213702977236494,21.362144673644703,0.0784336909813248,3.696689613559694,1.321848559543282,0.0101916096792654,0.9834622539900127,0.0709724146369381,0.0,0.0158114373602111,0.0115194507062643,0.006595384415,0.0418168168168168,0.0117520988005162,28.901170703475792,0.0220554086317073,0.0170570985245768,-62.87995374953012,-1091164000.0,3885889000.0,-7996316000.0,-677054000.0,540991000.0,181431500.0,-599016500.0,114.3806614329864,127.5040847650641,-519.2635044808635,0.786846297900886,0.7058597390493943,-0.1733224061066606,0.0626641882416752,0.0249549671861595,2023-02-22,1.46,amc,509221500.0,2025-04-25,2022-12-31,0.0410958904109589,159.82650793650794,999984.5873015872
