date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,F,USD,37996,2025-02-06,2025-02-05 20:44:08,2024,Q4,48211000000.0,44203000000.0,4008000000.0,0.0831345544,0,0.0,0.0,2594000000.0,0.0,2777000000.0,46887000000.0,396000000.0,292000000.0,1450000000.0,4059000000.0,0.0841924042,1231000000.0,0.0255335919,1083000000.0,2314000000.0,0.047997345,483000000.0,1824000000.0,0.0378336894,0.46,0.45,3978000000,4019500000,https://www.sec.gov/Archives/edgar/data/37996/000003799625000013/0000037996-25-000013-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799625000013/f-20241231.htm,12.119406737053795,0.4585218702865761,0.7611865258924082,0.1332327802916038,9.640020110608344,11.27652086475616,11.27652086475616,11.270739064856713,40.51131221719457,39382200000.0,177309200000.0,5.397779605263159,0.8168716682914687,13.006010568031703,74.30603773584906,0.8783807293409167,0.8783807293409167,3.677774781688826,43.6829761024883,58.55653896961691,334.5456603773585,0.0463153404329874,0.0134578565951114,3.58786662205866,0.5640401688663235,33.98053707809805,1.1648433917592342,4.215753424657534,1.6465470364328438,0.0151337406239367,0.3267543859649123,0.0,0.0,0.0,0.8249669749009247,0.0518139013917985,1.7227586206896552,0.0022194105079753,10.783195630212164,0.0041654009468478,0.0063956016213411,-36.28293112116641,17615000000.0,44858000000.0,-115864000000.0,82490000000.0,66358500000.0,25776000000.0,16488000000.0,124.90344527182592,49.12607741556003,30.441146528516164,0.7205565851617146,1.8320208885941645,2.9565246471807907,0.0406825025092004,0.6279537456008044,2025-02-05,0.35,amc,47395600000.0,2025-05-05,2024-12-31,0.1142857142857144,10.66453125,54867523.6875
2024-09-30,F,USD,37996,2024-10-29,2024-10-28 19:24:49,2024,Q3,46196000000.0,42860000000.0,3336000000.0,0.0722140445,0,0.0,0.0,2456000000.0,0.0,2456000000.0,45316000000.0,367000000.0,273000000.0,1394000000.0,2535000000.0,0.0548748809,880000000.0,0.0190492683,-11000000.0,869000000.0,0.0188111525,-27000000.0,892000000.0,0.0193090311,0.22,0.22,3976000000,4018000000,https://www.sec.gov/Archives/edgar/data/37996/000003799624000185/0000037996-24-000185-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799624000185/f-20240930.htm,11.61871227364185,0.2243460764587525,1.3838028169014085,0.8827967806841046,9.281941649899396,11.151659959758552,11.151659959758552,11.145623742454728,40.06413480885312,41986560000.0,177559560000.0,11.767533632286996,0.90887869079574,7.631145038167939,11.961982905982904,0.9474570687126256,0.9474570687126256,3.843613299852801,70.04321893491124,32.27182115594329,50.58676923076923,0.0212448936040485,0.083598179989025,3.588446349994358,0.5539929001174024,53.48047337278106,1.147318316886166,3.2234432234432235,6.168161434977579,0.014218835741723,0.6692825112107623,0.0,0.0,0.0,0.3620501635768811,0.0431206165035933,1.4289813486370158,0.0027924495627327,7.50071540033801,0.0039146343208355,0.0031075050427281,-37.08092303822938,16063000000.0,44339000000.0,-117609000000.0,79621000000.0,32904500000.0,26441000000.0,17604000000.0,128.2104511213092,57.58656089594027,37.84997666822212,0.701970855050221,1.5628646441073513,2.3778085991678224,0.0201286246192034,0.5010060362173038,2024-10-28,0.4645,amc,45126403375.0,2025-04-25,2024-09-30,0.0548977395048438,11.44171875,59402365.921875
2024-06-30,F,USD,37996,2024-07-25,2024-07-24 19:23:59,2024,Q2,47808000000.0,43280000000.0,4528000000.0,0.0947121821,0,0.0,0.0,2773000000.0,232000000.0,2773000000.0,46053000000.0,367000000.0,279000000.0,1518000000.0,4226000000.0,0.0883952477,1755000000.0,0.0367093373,555000000.0,2438000000.0,0.0509956493,605000000.0,1831000000.0,0.0382990295,0.46,0.46,3985000000,4022000000,https://www.sec.gov/Archives/edgar/data/37996/000003799624000144/0000037996-24-000144-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799624000144/f-20240630.htm,11.9969887076537,0.4594730238393977,1.3821831869510666,0.8552070263488081,8.674027603513174,10.939774153074028,10.939774153074028,10.932747804265995,38.43764115432873,50848600000.0,183790600000.0,6.942736209721463,1.063600234270415,9.231771968046475,14.92036384976526,1.1671356760851104,1.1671356760851104,3.8443482262382864,43.490440132513015,33.36793754538853,53.92916666666667,0.0360088576676644,0.067022494227963,3.509422269148668,0.5527937061167232,31.458116422148603,1.165517441466882,6.290322580645161,3.008192244675041,0.0117800686744571,0.3271436373566357,0.0,0.0,0.0,0.3812636165577342,0.0439257028112449,1.383399209486166,0.0031166331994645,10.631289224794976,0.0058839317000036,0.0066200024585481,-47.63701380175659,17115000000.0,43595000000.0,-112473000000.0,79369000000.0,31792500000.0,26421000000.0,17907500000.0,0.0,52.939463955637706,35.73174676524954,0.0,1.7000549925367272,2.5187685503113544,0.042027222439002,0.5269761606022585,2024-07-24,0.68,amc,47221916143.0,2025-04-25,2024-06-30,-0.3088235294117648,12.37,47846911.23809524
2024-03-31,F,USD,37996,2024-04-25,2024-04-24 19:03:59,2024,Q1,42777000000.0,39053000000.0,3724000000.0,0.0870561283,0,0.0,0.0,2464000000.0,124000000.0,2464000000.0,41517000000.0,410000000.0,292000000.0,1505000000.0,3395000000.0,0.0793650794,1260000000.0,0.029455081,352000000.0,1612000000.0,0.037683802,278000000.0,1332000000.0,0.0311382285,0.33,0.33,3979000000,4023000000,https://www.sec.gov/Archives/edgar/data/37996/000003799624000075/0000037996-24-000075-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799624000075/f-20240331.htm,10.750691128424227,0.334757476752953,0.3480774063835134,-0.1781854737371198,8.66122141241518,10.780849459663232,10.780849459663232,10.774063835134456,38.05503895451118,52880910000.0,184288910000.0,9.92509572072072,1.2361995932393577,38.18116245487364,-74.58520451339915,1.233517844646606,1.233517844646606,4.308130771208827,54.28244771723122,133.06058483754512,-259.9279407616361,0.0251886739467985,-0.0134074848560662,3.5252857476090504,0.5508801090613507,38.706332842415314,1.1684882661860745,4.315068493150685,1.03978978978979,0.0250752114515427,0.9954954954954957,0.0,0.0,0.0,1.511913357400722,0.048951539378638,1.391362126245847,0.0029455081001472,9.008369138532192,0.0047091075210804,0.0048552713593666,-35.17875094244785,17389000000.0,42897000000.0,-110849000000.0,79022000000.0,31792500000.0,26688000000.0,17141500000.0,133.7786661056175,63.10808388600107,42.938570660384606,0.6727530077848549,1.426124744376278,2.0960176041219407,0.031070678796361,0.5262628801206333,2024-04-24,0.4273,amc,42932186125.0,2025-04-25,2024-03-31,0.1467353147671424,12.122295081967213,54681621.75409836
2023-12-31,F,USD,37996,2024-02-07,2024-02-06 19:33:55,2023,Q4,45962000000.0,43432000000.0,2530000000.0,0.0550454723,8200000000,275000000.0,2500000000.0,2775000000.0,-1802000000.0,2775000000.0,46207000000.0,433000000.0,370000000.0,1698000000.0,197000000.0,0.0042861494,-245000000.0,-0.0053304904,-1622000000.0,-1867000000.0,-0.0406205126,-1344000000.0,-526000000.0,-0.0114442365,-0.13,-0.13,3998000000,3998000000,https://www.sec.gov/Archives/edgar/data/37996/000003799624000009/0000037996-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799624000009/f-20231231.htm,11.496248124062031,-0.1315657828914457,0.6233116558279139,0.0492746373186593,10.047773886943473,10.704852426213106,10.704852426213106,10.698599299649825,37.888194097048526,48735620000.0,174980620000.0,-23.163317490494297,1.0603459379487403,19.55682985553772,247.3889340101523,1.1394014915951651,1.1394014915951651,3.80707149384274,888.226497461929,70.21694221508828,888.226497461929,-0.0107929272265336,0.0040422179916865,3.5327659972412504,0.5528776846803996,640.8375634517766,1.1964917118909495,-0.6621621621621622,-4.764818355640536,0.0123318427056021,-1.1425855513307983,0.0059832035159479,0.1784082502937209,0.0,0.9209470304975924,0.0499325529785475,1.3515901060070672,0.0023932814063791,,-0.0003092497797764,-0.0019245545351432,-45.651700850425215,19950000000.0,42798000000.0,-109031000000.0,83988000000.0,0.0,26902500000.0,16988500000.0,0.0,53.86074783569718,32.43207773070547,0.0,1.6709756848261004,2.7750303494984347,-0.0122974773805905,0.5740370185092546,2024-02-06,0.12,amc,40118100000.0,2025-04-25,2023-12-31,1.4166666666666663,11.128253968253969,53744037.31746032
2023-09-30,F,USD,37996,2023-10-27,2023-10-26 19:41:47,2023,Q3,43801000000.0,37548000000.0,6253000000.0,0.1427592977,0,0.0,0.0,2671000000.0,-67000000.0,2671000000.0,40219000000.0,414000000.0,2783000000.0,1604000000.0,3315000000.0,0.0756832036,1129000000.0,0.0257756672,258000000.0,1387000000.0,0.0316659437,214000000.0,1199000000.0,0.0273738043,0.3,0.3,4004000000,4050000000,https://www.sec.gov/Archives/edgar/data/37996/000003799623000068/0000037996-23-000068-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799623000068/f-20230930.htm,10.93931068931069,0.2994505494505494,1.1466033966033966,0.5941558441558441,10.26848151848152,11.057942057942055,10.75974025974026,11.054695304695304,36.794455544455545,49729680000.0,167844680000.0,10.368990825688076,1.1353549005730463,10.831993029840993,20.90360655737705,1.1235045071504417,1.1235045071504417,3.831982831442205,50.631879336349925,36.55950337617077,70.55261874737285,0.0241103501973067,0.0478386347951565,3.2655265119851795,0.539188952263003,35.63046757164404,1.210366218534328,0.4056773266259432,3.9138959931798807,0.0120652294565338,0.5004170141784821,0.0,0.0,0.0044540106612751,0.4818122413417556,0.0505011301111846,1.3790523690773069,0.0025570192461359,8.630326072489202,0.004401735128884,0.0044926727093551,-43.33641358641359,21093000000.0,43082000000.0,-102436000000.0,83072000000.0,28628500000.0,27781000000.0,18014500000.0,0.0,66.66586768935763,43.92617449664429,0.0,1.3500161794844137,2.048892284186402,0.0270880871156496,0.5524475524475524,2023-10-26,0.45,amc,38874400000.0,2025-04-25,2023-09-30,-0.1333333333333333,12.983968253968252,49774771.47619048
2023-06-30,F,USD,37996,2023-07-28,2023-07-27 19:35:09,2023,Q2,44954000000.0,37471000000.0,7483000000.0,0.166459047,0,0.0,0.0,2750000000.0,-16000000.0,2750000000.0,40221000000.0,66000000.0,2578000000.0,1596000000.0,4188000000.0,0.0931618988,2461000000.0,0.0547448503,-173000000.0,2288000000.0,0.0508964719,272000000.0,1917000000.0,0.0426435912,0.48,0.47,4003000000,4041000000,https://www.sec.gov/Archives/edgar/data/37996/000003799623000050/0000037996-23-000050-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799623000050/f-20230630.htm,11.230077441918562,0.4788908318760929,1.2578066450162375,0.7709218086435173,10.697227079690231,10.893330002498129,10.58955783162628,10.911066699975018,36.82937796652511,60565390000.0,179009390000.0,7.898459833072509,1.3472747697646483,12.02887586891758,19.625855476344785,1.386665521899398,1.386665521899398,3.9820569915914046,42.74340735434575,35.55300695134061,58.006931302657165,0.0316517403751548,0.0509531929043963,3.3163907777548824,0.5445672973897613,28.28175740210124,1.2048903628174032,0.9546159813809154,2.4975198412698414,0.0099231590847512,0.3135106937923839,0.0,0.0,0.0045715832490572,0.3870903674280039,0.0433554299951061,1.2211779448621554,0.0030698046892378,10.842841910387142,0.0100984192541031,0.0072401095269568,-31.91849862603048,20697000000.0,42390000000.0,-100673000000.0,82078000000.0,28628500000.0,26888500000.0,16957500000.0,114.63117853806112,66.64914200314911,42.52008219689894,0.7851267093979776,1.3503549677465854,2.1166468960063267,0.0438903770863383,0.4868848363727204,2023-07-27,0.51,amc,40381400000.0,2025-04-25,2023-06-30,0.4117647058823528,12.650967741935483,59943481.43548387
2023-03-31,F,USD,37996,2023-05-03,2023-05-02 19:08:40,2023,Q1,41474000000.0,36855000000.0,4619000000.0,0.1113709794,0,0.0,0.0,2506000000.0,-73000000.0,2506000000.0,39361000000.0,36000000.0,312000000.0,1625000000.0,4092000000.0,0.0986642234,2113000000.0,0.0509475816,46000000.0,2159000000.0,0.0520567102,496000000.0,1757000000.0,0.0423638906,0.44,0.44,3990000000,4029000000,https://www.sec.gov/Archives/edgar/data/37996/000003799623000029/0000037996-23-000029-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799623000029/f-20230331.htm,10.394486215538848,0.4403508771929824,0.7017543859649122,0.2556390977443609,9.903007518796992,10.575689223057644,10.270426065162908,10.618045112781957,35.3390977443609,50274000000.0,168821000000.0,7.153386454183267,1.212181125524425,17.955000000000002,49.28823529411765,1.1866591134400226,1.1866591134400226,4.070526112745334,41.25635386119257,60.293214285714285,165.51078431372548,0.0349484823169033,0.0202888172812984,3.320846905537459,0.5478621495327103,28.97043010752688,1.2003857984463793,6.772435897435898,1.6837041491280818,0.0635119544893981,1.817302219692658,0.0,0.0,0.0047429906542056,0.6357142857142857,0.0429184549356223,1.0953846153846154,0.0024111491536866,10.256825692605114,0.007774015358658,0.006874506029376,-41.85062656641604,19218000000.0,40979000000.0,-99480000000.0,80414000000.0,27287000000.0,25816500000.0,15146000000.0,0.0,63.56043956043956,39.58974358974359,0.0,1.41597510373444,2.273316062176166,0.0414719350422508,0.4461152882205513,2023-05-02,0.4,amc,36082900000.0,2025-04-25,2023-03-31,0.575,12.520967741935484,69201081.70967741
2022-12-31,F,USD,37996,2023-02-03,2023-02-02 19:39:34,2022,Q4,43999000000.0,37816000000.0,6183000000.0,0.140525921,7800000000,342000000.0,2200000000.0,2542000000.0,91000000.0,2542000000.0,40358000000.0,300000000.0,341000000.0,1700000000.0,3184000000.0,0.072365281,3740000000.0,0.0850019319,-395000000.0,1166000000.0,0.0265006023,-93000000.0,1289000000.0,0.0292961204,0.32,0.32,4004000000,4047000000,https://www.sec.gov/Archives/edgar/data/37996/000003799623000012/0000037996-23-000012-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799623000012/f-20221231.htm,10.98876123876124,0.3219280719280719,0.2942057942057942,-0.2215284715284715,11.006493506493506,10.78096903096903,10.194055944055943,10.7997002997003,35.16858141858142,46566520000.0,161906520000.0,9.031520558572538,1.058354053501216,39.53015280135824,-52.49889515219842,1.0768817353498914,1.0768817353498914,3.679777267665174,50.85003768844221,137.44186757215618,-182.5327170236753,0.0276808316361196,-0.0190480199078651,3.248554645946071,0.5489753169404886,36.22487437185929,1.20244461420932,10.96774193548387,0.9356632247815728,0.01286331896822,0.4647013188518231,0.0077729039296347,0.1772767562899156,0.0091838489315471,1.7529711375212225,0.0469328848382917,1.214705882352941,0.0013409395668083,8.84456616431126,0.0192679944595175,0.0050841307280285,-30.138986013986013,19610000000.0,40817000000.0,-96241000000.0,83444000000.0,27287000000.0,26328000000.0,14646500000.0,111.6311734357599,60.93849164374868,33.5096255553205,0.8062264081797192,1.4768990431556337,2.6857954545454548,0.0298089820082327,0.5157342657342657,2023-02-02,0.6,amc,41394012401.0,2025-04-25,2022-12-31,-0.1499999999999999,12.847777777777775,56949961.28571428
2022-09-30,F,USD,37996,2022-10-27,2022-10-26 19:18:39,2022,Q3,39392000000.0,34354000000.0,5038000000.0,0.1278939886,0,0.0,0.0,2847000000.0,653000000.0,2847000000.0,37201000000.0,182000000.0,321000000.0,1627000000.0,823000000.0,0.020892567,504000000.0,0.012794476,-1629000000.0,-1125000000.0,-0.0285590983,-195000000.0,-930000000.0,-0.0236088546,-0.23,-0.23,4021000000,4021000000,https://www.sec.gov/Archives/edgar/data/37996/000003799622000073/0000037996-22-000073-index.htm,https://www.sec.gov/Archives/edgar/data/37996/000003799622000073/f-20220930.htm,9.796568017905994,-0.2312857498134792,0.9480228798806268,0.5172842576473514,9.990798308878388,10.467296692365084,10.181298184531212,10.476249689132056,32.35165381745834,45035200000.0,153252200000.0,-12.106236559139784,1.1432575142160846,11.814060860440712,21.65153846153846,1.0690848664688426,1.0690848664688426,3.890439683184403,186.21166464155527,40.20257082896118,73.67894230769231,-0.0206505133762035,0.0461860944327992,3.0804747774480714,0.5255367144691174,131.49088699878493,1.198753424201759,1.5700934579439252,-4.098924731182795,0.0133895264148932,-0.6483870967741936,0.0,0.0,0.0046573977701189,0.4543546694648478,0.0439683184402924,1.0645359557467733,0.0027162875710804,,0.0020709606227197,-0.0037840411117756,-39.05757274309873,17921000000.0,40939000000.0,-96742000000.0,78155000000.0,0.0,25214500000.0,14594500000.0,0.0,70.86773010420912,39.854747627641615,0.0,1.2699715352482348,2.258200223493065,-0.0220771513353115,0.4307386222332753,2022-10-26,0.31,amc,37768375000.0,2025-04-25,2022-09-30,-0.032258064516129,13.9946875,67566686.5
