date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,FI,USD,798354,2025-04-25,2025-04-25 06:26:08,2025,Q1,5130000000.0,2073000000.0,3057000000.0,0.5959064327,0,0.0,0.0,1682000000.0,-20000000.0,1662000000.0,3735000000.0,8000000.0,339000000.0,768000000.0,2153000000.0,0.4196881092,1395000000.0,0.2719298246,-349000000.0,1046000000.0,0.2038986355,190000000.0,851000000.0,0.1658869396,1.5161232852307145,1.5069948645298388,561300000,564700000,https://www.sec.gov/Archives/edgar/data/798354/000079835425000104/0000798354-25-000104-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835425000104/fisv-20250331.htm,9.139497594869054,1.5161232852307145,1.1544628540887223,0.5576340637805095,2.0969178692321395,47.249242829146624,-27.128095492606448,46.11437733832175,51.227507571708536,123951879000.0,151189879000.0,36.4135954759107,24.16215964912281,191.28376388888893,396.012392971246,4.788745132127956,4.788745132127956,29.471711306042884,70.32087395348837,233.31771450617285,483.0347571884984,0.0068655675643287,0.0025251734989834,1.0977824138463916,0.3534116066764508,12.668837209302325,1.0986562486583953,4.115044247787611,0.7641509433962265,0.0,0.0,0.0,0.0,0.5192408149051019,0.0,0.0,0.0,0.0241715399610136,39.662190162638105,0.0196947488751288,0.0220158327728048,-88.11330839123464,2298000000.0,-15227000000.0,-28290000000.0,46473000000.0,4026500000.0,587000000.0,0.0,75.9298245614035,28.784370477568743,0.0,1.185304990757856,3.126696832579185,0.0,0.0328774532529748,0.0,2025-04-24,2.08,bmo,4833268540.0,2025-04-30,2025-03-31,0.0288461538461538,218.93941666666663,2995354.05
2024-12-31,FI,USD,798354,2025-02-20,2025-02-20 07:34:30,2024,Q4,5251000000.0,2019000000.0,3232000000.0,0.6155018092,0,0.0,0.0,1564000000.0,0.0,1564000000.0,3583000000.0,11000000.0,334000000.0,758000000.0,2276000000.0,0.4334412493,1668000000.0,0.3176537802,-484000000.0,1184000000.0,0.2254808608,193000000.0,938000000.0,0.1786326414,1.64,1.64,578700000,582100000,https://www.sec.gov/Archives/edgar/data/798354/000079835425000047/0000798354-25-000047-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835425000047/fi-20241231.htm,9.07378607223086,1.620874373595991,3.8379125626404007,3.14843614999136,2.135821669258683,47.8417141869708,-22.412303438742008,46.77380335234145,43.5009504060826,118876554000.0,142480554000.0,31.683516524520257,22.63884098266997,53.52388743809095,65.24509001097695,4.391774567755283,4.391774567755283,27.133984764806705,62.60129789103691,64.15153264295363,78.20008452250275,0.0078905382805763,0.0153268238243177,0.9176887838037536,0.3218617186690162,10.370826010544816,1.0595748521911812,4.994011976047904,2.342827004219409,0.0,0.0,0.0,0.0,0.5267958950969214,0.179648806843764,0.0759855265663683,0.5263852242744064,0.017901352123405,41.30163837200822,0.0248731445372219,0.0256845564074479,-78.55581475721445,1320000000.0,-12970000000.0,-26013000000.0,44350000000.0,3719500000.0,497000000.0,-929000000.0,63.84498190820795,22.778603268945023,0.0,1.4096644295302014,3.9510763209393343,0.0,0.0346534653465346,0.6894764126490409,2025-02-05,2.48,bmo,4950915493.0,2025-04-30,2024-12-31,0.0120967741935483,204.144375,2729405.875
2024-09-30,FI,USD,798354,2024-10-23,2024-10-23 07:05:30,2024,Q3,5215000000.0,2008000000.0,3207000000.0,0.6149568552,0,0.0,0.0,1606000000.0,0.0,1606000000.0,3614000000.0,13000000.0,339000000.0,844000000.0,2454000000.0,0.4705656759,1601000000.0,0.3069990412,-330000000.0,1271000000.0,0.2437200384,74000000.0,564000000.0,0.1081495686,0.98,0.98,573700000,576900000,https://www.sec.gov/Archives/edgar/data/798354/000079835424000190/0000798354-24-000190-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835424000190/fisv-20240930.htm,9.09011678577654,0.9830922084713264,3.9358549764685375,3.2002788914066587,2.1404915461042355,49.50845389576434,-33.20899424786474,48.37197141363082,44.85445354715008,103065205000.0,127842205000.0,45.68493129432624,19.76322243528284,45.64446634189549,56.1357325708061,3.7139276062123887,3.7139276062123887,24.51432502396932,52.0954380603097,56.61745128432241,69.63083061002179,0.0054722638935225,0.0178139654406159,0.9150661237432886,0.3182524563866051,10.096577017114914,1.0661998726925526,4.722713864306785,4.00354609929078,0.0,0.0,0.0,0.0,0.5947338079005414,0.1780336581045172,0.0770853307766059,0.5037593984962406,0.0168744007670182,32.71035668737975,0.0262059716014559,0.0174413210872993,-84.19818720585673,1560000000.0,-19052000000.0,-26264000000.0,51392000000.0,3729000000.0,502500000.0,-929000000.0,64.09587727708532,21.64840637450199,-83.27689243027888,1.4041464728056003,4.157349896480331,-1.0807319698600646,0.0203235919426327,0.7007146592295624,2024-10-22,2.26,bmo,4904056919.0,2025-04-25,2024-09-30,0.0176991150442478,164.9484375,2373077.5625
2024-06-30,FI,USD,798354,2024-07-25,2024-07-25 07:06:36,2024,Q2,5107000000.0,1983000000.0,3124000000.0,0.6117094184,0,0.0,0.0,1697000000.0,-5000000.0,1697000000.0,3680000000.0,9000000.0,294000000.0,705000000.0,2137000000.0,0.4184452712,1427000000.0,0.2794204034,-290000000.0,1138000000.0,0.2228314079,221000000.0,894000000.0,0.1750538477,1.53,1.53,582700000,585400000,https://www.sec.gov/Archives/edgar/data/798354/000079835424000156/0000798354-24-000156-index.htm,https://www.sec.gov/Archives/edgar/data/798354/000079835424000156/fisv-20240630.htm,8.764372747554487,1.534237171786511,2.3305302900291744,1.7333104513471769,2.050798009267204,49.38733482066243,-31.990732795606657,48.31645786854299,44.47056804530633,85738477999.99998,110162477999.99998,23.976084451901563,16.788423340513017,63.13584536082474,84.88958217821781,3.045339134758826,3.045339134758826,21.57087879381241,51.55005989705194,81.12111782032399,109.0717603960396,0.0104270570326662,0.0117800085044663,0.9099595084179868,0.2742434460537161,11.429106223678051,1.058727659456921,4.85374149659864,1.5190156599552571,0.0,0.0,0.0,0.0,0.5076056820493058,0.2562592047128129,0.0681417662032504,0.4936170212765957,0.0193851576267867,40.83993606259624,0.0196782027315993,0.0194356276359841,-104.06040844345289,2126000000.0,-18641000000.0,-26312000000.0,51830000000.0,3659000000.0,531000000.0,271500000.0,65.98002741335422,23.69137670196672,0.0,1.3640491452991452,3.798850574712643,0.0,0.0317539248419407,0.5972198386819976,2024-07-24,2.1,bmo,4812360500.0,2025-04-25,2024-06-30,0.0142857142857141,151.37460317460318,2435737.1587301586
2024-03-31,FI,USD,798354,2024-03-31,2024-03-29 20:00:00,2024,Q1,4883000000.0,2006000000.0,2877000000.0,0.5891869752,0,0.0,0.0,1697000000.0,-7000000.0,1697000000.0,3703000000.0,10000000.0,271000000.0,774000000.0,1954000000.0,0.4001638337,1180000000.0,0.2416547205,-267000000.0,913000000.0,0.1869752202,153000000.0,735000000.0,0.1505222199,1.24,1.24,590900000,594800000,,,8.263665594855306,1.2438652902352345,1.4435606701641563,0.732780504315451,2.054493146048401,50.06430868167202,-31.10678625825013,48.74090370621087,41.986799796919954,93699013000.0,117024013000.0,31.870412585034018,19.188821011673152,109.84643962485346,216.39494919168592,3.253324988715669,3.253324988715669,23.96559758345279,59.88946417604913,137.19110550996484,270.2633094688222,0.0078442661930707,0.0046211799477546,0.852019027117114,0.2647198429308076,11.937052200614126,1.056267441198246,4.354243542435424,1.1605442176870748,0.0,0.0,0.0,0.0,0.5174221666055363,0.492379835873388,0.0860126971124308,0.5426356589147286,0.0176121236944501,36.93386200404996,0.0168295433550749,0.016430455581884,-99.76138094432224,1976000000.0,-18381000000.0,-26021000000.0,52166000000.0,3578000000.0,494500000.0,271500000.0,65.87343845996314,24.22731804586241,24.36191425722832,1.3662562954672637,3.714814814814815,3.694290976058932,0.0255199472240547,0.7107801658487054,2024-04-23,1.79,bmo,4566427708.0,2025-04-25,2024-03-31,0.0502793296089384,145.63918032786884,2595314.3114754097
2023-12-31,FI,USD,798354,2023-12-31,2023-12-30 19:00:00,2023,Q4,4917000000.0,1270000000.0,3647000000.0,0.7417124263,0,0.0,0.0,1624000000.0,-572000000.0,2196000000.0,3466000000.0,5000000.0,284000000.0,767000000.0,2218000000.0,0.4510880618,1451000000.0,0.2950986374,-343000000.0,1103000000.0,0.2243237747,210000000.0,870000000.0,0.1769371568,1.45,1.44,600618514,602700000,,,8.186560829192155,1.4485067971114856,2.698884503583584,2.109492082689945,2.004600211174976,51.06236202369213,-29.54620876039129,49.71042234638808,40.26682400935779,79786163399.76,102483163399.76,22.9270584482069,16.22659414272117,49.22033522502159,62.97250465647987,2.672276631937569,2.672276631937569,20.842620174854584,46.205213435419296,63.22218593446021,80.88647466437253,0.0109041463197191,0.0158799464219357,0.8005157919415883,0.2629662229068104,10.233092876465284,1.0375238435860754,5.109154929577465,1.8632183908045976,0.0,0.0,0.0,0.0,0.5326768621410496,0.2183837137569401,0.0719951189749847,0.4615384615384615,0.0136261948342485,40.25086837275167,0.0201807963037147,0.020482636845203,-93.78748521228567,1259000000.0,-17746000000.0,-25410000000.0,52463000000.0,3521500000.0,445000000.0,0.0,65.56436851738864,31.81889763779527,0.0,1.3726968174204357,2.8285077951002227,0.0,0.0291388954014134,0.589392420893639,2024-02-06,2.15,bmo,4689190000.0,2025-04-25,2023-12-31,0.0186046511627907,122.7126984126984,2947694.396825397
2023-09-30,FI,USD,798354,2023-09-30,2023-09-30 00:00:00,2023,Q3,4873000000.0,1894000000.0,2979000000.0,0.6113277242,0,0.0,0.0,1652000000.0,-35000000.0,1652000000.0,3546000000.0,10000000.0,258000000.0,769000000.0,2096000000.0,0.4301251796,1503000000.0,0.3084342294,-293000000.0,1210000000.0,0.2483069977,239000000.0,952000000.0,0.1953621999,1.57,1.56,606200000,610300000,,,8.038601121742,1.5704387990762123,2.571758495546024,1.9861431870669743,2.2253381722203893,50.125371164632135,-29.51006268558232,48.78422962718575,38.87165951831079,68476352000.0,90433352000.0,17.982235294117647,14.052196183049457,43.923253367543296,56.87404651162791,2.3155023839312885,2.3155023839312885,18.558044736302072,43.14568320610687,58.00728159076331,75.11075747508306,0.0139026097651931,0.0175827123500971,0.7880837250194435,0.2769446490957055,10.4756679389313,1.0733035412520184,5.825581395348837,1.608875128998968,0.0,0.0,0.0,0.0,0.5736506880243364,0.22771007055805,0.0728504001641699,0.4616384915474642,0.0155961420069772,41.51848452515403,0.020692179421177,0.0265336269126787,-82.18945892444738,1952000000.0,-17889000000.0,-25187000000.0,52349000000.0,3463000000.0,426500000.0,0.0,63.92160886517545,20.955649419218584,0.0,1.4079745738225946,4.294784580498866,0.0,0.032191526054171,0.5856153084790499,2023-10-24,1.93,bmo,4604440000.0,2025-04-25,2023-09-30,0.0155440414507772,123.15285714285714,2275941.1428571427
2023-06-30,FI,USD,798354,2023-06-30,2023-06-30 00:00:00,2023,Q2,4756000000.0,1929000000.0,2827000000.0,0.5944070648,0,0.0,0.0,1696000000.0,-26000000.0,1696000000.0,3625000000.0,5000000.0,232000000.0,800000000.0,1931000000.0,0.4060134567,1131000000.0,0.237804878,-258000000.0,873000000.0,0.1835576114,181000000.0,683000000.0,0.143608074,1.11,1.1,615400000,619200000,,,7.728306792330192,1.1098472538186546,1.4267143321416964,0.8742281442963926,1.7582060448488788,50.17387065323367,-29.267143321416963,48.73415664608385,38.08092297692558,77632710000.0,99753710000.0,28.416072474377746,16.323109756097562,88.4199430523918,144.29871747211897,2.5885335600680204,2.5885335600680204,20.974287216148024,51.65909373381668,113.61470387243736,185.41581784386617,0.0087978379216698,0.0069300685239507,0.7736654329632223,0.2990115852008402,11.455722423614707,1.101839482067619,4.875,1.2633093525179857,0.0,0.0,0.0,0.0,0.630008118661323,0.3872437357630979,0.0714886459209419,0.425,0.0222876366694701,34.88506948851538,0.0152304264319741,0.02378879175229,-69.94028274293143,1982000000.0,-18011000000.0,-25278000000.0,52893000000.0,3402500000.0,418500000.0,0.0,65.56980656013457,19.22239502332815,0.0,1.3725829725829726,4.682038834951456,0.0,0.0227734987162815,0.5524861878453039,2023-07-26,1.81,bmo,4543250000.0,2025-04-25,2023-06-30,0.0,117.72048387096774,3696758.7258064514
2023-03-31,FI,USD,798354,2023-03-31,2023-03-31 00:00:00,2023,Q1,4547000000.0,2005000000.0,2542000000.0,0.559049923,0,0.0,0.0,1604000000.0,-20000000.0,1604000000.0,3609000000.0,8000000.0,202000000.0,785000000.0,1723000000.0,0.3789311634,934000000.0,0.2054101605,-222000000.0,712000000.0,0.1565867605,124000000.0,563000000.0,0.1238179019,0.9,0.89,626900000,631300000,,,7.253150422714946,0.8980698676024884,1.8025203381719568,1.26176423672037,1.668527675865369,49.37629605997767,-28.803636943691178,47.97734885946722,36.05997766788962,70858507000.0,92216507000.0,31.46470115452931,15.583573125137454,62.70664336283186,89.5809190897598,2.3559034145692723,2.3559034145692723,20.28073608972949,53.52089785258271,81.60752831858407,116.58218331226296,0.0079454115509377,0.0111630915395945,0.7448881204907404,0.2926791033077285,12.395821242019734,1.075597731007793,4.623762376237623,1.961805555555556,0.0,0.0,0.0,0.0,0.6402649318074933,0.3,0.0745546514185177,0.4318471337579618,0.0204530459643721,31.136116570763168,0.013237066098946,0.020445219159676,-67.06492263518902,1426000000.0,-18057000000.0,-25305000000.0,52439000000.0,3462500000.0,538500000.0,0.0,66.10952276226082,19.077306733167084,0.0,1.361377245508982,4.7176470588235295,0.0,0.0187186222030122,0.5407561014515871,2023-04-25,1.57,bmo,4176425843.0,2025-04-25,2023-03-31,0.0063694267515923,110.00451612903224,3648630.64516129
2022-12-31,FI,USD,798354,2022-12-31,2022-12-31 00:00:00,2022,Q4,4631000000.0,1980000000.0,2651000000.0,0.5724465558,0,0.0,0.0,1499000000.0,-11000000.0,1499000000.0,3479000000.0,5000000.0,199000000.0,771000000.0,1937000000.0,0.4182681926,1179000000.0,0.2545886418,-210000000.0,969000000.0,0.2092420643,169000000.0,782000000.0,0.1688620168,1.23,1.22,635910974,638600000,,,7.282465925804262,1.2297318838218383,2.567969522098545,2.04745641014838,1.418437543743348,49.83087459660666,-27.579332197528643,48.47848403383584,33.99375208769396,64271522142.17999,84787522142.18,20.54716181015985,13.878540734653422,39.357943749038576,49.36368828124424,2.084842420597509,2.084842420597509,18.30868541182898,43.77259790510067,51.92132403072871,65.12098474821812,0.0121671305414251,0.0202578055817589,0.6947580121967043,0.2553744530160131,10.591636551368095,1.0410461864086478,5.924623115577889,2.0463659147869677,0.0,0.0,0.0,0.0,0.5869391551109469,0.2026944274341702,0.0714748434463398,0.4293125810635538,0.017058950550637,36.62443984082906,0.0167814529076616,0.0225731027913286,-76.4104599333428,1086000000.0,-17538000000.0,-24637000000.0,52270000000.0,3444000000.0,560500000.0,0.0,69.67177715396244,29.63636363636364,0.0,1.2917712691771268,3.03680981595092,0.0,0.0253665498897106,0.5205131119501643,2023-02-07,1.91,bmo,4347124111.0,2025-04-25,2022-12-31,0.0,99.59380952380953,3736817.460317461
