date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2024-12-31,FTNT,USD,1262039,2025-02-21,2025-02-21 17:25:20,2024,Q4,1660100000.0,314500000.0,1345600000.0,0.8105535811,191100000,55100000.0,526500000.0,581600000.0,-1200000.0,771500000.0,1086000000.0,42300000.0,4900000.0,35200000.0,574100000.0,0.3458225408,574100000.0,0.3458225408,44300000.0,618400000.0,0.3725076803,86700000.0,526200000.0,0.3169688573,0.69,0.68,766500000,775200000,https://www.sec.gov/Archives/edgar/data/1262039/000126203925000011/0001262039-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203925000011/ftnt-20241231.htm,2.165818656229616,0.6864970645792564,0.6230919765166341,0.4957599478147423,5.305283757338552,1.9488584474885844,1.491715590345727,1.9488584474885844,1.3035877364644488,72418920000.0,70537320000.0,34.40655644241733,43.62322751641467,151.63090452261306,190.5761052631579,48.479662605435806,48.479662605435806,42.48980181916752,122.86591186204494,147.69120603015077,185.62452631578947,0.0072660569917364,0.005247247542493,0.6656178872673718,0.1018426524362139,-3.277477791325553,1.470559263181225,117.16326530612244,0.9076396807297604,0.0,0.0,0.0331907716402626,0.115113547376664,0.0358902397803976,0.2043551088777219,0.058791639057888,2.772727272727273,0.0396361664959942,5.486567786725277,0.0865619533746622,0.0559031946200346,-3.8454011741682974,1910800000.0,1143400000.0,-2297800000.0,3610700000.0,1253750000.0,184400000.0,334900000.0,79.33618456719475,54.629570747217805,90.28616852146264,1.1344130107967747,1.6474594028287062,0.9968304278922344,0.3522559914312491,0.1273320287018917,2025-02-06,0.6,amc,1592625790.0,2025-05-06,2024-12-31,0.2333333333333333,88.9390625,4477968.546875
2024-09-30,FTNT,USD,1262039,2024-11-08,2024-11-08 16:03:38,2024,Q3,1508100000.0,263400000.0,1244700000.0,0.825343147,187300000,71700000.0,515900000.0,587600000.0,-1100000.0,774900000.0,1037200000.0,42400000.0,5000000.0,29800000.0,661200000.0,0.4384324647,470900000.0,0.3122471985,155500000.0,626400000.0,0.4153570718,81200000.0,539900000.0,0.3580001326,0.71,0.7,765000000,771900000,https://www.sec.gov/Archives/edgar/data/1262039/000126203924000043/0001262039-24-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203924000043/ftnt-20240930.htm,1.971372549019608,0.7057516339869281,0.7949019607843137,0.7474509803921568,4.773464052287582,1.1870588235294115,0.7630065359477124,1.1870588235294115,1.3056209150326796,59325750000.0,57830250000.0,27.47071216892017,39.338074398249454,97.55920078934383,103.75262329485834,65.32953419226958,65.32953419226958,38.34642928187786,87.46256805807623,95.09990133201777,101.13719832109128,0.0091006013409017,0.0096383105144056,1.0943728664244026,0.1122684139177587,-2.261796733212341,1.3441643708643374,94.18,1.126319688831265,0.0,0.0,0.0475432663616471,0.1241960082222664,0.0366470854044283,0.0596941292550567,0.024070021881838,1.2181208053691277,0.043697367548571,4.341635158295877,0.0824978175574983,0.0633120690463905,-4.355522875816994,1336700000.0,583700000.0,-2723300000.0,2934500000.0,1063750000.0,155000000.0,368750000.0,62.3095285458524,60.78587699316629,121.05922551252849,1.4444018772148262,1.4806070826306914,0.7434377646062659,0.594538046470653,0.0474509803921568,2024-11-07,0.52,amc,1479698979.0,2025-04-25,2024-09-30,0.2115384615384615,68.31453125,5166655.296875
2024-06-30,FTNT,USD,1262039,2024-08-08,2024-08-07 17:39:34,2024,Q2,1434300000.0,275000000.0,1159300000.0,0.8082688419,165400000,56600000.0,501300000.0,557900000.0,-2200000.0,723300000.0,998300000.0,38300000.0,5000000.0,29200000.0,465200000.0,0.324339399,436000000.0,0.303981036,32300000.0,468300000.0,0.3265007321,76500000.0,379800000.0,0.2647981594,0.5,0.49,763800000,769900000,https://www.sec.gov/Archives/edgar/data/1262039/000126203924000037/0001262039-24-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203924000037/ftnt-20240630.htm,1.8778476040848389,0.4972505891594658,0.4477611940298507,0.4175176747839748,4.371956009426551,0.37732390678188,0.1703325477873788,0.37732390678188,1.3070175438596492,45713430000.0,44503530000.0,30.09046208530805,31.87159590043924,133.665,143.34722483537158,158.6170367800139,158.6170367800139,31.02804852541309,95.66536973344796,130.1272807017544,139.5532455315146,0.0083082805206259,0.0069760680832744,3.446564885496183,0.1233468688298625,-2.600816852966466,1.3205110997771992,87.2,0.9004739336492891,0.0,0.0,0.0394617583490204,0.1153175765181621,0.0196326789107029,0.0675438596491228,0.0161054172767203,0.791095890410959,0.0445513490901485,2.0546415834405103,0.0842906981820511,0.0481076151390788,-4.479248494370254,1194000000.0,130100000.0,-2845400000.0,2594800000.0,1039800000.0,133650000.0,411350000.0,67.9815938088266,43.23272727272728,125.41090909090909,1.3238877607531845,2.081756245268736,0.7176409185803758,1.3178348369188064,0.0302435192458758,2024-08-06,0.41,amc,1404891079.0,2025-04-25,2024-06-30,0.3902439024390243,62.18206349206349,5605970.619047619
2024-03-31,FTNT,USD,1262039,2024-05-06,2024-05-06 16:34:04,2024,Q1,1353300000.0,304700000.0,1048600000.0,0.7748466711,173000000,54400000.0,501100000.0,555500000.0,-2900000.0,728500000.0,1033200000.0,32200000.0,5100000.0,28600000.0,348700000.0,0.257666445,320100000.0,0.2365329195,25300000.0,345400000.0,0.2552279613,39500000.0,299300000.0,0.2211630828,0.39,0.39,762400000,770500000,https://www.sec.gov/Archives/edgar/data/1262039/000126203924000020/0001262039-24-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203924000020/ftnt-20240331.htm,1.775052465897167,0.3925760755508919,1.089192025183631,0.7981374606505771,3.965241343126967,-0.1803515215110178,-0.3942812172088142,-0.1803515215110178,1.3088929695697795,51705967999.99999,50772467999.99999,43.18908118944203,38.20732136259513,62.26633911368015,84.97283155299917,-376.0434036363636,-376.0434036363636,37.51752604743959,145.60501290507597,61.14218208092485,83.43873130649136,0.0057885000818474,0.0117684674233349,-7.220363636363636,0.1295728325132796,-2.6770863206194435,1.1997947584464794,62.76470588235294,2.7744737721349817,0.0,0.0,0.0401980344343456,0.1278356609768713,0.0212865924485454,0.2672206165703275,0.1639695559003916,7.758741258741258,0.0460356166408039,,0.073411531735223,0.039911988265102,-4.996852046169989,759300000.0,-300600000.0,-3239900000.0,2169800000.0,1199100000.0,169750000.0,462150000.0,66.25138550210596,39.93436166721365,129.81621266819823,1.3584621561935355,2.253698224852071,0.6932878270762229,-2.176727272727273,0.2910545645330535,2024-05-02,0.38,amc,1338062943.0,2025-04-25,2024-03-31,0.131578947368421,66.5695081967213,6236881.049180328
2023-12-31,FTNT,USD,1262039,2024-02-26,2024-02-23 18:25:06,2023,Q4,1415100000.0,315900000.0,1099200000.0,0.7767648929,152500000,54900000.0,507400000.0,562500000.0,-5300000.0,715000000.0,1030900000.0,30500000.0,5400000.0,30200000.0,414400000.0,0.2928414953,385400000.0,0.2723482439,30200000.0,415600000.0,0.2936894919,95200000.0,310900000.0,0.2197017879,0.41,0.4,764900000,772300000,https://www.sec.gov/Archives/edgar/data/1262039/000126203924000014/0001262039-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203924000014/ftnt-20231231.htm,1.8500457576153744,0.4064583605700091,0.2506209962086547,0.2154530003922081,3.1630278467773567,-0.6058308275591581,-0.8173617466335469,-0.6058308275591581,1.3043535102627797,44769597000.0,44363997000.0,35.999997587648764,31.637055331778672,233.5398904538341,271.6601759708738,-96.61112861458784,-96.61112861458784,31.350432478270086,107.05597731660232,231.42408450704227,269.1990109223301,0.00694444490979,0.0036810695436905,-2.141346568839016,0.1367011530672691,-0.9787644787644788,1.1907233127184726,71.37037037037037,0.6165969765197813,0.0,0.0,0.0387958448166207,0.1077662356017242,0.0222898786317486,0.1403234220135628,0.0190092572963041,0.890728476821192,0.0448024874567168,,0.0839339545134864,0.0438066252412957,-5.241208001045888,709300000.0,-625200000.0,-3294000000.0,1915500000.0,1207900000.0,229100000.0,476150000.0,89.16684333262667,58.20512820512821,138.1196581196581,1.0093437945791726,1.5462555066079295,0.6516089108910891,-0.6709106603366423,0.0351679958164465,2024-02-06,0.43,amc,1409130437.0,2025-04-25,2023-12-31,0.186046511627907,55.270634920634926,7212350.333333333
2023-09-30,FTNT,USD,1262039,2023-11-07,2023-11-06 18:42:23,2023,Q3,1334600000.0,317700000.0,1016900000.0,0.7619511464,156900000,53500000.0,504400000.0,557900000.0,-5900000.0,714800000.0,1032500000.0,37000000.0,5400000.0,28300000.0,361500000.0,0.2708676757,303200000.0,0.227184175,24600000.0,327800000.0,0.2456166642,-300000.0,322900000.0,0.2419451521,0.41,0.41,781200000,791200000,https://www.sec.gov/Archives/edgar/data/1262039/000126203923000038/0001262039-23-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203923000038/ftnt-20230930.htm,1.7083973374295955,0.4133384536610343,0.7055811571940604,0.6158474142345111,4.056323604710702,0.0948540706605222,-0.1163594470046082,0.0948540706605222,1.2764976958525345,45840816000.0,44645816000.0,35.49149581913905,34.34798141765323,83.1654862119013,95.28334234046976,618.6344939271255,618.6344939271255,33.452582047055294,123.50156569847856,80.99748911465893,92.7994512575348,0.0070439409281021,0.0104950138758437,13.384615384615383,0.1326059925394087,-3.30567081604426,1.3024664291586736,56.14814814814815,1.7070300402601424,0.0,0.0,0.0400869174284429,0.1175633148508916,0.0220608880510208,0.127177068214804,0.0525251011539037,2.477031802120141,0.0481792297317548,0.9392304216917072,0.0792307355225745,0.0441463981515661,-4.150409626216078,1103700000.0,-90900000.0,-2652500000.0,2306700000.0,1046300000.0,246100000.0,421900000.0,68.36655177581298,71.92634560906515,132.43626062322946,1.3164332215427106,1.251280031508468,0.679572192513369,4.3576248313090415,0.0897337429595494,2023-11-02,0.36,amc,1348830000.0,2025-04-25,2023-09-30,0.1388888888888888,66.19619047619047,5932400.365079365
2023-06-30,FTNT,USD,1262039,2023-08-07,2023-08-07 17:22:37,2023,Q2,1292800000.0,295800000.0,997000000.0,0.7711943069,153300000,49900000.0,515900000.0,565800000.0,-6200000.0,718000000.0,1013800000.0,31600000.0,5200000.0,27400000.0,331800000.0,0.2566522277,279000000.0,0.2158106436,20200000.0,299200000.0,0.2314356436,27600000.0,266300000.0,0.205987005,0.34,0.33,785000000,795900000,https://www.sec.gov/Archives/edgar/data/1262039/000126203923000032/0001262039-23-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203923000032/ftnt-20230630.htm,1.6468789808917197,0.3392356687898089,0.6561783439490446,0.558343949044586,4.221019108280255,0.409171974522293,0.1918471337579617,0.409171974522293,1.2694267515923567,59338150000.0,57953150000.0,55.706111528351485,45.89894028465346,115.19734032226752,135.3825005703856,184.7389476961395,184.7389476961395,44.82762221534654,174.66289933694998,112.50854203067364,132.2225644535706,0.0044878379255167,0.0073864790189785,3.086239103362391,0.1324187494155835,-4.17420132610006,1.3935039707478718,53.65384615384615,1.9342846413819,0.0,0.0,0.0385983910891089,0.1185798267326732,0.0227889020985559,0.1490972626674432,0.0594059405940594,2.802919708029197,0.0502784653465346,1.767237643784821,0.0635461972108787,0.0364021597976898,-3.635859872611465,1377500000.0,150600000.0,-2286800000.0,2530000000.0,1083000000.0,238350000.0,339500000.0,75.10210396039604,72.50507099391481,114.49290060851928,1.1983685576566556,1.2412924884599246,0.7860749402072814,0.8290784557907845,0.0978343949044586,2023-08-03,0.34,amc,1304380000.0,2025-04-25,2023-06-30,0.1176470588235293,68.00161290322582,5062185.483870967
2023-03-31,FTNT,USD,1262039,2023-05-08,2023-05-08 16:56:07,2023,Q1,1262300000.0,307800000.0,954500000.0,0.7561593916,151100000,52800000.0,478300000.0,531100000.0,3200000.0,682200000.0,990000000.0,20600000.0,5000000.0,27500000.0,323600000.0,0.2563574428,273500000.0,0.216667987,17600000.0,291100000.0,0.2306107898,21300000.0,247700000.0,0.1962291056,0.32,0.31,783200000,793400000,https://www.sec.gov/Archives/edgar/data/1262039/000126203923000021/0001262039-23-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203923000021/ftnt-20230331.htm,1.6117211440245147,0.3162665985699693,0.8650408580183861,0.8263534218590398,3.676072522982635,0.014555669050051,-0.2138661899897855,0.014555669050051,1.2715781409601634,52051471999.99999,50738171999.99999,52.534792087202256,41.23542105680107,76.82874095940959,80.42563658838071,4565.918596491228,4565.918596491228,40.19501861681058,156.79286773794806,74.89029077490774,78.39643386897403,0.0047587511069811,0.0124338462512645,86.92105263157895,0.1450316877186306,-4.05840543881335,1.3362867128579312,54.7,2.735163504238999,0.0,0.0,0.0418284084607462,0.1197021310306583,0.0261844474042416,0.0447232472324723,0.0240038025825873,1.1018181818181818,0.044601124930682,0.321835545983226,0.0709950440773137,0.037229085880903,-3.798582737487232,1096900000.0,-167500000.0,-2462200000.0,2193200000.0,1174450000.0,240900000.0,283650000.0,77.51564604293749,69.70760233918129,88.50877192982456,1.161055923473142,1.2911073825503356,1.016848364717542,21.7280701754386,0.0386874361593462,2023-05-04,0.29,amc,1200630000.0,2025-04-25,2023-03-31,0.1724137931034484,56.84838709677419,5210846.774193549
2022-12-31,FTNT,USD,1262039,2023-02-24,2023-02-23 21:22:11,2022,Q4,1283000000.0,297300000.0,985700000.0,0.7682774747,128900000,44300000.0,455900000.0,500200000.0,-1200000.0,627900000.0,925200000.0,9100000.0,4500000.0,27300000.0,400000000.0,0.3117692907,357800000.0,0.2788776306,10400000.0,368200000.0,0.2869836321,9200000.0,313800000.0,0.2445830086,0.4,0.4,780900000,791800000,https://www.sec.gov/Archives/edgar/data/1262039/000126203923000010/0001262039-23-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203923000010/ftnt-20221231.htm,1.6429760532718658,0.4018440261237034,0.6762709693942887,0.6367012421564862,2.831348444102958,-0.3606095530797797,-0.5962351133307722,-0.3606095530797797,1.2740427711614803,38178201000.0,37485701000.0,30.416030114722755,29.756976617303195,72.29350691156978,76.78640587288817,-135.57599786931817,-135.57599786931817,29.217226032735777,93.7142525,70.9822022344253,75.39360619469026,0.0082193500945736,0.0130231385182345,-3.5170454545454546,0.1590237636480411,-1.73125,1.237785862785863,79.5111111111111,1.682919056724028,0.0,0.0,0.0345284489477786,0.1004676539360873,0.0295439948619139,0.0585116455216815,0.0240841777084957,1.1318681318681318,0.0426344505066251,,0.1107632266866923,0.0519192587690271,-4.123479318734793,732000000.0,-465600000.0,-2699200000.0,1814500000.0,1112450000.0,229250000.0,240200000.0,88.50584567420108,73.68314833501513,80.10090817356206,1.01688198462392,1.2214461791290057,1.1235827664399094,-1.1143465909090908,0.0395697272378025,2023-02-07,0.39,amc,1295295643.0,2025-04-25,2022-12-31,0.1282051282051281,52.11365079365079,5306053.968253968
2022-09-30,FTNT,USD,1262039,2022-11-07,2022-11-07 16:58:41,2022,Q3,1149500000.0,283000000.0,866500000.0,0.7538060026,134300000,40700000.0,427100000.0,467800000.0,200000.0,602100000.0,885100000.0,4600000.0,4500000.0,26400000.0,295600000.0,0.2571552849,265500000.0,0.230969987,-800000.0,264700000.0,0.2302740322,27300000.0,231600000.0,0.2014789039,0.29,0.29,786200000,798600000,https://www.sec.gov/Archives/edgar/data/1262039/000126203922000038/0001262039-22-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1262039/000126203922000038/ftnt-20220930.htm,1.4620961587382346,0.2945815314169422,0.6143474942762656,0.5026710760620707,2.2009666751462733,-0.7921648435512593,-0.9944034596794707,-0.8073009412363267,1.2648181124395828,38626006000.0,38651906000.0,41.69473877374784,33.602441061331014,79.97102691511388,97.73786943319838,-60.85710729478494,-60.85710729478494,33.62497259678121,130.75746278755074,80.02465010351968,97.80340587044536,0.0059959603382239,0.0102314487291282,-1.5596344729793603,0.1855169699582076,0.0876184032476319,1.0728881853504102,59.0,2.090004327131112,0.0,0.0,0.0354066985645933,0.1168334058286211,0.0297981596356753,0.1817805383022774,0.0763810352327098,3.325757575757576,0.0475859069160504,,0.0931492749285338,0.0447371979369893,-4.322055456626813,202600000.0,-781800000.0,-2976500000.0,1251100000.0,941350000.0,204100000.0,205500000.0,75.4136581122227,68.40636042402826,68.62897526501767,1.1934177740863787,1.3156671315667132,1.3113994439295644,-0.3648968016385694,0.1116764182141948,2022-11-02,0.27,amc,1124558750.0,2025-04-25,2022-09-30,0.2222222222222222,54.17125,5279071.875
