date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,GEHC,USD,1932393,2025-04-30,2025-04-30 06:26:15,2025,Q1,4777000000.0,2765000000.0,2012000000.0,0.421184844,344000000,0.0,0.0,1040000000.0,0.0,1383000000.0,4148000000.0,0.0,111000000.0,-173000000.0,629000000.0,0.1316725979,629000000.0,0.1316725979,63000000.0,692000000.0,0.1448607913,104000000.0,564000000.0,0.1180657316,1.23,1.23,457000000,459000000,https://www.sec.gov/Archives/edgar/data/1932393/000193239325000014/0001932393-25-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1932393/000193239325000014/gehc-20250331.htm,10.452954048140043,1.2341356673960613,0.0,0.2144420131291028,5.411378555798687,20.60831509846827,-11.36323851203501,20.102844638949676,20.339168490153178,36884470000.0,43614470000.0,16.349499113475176,7.721262298513712,0.0,376.3721428571429,4.014854685969304,4.014854685969304,9.130096294745655,69.3393799682035,0.0,445.04561224489794,0.0152909883211009,0.0026569447791984,0.9996734516164144,0.2734472696957065,10.69952305246423,0.9765272344267228,5.666666666666667,0.0,0.0004337869027262,0.0283687943262411,0.0,0.0720117228386016,0.4350324539986899,0.0,0.031819133347289,1.1176470588235294,0.0046054008792128,23.62661308066845,0.0208629950851934,0.0297233201581027,-37.972647702407,-234000000.0,-5193000000.0,-14433000000.0,17228000000.0,3957000000.0,3087000000.0,2048500000.0,81.95520200962947,102.59674502712475,70.24231464737794,1.09816091954023,0.8772208121827412,1.2812789620018536,0.0613910961140742,0.3326039387308533,2025-04-30,0.914,bmo,4659792733.0,2025-05-11,2025-03-31,0.1050328227571115,85.93911666666666,3098052.433333333
2024-12-31,GEHC,USD,1932393,2025-02-13,2025-02-13 06:26:45,2024,Q4,5319000000.0,3044000000.0,2275000000.0,0.4277119759,344000000,0.0,0.0,1130000000.0,0.0,1474000000.0,4518000000.0,0.0,111000000.0,140000000.0,1085000000.0,0.2039857116,801000000.0,0.1505922166,33000000.0,834000000.0,0.1567963903,96000000.0,720000000.0,0.1353637902,1.58,1.57,457000000,459000000,https://www.sec.gov/Archives/edgar/data/1932393/000193239325000005/0001932393-25-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1932393/000193239325000005/gehc-20241231.htm,11.638949671772428,1.575492341356674,1.99781181619256,1.774617067833698,6.321663019693654,18.932166301969364,-12.170678336980306,18.48140043763676,3.5295404814004376,35728260000.0,34356260000.0,12.405645833333336,6.717100958826848,39.13281489594743,44.05457459926017,4.230198910726972,4.230198910726972,6.45915773641662,31.664755760368664,37.63007667031764,42.36283600493218,0.0201521148804895,0.0226991182889958,0.1778356618517641,0.0453927287013811,-1.264516129032258,0.8784674971213231,7.216216216216216,1.225503355704698,0.0003918466782317,0.0194444444444444,0.0,0.0646738108667042,0.4295687388558131,0.1117196056955093,0.0191765369430344,0.7285714285714285,0.006204173716864,25.595690243837115,0.02997794625068,0.0381456953642384,-39.18052516411379,-1161000000.0,-5562000000.0,-16045000000.0,15603000000.0,3884000000.0,2966500000.0,2031500000.0,60.30456852791878,89.34954007884362,57.32917214191853,1.4924242424242424,1.0072799470549303,1.5698813821557505,0.0852474544162917,0.2231947483588621,2025-02-13,1.26,bmo,5331287892.0,2025-05-11,2024-12-31,0.1507936507936507,85.00171875,2951148.84375
2024-09-30,GEHC,USD,1932393,2024-10-30,2024-10-30 06:32:42,2024,Q3,4863000000.0,2838000000.0,2025000000.0,0.4164096237,316000000,0.0,0.0,1034000000.0,0.0,1349000000.0,4187000000.0,5000000.0,130000000.0,143000000.0,933000000.0,0.1918568785,676000000.0,0.1390088423,-18000000.0,658000000.0,0.1353074234,168000000.0,471000000.0,0.096853794,1.03,1.02,457000000,459000000,https://www.sec.gov/Archives/edgar/data/1932393/000193239324000050/0001932393-24-000050-index.htm,https://www.sec.gov/Archives/edgar/data/1932393/000193239324000050/gehc-20240930.htm,10.641137855579869,1.0306345733041575,1.6148796498905909,1.4179431072210065,7.768052516411379,18.62582056892779,-12.599562363238512,18.199124726477024,23.770240700218817,42889450000.0,50072450000.0,22.7651008492569,8.819545548015629,58.11578590785907,66.18742283950617,5.156841409161958,5.156841409161958,10.29661731441497,53.66822079314041,67.84884823848239,77.27229938271606,0.0109817216121913,0.01510861062569,1.2904893591439222,0.3170285039137498,7.69882100750268,1.2269896193771626,5.2,1.50920245398773,0.0003031048427993,0.0276008492569002,0.0,0.0649804647337034,0.4215034706837985,0.1219512195121951,0.0185070943861813,0.6293706293706294,0.004523956405511,20.543236376167467,0.0191372079573901,0.0240490171049272,-38.46389496717724,1968000000.0,-5758000000.0,-14705000000.0,18777000000.0,4131000000.0,2867500000.0,2073500000.0,77.80382479950647,92.31501057082453,67.35729386892177,1.156755470980019,0.9749227069735488,1.3361581920903955,0.0566309967536371,0.1969365426695842,2024-10-30,1.05,bmo,4868338823.0,2025-04-25,2024-09-30,0.0857142857142855,83.9359375,2894372.796875
2024-06-30,GEHC,USD,1932393,2024-07-31,2024-07-31 06:26:17,2024,Q2,4839000000.0,2844000000.0,1995000000.0,0.4122752635,327000000,0.0,0.0,1004000000.0,99000000.0,1331000000.0,4175000000.0,0.0,131000000.0,150000000.0,862000000.0,0.1781359785,664000000.0,0.1372184336,-86000000.0,578000000.0,0.1194461666,143000000.0,428000000.0,0.0884480265,0.94,0.93,457000000,459000000,https://www.sec.gov/Archives/edgar/data/1932393/000193239324000044/0001932393-24-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1932393/000193239324000044/gehc-20240630.htm,10.588621444201314,0.936542669584245,-0.2603938730853392,-0.4004376367614879,4.407002188183808,17.49671772428884,-13.818380743982496,17.070021881838073,21.428884026258206,34850820000.0,42498820000.0,20.35678738317757,7.202070675759455,-292.8640336134454,-190.44163934426228,4.467481092167671,4.467481092167671,8.782562512915892,49.30257540603248,-357.1329411764706,-232.23398907103825,0.0122809162022586,-0.0052509524883489,1.238559159082169,0.3033404495793043,8.872389791183295,1.014546766049531,5.068702290076335,-0.2780373831775701,0.0004017122122234,0.0327102803738317,0.0,0.0675759454432734,0.4492967474569885,-0.5378151260504201,0.0132258731142798,0.4266666666666667,0.0074395536267823,18.965840000360053,0.0202694566151944,0.0243999771962829,-38.92122538293216,121000000.0,-6315000000.0,-15417000000.0,16890000000.0,4075000000.0,2877500000.0,2006000000.0,75.47427154370737,89.36708860759494,64.01898734177215,1.1924593395761458,1.0070821529745042,1.4058329214038556,0.0548647609280861,0.1400437636761488,2024-07-31,0.98,bmo,4875676818.0,2025-04-25,2024-06-30,0.0204081632653061,81.56539682539682,2788099.571428572
2024-03-31,GEHC,USD,1932393,2024-04-30,2024-04-30 06:27:02,2024,Q1,4650000000.0,2749000000.0,1901000000.0,0.4088172043,324000000,0.0,0.0,1038000000.0,108000000.0,1362000000.0,4111000000.0,0.0,138000000.0,148000000.0,792000000.0,0.1703225806,540000000.0,0.1161290323,-28000000.0,512000000.0,0.1101075269,124000000.0,374000000.0,0.0804301075,0.82,0.81,456000000,459000000,https://www.sec.gov/Archives/edgar/data/1932393/000193239324000034/0001932393-24-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1932393/000193239324000034/gehc-20240331.htm,10.197368421052632,0.8201754385964912,0.918859649122807,0.6008771929824561,5.594298245614035,16.664473684210527,-14.258771929824562,16.24561403508772,21.50438596491228,40825680000.0,47942680000.0,27.28989304812834,8.779716129032257,97.43599045346062,148.99883211678832,5.511025917926566,5.511025917926566,10.31025376344086,60.53368686868687,114.4216706443914,174.97328467153284,0.0091609006879983,0.0067114620013677,1.3050755939524838,0.300173869846001,8.98611111111111,1.058020092561237,3.9130434782608696,1.0798969072164948,0.0003429214161282,0.0374331550802139,0.0,0.0696774193548387,0.4378104818678589,0.3460620525059666,0.0311827956989247,0.9797297297297296,0.0073118279569892,17.31460962225805,0.0167246505640019,0.0206549953056828,-39.46162280701754,514000000.0,-6502000000.0,-15236000000.0,17060000000.0,4203500000.0,2939000000.0,1974500000.0,79.2,95.9585303746817,65.11822480902147,1.1363636363636365,0.9379051518253156,1.3821015585721468,0.0504859611231101,0.3179824561403508,2024-04-30,0.91,bmo,4801373440.0,2025-04-25,2024-03-31,-0.0109890109890109,83.2072131147541,3617844.2622950817
2023-12-31,GEHC,USD,1932393,2024-02-06,2024-02-06 06:26:57,2023,Q4,5206000000.0,3050000000.0,2156000000.0,0.4141375336,315000000,0.0,0.0,1152000000.0,42000000.0,1467000000.0,4517000000.0,7000000.0,131000000.0,144000000.0,991000000.0,0.1903572801,689000000.0,0.1323472916,-80000000.0,609000000.0,0.1169804072,193000000.0,403000000.0,0.07741068,0.89,0.88,455000000,458000000,https://www.sec.gov/Archives/edgar/data/1932393/000193239324000013/0001932393-24-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1932393/000193239324000013/gehc-20231231.htm,11.441758241758242,0.8857142857142857,2.3076923076923075,2.101098901098901,5.481318681318681,16.065934065934066,-15.118681318681318,15.676923076923076,21.964835164835165,35180600000.0,42549600000.0,21.824193548387097,6.757702650787553,33.50533333333333,36.79979079497908,4.9320902845927375,4.9320902845927375,8.17318478678448,42.93602421796165,40.523428571428575,44.50794979079498,0.0114551770009607,0.0271740675258523,1.3827281648675172,0.3039070684661367,7.435923309788093,1.0477675091860594,5.259541984732825,2.5240384615384617,0.0003695218387406,0.032258064516129,0.0,0.0605071071840184,0.4372034263881185,0.0895238095238095,0.0180560891279293,0.6527777777777778,0.0063388398002305,17.67536934037536,0.019140549116807,0.0220640569395017,-40.51373626373626,429000000.0,-6879000000.0,-15734000000.0,17118000000.0,4231000000.0,2860500000.0,2044000000.0,74.59661928543987,86.96065573770493,57.83606557377049,1.2064889918887602,1.0349507974211063,1.5561224489795915,0.0564979671947287,0.2065934065934065,2024-02-06,1.07,bmo,5093599885.0,2025-04-25,2023-12-31,0.1028037383177568,70.03031746031746,2559157.111111111
2023-09-30,GEHC,USD,1932393,2023-10-31,2023-10-31 06:34:03,2023,Q3,4822000000.0,2887000000.0,1935000000.0,0.4012857735,322000000,0.0,0.0,996000000.0,157000000.0,1318000000.0,4205000000.0,6000000.0,138000000.0,153000000.0,927000000.0,0.1922438822,617000000.0,0.1279552053,19000000.0,636000000.0,0.1318954791,250000000.0,375000000.0,0.0777685608,0.82,0.82,455000000,458000000,https://www.sec.gov/Archives/edgar/data/1932393/000193239323000125/0001932393-23-000125-index.htm,https://www.sec.gov/Archives/edgar/data/1932393/000193239323000125/gehc-20230930.htm,10.597802197802196,0.8241758241758241,1.4285714285714286,1.2527472527472527,5.314285714285714,15.696703296703296,-15.613186813186813,15.672527472527472,22.852747252747253,30958200000.000004,38800200000.0,20.638800000000003,6.420199087515554,47.628,54.312631578947375,4.34135464871687,4.34135464871687,8.04649523019494,41.85566343042071,59.69261538461539,68.07052631578948,0.0121131073512025,0.0184119231738279,1.438788388725284,0.3168426903835464,8.459546925566343,1.2515532055518837,4.471014492753623,1.6839378238341969,0.0004522226744448,0.0373333333333333,0.0,0.0667772708419742,0.4399357667840158,0.123076923076923,0.0165906262961426,0.5228758169934641,0.0060141020323517,17.04789314103778,0.0150849401167869,0.0206771063078958,-40.98406593406593,1903000000.0,-7104000000.0,-15772000000.0,18504000000.0,4143500000.0,2804500000.0,2196000000.0,77.40149315636666,86.47731208867337,66.33875995843437,1.1627682662165422,1.0407354001441962,1.356672932330827,0.0525872949095498,0.1758241758241758,2023-10-31,0.9,bmo,4804396462.0,2025-04-25,2023-09-30,0.0999999999999999,72.75746031746033,3010258.698412698
2023-06-30,GEHC,USD,1932393,2023-07-25,2023-07-25 06:40:34,2023,Q2,4817000000.0,2877000000.0,1940000000.0,0.4027402948,298000000,0.0,0.0,1072000000.0,137000000.0,1370000000.0,4247000000.0,137000000.0,137000000.0,156000000.0,848000000.0,0.1760431804,570000000.0,0.1183309114,0.0,570000000.0,0.1183309114,137000000.0,418000000.0,0.0867760017,0.92,0.91,455000000,458000000,https://www.sec.gov/Archives/edgar/data/1932393/000193239323000112/0001932393-23-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1932393/000193239323000112/gehc-20230630.htm,10.586813186813188,0.9186813186813186,-0.1472527472527472,-0.3010989010989011,4.2615384615384615,16.094505494505494,-15.448351648351649,15.608791208791208,22.802197802197803,36964200000.0,45263200000.0,22.107775119617223,7.673697321984638,-551.7044776119402,-269.8116788321168,5.204759222754154,5.204759222754154,9.39655387170438,53.37641509433962,-675.5701492537313,-330.3883211678832,0.0113082387823894,-0.0037062887875295,1.4415657561250352,0.3168580359629847,9.786556603773583,1.2188365650969528,4.160583941605839,-0.1547344110854503,0.0003787448396015,0.0334928229665071,0.0,0.0618642308490761,0.4441830955402185,-1.044776119402985,0.0145318663068299,0.4487179487179487,0.0058127465227319,17.962150763231495,0.0175055589246007,0.0232752380422072,-41.34505494505495,1659000000.0,-7029000000.0,-15748000000.0,18368000000.0,4118500000.0,2906000000.0,2260000000.0,77.35104837035499,88.6861313868613,70.8237747653806,1.1635265700483093,1.0148148148148148,1.2707597173144876,0.0588566600957476,0.1538461538461538,2023-07-25,0.87,bmo,4792289429.0,2025-04-25,2023-06-30,0.0574712643678161,79.79854838709677,3007183.4677419355
2023-03-31,GEHC,USD,1932393,2023-04-25,2023-04-25 06:25:58,2023,Q1,4707000000.0,2816000000.0,1891000000.0,0.4017420863,270000000,0.0,0.0,1062000000.0,106000000.0,1332000000.0,4148000000.0,13000000.0,136000000.0,157000000.0,839000000.0,0.1782451668,559000000.0,0.1187592947,-13000000.0,546000000.0,0.1159974506,163000000.0,372000000.0,0.0790312301,0.42,0.41,454000000,457000000,https://www.sec.gov/Archives/edgar/data/1932393/000193239323000087/0001932393-23-000087-index.htm,https://www.sec.gov/Archives/edgar/data/1932393/000193239323000087/gehc-20230331.htm,10.36784140969163,0.8193832599118943,1.0308370044052864,0.7158590308370044,5.118942731277533,14.748898678414095,-17.008810572687224,14.73568281938326,22.852422907488982,37241620000.0,45156620000.0,25.027970430107526,7.91196515827491,79.57611111111112,114.5896,5.566759342301944,5.566759342301944,9.59350329296792,53.8219547079857,96.48850427350428,138.94344615384617,0.0099888243314871,0.008726795450896,1.530493273542601,0.3137236878389557,9.433849821215732,1.1661000485672657,4.110294117647059,1.2219321148825066,0.0,0.0,0.0,0.0573613766730401,0.4417685449030242,0.3055555555555556,0.0303802846823879,0.910828025477707,0.0050987890376035,16.48238047356673,0.016066501992094,0.0204182446896097,-42.767070484581495,1368000000.0,-7722000000.0,-16337000000.0,18113000000.0,4045000000.0,2960500000.0,2205500000.0,78.33652007648183,95.1455965909091,72.10227272727273,1.1488894312911886,0.9459187101108498,1.24822695035461,0.0556053811659192,0.3149779735682819,2023-04-25,0.79,bmo,4634000000.0,2025-04-25,2023-03-31,0.0759493670886075,71.39967741935483,3289891.1129032257
2022-12-31,GEHC,USD,1932393,2023-02-15,2023-02-15 08:46:32,2022,Q4,4938000000.0,3006000000.0,1932000000.0,0.3912515188,271000000,0.0,0.0,884000000.0,-18000000.0,1155000000.0,4161000000.0,0.0,59000000.0,157000000.0,938000000.0,0.1899554475,620000000.0,0.1255569056,-59000000.0,718000000.0,0.1454029972,151000000.0,554000000.0,0.1121911705,1.22,1.22,453926139,453926139,https://www.sec.gov/Archives/edgar/data/1932393/000193239323000025/0001932393-23-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1932393/000193239323000025/gehc-20221231.htm,10.878421786589382,1.220462873586577,2.295527643099663,2.12589652168059,3.183337278578707,20.62450076266703,-10.951120838626128,20.613485754782676,18.302537100644912,26500207994.82,33304207994.82,11.958577614990975,5.366587281251519,25.43206141537428,27.46135543504663,2.8321265357294005,2.8321265357294005,6.744473064969624,35.50555223328358,31.96181189522073,34.51213263711917,0.0209054962930211,0.0364148085248473,0.8815859784118841,0.2995388358328189,7.253731343283582,1.1567236823807536,10.508474576271189,1.837742504409171,0.0,0.0,0.0,0.0548805184285135,0.520461890409964,0.0738963531669865,0.0155933576346699,0.4904458598726114,0.0018226002430133,23.79190758063875,0.0239219244566938,0.0419506285021959,-27.889449212793625,1127000000.0,-4971000000.0,-9859000000.0,17774000000.0,3819000000.0,2815500000.0,2177500000.0,72.7764277035237,88.1437125748503,64.52095808383234,1.236664162283997,1.0210597826086956,1.3948955916473318,0.0592070107940579,0.169631121419073,2023-01-30,,bmo,4900000000.0,2025-04-25,2022-12-31,,57.621818181818185,791145.6363636364
