date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,GM,USD,1467858,2025-05-01,2025-05-01 16:13:34,2025,Q1,44020000000.0,38682000000.0,5338000000.0,0.1212630622,0,0.0,0.0,1985000000.0,0.0,1985000000.0,40668000000.0,0.0,152000000.0,2934000000.0,6659000000.0,0.151272149,3352000000.0,0.0761472058,220000000.0,3572000000.0,0.0811449341,719000000.0,2784000000.0,0.06324398,3.4,3.35,988000000,1002000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785825000096/0001467858-25-000096-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785825000096/gm-20250331.htm,44.55465587044535,2.817813765182186,6.134615384615385,0.0334008097165991,27.822874493927124,67.2327935222672,62.6578947368421,65.15384615384616,134.44331983805668,46465640000.0,158573640000.0,4.172561063218391,1.0555574738755111,7.666332288401254,1408.049696969697,0.7218299881936245,0.7218299881936245,3.602308950477056,23.813431446163086,26.162950008249464,4805.261818181818,0.0599152405949858,0.0007102022053284,2.0611135276207047,0.4703159118622919,16.835560895029285,1.2122274014567975,22.05263157894737,2.1244304241149665,0.0037662238161359,0.0628591954022988,0.0,0.0,0.0160224598020588,0.9945553539019965,0.1369377555656519,2.05453306066803,0.0,64.27135133404757,0.0139909662238822,0.0100293965070032,-137.62424089068827,19259000000.0,61906000000.0,-105672000000.0,108146000000.0,36140000000.0,26314000000.0,14908500000.0,121.55315765561107,62.69892973476036,35.4885993485342,0.7404167998250719,1.4354312008312304,2.5360256998623223,0.0432486174112968,6.101214574898785,2025-04-29,2.68,bmo,43233587048.0,2025-05-11,2025-03-31,0.0373134328358207,49.28333333333333,13578326.633333333
2024-12-31,GM,USD,1467858,2025-01-28,2025-01-28 15:40:05,2024,Q4,47702000000.0,42851000000.0,4851000000.0,0.1016938493,0,0.0,0.0,3329000000.0,0.0,3329000000.0,46180000000.0,211000000.0,215000000.0,3233000000.0,891000000.0,0.0186784621,1522000000.0,0.031906419,-4078000000.0,-2556000000.0,-0.053582659,318000000.0,-2961000000.0,-0.0620728691,-1.55,-1.53,1115500000,1130000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785825000032/0001467858-25-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785825000032/gm-20241231.htm,42.76288659793814,-2.6544150605109817,3.711340206185567,-2.805020170327208,24.32720753025549,58.7987449574182,54.71985656656208,56.54146122814881,117.35365307037203,59422685000.0,170243685000.0,-5.017112884160756,1.2457063645130184,14.353305555555556,-18.990950782997764,0.942140490233384,0.942140490233384,3.568900360571884,191.07035353535355,41.12166304347826,-54.40833652924257,-0.0498294548622298,-0.0526566579749804,2.0721239218670724,0.467159468260408,124.37822671156005,1.127564535397081,7.079069767441861,-1.440501043841336,0.0021372309245198,-0.0428909152313407,0.0,0.0,0.0162638823853217,1.7557971014492753,0.1523835478596285,2.2483761212496134,0.0,,0.0093263984365421,-0.0107590176264756,-152.51613626176604,12280000000.0,61040000000.0,-105626000000.0,100320000000.0,35531000000.0,27654500000.0,15944500000.0,24.200872080835182,53.93573078807962,30.58878439242958,3.718874249629687,1.6686526479750778,2.942254875034332,-0.0469463470319634,6.516360376512774,2025-01-28,1.75,bmo,44982066766.0,2025-04-28,2024-12-31,0.0971428571428571,52.37296875,12057924.390625
2024-09-30,GM,USD,1467858,2024-10-22,2024-10-22 16:02:11,2024,Q3,48756000000.0,42360000000.0,6396000000.0,0.1311838543,0,0.0,0.0,2745000000.0,0.0,2745000000.0,45105000000.0,394000000.0,206000000.0,2872000000.0,6795000000.0,0.1393674625,3651000000.0,0.0748830913,66000000.0,3717000000.0,0.0762367709,709000000.0,3056000000.0,0.0626794651,2.71,2.68,1116000000,1131000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785824000117/0001467858-24-000117-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785824000117/gm-20240930.htm,43.68817204301075,2.738351254480287,6.147849462365591,0.7724014336917563,28.871863799283155,66.45340501792114,62.20161290322581,63.56182795698925,114.74641577060932,50041440000.0,154148440000.0,4.093704188481675,1.0263647551070638,7.29360734586795,58.05271461716937,0.7054548530344682,0.7054548530344682,3.1616301583394866,22.68556880058867,22.46734295292232,178.8264965197216,0.0610693856931375,0.0172257233205119,1.8023683654049485,0.4419490544058018,15.32111846946284,1.2090443417868704,17.723300970873787,2.2450916230366493,0.0038368200435479,0.06282722513089,0.0,0.0,0.0164022828382689,0.8743623378516251,0.1230412667158913,2.0887883008356547,0.0,62.57977912049017,0.0128467101971688,0.0107399910031488,-116.99574372759857,19956000000.0,69417000000.0,-99708000000.0,107162000000.0,57212000000.0,29195500000.0,17465000000.0,107.49753876445976,62.95113314447592,36.80949008498583,0.8372284708508629,1.42968038070809,2.445021645021645,0.0430816945090575,5.375448028673835,2024-10-22,2.43,bmo,44670715458.0,2025-04-25,2024-09-30,0.2181069958847735,46.34546875,13713390.953125
2024-06-30,GM,USD,1467858,2024-07-23,2024-07-23 15:23:42,2024,Q2,47969000000.0,41724000000.0,6245000000.0,0.1301882466,0,0.0,0.0,2372000000.0,3109000000.0,2372000000.0,44096000000.0,60000000.0,206000000.0,3486000000.0,7335000000.0,0.1529112552,3873000000.0,0.0807396444,-230000000.0,3643000000.0,0.0759448811,767000000.0,2933000000.0,0.0611436553,2.57,2.54,1136000000,1147000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785824000102/0001467858-24-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785824000102/gm-20240630.htm,42.2262323943662,2.5818661971830985,5.259683098591549,-0.5695422535211268,29.472711267605632,63.2931338028169,59.08714788732394,60.416373239436616,111.4806338028169,53028480000.0,154296480000.0,4.519986362086601,1.1054739519272865,8.875059414225943,-81.96055641421947,0.772638235251264,0.772638235251264,3.216587379349163,21.03564826175869,25.823678661087865,-238.47987635239568,0.0553099013963817,-0.0122009908637773,1.842204187489983,0.4468397913456509,13.806134969325154,1.1751308159349014,18.800970873786408,2.036468984321745,0.0025646595942406,0.0463689055574497,0.0,0.0,0.016886017614046,1.1082845188284518,0.1380474890033146,1.8995983935742973,0.0036273426588004,59.242782818029625,0.0135476187552242,0.0105436087684863,-111.46985035211269,16701000000.0,67123000000.0,-98991000000.0,102969000000.0,55822500000.0,29077500000.0,17569000000.0,105.42246033896892,62.04055220017256,37.97454702329595,0.8537080211429283,1.4506640706487728,2.370008520306731,0.0427345446068217,5.829225352112676,2024-07-23,2.75,bmo,45406416865.0,2025-04-25,2024-06-30,0.1127272727272727,45.14698412698412,13939592.523809524
2024-03-31,GM,USD,1467858,2024-04-23,2024-04-23 15:03:48,2024,Q1,43014000000.0,37102000000.0,5912000000.0,0.137443623,0,0.0,0.0,2175000000.0,3106000000.0,2175000000.0,39277000000.0,302000000.0,219000000.0,2798000000.0,6732000000.0,0.1565071837,3737000000.0,0.0868786907,-23000000.0,3715000000.0,0.0863672293,762000000.0,2980000000.0,0.0692797694,2.57,2.56,1155000000,1162000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785824000076/0001467858-24-000076-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785824000076/gm-20240331.htm,37.24155844155844,2.58008658008658,2.72987012987013,-2.6545454545454548,24.883116883116884,61.127272727272725,56.95151515151515,57.660606060606064,106.02251082251082,52437000000.0,153779000000.0,4.399077181208053,1.2190682103501185,16.630827783063747,-17.102739726027398,0.7873659869665756,0.7873659869665756,3.5750918305667923,22.84298871063577,48.77228036790358,-50.156229615133725,0.0568301008829643,-0.0584701641970364,1.8354455088741404,0.4419413502247,15.05377302436126,1.1600945770726871,17.06392694063927,1.0580536912751677,0.0037759597230962,0.0664429530201342,0.0,0.0,0.0174372991167463,1.972407231208373,0.1445808341470218,2.222659042172981,0.0,57.85594617387347,0.0134539040861285,0.0109652350534279,-109.86190476190475,14693000000.0,65779000000.0,-99519000000.0,101045000000.0,53455000000.0,28753500000.0,16997000000.0,116.03291951457663,71.29992992291521,42.53059134278476,0.7756419503750721,1.2622733303847855,2.1161238806821423,0.0447460884711252,5.384415584415584,2024-04-23,2.15,bmo,41094156454.0,2025-04-25,2024-03-31,0.2186046511627908,38.75262295081967,18506936.80327869
2023-12-31,GM,USD,1467858,2024-01-30,2024-01-30 15:40:20,2023,Q4,42979000000.0,39670000000.0,3309000000.0,0.0769910887,9900000000,-1209000000.0,3600000000.0,2391000000.0,8442000000.0,2391000000.0,42061000000.0,86000000.0,0.0,2999000000.0,4357000000.0,0.1013750902,918000000.0,0.0213592685,218000000.0,1136000000.0,0.0264315131,-858000000.0,2101000000.0,0.0488843389,1.59,1.59,1302000000,1307000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785824000031/0001467858-24-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785824000031/gm-20231231.htm,33.0099846390169,1.6136712749615976,2.808755760368664,-2.643625192012289,20.327188940092167,52.46313364055299,48.745007680491554,49.374807987711215,94.19969278033794,46767840000.0,150562840000.0,5.564950023798192,1.088155610879732,12.788580803937654,-13.587402672864611,0.7274965000155555,0.7274965000155555,3.5031722469112823,34.55653890291485,41.17113480995352,-43.74283556072052,0.044924033267305,-0.0735975832965559,1.9078492984475623,0.4491547769021182,23.82258434702777,1.0759489650060885,0.0,1.8340020060180544,0.0022237503378389,0.0495002379819133,-0.0281300169850392,0.2303450522348123,0.0177284446137169,1.941208640962537,0.1651736894762558,2.253650793650793,0.0061425347262616,42.340063303230494,0.0073876101668812,0.0078330344526755,-100.97542242703533,7173000000.0,63466000000.0,-103139000000.0,92917000000.0,50800500000.0,29250500000.0,17100500000.0,107.7470392517276,63.78270733551802,37.34534913032518,0.8352897733898239,1.4110407626093762,2.409938642852804,0.0326820769685468,5.4523809523809526,2024-01-30,1.16,bmo,35812800000.0,2025-04-25,2023-12-31,0.0689655172413793,30.925873015873016,20086671.063492063
2023-09-30,GM,USD,1467858,2023-10-24,2023-10-24 15:39:59,2023,Q3,44131000000.0,35842000000.0,8289000000.0,0.187827151,0,0.0,0.0,2344000000.0,2932000000.0,5276000000.0,41118000000.0,453000000.0,2933000000.0,2992000000.0,6684000000.0,0.1514581587,3013000000.0,0.0682740024,451000000.0,3464000000.0,0.0784935759,470000000.0,3064000000.0,0.0694296526,2.21,2.2,1372000000,1378000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785823000107/0001467858-23-000107-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785823000107/gm-20230930.htm,32.16545189504373,2.2332361516034984,4.807580174927113,0.4387755102040816,25.41909620991253,57.38119533527697,53.80466472303207,54.28206997084549,88.7798833819242,45234840000.0,138883840000.0,3.69083224543081,1.0250128027916885,6.857919951485749,75.14093023255813,0.6073828801611278,0.6073828801611278,3.147081190093132,20.778551765409933,21.055767131594905,230.7040531561462,0.0677354004126023,0.0133083260601783,1.5961463578382007,0.4219768907190145,14.010921603830042,1.1435757074984507,1.0272758267984998,2.2038088874039423,0.0040234474135423,0.0593994778067885,0.0,0.0,0.0174189311513817,0.9087325651910249,0.1358228909383426,2.003342245989305,0.0045093018513063,52.226002369147146,0.0116499383246596,0.0110694441433825,-88.64631924198251,13901000000.0,73820000000.0,-92257000000.0,99268000000.0,49327500000.0,30093500000.0,17826000000.0,102.26892660488092,76.30238267953797,44.54550527314324,0.880032703850679,1.1795175568499687,2.020405862457723,0.0411413225914736,4.368804664723032,2023-10-24,1.88,bmo,43677300000.0,2025-04-25,2023-09-30,0.2127659574468084,35.530793650793655,12593244.904761905
2023-06-30,GM,USD,1467858,2023-07-25,2023-07-25 16:15:52,2023,Q2,44747000000.0,39400000000.0,5347000000.0,0.1194940443,0,0.0,0.0,2558000000.0,2768000000.0,2558000000.0,41958000000.0,358000000.0,226000000.0,2936000000.0,6190000000.0,0.1383332961,2789000000.0,0.0623282008,240000000.0,3029000000.0,0.0676916888,522000000.0,2566000000.0,0.0573446265,1.83,1.83,1385000000,1389000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785823000098/0001467858-23-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785823000098/gm-20230630.htm,32.30830324909747,1.8527075812274367,5.48086642599278,1.1978339350180505,23.55956678700361,54.853429602888085,51.27942238267148,51.73646209386282,85.39277978339351,53405600000.0,148374600000.0,5.20319563522993,1.1935012403066128,7.035384007377158,32.19144062688366,0.7453157490754309,0.7453157490754309,3.3158558115627863,23.97004846526656,19.546120405743643,89.43616636528029,0.0480473957787198,0.0310641580658208,1.6473798060149327,0.4279509703334989,15.34232633279483,1.151923035440799,12.34070796460177,3.02792181890706,0.0023593031442395,0.049103663289166,0.0,0.0,0.0179456410219226,0.7814517191410881,0.1325675464276934,2.021813224267212,0.0038885288399222,46.44009097548879,0.010502905979441,0.0094727243865432,-88.0101083032491,14086000000.0,71022000000.0,-93057000000.0,98537000000.0,47246500000.0,29365500000.0,17835000000.0,97.5645294656625,68.07106598984771,40.91573604060913,0.9224663972952916,1.3221476510067114,2.199642697632872,0.0358104807759402,4.283032490974729,2023-07-25,1.85,bmo,42643100000.0,2025-04-25,2023-06-30,0.0324324324324323,34.58387096774193,13983966.822580645
2023-03-31,GM,USD,1467858,2023-04-25,2023-04-25 14:54:45,2023,Q1,39985000000.0,34859000000.0,5126000000.0,0.1281980743,0,0.0,0.0,2547000000.0,1000000.0,2548000000.0,37407000000.0,409000000.0,234000000.0,2812000000.0,5821000000.0,0.1455795923,2578000000.0,0.0644741778,197000000.0,2775000000.0,0.0694010254,428000000.0,2395000000.0,0.0598974615,1.7,1.69,1396000000,1402000000,https://www.sec.gov/Archives/edgar/data/1467858/000146785823000075/0001467858-23-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785823000075/gm-20230331.htm,28.64255014326648,1.7156160458452725,2.210601719197708,-1.7901146131805157,20.206303724928368,53.174785100286535,49.61604584527221,50.05515759312321,82.1310888252149,51205280000.0,147399280000.0,5.34501878914405,1.2806122295860949,16.592767336357745,-20.4903081232493,0.7327916195600841,0.7327916195600841,3.686364386644992,25.321985913073355,47.76386260531432,-58.98330532212885,0.0467725203338405,-0.0488035608827839,1.6374629706484252,0.4285366511363125,16.525339288781996,1.095880689693408,11.017094017094015,1.3154305200341003,0.0036129086687935,0.0772442588726513,0.0,0.0,0.0186064628245269,1.8097861309138044,0.1396773790171314,1.986130867709815,0.0,43.9567652329162,0.0101968112245435,0.0091399655009235,-86.81679799426934,8647000000.0,69264000000.0,-93940000000.0,92358000000.0,46470500000.0,28208500000.0,16562000000.0,103.50506439914967,74.69491379557647,45.848131042198574,0.8695226704360117,1.2049013169264802,1.9630025903818,0.034274510926342,4.000716332378223,2023-04-25,1.73,bmo,38950100000.0,2025-04-25,2023-03-31,0.2774566473988439,37.80838709677419,15511129.758064516
2022-12-31,GM,USD,1467858,2023-01-31,2023-01-31 15:50:27,2022,Q4,43108000000.0,37105000000.0,6003000000.0,0.1392548947,9800000000,-607000000.0,4000000000.0,3393000000.0,8862000000.0,3393000000.0,40498000000.0,0.0,53000000.0,2767000000.0,5858000000.0,0.1358912499,2611000000.0,0.0605688039,-23000000.0,2588000000.0,0.0600352603,580000000.0,1999000000.0,0.0463719031,1.42,1.39,1400000000,1427338129,https://www.sec.gov/Archives/edgar/data/1467858/000146785823000029/0001467858-23-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1467858/000146785823000029/gm-20221231.htm,30.79142857142857,1.427857142857143,4.017142857142857,-0.4057142857142857,22.359285714285715,51.63142857142857,48.10714285714285,48.42285714285714,82.65642857142858,47096000000.0,143609000000.0,5.8899449724862425,1.0925118307506727,8.374110953058322,-82.91549295774648,0.6947132405003541,0.6947132405003541,3.331377006588104,24.51502219187436,25.53502844950213,-252.83274647887325,0.0424452182775607,-0.0120604722269407,1.7061895208874205,0.4380673920700508,16.47541823147832,1.1017625832209097,49.264150943396224,2.802192326856004,0.0026966196704603,0.0635317658829414,-0.0140809130555813,0.2273359933191055,0.01868677495957,1.10099573257468,0.1436392316971327,2.235379061371841,0.0120395286257771,39.441992281096056,0.0095497484655814,0.0077150785594917,-83.96428571428571,9278000000.0,67350000000.0,-91302000000.0,92162000000.0,46013000000.0,27186000000.0,15866500000.0,98.03377563329312,66.66864304002156,37.27098773750168,0.9180509413067552,1.3499599796259911,2.4147468436808537,0.029487255133349,4.422857142857143,2023-01-31,1.68,bmo,39956590855.0,2025-04-25,2022-12-31,0.261904761904762,36.9568253968254,13612664.587301588
