date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,GNRC,USD,1474735,2025-04-30,2025-04-30 06:01:33,2025,Q1,942121000.0,570135000.0,371986000.0,0.3948388795,62048000,74746000.0,126065000.0,200811000.0,25489000.0,288348000.0,858483000.0,0.0,-17110000.0,42234000.0,83638000.0,0.0887762825,83638000.0,0.0887762825,-25124000.0,58514000.0,0.0621087949,14236000.0,43840000.0,0.0465333009,0.74,0.73,59062534,59747589,https://www.sec.gov/Archives/edgar/data/1474735/000143774925013608/0001437749-25-013608-index.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774925013608/ex_808112.htm,15.9512458439389,0.7422641229717641,0.9845835601974002,0.9845835601974002,3.173991823649151,41.871298647633374,17.148451503960192,41.8069431291248,24.68251700815952,7480269931.1,8767727931.1,42.656648785926095,7.939818697492148,128.63306388602285,128.63306388602285,3.0294011118877835,3.0294011118877835,9.306371401444189,104.82947859944044,150.7725947706012,150.7725947706012,0.0058607510696546,0.00777405100827,0.597322073655529,0.2914604104691002,15.39321839355317,1.9735635994076943,-4.888252483927528,1.31333845250463,0.0,0.0,0.0793380043540054,0.0658599054686181,0.2885499996640617,0.0,0.0,0.0,0.0123211349709856,26.42376514535884,0.0151348580405643,0.0121768983351202,-23.870191549857985,980951000.0,1012831000.0,-598890000.0,3297091000.0,601113500.0,449196000.0,1063364500.0,56.37365051835168,69.40971875082218,172.86674208740035,1.5964905442960753,1.296648389011574,0.5206322448912502,0.0177545658069093,0.0,2025-04-30,0.99,bmo,1064087300.0,2025-05-11,2025-03-31,0.2727272727272727,143.46099999999998,836057.5833333334
2024-12-31,GNRC,USD,1474735,2025-02-19,2025-02-19 16:07:25,2024,Q4,1234801000.0,733384000.0,501417000.0,0.4060710997,59258000,75703000.0,144397000.0,220100000.0,24045000.0,303403000.0,1036787000.0,0.0,19880000.0,43834000.0,208719000.0,0.1690304754,198014000.0,0.1603610622,-53009000.0,145005000.0,0.1174318777,27336000.0,117226000.0,0.0949351353,1.98,1.95,59559797,60350412,https://www.sec.gov/Archives/edgar/data/1474735/000143774925004353/0001437749-25-004353-index.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774925004353/gnrc20241231_10k.htm,20.732122374426496,1.968206842612308,5.699381413271103,4.803911605004295,4.722598366142853,41.93169093574984,17.480852058646203,41.8785510635639,25.11118363952785,9234746524.85,10429206524.85,19.69432234497893,7.478732625621457,27.204706749220808,32.27578122763176,3.702372600347677,3.702372600347677,8.446062584052006,49.96769112946114,30.72347512431729,36.45046317926045,0.0126940138188475,0.0309829835859677,0.5916489661537326,0.2888317472483188,5.722813926858599,1.966961299015053,9.96046277665996,2.8848209808870644,2.956226240377879e-05,0.0023288349001074,0.0613078544639986,0.0479899190233891,0.2850249866371938,0.1571170173278264,0.0431923848458172,1.216726741798604,0.0088905013844336,43.06480166150654,0.038199456685333,0.0320899501894858,-22.76212005893841,999018000.0,1041156000.0,-579718000.0,3313551000.0,635378000.0,441752500.0,1063702500.0,44.61417669729778,56.29025176442355,126.60247564713713,2.01729599563475,1.5988558796406311,0.710886572635795,0.0469979689513358,0.8954698082668079,2025-02-12,2.49,bmo,1245675190.0,2025-05-11,2024-12-31,0.1244979919678713,172.730625,812932.5625
2024-09-30,GNRC,USD,1474735,2024-11-05,2024-11-05 16:10:03,2024,Q3,1173563000.0,701294000.0,472269000.0,0.4024232189,56936000,77242000.0,145310000.0,222552000.0,24157000.0,303645000.0,1004939000.0,0.0,22910000.0,43152000.0,203116000.0,0.1730763495,168624000.0,0.1436855116,-21393000.0,147231000.0,0.1254564092,33453000.0,113742000.0,0.0969202335,1.91,1.89,59493640,60312393,https://www.sec.gov/Archives/edgar/data/1474735/000143774924033337/0001437749-24-033337-index.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774924033337/gnrc20240930_10q.htm,19.725856410870136,1.91183460954818,3.568196533276498,4.488832755904665,3.599998251913986,40.5499142429342,2.835698067894316,40.49910208889556,28.47201818547327,9452349523.2,10909166523.2,20.77585571556681,8.054403149383543,44.52669535388746,35.39450200968332,3.92304993950874,3.92304993950874,9.295765564524444,53.70904568423954,51.389248054266666,40.84958088797522,0.0120331987005801,0.028252975553277,0.6935199438541503,0.3221541645274795,7.172339943677504,2.033769375187597,7.3602793539938896,1.862770046155736,0.0,0.0,0.0658183668026343,0.0485155036414747,0.4325780580801123,0.2580116353015992,0.0466715463933338,1.2692806822395255,0.0111753693666211,41.73871899275838,0.0297636641350423,0.0386459149838796,-25.52263149472784,1053901000.0,168706000.0,-701102000.0,4155286000.0,634485500.0,415554000.0,1123945500.0,50.511485109874805,54.51790547188483,140.62321936306313,1.781772992899101,1.6508337805900022,0.6400081039791633,0.0472068394344077,0.9206362226281668,2024-10-31,1.95,bmo,1233220000.0,2025-04-25,2024-09-30,0.1538461538461538,148.3571875,856812.25
2024-06-30,GNRC,USD,1474735,2024-08-06,2024-08-06 16:09:35,2024,Q2,998197000.0,647427000.0,350770000.0,0.3514035807,53996000,65386000.0,128153000.0,192399000.0,-950000.0,246395000.0,893822000.0,0.0,23318000.0,42880000.0,146115000.0,0.1463789212,104375000.0,0.104563528,-24544000.0,78691000.0,0.0788331361,19638000.0,59115000.0,0.0592217769,0.99,0.97,59880336,60641740,https://www.sec.gov/Archives/edgar/data/1474735/000143774924024883/0001437749-24-024883-index.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774924024883/gnrc20240630_10q.htm,16.669863041516667,0.9872189093928933,1.2969867102950123,0.8301890623993826,3.645888025745213,39.62100346263922,2.346763718894296,39.57414333814025,26.46693565647327,7973665541.76,9316879541.76,33.72099104186755,7.988068028415233,102.6687466749073,160.39719869971034,3.3648233105696765,3.3648233105696765,9.33370821767647,63.76401835376245,119.96394135970334,187.41711340843256,0.007413779734101,0.0062345228476973,0.6589536370016116,0.3050719674221256,9.19285494302433,2.252635177857383,4.4761557594991,1.31377822887592,0.0,0.0,0.0655041038993304,0.0540935306357362,0.436058458560464,0.3599093531108364,0.0280024884867415,0.6518656716417911,0.0127379665536963,29.648570102027332,0.0180962133138762,0.0204793090212196,-24.94845720304576,1143101000.0,140525000.0,-690389000.0,3998042000.0,565523500.0,393824000.0,1167241500.0,55.02819583709428,56.4799429124828,160.16009526942807,1.635525181789285,1.5934860298895386,0.5619377276755375,0.0249460588687322,0.4667976478956297,2024-07-31,1.24,bmo,999970000.0,2025-04-25,2024-06-30,0.0887096774193549,138.20111111111112,1038304.015873016
2024-03-31,GNRC,USD,1474735,2024-05-07,2024-05-07 16:09:09,2024,Q1,889273000.0,572894000.0,316379000.0,0.3557726367,49410000,66764000.0,108586000.0,175350000.0,24750000.0,249510000.0,822404000.0,0.0,23605000.0,41902000.0,108771000.0,0.1223145198,66869000.0,0.0751951313,-28358000.0,38511000.0,0.0433061613,12033000.0,23546000.0,0.0264778083,0.44,0.43,59849362,60486125,https://www.sec.gov/Archives/edgar/data/1474735/000143774924015075/0001437749-24-015075-index.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774924015075/gnrc20240331_10q.htm,14.858520964684637,0.3934210693841649,1.8696606991399507,1.4215356213822297,4.166376911419707,39.756965161967805,2.143414661629977,39.55604405607532,26.480900498154018,7625407212.42,8937312212.42,80.96287280663381,8.57487769494857,68.14605455343259,89.62842582594796,3.220999547360738,3.220999547360738,10.050133325109387,82.16631466493827,79.87016937228547,105.0484521547286,0.0030878350944522,0.011157174643923,0.65948186283372,0.3043676601319421,12.061165200283163,2.287460421583226,2.8328320271129,4.265706007929246,0.0,0.0,0.0750770573266027,0.0555622401669678,0.4388611410034467,0.2396825680530483,0.0301594673401756,0.6400649133692903,0.0139889550228107,18.71227073195117,0.0105507354037289,0.0081803157547684,-25.38067573719499,1156012000.0,128282000.0,-696178000.0,4012625000.0,529020500.0,361035500.0,1174917000.0,52.70063298896964,59.90930259349897,185.7437850632054,1.7077593739497816,1.5022708678596153,0.4845384192497991,0.0099459154415553,0.4481250777577211,2024-05-01,0.72,bmo,885340000.0,2025-04-25,2024-03-31,0.2222222222222222,117.29967213114752,984636.4098360656
2023-12-31,GNRC,USD,1474735,2024-02-21,2024-02-21 16:10:51,2023,Q4,1063670000.0,700206000.0,363464000.0,0.3417074845,44369000,53828000.0,113839000.0,168127000.0,-880000.0,212496000.0,912702000.0,1483000.0,24765000.0,42453000.0,193881000.0,0.1822755178,150968000.0,0.1419312381,-24162000.0,126806000.0,0.1192155462,29996000.0,95967000.0,0.0902225314,1.59,1.57,60391678,61038694,https://www.sec.gov/Archives/edgar/data/1474735/000143774924005040/0001437749-24-005040-index.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774924005040/gnrc20231231_10k.htm,17.612857188700733,1.5890765611778497,5.248173432107649,3.858346178094273,3.328173792422194,38.9063373930428,1.178291485790476,38.75123324110981,26.493418513723032,7805020464.72,9179243464.72,20.33256344555941,7.337821377607717,24.625710577574733,33.49621678162498,3.33511966434384,3.33511966434384,8.629785050551394,47.34472931705531,28.961537500773005,39.39386582974268,0.0122955475176249,0.029854117750652,0.6730971707320408,0.309271648781775,7.087971487665114,2.268117365353764,6.096022612558046,3.2809805281518827,0.0,0.0,0.0506059210093356,0.0417131253114217,0.4473434967266879,0.2648211367236059,0.0789098122538005,1.977104091583633,0.0048755723109611,37.22257675597069,0.026376935139016,0.0340930890860336,-25.764642605227827,1116921000.0,71159000.0,-746001000.0,3993958000.0,563271000.0,367443500.0,1239306500.0,45.46376225709101,43.79384066974576,150.06092492780695,1.979598597473368,2.055083514567723,0.5997563992311672,0.041007122309905,1.3898272540133758,2024-02-14,2.1,bmo,1093590000.0,2025-04-25,2023-12-31,-0.0142857142857144,109.70587301587302,1189174.2063492064
2023-09-30,GNRC,USD,1474735,2023-11-07,2023-11-07 16:08:38,2023,Q3,1070667000.0,694880000.0,375787000.0,0.3509840128,43312000,83052000.0,117929000.0,200981000.0,-1167000.0,271011000.0,965891000.0,1160000.0,24707000.0,42951000.0,147727000.0,0.1379766071,104776000.0,0.0978604926,-24714000.0,80062000.0,0.0747776853,19428000.0,60331000.0,0.0563489862,0.98,0.97,61368440,62091163,https://www.sec.gov/Archives/edgar/data/1474735/000143774923030646/0001437749-23-030646-index.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774923030646/gnrc20230930_10q.htm,17.446540925596285,0.983094893727134,2.28351902052586,1.895404217542437,2.632053218233998,38.65384226811045,1.4692894262914291,38.519929788014814,28.6280211783125,6686705222.4,8257330222.4,27.708413677877044,6.245364079027373,47.71582764171947,57.48641845973968,2.8286655920619586,2.8286655920619586,7.7123234604223345,55.89587700555754,58.923690003996114,70.98927270413866,0.0090225302287732,0.0173954131565935,0.7327484825974615,0.3352759719112617,10.631942705124994,2.4075807637868936,4.240741490265917,2.311178546689976,0.0,0.0,0.0775703369955364,0.0404532875301097,0.4416971314901591,0.1699634640634812,0.0222459457515735,0.5545388931573189,0.0092717903886082,29.18984054992104,0.0181106623499036,0.0209164316944039,-25.016213545594447,1266955000.0,90168000.0,-627166000.0,4249107000.0,564779000.0,424447500.0,1373874000.0,49.530190059094,51.05215288970758,169.81580992401567,1.817073584668701,1.762903127600414,0.5299859891742155,0.0255217208114698,0.3881148029834227,2023-11-01,1.5,bmo,1044420000.0,2025-04-25,2023-09-30,0.0933333333333332,123.68968253968254,1487413.492063492
2023-06-30,GNRC,USD,1474735,2023-08-08,2023-08-08 16:07:33,2023,Q2,1000420000.0,671999000.0,328421000.0,0.3282831211,43942000,56371000.0,115743000.0,172114000.0,-331000.0,242449000.0,914448000.0,941000.0,25160000.0,41247000.0,127219000.0,0.1271655905,85972000.0,0.0859359069,-24550000.0,61422000.0,0.0613962136,15907000.0,43377000.0,0.0433587893,0.7,0.7,61721614,62348184,https://www.sec.gov/Archives/edgar/data/1474735/000143774923022513/0001437749-23-022513-index.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774923022513/gnrc20230630_10q.htm,16.208584564881924,0.7027846031375654,1.3471293864739182,0.8623235289990958,3.1231846918325887,39.32891320696831,1.6329935895713938,39.19667428009903,31.8823159744332,9204544295.82,10954444295.82,53.049682411300914,9.20068001021571,110.7020613590388,172.9397319972193,3.8046595212215855,3.8046595212215855,10.949845360768476,86.10698320077975,131.74791989873356,205.81775694836915,0.0047125635562097,0.0057823612217467,0.8029936154611161,0.3650279191675415,13.755020869524206,2.426331649279963,3.4170111287758345,1.826804350214215,0.0,0.0,0.0563473341196697,0.0439235521081145,0.4371788196515915,0.3598806932300624,0.0299104376162011,0.7254588212476059,0.0100407828711941,24.895851692815526,0.0141937019935614,0.0144816009518855,-25.5696570086453,1336226000.0,100791000.0,-621474000.0,4167905000.0,515358000.0,440459000.0,1437457500.0,48.60946402510945,60.90102812652994,192.4046166735367,1.8514913053456024,1.4778075636590746,0.4677642436860434,0.0179296998034954,0.4848058574748223,2023-08-02,1.16,bmo,977150000.0,2025-04-25,2023-06-30,-0.0689655172413791,113.99741935483873,1173048.7741935484
2023-03-31,GNRC,USD,1474735,2023-05-09,2023-05-09 16:46:47,2023,Q1,887910000.0,615411000.0,272499000.0,0.3068993479,41820000,59685000.0,100688000.0,160373000.0,25823000.0,228016000.0,843427000.0,688000.0,22995000.0,39951000.0,84434000.0,0.0950929711,44483000.0,0.050098546,-22473000.0,22010000.0,0.0247885484,7849000.0,12430000.0,0.0139991666,0.2,0.2,61556044,62294447,https://www.sec.gov/Archives/edgar/data/1474735/000143774923013331/0001437749-23-013331-index.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774923013331/gnrc20230331_10q.htm,14.42441622791744,0.2019298056255856,-0.3014976076110414,-0.6910125673443213,2.231543664501897,38.09850093680484,0.1322534632017613,38.00054142530667,31.682786502654395,6648668312.440001,8438575312.440001,133.72221062831858,7.487998009302745,-358.24496537744494,-156.30685331107767,2.842327923466641,2.842327923466641,9.503863356015811,99.94285847454816,-454.6891164631715,-198.38666805623475,0.0018695473162261,-0.0063976721353978,0.8239152209572398,0.3698374940416017,21.198889073122203,2.401047079009867,1.9344640139160687,-1.3105712873384647,0.0,0.0,0.0672196506402676,0.0470993681792073,0.448472999724436,-1.291933832641845,0.0270038630041333,0.6001601962403945,0.0116385669718777,13.13972768868449,0.0065254447220875,0.0043248622167789,-26.668997767302915,1275432000.0,8141000.0,-680165000.0,4292470000.0,506421000.0,436120500.0,1421840000.0,49.70611886339832,62.32776144722795,210.3417715965428,1.8106422721785376,1.4439793425952214,0.4278750688314505,0.0053138665411516,0.3895149597332798,2023-05-03,0.52,bmo,841010000.0,2025-04-25,2023-03-31,0.2115384615384615,115.99137096774194,1340993.6451612904
2022-12-31,GNRC,USD,1474735,2023-02-22,2023-02-22 16:19:34,2022,Q4,1049232000.0,706065000.0,343167000.0,0.3270649389,38446000,62825000.0,107570000.0,170395000.0,25639000.0,234480000.0,940545000.0,509000.0,19523000.0,39417000.0,148104000.0,0.1411546731,107228000.0,0.1021966543,-19769000.0,87459000.0,0.0833552541,13568000.0,71015000.0,0.0676828385,1.14,1.12,62370769,63583384,https://www.sec.gov/Archives/edgar/data/1474735/000143774923004153/0001437749-23-004153-index.htm,https://www.sec.gov/Archives/edgar/data/1474735/000143774923004153/gnrc20221231_10k.htm,16.822495807290753,1.1385942668111082,1.617231944021726,1.2748439898183714,2.127967990902918,37.99417640657918,0.6113761399991717,36.19293198068473,28.270406606658963,6278241607.54,7889242607.54,22.1018151360276,5.983654337210455,62.2421541771424,78.95868106523461,2.781206011541693,2.781206011541693,7.519064046407277,53.268261542834765,78.21353261232503,99.21953149220882,0.011311288166214,0.0126648518758034,0.7724544505336051,0.3373124708141776,10.877498244476854,2.1998500066529307,5.49239358705117,1.3650918244441137,4.921760252566567e-05,0.0043511934098429,0.059877129176388,0.0366420391295728,0.4510322350759131,0.2117123369155728,0.0203529819906369,0.5417713169444656,0.0057737468929655,30.450023960196997,0.021218817354308,0.0250240673632459,-25.21177027655375,1190304000.0,38132000.0,-617388000.0,4164672000.0,532493000.0,484801000.0,1415037500.0,44.81489317901093,56.8566633383612,179.14010749718508,2.008260951119516,1.582927922878601,0.5024000557854651,0.0314590226461549,0.3423879542033544,2023-02-15,1.7,bmo,1065289608.0,2025-04-25,2022-12-31,0.0470588235294118,113.1604761904762,2282625.126984127
