date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,GOOG,USD,1652044,2025-04-25,2025-04-24 21:05:29,2025,Q1,90234000000.0,36361000000.0,53873000000.0,0.5970365937,13556000000,3539000000.0,6172000000.0,9711000000.0,0.0,23267000000.0,59628000000.0,0.0,0.0,0.0,46310000000.0,0.5132211805,30606000000.0,0.3391847862,11183000000.0,41789000000.0,0.4631181151,7249000000.0,34540000000.0,0.3827825432,2.84,2.81,12447000973,12447000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/0001652044-25-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000043/goog-20250331.htm,7.249457133950205,2.77496563830308,2.9043140655661936,1.5226961129924224,7.658712344185176,27.73897107816993,25.154171730135044,27.73897107816993,1.8931467950484588,1924804230464.7195,1925104230464.7195,13.931704042159236,21.33125241554979,53.24493030331176,101.55670503164248,5.574828264689993,5.574828264689993,21.334577104691355,41.56994667382249,53.25322905849847,101.5725336603556,0.0179446820893887,0.009846715681534,0.06824863076981,0.0495693916789727,0.0064780824875836,1.7680843171056364,0.0,1.046612623045744,0.0012645441866118,0.0704690214244354,0.0392202495733315,0.1502316200101957,0.0676793430015103,0.4757123098201936,0.1905822638916594,3.832627590817919,0.0611299510162466,41.61646982428473,0.0659253573590706,0.0779330371546995,0.2788623546771855,70398000000.0,313094000000.0,31945000000.0,301355000000.0,51670000000.0,8242000000.0,0.0,50.86774386594853,21.03159979098485,0.0,1.769294117647059,4.279275038248794,0.0,0.1000385209128008,1.3816179525737713,2025-04-24,2.02,amc,89204003142.0,2025-05-11,2025-03-31,0.3910891089108911,183.1335,19881306.766666666
2024-12-31,GOOG,USD,1652044,2025-02-05,2025-02-04 20:41:40,2024,Q4,96469000000.0,40613000000.0,55856000000.0,0.5790046543,13116000000,4405000000.0,7363000000.0,11768000000.0,0.0,24884000000.0,65497000000.0,1088000000.0,53000000.0,4205000000.0,36501000000.0,0.3783702537,30972000000.0,0.3210565052,1271000000.0,32243000000.0,0.3342317221,5707000000.0,26536000000.0,0.2750728213,2.17,2.15,12228000000,12348000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/0001652044-25-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm,7.889188747137717,2.170101406607785,3.198642459928034,2.031157998037292,7.822783774942755,26.585214262348707,23.97767419038273,26.585214262348707,2.0865227347072293,2314760400000.0,2316755400000.0,21.8077366596322,23.994862598347652,59.181356582210526,93.19806739944438,7.120499317099581,7.120499317099581,24.015542816863448,63.47101175310265,59.23236264157697,93.27839111003745,0.0114638214823443,0.0107298362284061,0.0783212954190301,0.0565478305674993,0.054656036820909,1.8369313974102912,584.377358490566,1.4739599035272837,0.0010549687993625,0.0920259270425083,0.0456623371238428,0.135960774963978,0.0708152695355531,0.3649937360979725,0.147985363173662,3.39500594530321,0.0602266012916066,36.02892927187924,0.0700233408687589,0.0634269583694854,0.7965325482499183,74589000000.0,293199000000.0,38539000000.0,291098000000.0,50722000000.0,7518000000.0,0.0,48.83019415563549,17.699505084578828,0.0,1.8431218952999613,5.0848879429072245,0.0,0.0816281330363844,1.1674844618907425,2025-02-04,2.12,amc,96699415218.0,2025-05-04,2024-12-31,0.0141509433962263,176.5015625,18592761.390625
2024-09-30,GOOG,USD,1652044,2024-10-30,2024-10-29 19:33:10,2024,Q3,88268000000.0,36474000000.0,51794000000.0,0.5867811664,12447000000,3599000000.0,7227000000.0,10826000000.0,0.0,23273000000.0,59747000000.0,1243000000.0,54000000.0,3985000000.0,35745000000.0,0.4049598949,28521000000.0,0.3231182308,3185000000.0,31706000000.0,0.3592015226,5405000000.0,26301000000.0,0.2979675534,2.14,2.12,12290000000,12419000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/0001652044-24-000118-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000118/goog-20240930.htm,7.182099267697315,2.140032546786005,2.4978030919446703,1.4350691619202605,7.585842148087877,25.55890968266884,22.96045565500407,25.55890968266884,2.194955248169243,2038296500000.0,2045259500000.0,19.37470533439793,23.09213418226311,66.3983484266076,115.56934285876282,6.488930946552102,6.488930946552102,23.17101894231205,57.21805846971604,66.62517102091341,115.96413789193171,0.0129034220487549,0.0086528137589403,0.0857063724257367,0.0625705958639539,0.1947964750314729,1.9496924619135427,528.1666666666666,1.1671799551347857,0.0012044371365991,0.0933424584616554,0.040773553269588,0.1410137309104092,0.0742215280779796,0.4254674571633331,0.1479698191870213,3.277540777917189,0.0662301173698282,35.08105212331429,0.067130171332809,0.0660280018376676,1.1318958502847845,76738000000.0,282184000000.0,41394000000.0,283504000000.0,48095500000.0,6570500000.0,0.0,50.06752163864594,17.393485770685967,0.0,1.7975724991854023,5.174350971769045,0.0,0.0837294146485885,1.06273393002441,2024-10-29,1.85,amc,86390390001.0,2025-04-25,2024-09-30,0.1459459459459459,169.251875,17708523.796875
2024-06-30,GOOG,USD,1652044,2024-07-24,2024-07-23 19:12:07,2024,Q2,84742000000.0,35507000000.0,49235000000.0,0.5809987963,11860000000,3158000000.0,6792000000.0,9950000000.0,0.0,21810000000.0,57317000000.0,1090000000.0,67000000.0,3708000000.0,31326000000.0,0.369663213,27425000000.0,0.3236293691,126000000.0,27551000000.0,0.3251162352,3932000000.0,23619000000.0,0.278716575,1.91,1.89,12343000000,12495000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/0001652044-24-000079-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000079/goog-20240630.htm,6.865591833427854,1.913554241270356,2.158308352912582,1.090010532285506,8.160495827594588,24.36628048286478,22.00178238677793,24.36628048286478,2.2577979421534478,2258645570000.0,2259221570000.0,23.90708296286888,26.65320112813009,84.78399286786787,167.87911178831575,7.509968545617168,7.509968545617168,26.65999822992141,72.11969514141607,84.80561448948949,167.92192433477032,0.01045715198246,0.0059566672074184,0.092437980668522,0.0670275092219784,0.0183872821298601,2.079178057577041,409.3283582089553,1.1279054998094755,0.0010918047668718,0.1044074685634446,0.0372660546128248,0.1399542139671001,0.0703642982857969,0.4949699699699699,0.1556017087158669,3.5560949298813376,0.0692100729272379,32.38965090340281,0.0692085718490572,0.0612549762049872,1.7842704366847606,84082000000.0,271568000000.0,47978000000.0,278028000000.0,45819500000.0,6145000000.0,0.0,50.00861438247858,15.441462246880898,0.0,1.799689935651029,5.828463558765594,0.0,0.0785328824650128,1.068297820627076,2024-07-23,1.84,amc,84208298213.0,2025-04-25,2024-06-30,0.0271739130434781,170.1004761904762,19551234.031746037
2024-03-31,GOOG,USD,1652044,2024-04-26,2024-04-25 20:22:11,2024,Q1,80539000000.0,33712000000.0,46827000000.0,0.5814201815,11903000000,3026000000.0,6426000000.0,9452000000.0,0.0,21355000000.0,55067000000.0,1061000000.0,94000000.0,3413000000.0,31822000000.0,0.3951129267,25472000000.0,0.3162691367,2843000000.0,28315000000.0,0.3515688052,4653000000.0,23662000000.0,0.2937955525,1.91,1.89,12415000000,12527000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/0001652044-24-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/goog-20240331.htm,6.487233185662505,1.9059202577527183,2.32364075714861,1.3561014901329038,8.70640354409988,23.587917841320984,21.2372935964559,23.587917841320984,2.267660088602497,1930408350000.0,1933974350000.0,20.395659179274787,23.96861582587318,66.91654014143096,114.6595598717035,6.5919341014328445,6.5919341014328445,24.012892511702404,60.77475802903651,67.04015356350527,114.87136790211451,0.0122575101791286,0.0087214707706791,0.0958155195257543,0.0688817969804836,0.112060838413676,2.149057755496967,270.97872340425533,1.2191699771785989,0.0,0.0,0.0375718595959721,0.1477917530637331,0.0716410948815514,0.4163893510815308,0.1491451346552602,3.5194843246410783,0.0653596394293447,31.804489229817225,0.0638789467642049,0.0625702401320051,2.1746274667740635,88474000000.0,263661000000.0,50965000000.0,274607000000.0,46258000000.0,6845500000.0,0.0,49.78556972398465,16.546630280018984,0.0,1.807752738373137,5.4391739270732495,0.0,0.0808006993484585,0.9675392670157068,2024-04-25,1.51,amc,78732858414.0,2025-04-25,2024-03-31,0.2516556291390728,144.34311475409837,23133827.655737706
2023-12-31,GOOG,USD,1652044,2024-01-31,2024-01-30 21:43:43,2023,Q4,86310000000.0,37575000000.0,48735000000.0,0.5646506778,12113000000,5206000000.0,7719000000.0,12925000000.0,0.0,25038000000.0,62613000000.0,1110000000.0,69000000.0,1563000000.0,26044000000.0,0.3017495076,23697000000.0,0.27455683,715000000.0,24412000000.0,0.2828409223,3725000000.0,20687000000.0,0.2396825397,1.66,1.64,12488000000,12602000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/0001652044-24-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000022/goog-20231231.htm,6.911434977578475,1.6565502882767458,1.514654067905189,0.6322869955156951,8.881806534272902,22.692104420243435,20.354019859064703,22.692104420243435,2.2880365150544524,1744448720000.0,1748904720000.0,21.081460820805336,20.211432278994323,92.22567909066878,220.9281560283688,6.155885651371484,6.155885651371484,20.26306013208203,67.15192443557058,92.46125931800158,221.4924924012158,0.0118587607436233,0.0045263583328491,0.1005861408220086,0.0708363983379391,0.1710950698817386,2.096584936563424,343.4347826086956,0.914342340600377,0.0,0.0,0.0603174603174603,0.1403429498320009,0.0725610847134137,0.5825535289452816,0.1276677094195342,7.049904030710173,0.0655659830842312,29.082447845334585,0.0620996479466407,0.0554322952673408,2.232222934016656,89716000000.0,254181000000.0,52517000000.0,267350000000.0,44492000000.0,6648000000.0,1478500000.0,50.01459854014598,17.947305389221558,0.0,1.799474605954466,5.014680368343788,0.0,0.0730011751047184,0.882367072389494,2024-01-30,1.59,amc,78685400000.0,2025-04-25,2023-12-31,0.031446540880503,135.68539682539682,22266014.492063493
2023-09-30,GOOG,USD,1652044,2023-10-25,2023-10-24 18:39:13,2023,Q3,76693000000.0,33229000000.0,43464000000.0,0.5667270807,11258000000,3979000000.0,6884000000.0,10863000000.0,0.0,22121000000.0,55350000000.0,1066000000.0,116000000.0,3171000000.0,24484000000.0,0.3192468674,21343000000.0,0.2782913695,-146000000.0,21197000000.0,0.2763876755,1508000000.0,19689000000.0,0.2567248641,1.57,1.55,12581000000,12696000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000094/0001652044-23-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000094/goog-20230930.htm,6.095938319688419,1.5649789364915347,2.436690247198156,1.7964390747953265,9.533025991574595,21.71544392337652,19.25308004133217,21.71544392337652,2.102138144821556,1646349660000.0002,1641978660000.0002,20.904434709736403,21.46675263713768,53.70399465031316,72.84410689792489,6.026125943441118,6.026125943441118,21.409759169676505,67.06333360562,53.56141244780794,72.6507083757356,0.0119591849036492,0.0137279464679453,0.0963792358767505,0.0663732540816866,-0.178524750857703,2.0431079436815573,183.99137931034485,1.5570115292803088,0.0,0.0,0.0518821795991811,0.1467930580365874,0.0780895916674859,0.2627544363256785,0.1050291421642131,2.119736842105264,0.0748829749781596,27.6522110793073,0.0633109249712025,0.0538345017663206,2.2787934186471666,90015000000.0,242223000000.0,52801000000.0,260898000000.0,39912000000.0,5558000000.0,2594000000.0,48.13737890029077,15.717295133768696,8.008968070059286,1.869648951730863,5.726176115802171,11.237402773080824,0.0720675544102898,0.6402511724028297,2023-10-24,1.45,amc,71557000000.0,2025-04-25,2023-09-30,0.0689655172413793,130.02269841269842,21886827.36507937
2023-06-30,GOOG,USD,1652044,2023-07-26,2023-07-25 19:13:26,2023,Q2,74604000000.0,31916000000.0,42688000000.0,0.5721945204,10588000000,3481000000.0,6781000000.0,10262000000.0,0.0,20850000000.0,52766000000.0,892000000.0,43000000.0,2824000000.0,24770000000.0,0.3320197308,21838000000.0,0.2927188891,65000000.0,21903000000.0,0.293590156,3535000000.0,18368000000.0,0.2462066377,1.45,1.44,12668000000,12764000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000070/0001652044-23-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000070/goog-20230630.htm,5.889169561098831,1.449952636564572,2.262867066624566,1.719134827912851,9.341016735080515,21.087859172718662,18.62685506788759,21.087859172718662,2.09141143037575,1516359600000.0,1516881600000.0,20.63860518292683,20.325446356763717,52.89749529058816,69.62804665258518,5.6762518669915885,5.6762518669915885,20.33244330062731,61.238659668954384,52.91570501639573,69.65201579575718,0.0121132216922687,0.0143620286375342,0.0990151268431277,0.069054730004908,0.0210738796931772,2.1720521432523903,507.86046511627904,1.5606489547038327,0.0,0.0,0.0466596965310171,0.1419226851107179,0.0813901275049341,0.2402846577827391,0.0923274891426733,2.027671474830733,0.0773953139241863,26.229161874851837,0.0594597710766555,0.0522013937044573,2.577162930217872,91079000000.0,235965000000.0,52885000000.0,257932000000.0,37420000000.0,4748500000.0,2273000000.0,46.81196718674602,14.982140619125204,6.2912019050006265,1.9225853004844864,6.007152268021834,14.30569251456746,0.0687576972460236,0.5437322387117146,2023-07-25,1.34,amc,65419100000.0,2025-04-25,2023-06-30,0.0746268656716416,115.75516129032258,25863394.0
2023-03-31,GOOG,USD,1652044,2023-04-26,2023-04-25 20:15:00,2023,Q1,69787000000.0,30612000000.0,39175000000.0,0.5613509679,11468000000,3759000000.0,6533000000.0,10292000000.0,0.0,21760000000.0,52372000000.0,797000000.0,80000000.0,2635000000.0,20920000000.0,0.299769298,17415000000.0,0.2495450442,790000000.0,18205000000.0,0.2608652041,3154000000.0,15051000000.0,0.2156705404,1.25,1.17,12823003194,13706000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000045/0001652044-23-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000045/goog-20230331.htm,5.442328832348258,1.1737500000812993,1.8333458741552893,1.342899143007107,8.976212378536822,20.345779849924288,17.931212877462844,20.345779849924288,2.2772356489518315,1330130121313.62,1333327121313.62,22.09371671838449,19.05985529272816,56.5796129700804,77.24332876385715,5.098354585822672,5.098354585822672,19.10566611709373,63.73456602837573,56.71560344181463,77.42898497756214,0.0113154343013718,0.0129461018317469,0.1116200449224589,0.0788138276710393,0.1528202676864244,2.35258663258489,217.6875,1.5619560162115471,0.0,0.0,0.0538639001533236,0.1643285998824996,0.0837963576920682,0.2675145688885108,0.0901170705145657,2.386717267552182,0.0757161075845071,23.1801494766818,0.0474766597689014,0.0444600019496114,2.70525550646603,93131000000.0,229932000000.0,53388000000.0,256100000000.0,38147000000.0,4656000000.0,2492500000.0,46.47341195351569,12.301058408467268,6.806154449235594,1.936591186591187,7.316443594646271,13.223326133909287,0.0576900963609741,0.4904467311481822,2023-04-25,1.06,amc,68883200000.0,2025-04-25,2023-03-31,0.1037735849056602,96.55709677419355,32358632.04838709
2022-12-31,GOOG,USD,1652044,2023-02-03,2023-02-02 21:23:45,2022,Q4,76048000000.0,35342000000.0,40706000000.0,0.5352671997,10267000000,5096000000.0,7183000000.0,12279000000.0,0.0,22546000000.0,57888000000.0,659000000.0,90000000.0,4201000000.0,21438000000.0,0.2819009047,18160000000.0,0.2387965495,-1013000000.0,17147000000.0,0.2254760151,3523000000.0,13624000000.0,0.1791500105,1.06,1.05,12897000000,12947000000,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/0001652044-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm,5.896565092657207,1.056369698379468,1.830968442273397,1.242071799643328,8.82081104132744,19.860742808405057,17.453671396448787,19.860742808405057,2.3082112119097467,1137902310000.0,1145702310000.0,20.88047397974163,14.962948532505786,48.187613703735074,71.03454085773144,4.442432030420388,4.442432030420388,15.06551533242163,53.44259305905402,48.51792623020242,71.52146263811724,0.0119729082894646,0.0140776583887943,0.1158684177650071,0.0812535590696044,0.3638399104394066,2.377994227994228,201.77777777777777,1.7332648267762771,0.0,0.0,0.0670103092783505,0.135006837786661,0.0849905821542774,0.3216312357076311,0.0998711340206185,1.8079028802666035,0.0670629076372817,21.726860220183877,0.0483474802601872,0.0407635689067081,2.8045669535550903,95495000000.0,225100000000.0,55675000000.0,253588000000.0,38217000000.0,5715500000.0,2913000000.0,47.64385651167684,13.058683719087773,6.799275649369022,1.889015847781807,6.8919656786271455,13.236704119850188,0.0531888312824036,0.588896642630069,2023-02-02,1.19,amc,76178599640.0,2025-04-25,2022-12-31,-0.1176470588235293,95.43666666666668,26773773.52380952
