date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,GPN,USD,1123360,2025-05-06,2025-05-06 16:03:15,2025,Q1,2412098000.0,921195000.0,1490903000.0,0.6180938751,0,0.0,0.0,1024011000.0,-3993000.0,1020018000.0,1941213000.0,39389000.0,157110000.0,452108000.0,1013700000.0,0.4202565567,470885000.0,0.1952180218,-117721000.0,353164000.0,0.14641362,58678000.0,305734000.0,0.1267502398,1.24,1.24,246749117,247160000,https://www.sec.gov/Archives/edgar/data/1123360/000112336025000030/0001123360-25-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1123360/000112336025000030/gpn-20250331.htm,9.775508132821404,1.2390480003217197,2.249750705288238,1.732719473115683,11.736714745771511,93.3116733301218,-48.87815667441679,90.16584646987816,69.21975732946595,24161673536.64,38188453536.64,19.75710383588348,10.01687059839194,43.52482244802963,56.51232153807651,1.0859987881632354,1.0859987881632354,15.832048920334085,37.67234244514156,68.79265449996757,89.31989591001691,0.0126536764738737,0.0176952560571454,0.7606321064000137,0.3554008385313994,13.83721021998619,0.943662776563482,2.9971675895869136,1.7748519688463162,0.0025297916515306,0.1999254253697658,0.0,0.0,0.7368350322472821,0.2298171219403232,0.0528904712826759,0.2821825758447097,0.0164752841717044,50.136770585378734,0.009264135569733,0.0243984246611035,-84.54448896771534,-402296000.0,-12060642000.0,-17852973000.0,37035575000.0,1097024000.0,1622579000.0,0.0,41.50234360295477,285.7772458599971,0.0,2.168552235531885,0.3149306017319909,0.0,0.0137418773164365,0.5170312321725552,2025-05-06,2.69,bmo,2350203280.0,2025-05-11,2025-03-31,0.0483271375464683,104.63666666666668,2046926.85
2024-12-31,GPN,USD,1123360,2025-02-14,2025-02-14 17:15:04,2024,Q4,2515386000.0,952297000.0,1563089000.0,0.621411187,0,0.0,0.0,1003075000.0,-273134000.0,739241000.0,1682238000.0,42596000.0,156776000.0,456658000.0,1375791000.0,0.5469502494,833148000.0,0.3312207351,-114180000.0,718968000.0,0.2858280995,140540000.0,567173000.0,0.2254814967,2.26,2.25,251123000,251766000,https://www.sec.gov/Archives/edgar/data/1123360/000112336025000011/0001123360-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1123360/000112336025000011/gpn-20241231.htm,10.016549658932076,2.258546608634016,2.6020197273845884,1.869295126292693,10.108257706382927,91.65455573563553,-48.58851638440127,88.72419491643537,67.58503601820622,28140843380.0,42417808380.0,12.403994627741447,11.187485093739092,43.06654512286759,59.947730256080334,1.2630151235020324,1.2630151235020324,16.863339614675443,30.83157861913619,64.91591008636007,90.36158939804824,0.0201547975069963,0.0166811986997384,0.7547066100208943,0.3586114214989874,10.377277507993584,0.9654479638761664,5.314257284278206,1.092170427707289,0.0022150366695939,0.1099012117995743,0.0,0.0,0.7510784703559407,0.2815984034941929,0.0731513970420444,0.4029361141160343,0.0118800852036228,67.14703206007482,0.0158504667677458,0.0485926397837421,-81.72874248874058,-216044000.0,-12201694000.0,-17837018000.0,37279810000.0,1116290000.0,1404681500.0,0.0,38.70443741040143,30.250699099125587,0.0,2.3253147706472905,2.9751378540075293,0.0,0.0254558140624575,0.7327246010918952,2025-02-13,2.98,bmo,2308061444.0,2025-05-11,2024-12-31,-0.0100671140939596,109.356875,2057454.84375
2024-09-30,GPN,USD,1123360,2024-10-31,2024-10-31 17:22:36,2024,Q3,2601552000.0,946945000.0,1654607000.0,0.63600766,0,0.0,0.0,1133226000.0,0.0,1133226000.0,2080171000.0,55338000.0,158691000.0,509480000.0,1043185000.0,0.4009856424,521381000.0,0.2004115236,-146367000.0,375014000.0,0.1441501073,57378000.0,315125000.0,0.121129618,1.24,1.24,254402000,254897000,https://www.sec.gov/Archives/edgar/data/1123360/000112336024000036/0001123360-24-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1123360/000112336024000036/gpn-20240930.htm,10.226146020864617,1.2386891612487323,6.784761912249118,6.131245037381782,11.564138646708752,92.84364509712974,-49.75783602330171,89.66672038741834,69.63566717242789,26055852840.0,40670674840.0,20.671045489884968,10.01550337644606,15.095592347182045,16.704600676624775,1.1422297989430106,1.1422297989430106,15.633235407172334,38.98702036551523,23.562764636393812,26.074271551306865,0.012094211689599,0.0598637476799627,0.7696488329318599,0.3512346745363612,14.009808423242282,0.9263918332976312,3.2855108355231235,5.175071132391698,0.0024346161451532,0.2013042443474811,0.0,0.0,0.7257675047806034,0.0963212686487178,0.0639064681390185,0.3503275576149507,0.0196032983388377,49.99056791079549,0.0100828735061191,0.0229888319324341,-88.68313142192278,-627795000.0,-12658493000.0,-18465154000.0,37984881000.0,1142566000.0,2470495500.0,0.0,39.81300392996181,236.58715131290623,0.0,2.2605679329880783,0.3804095002647354,0.0,0.0138143689865849,0.6535168748673359,2024-10-30,3.09,bmo,2380697057.0,2025-04-25,2024-09-30,-0.0032362459546924,103.808125,2152641.984375
2024-06-30,GPN,USD,1123360,2024-08-07,2024-08-07 09:11:54,2024,Q2,2568768000.0,938484000.0,1630284000.0,0.6346559907,0,0.0,0.0,1001961000.0,0.0,1001961000.0,1940445000.0,35306000.0,159157000.0,505100000.0,1133423000.0,0.4412321393,628323000.0,0.2446009137,-123851000.0,448772000.0,0.174703204,77834000.0,374760000.0,0.1458909485,1.47,1.47,254748000,255166000,https://www.sec.gov/Archives/edgar/data/1123360/000112336024000025/0001123360-24-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1123360/000112336024000025/gpn-20240630.htm,10.083564934759057,1.4711008526072824,2.8925918947351894,2.1890888250349363,8.978084224410004,90.917502787068,-52.23494198188013,87.88062712955548,72.01689905318197,24374288640.0,40274143640.0,16.259932116554598,9.488707676208984,33.07760080989901,43.70768280655446,1.0887496269109065,1.0887496269109065,15.678388877469668,35.53319779111594,54.65480720115296,72.2191125871041,0.0153752179411296,0.0228792728369036,0.8123762753482827,0.3583493730453786,14.02817394741416,0.9164980500787246,3.9478188204100353,1.966277084000427,0.0026021682493704,0.1692443163624719,0.0,0.0,0.7185467660311115,0.2432085462801371,0.0697672970077484,0.3548129083349832,0.016834918529038,53.93355610103893,0.0118039387714696,0.0262356889798135,-95.98991159891344,-779019000.0,-13306747000.0,-19040774000.0,37998127000.0,3903030500.0,2435916000.0,0.0,39.74133903879213,235.11766849514748,0.0,2.264644377285567,0.3827870554179873,0.0,0.0167397627970787,0.7035030697002528,2024-08-07,2.91,bmo,2315758512.0,2025-04-25,2024-06-30,0.0068728522336769,110.1873015873016,2319313.301587302
2024-03-31,GPN,USD,1123360,2024-05-01,2024-05-01 09:20:26,2024,Q1,2420187000.0,922390000.0,1497797000.0,0.6188765579,0,40117000.0,1005428000.0,1045545000.0,0.0,1045545000.0,1967935000.0,35928000.0,162147000.0,494019000.0,984861000.0,0.4069359103,452252000.0,0.186866552,-126219000.0,326033000.0,0.1347139704,19382000.0,313307000.0,0.1294556991,1.22,1.22,256926000,257588000,https://www.sec.gov/Archives/edgar/data/1123360/000112336024000014/0001123360-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1123360/000112336024000014/gpn-20240331.htm,9.419782349781649,1.219444509313966,1.6203770735542529,1.054295789449102,8.436732755735115,89.46601356032477,-52.69572172532169,86.46781952780178,71.62805632750286,33438918900.0,49512265900.0,26.682230926854498,13.816667431070409,80.32081058424231,123.44732977450936,1.5051842490159384,1.5051842490159384,20.45803316024753,50.27335420937574,118.92924358121336,182.78572446433057,0.0093695313815902,0.008100620741061,0.8210794815642953,0.3523138788695261,16.320421866639048,0.9195431274895948,2.78914811868243,1.3287829509075764,0.0019024538499658,0.2030468518098861,0.0165759918551748,0.0,0.7054605961400103,0.3493515758424469,0.0600949430767126,0.3153971930189792,0.0165759918551748,48.70791439283146,0.0096819466285143,0.0205451200888882,-84.13769820882277,-846086000.0,-13538901000.0,-19118672000.0,37879326000.0,3895923500.0,1355278000.0,3225500.0,248.10446878691604,236.1373280282744,0.0,0.3627504189668437,0.3811341508413429,0.0,0.0141028710562301,0.5660812841051509,2024-05-01,2.57,bmo,2174800831.0,2025-04-25,2024-03-31,0.0077821011673151,132.21278688524592,2395554.196721312
2023-12-31,GPN,USD,1123360,2024-02-14,2024-02-14 16:31:34,2023,Q4,2433812000.0,922284000.0,1511528000.0,0.6210537215,0,0.0,0.0,1015163000.0,0.0,1015163000.0,1937447000.0,38881000.0,169687000.0,485383000.0,1025698000.0,0.4214368242,498716000.0,0.2049114722,-117011000.0,367910000.0,0.1511661542,9272000.0,361297000.0,0.1484490174,1.39,1.38,260375000,261101999,https://www.sec.gov/Archives/edgar/data/1123360/000112336024000004/0001123360-24-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1123360/000112336024000004/gpn-20231231.htm,9.347333653384542,1.387602496399424,2.5250120019203077,1.9207028324531925,8.022609697551609,91.35867498799809,-50.40443206913106,88.33109937590014,67.38553624579933,33067625000.0,48354560000.0,22.88119261992211,13.586762247864666,50.2967906304662,66.12162894443745,1.4377722104367934,1.4377722104367934,19.867828739442487,47.14307720206143,73.54865008745912,96.68920202438298,0.0109260039086568,0.0151236443500251,0.7554964714005394,0.3435981429848804,14.903933711482328,0.9936042661526124,2.939034811152298,1.765283957114434,0.0019602254470951,0.1794091841338289,0.0,0.0,0.7299077167720918,0.2393292265571526,0.0646504331476712,0.3507191718991354,0.0146556102114707,52.51466666640239,0.0110167614576299,0.0264519460498819,-91.60057609217476,-51970000.0,-13124054000.0,-18708912000.0,39049604000.0,1099011000.0,1314383500.0,6674500.0,41.41939476015403,28.34195323783129,0.6295132518833678,2.172895101948257,3.1755044983938,142.9676019221826,0.0157091047909906,0.6043091694671148,2024-02-14,2.63,bmo,2182310000.0,2025-04-25,2023-12-31,0.0076045627376425,115.80031746031746,1886944.0
2023-09-30,GPN,USD,1123360,2023-10-31,2023-10-31 09:23:09,2023,Q3,2475691000.0,915531000.0,1560160000.0,0.6301917323,0,0.0,0.0,1001964000.0,0.0,1001964000.0,1917495000.0,35732000.0,176094000.0,490021000.0,1086324000.0,0.4387962795,558196000.0,0.2254707878,-140362000.0,417834000.0,0.1687746977,58936000.0,361830000.0,0.1461531346,1.39,1.39,260232000,260935000,https://www.sec.gov/Archives/edgar/data/1123360/000112336023000039/0001123360-23-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1123360/000112336023000039/gpn-20230930.htm,9.513399581911523,1.3904131697869593,1.6401057517907098,0.987637953825817,7.461714931292078,88.98964385625135,-52.333606166805005,86.2365158781395,67.39153524547326,30028170480.0,45447733480.0,20.74743006384214,12.129207756541508,70.35521939607506,116.83431114915471,1.3380642622790695,1.3380642622790695,18.357595305714646,41.83626015811121,106.4828528987273,176.82910911814486,0.0120496851528465,0.0085591295071134,0.773626505642381,0.3548590734662037,14.194257882547012,1.089612521098113,3.16987518030143,1.133307134284288,0.0021638347911763,0.1795760439985628,0.0,0.0,0.751704219175607,0.397820565687616,0.0685840842011381,0.3702234733103224,0.0147934455471219,51.94081936544625,0.0110240379088931,0.0297857064006711,-88.43250637892342,557633000.0,-13618879000.0,-18986306000.0,39452479000.0,1118605000.0,2409693000.0,7061000.0,39.187022936222654,229.8662743260469,0.6780982839466932,2.2966786771854566,0.3915319907797445,132.7241229341838,0.0161232530747386,0.6524677979648928,2023-10-31,2.71,bmo,2226720000.0,2025-04-25,2023-09-30,0.014760147601476,118.9647619047619,1857167.6984126985
2023-06-30,GPN,USD,1123360,2023-08-01,2023-08-01 09:21:28,2023,Q2,2452469000.0,941952000.0,1510517000.0,0.6159168577,0,0.0,0.0,1013514000.0,0.0,1013514000.0,1955466000.0,27944000.0,191423000.0,491907000.0,1121691000.0,0.4573721421,602741000.0,0.2457690597,-163479000.0,439262000.0,0.1791101131,172211000.0,274148000.0,0.1117844915,1.05,1.05,260827000,261327999,https://www.sec.gov/Archives/edgar/data/1123360/000112336023000028/0001123360-23-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1123360/000112336023000028/gpn-20230630.htm,9.402665368232585,1.0510721666085183,2.1660219225770336,1.518822821257002,7.359633013453362,87.85692815544402,-54.89343894612138,85.00456624505898,68.13502436480886,25696676040.0,41357116040.0,23.43321494229394,10.477880062908032,45.484304185982296,64.86602559636502,1.1589965616197309,1.1589965616197309,16.863461287380186,36.87032885170693,73.20400674741617,104.3976171652152,0.0106686172006548,0.015416390796356,0.7929117155250668,0.365103005386402,13.961456408226509,1.0782880382117024,3.148738657319131,1.987843324912212,0.0025250347515374,0.2366787282781563,0.0,0.0,0.7732600110319895,0.2987961915685618,0.0688314510805233,0.3652423957869046,0.0192194070546865,44.83618523395203,0.0083974076861097,0.0251103480302224,-86.0446522024177,400712000.0,-14317691000.0,-19716277000.0,39718071000.0,1113220000.0,2385998500.0,85254500.0,42.54240930262523,237.0556461475744,0.6902262535670607,2.1155360374581846,0.379657694143139,130.3920265780731,0.0123648906527961,0.647199101320032,2023-08-01,2.58,bmo,2189410000.0,2025-04-25,2023-06-30,0.0155038759689922,102.82467741935484,2294789.580645161
2023-03-31,GPN,USD,1123360,2023-05-03,2023-05-03 08:27:53,2023,Q1,2292447000.0,947753000.0,1344694000.0,0.5865758292,0,89566000.0,953560000.0,1043126000.0,0.0,1043126000.0,1990879000.0,11153000.0,122945000.0,436586000.0,503088000.0,0.2194545828,56735000.0,0.0247486638,-111792000.0,-55057000.0,-0.0240166948,-31399000.0,-11041000.0,-0.0048162509,-0.042,-0.042,263115000,263115000,https://www.sec.gov/Archives/edgar/data/1123360/000112336023000019/0001123360-23-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1123360/000112336023000019/gpn-20230331.htm,8.712718773160026,-0.0419626399103053,2.278570206943732,1.6621287269824985,7.607589837143454,86.96892613496,-55.320768485263095,83.930137012333,69.64529958383217,27690222600.0,43890329600.0,-626.986292002536,12.07889325249395,46.18685861830846,63.31639559052525,1.253900014300413,1.253900014300413,19.14562456623861,87.24185351270553,73.20838395665909,100.35952082061414,-0.0003987328003639,0.015793697519788,0.824233521853051,0.3742246185975086,32.20133853321884,0.9197233130760544,0.4614665094147789,-135.6393665158371,0.0023744843423541,-5.955076532922742,0.0390700417501473,0.0,0.7697285516430105,0.2705387255932186,0.0707519083320137,0.398268876611418,0.0390700417501473,,0.0005512758292176,-0.0009857955618396,-86.92822910134352,-488356000.0,-14555724000.0,-20160761000.0,38973660000.0,1032753000.0,1260188500.0,151050000.0,41.89656729250447,217.55108134714428,15.505780514543348,2.148147349916696,0.4136959441556985,5.80428698288269,-0.0004999710640784,0.6164414799612337,2023-05-01,2.3,bmo,2007970000.0,2025-04-25,2023-03-31,0.0434782608695652,108.37354838709678,1819881.5806451607
2022-12-31,GPN,USD,1123360,2023-02-17,2023-02-17 08:36:28,2022,Q4,2252984000.0,927911000.0,1325073000.0,0.5881413272,0,0.0,0.0,919493000.0,0.0,919493000.0,1847404000.0,8544000.0,121778000.0,432443000.0,847248000.0,0.3760559329,407630000.0,0.1809289369,-113234000.0,294396000.0,0.13066937,47444000.0,249306000.0,0.1106559123,0.94,0.94,265637000,265963000,https://www.sec.gov/Archives/edgar/data/1123360/000112336023000009/0001123360-23-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1123360/000112336023000009/gpn-20221231.htm,8.481438956169509,0.9385213656230118,2.67105862511623,2.097738643336583,7.519908747651871,84.85342779808536,-39.2976129078404,83.96234711278926,54.23820853269687,26383066840.0,38671397840.0,26.456510112071108,11.710277054786008,37.18375892842042,47.346222235781184,1.1829111907338692,1.1829111907338692,17.164523955784862,45.643539837214135,54.50268323345529,69.39847468850776,0.0094494700525877,0.0211210092965825,0.640522481084364,0.3188174816790211,14.503818244480955,0.9152675485827674,3.347320534086617,2.7441358585721853,0.0024967908545085,0.2642254899601293,0.0,0.0,0.7359927625276468,0.2146414819909461,0.0675970179992401,0.3800780645579918,0.0181075409323812,42.1071285549987,0.0085656007291859,0.0210742200443892,-73.23182199768857,-584543000.0,-10438900000.0,-15954656000.0,34233376000.0,998281500.0,1110269500.0,116277500.0,39.88038974089474,22.25347042981493,13.463952900655343,2.2567482560911603,4.044313011035757,6.684515362172676,0.0111778838717105,0.5733199817796467,2023-02-10,2.45,bmo,2015744272.0,2025-04-25,2022-12-31,-0.0122448979591837,104.26047619047618,2398219.9523809524
