date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-29,GRMN,USD,1121788,2025-04-30,2025-04-30 07:00:21,2025,Q1,1535099000.0,650554000.0,884545000.0,0.5762136514,268120000,0.0,0.0,283601000.0,0.0,551721000.0,1202275000.0,30507000.0,0.0,0.0,379122000.0,0.246969088,332824000.0,0.2168094696,56254000.0,389078000.0,0.2534546632,56309000.0,332769000.0,0.2167736413,1.73,1.72,192544000,193717000,https://www.sec.gov/Archives/edgar/data/1121788/000095017025060555/0000950170-25-060555-index.htm,https://www.sec.gov/Archives/edgar/data/1121788/000095017025060555/grmn-20250329.htm,7.972717924214725,1.7282750955625727,2.1854121655309955,1.9773454379258768,13.890383496759185,42.48108484294499,38.4976784527173,42.48108484294499,0.7283270317433937,41138951040.0,39103671040.0,30.90653804891681,26.79889117249116,97.76645493692786,108.05395754427067,5.029532574083579,5.029532574083579,25.473061372589,103.14271142270826,92.92962498930578,102.70817081050414,0.0080889033771532,0.0092546355795463,0.0171447371091407,0.0143277907544856,-5.368403838342275,4.095028525102541,0.0,1.2645048066376374,0.0035140905722033,0.4344334959085732,0.0,0.1746597450718162,0.0783623437848335,0.0952070876545909,0.0260973396504069,0.8653073566892738,0.0246055791841438,40.643911250606855,0.0336556091141189,0.0368897287897833,12.712376132208744,4115478000.0,7412497000.0,3837040000.0,6286375000.0,885268500.0,352084500.0,1527965000.0,46.14814419135183,47.70143600684955,218.8529776160011,1.9502409376814336,1.886735652718646,0.4112349805809531,0.0406834030240071,0.2080667276051188,2025-04-30,1.67,bmo,1524502132.0,2025-05-12,2025-03-29,-0.0359281437125747,216.164,949609.55
2024-12-28,GRMN,USD,1121788,2025-02-19,2025-02-19 07:00:25,2024,Q4,1822561000.0,742635000.0,1079926000.0,0.5925321567,258753000,0.0,0.0,305091000.0,0.0,563844000.0,1306480000.0,30377000.0,0.0,1000.0,516082000.0,0.2831630875,516082000.0,0.2831630875,57000.0,516139000.0,0.2831943622,80405000.0,435733000.0,0.2390773203,2.27,2.25,192075000,193759000,https://www.sec.gov/Archives/edgar/data/1121788/000095017025022760/0000950170-25-022760-index.htm,https://www.sec.gov/Archives/edgar/data/1121788/000095017025022760/grmn-20241228.htm,9.4887986463621,2.26855655342965,2.5192763243524663,2.0782923337238057,13.019591305479633,40.86111154496941,36.91416373812313,40.86111154496941,0.7022569308863725,40212822000.0,38268240000.0,23.071939697016298,22.06391006940234,83.10323007295048,100.7365501968997,5.123698110111135,5.123698110111135,20.99695977253985,74.15147205289082,79.08458533964331,95.86520636892892,0.0108356732586437,0.0099268835198882,0.0171864372831245,0.0140060871019831,-3.767970981355676,3.5388962355871705,0.0,1.110519515391306,0.0035804997719384,0.3304362992933746,0.0,0.1419722028508236,0.0787194719458239,0.1750439149393457,0.0464741646507304,1.8198655007197648,0.019819912749148,45.66896324041752,0.0536382658896602,0.0491109694235516,11.418201223480413,3828295000.0,7090288000.0,3554024000.0,5987945000.0,952719000.0,366695000.0,1489757000.0,48.561535114599735,43.55147548930498,178.6315215415379,1.853318676759501,2.066520111863982,0.5038304506580152,0.0555187185970945,0.4409839906286606,2025-02-19,1.9,bmo,1698796440.0,2025-05-12,2024-12-28,0.268421052631579,196.116875,888758.140625
2024-09-28,GRMN,USD,1121788,2024-10-30,2024-10-30 07:00:23,2024,Q3,1586022000.0,634423000.0,951599000.0,0.5999910468,249162000,0.0,0.0,264962000.0,0.0,514124000.0,1148547000.0,28830000.0,0.0,44255000.0,481730000.0,0.3037347527,437475000.0,0.2758316089,48775000.0,486250000.0,0.3065846501,87139000.0,399111000.0,0.2516427893,2.08,2.07,192201000,193171000,https://www.sec.gov/Archives/edgar/data/1121788/000095017024118582/0000950170-24-118582-index.htm,https://www.sec.gov/Archives/edgar/data/1121788/000095017024118582/grmn-20240928.htm,8.251892549986733,2.0765292584325783,1.3421106029625236,1.1415705433374437,12.612119603956277,39.05571250930016,34.99686786229,39.05571250930016,0.571443436818747,33441051990.0,31541522990.0,20.947212673917782,21.08486010282329,129.63909205093913,152.4128324924457,4.454918085505893,4.454918085505893,19.88719134413016,65.47552153696054,122.27529216336184,143.7554315417185,0.0119347621037564,0.0065611273253488,0.0146314943475342,0.0117495880284115,-3.9431403483279017,3.2999453968672245,0.0,0.6463223355849987,0.0043098823578605,0.3611200893986885,0.0,0.1570987035488789,0.0834548957971837,0.1494214107111705,0.0243023110650419,0.8709524347531352,0.0221030981915761,42.71717943668675,0.0462187717916035,0.0465836595422438,10.547138152246866,3630841000.0,6726433000.0,3368320000.0,5768733000.0,865240000.0,352981500.0,1412589500.0,52.32150625905568,53.05963056194369,213.577124410685,1.720133964691107,1.6962047991444422,0.4213934439296038,0.0531683875422347,0.2005400596250799,2024-10-30,1.44,bmo,1443919620.0,2025-04-25,2024-09-28,0.3819444444444445,172.78484375,794179.15625
2024-06-29,GRMN,USD,1121788,2024-07-31,2024-07-31 07:00:25,2024,Q2,1506671000.0,643780000.0,862891000.0,0.5727136183,243151000,0.0,0.0,277713000.0,-513000.0,520864000.0,1164644000.0,29286000.0,0.0,44112000.0,386139000.0,0.2562862098,342027000.0,0.2270084179,23945000.0,365972000.0,0.2429010713,65342000.0,300630000.0,0.199532612,1.57,1.56,192074000,192899000,https://www.sec.gov/Archives/edgar/data/1121788/000095017024088230/0000950170-24-088230-index.htm,https://www.sec.gov/Archives/edgar/data/1121788/000095017024088230/grmn-20240629.htm,7.844221497964326,1.5651780043108383,1.3292845465810053,1.1358330643397858,11.590022595458,36.4702250174412,32.47177650280621,36.4702250174412,0.5319147828441122,31292696080.0,29457380080.0,26.022599274856137,20.76942881358969,122.5621710709264,143.4365710199666,4.467205780114781,4.467205780114781,19.55130222855553,76.28698494583556,115.3739021858758,135.02401899488456,0.0096070341536388,0.0069717227126183,0.0145849054287362,0.0115009902826892,-4.752993093160753,2.878905242368667,0.0,0.8492864983534577,0.0046027993123946,0.4791072081961214,0.0,0.1613829429251641,0.0864539189280766,0.1455305282370036,0.0246616547341788,0.8423331519767864,0.0234052424185505,35.837883101757434,0.0387050927028901,0.0370447316706024,8.402792673657029,3051949000.0,6236984000.0,2797932000.0,5156269000.0,751568000.0,287512500.0,1310936500.0,48.29198942569413,46.40470347012955,184.48518127310567,1.863663126541537,1.9394585735890435,0.4878440608558527,0.0429165985008955,0.1934514822412195,2024-07-31,1.44,bmo,1423562036.0,2025-04-25,2024-06-29,0.0972222222222223,157.48714285714286,763501.6031746032
2024-03-30,GRMN,USD,1121788,2024-05-01,2024-05-01 07:00:29,2024,Q1,1381649000.0,579510000.0,802139000.0,0.5805664101,242535000,0.0,0.0,261194000.0,1321000.0,503729000.0,1083239000.0,25027000.0,0.0,44825000.0,343235000.0,0.2484241656,298410000.0,0.2159810487,28630000.0,327040000.0,0.2367026647,51079000.0,275961000.0,0.1997330726,1.44,1.43,191890000,192698000,https://www.sec.gov/Archives/edgar/data/1121788/000095017024050879/0000950170-24-050879-index.htm,https://www.sec.gov/Archives/edgar/data/1121788/000095017024050879/grmn-20240330.htm,7.200213664078378,1.4381207983740685,2.2685132106936265,2.0956641826046174,11.445937776851322,37.76172286205639,33.70593569232373,37.76172286205639,0.5516650164156548,28566664300.0,26750741300.0,25.87925857276934,20.675775323544546,65.62448007718726,71.03714480388524,3.9423519033763967,3.9423519033763967,19.361459603705427,77.9371022768657,61.452869367455,66.52146233746211,0.0096602458411638,0.0140771423564493,0.0146091061160235,0.012260883866813,-5.290611388698705,4.026321253353809,0.0,1.5774149245726752,0.0049082384463068,0.5080862875551255,0.0,0.1755402421309609,0.0901408173382071,0.0761948518854596,0.0240060970622784,0.7399442275515895,0.0222335774136557,34.955445615570675,0.0335000066699351,0.0351291401118817,10.322114232112147,3381569000.0,6467832000.0,3111172000.0,5502520000.0,754966500.0,248438500.0,1324092500.0,45.25179694698146,37.75229072837397,202.24103121602727,1.988871295110049,2.383961297806958,0.4450135536733142,0.0380840885789963,0.1728490280890093,2024-05-01,1.01,bmo,1250590837.0,2025-04-25,2024-03-30,0.4059405940594058,131.81262295081967,978705.3606557376
2023-12-30,GRMN,USD,1121788,2024-02-21,2024-02-21 07:00:41,2023,Q4,1482501000.0,618352000.0,864149000.0,0.5828994382,237245000,225190000.0,61260000.0,286450000.0,254000.0,523695000.0,1142047000.0,22841000.0,0.0,45338000.0,385792000.0,0.2602305159,340454000.0,0.2296484117,42583000.0,383037000.0,0.2583721697,-159090000.0,542127000.0,0.3656840704,2.83,2.82,191363000,192557000,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/0000950170-24-017559-index.htm,https://www.sec.gov/Archives/edgar/data/1121788/000095017024017559/grmn-20231230.htm,7.747061866714046,2.832977116788512,2.4348541776623485,2.1789165094610765,10.284485506602635,36.64271567648918,32.48791563677409,36.64271567648918,0.590683674482528,24597800020.0,23017383020.0,11.343190811378143,16.592096747320912,52.79166250662637,58.99262291228979,3.507927773008217,3.507927773008217,15.52604889979838,59.66267579421035,49.399780272609625,55.20232686754732,0.0220396539348725,0.0169512720511986,0.0161200845400638,0.0131381523179508,-4.096552028035833,3.4059542819910478,0.0,0.8594683533563169,0.0056754262530182,0.2575097716955621,0.1518987171003594,0.1600302461853314,0.0924122303197661,0.1051141668151117,0.0330367399414907,1.0802637963739028,0.0237490564930478,48.32886753991691,0.0660723212171073,0.0694278563830618,8.679685989454597,3153453000.0,6216985000.0,2872631000.0,5316349000.0,768190000.0,260910000.0,1392924500.0,49.49195312515809,36.93866923693948,195.90128276450952,1.8184774355621576,2.4364710981520155,0.4594150621677545,0.0773135141456291,0.2559376682012719,2024-02-21,1.4,bmo,1414780000.0,2025-04-25,2023-12-30,0.2285714285714286,115.96285714285716,753131.4761904762
2023-09-30,GRMN,USD,1121788,2023-11-01,2023-11-01 07:00:57,2023,Q3,1277531000.0,548962000.0,728569000.0,0.570294576,221572000,201470000.0,35158000.0,236628000.0,938000.0,458200000.0,1007162000.0,19803000.0,0.0,44630000.0,314999000.0,0.2465685764,270369000.0,0.2116340034,9202000.0,279571000.0,0.2188369597,22328000.0,257243000.0,0.2013594973,1.34,1.34,191435000,191868000,https://www.sec.gov/Archives/edgar/data/1121788/000095017023057115/0000950170-23-057115-index.htm,https://www.sec.gov/Archives/edgar/data/1121788/000095017023057115/grmn-20230930.htm,6.673445294747564,1.343761590095855,1.867014913678272,1.6274662418053123,8.8589077232481,33.166766787682505,29.090793219630683,33.166766787682505,0.58001410400397,20138962000.0,18827142000.0,19.57192421173754,15.763971285236916,56.34663077904491,64.6403576908016,3.17184972154323,3.17184972154323,14.737131232040554,59.76889450442699,52.67630073976252,60.42978745257644,0.0127733991453978,0.0154702114240048,0.0174878096414081,0.0139403255885545,-4.164521157210023,3.1306825285171387,0.0,1.3893944636005644,0.0069379941230337,0.543159580629988,0.1577026310907524,0.1734376700056593,0.097963822322148,0.1283057088178348,0.0358958021370909,1.0275151243558145,0.0178602319630599,31.666782497302744,0.0374819231313437,0.0358040891679,7.004794055423512,2829116000.0,5568996000.0,2541172000.0,4937410000.0,718969500.0,260916500.0,1421059500.0,50.80293941986535,43.94238581176839,236.06453634313485,1.7715510367655525,2.048136402641495,0.3812516754705555,0.0405153025224907,0.2395486718729595,2023-11-01,1.29,bmo,1204810000.0,2025-04-25,2023-09-30,0.0930232558139533,105.14650793650794,745757.0
2023-07-01,GRMN,USD,1121788,2023-08-02,2023-08-02 07:01:19,2023,Q2,1320795000.0,561353000.0,759442000.0,0.5749885486,224394000,204349000.0,46344000.0,250693000.0,2064000.0,475087000.0,1036440000.0,18760000.0,0.0,44189000.0,328544000.0,0.2487471561,284355000.0,0.2152907908,31621000.0,315976000.0,0.2392316749,28037000.0,287939000.0,0.218004308,1.51,1.5,191293000,191597000,https://www.sec.gov/Archives/edgar/data/1121788/000095017023036762/0000950170-23-036762-index.htm,https://www.sec.gov/Archives/edgar/data/1121788/000095017023036762/grmn-20230701.htm,6.904565248074943,1.5052249690265718,1.4307998724469793,1.153492286701552,8.778235481695619,32.01278666757278,28.1518194601998,32.01278666757278,0.5789025212631931,19949946970.0,18635160970.0,17.321331054494184,15.10449916148986,72.88929920132115,90.41239477918016,3.257760753006864,3.257760753006864,14.109048694157686,56.7204422238726,68.08558567346968,84.45383503659559,0.0144330709466542,0.011060430402738,0.0180834779325721,0.0140679387179552,-4.001856676731275,2.835851752108953,0.0,0.9505554996023464,0.0069972617075081,0.4848075460427382,0.1547166668559466,0.1698931325451716,0.0938255545110394,0.1938129790794367,0.0401629321734258,1.2004571273393831,0.0171601194734989,32.927116954774654,0.0403484654454794,0.0403658990661165,6.116015745479448,2661348000.0,5385246000.0,2363023000.0,4715573000.0,663728000.0,231299500.0,1440611000.0,48.84344656059419,40.69145439678776,224.81442158499195,1.8426218118811053,2.211766606383691,0.4003301895202268,0.0470194920753738,0.2773075857454272,2023-08-02,1.41,bmo,1256470000.0,2025-04-25,2023-07-01,0.0283687943262411,102.17274193548388,742747.3709677419
2023-04-01,GRMN,USD,1121788,2023-05-03,2023-05-03 07:00:48,2023,Q1,1147424000.0,494630000.0,652794000.0,0.5689213403,221485000,203980000.0,30347000.0,234327000.0,1203000.0,455812000.0,950442000.0,15899000.0,0.0,43415000.0,240397000.0,0.2095101724,196982000.0,0.1716732437,24790000.0,221772000.0,0.1932781605,19445000.0,202327000.0,0.1763315043,1.06,1.05,191498000,191886000,https://www.sec.gov/Archives/edgar/data/1121788/000095017023016873/0000950170-23-016873-index.htm,https://www.sec.gov/Archives/edgar/data/1121788/000095017023016873/grmn-20230401.htm,5.99183281287533,1.0565488934610283,1.4580308932730368,1.2118351105494574,8.096538867246656,33.446845397863164,29.56054371325027,33.446845397863164,0.5816666492600445,19325978160.0,18075773160.0,23.87963316808928,16.842926555484286,69.21664037820995,83.27865657749587,3.0173249165808484,3.0173249165808484,15.75335112390886,75.19134248763504,64.73898914795315,77.89132808190844,0.0104691725471762,0.0120078786221706,0.0173907775857751,0.0144172344118215,-5.20058486586771,3.9317575877802025,0.0,1.3799937724574576,0.0072362184641938,0.6911929697964186,0.177772122598098,0.1930280349722508,0.0963261731670504,0.168854983704022,0.0410885601137853,1.0859380398479788,0.0180682990768887,28.197697044877163,0.0267512818750124,0.0289791532627919,7.451425080157495,2955798000.0,5660785000.0,2642971000.0,4999621000.0,633750500.0,210606500.0,1497021000.0,47.897603675711856,37.99130663324101,269.10969815821926,1.8790084073796287,2.3689630069541563,0.3344361077135383,0.0315888951825791,0.2461957827235793,2023-05-03,1.06,bmo,1279340000.0,2025-04-25,2023-04-01,-0.0377358490566038,97.62564516129032,983493.5645161292
2022-12-31,GRMN,USD,1121788,2023-02-22,2023-02-22 07:02:02,2022,Q4,1306356000.0,561386000.0,744970000.0,0.5702656856,215712000,204421000.0,57662000.0,262083000.0,3860000.0,477795000.0,1039181000.0,14306000.0,14306000.0,41499000.0,222640000.0,0.1704282753,181141000.0,0.1386612838,62702000.0,329876000.0,0.2525161595,36604000.0,293272000.0,0.2244962323,1.53,1.53,191613000,192104000,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/0000950170-23-003566-index.htm,https://www.sec.gov/Archives/edgar/data/1121788/000095017023003566/grmn-20221231.htm,6.817679385010412,1.5305433347424235,1.924008287537902,1.6116390850307651,7.580289437564257,32.37953583525126,28.483897230354938,32.37953583525126,0.6724334987709603,17683963770.0,16519310770.0,15.074712016489812,13.53686420087633,47.96756884976877,57.26468218424862,2.850257041039015,2.850257041039015,12.645336164108404,74.1974073392023,44.808459631372656,53.49327183940986,0.0165840647387845,0.0174627704521699,0.0184614318364241,0.0148154807099054,-5.231104024434064,3.2643089709359665,12.66189011603523,1.257075343026269,0.0158347983315281,0.95482009874792,0.1564818472146949,0.1651249735906598,0.0965513628596965,0.1623533560278301,0.0458175260036314,1.4422998144533603,0.0144906901334705,33.39253452466118,0.0247013119821329,0.0419876831051803,6.136377750987668,2743516000.0,5457885000.0,2428321000.0,4775016000.0,648959500.0,240545500.0,1524158000.0,45.25277183248671,34.05416237668912,242.8882266390683,1.9888284486341568,2.6428487362122617,0.370540809018874,0.0472688472907674,0.3123692025071368,2023-02-22,1.16,bmo,1053000000.0,2025-04-25,2022-12-31,0.163793103448276,88.36587301587302,947513.0
