date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,HBAN,USD,49196,2025-04-29,2025-04-29 11:58:13,2025,Q1,1920000000.0,0.0,1920000000.0,1.0,0,708000000.0,29000000.0,737000000.0,-737000000.0,0.0,0.0,2489000000.0,1063000000.0,209000000.0,0.0,0.0,0.0,0.0,653000000.0,653000000.0,0.3401041667,122000000.0,527000000.0,0.2744791667,0.3437612152096462,0.3374094646054097,1454498000,1481879000,https://www.sec.gov/Archives/edgar/data/49196/000004919625000038/0000049196-25-000038-index.htm,https://www.sec.gov/Archives/edgar/data/49196/000004919625000038/hban-20250331.htm,1.3200430664050415,0.3623243208309671,0.352699006805097,0.352699006805097,20.23859778425271,14.084584509569623,9.810257559652884,14.04883334318782,13.538004177386288,21832014980.0,38862014980.0,10.35674334914611,11.370841135416669,42.55753407407407,42.55753407407408,1.0684161192130763,1.0684161192130763,20.240632802083333,59.5130397856049,75.75441516569201,75.75441516569201,0.0241388621472996,0.0234976020523049,0.9116178917490456,0.0888757419034714,26.079632465543646,44.33283132530121,0.6142991533396049,0.9661016949152542,0.0115884860024037,0.4800759013282732,0.0,0.0,0.0296618256073589,0.0,0.0,0.0,0.0109375,10.701881376169537,0.0144533057513813,0.0025912213158684,-109.77876903233968,28773000000.0,14269000000.0,-159673000000.0,36075000000.0,3790000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0257903494176372,0.0,2025-04-17,0.31,bmo,1977017270.0,2025-05-11,2025-03-31,0.0967741935483871,16.111166666666666,22298296.633333333
2024-12-31,HBAN,USD,49196,2025-02-14,2025-02-14 13:01:14,2024,Q4,1954000000.0,0.0,1954000000.0,1.0,0,735000000.0,28000000.0,763000000.0,1191000000.0,1954000000.0,1954000000.0,2510000000.0,1115000000.0,130000000.0,0.0,0.0,0.0,0.0,669000000.0,669000000.0,0.3423746162,135000000.0,530000000.0,0.2712384852,0.34,0.34,1451421000,1476442000,https://www.sec.gov/Archives/edgar/data/49196/000004919625000020/0000049196-25-000020-index.htm,https://www.sec.gov/Archives/edgar/data/49196/000004919625000020/hban-20241231.htm,1.3462668653684906,0.3651593851818321,1.02244627850913,1.0038438192640178,11.858034298800968,13.629401806918874,9.331544741325914,13.600464648093144,12.088842589434767,23614619670.0,26713619670.0,11.138971542452827,12.085271069600818,15.91281648921833,16.207700528483183,1.1962826580547112,1.1962826580547112,13.671248551688844,0.0,18.001091421832886,18.334673761153056,0.0224437237358225,0.0616990669492328,0.8323708206686931,0.0804534103706605,0.0,174.5845070422535,0.0,2.7790262172284645,0.0110948219222367,0.4943396226415094,0.3761514841351074,0.0,0.0305439945159868,0.0181940700808625,0.0138178096212896,0.2076923076923077,0.0127942681678608,10.570836743343028,0.0,0.002676875833367,-111.30609244319876,24649000000.0,13544000000.0,-159657000000.0,31953000000.0,7252000000.0,0.0,0.0,349.12998976458545,0.0,0.0,0.2577836411609499,0.0,0.0,0.0268490374873353,0.0186024592451122,2025-01-17,0.3,bmo,1895045600.0,2025-04-25,2024-12-31,0.1333333333333334,16.44234375,14061413.84375
2024-09-30,HBAN,USD,49196,2024-10-29,2024-10-29 12:56:38,2024,Q3,1874000000.0,-1177000000.0,3051000000.0,1.6280683031,0,699000000.0,33000000.0,732000000.0,1142000000.0,1874000000.0,1874000000.0,2555000000.0,1204000000.0,144000000.0,786000000.0,0.4194236926,642000000.0,0.3425827108,-4000000.0,638000000.0,0.3404482391,116000000.0,517000000.0,0.2758804696,0.33,0.33,1452682000,1476982000,https://www.sec.gov/Archives/edgar/data/49196/000004919624000095/0000049196-24-000095-index.htm,https://www.sec.gov/Archives/edgar/data/49196/000004919624000095/hban-20240930.htm,1.2900276867201494,0.3558934439884297,-0.3015112736304298,-0.3304233135675943,12.407395424463166,14.216463066245744,9.952625557417246,14.184797498695517,12.105884150832736,21354425400.0,24896425400.0,10.326124468085103,11.395104268943436,-48.75439589041096,-44.48838625,1.0363207512375037,1.0363207512375037,13.285178975453576,31.674841475826973,-56.84115388127854,-51.86755291666667,0.0242104383665598,-0.0224777764331696,0.7950111617975347,0.0816914753035629,4.506361323155216,0.2303097743376589,0.5332225913621262,-0.8471953578336557,0.0122691196364384,0.5067698259187621,0.3729989327641408,0.0,0.0308873762684818,-0.0958904109589041,0.0224119530416221,0.3181818181818182,0.0149413020277481,10.657683602312805,-0.0059922965077086,0.002660272407778,-107.84603925704316,-94070000000.0,14458000000.0,-151735000000.0,-86783000000.0,3462000000.0,0.0,0.0,332.5293489861259,0.0,0.0,0.2706528018486424,0.0,0.0,0.0250897796758225,0.0289120399371645,2024-10-17,0.3,bmo,1856509540.0,2025-04-25,2024-09-30,0.1,14.20109375,15197494.453125
2024-06-30,HBAN,USD,49196,2024-07-30,2024-07-30 15:06:27,2024,Q2,1803000000.0,0.0,1803000000.0,1.0,0,688000000.0,27000000.0,715000000.0,0.0,998000000.0,998000000.0,2476000000.0,1164000000.0,170000000.0,756000000.0,0.4193011647,703000000.0,0.3899057127,-117000000.0,586000000.0,0.3250138658,106000000.0,474000000.0,0.2628951747,0.3,0.3,1451207000,1474259000,https://www.sec.gov/Archives/edgar/data/49196/000004919624000076/0000049196-24-000076-index.htm,https://www.sec.gov/Archives/edgar/data/49196/000004919624000076/hban-20240630.htm,1.2424140732507492,0.3266246648479507,0.3307591542764058,0.3018177282772202,8.808529727323531,13.480502781477764,9.184768265312943,13.447426866050122,12.18227310094287,19097884120.0,22829884120.0,10.07272369198312,10.59228181919024,39.78725858333333,43.60247515981735,0.9786258836792212,0.9786258836792212,12.662165346644482,30.19825941798942,47.56225858333333,52.12302310502283,0.0248195034078989,0.0229344778326155,0.846272098385857,0.084127145840762,4.936507936507937,0.1131144622739872,0.6039518900343642,1.0126582278481011,0.0136140735992694,0.5485232067510548,0.3815862451469772,0.0,0.0317558962864856,0.0875,0.0232945091514143,0.2470588235294117,0.0183028286189683,9.941120615745309,0.0073453176538606,0.0024937393463667,-112.98457077453456,-104625000000.0,13329000000.0,-163403000000.0,-97296000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0242890084550345,0.0289414259991855,2024-07-19,0.28,bmo,1808349416.0,2025-04-25,2024-06-30,0.0714285714285712,13.446666666666667,16278999.984126983
2024-03-31,HBAN,USD,49196,2024-04-30,2024-04-30 14:47:23,2024,Q1,1754000000.0,0.0,1754000000.0,1.0,0,693000000.0,28000000.0,721000000.0,0.0,982000000.0,982000000.0,2380000000.0,1093000000.0,190000000.0,700000000.0,0.3990877993,663000000.0,0.3779931585,-153000000.0,510000000.0,0.2907639681,86000000.0,419000000.0,0.2388825542,0.26,0.26,1448492000,1473335000,https://www.sec.gov/Archives/edgar/data/49196/000004919624000047/0000049196-24-000047-index.htm,https://www.sec.gov/Archives/edgar/data/49196/000004919624000047/hban-20240331.htm,1.210914523518252,0.2892663542497991,0.3203331464723312,0.2982412053363084,8.564079056011355,13.374599238380329,9.068051463176875,13.339390207194793,11.162643632136042,19887795160.0,22558795160.0,11.866226229116943,11.338537719498287,42.8616275,46.03656287037037,1.029282432460408,1.029282432460408,12.861342736602053,32.22685022857143,48.61809301724138,52.21943324074074,0.0210681976875308,0.0217218649188862,0.7802504916675292,0.0779044951658493,3.815714285714286,0.1107112870337051,0.6065873741994511,1.107398568019093,0.0131739088165467,0.6252983293556086,0.395096921322691,0.0,0.0322345609475038,0.0689655172413793,0.0182440136830102,0.1684210526315789,0.0114025085518814,9.317688951445575,0.0071600223425951,0.0022372798094841,-111.66164535254596,-103796000000.0,13135000000.0,-161224000000.0,-96463000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0216851257633785,0.0220919411360228,2024-04-19,0.25,bmo,1743434390.0,2025-04-25,2024-03-31,0.04,12.944098360655738,17801855.573770493
2023-12-31,HBAN,USD,49196,2024-02-16,2024-02-16 14:05:33,2023,Q4,1721000000.0,-57000000.0,1778000000.0,1.0331202789,0,879000000.0,29000000.0,1923000000.0,509000000.0,2432000000.0,2432000000.0,2350000000.0,1034000000.0,240000000.0,487000000.0,0.2829750145,247000000.0,0.1435212086,0.0,247000000.0,0.1435212086,-1000000.0,243000000.0,0.1411969785,0.15,0.15,1448000000,1469000000,https://www.sec.gov/Archives/edgar/data/49196/000004919624000020/0000049196-24-000020-index.htm,https://www.sec.gov/Archives/edgar/data/49196/000004919624000020/hban-20231231.htm,1.1885359116022098,0.167817679558011,0.6201657458563536,0.5787292817679558,9.324585635359115,13.396408839779005,9.091850828729282,13.365331491712707,9.274861878453038,18418560000.0,20685560000.0,18.949135802469137,10.702242882045322,20.51064587973274,21.979188544152745,0.9517160130212372,0.9517160130212372,12.019500290528764,42.47548254620124,23.035144766146992,24.684439140811456,0.0131932138017304,0.0454975850446506,0.6405208494807006,0.0654598453804233,4.655030800821355,43.32741935483871,0.2388781431334622,3.620967741935484,0.0142790750199798,1.0823045267489713,0.5107495642068565,0.0,0.0329147480038866,0.066815144766147,0.0348634514816966,0.25,0.0139453805926786,7.103951410511887,0.007384248920649,0.0013268899991809,-108.05801104972376,26243000000.0,13165000000.0,-143107000000.0,33585000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125561928383196,0.0414364640883977,2024-01-19,0.26,bmo,1768950000.0,2025-04-25,2023-12-31,0.0384615384615384,10.938571428571429,15795472.61904762
2023-09-30,HBAN,USD,49196,2023-10-27,2023-10-27 13:56:41,2023,Q3,1877000000.0,0.0,1877000000.0,1.0,0,647000000.0,29000000.0,676000000.0,0.0,957000000.0,957000000.0,2313000000.0,945000000.0,214000000.0,902000000.0,0.4805540757,683000000.0,0.3638785296,5000000.0,688000000.0,0.3665423548,136000000.0,547000000.0,0.2914224827,0.35,0.35,1447993000,1467611000,https://www.sec.gov/Archives/edgar/data/49196/000004919623000097/0000049196-23-000097-index.htm,https://www.sec.gov/Archives/edgar/data/49196/000004919623000097/hban-20230930.htm,1.296276984764429,0.3777642571476519,0.689920462322677,0.6740364076345673,23.17414517887863,12.797023190029234,8.46067626017529,12.764564469579618,9.52490792427864,15059127200.0,16213127200.0,6.882599268738574,8.022976664890782,15.0742014014014,15.429433606557376,0.8147555699832278,0.8147555699832278,8.637787533297816,17.974642128603104,16.229356556556557,16.611810655737706,0.0363234862641973,0.0648111930417853,0.6950711464589082,0.0688293597642646,1.2793791574279378,49.27459618208517,0.7227513227513227,1.809782608695652,0.0175973013894191,0.4844606946983547,0.3446989877464038,0.0,0.0336405036163943,0.023023023023023,0.0122535961640916,0.1074766355140186,0.0133191262653169,10.41608922916568,0.0069277923147032,0.0030326382844248,-92.93138848046917,32875000000.0,12251000000.0,-134564000000.0,40250000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029594762754964,0.0158840546881096,2023-10-20,0.32,bmo,1820100000.0,2025-04-25,2023-09-30,0.0937499999999999,11.22063492063492,12401459.0
2023-06-30,HBAN,USD,49196,2023-07-28,2023-07-28 13:54:54,2023,Q2,1745000000.0,0.0,1745000000.0,1.0,0,636000000.0,32000000.0,668000000.0,0.0,940000000.0,940000000.0,2225000000.0,879000000.0,202000000.0,901000000.0,0.5163323782,805000000.0,0.4613180516,-106000000.0,699000000.0,0.4005730659,134000000.0,559000000.0,0.3203438395,0.36,0.35,1446372000,1465720000,https://www.sec.gov/Archives/edgar/data/49196/000004919623000082/0000049196-23-000082-index.htm,https://www.sec.gov/Archives/edgar/data/49196/000004919623000082/hban-20230630.htm,1.2064669393489365,0.3864842516309774,0.4355725912835702,0.4134482691866269,23.86799523220859,13.02431186444428,8.70246381981952,12.989742611167804,11.493585329362018,15591890160.0,20047890160.0,6.9731172450805,8.935180607449857,24.749032,26.07339491638796,0.8298855737704918,0.8298855737704918,11.488762269340974,22.25071049944506,31.822047873015872,33.52489993311037,0.0358519713943392,0.0383532717241769,0.8380349159037683,0.0835256359247765,4.945615982241954,20.548809523809524,0.9158134243458476,1.1270125223613596,0.0161622482851046,0.4508050089445438,0.3644699140401146,0.0,0.0331609241134187,0.0507936507936507,0.0183381088825214,0.1584158415841584,0.0131805157593123,10.628144072179987,0.0079187959230749,0.0030671480461334,-93.4372346809811,32842000000.0,12587000000.0,-135145000000.0,40221000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0297530338513945,0.0221243220969432,2023-07-21,0.34,bmo,1839810000.0,2025-04-25,2023-06-30,0.0294117647058822,10.68532258064516,15544455.14516129
2023-03-31,HBAN,USD,49196,2023-04-28,2023-04-28 11:54:36,2023,Q1,1835000000.0,-86000000.0,1921000000.0,1.046866485,0,669000000.0,25000000.0,694000000.0,1227000000.0,1921000000.0,1921000000.0,2028000000.0,619000000.0,142000000.0,0.0,0.0,0.0,0.0,750000000.0,750000000.0,0.408719346,144000000.0,602000000.0,0.3280653951,0.4,0.39,1443268000,1469279000,https://www.sec.gov/Archives/edgar/data/49196/000004919623000044/0000049196-23-000044-index.htm,https://www.sec.gov/Archives/edgar/data/49196/000004919623000044/hban-20230331.htm,1.2714201381863937,0.4171089499663264,0.0900733612884093,0.0727515610406383,7.52805438768129,13.033615378432836,8.70593680452972,12.99689316190756,13.98631439206024,16164601599.999998,25362601600.0,6.712874418604651,8.80904719346049,124.34308923076922,153.94858666666664,0.861744407719373,0.861744407719373,13.821581253405997,0.0,195.0969353846154,241.5485866666667,0.0372418705327077,0.0064956750929141,1.0431282652734832,0.1034907706140582,0.0,0.0,0.0,0.2145214521452145,0.0157133473676208,0.4219269102990033,0.3645776566757493,0.0,0.0330353837203152,0.1923076923076923,0.0136239782016348,0.176056338028169,0.0136239782016348,11.044238785028384,0.0,0.0032927843171574,-110.43964114772862,10369000000.0,12565000000.0,-159890000000.0,17751000000.0,3386500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0320929736645697,0.017321800247771,2023-04-20,0.37,bmo,1900430000.0,2025-04-25,2023-03-31,0.0540540540540541,13.915645161290325,20118081.887096774
2022-12-31,HBAN,USD,49196,2023-02-17,2023-02-17 15:08:18,2022,Q4,1865000000.0,-96000000.0,1961000000.0,1.0514745308,0,644000000.0,22000000.0,666000000.0,1295000000.0,1961000000.0,1961000000.0,1854000000.0,392000000.0,129000000.0,0.0,0.0,0.0,0.0,793000000.0,793000000.0,0.4252010724,144000000.0,645000000.0,0.345844504,0.43,0.42,1443000000,1468000000,https://www.sec.gov/Archives/edgar/data/49196/000004919623000020/0000049196-23-000020-index.htm,https://www.sec.gov/Archives/edgar/data/49196/000004919623000020/hban-20221231.htm,1.2924462924462925,0.446985446985447,0.9404019404019404,0.9064449064449064,5.1483021483021485,12.313929313929314,7.959805959805959,12.287595287595288,8.213444213444214,20346300000.0,24888300000.0,7.886162790697674,10.909544235924931,14.993588798820928,15.555275229357798,1.1474987310360385,1.1474987310360385,13.344932975871314,0.0,18.340677966101698,19.027752293577983,0.0317010955308827,0.0642868727975111,0.6463256443517004,0.0626551343312958,0.0,18.9549929676512,0.0,2.090909090909091,0.0124346932857571,0.3922480620155039,0.3453083109919571,0.0,0.0343509780980394,0.0361090641120117,0.0262734584450402,0.3798449612403101,0.0123324396782841,11.116585182512036,0.0,0.0036518460223187,-105.77148302148302,12766000000.0,11486000000.0,-151660000000.0,20484000000.0,3386500000.0,0.0,0.0,326.84718498659515,0.0,0.0,0.2753580392735863,0.0,0.0,0.0363769668941402,0.0339570339570339,2023-01-20,0.41,bmo,1947609939.0,2025-04-25,2022-12-31,0.024390243902439,14.472857142857142,17453144.968253966
