date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,HCA,USD,860730,2025-05-01,2025-05-01 16:30:20,2025,Q1,18321000000.0,2764000000.0,15557000000.0,0.8491348726,0,0.0,0.0,7997000000.0,0.0,12702000000.0,15466000000.0,0.0,547000000.0,860000000.0,3734000000.0,0.2038098357,2855000000.0,0.1558321052,-528000000.0,2327000000.0,0.1270127176,502000000.0,1610000000.0,0.0878772993,6.45,6.45,249440000,249440000,https://www.sec.gov/Archives/edgar/data/860730/000095017025061895/0000950170-25-061895-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000095017025061895/hca-20250331.htm,73.44852469531752,6.45445798588839,6.618826170622194,2.645926876202694,4.249518922386145,-1.7559332905708789,-42.795862732520845,-14.10760102629891,188.35391276459268,86193992000.0,131569992000.0,13.384160248447206,4.704655422738933,52.20714233797698,130.5969575757576,-24.49388803637397,-24.49388803637397,7.181376125757327,35.23567005891805,79.69109145972138,199.3484727272727,0.018678796081286,0.0076571462196576,-13.195794259732878,0.7765477106257734,12.152115693626138,1.1927224708385298,5.219378427787934,0.9046575342465754,0.0020883126053611,0.1118012422360248,0.0,0.0,0.1711930164888457,0.6002422774076317,0.0540909339009879,1.1523255813953488,0.0,,0.0450649157067362,0.0324852202336514,-200.3006735086594,2627000000.0,-10675000000.0,-43978000000.0,44734000000.0,10919500000.0,4382000000.0,1766000000.0,54.468642541346,146.1360347322721,58.41534008683068,1.6523268398268398,0.6158645276292335,1.540691192865106,-0.457516339869281,3.9728992944195,2025-04-25,5.75,bmo,18259620299.0,2025-05-11,2025-03-31,0.1217391304347826,321.64116666666666,1652802.5833333333
2024-12-31,HCA,USD,860730,2025-02-14,2025-02-13 18:26:28,2024,Q4,18285000000.0,2793000000.0,15492000000.0,0.8472518458,0,7917000000.0,0.0,7917000000.0,4729000000.0,12646000000.0,10710000000.0,0.0,528000000.0,856000000.0,3517000000.0,0.1923434509,2846000000.0,0.1556467049,-713000000.0,2133000000.0,0.1166529943,447000000.0,1438000000.0,0.078643697,5.63,5.63,252301456,255310000,https://www.sec.gov/Archives/edgar/data/860730/000095017025020134/0000950170-25-020134-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000095017025020134/hca-20241231.htm,72.47282790155599,5.699531119630162,10.14262874487732,5.049515053135484,7.661469856915927,2.199749493320404,-37.80398318430632,-9.90481798884268,181.39015416542028,75728282018.4,119032282018.4,13.165556679137689,4.14155220226415,29.592919897772564,59.44135166279435,-30.30343418103241,-30.30343418103241,6.509832213202078,33.84483423895365,46.51515514591637,93.43193251051804,0.0189889425941368,0.0168233051911893,-18.10204081632653,0.760119637726211,12.312766562411143,1.0815049087434934,5.390151515151516,1.7795549374130737,0.0021788425090629,0.1147426981919332,0.4329778506972929,0.0,0.1695931981247794,0.502149277061352,0.0702761826633852,1.5011682242990654,0.004648619086683,,0.0458779800140973,0.0290975313638203,-190.6162206214141,1237000000.0,-9538000000.0,-42544000000.0,42875000000.0,10333000000.0,4255500000.0,1757000000.0,52.917145200984415,137.7873254564984,56.004296455424274,1.7007720212073296,0.6531805425631432,1.6070195627157653,-0.5754301720688275,5.093113691741834,2025-01-24,6.13,bmo,18234267234.0,2025-04-25,2024-12-31,0.0146818923327895,349.48375,1422792.8125
2024-09-30,HCA,USD,860730,2024-10-31,2024-10-31 16:30:23,2024,Q3,17487000000.0,2657000000.0,14830000000.0,0.8480585578,0,7861000000.0,0.0,7861000000.0,0.0,14830000000.0,15077000000.0,0.0,515000000.0,842000000.0,3263000000.0,0.1865957568,2410000000.0,0.1378166638,-504000000.0,1906000000.0,0.1089952536,424000000.0,1270000000.0,0.0726253789,4.88,4.89,260245901,259917000,https://www.sec.gov/Archives/edgar/data/860730/000095017024119581/0000950170-24-119581-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000095017024119581/hca-20240930.htm,67.19414189735883,4.8800000119886615,13.506456726094603,8.930015769969803,11.097196877656106,3.0202204798606997,-35.33581111043129,-8.384377973353747,174.46576420813636,105771741543.43,147772741543.43,20.821208965242125,6.048592757101276,30.09153386726316,45.5127975660198,-48.47467531779561,-48.47467531779561,8.450434124974553,45.28738631425989,42.04060925844381,63.58551701524527,0.0120069877026515,0.0219718420637497,-20.572410632447298,0.7549571973965253,12.871897027275514,1.118255033557047,4.679611650485437,2.371794871794872,0.0015977802533449,0.1330708661417322,0.4495339394979127,0.0,0.1678803881666358,0.3388335704125177,0.068107737176188,1.4144893111638954,0.0043460856636358,,0.038055329428532,0.0256684924308264,-182.36886658975652,1762000000.0,-9196000000.0,-42011000000.0,42992000000.0,10077000000.0,4132000000.0,1788000000.0,51.02933607822954,143.4512608204742,60.1580730146782,1.7636913767019666,0.6273907910271547,1.4960585585585586,-0.5820348304307974,4.5764409561248,2024-10-25,4.99,bmo,17540045144.0,2025-04-25,2024-09-30,0.0080160320641282,366.11875,1226729.578125
2024-06-30,HCA,USD,860730,2024-07-29,2024-07-29 16:30:24,2024,Q2,17492000000.0,14761000000.0,2731000000.0,0.1561285159,0,0.0,0.0,7685000000.0,7685000000.0,15370000000.0,14761000000.0,0.0,506000000.0,819000000.0,3550000000.0,0.20294992,2731000000.0,0.1561285159,-494000000.0,2237000000.0,0.1278870341,550000000.0,1461000000.0,0.0835238966,5.55,5.53,263215800,264071000,https://www.sec.gov/Archives/edgar/data/860730/000095017024087322/0000950170-24-087322-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000095017024087322/hca-20240630.htm,66.4549772468066,5.550578650673706,7.488152306966375,2.6214231820430234,3.5522183698698937,5.087080638776244,-32.76399061150585,-6.078662451114257,164.42781930264064,82944562896.0,124887562896.0,14.193114800821355,4.741857014406586,42.08247736986301,120.20951144347826,-51.84035181,-51.84035181,7.139696026526412,35.179595181971834,63.362538252663626,180.9964679652174,0.0176141744436205,0.0083188092854881,-26.73375,0.7454643684971853,11.814929577464788,1.0609747570099992,5.397233201581027,1.3490759753593429,0.0020616179533601,0.1170431211498973,0.0,0.0,0.1736349535544362,0.649923896499239,0.0732334781614452,1.564102564102564,0.0064029270523667,,0.0432204879355359,0.030812384005399,-176.7589559593307,872000000.0,-8624000000.0,-40867000000.0,41653000000.0,10141500000.0,4382000000.0,1851500000.0,52.68179739309399,24.56540884763905,10.974866201476866,1.7083699580037113,3.663688260114172,8.200555555555555,-0.913125,4.866729124923352,2024-07-23,4.85,bmo,17053042069.0,2025-04-25,2024-06-30,0.1402061855670104,324.9157142857143,1089172.4126984128
2024-03-31,HCA,USD,860730,2024-05-02,2024-05-02 16:30:35,2024,Q1,17339000000.0,14779000000.0,2560000000.0,0.1476440394,0,7707000000.0,0.0,7707000000.0,7707000000.0,12108000000.0,14779000000.0,0.0,512000000.0,795000000.0,3554000000.0,0.2049714516,2560000000.0,0.1476440394,-313000000.0,2247000000.0,0.1295922487,445000000.0,1591000000.0,0.0917584636,6.04,5.94,263215800,268016000,https://www.sec.gov/Archives/edgar/data/860730/000095017024052195/0000950170-24-052195-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000095017024052195/hca-20240331.htm,65.8737051499188,6.044469974826739,9.380135994875689,5.132670607159601,5.2390472000541,4.824938320571941,-33.041329585837936,-6.135649911593453,161.90137522139628,86890167738.0,127709167738.0,13.653389022313013,5.011255997347021,35.19245351883354,64.31544614211695,-53.80196144767802,-53.80196144767802,7.365428671665033,35.93392451828925,51.725057812069664,94.52936176017764,0.0183104721905629,0.0155483645062542,-26.06996904024768,0.7391418840630596,11.485368598761958,1.1629251959516018,5.0,1.5518541797611565,0.0021291246733212,0.1162790697674418,0.4444893015744852,0.0,0.1749762999894666,0.4528149048197651,0.0644789203529615,1.4062893081761003,0.0050175904031374,,0.0438219152190445,0.0338546653899351,-174.10998883805607,2141000000.0,-8697000000.0,-40410000000.0,42415000000.0,10005000000.0,4484000000.0,1962000000.0,52.13449449218525,28.834833209283445,11.588740780837677,1.7263042612504975,3.1212249208025344,7.766158696794535,-0.9851393188854488,4.247465387716087,2024-04-26,5.01,bmo,16811924022.0,2025-04-25,2024-03-31,0.1836327345309381,305.5868852459016,1089618.6229508198
2023-12-31,HCA,USD,860730,2024-02-16,2024-02-16 17:03:58,2023,Q4,17303000000.0,2584000000.0,14719000000.0,0.850661735,0,7570000000.0,0.0,7570000000.0,-3650000000.0,11918000000.0,14502000000.0,0.0,491000000.0,789000000.0,3590000000.0,0.2074784719,2801000000.0,0.1618794429,-456000000.0,2345000000.0,0.1355256314,484000000.0,1607000000.0,0.0928740681,6.05,5.93,265537300,271186000,https://www.sec.gov/Archives/edgar/data/860730/000095017024016524/0000950170-24-016524-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000095017024016524/hca-20231231.htm,65.16222014760261,6.05188047027668,10.070148336975636,5.70541313781529,3.848800149734142,3.991906221837761,-33.46045922738538,-6.680793997679422,159.4879514102162,71875636364.0,112799636364.0,11.18164846981954,4.153940724960989,26.879445162303664,47.44266426666667,-40.51614225704623,-40.51614225704623,6.519079718199157,31.42051152200557,42.183858026925954,74.45520552079208,0.022358062916642,0.0210780742493545,-23.595828635851184,0.7446763089075092,11.399442896935932,1.1795337811141842,5.704684317718941,1.6639701306782826,0.0022260672474565,0.0995644057249533,0.437496387909611,0.0,0.1769226663820248,0.4334330590875093,0.0669826041726868,1.4689480354879594,0.0032942264347223,,0.0479658881740569,0.0347339298837159,-171.89298829204031,2272000000.0,-8885000000.0,-40224000000.0,42139000000.0,9574000000.0,4186000000.0,2025500000.0,51.83725365543548,147.43421052631578,70.39086687306501,1.7362030905077264,0.6104417670682731,1.2785749628896586,-0.9058624577226606,4.364735199160344,2024-01-30,5.06,bmo,16511700000.0,2025-04-25,2023-12-31,0.1719367588932806,247.16380952380956,1361394.9523809524
2023-09-30,HCA,USD,860730,2023-10-26,2023-10-26 16:30:28,2023,Q3,16213000000.0,2417000000.0,13796000000.0,0.8509220995,0,7556000000.0,0.0,7556000000.0,0.0,11704000000.0,14121000000.0,483000000.0,483000000.0,769000000.0,2861000000.0,0.1764633319,2111000000.0,0.1302041572,-462000000.0,1630000000.0,0.1005366064,355000000.0,1079000000.0,0.0665515327,3.98,3.92,271173000,275424000,https://www.sec.gov/Archives/edgar/data/860730/000095017023055641/0000950170-23-055641-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000095017023055641/hca-20230930.htm,59.7884007626128,3.979009709668736,9.141765588756993,4.911993450675399,3.665556674152663,1.3165027491675056,-34.74165938349319,-9.13439022321544,153.42604167819067,66703134540.0,106934134540.0,15.454850449490268,4.114175941528403,26.907274925373137,50.07742833333333,-26.92900062171982,-26.92900062171982,6.595579753284402,37.37648882908074,43.13599618394514,80.2808817867868,0.0161761513524218,0.0199690765536848,-16.601534113847396,0.7533019472787558,14.06186648025166,1.152091561215443,4.370600414078675,1.944313725490196,0.0024286714727454,0.1501390176088971,0.4660457657435391,0.0,0.179120335598747,0.4626865671641791,0.0707456978967495,1.491547464239272,0.0044408807746869,,0.036911642590552,0.0240789091964026,-167.18662993734628,1887000000.0,-9421000000.0,-39938000000.0,40861000000.0,8947500000.0,3981000000.0,2040000000.0,50.970209091469805,154.12081092263136,75.58957385188249,1.7657373121324331,0.5839574776516067,1.1906403940886698,-0.4356075898264029,4.229772138081594,2023-10-24,3.98,bmo,15827000000.0,2025-04-25,2023-09-30,-0.0175879396984924,273.63380952380953,1272785.3333333333
2023-06-30,HCA,USD,860730,2023-08-02,2023-08-02 16:32:02,2023,Q2,15861000000.0,2478000000.0,13383000000.0,0.8437677322,0,7277000000.0,0.0,7277000000.0,0.0,11083000000.0,13561000000.0,485000000.0,485000000.0,763000000.0,3063000000.0,0.1931151882,2293000000.0,0.1445684383,-491000000.0,1809000000.0,0.1140533384,397000000.0,1193000000.0,0.0752159385,4.35,4.29,274494000,278198000,https://www.sec.gov/Archives/edgar/data/860730/000095017023037237/0000950170-23-037237-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000095017023037237/hca-20230630.htm,57.78268377450873,4.346178787150175,9.016590526568889,4.495544529206467,3.5009872711243237,1.679453831413437,-33.44335395309187,-8.389983023308343,150.17814597040373,83303439120.0,123179439120.0,17.456713981559094,5.252092498581426,33.6579552,67.50683883306321,-36.17170608771168,-36.17170608771168,7.766183665594856,40.215291909892265,49.76947035151515,99.82126346839546,0.0143211374296499,0.0148133139884225,-17.689101172383847,0.7601224017613912,13.018609206660138,1.2029449978345603,4.727835051546392,1.7528328611898016,0.0019687062350901,0.1374685666387259,0.4587983103209129,0.0,0.1798895398738664,0.5014141414141414,0.0782422293676313,1.6264744429882043,0.0035306727192484,,0.0402705022075096,0.0271426296271016,-162.52541039148397,2343000000.0,-9180000000.0,-39245000000.0,40738000000.0,8685000000.0,3796000000.0,2067500000.0,49.440136183090594,138.8498789346247,74.45520581113801,1.820383335246184,0.6481820559769814,1.208780487804878,-0.5180199739470256,4.521045997362419,2023-07-27,4.22,bmo,15615600000.0,2025-04-25,2023-06-30,0.0165876777251185,278.01629032258063,1308233.741935484
2023-03-31,HCA,USD,860730,2023-04-27,2023-04-27 16:31:00,2023,Q1,15591000000.0,2423000000.0,13168000000.0,0.8445898275,0,7084000000.0,0.0,7084000000.0,3650000000.0,10734000000.0,13157000000.0,479000000.0,479000000.0,756000000.0,3157000000.0,0.2024886152,2416000000.0,0.1549611956,-512000000.0,1922000000.0,0.1232762491,379000000.0,1363000000.0,0.0874222308,4.92,4.85,276910000,280961000,https://www.sec.gov/Archives/edgar/data/860730/000095017023015314/0000950170-23-015314-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000095017023015314/hca-20230331.htm,56.303492109349605,4.922176880574916,6.511140803871294,2.188436676176375,4.449098985229858,0.8378173413744537,-33.79437362319887,-9.010147701419234,148.2467227619082,73015628800.0,112745628800.0,13.39244842259721,4.68319086652556,40.4967436494731,120.48783630363036,-29.26478108216433,-29.26478108216433,7.231455891219293,35.71290110864745,62.532240044370496,186.0488924092409,0.0186672363492677,0.0082995929770038,-16.26132264529058,0.769706512872076,12.584732340829902,1.2278745012694958,5.04384133611691,1.1685029163966298,0.0023967471468245,0.1283932501834189,0.4543646975819383,0.0,0.1819354593917778,0.6638935108153078,0.0767750625360785,1.5833333333333333,0.0049387467128471,,0.0440205154045612,0.0316087289255815,-157.85544039579648,2513000000.0,-9358000000.0,-38938000000.0,40188000000.0,8774000000.0,4004000000.0,2076500000.0,49.97306138156628,139.99587288485347,77.4453157243087,1.8009703130414694,0.6428760944547626,1.1621103117505995,-0.5462925851703406,4.322704127694919,2023-04-21,3.93,bmo,15268500000.0,2025-04-25,2023-03-31,0.2544529262086513,254.01241935483876,1269914.5161290322
2022-12-31,HCA,USD,860730,2023-02-17,2023-02-17 17:12:43,2022,Q4,15497000000.0,2429000000.0,13068000000.0,0.8432599858,0,7055000000.0,0.0,7055000000.0,3600000000.0,10655000000.0,13084000000.0,453000000.0,453000000.0,750000000.0,3163000000.0,0.2041040201,2429000000.0,0.1567400142,-1735000000.0,3302000000.0,0.2130734981,656000000.0,2081000000.0,0.134284055,7.5,7.28,277378300,285663000,https://www.sec.gov/Archives/edgar/data/860730/000095017023003234/0000950170-23-003234-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000095017023003234/hca-20221231.htm,55.869547113094285,7.502389336152107,9.110301707091002,4.340642364597374,4.647083063094698,-0.2631784822388773,-35.064026277470155,-9.975546032259912,145.24928590304287,66559696868.0,105487696868.0,7.996119277751082,4.295005282828934,26.33941308587257,55.28214025581396,-24.054823588001447,-24.054823588001447,6.806975341549977,33.3505206664559,41.74424094499406,87.61436616943521,0.0312651664283718,0.0180890246899373,-14.396819660281894,0.7596780960372249,12.30730319317104,1.3778024641486568,5.362030905077263,0.955026455026455,0.0023437606741114,0.0749639596347909,0.4552494031102794,0.0,0.184084061177009,0.5235457063711911,0.0853713621991353,1.764,0.0053558753307091,,0.044983515253692,0.0486385415449339,-156.8967363344573,3741000000.0,-9726000000.0,-38868000000.0,41034000000.0,8721500000.0,4200000000.0,2038500000.0,51.63515519132735,157.0646356525319,76.62412515438453,1.7429985378472612,0.5730125029488087,1.1745647969052224,-0.7520780628839899,4.769659342493627,2023-01-27,4.79,bmo,15630314881.0,2025-04-25,2022-12-31,-0.0313152400835073,223.96587301587303,1357296.9523809524
