date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-02-02,HD,USD,354950,2025-03-21,2025-03-20 18:36:42,2024,Q4,39704000000.0,26670000000.0,13034000000.0,0.3282792666,0,0.0,0.0,7725000000.0,814000000.0,8539000000.0,35209000000.0,30000000.0,638000000.0,956000000.0,5481000000.0,0.1380465444,4495000000.0,0.1132127745,-608000000.0,3887000000.0,0.097899456,890000000.0,2997000000.0,0.0754835785,3.02,3.02,991000000,994000000,https://www.sec.gov/Archives/edgar/data/354950/000035495025000085/0000354950-25-000085-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495025000085/hd-20250202.htm,40.064581231079714,3.024217961654894,4.713420787083754,3.602421796165489,1.674066599394551,6.700302724520686,-22.01614530776993,6.700302724520686,63.49949545913219,405081160000.0,465712160000.0,33.790553887220554,10.202527705017127,86.72257760650824,113.46811204481791,61.00619879518072,61.00619879518072,11.729603062663712,84.9684656084656,99.70288160993364,130.4515854341737,0.0073985173736542,0.0088130487233718,9.38102409638554,0.6480508536293553,11.06203247582558,1.1054394473326123,7.045454545454546,1.5585585585585586,0.0055174128562286,0.7457457457457457,0.0,0.0,0.2960704959477314,0.2357096981374438,0.0277302035059439,1.151673640167364,0.0,21.35231735855538,0.0470703142675042,0.0442943497731337,-73.07492431886983,3022000000.0,-21818000000.0,-57796000000.0,66774000000.0,5342500000.0,12722000000.0,23674000000.0,11.113993552286924,40.28571428571429,79.13723284589427,8.097899245359983,2.234042553191489,1.1372649353972113,0.4513554216867469,1.1109989909182645,2025-02-25,3.04,bmo,39152578802.0,2025-05-11,2025-02-02,0.0296052631578946,408.535625,3291627.90625
2024-10-27,HD,USD,354950,2024-11-19,2024-11-18 18:28:53,2024,Q3,40217000000.0,26792000000.0,13425000000.0,0.3338140587,0,0.0,0.0,7212000000.0,795000000.0,8007000000.0,34799000000.0,30000000.0,625000000.0,795000000.0,6243000000.0,0.1552328617,5418000000.0,0.1347191486,-595000000.0,4823000000.0,0.1199244101,1175000000.0,3648000000.0,0.0907079096,3.68,3.67,991000000,993000000,https://www.sec.gov/Archives/edgar/data/354950/000035495024000240/0000354950-24-000240-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495024000240/hd-20241027.htm,40.58224016145308,3.681130171543895,4.2714429868819375,3.4460141271442986,1.544904137235116,5.838546922300706,-22.9606458123108,5.838546922300706,64.58425832492432,399263990000.0,461110990000.0,27.36184141995614,9.92774175100082,94.3217552563194,116.91478477306003,69.00518320082959,69.00518320082959,11.465574010990377,73.86048213999679,108.9324332624616,135.02518008784773,0.0091368119624311,0.0085532381720675,10.953681299688904,0.6516079947359763,9.90661540925837,1.1325794032723773,8.6688,1.160361842105263,0.0055952954835721,0.612390350877193,0.0,0.0,0.2934281954268794,0.193243562485235,0.0203396573588283,0.8221105527638191,0.0026357013203371,21.99045594700704,0.0554134129508112,0.0530818927885454,-74.33097880928355,3857000000.0,-22754000000.0,-58529000000.0,67491000000.0,5642500000.0,13356000000.0,23478500000.0,12.939304274311857,45.36951328754852,80.27508211406389,6.955551712210307,1.9837109432844664,1.1211449135874796,0.6304873833390944,0.8254288597376388,2024-11-12,3.64,bmo,39309485951.0,2025-04-25,2024-10-27,0.0082417582417581,364.7428125,3238750.234375
2024-07-28,HD,USD,354950,2024-08-20,2024-08-19 17:50:05,2024,Q2,43175000000.0,28759000000.0,14416000000.0,0.3338969311,0,0.0,0.0,7144000000.0,738000000.0,7882000000.0,36641000000.0,84000000.0,573000000.0,920000000.0,7454000000.0,0.1726462073,6534000000.0,0.1513375796,-489000000.0,6045000000.0,0.1400115808,1484000000.0,4561000000.0,0.1056398379,4.61,4.6,990000000,992000000,https://www.sec.gov/Archives/edgar/data/354950/000035495024000201/0000354950-24-000201-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495024000201/hd-20240728.htm,43.61111111111112,4.607070707070707,5.463636363636364,4.737373737373737,1.6292929292929292,4.4646464646464645,-24.45252525252525,4.4646464646464645,65.84343434343434,358053300000.0,421052300000.0,19.62581122560842,8.293070063694268,66.19584026622296,76.34398720682303,81.00753393665158,81.00753393665158,9.752224667052692,56.48675878722833,77.84290996487336,89.77660980810235,0.0127383269474125,0.0130986085032591,14.618099547511312,0.667162298907544,8.45170378320365,1.1475660491412722,11.403141361256544,1.1859241394431046,0.0062309158999512,0.4891471168603376,0.0,0.0,0.2956033289965512,0.1329266038084673,0.016653155761436,0.7815217391304348,0.0022698320787492,21.51281464048206,0.0667735008659203,0.0668591867249113,-75.91489898989899,4150000000.0,-24208000000.0,-60153000000.0,68031000000.0,4804000000.0,12884500000.0,22738000000.0,11.471221771858715,41.32758440835912,72.1652352307104,7.845720516082137,2.1777222474632745,1.2471379011274937,1.031900452488688,0.7262626262626263,2024-08-13,4.49,bmo,42572443053.0,2025-04-25,2024-07-28,0.0244988864142537,341.11539682539683,3749074.968253968
2024-04-28,HD,USD,354950,2024-05-21,2024-05-20 18:05:58,2024,Q1,36418000000.0,24672000000.0,11746000000.0,0.3225328134,0,0.0,0.0,6667000000.0,687000000.0,6667000000.0,31339000000.0,57000000.0,485000000.0,837000000.0,5916000000.0,0.1624471415,5079000000.0,0.1394640013,-428000000.0,4651000000.0,0.1277115712,1051000000.0,3600000000.0,0.0988522159,3.64,3.63,989000000,992000000,https://www.sec.gov/Archives/edgar/data/354950/000035495024000152/0000354950-24-000152-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495024000152/hd-20240428.htm,36.82305358948432,3.640040444893832,5.558139534883721,4.701718907987867,4.311425682507584,1.840242669362993,-6.717896865520728,1.840242669362993,52.06875631951466,333095200000.0,379842200000.0,23.131611111111116,9.146444066121148,60.59581589958159,71.63337634408602,183.01934065934063,183.01934065934063,10.430067549014224,64.20591615956728,69.09990904129525,81.68649462365592,0.010807721035908,0.0139599730047145,28.02802197802198,0.6438344061592831,7.901791751183232,1.3392175376657498,10.472164948453608,1.5269444444444444,0.0066917806080664,0.6191666666666666,0.0,0.0,0.1068282216332197,0.1540840458431872,0.0232577296941073,1.01194743130227,0.0034049096600582,12.276707590403271,0.0693164699801784,0.0508718876296526,-59.5139029322548,8263000000.0,-6644000000.0,-44788000000.0,50637000000.0,3716500000.0,11300000000.0,21696000000.0,10.144708660552476,45.82806420233463,81.7704280155642,8.871619975639463,1.9638621348404044,1.100642398286938,1.978021978021978,0.8564206268958544,2024-05-14,3.6,bmo,36627412170.0,2025-04-25,2024-04-28,0.0083333333333332,365.34213114754095,3175445.5901639345
2024-01-28,HD,USD,354950,2024-03-13,2024-03-13 16:31:59,2023,Q4,34786000000.0,23278000000.0,11508000000.0,0.3308227448,0,5579000000.0,1100000000.0,6679000000.0,686000000.0,7365000000.0,30643000000.0,55000000.0,513000000.0,832000000.0,4975000000.0,0.1430173058,4143000000.0,0.1190996378,-458000000.0,3685000000.0,0.1059334215,884000000.0,2801000000.0,0.0805208992,2.83,2.82,991000000,994000000,https://www.sec.gov/Archives/edgar/data/354950/000035495024000062/0000354950-24-000062-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495024000062/hd-20240128.htm,35.10191725529768,2.826437941473259,4.77598385469223,3.910191725529768,3.7941473259334,1.053481331987891,-11.117053481331988,1.053481331987891,53.2351160443996,352498700000.0,400981700000.0,31.461861835058908,10.133349623411718,74.47680118318192,90.9674064516129,337.6424329501916,337.6424329501916,11.527099982751682,80.59933668341708,84.72040988802028,103.47914838709676,0.0079461285956515,0.0109929483427882,50.0411877394636,0.6826473278452895,9.74532663316583,1.3524869407222349,8.076023391812866,1.6897536594073546,0.0058978940915243,0.7422349161013924,0.1603806128902432,0.0,0.1575983274532862,0.181280371857173,0.0246650951532225,1.03125,0.0022997757718622,8.185107889679777,0.0553129066632894,0.0434472382075105,-59.27547931382442,7760000000.0,-11017000000.0,-45711000000.0,53859000000.0,3630000000.0,10757500000.0,21890500000.0,8.610360489852239,38.80616891485523,81.09975083770084,10.452524038461538,2.319218890106605,1.109744469870328,2.6829501915708813,0.8657921291624622,2024-02-20,2.77,bmo,34642562215.0,2025-04-25,2024-01-28,0.0180505415162454,309.6928571428572,3450557.3492063493
2023-10-29,HD,USD,354950,2023-11-21,2023-11-20 17:41:31,2023,Q3,37710000000.0,24972000000.0,12738000000.0,0.337788385,0,0.0,0.0,6649000000.0,683000000.0,7332000000.0,32304000000.0,49000000.0,487000000.0,827000000.0,6282000000.0,0.1665871122,5406000000.0,0.1433571997,-438000000.0,4968000000.0,0.1317422434,1158000000.0,3810000000.0,0.1010342084,3.83,3.81,996000000,999000000,https://www.sec.gov/Archives/edgar/data/354950/000035495023000240/0000354950-23-000240-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495023000240/hd-20231029.htm,37.86144578313253,3.825301204819277,4.251004016064257,3.5773092369477912,2.066265060240964,1.4357429718875503,-6.533132530120482,1.4357429718875503,49.94176706827309,280354080000.0,327551080000.0,18.39593700787401,7.434475735879077,66.21494567784602,78.68483861914117,196.0518041958042,196.0518041958042,8.686053566693184,52.14120980579433,77.3620878601795,91.93126017401066,0.0135899573853178,0.012708928651939,34.44405594405595,0.6517194384534978,7.513053167780962,1.3016290514169353,11.100616016427104,1.1112860892388452,0.0074512915952569,0.5482939632545932,0.0,0.0,0.1050187226272543,0.158478979688238,0.0177936886767435,0.81136638452237,0.0022540440201538,11.116355504565142,0.0762213115125374,0.0563276167947959,-57.96937751004016,7110000000.0,-6507000000.0,-43465000000.0,47853000000.0,3884000000.0,11791000000.0,23035000000.0,9.384248210023866,41.36713118692936,82.1900528592023,9.59053916581892,2.175640355462624,1.095023021267266,2.664335664335664,0.6736947791164659,2023-11-14,3.76,bmo,35664900000.0,2025-04-25,2023-10-29,0.0132978723404256,321.5984126984127,2920393.936507937
2023-07-30,HD,USD,354950,2023-08-22,2023-08-21 17:46:19,2023,Q2,42916000000.0,28759000000.0,14157000000.0,0.329876969,0,0.0,0.0,6915000000.0,653000000.0,7568000000.0,36327000000.0,41000000.0,469000000.0,795000000.0,7425000000.0,0.1730123963,6589000000.0,0.1535324821,-428000000.0,6161000000.0,0.1435595116,1502000000.0,4659000000.0,0.1085609097,4.66,4.65,1000000000,1003000000,https://www.sec.gov/Archives/edgar/data/354950/000035495023000185/0000354950-23-000185-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495023000185/hd-20230730.htm,42.916,4.659,6.591,5.799,2.814,1.335,-6.329,1.335,49.962,333840000000.0,380519000000.0,17.913715389568576,7.778916954049771,50.65088757396449,57.56854630108639,250.06741573033707,250.06741573033707,8.866599869512536,51.24835016835017,57.73312092247003,65.6180375926884,0.0139557872034507,0.0173705966930266,37.07340823970038,0.6479243850393391,6.286734006734007,1.313823420151071,14.049040511727078,1.4146812620734064,0.0062814521926671,0.4500965872504829,0.0,0.0,0.1003312081898752,0.1201638598088302,0.0184546556063006,0.9962264150943396,0.0021204212880976,11.829823012200986,0.0913863360142827,0.0677938972396432,-57.7285,7603000000.0,-6329000000.0,-43222000000.0,48285000000.0,4024500000.0,12367000000.0,24318000000.0,8.044552148382888,37.87892485830523,72.80677353176398,11.18769551616267,2.3759914077990745,1.2361487212551043,3.4898876404494383,0.792,2023-08-15,4.45,bmo,42240400000.0,2025-04-25,2023-07-30,0.0449438202247191,295.40241935483874,4383935.806451613
2023-04-30,HD,USD,354950,2023-05-23,2023-05-22 17:42:46,2023,Q1,37257000000.0,24700000000.0,12557000000.0,0.3370373353,0,0.0,0.0,6355000000.0,651000000.0,7006000000.0,31706000000.0,33000000.0,474000000.0,793000000.0,6377000000.0,0.1711624661,5551000000.0,0.1489921357,-441000000.0,5110000000.0,0.1371554339,1237000000.0,3873000000.0,0.1039536195,3.83,3.82,1010000000,1013000000,https://www.sec.gov/Archives/edgar/data/354950/000035495023000144/0000354950-23-000144-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495023000144/hd-20230430.htm,36.88811881188119,3.8346534653465354,5.558415841584158,4.6623762376237625,1.2475247524752475,0.3584158415841584,-7.014851485148514,0.3584158415841584,49.40792079207921,300677000000.0,348845000000.0,19.408533436612444,8.070349196124218,53.55842536515853,63.85156084094288,830.5994475138122,830.5994475138122,9.36320691413694,54.70362239297475,62.13840399002494,74.08048417923126,0.0128809320300521,0.0156613242782121,136.5414364640884,0.6470819260073836,7.553395013329151,1.2741884775603238,11.710970464135022,1.4495223341079266,0.007044103805745,0.546862896979086,0.0,0.0,0.0974916869583431,0.1612041325258283,0.0242907373111093,1.141235813366961,0.0033282336205276,5.560936283732284,0.0790182030929203,0.0561801012489302,-58.33539603960397,6977000000.0,-7085000000.0,-43601000000.0,47029000000.0,3765000000.0,12036500000.0,25128500000.0,10.177147918511958,46.02024291497976,92.44493927125508,8.843342036553524,1.955661124307205,0.9735524811792992,10.69889502762431,0.8960396039603961,2023-05-16,3.8,bmo,38306300000.0,2025-04-25,2023-04-30,0.0052631578947368,306.59354838709675,3902114.7258064514
2023-01-29,HD,USD,354950,2023-03-15,2023-03-15 16:22:15,2022,Q4,35831000000.0,23905000000.0,11926000000.0,0.332840278,0,0.0,0.0,6549000000.0,625000000.0,7174000000.0,31079000000.0,43000000.0,451000000.0,759000000.0,5554000000.0,0.1550054422,4752000000.0,0.1326225894,-408000000.0,4344000000.0,0.1212358014,982000000.0,3362000000.0,0.0938293656,3.31,3.3,1015000000,1018000000,https://www.sec.gov/Archives/edgar/data/354950/000035495023000059/0000354950-23-000059-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495023000059/hd-20230129.htm,35.30147783251231,3.3123152709359607,4.526108374384236,3.6364532019704434,2.716256157635468,1.5389162561576355,-5.795073891625616,1.5389162561576355,50.06403940886699,318953600000.0,366560600000.0,23.717549077929803,8.90161033741732,69.42829777971268,86.41387157951775,204.1956466069142,204.1956466069142,10.230264296279758,65.999387828592,79.79116238572051,99.3120021674343,0.010540718148345,0.0115722161468,32.24327784891165,0.658826607364772,8.571660064818149,1.4050627434011251,10.53658536585366,1.366448542534206,0.0060604426474571,0.5749553837001785,0.0,0.0,0.0973771992936097,0.1965607313887679,0.0252016410370907,1.1897233201581028,0.0022327035248806,10.709386343724695,0.0662529580767974,0.0487239315372241,-56.35,9361000000.0,-5882000000.0,-42412000000.0,49377000000.0,3524500000.0,11922500000.0,25302500000.0,8.331612291032904,43.08178205396361,93.69336958795232,10.802230931564669,2.08905007428122,0.9605802459214016,2.1523687580025608,0.8896551724137931,2023-02-21,3.28,bmo,35970714841.0,2025-04-25,2023-01-29,0.0060975609756097,304.6295238095238,4005331.8412698414
2022-10-30,HD,USD,354950,2022-11-22,2022-11-21 17:47:45,2022,Q3,38872000000.0,25648000000.0,13224000000.0,0.3401934554,0,0.0,0.0,6468000000.0,608000000.0,7076000000.0,32724000000.0,7000000.0,413000000.0,743000000.0,6898000000.0,0.1774542087,6148000000.0,0.1581601153,-406000000.0,5742000000.0,0.1477155793,1403000000.0,4339000000.0,0.1116227619,4.25,4.24,1020000000,1023000000,https://www.sec.gov/Archives/edgar/data/354950/000035495022000239/0000354950-22-000239-index.htm,https://www.sec.gov/Archives/edgar/data/354950/000035495022000239/hd-20221030.htm,38.10980392156863,4.253921568627451,2.783333333333333,2.0294117647058822,2.4137254901960783,1.272549019607843,-6.015686274509804,1.272549019607843,49.14313725490196,302052600000.0,349303600000.0,17.403353307213642,7.77044144885779,106.3940119760479,145.9191304347826,232.70616332819725,232.70616332819725,8.985995060712082,50.63838793853291,123.03754843254669,168.74570048309178,0.0143650476771264,0.0068531110144392,38.29969183359014,0.6467488876746545,6.849956509133082,1.387191103789127,14.886198547215496,0.654298225397557,0.0064425864899027,0.448490435584236,0.0,0.0,0.0967137616111154,0.2708700246565692,0.019782877135213,1.034993270524899,0.0023152912121835,11.036293931253562,0.084851658017935,0.0624927987095287,-56.32107843137255,9401000000.0,-6136000000.0,-41887000000.0,48598000000.0,3728500000.0,13375000000.0,25903500000.0,8.64066680386911,43.51918278228322,90.24914223331254,10.415862808145766,2.068053539751653,0.9972393949998056,3.342835130970724,0.753921568627451,2022-11-15,4.12,bmo,37951058695.0,2025-04-25,2022-10-30,0.029126213592233,295.17609375,3358655.890625
