date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,HES,USD,4447,2025-04-30,2025-04-30 07:30:32,2025,Q1,2938000000.0,1718000000.0,1220000000.0,0.4152484683,0,271000000.0,578000000.0,849000000.0,-410000000.0,439000000.0,2157000000.0,0.0,92000000.0,619000000.0,1492000000.0,0.5078284547,781000000.0,0.2658270933,0.0,781000000.0,0.2658270933,259000000.0,430000000.0,0.1463580667,1.81,1.81,308600000,308600000,https://www.sec.gov/Archives/edgar/data/4447/000162828025020816/0001628280-25-020816-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828025020816/q12025hesscorporationex991.htm,9.520414776409591,1.3933895009721322,,,4.290343486714193,58.36357744653273,58.36357744653273,58.36357744653273,29.87362281270253,49292678000.0,57095678000.0,28.65853372093023,16.777630360789654,0.0,0.0,2.736809616345566,2.736809616345566,19.43351872021784,38.26788069705094,0.0,0.0,0.008723405127228,,0.5067458775192938,0.3363180779718476,5.229892761394102,2.799154334038055,8.48913043478261,0.0,0.0031302823514681,0.3588372093023256,0.0922396187882913,0.0,0.0,0.0,,0.0,,42.77583326127481,0.0229178557316591,0.0158449406735942,-25.285158781594298,851000000.0,18011000000.0,-7803000000.0,22304000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0238742990394758,,2025-04-30,1.64,bmo,2762957400.0,2025-05-11,2025-03-31,0.1036585365853659,147.04341666666667,1990968.3333333333
2024-12-31,HES,USD,4447,2025-02-27,2025-02-27 16:41:15,2024,Q4,3141000000.0,745000000.0,2396000000.0,0.7628143903,0,135000000.0,665000000.0,788000000.0,0.0,800000000.0,1453000000.0,0.0,93000000.0,629000000.0,1646000000.0,0.5240369309,1688000000.0,0.5374084686,-760000000.0,928000000.0,0.2954473098,288000000.0,542000000.0,0.1725565107,1.76,1.76,307954545,308500000,https://www.sec.gov/Archives/edgar/data/4447/000162828025008716/0001628280-25-008716-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828025008716/hes-20241231.htm,10.199557210626653,1.760000002597786,4.260369009978405,-1.4417712198402528,3.8025092307048105,38.97653142284359,37.80752773108122,36.42095946335197,31.020811853905258,40961034030.45,49250034030.45,18.893465881203877,13.040762187344791,31.22030032808689,-92.25458114966216,3.652018012700606,3.652018012700606,15.679730668720152,29.921041330771565,37.53813569394055,-110.92350006858108,0.0132320878324771,-0.0108395701063096,0.8434379457917262,0.3562954314338443,5.035844471445929,1.1227883934890304,18.150537634408604,2.4206642066420665,0.0037596707125488,0.2841328413284132,0.0429799426934097,0.0,0.0135588113442054,1.3384146341463414,0.5590576249602037,2.5157593123209168,0.0066857688634192,37.977229978995965,0.0483165074721707,0.020694131571914,-43.43822884640329,347000000.0,11643000000.0,-11375000000.0,21370000000.0,0.0,195500000.0,198500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048323823109843,5.702140229818657,2025-01-29,1.44,bmo,2937947348.0,2025-04-29,2024-12-31,0.2222222222222222,139.6434375,1563042.5
2024-09-30,HES,USD,4447,2024-11-06,2024-11-06 16:15:12,2024,Q3,3191000000.0,527000000.0,2664000000.0,0.83484801,0,118000000.0,713000000.0,831000000.0,571000000.0,1402000000.0,2333000000.0,0.0,100000000.0,638000000.0,1602000000.0,0.502036979,1090000000.0,0.3415857098,-226000000.0,864000000.0,0.2707615168,270000000.0,498000000.0,0.1560639298,1.62,1.62,307407407,308300000,https://www.sec.gov/Archives/edgar/data/4447/000162828024045716/0001628280-24-045716-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828024045716/hes-20240930.htm,10.380361459540238,1.620000002146988,4.912048199281028,1.3922891584717083,6.063614465867441,37.74144583315131,36.57036149424987,35.200843420145695,31.261445824563364,41745925870.600006,49391925870.600006,20.95679009568273,13.082396073519275,27.646308523576163,97.5372099780374,3.857862107993717,3.857862107993717,15.478510144343469,30.8314144011236,32.70988468251656,115.40169595934582,0.0119293078214063,0.0102524974850641,0.8788466869975049,0.3625204894598406,4.772784019975031,1.2608843537414969,10.9,2.542087542087542,0.0036889827399529,0.3092369477911647,0.0369790034471952,0.0,0.0137231731025807,0.7165562913907285,0.3390786587276715,0.0,0.0062676277029144,35.81997688950631,0.0317061561243917,0.019247864569242,-40.88548198189642,767000000.0,11242000000.0,-10924000000.0,20859000000.0,657500000.0,412500000.0,389500000.0,0.0,66.77419354838709,67.7988614800759,0.0,1.3478260869565215,1.327455919395466,0.0460216246187967,3.519759040809319,2024-10-30,1.79,bmo,2955299294.0,2025-04-23,2024-09-30,0.1955307262569832,139.10578125,1659120.046875
2024-06-30,HES,USD,4447,2024-08-08,2024-08-08 16:13:13,2024,Q2,3202000000.0,1880000000.0,1322000000.0,0.4128669582,0,115000000.0,632000000.0,115000000.0,53000000.0,115000000.0,1995000000.0,0.0,106000000.0,663000000.0,1916000000.0,0.598376015,1207000000.0,0.3769519051,-660000000.0,1147000000.0,0.3582136165,296000000.0,757000000.0,0.2364147408,2.47,2.46,306900000,308300000,https://www.sec.gov/Archives/edgar/data/4447/000162828024036142/0001628280-24-036142-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828024036142/hes-20240630.htm,10.433365917236886,2.4666014988595637,6.168132942326491,2.417725643532095,6.598240469208212,36.49723036819811,35.324209840338874,34.17073965461062,32.551319648093845,45458028000.0,53317028000.0,15.012558784676354,14.196760774515928,24.01374960380349,61.26418867924529,4.334702774864118,4.334702774864118,16.651164272329794,27.82725887265136,28.16536080295827,71.85583288409704,0.0166527241348876,0.0163227494162307,0.942500238390388,0.3829523440526927,4.101774530271399,1.2687851704733533,11.38679245283019,2.500660501981506,0.0029477741533354,0.1770145310435931,0.0359150530918176,0.0,0.0139480821387059,0.6080295826730058,0.3594628357276702,1.7360482654600302,0.0062460961898813,43.54797293912836,0.0376046077530972,0.0297445972495088,-37.16764418377321,812000000.0,10841000000.0,-10776000000.0,20473000000.0,1502000000.0,418500000.0,382000000.0,36.961274203622736,20.77659574468085,18.28723404255319,2.434980988593156,4.331797235023042,4.921465968586388,0.0721846095165442,3.750407298794395,2024-07-31,2.48,bmo,3270108891.0,2025-04-23,2024-06-30,0.0564516129032258,153.27269841269842,2214218.6507936507
2024-03-31,HES,USD,4447,2024-05-07,2024-05-07 16:06:21,2024,Q1,3309000000.0,1689000000.0,1620000000.0,0.4895738894,0,124000000.0,622000000.0,124000000.0,32000000.0,124000000.0,1813000000.0,0.0,113000000.0,557000000.0,2053000000.0,0.6204291327,1496000000.0,0.4521003324,0.0,1415000000.0,0.427621638,348000000.0,972000000.0,0.2937443336,3.17,3.16,306400000,307900000,https://www.sec.gov/Archives/edgar/data/4447/000162828024021077/0001628280-24-021077-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828024021077/hes-20240331.htm,10.799608355091385,3.172323759791123,2.8883812010443863,-0.2349869451697128,4.693211488250653,34.3701044386423,33.195169712793735,32.20626631853786,31.840731070496084,47424592000.0,55629592000.0,12.197683127572017,14.33200120882442,53.587109604519775,-658.6748888888889,4.805897040940414,4.805897040940414,16.811602296766395,27.09673258645884,62.85829604519774,-772.6332222222222,0.0204956955665533,-0.0015181996715965,0.977199027158492,0.3901047777013633,3.996590355577204,1.228058285327008,13.238938053097344,0.910493827160494,0.0028887965973434,0.1409465020576131,0.0374735569658507,0.0,0.0145636959423924,1.08135593220339,0.2892112420670897,1.718132854578097,0.0117860380779691,47.94575931998898,0.0494511288770586,0.0399031158914569,-36.85460182767624,673000000.0,10171000000.0,-10564000000.0,19622000000.0,1509500000.0,402500000.0,343000000.0,45.938349954669086,21.47424511545293,20.355239786856128,1.9591474245115448,4.19106699751861,4.421465968586388,0.0985002026753141,3.123368146214099,2024-04-25,1.67,bmo,2983648267.0,2025-04-23,2024-03-31,0.8922155688622756,145.23065573770492,2798937.4590163934
2023-12-31,HES,USD,4447,2024-02-26,2024-02-26 16:04:11,2023,Q4,3011000000.0,2066000000.0,945000000.0,0.3138492195,0,168000000.0,886000000.0,168000000.0,2909000000.0,168000000.0,2234000000.0,0.0,135000000.0,557000000.0,1358000000.0,0.4510129525,777000000.0,0.2580538027,-712000000.0,685000000.0,0.2274991697,182000000.0,413000000.0,0.137163733,1.34,1.34,307158272,307900000,https://www.sec.gov/Archives/edgar/data/4447/000162828024006845/0001628280-24-006845-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828024006845/hes-20231231.htm,9.802763833754083,1.3445836809499958,4.375594351566088,-0.3255650559200958,5.495538143931217,31.2607566694476,30.088722468135256,29.25527592497981,31.687246892702927,44279936491.52,52189936491.52,26.80383564861985,14.706056622889404,32.946381318095234,-442.7993649152,4.927658189574895,4.927658189574895,17.333090830793754,38.43147017048601,38.83179798476191,-521.8993649152,0.009327023314026,-0.0022583591559385,1.0681059425773425,0.3998000583163244,5.824742268041237,1.0489296636085628,5.755555555555556,3.254237288135593,0.0030262012689576,0.324455205811138,0.0557954168050481,0.0,0.0149956262756695,1.074404761904762,0.4795748920624377,2.5831842576028623,0.0059780803719694,29.75002097956211,0.0261867176601598,0.0174652175751681,-37.65973784355708,160000000.0,9242000000.0,-10975000000.0,18780000000.0,665000000.0,414000000.0,318500000.0,39.75423447359681,17.512100677637946,13.24298160696999,2.2639097744360903,5.1393034825870645,6.796052631578948,0.0459603828177164,4.701159407486183,2024-01-31,1.44,bmo,2581160000.0,2025-04-23,2023-12-31,0.1319444444444444,146.59,3892341.253968254
2023-09-30,HES,USD,4447,2023-11-02,2023-11-02 16:08:28,2023,Q3,2800000000.0,1027000000.0,1773000000.0,0.6332142857,0,115000000.0,696000000.0,811000000.0,35000000.0,876000000.0,1903000000.0,96000000.0,117000000.0,503000000.0,1437000000.0,0.5132142857,932000000.0,0.3328571429,-590000000.0,817000000.0,0.2917857143,215000000.0,504000000.0,0.18,1.65,1.64,306100000,307700000,https://www.sec.gov/Archives/edgar/data/4447/000162828023036393/0001628280-23-036393-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828023036393/hes-20230930.htm,9.14733747141457,1.6465207448546226,3.221169552433845,-0.0653381247958183,6.592616791898073,30.378961123815746,29.202874877491016,28.196667755635413,30.77425677883045,46833300000.0,54118300000.0,23.230803571428577,16.726178571428573,47.498275862068965,-2341.665,5.426173096976017,5.426173096976017,19.327964285714287,37.66061238691719,54.8867139959432,-2705.915,0.0107615734957818,-0.0004270465672929,1.0778588807785887,0.4009740959441403,5.069589422407794,1.3070761014686247,7.965811965811966,1.637873754152824,0.0028612120008626,0.2658730158730158,0.0410714285714285,0.0,0.0155165725615275,1.0202839756592292,0.3592857142857142,1.7964285714285717,0.0057142857142857,32.32017889642801,0.0328393669713687,0.0220655838185718,-38.27997386475008,920000000.0,8939000000.0,-9986000000.0,18295000000.0,0.0,388000000.0,305500000.0,0.0,37.33203505355404,29.18208373904576,0.0,2.4107981220657275,3.084084084084084,0.0583941605839416,3.2865076772296637,2023-10-25,1.12,bmo,2341690000.0,2025-04-23,2023-09-30,0.4642857142857141,150.57761904761904,1708543.142857143
2023-06-30,HES,USD,4447,2023-08-03,2023-08-03 16:21:39,2023,Q2,2289000000.0,997000000.0,1292000000.0,0.5644386195,0,108000000.0,547000000.0,655000000.0,31000000.0,754000000.0,1751000000.0,101000000.0,122000000.0,559000000.0,1046000000.0,0.4569681083,569000000.0,0.248580166,0.0,365000000.0,0.1594582787,160000000.0,119000000.0,0.0519877676,0.39,0.39,306000000,307500000,https://www.sec.gov/Archives/edgar/data/4447/000162828023027253/0001628280-23-027253-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828023027253/hes-20230630.htm,7.480392156862745,0.3888888888888889,3.183006535947712,0.5,7.274509803921568,29.091503267973856,27.91503267973856,27.03267973856209,30.67320261437909,41600700000.0,48638700000.0,87.39642857142856,18.17418086500655,42.7111909650924,271.9,5.0290981624758215,5.0290981624758215,21.24888597640891,46.49971319311664,49.9370636550308,317.9,0.002860528789179,0.0036778227289444,1.1199226305609284,0.4167341430499325,6.72848948374761,1.5414065751144403,4.663934426229508,4.751219512195122,0.0032210996449578,1.1260504201680672,0.0471821756225425,0.0,0.0161943319838056,0.8429158110882957,0.3586719091306247,82.1,0.0078636959370904,15.379725215764369,0.0157589300491026,0.0054412437128486,-35.826797385620914,1301000000.0,8542000000.0,-9624000000.0,18034000000.0,603500000.0,347000000.0,253500000.0,0.0,31.594784353059172,25.09528585757272,0.0,2.8485714285714288,3.5863309352517985,0.0143858800773694,2.683006535947712,2023-07-26,0.57,bmo,2093580000.0,2025-04-23,2023-06-30,0.1403508771929826,136.8640322580645,1597214.6290322582
2023-03-31,HES,USD,4447,2023-05-04,2023-05-04 07:03:39,2023,Q1,2411000000.0,539000000.0,1872000000.0,0.7764413107,0,136000000.0,603000000.0,739000000.0,448000000.0,1187000000.0,1726000000.0,0.0,123000000.0,491000000.0,1218000000.0,0.5051845707,685000000.0,0.2841144753,-81000000.0,604000000.0,0.2505184571,176000000.0,346000000.0,0.1435089175,1.13,1.13,306194690,307300000,https://www.sec.gov/Archives/edgar/data/4447/000162828023015437/0001628280-23-015437-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828023015437/hes-20230331.htm,7.874075151335903,1.1300000009797688,2.083641620303736,-0.6499132953611965,6.858381508836747,28.48187863741203,27.30615609304002,26.561531814937744,30.513265922410348,40521805274.6,47641805274.6,29.27876103656069,16.807053203898796,63.5138013708464,-203.6271621839196,4.98239336955613,4.98239336955613,19.760184684612195,39.114782655665024,74.67367597899687,-239.4060566562814,0.0085386126717528,-0.0049109361898231,1.1336530185663347,0.4202753213601969,5.845648604269294,1.6460138648180245,5.569105691056911,1.4906542056074767,0.0033808957688732,0.3959537572254335,0.0564081294068851,0.0,0.0164098823958428,1.311912225705329,0.3471588552467856,1.704684317718941,0.0145167980091248,25.98705344936851,0.0244261951989421,0.0160348503105014,-32.97656794766755,1491000000.0,8361000000.0,-9418000000.0,17926000000.0,1184500000.0,314500000.0,223000000.0,45.05599336374948,57.43970315398887,38.23747680890538,1.9975144987572493,1.566860465116279,2.353711790393013,0.0425427271609492,2.733554915664932,2023-04-26,1.06,bmo,2176730000.0,2025-04-23,2023-03-31,0.0660377358490564,139.19306451612903,1833586.4193548388
2022-12-31,HES,USD,4447,2023-02-24,2023-02-24 16:18:20,2022,Q4,2934000000.0,944000000.0,1990000000.0,0.6782549421,0,116000000.0,821000000.0,937000000.0,40000000.0,977000000.0,1921000000.0,92000000.0,124000000.0,504000000.0,1637000000.0,0.557941377,1057000000.0,0.360259032,-4000000.0,1009000000.0,0.3438991138,300000000.0,497000000.0,0.1693933197,2.04,2.03,306176864,308100000,https://www.sec.gov/Archives/edgar/data/4447/000162828023005059/0001628280-23-005059-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000162828023005059/hes-20221231.htm,9.58269662073487,1.6232447922649047,4.08913979862306,1.4991335204217129,8.11949004742566,28.163460450101155,26.987669453691968,26.06989925927257,30.2896825019411,43422002852.48,50086002852.48,21.842053748732397,14.799591974260396,34.68211090453674,94.60131340409583,5.43999033481333,5.43999033481333,17.070893951083843,30.59621432649969,40.00479461060703,109.11983192261437,0.0114458101273791,0.0105706777635151,1.1463292407917816,0.4210962308435731,4.070861331704338,1.7241228070175438,8.524193548387096,1.7658674188998589,0.002648426890641,0.2313883299798792,0.0395364689843217,0.0,0.0165677205577799,0.6333865814696485,0.2702794819359236,0.604420731707317,0.0057941376959781,30.85694629525758,0.0377536951153339,0.0232579905470541,-31.485070014957103,1651000000.0,8263000000.0,-9175000000.0,17839000000.0,1268500000.0,303000000.0,247500000.0,35.644171779141104,27.17161016949153,20.6885593220339,2.5249569707401034,3.312280701754386,4.350230414746544,0.0622650964670508,2.590006278201347,2023-01-25,1.64,bmo,2701604000.0,2025-04-23,2022-12-31,0.0853658536585366,137.37444444444444,1918223.523809524
