date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,HLT,USD,1585689,2025-04-29,2025-04-29 10:06:56,2025,Q1,2695000000.0,1998000000.0,697000000.0,0.2586270872,0,94000000.0,0.0,94000000.0,67000000.0,161000000.0,2159000000.0,0.0,145000000.0,41000000.0,596000000.0,0.2211502783,536000000.0,0.1988868275,-126000000.0,410000000.0,0.1521335807,110000000.0,300000000.0,0.1113172542,1.25,1.2345679012345678,240000000,243000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568925000089/0001585689-25-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568925000089/hlt-20250331.htm,11.090534979423868,1.2345679012345678,1.860082304526749,1.6954732510288066,3.0082304526748973,66.02057613168725,66.02057613168725,-18.016460905349795,48.888888888888886,55294650000.0,66443650000.0,46.078875,20.51749536178108,122.333296460177,134.21031553398058,-12.630116491548652,-12.630116491548652,24.654415584415585,115.15363951473137,146.99922566371683,161.27099514563108,0.0054254796802222,0.0074509920941718,-2.71356783919598,0.7405098796983108,19.322357019064125,0.0,0.0,1.5066666666666666,0.000669142493894,0.1233333333333333,0.0348794063079777,0.0,0.0,0.0,0.0,0.0,0.0133580705009276,,0.024446495166192,0.018699744436826,7.869341563786008,2764000000.0,16043000000.0,2764000000.0,3749000000.0,1579000000.0,204500000.0,0.0,52.5974025974026,0.0,0.0,1.711111111111111,0.0,0.0,-0.0685244403837368,0.0,2025-04-29,1.61,bmo,2718954837.0,2025-05-11,2025-03-31,0.0683229813664595,249.12766666666667,1826042.05
2024-12-31,HLT,USD,1585689,2025-02-06,2025-02-06 10:05:57,2024,Q4,2783000000.0,2114000000.0,669000000.0,0.2403880704,0,97000000.0,0.0,97000000.0,83000000.0,180000000.0,2294000000.0,0.0,157000000.0,39000000.0,532000000.0,0.191160618,489000000.0,0.1757096658,-153000000.0,336000000.0,0.1207330219,-169000000.0,505000000.0,0.1814588573,2.08,2.05,243000000,246000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568925000008/0001585689-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568925000008/hlt-20241231.htm,11.452674897119342,2.078189300411523,2.3950617283950617,2.069958847736625,5.3539094650205765,-15.181069958847736,-62.31687242798354,-15.33744855967078,50.041152263374485,60059880000.0,70761880000.0,29.73261386138613,21.58098454904779,103.19567010309278,119.40333996023855,-16.114805473571238,-16.114805473571238,25.426475026949337,133.0110526315789,121.58398625429554,140.6796819085487,0.008408275208009,0.0083749751081753,-3.220552723370002,0.7264858975910906,20.116541353383457,0.6961702127659575,3.1146496815286624,1.143418467583497,0.0006160518469234,0.0732673267326732,0.0348544735896514,0.0,0.6932574748819755,0.1357388316151202,0.0283866331297161,2.025641025641025,0.0129356809198706,,0.0610478741708495,0.0996448303078137,-72.93312757201646,-1428000000.0,-15143000000.0,-16939000000.0,11004000000.0,1590000000.0,204500000.0,0.0,51.19295724038807,17.412488174077577,0.0,1.7580543272267846,5.168704156479218,0.0,-0.1354977193453179,0.3251028806584362,2025-02-06,1.67,bmo,2777918800.0,2025-05-06,2024-12-31,0.0538922155688623,244.759375,1350344.484375
2024-09-30,HLT,USD,1585689,2024-10-23,2024-10-23 10:04:16,2024,Q3,2867000000.0,2078000000.0,789000000.0,0.2752005581,0,101000000.0,0.0,101000000.0,65000000.0,164000000.0,2242000000.0,0.0,140000000.0,37000000.0,662000000.0,0.2309033833,623000000.0,0.2173003139,-132000000.0,491000000.0,0.1712591559,147000000.0,344000000.0,0.1199860481,1.4,1.38,246000000,249000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568924000191/0001585689-24-000191-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568924000191/hlt-20240930.htm,11.654471544715449,1.3983739837398377,2.6991869918699187,2.508130081300813,6.4227642276422765,-13.94308943089431,-60.60162601626016,-14.105691056910567,49.19512195121951,56703000000.0,67085000000.0,41.208575581395344,19.77781653296128,85.3960843373494,91.90113452188008,-16.34092219020173,-16.34092219020173,23.39902336937565,101.33685800604228,101.0316265060241,108.72771474878444,0.0060666984110188,0.0108812584872052,-3.447262247838617,0.716759542213434,15.682779456193352,0.7955911823647295,4.45,1.930232558139535,0.0006525227942084,0.1075581395348837,0.0352284618067666,0.0,0.6877584037389898,0.0707831325301204,0.0163934426229508,1.2702702702702702,0.0153470526682943,,0.0328823754505922,0.0660142007292266,-70.4928861788618,-918000000.0,-14908000000.0,-16546000000.0,11575000000.0,1587500000.0,956500000.0,0.0,50.132542727589815,0.0,0.0,1.7952410770194114,0.0,0.0,-0.0991354466858789,0.1910569105691057,2024-10-23,1.84,bmo,2896629142.0,2025-04-25,2024-09-30,0.0434782608695651,216.44796875,1609694.6875
2024-06-30,HLT,USD,1585689,2024-08-07,2024-08-07 10:02:23,2024,Q2,2951000000.0,2076000000.0,875000000.0,0.2965096577,0,113000000.0,2000000.0,113000000.0,8000000.0,184000000.0,2226000000.0,0.0,141000000.0,34000000.0,759000000.0,0.2572009488,725000000.0,0.2456794307,-134000000.0,591000000.0,0.2002710945,169000000.0,421000000.0,0.1426635039,1.69,1.67,249000000,252000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568924000162/0001585689-24-000162-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568924000162/hlt-20240630.htm,11.85140562248996,1.6907630522088353,1.6907630522088353,1.538152610441767,3.2208835341365463,-12.36144578313253,-58.24096385542169,-12.514056224899598,44.57429718875502,53343270000.0,63499270000.0,31.676526128266037,18.0763368349712,126.70610451306412,139.27746736292428,-17.119149550706034,-17.119149550706034,21.517882073873263,83.66175230566535,150.82961995249406,165.79443864229765,0.0078922795696626,0.0071799122925909,-3.516688061617458,0.6963207727012772,13.38076416337286,0.6362991008045433,5.141843971631205,1.0,0.0006936207697803,0.0878859857482185,0.0382921043713995,0.0,0.7259325157272669,0.0902612826603325,0.0128769908505591,1.1176470588235294,0.0186377499152829,,0.0429611531197562,0.0976118710874101,-67.58835341365462,-1537000000.0,-14502000000.0,-16126000000.0,10875000000.0,1522500000.0,1924000000.0,0.0,48.12605896306337,82.93352601156069,0.0,1.8700887198986056,1.0852064819654992,0.0,-0.1351091142490372,0.1526104417670682,2024-08-07,1.86,bmo,2898864440.0,2025-04-25,2024-06-30,0.0268817204301074,205.39,1662850.142857143
2024-03-31,HLT,USD,1585689,2024-04-24,2024-04-24 10:02:09,2024,Q1,2573000000.0,1913000000.0,660000000.0,0.2565099106,0,104000000.0,0.0,104000000.0,-134000000.0,134000000.0,2047000000.0,0.0,131000000.0,36000000.0,562000000.0,0.2184220754,526000000.0,0.2044306257,-161000000.0,365000000.0,0.1418577536,97000000.0,265000000.0,0.1029926156,1.05,1.04,252000000,255000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568924000101/0001585689-24-000101-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568924000101/hlt-20240331.htm,10.21031746031746,1.0515873015873016,1.373015873015873,1.238095238095238,5.634920634920635,-11.178571428571429,-55.36507936507937,-11.242063492063492,43.96428571428572,53600400000.0,63128400000.0,50.56641509433962,20.831869413136417,154.914450867052,171.79615384615386,-18.920014119308156,-18.920014119308156,24.534939759036146,112.32811387900357,182.45202312138727,202.33461538461532,0.0049439929552764,0.0058208520831934,-3.864454641722556,0.687170474516696,16.95373665480427,0.8434022257551669,4.015267175572519,1.3056603773584905,0.0007276065103991,0.1471698113207547,0.0404197434900893,0.0,0.6989078583981924,0.0982658959537572,0.0132141469102215,0.9444444444444444,0.0159347065682083,,0.0316672432461575,0.0552428601209089,-64.39980158730158,-591000000.0,-13952000000.0,-15566000000.0,11515000000.0,1477000000.0,1196000000.0,103000000.0,51.31364166342791,91.03502352326188,0.0,1.7539195637355147,0.9886304909560724,0.0,-0.0935404165195905,0.1349206349206349,2024-04-24,1.41,bmo,2513852982.0,2025-04-25,2024-03-31,0.0851063829787234,196.66196721311476,1484866.7049180327
2023-12-31,HLT,USD,1585689,2024-02-07,2024-02-07 10:10:16,2023,Q4,2609000000.0,1996000000.0,613000000.0,0.2349559218,0,110000000.0,0.0,110000000.0,1000000.0,175000000.0,2171000000.0,124000000.0,124000000.0,33000000.0,482000000.0,0.1847451131,400000000.0,0.1533154465,-126000000.0,274000000.0,0.1050210809,124000000.0,147000000.0,0.0563434266,0.57,0.57,256000000,258000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568924000027/0001585689-24-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568924000027/hlt-20231231.htm,10.19140625,0.57421875,1.81640625,1.54296875,3.125,-9.16796875,-52.6640625,-9.21875,40.015625,46615040000.0,55935040000.0,79.27727891156462,17.867014181678805,100.24739784946236,118.01275949367088,-19.752135593220338,-19.752135593220338,21.43926408585665,116.04780082987553,120.29040860215052,141.60769620253166,0.0031534886594541,0.008473660003295,-4.288135593220339,0.657100188299461,19.33609958506224,0.7023105857066093,3.225806451612903,3.1,0.0008151875446207,0.2585034013605442,0.0421617477960904,0.0,0.7230049996753457,0.1505376344086021,0.0268302031429666,2.121212121212121,0.0137983901878114,,0.0185041492470661,0.0344585091420534,-61.4443359375,-1108000000.0,-13482000000.0,-15134000000.0,11027000000.0,1441500000.0,1166500000.0,222000000.0,51.29551552318896,20.6062124248497,9.288577154308618,1.7545393409549428,4.36761487964989,9.689320388349516,-0.0622881355932203,0.2734375,2024-02-07,1.56,bmo,2609480000.0,2025-04-25,2023-12-31,0.0769230769230768,163.18730158730156,1587988.7142857143
2023-09-30,HLT,USD,1585689,2023-10-25,2023-10-25 10:22:32,2023,Q3,2673000000.0,1557000000.0,1116000000.0,0.4175084175,0,96000000.0,0.0,96000000.0,15000000.0,96000000.0,1653000000.0,113000000.0,113000000.0,40000000.0,690000000.0,0.2581369248,653000000.0,0.2442947999,-105000000.0,548000000.0,0.2050130939,-169000000.0,377000000.0,0.1410400299,1.45,1.44,260000000,262000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568923000193/0001585689-23-000193-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568923000193/hlt-20230930.htm,10.28076923076923,1.45,2.642307692307692,2.407692307692308,2.6846153846153844,-6.742307692307692,-49.11538461538461,-6.780769230769231,37.06153846153846,39046800000.0,47871800000.0,25.893103448275863,14.607856341189674,56.83668122270743,62.37507987220447,-22.147929665343167,-22.147929665343167,17.909390198279088,69.37942028985508,69.68238719068414,76.47252396166134,0.0096550805699826,0.0160320435989632,-5.401588201928531,0.6265131578947368,12.789855072463768,0.6975568660488627,5.778761061946903,1.812664907651715,0.000998801438274,0.1034482758620689,0.0359147025813692,0.0,0.7248026315789474,0.0887918486171761,0.0228208005985783,1.525,0.0179573512906846,,0.0729430023786659,0.0901267033229739,-58.034615384615385,-1077000000.0,-12770000000.0,-14469000000.0,10890000000.0,1399000000.0,1785000000.0,230500000.0,47.003367003367,108.4393063583815,13.757225433526012,1.914756446991404,0.829957356076759,6.542016806722689,-0.2138400453771979,0.2346153846153846,2023-10-25,1.67,bmo,2613410000.0,2025-04-25,2023-09-30,0.0,151.04111111111112,1746344.825396825
2023-06-30,HLT,USD,1585689,2023-07-26,2023-07-26 11:36:27,2023,Q2,2660000000.0,1805000000.0,855000000.0,0.3214285714,0,111000000.0,0.0,111000000.0,11000000.0,181000000.0,1986000000.0,111000000.0,111000000.0,37000000.0,709000000.0,0.2665413534,674000000.0,0.2533834586,-106000000.0,568000000.0,0.2135338346,155000000.0,411000000.0,0.1545112782,1.56,1.55,264000000,266000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568923000156/0001585689-23-000156-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568923000156/hlt-20230630.htm,10.075757575757576,1.556818181818182,1.7575757575757576,1.556818181818182,3.053030303030303,-5.390151515151516,-47.10227272727273,-5.420454545454546,36.67045454545455,38425200000.0,47189200000.0,23.372992700729927,14.445563909774435,82.81293103448276,93.49197080291972,-26.85199161425577,-26.85199161425577,17.740300751879698,66.5574047954866,101.70086206896552,114.81557177615572,0.010696105680647,0.010696105680647,-6.687631027253669,0.6256128652676995,12.361071932299012,0.7510917030567685,6.072072072072072,1.1234866828087169,0.0010409835212308,0.097323600973236,0.0417293233082706,0.0,0.7198797149767928,0.1142241379310344,0.0199248120300751,1.4324324324324325,0.0195488721804511,,0.0411930691486905,0.0959159859976662,-55.875,-855000000.0,-12435000000.0,-14140000000.0,11122000000.0,1350000000.0,1699000000.0,229000000.0,47.43609022556391,84.46537396121883,11.1191135734072,1.897289586305278,1.0655253837072018,8.094170403587444,-0.2872117400419287,0.2007575757575757,2023-07-26,1.58,bmo,2575130000.0,2025-04-25,2023-06-30,0.031645569620253,142.37612903225806,1687410.7741935484
2023-03-31,HLT,USD,1585689,2023-04-26,2023-04-26 11:11:30,2023,Q1,2293000000.0,1646000000.0,647000000.0,0.2821631051,0,91000000.0,0.0,91000000.0,58000000.0,149000000.0,1795000000.0,116000000.0,116000000.0,37000000.0,535000000.0,0.2333187963,498000000.0,0.21718273,-196000000.0,302000000.0,0.1317051897,93000000.0,206000000.0,0.0898386393,0.77,0.77,266000000,269000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568923000100/0001585689-23-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568923000100/hlt-20230331.htm,8.6203007518797,0.7744360902255639,1.2406015037593985,1.0037593984962403,3.387218045112782,-5.31203007518797,-46.67669172932331,-5.338345864661654,36.42105263157895,37471420000.0,46142420000.0,45.47502427184466,16.34165721761884,113.54975757575758,140.3423970037453,-26.388323943661973,-26.388323943661973,20.123166157871783,86.24751401869159,139.82551515151516,172.81805243445692,0.0054975231789988,0.0071254305281198,-6.740845070422536,0.629281441062389,16.20747663551402,0.755457227138643,4.293103448275862,1.5789473684210529,0.0010941672346551,0.1990291262135922,0.0396860008722198,0.0,0.7233580961146538,0.1909090909090909,0.0274749236807675,1.7027027027027026,0.0143916266899258,,0.0289834651506147,0.0489543726235741,-55.00751879699248,-829000000.0,-12416000000.0,-14063000000.0,11122000000.0,1312500000.0,1036000000.0,208500000.0,50.94635848233755,93.17132442284326,12.84933171324423,1.7665639445300465,0.965962441314554,7.004255319148936,-0.1450704225352112,0.2368421052631578,2023-04-26,1.14,bmo,2201790000.0,2025-04-25,2023-03-31,0.0877192982456141,140.81903225806454,1676281.0
2022-12-31,HLT,USD,1585689,2023-02-09,2023-02-09 11:08:28,2022,Q4,2444000000.0,1781000000.0,663000000.0,0.2712765957,0,95000000.0,0.0,95000000.0,64000000.0,159000000.0,1940000000.0,120000000.0,120000000.0,39000000.0,565000000.0,0.2311783961,504000000.0,0.2062193126,-101000000.0,403000000.0,0.164893617,70000000.0,328000000.0,0.1342062193,1.22,1.21,270000000,272000000,https://www.sec.gov/Archives/edgar/data/1585689/000158568923000036/0001585689-23-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1585689/000158568923000036/hlt-20221231.htm,9.051851851851852,1.2148148148148148,1.7851851851851852,1.637037037037037,4.477777777777778,-4.066666666666666,-44.51111111111111,-4.0814814814814815,36.33703703703704,34117200000.0,42599200000.0,26.003963414634143,13.959574468085108,70.78257261410788,77.18823529411765,-30.95934664246824,-30.95934664246824,17.43011456628478,75.39681415929203,88.38008298755187,96.37828054298645,0.0096139190789396,0.0129553421734491,-8.794010889292196,0.6247421351211965,15.012389380530973,0.8511269276393831,4.2,1.4474474474474477,0.0012017398848674,0.125,0.0388707037643207,0.0,0.703971119133574,0.0829875518672199,0.0163666121112929,1.0256410256410255,0.0147299509001636,,0.0337786175425729,0.0714285714285714,-53.01759259259259,-502000000.0,-12018000000.0,-13740000000.0,11360000000.0,1302500000.0,1048000000.0,200500000.0,48.86661211129296,18.59629421673217,9.197080291970805,1.8417483044461191,4.839673913043479,9.785714285714286,-0.2976406533575317,0.1481481481481481,2023-02-09,1.2,bmo,2346050000.0,2025-04-25,2022-12-31,0.3250000000000001,131.77793650793652,1805258.142857143
