date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-01-31,HPQ,USD,47217,2025-02-28,2025-02-27 18:38:14,2025,Q1,13504000000.0,10664000000.0,2840000000.0,0.2103080569,397000000,0.0,0.0,1459000000.0,139000000.0,1995000000.0,12659000000.0,0.0,141000000.0,197000000.0,1042000000.0,0.0771623223,845000000.0,0.0625740521,-141000000.0,704000000.0,0.0521327014,139000000.0,565000000.0,0.041839455,0.6,0.59,948000000,957000000,https://www.sec.gov/Archives/edgar/data/47217/000004721725000025/0000047217-25-000025-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721725000025/hpq-20250131.htm,14.244725738396625,0.5959915611814346,0.3945147679324894,0.0759493670886076,3.0527426160337554,-1.130801687763713,-11.522151898734178,-1.130801687763713,11.649789029535864,30810000000.0,38833000000.0,13.632743362831858,2.2815462085308056,82.37967914438502,427.9166666666667,-28.74067164179105,-28.74067164179105,2.875666469194313,37.267754318618046,103.83155080213903,539.3472222222222,0.0183382018825056,0.0023369036027263,-10.17070895522388,0.2800667865399435,7.699616122840691,0.7229714952249034,5.99290780141844,0.6619469026548672,0.0088607594936708,0.4831858407079646,0.0,0.0293986966824644,0.2530439249935782,0.8074866310160428,0.0223637440758293,1.532994923857868,0.0142180094786729,,0.0508175729759187,0.0194298290862821,-29.23074894514768,-7600000000.0,-10923000000.0,-20168000000.0,6309000000.0,6009000000.0,16693000000.0,8081500000.0,45.99303909952607,139.11009002250563,71.25562640660165,1.9568178524851472,0.6469696050476248,1.263058154684354,-0.5270522388059702,0.3185654008438818,2025-02-27,0.746,amc,13386546394.0,2025-05-12,2025-01-31,-0.0080428954423592,31.63475,7069808.716666667
2024-10-31,HPQ,USD,47217,2024-12-13,2024-12-12 20:31:46,2024,Q4,14055000000.0,11054000000.0,3001000000.0,0.2135183209,392000000,0.0,0.0,1409000000.0,209000000.0,2010000000.0,13064000000.0,0.0,147000000.0,208000000.0,1333000000.0,0.0948416933,991000000.0,0.0705087158,-129000000.0,862000000.0,0.0613304874,-44000000.0,906000000.0,0.0644610459,0.93,0.92,979000000,989000000,https://www.sec.gov/Archives/edgar/data/47217/000004721724000080/0000047217-24-000080-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721724000080/hpq-20241031.htm,14.356486210418794,0.9254341164453525,1.6578140960163432,1.501532175689479,3.307456588355465,-1.351378958120531,-10.163432073544431,-1.351378958120531,11.2829417773238,34774080000.0,42435080000.0,9.595496688741722,2.4741430096051227,21.42580406654344,23.65583673469388,-26.284263038548755,-26.284263038548755,3.0192159373888297,31.834268567141784,26.14607516943931,28.867401360544218,0.0260538884134389,0.0422728653065731,-8.238095238095237,0.273096294069007,5.747186796699175,0.7236727437515251,6.741496598639456,1.7913907284768211,0.0075631044732168,0.2902869757174393,0.0,0.0278904304517965,0.2161667794231877,0.0942698706099815,0.0108858057630736,0.7355769230769231,0.0060476698683742,,0.0796075119821875,0.0289623425612173,-30.94611848825332,-7927000000.0,-9950000000.0,-20472000000.0,3614000000.0,4888000000.0,16175000000.0,7755000000.0,32.76627534685166,137.6216754116157,62.85507508594174,2.7467265976157904,0.6539667514642371,1.4318652849740932,-0.6848072562358276,0.1562819203268641,2024-11-26,0.93,amc,13985922115.0,2025-04-25,2024-10-31,0.0,35.95234375,7121313.578125
2024-07-31,HPQ,USD,47217,2024-08-29,2024-08-28 18:14:19,2024,Q3,13519000000.0,10613000000.0,2906000000.0,0.2149567276,413000000,0.0,0.0,1404000000.0,149000000.0,1966000000.0,12579000000.0,0.0,111000000.0,208000000.0,1184000000.0,0.0875804423,940000000.0,0.0695317701,-113000000.0,827000000.0,0.0611731637,187000000.0,640000000.0,0.0473407796,0.65,0.65,979000000,990000000,https://www.sec.gov/Archives/edgar/data/47217/000004721724000070/0000047217-24-000070-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721724000070/hpq-20240731.htm,13.808988764044944,0.6537282941777324,1.4545454545454546,1.289070480081716,2.9397344228804902,-1.421859039836568,-11.606741573033707,-1.421859039836568,11.15423901940756,35332110000.0,43263110000.0,13.80160546875,2.613515052888528,24.811875,27.9969175911252,-25.38226293103448,-25.38226293103448,3.200170870626525,36.53978885135136,30.381397471910116,34.281386687797145,0.0181138346959748,0.0357182177911254,-7.765086206896552,0.2840064110985575,6.69847972972973,0.7142328883629775,8.468468468468469,2.225,0.0075851682789394,0.41875,0.0,0.0305495968636733,0.2619879660527076,0.1137640449438202,0.011983134847252,0.7788461538461539,0.0071011169465197,,0.0566240063385756,0.0227855311876958,-29.80975485188968,-7728000000.0,-11363000000.0,-20136000000.0,6198000000.0,5818000000.0,14904500000.0,7651000000.0,31.016347362970635,130.9931216432677,66.06049184961839,2.9016956428418115,0.6870589758529164,1.362387676508344,-0.4597701149425287,0.1654749744637385,2024-08-28,0.86,amc,13425355333.0,2025-04-25,2024-07-31,-0.0348837209302325,35.23703125,7468209.53125
2024-04-30,HPQ,USD,47217,2024-05-30,2024-05-29 18:45:57,2024,Q2,12761000000.0,9821000000.0,2940000000.0,0.2303894679,436000000,0.0,0.0,1461000000.0,7000000.0,1897000000.0,11718000000.0,0.0,162000000.0,209000000.0,1258000000.0,0.0985816159,1043000000.0,0.0817334065,-155000000.0,797000000.0,0.0624559204,190000000.0,607000000.0,0.0475668051,0.62,0.61,984000000,990000000,https://www.sec.gov/Archives/edgar/data/47217/000004721724000041/0000047217-24-000041-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721724000041/hpq-20240430.htm,12.96849593495935,0.616869918699187,0.5904471544715447,0.4695121951219512,2.557926829268293,-0.9308943089430894,-11.120934959349594,-0.9308943089430894,11.16869918699187,27640560000.0,35951560000.0,11.384085667215816,2.1660183371209154,47.574113597246125,59.82805194805195,-30.17528384279476,-30.17528384279476,2.817299584672047,28.57834658187599,61.87876075731497,77.81722943722944,0.021960481263766,0.0167145672880723,-11.820960698689955,0.2892634840915769,6.606518282988871,0.7485406014734892,6.438271604938271,0.957166392092257,0.0097320748928386,0.443163097199341,0.0,0.0341666013635295,0.2678652525846178,0.2048192771084337,0.0093252879868348,0.569377990430622,0.0073661938719536,,0.0596183639714676,0.0221484346493468,-27.2797256097561,-6246000000.0,-10943000000.0,-19756000000.0,7718000000.0,6557000000.0,13808500000.0,7220000000.0,49.206958702296056,131.61388860604825,68.84024030139497,1.829009602981224,0.6838184096922434,1.3073748668796592,-0.6626637554585153,0.1209349593495935,2024-05-29,0.811,amc,12606702349.0,2025-04-25,2024-04-30,0.0110974106041922,31.7315873015873,8108563.444444444
2024-01-31,HPQ,USD,47217,2024-02-28,2024-02-28 17:27:33,2024,Q1,13185000000.0,10297000000.0,2888000000.0,0.2190367842,399000000,0.0,0.0,1383000000.0,-26000000.0,1863000000.0,12160000000.0,0.0,116000000.0,205000000.0,1233000000.0,0.0935153584,935000000.0,0.0709139173,-142000000.0,793000000.0,0.0601441031,171000000.0,622000000.0,0.0471748199,0.63,0.62,995000000,1002000000,https://www.sec.gov/Archives/edgar/data/47217/000004721724000024/0000047217-24-000024-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721724000024/hpq-20240131.htm,13.251256281407036,0.6251256281407035,0.121608040201005,-0.0371859296482412,1.6,-1.6482412060301508,-11.828140703517589,-1.6482412060301508,11.105527638190956,28566450000.0,37237450000.0,11.481692122186496,2.166587030716724,236.08636363636364,-772.0662162162162,-17.41856707317073,-17.41856707317073,2.82422828972317,30.200689375506897,307.747520661157,-1006.4175675675676,0.021773794083619,-0.001295225693077,-6.667073170731707,0.3050270602019751,7.032441200324412,0.7066269857903341,8.060344827586206,0.1945337620578778,0.0096266774485454,0.4421221864951768,0.0,0.0302616609783845,0.2825698822741728,1.3057851239669422,0.0119833143723928,0.7707317073170732,0.013424345847554,,0.0572639627741409,0.0241863358867675,-27.96708542713568,-6999000000.0,-11769000000.0,-20628000000.0,7102000000.0,5187000000.0,13650500000.0,6895000000.0,41.89078498293515,115.8541322715354,60.55355928911334,2.148443865080658,0.7768389287061486,1.4862875288683604,-0.3792682926829268,0.1587939698492462,2024-02-28,0.81,amc,13563856143.0,2025-04-25,2024-01-31,0.0,29.43,8525404.606557377
2023-10-31,HPQ,USD,47217,2023-12-18,2023-12-15 21:31:21,2023,Q4,13817000000.0,10832000000.0,2985000000.0,0.2160382138,411000000,0.0,0.0,1327000000.0,-43000000.0,1826000000.0,12658000000.0,52000000.0,119000000.0,212000000.0,1334000000.0,0.0965477311,1014000000.0,0.0733878555,-162000000.0,852000000.0,0.0616631686,-122000000.0,974000000.0,0.0704928711,0.98,0.97,994000000,1004000000,https://www.sec.gov/Archives/edgar/data/47217/000004721723000100/0000047217-23-000100-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721723000100/hpq-20231031.htm,13.90040241448692,0.9798792756539236,1.9869215291750504,1.836016096579477,6.607645875251509,-1.0754527162977867,-9.71830985915493,-1.0754527162977867,9.660965794768613,26172020000.0,32424020000.0,6.717664271047227,1.8941897662300065,13.25165569620253,14.340832876712328,-24.48271281571562,-24.48271281571562,2.346675834117391,24.30586206896552,16.417225316455696,17.766586301369863,0.0372153162040988,0.0697309569532653,-8.871842843779232,0.2562966165819911,4.686656671664168,0.7341146684090166,8.521008403361344,2.0277207392197125,0.0099342733193693,0.2669404517453799,0.0,0.0297459651154375,0.2321640903686088,0.0759493670886076,0.0108561916479698,0.7075471698113207,0.0061518419338496,,0.0879779282861711,0.0342800830605708,-25.046529175050303,-6511000000.0,-9660000000.0,-20096000000.0,4907000000.0,4302000000.0,14084500000.0,7029500000.0,27.598610407469064,116.70420974889215,57.01440177252585,3.26103375029502,0.771180407233376,1.5785485281259108,-0.9111318989710008,0.1509054325955734,2023-11-21,0.9,amc,12489700000.0,2025-04-25,2023-10-31,0.0,28.0068253968254,8502164.777777778
2023-07-31,HPQ,USD,47217,2023-09-11,2023-09-11 17:10:21,2023,Q3,13196000000.0,10374000000.0,2822000000.0,0.2138526826,354000000,0.0,0.0,1302000000.0,214000000.0,1747000000.0,12121000000.0,134000000.0,134000000.0,217000000.0,1306000000.0,0.0989693847,952000000.0,0.0721430737,-16000000.0,936000000.0,0.070930585,170000000.0,766000000.0,0.0580478933,0.77,0.76,993000000,1002000000,https://www.sec.gov/Archives/edgar/data/47217/000004721723000076/0000047217-23-000076-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721723000076/hpq-20230731.htm,13.289023162134944,0.771399798590131,0.9828801611278952,0.8449144008056395,4.949647532729104,-2.2608257804632426,-10.935548841893253,-2.2608257804632426,9.882175226586105,32600190000.0,40561190000.0,10.63974869451697,2.4704599878751137,33.401834016393444,38.85600715137067,-14.521242761692651,-14.521242761692651,3.0737488632919066,31.057572741194488,41.55859631147541,48.34468414779499,0.0234967955708233,0.0257360463236563,-4.311358574610245,0.2642225376719808,6.095712098009188,0.6932512901945216,7.104477611940299,1.2741514360313315,0.0079447389723802,0.3381201044386423,0.0,0.0268263110033343,0.2351495959816553,0.1403688524590164,0.0103819339193695,0.631336405529954,0.0068960290997271,,0.0632176255350549,0.0273395674209436,-27.27920443101712,-7727000000.0,-10859000000.0,-21414000000.0,3670000000.0,4252000000.0,13720000000.0,7209000000.0,29.784025462261297,122.52458068247542,62.43782533256217,3.021754064575223,0.7345464844579763,1.441433930804502,-0.3412026726057906,0.1379657603222558,2023-08-29,0.86,amc,13376900000.0,2025-04-25,2023-07-31,0.0,30.67809523809524,6865915.619047619
2023-04-30,HPQ,USD,47217,2023-05-31,2023-05-30 20:58:39,2023,Q2,12913000000.0,9984000000.0,2929000000.0,0.2268256795,410000000,0.0,0.0,1398000000.0,86000000.0,1894000000.0,11878000000.0,152000000.0,153000000.0,212000000.0,1246000000.0,0.0964919074,1308000000.0,0.1012932703,-145000000.0,602000000.0,0.0466196856,-464000000.0,1054000000.0,0.0816231704,1.08,1.07,991000000,998000000,https://www.sec.gov/Archives/edgar/data/47217/000004721723000038/0000047217-23-000038-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721723000038/hpq-20230430.htm,13.030272452068616,1.0635721493440968,0.6417759838546923,0.5105953582240161,1.9576185671039352,-2.506559031281534,-11.202825428859738,-2.506559031281534,10.850655903128152,29690360000.0,38350360000.0,7.0423055028463,2.2992612096337024,46.68295597484277,58.67660079051383,-11.952640901771336,-11.952640901771336,2.969903198327267,30.778780096308186,60.29930817610063,75.79122529644269,0.035499737962086,0.0170425686990659,-4.26731078904992,0.2914810537315074,6.95024077046549,0.7082882583007406,8.549019607843137,0.5966228893058161,0.0087233701443835,0.2457305502846299,0.0,0.0317509486563927,0.2369795963262388,0.2044025157232704,0.0100673739642221,0.6132075471698113,0.0073569271277007,,0.1778514526943514,0.037984719619432,-30.47098890010091,-7011000000.0,-11102000000.0,-21827000000.0,4378000000.0,5322000000.0,13414500000.0,7282500000.0,28.83373344691396,120.04507211538464,65.09314903846155,3.121343969059705,0.7497184050461816,1.3826339842127129,-0.4243156199677939,0.1311806256306761,2023-05-30,0.76,amc,13073400000.0,2025-04-25,2023-04-30,0.0526315789473684,30.019193548387097,7488173.612903226
2023-01-31,HPQ,USD,47217,2023-03-01,2023-03-01 16:17:04,2023,Q1,13798000000.0,11011000000.0,2787000000.0,0.201985795,403000000,0.0,0.0,1331000000.0,310000000.0,2044000000.0,13055000000.0,0.0,143000000.0,209000000.0,914000000.0,0.0662414843,743000000.0,0.0538483838,-181000000.0,562000000.0,0.0407305407,93000000.0,469000000.0,0.0339904334,0.47,0.47,989000000,996000000,https://www.sec.gov/Archives/edgar/data/47217/000004721723000019/0000047217-23-000019-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721723000019/hpq-20230131.htm,13.951466127401416,0.474216380182002,-0.0161779575328614,-0.2103134479271992,1.4206268958543984,-3.771486349848331,-14.337714863498483,-3.771486349848331,12.372093023255816,28819460000.0,39507460000.0,15.3621855010661,2.088669372372808,-1801.21625,-138.55509615384616,-7.726396782841824,-7.726396782841824,2.8632743875924045,43.2247921225383,-2469.21625,-189.93971153846155,0.0162737261558682,-0.0072173455019629,-3.242091152815014,0.3345413300874184,11.693654266958424,0.6907356404422624,5.195804195804196,-0.0341151385927505,0.0089869831010018,0.5522388059701493,0.0,0.0292071314683287,0.2890892995463096,-12.0,0.0139150601536454,0.9186602870813396,0.0121032033628062,,0.0518955509461521,0.0182504475056424,-30.253538928210315,-7748000000.0,-14180000000.0,-22573000000.0,6708000000.0,5526500000.0,14407500000.0,7469500000.0,42.44310769676765,110.44228498773953,60.027245481790935,2.1204856308590747,0.8149052693901717,1.4993191721132897,-0.1257372654155496,0.1941354903943377,2023-02-28,0.74,amc,14100528105.0,2025-04-25,2023-01-31,0.0135135135135135,28.706935483870968,6297790.870967742
2022-10-31,HPQ,USD,47217,2023-09-11,2023-09-11 17:08:38,2022,Q4,14801000000.0,12084000000.0,2717000000.0,0.1835686778,382000000,0.0,0.0,1189000000.0,74000000.0,1645000000.0,13729000000.0,84000000.0,130000000.0,199000000.0,885000000.0,0.0597932572,1377000000.0,0.0930342544,-704000000.0,673000000.0,0.0454699007,675000000.0,-2000000.0,-0.000135126,-0.002,-0.002,979869000,979869000,https://www.sec.gov/Archives/edgar/data/47217/000004721723000075/0000047217-23-000075-index.htm,https://www.sec.gov/Archives/edgar/data/47217/000004721723000075/hpq-20221031.htm,15.105080372988636,-0.0020410891660007,1.9431168860327248,1.79615846608067,3.209612713536197,-2.977949093195111,-11.694420376601364,-2.977949093195111,11.372948832956242,27063981780.0,34932981780.0,-3382.9977225,1.8285238686575231,14.214276144957983,15.377262375,-9.274839540781358,-9.274839540781358,2.360177135328694,39.47229579661017,18.347154296218488,19.84828510227273,-7.389895604637079e-05,0.0650310813208063,-3.774503084304318,0.2854329178220644,8.891525423728813,0.7571215539326273,10.592307692307692,-952.0,0.0092004200277731,-124.5,0.0,0.0258090669549354,0.2213439759504496,0.0756302521008403,0.0097290723599756,0.6889952153110048,0.0047294101749881,,-0.000313404672916,-6.656460094521733e-05,-31.79302539421085,-6352000000.0,-11459000000.0,-21704000000.0,4963000000.0,4486500000.0,15408500000.0,7893500000.0,27.642726842780892,113.97467725918573,56.56653426017875,3.255829300483942,0.7896490884140365,1.591046741277156,0.0006854009595613,0.1469584199520548,2022-11-22,0.84,amc,14685510076.0,2025-04-25,2022-10-31,0.0119047619047619,27.681746031746037,7903619.031746032
