date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,IBM,USD,51143,2025-04-24,2025-04-24 16:16:05,2025,Q1,14541000000.0,6510000000.0,8031000000.0,0.552300392,1950000000,4023000000.0,238000000.0,4261000000.0,55000000.0,6266000000.0,12776000000.0,191000000.0,455000000.0,1177000000.0,2790000000.0,0.1918712606,1765000000.0,0.1213809229,-607000000.0,1158000000.0,0.0796368888,103000000.0,1055000000.0,0.0725534695,1.14,1.12,928000000,945400000,https://www.sec.gov/Archives/edgar/data/51143/000005114325000032/0000051143-25-000032-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114325000032/ibm-20250331.htm,15.669181034482758,1.136853448275862,4.709051724137931,4.283405172413793,18.82004310344828,29.04418103448276,-55.4989224137931,28.96551724137931,72.51077586206897,230756480000.0,286556480000.0,54.68163033175355,15.869367993948147,52.80468649885584,58.05194465408805,8.584690476190476,8.584690476190476,19.70679320541916,102.70841577060932,65.5735652173913,72.08968050314465,0.0045719192804466,0.0172259517912563,2.486421130952381,0.4588204603650792,20.0,1.0065515866233692,3.879120879120879,4.14218009478673,0.0067127042326178,1.4682464454976305,0.2766659789560552,0.134103569218073,0.5385983098436846,0.0903890160183066,0.0271645691493019,0.3355989804587935,0.0275771955161268,27.21975079848289,0.0142085453922917,0.0156968353394533,-103.59994612068964,230000000.0,-51503000000.0,-83378000000.0,87751000000.0,6330500000.0,3808500000.0,1360000000.0,36.25128945739633,49.562211981566826,19.78341013824885,2.482670309031928,1.815899581589958,4.549266247379455,0.0392485119047619,0.4256465517241379,2025-04-23,1.42,amc,14389983103.0,2025-05-11,2025-03-31,0.1267605633802818,244.58516666666668,4755052.466666667
2024-12-31,IBM,USD,51143,2025-02-25,2025-02-25 16:12:45,2024,Q4,17553000000.0,7114000000.0,10439000000.0,0.5947131544,1967000000,4325000000.0,261000000.0,4586000000.0,-15000000.0,6538000000.0,13652000000.0,150000000.0,424000000.0,1113000000.0,4843000000.0,0.2759072523,3901000000.0,0.2222412123,-595000000.0,3306000000.0,0.1883438728,379000000.0,2914000000.0,0.166011508,3.15,3.09,926000000,942400000,https://www.sec.gov/Archives/edgar/data/51143/000005114325000015/0000051143-25-000015-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114325000015/ibm-20241231.htm,18.95572354211663,3.146868250539957,4.676025917926566,4.196544276457884,15.757019438444924,29.58207343412527,-47.48704103671706,29.489200863930886,63.52051835853132,203562580000.0,248011580000.0,17.464188400823613,11.597025009969803,47.012143187066975,52.38357694287185,7.454593327718168,7.454593327718168,14.129298695379708,51.21032004955606,57.27750115473441,63.82181677817808,0.0143150081906016,0.0190899525836231,2.138499285897389,0.4257043921997449,9.177988849886434,1.0404320801400035,9.200471698113208,1.485929993136582,0.0075947160819046,0.5305422100205902,0.2463966273571469,0.1120606164188457,0.5202551485328959,0.1025404157043879,0.0252948213980516,0.398921832884097,0.0196547598701076,45.69430132392048,0.03121138255891,0.0442796577975656,-96.59125269978402,1340000000.0,-43973000000.0,-75300000000.0,81634000000.0,9729500000.0,3653000000.0,1328000000.0,34.88634421466416,51.00927748102333,16.307281416924372,2.579805996472663,1.7643849206349207,5.519006982156711,0.1067125645438898,0.4794816414686825,2025-01-29,3.77,amc,17558118097.0,2025-04-29,2024-12-31,0.039787798408488,222.70890625,4131895.78125
2024-09-30,IBM,USD,51143,2024-10-30,2024-10-30 16:09:22,2024,Q3,14967000000.0,6548000000.0,8420000000.0,0.5625709895,1876000000,4032000000.0,279000000.0,4311000000.0,55000000.0,6242000000.0,12790000000.0,170000000.0,429000000.0,1268000000.0,895000000.0,0.0597982228,2177000000.0,0.1454533307,-2979000000.0,-802000000.0,-0.0535845527,-485000000.0,-330000000.0,-0.0220485067,-0.36,-0.36,923600000,923600000,https://www.sec.gov/Archives/edgar/data/51143/000005114324000049/0000051143-24-000049-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000049/ibm-20240930.htm,16.20506712862711,-0.357297531398874,3.1193157210913816,2.660242529233434,14.835426591598097,26.559116500649637,-51.59376353399741,26.470333477695977,65.56409701169338,204189488000.0,251118488000.0,-154.68900606060606,13.642646355315026,70.874518569941,83.10520472120471,8.351991492146597,8.351991492146597,16.77814445112581,280.5793162011173,87.163654286706,102.20532682132682,-0.0016161458811239,0.0120329406967316,2.459342277486911,0.4475692092393125,52.43463687150838,1.0250927113298445,5.074592074592075,-8.73030303030303,0.0075567063471945,-4.675757575757576,0.2693926638604931,0.125342419990646,0.5373123218127275,0.1471711211384935,0.028328990445647,0.334384858044164,0.0220485067147725,,0.0077755843076535,-0.0053091365413388,-93.0405478562148,724000000.0,-47652000000.0,-80232000000.0,81875000000.0,9482000000.0,3452500000.0,1300500000.0,76.09741431148527,45.0,18.788943188759927,1.1826945871197154,2.0,4.790051207022677,-0.0134980366492146,0.4590731918579471,2024-10-23,2.22,amc,15077782623.0,2025-04-25,2024-09-30,0.0360360360360358,196.07453125,3596249.40625
2024-06-30,IBM,USD,51143,2024-07-30,2024-07-30 06:38:17,2024,Q2,15769000000.0,6820000000.0,8950000000.0,0.5675692815,1840000000,4293000000.0,354000000.0,4647000000.0,28000000.0,6515000000.0,13335000000.0,217000000.0,427000000.0,1155000000.0,3801000000.0,0.2410425518,2434000000.0,0.1543534783,-215000000.0,2219000000.0,0.1407191325,389000000.0,1834000000.0,0.116304141,1.99,1.96,920287541,934397595,https://www.sec.gov/Archives/edgar/data/51143/000005114324000039/0000051143-24-000039-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000039/ibm-20240630.htm,17.134861983315712,1.9928554047435485,2.244950526826702,1.762492620771012,17.34131919536657,26.19181389091521,-49.50952606670136,26.1070577722838,65.4860544287212,161142348429.1,206503348429.1,21.965968978884952,10.218932616469022,77.99726448649564,99.34793368008631,6.706998602726213,6.706998602726213,13.095525932468767,54.32868940518285,99.95321801989353,127.3140249254624,0.0113812416033326,0.0100656346131982,2.4905935236826773,0.4470668220668221,11.933964746119443,1.0895169994603346,5.70023419203747,1.1264994547437297,0.0095319449851248,0.8375136314067612,0.2722430084342698,0.116684634409284,0.5204933954933955,0.2149080348499516,0.0281565096074576,0.3844155844155844,0.0200393176485509,34.2143362003061,0.0183607705295943,0.0285754350976145,-96.09632431175118,2654000000.0,-45563000000.0,-77442000000.0,81051000000.0,9579000000.0,3609500000.0,1223000000.0,36.00799036083455,47.91642228739003,16.284457478005866,2.4994452369630684,1.878270448912145,5.526742301458671,0.0763339715308416,0.48245790605569,2024-07-24,2.2,amc,15623212962.0,2025-04-25,2024-06-30,0.1045454545454545,173.7557142857143,3931871.380952381
2024-03-31,IBM,USD,51143,2024-04-30,2024-04-30 11:00:50,2024,Q1,14461000000.0,6719000000.0,7742000000.0,0.5353709979,1796000000,4086000000.0,279000000.0,4365000000.0,18000000.0,6179000000.0,12898000000.0,210000000.0,432000000.0,1131000000.0,2637000000.0,0.1823525344,1563000000.0,0.1080838116,-489000000.0,1074000000.0,0.0742687228,-502000000.0,1605000000.0,0.1109881751,1.75,1.72,917200000,933400000,https://www.sec.gov/Archives/edgar/data/51143/000005114324000025/0000051143-24-000025-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000025/ibm-20240331.htm,15.766463148713475,1.7498909725250764,4.544265154819015,4.137592673353685,21.01722634103794,25.439380723942435,-51.18839947666812,25.360880941997383,69.01766245093764,174112076000.0,222218076000.0,27.12026105919003,12.040113131871932,41.77353071017274,45.879334914361,7.485150079532265,7.485150079532265,15.366715718138442,84.26927417519909,53.3152773512476,58.55548774703557,0.0092182003504455,0.0217963055015207,2.702850264391041,0.4583470026026289,18.24270003792188,1.0993610519492545,3.6180555555555554,2.5968847352024924,0.0087414959086467,0.9482866043613708,0.2825530737846622,0.124196113685084,0.5123825354125203,0.0894913627639155,0.0257935135882719,0.3297966401414677,0.0221284835073646,31.599406226271096,0.020512867658907,0.0239960529856771,-91.927878325338,3219000000.0,-46950000000.0,-78220000000.0,82300000000.0,10031500000.0,3860000000.0,1186500000.0,79.96749878984855,48.06072332192291,16.23455871409436,1.1254572340259943,1.8726309921962097,5.543729372937293,0.0689996130862817,0.4066724814653292,2024-04-24,1.6,amc,14550696967.0,2025-04-25,2024-03-31,0.0499999999999999,182.4304918032787,5222306.016393443
2023-12-31,IBM,USD,51143,2024-02-26,2024-02-26 06:41:57,2023,Q4,17380000000.0,7114000000.0,10267000000.0,0.5907364787,1748000000,4250000000.0,248000000.0,4498000000.0,25000000.0,6271000000.0,13385000000.0,143000000.0,405000000.0,1152000000.0,5316000000.0,0.3058688147,3995000000.0,0.2298619102,-236000000.0,3759000000.0,0.216283084,474000000.0,3288000000.0,0.1891829689,3.59,3.55,914700000,927300000,https://www.sec.gov/Archives/edgar/data/51143/000005114324000012/0000051143-24-000012-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114324000012/ibm-20231231.htm,19.0007652782333,3.5946211872745164,4.879195364600416,4.389417295288073,14.717393680988302,24.721766699464304,-53.13326773805619,24.634306329944245,65.96698371050617,149599185000.0,196445185000.0,11.374633895985404,8.607548043728423,33.51987116289492,37.26007098381071,6.639115297563574,6.639115297563574,11.30294505178366,36.95357129420617,44.016398162670846,48.92781693648817,0.0219787293627301,0.0268383815058885,2.6598766253938666,0.4431718191968412,8.812264860797592,0.935173788171854,9.864197530864198,1.357360097323601,0.0101471141035962,0.4616788321167883,0.2445339470655926,0.1005753739930955,0.5265710842126279,0.1003809097019941,0.0257767548906789,0.3888888888888889,0.0166858457997698,44.636279952714894,0.0319754638599467,0.0513533353116653,-101.8639991253963,-2212000000.0,-48601000000.0,-80718000000.0,77723000000.0,9209000000.0,3737000000.0,1280000000.0,37.35673187571922,52.274388529659824,14.687939274669665,2.40920432492376,1.7216844143272023,6.127476313522825,0.1459193183331114,0.4897780693123428,2024-01-24,3.78,amc,17298500000.0,2025-04-25,2023-12-31,0.0238095238095238,151.10825396825396,4137819.65079365
2023-09-30,IBM,USD,51143,2023-10-31,2023-10-31 06:38:48,2023,Q3,14752000000.0,6729000000.0,8023000000.0,0.5438584599,1685000000,4155000000.0,303000000.0,4458000000.0,-249000000.0,5894000000.0,12623000000.0,156000000.0,412000000.0,1093000000.0,3378000000.0,0.2289859002,2129000000.0,0.1443194143,-256000000.0,1873000000.0,0.1269658351,159000000.0,1704000000.0,0.1155097614,1.87,1.84,912790387,923673300,https://www.sec.gov/Archives/edgar/data/51143/000005114323000032/0000051143-23-000032-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114323000032/ibm-20230930.htm,16.16143225224391,1.866803183149649,3.347975661798901,2.917427744558401,12.026857596606131,25.368365322190886,-52.27706237883506,25.286199689129724,64.56794554301106,128064491296.1,179332491296.1,18.78880447419308,8.681161286340835,41.9059199267343,48.09030841010139,5.548481057844114,5.548481057844114,12.15648666595038,53.08836332033748,58.6820979372055,67.34227987085994,0.0133057960310024,0.0207942105813143,2.535635371084442,0.4525560427154136,15.177027827116635,0.9052146637914136,5.16747572815534,1.794480328831474,0.0118299771050286,0.8890845070422535,0.2816567245119306,0.1142218004338394,0.5480471075850016,0.1285994764397905,0.0266404555314533,0.3595608417200366,0.019454989154013,32.5898459119104,0.018251780139591,0.0291546187143908,-94.30916585671712,-2901000000.0,-47718000000.0,-78460000000.0,76454000000.0,8662000000.0,3537000000.0,1450000000.0,68.35412147505423,44.69906375390102,18.711547035220686,1.3166726169225276,2.0134649910233398,4.809864188706219,0.0738269572375547,0.4305479172405,2023-10-25,2.13,amc,13905300000.0,2025-04-25,2023-09-30,0.0328638497652583,142.28349206349208,4013662.460317461
2023-06-30,IBM,USD,51143,2023-07-25,2023-07-25 06:33:21,2023,Q2,15475000000.0,6974000000.0,8501000000.0,0.5493376414,1687000000,4276000000.0,372000000.0,4648000000.0,5000000.0,6340000000.0,13314000000.0,201000000.0,423000000.0,1077000000.0,3500000000.0,0.2261712439,2161000000.0,0.139644588,-161000000.0,2000000000.0,0.1292407108,419000000.0,1583000000.0,0.1022940226,1.74,1.72,909855943,919452496,https://www.sec.gov/Archives/edgar/data/51143/000005114323000021/0000051143-23-000021-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000005114323000021/ibm-20230630.htm,17.00818697625411,1.7398358632252182,2.899360080346258,2.3487234615996786,17.912725773117252,24.47750126967077,-49.02973964527921,24.40056601355848,66.7435328275918,121747823732.83,172657823732.83002,19.227388460649085,7.867387640247496,46.15156320425701,56.97137282771643,5.483889182146299,5.483889182146299,11.157209934270114,49.33080678080858,65.45027434906369,80.7944893462003,0.0130022858024453,0.0175526751483422,2.7162740417098328,0.4561124851565277,14.545714285714286,1.0598222249561713,5.108747044917258,1.6654040404040404,0.012402685762282,0.9538850284270372,0.2763166397415186,0.1090145395799676,0.505857971606423,0.1899166034874905,0.0323747980613893,0.4651810584958217,0.0186106623586429,30.906181359901577,0.0157926069391415,0.0242300863282924,-97.052176973031,1945000000.0,-44610000000.0,-75484000000.0,76922000000.0,6169000000.0,3730000000.0,1552000000.0,35.592891760904685,48.16174361915687,19.37051907083453,2.52859477124183,1.8687031082529475,4.646235842771485,0.0713030944552047,0.5506366187465789,2023-07-19,2.01,amc,14801100000.0,2025-04-25,2023-06-30,0.0845771144278609,129.05564516129033,4535459.70967742
2023-03-31,IBM,USD,51143,2023-04-25,2023-04-25 16:18:35,2023,Q1,14252000000.0,6743000000.0,7509000000.0,0.5268734213,1655000000,4294000000.0,314000000.0,4608000000.0,69000000.0,6332000000.0,13075000000.0,170000000.0,367000000.0,1074000000.0,2499000000.0,0.1753438114,1177000000.0,0.0825849004,-119000000.0,1058000000.0,0.0742351951,124000000.0,927000000.0,0.0650435027,1.02,1.01,907526887,917845279,https://www.sec.gov/Archives/edgar/data/51143/000155837023006656/0001558370-23-006656-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837023006656/ibm-20230331x10q.htm,15.704217918118829,1.0214573400291995,4.1585544781771295,3.6428672773856894,19.166374296081877,23.88028422126517,-50.05471534861534,23.805355311748468,68.36491666389604,118967699616.83,171306699616.83002,32.084061385337115,8.347438929050659,31.522972871444093,35.98539008373563,5.506744103722921,5.506744103722921,12.019835785632193,68.55009988668668,45.39128235740064,51.81690853503631,0.0077920309713113,0.0277890554381393,2.8548416959822256,0.4615188907263707,20.94397759103641,1.1609718323492402,3.20708446866485,4.0711974110032365,0.0125832474261629,1.6148867313915858,0.3012910468706146,0.1161240527645242,0.5020914866391792,0.1240063593004769,0.0328374964917204,0.435754189944134,0.0188043783328655,23.39045714798543,0.0095091282070551,0.0139316791656021,-98.18552075581646,4989000000.0,-45426000000.0,-75983000000.0,80220000000.0,6379500000.0,3889500000.0,1577500000.0,39.26606792029189,49.758267833308615,21.395521281328787,2.292055323255066,1.808744635193133,4.206487835308796,0.0429087206072949,0.5156872007914406,2023-04-19,1.27,amc,14345300000.0,2025-04-25,2023-03-31,0.0708661417322835,133.78129032258065,5159674.483870967
2022-12-31,IBM,USD,51143,2023-02-28,2023-02-28 16:26:11,2022,Q4,16691000000.0,7058000000.0,9632000000.0,0.5770774669,1604000000,4179000000.0,302000000.0,4481000000.0,53000000.0,6138000000.0,13196000000.0,64000000.0,313000000.0,1137000000.0,4762000000.0,0.285303457,3495000000.0,0.2093942843,-183000000.0,3312000000.0,0.1984302918,444000000.0,2711000000.0,0.1624228626,2.99,2.96,905800000,915900000,https://www.sec.gov/Archives/edgar/data/51143/000155837023002376/0001558370-23-002376-index.htm,https://www.sec.gov/Archives/edgar/data/51143/000155837023002376/ibm-20221231x10k.htm,18.42680503422389,2.9929344226098475,4.377345992492824,3.7635239567233385,9.646721130492384,24.311106204460145,-49.80348862883639,24.226098476484875,59.97571207772136,127618161999.99998,173745162000.0,11.768550534857985,7.645926667066083,32.18616948297604,37.435659137577,5.815628964637258,5.815628964637258,10.409511832724222,36.485754304913904,43.81971298865069,50.96660662951012,0.0212430578650709,0.0267124988056167,2.461401749908859,0.4244870051790668,9.686476270474593,0.924234248531979,11.166134185303514,1.46309963099631,0.0117067976578443,0.551088159350793,0.2503744532981846,0.0960996944461086,0.5275968029675503,0.1402269861286254,0.0333113654065065,0.4890061565523307,0.0148583068719669,40.39072036069263,0.0295995715405278,0.045100648810514,-100.24536321483772,-2387000000.0,-45112000000.0,-76104000000.0,72958000000.0,6294500000.0,3928500000.0,1673000000.0,35.269905937331494,51.65627656559932,19.790308869368097,2.551750496865923,1.7422858553443594,4.547680412371134,0.123541742617572,0.6138220357694856,2023-01-25,3.6,amc,16150553131.0,2025-04-25,2022-12-31,0.0,137.94,4659934.777777778
