date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,ICE,USD,1571949,2025-05-01,2025-05-01 08:26:54,2025,Q1,3229000000.0,1450000000.0,1779000000.0,0.5509445649,0,0.0,0.0,137000000.0,421000000.0,558000000.0,2008000000.0,33000000.0,206000000.0,389000000.0,1662000000.0,0.5147104367,1221000000.0,0.3781356457,-154000000.0,1067000000.0,0.3304428616,255000000.0,797000000.0,0.2468256426,1.39,1.38,574000000,577000000,https://www.sec.gov/Archives/edgar/data/1571949/000157194925000007/0001571949-25-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194925000007/ice-20250331.htm,5.625435540069686,1.3885017421602788,1.6829268292682926,1.5348432055749128,5.519163763066202,48.85540069686411,-32.47560975609756,48.73519163763066,36.28397212543554,99015000000.0,118853000000.0,31.058657465495607,30.66429235057293,102.5,112.38933030646992,3.539536712661757,3.539536712661757,36.807990089811085,71.51203369434417,123.03623188405795,134.90692395005675,0.0080492854617987,0.0088976417714487,0.7371487810109387,0.1443340099391054,11.936221419975931,0.9991803278688524,5.927184466019417,1.1896551724137931,0.0028076554057466,0.3488080301129234,0.0,0.0,0.3267585917267446,0.087991718426501,0.0263239393000929,0.2185089974293059,0.0176525240012387,39.01986950389144,0.0175049145904197,0.0082860291518516,-189.8201219512195,-76000000.0,-18641000000.0,-22183000000.0,48826000000.0,3366000000.0,525500000.0,0.0,100.4242799628368,0.0,0.0,0.8961976131001943,0.0,0.0,0.0284907414027311,0.1480836236933798,2025-05-01,1.7,bmo,2460126342.0,2025-05-11,2025-03-31,0.0117647058823529,163.83966666666666,3132242.716666667
2024-12-31,ICE,USD,1571949,2025-03-20,2025-03-20 16:30:16,2024,Q4,3030000000.0,1411000000.0,1619000000.0,0.5343234323,0,137000000.0,0.0,137000000.0,405000000.0,542000000.0,1953000000.0,36000000.0,213000000.0,389000000.0,1483000000.0,0.4894389439,1077000000.0,0.3554455446,-172000000.0,905000000.0,0.298679868,196000000.0,698000000.0,0.2303630363,1.22,1.21,574000000,577000000,https://www.sec.gov/Archives/edgar/data/1571949/000119312525059270/0001193125-25-059270-index.htm,https://www.sec.gov/Archives/edgar/data/1571949/000119312525059270/d941683d10ka.htm,5.278745644599304,1.21602787456446,2.6236933797909407,2.142857142857143,2.3832752613240418,48.29268292682927,-33.41637630662021,48.16550522648084,36.4390243902439,85531740000.0,105390740000.0,30.634577363896845,28.22829702970297,56.793984063745015,69.538,3.093707816399609,3.093707816399609,34.782422442244226,71.06590694538099,69.98057104913678,85.68352845528456,0.0081607132042444,0.0143806264200868,0.7488335081564004,0.1484852396936053,13.391099123398517,0.9948857101381304,5.056338028169014,2.1241184767277854,0.0030281156445548,0.3710601719197707,0.0452145214521452,0.0,0.3363815015635309,0.1832669322709163,0.091089108910891,0.7095115681233933,0.0198019801980198,36.30204445106804,0.0159492868184703,0.0075437439882412,-188.1415505226481,-458000000.0,-19181000000.0,-22613000000.0,48596000000.0,2347000000.0,1048000000.0,0.0,92.94059405940595,67.03756201275691,0.0,0.9683604985618408,1.3425309229305424,0.0,0.0252468622273664,0.4808362369337979,2025-02-06,1.53,bmo,2327746558.0,2025-05-06,2024-12-31,-0.0065359477124183,158.3953125,2966880.03125
2024-09-30,ICE,USD,1571949,2024-10-31,2024-10-31 08:26:25,2024,Q3,3033000000.0,1383000000.0,1650000000.0,0.5440158259,0,124000000.0,0.0,124000000.0,423000000.0,547000000.0,1930000000.0,39000000.0,223000000.0,386000000.0,1528000000.0,0.5037916255,1103000000.0,0.363666337,-205000000.0,898000000.0,0.2960764919,227000000.0,657000000.0,0.2166172107,1.14,1.14,574000000,577000000,https://www.sec.gov/Archives/edgar/data/1571949/000157194924000017/0001571949-24-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194924000017/ice-20240930.htm,5.2839721254355405,1.1445993031358883,1.5644599303135889,1.4268292682926829,4.351916376306621,47.51393728222997,-34.66550522648084,47.444250871080136,37.87630662020906,92207359999.99998,111727359999.99998,35.08651445966514,30.401371579294423,102.6808017817372,112.58529914529912,3.385868615282929,3.385868615282929,36.83724365314869,73.11999999999999,124.417995545657,136.41924297924297,0.0071252446659355,0.0088821543095909,0.7901443102118753,0.1591556275471335,12.774869109947645,1.0015728104822497,4.946188340807175,1.338301043219076,0.0028305766481113,0.3972602739726027,0.0408836135839103,0.0,0.3488953484071863,0.0879732739420935,0.0260468183316848,0.2046632124352331,0.0187932739861523,34.95503927774876,0.0154752203857659,0.0074633647620129,-181.6310975609756,133000000.0,-19898000000.0,-23233000000.0,49333000000.0,1556500000.0,1026500000.0,0.0,46.43916913946588,68.00433839479393,0.0,1.9380191693290736,1.323444976076555,0.0,0.0241251422906033,0.1376306620209059,2024-10-31,1.55,bmo,2353689269.0,2025-04-25,2024-09-30,0.0,154.19609375,2781141.125
2024-06-30,ICE,USD,1571949,2024-08-01,2024-08-01 08:27:18,2024,Q2,2756000000.0,823000000.0,1933000000.0,0.7013788099,0,168000000.0,603000000.0,168000000.0,-8000000.0,549000000.0,1678000000.0,36000000.0,233000000.0,381000000.0,1462000000.0,0.530478955,1078000000.0,0.3911465893,-205000000.0,861000000.0,0.3124092888,222000000.0,632000000.0,0.229317852,1.1,1.1,573000000,575000000,https://www.sec.gov/Archives/edgar/data/1571949/000157194924000014/0001571949-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194924000014/ice-20240630.htm,4.80977312390925,1.1029668411867364,2.087260034904014,1.7993019197207678,4.602094240837697,46.67364746945898,-35.97556719022688,46.57417102966841,39.02792321116929,78460890000.0,98453890000.0,31.03674446202532,28.469118287373004,65.6027508361204,76.1017361784675,2.94004159328512,2.94004159328512,35.72347242380261,67.3419220246238,82.31930602006689,95.4935887487876,0.0080549685327301,0.0131403046791847,0.8292427024393899,0.160732702895077,13.675102599179208,0.994592060733559,4.626609442060086,1.8924050632911391,0.0033264980807635,0.4129746835443038,0.0609579100145137,0.0,0.3439665315727546,0.1379598662207357,0.0598693759071117,0.4330708661417323,0.0206821480406386,33.997349040526586,0.014967611698118,0.0069970329037686,-186.98080279232116,-473000000.0,-20614000000.0,-23947000000.0,48877000000.0,1596500000.0,987500000.0,0.0,50.55152394775036,110.23086269744836,0.0,1.7803617571059431,0.816468253968254,0.0,0.0236819425188293,0.2879581151832461,2024-08-01,1.49,bmo,2311966350.0,2025-04-25,2024-06-30,0.0201342281879194,134.36095238095237,2274786.222222222
2024-03-31,ICE,USD,1571949,2024-05-02,2024-05-02 08:27:24,2024,Q1,2731000000.0,825000000.0,1906000000.0,0.6979128524,0,143000000.0,0.0,143000000.0,-810000000.0,810000000.0,1635000000.0,30000000.0,241000000.0,381000000.0,1477000000.0,0.5408275357,1096000000.0,0.4013181985,-99000000.0,964000000.0,0.3529842549,181000000.0,767000000.0,0.2808495057,1.34,1.33,573000000,575000000,https://www.sec.gov/Archives/edgar/data/1571949/000157194924000011/0001571949-24-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194924000011/ice-20240331.htm,4.766143106457243,1.3385689354275745,1.7609075043630018,1.5078534031413613,3.647469458987784,45.87958115183246,-37.20069808027923,45.79232111692845,39.354275741710296,78518190000.0,98737190000.0,25.59263037809648,28.750710362504577,77.81782953419227,90.87753472222222,2.9924231106368384,2.9924231106368384,36.15422555840352,66.84982396750169,97.85648166501488,114.2791550925926,0.0097684370971872,0.0110038196244717,0.8502229505697626,0.1697831761760161,13.689234935680432,1.006171297221667,4.547717842323651,1.3155149934810952,0.0032858628045297,0.3363754889178618,0.052361772244599,0.0,0.3622989870392779,0.1437066402378592,0.0530941047235444,0.3805774278215223,0.020871475649945,37.13709758294935,0.0167129591220286,0.0091536184838648,-177.63394415357766,494000000.0,-21316000000.0,-24566000000.0,50059000000.0,1505500000.0,985000000.0,40095500000.0,54.21091175393629,105.4909090909091,0.0,1.6601823708206689,0.8531540847983454,0.0,0.0292312969244254,0.2530541012216405,2024-05-02,1.48,bmo,2310805333.0,2025-04-25,2024-03-31,0.0,132.81180327868853,2425086.098360656
2023-12-31,ICE,USD,1571949,2024-03-27,2024-03-27 17:19:33,2023,Q4,2666000000.0,1162000000.0,1504000000.0,0.5641410353,0,132000000.0,0.0,132000000.0,-190000000.0,511000000.0,1673000000.0,32000000.0,251000000.0,379000000.0,1372000000.0,0.5146286572,925000000.0,0.3469617404,-409000000.0,516000000.0,0.1935483871,126000000.0,373000000.0,0.1399099775,0.64,0.64,565000000,565000000,https://www.sec.gov/Archives/edgar/data/1571949/000119312524078967/0001193125-24-078967-index.htm,https://www.sec.gov/Archives/edgar/data/1571949/000119312524078967/d753112d10ka.htm,4.71858407079646,0.6601769911504425,1.7150442477876109,1.4265486725663716,1.9982300884955757,45.63893805309735,-39.08672566371681,45.51681415929203,40.99646017699115,72562950000.0,94575950000.0,48.634684986595175,27.21791072768192,74.8843653250774,90.02847394540943,2.821594665007583,2.821594665007583,35.47484996249062,68.93290816326531,97.6015995872033,117.33988833746898,0.0051403643319352,0.0111075969210182,0.890928179803243,0.16836659710179,16.044460641399418,1.0041003946777587,3.685258964143426,2.4846153846153847,0.0033350353038292,0.6487935656836461,0.0495123780945236,0.0,0.3517680256312278,0.1682146542827657,0.0611402850712678,0.4300791556728232,0.0348837209302325,26.00203745699159,0.0130893414771351,0.0042283537760446,-120.44070796460176,347000000.0,-22084000000.0,-25325000000.0,50140000000.0,1394000000.0,983500000.0,80344500000.0,46.11402850712678,77.68502581755594,6211.006884681583,1.951683748169839,1.1585244267198405,0.0144904041600678,0.0145040245751837,0.2884955752212389,2024-02-08,1.29,bmo,2203643090.0,2025-04-25,2023-12-31,0.0310077519379845,113.37587301587304,2615159.603174603
2023-09-30,ICE,USD,1571949,2023-11-02,2023-11-02 08:29:32,2023,Q3,2429000000.0,1010000000.0,1419000000.0,0.5841910251,0,110000000.0,0.0,110000000.0,-51000000.0,419000000.0,1429000000.0,94000000.0,206000000.0,309000000.0,1309000000.0,0.5389048991,845000000.0,0.3478797859,-163000000.0,682000000.0,0.2807739811,123000000.0,541000000.0,0.2227254014,0.96,0.96,563000000,565000000,https://www.sec.gov/Archives/edgar/data/1571949/000157194923000019/0001571949-23-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194923000019/ice-20230930.htm,4.314387211367674,0.960923623445826,1.3641207815275311,1.1456483126110124,2.783303730017762,45.31438721136768,-40.0461811722913,45.2202486678508,42.29307282415631,61941260000.0,84709260000.0,28.623502772643253,25.50072457801565,80.65268229166666,96.03296124031009,2.432980871204682,2.432980871204682,34.874129271305065,64.7129564553094,110.298515625,131.33218604651162,0.008734081289273,0.0104130913707599,0.9271770297340822,0.1722716060194713,17.393430099312454,1.0013484674374429,4.101941747572815,1.3738819320214668,0.0038907829772917,0.4454713493530499,0.0452861259777686,0.0,0.3507319992409978,0.16015625,0.0506381226842321,0.3980582524271844,0.0325236722931247,31.26814860314295,0.0128266873955254,0.0060811114608156,-121.8960923623446,115000000.0,-22546000000.0,-26113000000.0,50091000000.0,1367500000.0,941500000.0,86781500000.0,52.688349114862085,85.9009900990099,7173.089108910891,1.7081575246132208,1.0477178423236515,0.0125468955750453,0.0212498527043481,0.2184724689165186,2023-11-02,1.4,bmo,1906790000.0,2025-04-25,2023-09-30,0.0428571428571429,114.56666666666666,2418152.984126984
2023-06-30,ICE,USD,1571949,2023-08-03,2023-08-03 08:29:09,2023,Q2,2336000000.0,972000000.0,1364000000.0,0.5839041096,0,117000000.0,0.0,117000000.0,-35000000.0,384000000.0,1356000000.0,102000000.0,175000000.0,267000000.0,1247000000.0,0.5338184932,955000000.0,0.4088184932,-108000000.0,847000000.0,0.3625856164,32000000.0,799000000.0,0.3420376712,1.43,1.42,560000000,561000000,https://www.sec.gov/Archives/edgar/data/1571949/000157194923000015/0001571949-23-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194923000015/ice-20230630.htm,4.171428571428572,1.4267857142857143,2.057142857142857,1.8464285714285715,6.45,42.65892857142857,-17.9625,42.535714285714285,33.073214285714286,63324800000.0,78793800000.0,19.813767209011264,27.10821917808219,54.96944444444445,61.24255319148936,2.6584718723761545,2.6584718723761545,33.73022260273972,63.18668805132317,68.39739583333333,76.20290135396519,0.0126174895143766,0.0163285158421345,0.770193115029387,0.1346169368153034,12.404971932638333,1.0999733936410805,5.457142857142857,1.4134969325153377,0.0037268179291525,0.295369211514393,0.0500856164383561,0.0,0.2490993007198256,0.1024305555555555,0.0505136986301369,0.4419475655430712,0.0192636986301369,36.95281266047834,0.0199422669035133,0.0078076904284946,-109.40133928571429,9018000000.0,-10059000000.0,-13172000000.0,44684000000.0,1481500000.0,934000000.0,100641000000.0,50.586472602739725,85.0925925925926,8617.12962962963,1.779131759329779,1.057671381936888,0.0104443131144898,0.0335432409739714,0.2107142857142857,2023-08-03,1.37,bmo,1891600000.0,2025-04-25,2023-06-30,0.043795620437956,108.28693548387096,2268789.193548387
2023-03-31,ICE,USD,1571949,2023-05-04,2023-05-04 08:28:53,2023,Q1,2472000000.0,1100000000.0,1372000000.0,0.5550161812,0,122000000.0,0.0,122000000.0,260000000.0,382000000.0,1482000000.0,91000000.0,176000000.0,260000000.0,1250000000.0,0.5056634304,969000000.0,0.3919902913,-120000000.0,849000000.0,0.3434466019,175000000.0,655000000.0,0.2649676375,1.17,1.17,559000000,561000000,https://www.sec.gov/Archives/edgar/data/1571949/000157194923000011/0001571949-23-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1571949/000157194923000011/ice-20230331.htm,4.422182468694096,1.1717352415026834,1.1681574239713777,1.0161001788908766,3.701252236135957,41.52236135957066,-19.41860465116279,41.44364937388193,33.1520572450805,58298110000.0,74585110000.0,22.25118702290077,23.58337783171521,89.27735068912712,102.6375176056338,2.516428972245004,2.516428972245004,30.17197006472492,59.668088,114.21915773353751,131.31181338028168,0.0112353556573274,0.0097430259745984,0.7923339232529029,0.1211217419993401,13.0296,1.078580457709941,5.505681818181818,0.9688427299703264,0.0040481586795866,0.3603053435114504,0.0493527508090614,0.0,0.2247838997030683,0.1301684532924961,0.0343851132686084,0.3269230769230769,0.0161812297734627,33.054835522610105,0.0168905897081469,0.0055752272649892,-126.87656529516994,8330000000.0,-10855000000.0,-14003000000.0,44123000000.0,1409500000.0,907500000.0,130869000000.0,60.07281553398058,77.64545454545454,8854.118181818181,1.4981818181818185,1.1591148577449948,0.0101647615439348,0.0282729744895756,0.1520572450805009,2023-05-04,1.4,bmo,1900970000.0,2025-04-25,2023-03-31,0.0071428571428571,104.13645161290324,2766244.5322580645
2022-12-31,ICE,USD,1571949,2023-03-15,2023-03-15 09:28:38,2022,Q4,2377000000.0,1128000000.0,1249000000.0,0.5254522507,0,110000000.0,0.0,110000000.0,263000000.0,373000000.0,1501000000.0,66000000.0,176000000.0,263000000.0,1139000000.0,0.4791754312,864000000.0,0.3634833824,-300000000.0,564000000.0,0.2372738746,124000000.0,425000000.0,0.1787968027,0.76,0.76,559000000,560000000,https://www.sec.gov/Archives/edgar/data/1571949/000119312523070799/0001193125-23-070799-index.htm,https://www.sec.gov/Archives/edgar/data/1571949/000119312523070799/d454149d10ka.htm,4.252236135957066,0.7602862254025045,1.9534883720930232,1.6726296958855098,7.898032200357782,40.71735241502683,-20.46511627906977,40.61896243291592,33.18783542039356,57347810000.0,73924810000.0,33.734005882352946,24.12612957509466,52.516309523809525,61.33455614973262,2.5256676649343786,2.5256676649343786,31.10004627681952,64.90325724319578,67.69671245421246,79.0639679144385,0.0074109194405156,0.0163040227691345,0.8093015062098123,0.0945569060091181,14.553994732221248,1.0521280946028384,4.909090909090909,2.481818181818182,0.0037141784490113,0.5011764705882353,0.0462768195204038,0.0,0.1759871975630088,0.1437728937728937,0.0660496424063946,0.596958174904943,0.0164072360117795,26.35992880543259,0.014922019729284,0.0026539775317384,-160.15161001788908,7776000000.0,-11440000000.0,-14630000000.0,43744000000.0,1208500000.0,827000000.0,162122000000.0,44.26167437946992,69.09574468085106,12249.015957446809,2.033361847733105,1.302540415704388,0.0073475290025468,0.018717519598344,0.2808586762075134,2023-02-02,1.26,bmo,1784447965.0,2025-04-25,2022-12-31,-0.0079365079365079,99.59,2502494.126984127
