date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,IEX,USD,832101,2025-05-01,2025-05-01 16:34:42,2025,Q1,814300000.0,445400000.0,368900000.0,0.4530271399,0,0.0,0.0,209400000.0,0.0,226900000.0,672300000.0,0.0,16100000.0,1400000.0,142000000.0,0.1743829056,142000000.0,0.1743829056,-17500000.0,124500000.0,0.1528920545,29100000.0,95500000.0,0.1172786442,1.26,1.26,75700000,75800000,https://www.sec.gov/Archives/edgar/data/832101/000083210125000017/0000832101-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/832101/000083210125000017/iex-20250331.htm,10.756935270805812,1.261558784676354,1.3963011889035668,1.2073976221928666,7.848084544253632,51.597093791281374,-8.57463672391017,51.606340819022456,26.1889035667107,13699429000.0,15071729000.0,35.86237958115183,16.823565025174997,129.6067076631977,149.88434354485776,3.5067396201300363,3.5067396201300363,18.50881616111998,106.13893661971832,142.58967833491013,164.89856673960614,0.0069710934667423,0.0066718109200025,0.5033532995443608,0.2893849980132743,9.664084507042254,2.7873543522960933,8.819875776397515,1.1079664570230607,0.0038249769388198,0.5486910994764398,0.0,0.0,0.6703359773954761,0.1352885525070955,0.0175610954193786,0.2865731462925852,0.0167014613778705,38.27335540056415,0.0172379896952277,0.0426320253560108,-22.457067371202115,1043100000.0,-649100000.0,-1262500000.0,6057700000.0,474250000.0,203050000.0,448000000.0,53.339064226943385,42.09025594970813,94.22317018410418,1.6873186904268545,2.13826212193951,0.9551790692687112,0.0244458096554548,0.1889035667107001,2025-05-01,1.64,bmo,858940480.0,2025-05-11,2025-03-31,0.0670731707317073,199.082,557339.0666666667
2024-12-31,IEX,USD,832101,2025-02-20,2025-02-20 16:31:33,2024,Q4,862900000.0,495800000.0,367100000.0,0.4254258894,0,0.0,0.0,197900000.0,3900000.0,201700000.0,697600000.0,0.0,16700000.0,50700000.0,218600000.0,0.2533317882,165300000.0,0.1915633329,-14100000.0,151200000.0,0.1752230849,28000000.0,123200000.0,0.1427743655,1.62,1.62,75800000,75900000,https://www.sec.gov/Archives/edgar/data/832101/000083210125000010/0000832101-25-000010-index.htm,https://www.sec.gov/Archives/edgar/data/832101/000083210125000010/iex-20241231.htm,11.383905013192612,1.62532981530343,2.2770448548812663,2.0725593667546174,8.189973614775726,50.054089709762536,-9.79419525065963,50.06200527704485,26.424802110817943,15864182000.0,17229682000.0,32.19192775974026,18.38472824197473,91.91298957126304,100.98142584341184,4.180615595435739,4.180615595435739,19.967182755823387,78.81830741079598,99.82434530706836,109.6733418204965,0.0077659219996341,0.0099028112511568,0.5234405881887896,0.2944717062250752,6.246569075937786,2.529299666507861,9.89820359281437,1.400974025974026,0.0032967347449745,0.424512987012987,0.0,0.0,0.6725423628304152,0.089803012746234,0.0179626839726503,0.3057199211045365,0.0,42.78742303866663,0.0216670509610039,0.0557768924302788,-23.299802110817943,963000000.0,-742400000.0,-1358500000.0,5959900000.0,470500000.0,204100000.0,458950000.0,48.59311623594854,35.90560709963695,78.00121016538927,1.852114187593904,2.506572295247725,1.1538282522690249,0.032466334624608,0.204485488126649,2025-02-04,2.03,amc,866066330.0,2025-05-04,2024-12-31,0.0049261083743843,218.83578125,533457.171875
2024-09-30,IEX,USD,832101,2024-10-30,2024-10-30 12:37:23,2024,Q3,798200000.0,444300000.0,353900000.0,0.4433725883,0,0.0,0.0,182900000.0,0.0,182900000.0,627200000.0,0.0,10300000.0,43900000.0,208600000.0,0.2613380105,168000000.0,0.2104735655,-13600000.0,154400000.0,0.1934352293,35500000.0,119100000.0,0.1492107241,1.57,1.57,75700000,75900000,https://www.sec.gov/Archives/edgar/data/832101/000083210124000055/0000832101-24-000055-index.htm,https://www.sec.gov/Archives/edgar/data/832101/000083210124000055/iex-20240930.htm,10.5442536327609,1.57331571994716,2.712021136063408,2.5310435931307795,8.364597093791282,50.43989431968296,-11.190224570673712,50.44782034346103,27.907529722589167,16237650000.0,17706750000.0,34.08406801007556,20.342833876221498,79.09230394544569,84.74765135699374,4.251918091597057,4.251918091597057,22.183350037584564,84.88374880153404,86.2481734047735,92.4151878914405,0.0073348052211988,0.0117997370309127,0.5504988347429888,0.30172945819878,7.042665388302972,2.971661353170386,16.310679611650485,1.723761544920235,0.003220909429628,0.4391267842149454,0.0,0.0,0.669594546106925,0.0667316122747199,0.0171636181408168,0.3120728929384966,0.0,42.259115556615015,0.0201199136863841,0.051735372051605,-25.304821664464992,1113200000.0,-847100000.0,-1471400000.0,6247200000.0,450650000.0,191400000.0,458050000.0,53.56928088198447,42.61985145172181,98.89264010803512,1.6800673542412123,2.1116920152091256,0.9100778369520688,0.031186991018356,0.1809775429326288,2024-10-29,1.89,amc,793048958.0,2025-04-25,2024-09-30,0.0052910052910052,201.54890625,569995.1875
2024-06-30,IEX,USD,832101,2024-08-01,2024-08-01 11:59:43,2024,Q2,807200000.0,440400000.0,366800000.0,0.4544103072,0,0.0,0.0,180300000.0,0.0,180300000.0,620700000.0,0.0,8100000.0,40200000.0,227500000.0,0.2818384539,186500000.0,0.2310455897,-7300000.0,179200000.0,0.2220019822,38000000.0,141300000.0,0.175049554,1.87,1.86,75700000,75900000,https://www.sec.gov/Archives/edgar/data/832101/000083210124000044/0000832101-24-000044-index.htm,https://www.sec.gov/Archives/edgar/data/832101/000083210124000044/iex-20240630.htm,10.663143989431967,1.866578599735799,1.7648612945838835,1.5548216644649937,9.31439894319683,48.26155878467635,-0.8546895640686922,48.2668428005284,17.55878467635403,14828872999.999998,15449272999.999998,26.236505661712663,18.37075445986125,110.99455838323352,125.98872557349192,4.058479665006295,4.058479665006295,19.13933721506442,67.9088923076923,115.63827095808382,131.2597536108751,0.0095287079469896,0.0079372181554188,0.3615687777108763,0.2237900835126116,2.727032967032967,3.413280268118978,23.02469135802469,0.9455060155697098,0.0035201596237286,0.3694267515923566,0.0,0.0,0.6298341605542662,0.1190119760479041,0.0196977205153617,0.3955223880597014,0.0054509415262636,45.02345784795145,0.0269651556835369,0.064662273476112,-13.357992073976222,1152100000.0,-64700000.0,-620400000.0,5289300000.0,432050000.0,179100000.0,426950000.0,47.51982160555006,35.23160762942779,87.44550408719347,1.893946503988737,2.554524361948956,1.0292124328114045,0.0386720674366413,0.2100396301188903,2024-07-31,2.04,amc,828149045.0,2025-04-25,2024-06-30,0.0098039215686274,218.45619047619047,439738.1746031746
2024-03-31,IEX,USD,832101,2024-04-24,2024-04-24 11:45:04,2024,Q1,800500000.0,443100000.0,357400000.0,0.4464709557,0,0.0,0.0,193800000.0,2700000.0,193800000.0,636900000.0,0.0,9400000.0,40800000.0,204700000.0,0.255715178,163600000.0,0.2043722673,-9100000.0,154500000.0,0.1930043723,33200000.0,121400000.0,0.1516552155,1.6,1.6,75700000,75900000,https://www.sec.gov/Archives/edgar/data/832101/000083210124000016/0000832101-24-000016-index.htm,https://www.sec.gov/Archives/edgar/data/832101/000083210124000016/iex-20240331.htm,10.57463672391017,1.6036988110964332,2.0686922060766184,1.8044914134742405,8.199471598414796,47.797886393659184,-2.0317040951122856,47.80184940554822,17.89564068692206,18233859000.0,18962859000.0,37.54913303130149,22.778087445346657,116.43588122605364,133.4835944363104,5.038926380368098,5.038926380368098,23.68876826983136,92.63731802638009,121.09105363984676,138.8203440702782,0.0066579433349791,0.0074915573274971,0.3717736141049024,0.2284273440418378,3.561309233023937,3.3749457229700397,17.404255319148938,1.2899505766062602,0.0026598867524422,0.3995057660626029,0.0,0.0,0.6404896933473698,0.1277139208173691,0.0249843847595252,0.4901960784313725,0.0156152404747033,41.53125093044381,0.0235626157074289,0.0573371747036319,-14.649603698811095,1093900000.0,-153800000.0,-716600000.0,5294200000.0,432850000.0,182750000.0,423400000.0,49.23297938788257,37.73865944482058,86.52674339878132,1.828042932176296,2.384822389666308,1.0401408450704226,0.0335488863096225,0.2642007926023778,2024-04-23,1.76,amc,807518636.0,2025-04-25,2024-03-31,0.0681818181818181,225.8537704918033,398891.131147541
2023-12-31,IEX,USD,832101,2024-02-22,2024-02-22 11:56:07,2023,Q4,788900000.0,452100000.0,336800000.0,0.4269235645,107500000,0.0,0.0,173600000.0,400000.0,173600000.0,625700000.0,0.0,11600000.0,39600000.0,191400000.0,0.2426163012,163200000.0,0.2068703258,-20300000.0,140200000.0,0.1777158068,31900000.0,108600000.0,0.137660033,1.44,1.43,75600000,75800000,https://www.sec.gov/Archives/edgar/data/832101/000083210124000009/0000832101-24-000009-index.htm,https://www.sec.gov/Archives/edgar/data/832101/000083210124000009/iex-20231231.htm,10.435185185185183,1.4365079365079363,2.6587301587301586,2.373015873015873,7.125661362433863,46.84126984126984,-4.085978835978836,46.84391534391534,17.68915343915344,16413516000.000002,17204916001.0,37.78433701657459,20.80557231588288,81.65928358208956,91.49117056856188,4.634753487321399,4.634753487321399,21.8087412866016,89.88984326541275,85.5965970199005,95.9025418115942,0.0066164982566806,0.0109300164571685,0.374343479979669,0.2260280979335743,4.134796243469174,2.890865480711573,14.06896551724138,1.8611111111111112,0.0029487892782996,0.4456721915285451,0.0,0.1362656863987831,0.6564311532428562,0.1074626865671641,0.027379896057802,0.5454545454545454,0.003676004563316,38.91095300547658,0.0233998629733459,0.0538931070418341,-16.587962976190475,946000000.0,-308900000.0,-877700000.0,5226400000.0,429200000.0,178000000.0,433700000.0,48.80466472303207,35.77305905773059,83.76907763769078,1.8440860215053765,2.5158597662771287,1.0743821292775666,0.0306658383690066,0.2857142857142857,2024-02-06,1.78,amc,834950000.0,2025-04-25,2023-12-31,0.0280898876404494,201.70507936507937,501821.20634920633
2023-09-30,IEX,USD,832101,2023-10-26,2023-10-26 11:41:30,2023,Q3,793400000.0,443800000.0,349600000.0,0.4406352407,0,0.0,0.0,165900000.0,2100000.0,165900000.0,609700000.0,13700000.0,13700000.0,38500000.0,314000000.0,0.3957650618,179600000.0,0.2263675321,82200000.0,261800000.0,0.3299722712,52800000.0,209100000.0,0.2635492816,2.77,2.75,75600000,75900000,https://www.sec.gov/Archives/edgar/data/832101/000083210123000048/0000832101-23-000048-index.htm,https://www.sec.gov/Archives/edgar/data/832101/000083210123000048/iex-20230930.htm,10.494708994708995,2.765873015873016,2.997354497354497,2.7314814814814814,7.768518518518518,44.8042328042328,-2.773809523809524,44.80291005291005,19.22089947089947,15726312000.0,16603012000.0,18.802381635581064,19.821416687673302,69.40120035304501,76.15647457627118,4.643001978093355,4.643001978093355,20.926407864885302,52.87583439490446,73.27013239187997,80.40199515738499,0.0132961879428565,0.0131308599244374,0.424965309556848,0.2538803442923663,2.7920382165605098,3.1142564102564103,13.10948905109489,1.0842105263157895,0.0030776446505703,0.2314681970349115,0.0,0.0,0.6344186538732891,0.0887025595763459,0.0253340055457524,0.522077922077922,0.0023947567431308,52.80323000374523,0.0275525868135793,0.1008829063540309,-15.196428571428571,1030700000.0,-209700000.0,-764200000.0,5161900000.0,442900000.0,183000000.0,464550000.0,48.84547517015377,35.75259125732312,90.5678233438486,1.8425452856479327,2.517300056721498,0.9937304075235108,0.0617342269197838,0.2658730158730158,2023-10-25,1.89,amc,794500000.0,2025-04-25,2023-09-30,0.1216931216931218,216.94301587301587,524209.5238095238
2023-06-30,IEX,USD,832101,2023-07-27,2023-07-27 11:47:01,2023,Q2,846200000.0,468200000.0,378000000.0,0.4467029071,0,0.0,0.0,174300000.0,-8300000.0,174300000.0,642500000.0,13300000.0,13300000.0,37600000.0,229400000.0,0.2710943039,200100000.0,0.2364689199,-21600000.0,178500000.0,0.2109430395,40000000.0,138600000.0,0.1637910659,1.83,1.83,75600000,75900000,https://www.sec.gov/Archives/edgar/data/832101/000083210123000034/0000832101-23-000034-index.htm,https://www.sec.gov/Archives/edgar/data/832101/000083210123000034/iex-20230630.htm,11.193121693121691,1.8333333333333333,1.867724867724868,1.582010582010582,6.297619047619048,43.37169312169312,-5.195767195767195,43.36904761904762,19.646825396825395,16273656000.0,17288656000.0,29.353636363636365,19.231453557078705,115.25252124645893,136.06735785953177,4.963447707933022,4.963447707933022,20.43093358544079,75.36467306015693,122.44090651558074,144.55397993311036,0.0085168323577689,0.007349301226473,0.4489584286454997,0.2573471564188185,4.42458587619878,3.0577476366625564,15.045112781954888,1.0194945848375452,0.0029741319344589,0.3492063492063492,0.0,0.0,0.6419168167275652,0.1529745042492918,0.0255258804065232,0.574468085106383,0.0049633656346017,42.2962553222589,0.0295428823430274,0.0676691729323308,-18.28373015873016,1001300000.0,-392800000.0,-953100000.0,5094600000.0,450850000.0,202850000.0,490050000.0,48.41408650437249,36.46518581802648,92.74882528833832,1.85896309314587,2.468107538218239,0.970362694300518,0.0422728520450178,0.2857142857142857,2023-07-26,2.11,amc,851420000.0,2025-04-25,2023-06-30,0.0331753554502371,210.21725806451613,479520.7258064517
2023-03-31,IEX,USD,832101,2023-04-27,2023-04-27 13:27:56,2023,Q1,845400000.0,462900000.0,382500000.0,0.4524485451,0,0.0,0.0,189700000.0,600000.0,189700000.0,652600000.0,600000.0,13100000.0,36400000.0,229300000.0,0.2712325526,192300000.0,0.2274662881,-12500000.0,179800000.0,0.212680388,40000000.0,139800000.0,0.1653655075,1.85,1.84,75600000,75900000,https://www.sec.gov/Archives/edgar/data/832101/000083210123000019/0000832101-23-000019-index.htm,https://www.sec.gov/Archives/edgar/data/832101/000083210123000019/iex-20230331.htm,11.182539682539682,1.8492063492063493,1.9563492063492065,1.6044973544973544,6.797619047619048,42.71825396825397,-4.787037037037037,42.71428571428572,19.626984126984127,17465868000.0,18425868000.0,31.233669527896996,20.659886444286727,118.09241379310345,143.9890189612531,5.408729096989966,5.408729096989966,21.795443577004967,80.35703445268207,124.5832860040568,151.90328112118715,0.0080041827866785,0.0069449740488133,0.4554378793509228,0.2599328384588193,4.186655037069341,3.0992071559260013,14.6793893129771,1.05793991416309,0.0026050809498846,0.3254649499284692,0.0,0.0,0.6347472605160834,0.1798512508451656,0.0314643955524012,0.7307692307692307,0.0151407617695765,42.15707992443383,0.0288201874266189,0.0676473434626923,-17.60482804232804,1032600000.0,-361900000.0,-904000000.0,5021000000.0,444650000.0,212450000.0,484250000.0,47.53371185237757,41.99611147116008,96.74659753726507,1.8933930571108624,2.143055555555556,0.9302652733118972,0.0432924563359346,0.3518518518518518,2023-04-26,2.02,amc,818550000.0,2025-04-25,2023-03-31,0.0346534653465345,227.00774193548384,382532.48387096776
2022-12-31,IEX,USD,832101,2023-02-23,2023-02-23 12:07:06,2022,Q4,810700000.0,465000000.0,345700000.0,0.426421611,95400000,154100000.0,14900000.0,169000000.0,600000.0,169000000.0,634000000.0,12100000.0,12100000.0,33500000.0,209100000.0,0.2579252498,175000000.0,0.2158628346,-11500000.0,163500000.0,0.2016775626,33500000.0,130000000.0,0.1603552486,1.72,1.71,75500000,75900000,https://www.sec.gov/Archives/edgar/data/832101/000083210123000013/0000832101-23-000013-index.htm,https://www.sec.gov/Archives/edgar/data/832101/000083210123000013/iex-20221231.htm,10.73774834437086,1.7218543046357615,2.2158940397350992,1.950993377483444,5.6980132450331125,40.259602649006624,-7.235761589403974,40.255629139072845,19.89933774834437,17238915000.0,18299015000.0,33.15175961538462,21.26423461206365,103.0419306634788,117.03268839103868,5.672001776724905,5.672001776724905,22.571869988898484,87.51322333811574,109.37845188284518,124.2295655125594,0.0075410778462565,0.0085446212827199,0.4903431711249301,0.2703786353163156,5.069823051171688,2.574135393671817,14.462809917355372,1.2869230769230768,0.0026219747588522,0.3476923076923077,0.1900826446280991,0.1176760823979277,0.6505742121591466,0.1195457262402869,0.0246700382385592,0.5970149253731343,0.0064142099420254,39.49142169099513,0.0278850740269043,0.067497403946002,-19.53046357615894,855700000.0,-546300000.0,-1073000000.0,4823700000.0,424450000.0,202750000.0,463100000.0,49.1575181941532,40.43225806451613,91.14193548387097,1.830849141824752,2.225945428434658,0.987470800594606,0.042773006942388,0.2649006622516556,2023-01-31,1.98,amc,773143205.0,2025-04-25,2022-12-31,0.015151515151515,223.4831746031746,401997.7460317461
