date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,IRM,USD,1020569,2025-05-01,2025-05-01 16:02:11,2025,Q1,1592529000.0,710204000.0,882325000.0,0.5540401462,0,0.0,0.0,329737000.0,298294000.0,628031000.0,1338235000.0,0.0,198201000.0,232154000.0,457679000.0,0.2873913128,254294000.0,0.1596793528,-223226000.0,31068000.0,0.0195085929,14835000.0,15952000.0,0.0100167721,0.05,0.05,294507000,297260000,https://www.sec.gov/Archives/edgar/data/1020569/000102056925000110/0001020569-25-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056925000110/irm-20250331.htm,5.407440230622702,0.05416509624559,0.6699297470009202,-1.6212449958744617,0.5274509604185978,-1.4398231620980146,-23.20094598770148,-2.3718281738634395,58.86677396462563,25339382280.0,42322520280.0,397.1192057422267,15.91141026631226,128.431377148389,-53.07032571816331,-36.27581498024395,-36.27581498024395,26.5756669297702,92.4720607237824,214.5095529120776,-88.63949056271834,0.0006295338940677,-0.0188429218488431,-24.5354120139724,0.8851564400056667,37.10709471048486,0.6161270099626494,1.2830106810762811,12.154192077866076,0.0088194336203842,14.00946589769308,0.0,0.0,0.3309975314128069,3.420022402546389,0.4237078257287622,2.811412024498979,0.0163852589183619,,0.0076988999278867,0.0012315023742241,-63.31505787638324,-1090549000.0,-6832841000.0,-18035763000.0,15953925000.0,1301729000.0,693148500.0,0.0,74.15068108649827,89.66760254800029,0.0,1.2137447516498625,1.0037069960894935,0.0,-0.0228368550649945,2.291174742875381,2025-05-01,1.16,bmo,1668470100.0,2025-05-12,2025-03-31,0.0086206896551724,96.3595,2140085.9166666665
2024-12-31,IRM,USD,1020569,2025-02-14,2025-02-14 16:24:45,2024,Q4,1581279000.0,688933000.0,892346000.0,0.5643191366,0,239270000.0,94037000.0,333307000.0,276601000.0,609908000.0,1298841000.0,10298000.0,204750000.0,260189000.0,589168000.0,0.3725895304,282438000.0,0.1786136412,-158209000.0,124229000.0,0.0785623536,18544000.0,103932000.0,0.0657265416,0.35,0.35,293365000,296234000,https://www.sec.gov/Archives/edgar/data/1020569/000102056925000040/0001020569-25-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056925000040/irm-20241231.htm,5.390141973309699,0.3542753907248649,1.471136638658327,-0.826894823854243,0.5307926985155011,-0.7720859679920917,-22.446614285957764,-1.715003493940995,56.496385049341264,30835595150.0,47049191150.0,74.17252422256861,19.500414000312404,71.44815596181472,-127.114110486351,-61.28850487555702,-61.28850487555702,29.753883501899413,79.85700368994921,109.0161526252375,-193.95169942534892,0.0033705203189502,-0.007866947234842,-32.53547250964975,0.8745638417031685,27.519478315183445,0.5478041314751683,1.3794285714285714,4.083644793490088,0.0068113814239126,2.0208694146172497,0.1513142209565801,0.0,0.3397183807440409,1.5620788729783586,0.4263396908451956,2.5910472771715947,0.028234739094113,,0.0144221296429542,0.0084097128736689,-60.74128730421148,-1396053000.0,-6585051000.0,-17252396000.0,15083987000.0,1267421500.0,632754500.0,0.0,73.50006545334504,88.6652838519856,0.0,1.224488705484602,1.015053424407263,0.0,-0.2065741510011488,2.298031462512569,2025-02-13,1.2,bmo,1621607550.0,2025-05-12,2024-12-31,0.0333333333333333,117.49515625,1522414.09375
2024-09-30,IRM,USD,1020569,2024-11-06,2024-11-06 16:10:49,2024,Q3,1557358000.0,678390000.0,878968000.0,0.5643968824,0,252463000.0,89466000.0,341929000.0,285875000.0,627804000.0,1306194000.0,0.0,186067000.0,678390000.0,843237000.0,0.5414535386,251164000.0,0.161275699,-272429000.0,-21265000.0,-0.0136545354,12400000.0,-33620000.0,-0.021587843,-0.11,-0.11,293603000,293603000,https://www.sec.gov/Archives/edgar/data/1020569/000102056924000255/0001020569-24-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056924000255/irm-20240930.htm,5.304298661798415,-0.1145083667401218,0.8614114978389186,-0.3027796037506429,0.5739553069961819,-0.1085513431402267,-22.163581434794605,-0.8821878523039615,54.51913297888645,34888844490.0,50541243490.0,-259.4351910321237,22.402584691509595,137.94800777342405,-392.4636882009517,-134.69920231803036,-134.69920231803036,32.453195405295375,59.93717482748029,199.8364793031596,-568.5371102511896,-0.0009636317995465,-0.0025480064272544,-61.08154416959766,0.856590784795948,18.562277271988776,0.7453601617650184,1.3498578469046096,-7.9375137306593855,0.0054683668315436,-5.674747174301011,0.1621098039114962,0.0,0.3505984337855405,1.3514924104336274,0.219480684595321,1.553703005040978,0.0189827900842323,,0.0243938278299515,-0.0028030200581847,-59.26501772802049,-587215000.0,-6507294000.0,-16782654000.0,15674050000.0,1258682000.0,557380500.0,0.5,71.86000906663722,77.84809622783354,0.0,1.2524351328225023,1.1560976357932014,0.0,0.1298004347272144,1.1641911015895614,2024-11-06,1.11,bmo,1599350000.0,2025-04-25,2024-09-30,0.0180180180180178,106.960625,1732829.890625
2024-06-30,IRM,USD,1020569,2024-08-01,2024-08-01 16:01:58,2024,Q2,1534409000.0,900472000.0,633937000.0,0.4131473421,0,250570000.0,94268000.0,344838000.0,-4820000.0,569339000.0,1249487000.0,0.0,176521000.0,224501000.0,509423000.0,0.3319994864,284922000.0,0.1856884312,-236982000.0,47940000.0,0.0312432995,13319000.0,35783000.0,0.0233203794,0.12,0.12,293340000,295838000,https://www.sec.gov/Archives/edgar/data/1020569/000102056924000210/0001020569-24-000210-index.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056924000210/irm-20240630.htm,5.230820890434308,0.1219847276198268,1.3028465262153133,-0.1406081679961819,0.4988409320242721,0.1776505079430013,-21.58586963932638,-0.4529692506988477,54.10876457353242,26309664600.0,41861152600.0,183.81399407539897,17.146448306807375,68.84156974386214,-637.8719051544392,-198.00461038276865,-198.00461038276865,27.28161305101834,82.17366039617372,109.5334167152916,-1014.9142365320272,0.0013600705498921,-0.0015677128776472,-118.12502069629876,0.8735905636431903,30.52765187280512,0.7941057628237029,1.6140969063170951,10.680406897129922,0.0072481349686229,5.329234552720566,0.1633006584294018,0.0,0.3553255663988079,1.107923815404904,0.2759518485618893,1.886062868316845,0.0194791610320325,,0.0129132458031405,0.0030893159638198,-57.315971229631145,-444335000.0,-6331999000.0,-16201083000.0,15326261000.0,1270980500.0,526434500.0,0.5,74.7199736185072,52.76912552528008,9.994758304533625e-08,1.2044972132820473,1.7055427601672828,900472000.0,-0.2693002393244728,1.4434546942114952,2024-08-01,1.06,bmo,1504930000.0,2025-04-25,2024-06-30,0.0188679245283019,80.93253968253968,1664695.396825397
2024-03-31,IRM,USD,1020569,2024-05-02,2024-05-02 16:02:18,2024,Q1,1476863000.0,868910000.0,607953000.0,0.4116515885,0,235042000.0,84423000.0,319465000.0,-323641000.0,323641000.0,1192551000.0,3660000.0,168179000.0,215655000.0,499967000.0,0.3385330935,284312000.0,0.1925107474,-190678000.0,93634000.0,0.0634005998,16609000.0,74061000.0,0.0501475086,0.25,0.25,292746000,295221000,https://www.sec.gov/Archives/edgar/data/1020569/000102056924000128/0001020569-24-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056924000128/irm-20240331.htm,5.04486141569825,0.2529872312516653,0.444200774733045,-0.9520095919329384,0.658389866983665,0.6759511658570911,-21.31618877798501,0.0633142724409556,53.63835885033442,23285016840.0,38627597840.0,78.60080487706081,15.76653815553643,179.06317261108293,-83.54957835929342,1256.2728265443757,1256.2728265443757,26.155166620058868,77.26029485946073,297.04853842722895,-138.60069480475212,0.0031806290074385,-0.011968941311704,838.1028324790936,0.871263199150893,30.68718735436539,0.8551682736737202,1.6905321116191676,1.755822902742334,0.0085038804721774,2.673647398765882,0.1591494945705864,0.0,0.3610920541150884,3.14319660406958,0.2767589139954078,1.895318912151353,0.0095059595913771,0.6003318298073967,0.0146915164438979,0.0065014578923042,-56.32147749243372,-293853000.0,-6240229000.0,-15896600000.0,15360200000.0,1263943500.0,532247500.0,0.0,77.27561053394933,54.368219953735135,0.0,1.1646624255457745,1.6553788238163003,0.0,3.995737793363906,1.3962103666659835,2024-05-02,1.05,bmo,1453290000.0,2025-04-25,2024-03-31,0.0476190476190476,72.37918032786885,1518539.5573770492
2023-12-31,IRM,USD,1020569,2024-02-22,2024-02-22 16:41:51,2023,Q4,1419829000.0,601329000.0,818500000.0,0.5764778716,0,223149000.0,91783000.0,314932000.0,-4139000.0,514873000.0,1116202000.0,3215000.0,164255000.0,199941000.0,503568000.0,0.3546680621,230757000.0,0.1625245012,-192545000.0,38212000.0,0.0269131001,9018000.0,28482000.0,0.0200601622,0.0974,0.0965,292328000,295014000,https://www.sec.gov/Archives/edgar/data/1020569/000102056924000040/0001020569-24-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056924000040/irm-20231231.htm,4.856972305081963,0.0974316521168003,1.529764511097124,0.2401035822774417,0.762119947456282,1.3331600120412688,-20.21003119783257,0.7240086478202566,51.14670507101612,20457113440.0,35021683440.0,179.56177094305176,14.408152981802738,45.74560299468015,291.45754234994087,96.6563040520109,96.6563040520109,24.66612770974533,69.54707892479269,78.31447146981282,498.9625645044095,0.0013922785383938,0.0034310314700977,69.86770014363472,0.8462588164842431,28.922747275442443,0.7761176609480062,1.4048704757846031,15.31797629649928,0.0092868918460668,6.670282985745383,0.1571661094399396,0.0,0.3604068536429565,0.8430453965066538,0.265527750172732,1.738948339483395,0.0145116066793958,1.2598335488625116,0.0112650501160596,0.0025484685030337,-54.44713985659944,-500643000.0,-5907958000.0,-15348537000.0,14807928000.0,1213740000.0,493956500.0,0.0,79.85774343248377,80.76021612129135,0.0,1.1270040465905609,1.1144100935147536,0.0,0.1345724977320834,1.289660928819682,2024-02-22,1.05,bmo,1448530000.0,2025-04-25,2023-12-31,0.0571428571428571,62.72984126984127,1510022.6825396826
2023-09-30,IRM,USD,1020569,2023-11-02,2023-11-02 16:02:31,2023,Q3,1388175000.0,592201000.0,795974000.0,0.5733960055,0,225058000.0,89972000.0,315030000.0,-13039000.0,513787000.0,1105988000.0,4059000.0,152801000.0,198757000.0,475674000.0,0.342661408,237833000.0,0.1713278225,-136530000.0,101303000.0,0.0729756695,9912000.0,91043000.0,0.0655846705,0.31,0.31,292148000,294269000,https://www.sec.gov/Archives/edgar/data/1020569/000102056923000214/0001020569-23-000214-index.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056923000214/irm-20230930.htm,4.751615619480537,0.3116331448443939,0.7540013965524324,-0.4943556005860043,0.5970946232731356,1.4578261702972466,-20.076512589509427,0.8985377274532087,48.90752974519764,17368198600.0,31333132600.0,47.69229539887746,12.511533920435104,78.84600780824405,-120.25756344123248,66.1630537968656,66.1630537968656,22.57145720100132,65.87102217064628,142.2422943526421,-216.9508921585598,0.0052419368350612,-0.0083154852916064,53.848049187447145,0.8375602701867723,29.358203307307104,0.8120593304434115,1.5564885046563832,2.4103029838824392,0.0103987180340049,1.9837549289895984,0.1621250922974408,0.0,0.372770312683868,1.655642818231342,0.2627226394366704,1.9128352791851548,0.0131921407603508,2.5100434457934213,0.0143102397737636,0.0086005616631638,-52.71587174993496,-374244000.0,-5865313000.0,-14833973000.0,14428968000.0,1174904000.0,465281500.0,0.0,75.70289048570966,68.13347157468495,0.0,1.1888581720269875,1.3209366544804035,0.0,0.3468225488179318,1.2483569971384367,2023-11-02,1.0,bmo,1413610000.0,2025-04-25,2023-09-30,-0.01,61.10761904761905,1431987.8412698412
2023-06-30,IRM,USD,1020569,2023-08-03,2023-08-03 16:02:57,2023,Q2,1357936000.0,592644000.0,765292000.0,0.5635700062,0,217965000.0,93840000.0,311805000.0,-47887000.0,507172000.0,1099816000.0,2290000.0,144178000.0,195367000.0,447670000.0,0.3296694395,212526000.0,0.1565066395,-207128000.0,5398000.0,0.0039751505,4255000.0,114000.0,8.39509e-05,0.0004,0.0004,291825000,293527000,https://www.sec.gov/Archives/edgar/data/1020569/000102056923000169/0001020569-23-000169-index.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056923000169/irm-20230630.htm,4.653254518975413,0.000390645078386,1.0872474942174248,-0.0645558125588966,0.5172689111625117,1.7832673691424654,-19.72559581941232,1.4262588880322111,47.6482994945601,16581496500.0,30192790500.0,36362.93092105263,12.210808535895652,52.26041016622227,-880.1686129837041,39.83848968569355,39.83848968569355,22.23432510810524,67.44430160609377,95.15954217961082,-1602.6747969637454,6.875133375325925e-06,-0.0011361459443663,33.061489411798625,0.8250580130705458,30.404749033886567,0.7811701972405427,1.4740529068235098,277.59055118110234,0.0108884020208911,1583.7368421052631,0.1605119828916826,0.0,0.3763406800667371,1.059375453061276,0.2475263929964298,1.6520283885934477,0.0164757396519423,0.1119648285849946,0.0030574377070273,1.0959699550411974e-05,-51.81392786772895,-451338000.0,-5756422000.0,-14546998000.0,14100323000.0,1178240000.0,497256500.0,0.5,78.3496865831674,73.23445441107984,0.0,1.1486963627412334,1.2289297534028416,0.0,0.0002738949300606,1.1518033067763214,2023-08-03,0.93,bmo,1354250000.0,2025-04-25,2023-06-30,0.0107526881720429,54.74209677419354,1357065.741935484
2023-03-31,IRM,USD,1020569,2023-05-04,2023-05-04 16:04:41,2023,Q1,1314349000.0,571626000.0,742723000.0,0.5650881159,0,207023000.0,87497000.0,294520000.0,182094000.0,476614000.0,1048240000.0,2907000.0,137169000.0,182094000.0,441427000.0,0.3358521976,240662000.0,0.1831035745,-158369000.0,82293000.0,0.0626112243,16758000.0,64595000.0,0.0491460031,0.22,0.22,291442000,293049000,https://www.sec.gov/Archives/edgar/data/1020569/000102056923000108/0001020569-23-000108-index.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056923000108/irm-20230331.htm,4.509813273309955,0.2216392970127847,0.441967870107946,-0.475068795849603,0.5420632578694903,2.200159894593092,-19.33783737416021,1.8716039555040112,46.715236650860206,15420196219.999998,28751367220.0,59.68030118430219,11.732193062877514,119.71458465312712,-111.37334310786896,28.26986972559142,28.26986972559142,21.874986947911093,65.13277896458531,223.21103673684863,-207.658569354664,0.0041889869025285,-0.0089788092203667,24.70852888549932,0.8185261260234831,30.200171262745595,0.7978396184571835,1.7544926331751345,1.9654840924696728,0.0120954362278536,2.8874371081353045,0.1575099155551531,0.0,0.3812211791183726,2.07489441649587,0.2033424912256942,1.4677199688073193,0.0095172591145882,3.055073184417317,0.0131623935268365,0.0063399090280226,-50.73313214807749,-405653000.0,-5635858000.0,-14223553000.0,13880948000.0,1174620500.0,490733500.0,5863000.5,80.41193016466707,80.65450136977674,1.5744560254432093e-07,1.1192369069576933,1.1158707632122966,571626000.0,0.1184221140166903,0.9170366659575492,2023-05-04,0.93,bmo,1316430000.0,2025-04-25,2023-03-31,0.0430107526881719,52.40274193548387,1505799.5
2022-12-31,IRM,USD,1020569,2023-02-23,2023-02-23 16:03:42,2022,Q4,1279049000.0,539981000.0,739068000.0,0.5778261818,0,204017000.0,75144000.0,279161000.0,190649000.0,469810000.0,1009791000.0,2281000.0,136748000.0,541275000.0,574621000.0,0.4492564397,365928000.0,0.2860938088,-105153000.0,143045000.0,0.1118369976,17392000.0,122437000.0,0.095725027,0.42,0.42,291227000,292892000,https://www.sec.gov/Archives/edgar/data/1020569/000102056923000043/0001020569-23-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1020569/000102056923000043/irm-20221231.htm,4.391931379988806,0.4204177497278755,1.2613528278628012,0.2978672993918833,0.4868951024458584,2.1865864085404167,-19.46621020715799,2.1861571900956984,46.09341853605606,14517665950.0,27662768950.0,29.643134734598203,11.350359485836742,39.52105937278815,167.35640367966616,22.802568921321637,22.802568921321637,21.627606878235312,48.14089452004016,75.30562680350629,318.8902088833043,0.0084336559624448,0.0059752718032474,20.869432734172285,0.8232017889888761,22.87612704721895,0.8068283509702936,2.6759294468657675,2.92344790812794,0.0124206604988042,1.4727492506350204,0.1595067898102418,0.0,0.3906863808674247,0.7638509282953122,0.2193762709638176,1.344525211674565,0.0085516661206881,4.547497547471312,0.0220173857940787,0.012449572353219,-49.70306582150693,-370419000.0,-5669086000.0,-13956576000.0,13634608000.0,1154255500.0,450791000.0,13145500.0,82.67263412113218,78.20241823323413,1.9544020993331248,1.088631092462008,1.1508595518309968,46.049889135254986,0.1923090213423637,0.9634855284709178,2023-02-23,0.94,bmo,1315452923.0,2025-04-25,2022-12-31,0.0425531914893617,50.48095238095238,1317200.0317460315
