date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,ISRG,USD,1035267,2025-04-23,2025-04-23 17:13:16,2025,Q1,2253400000.0,795700000.0,1457700000.0,0.6468891453,316200000,0.0,0.0,563400000.0,0.0,879600000.0,1675300000.0,90400000.0,0.0,140900000.0,719000000.0,0.3190734002,578100000.0,0.2565456643,90400000.0,668500000.0,0.2966628206,-35200000.0,698400000.0,0.3099316588,1.9535664335664336,1.9155238617663195,357500000,364600000,https://www.sec.gov/Archives/edgar/data/1035267/000103526725000109/0001035267-25-000109-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526725000109/isrg-20250331.htm,6.303216783216783,1.9535664335664336,1.6268531468531469,1.3006993006993006,12.61902097902098,48.133426573426576,44.95832167832168,47.85006993006993,0.0,177059025000.0,174485225000.0,63.38023518041237,78.57416570515666,304.4343621045392,380.7720967741935,10.350455092830751,10.350455092830751,77.43198056270525,213.28104754919937,300.0089838376892,375.2370430107527,0.0039444473389594,0.0026262428588432,0.0,0.0,-3.146070162571813,4.978740003900917,0.0,0.8264885604661077,0.0,0.0,0.0,0.1403212922694595,0.0590570435578864,0.2004814305364511,0.0517440312416792,0.7794117647058824,0.0821869175468181,45.86132941086424,0.0344152044746596,0.0386169983356648,11.724545454545456,6119700000.0,16072600000.0,5645100000.0,12053800000.0,1289150000.0,234800000.0,1520400000.0,48.78627851247005,31.2404172426794,175.72451929119012,1.8447810069586577,2.880883417813179,0.5121652935118435,0.0408268250479352,0.3261538461538461,2025-04-22,1.74,amc,2185807506.0,2025-05-12,2025-03-31,0.0402298850574713,553.0458333333333,2043378.7666666664
2024-12-31,ISRG,USD,1035267,2025-01-31,2025-01-31 17:20:49,2024,Q4,2413500000.0,771300000.0,1642200000.0,0.6804226227,294700000,0.0,0.0,612600000.0,0.0,907300000.0,-1678600000.0,74900000.0,0.0,74900000.0,809800000.0,0.3355293143,734900000.0,0.3044955459,74900000.0,809800000.0,0.3355293143,121800000.0,685700000.0,0.2841102134,1.924,1.88,356400000,363900000,https://www.sec.gov/Archives/edgar/data/1035267/000103526725000017/0001035267-25-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526725000017/isrg-20241231.htm,6.771885521885522,1.9239618406285075,2.308080808080808,1.4326599326599327,11.260662177328843,46.37934904601571,45.33978675645342,46.11026936026936,0.0,186026544000.0,183999144000.0,67.82359049146858,77.07749906774394,226.14459518599568,364.3293066980024,11.319821099326385,11.319821099326385,76.23747420758235,227.21553963941716,223.6799708242159,360.3586839012926,0.0036860331071892,0.0027447695851404,0.0,0.0,-2.503581131143492,4.074371168280525,0.0,1.195639534883721,0.0,0.0,0.0,0.1221048270147089,0.0197671688932519,0.3792851932895696,0.1292728402734617,2.5020048115477147,0.0733374766935985,44.67744364867861,0.0367319211403289,0.0373216783597402,9.991301907968577,5365700000.0,16159100000.0,4897400000.0,10382800000.0,1323400000.0,206050000.0,1484450000.0,50.59540087010566,22.567094515752625,173.53558926487747,1.7788178066037736,3.988107549120993,0.5186256051640667,0.0417252353395766,0.8754208754208754,2025-01-23,1.76,amc,2248864174.0,2025-04-25,2024-12-31,0.2556818181818182,520.851875,1285221.5625
2024-09-30,ISRG,USD,1035267,2024-10-18,2024-10-18 16:45:39,2024,Q3,2038100000.0,664200000.0,1373900000.0,0.6741082381,286000000,0.0,0.0,510600000.0,0.0,796600000.0,1460800000.0,0.0,0.0,116200000.0,693500000.0,0.3402678966,577300000.0,0.2832540111,93700000.0,671000000.0,0.3292282027,100400000.0,565100000.0,0.2772680438,1.5882,1.558,355800000,362700000,https://www.sec.gov/Archives/edgar/data/1035267/000103526724000247/0001035267-24-000247-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526724000247/isrg-20240930.htm,5.728218100056211,1.5882518268690275,1.98566610455312,1.2889263631253514,11.893479482855536,44.06267566048341,43.01264755480607,43.797920179876336,0.0,174793866000.0,172380566000.0,77.3287320828172,85.76314508610962,247.40816135881104,381.1466768425643,11.216742666829234,11.216742666829234,84.57905205828958,248.566064888248,243.9923085633404,375.884356737898,0.0032329509778106,0.0026236618623676,0.0,0.0,-3.479884643114636,4.303196564885496,0.0,1.2381703470031546,0.0,0.0,0.0,0.1403267749374417,0.0210557164917659,0.3508846426043878,0.1216328933810902,2.1333907056798624,0.0848339139394534,39.56194954273525,0.0305553190730321,0.0325334776451081,10.888560989319842,5538800000.0,15303900000.0,5149700000.0,10345400000.0,1266600000.0,206550000.0,1432800000.0,56.96482017565379,29.634146341463413,200.77235772357724,1.579922480620155,3.037037037037037,0.4482688803401498,0.0362631791725757,0.6967397414277684,2024-10-17,1.63,amc,2005480601.0,2025-04-25,2024-09-30,0.1288343558282209,465.555,1423259.6875
2024-06-30,ISRG,USD,1035267,2024-07-19,2024-07-19 17:03:43,2024,Q2,2009900000.0,637200000.0,1372700000.0,0.682969302,280100000,0.0,0.0,525300000.0,0.0,805400000.0,1442600000.0,87200000.0,0.0,111800000.0,679100000.0,0.3378775063,567300000.0,0.2822528484,87200000.0,654500000.0,0.3256380914,123000000.0,526900000.0,0.2621523459,1.4842,1.4596,355000000,361000000,https://www.sec.gov/Archives/edgar/data/1035267/000103526724000207/0001035267-24-000207-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526724000207/isrg-20240630.htm,5.661690140845071,1.484225352112676,1.747887323943662,0.8763380281690141,13.40056338028169,41.680281690140845,40.61915492957746,41.43183098591549,0.0,154865200000.0,151828500000.0,73.47940785727842,77.05119657694412,249.5813053988719,497.7987785278046,10.529102615530007,10.529102615530007,75.54032538932285,223.57311147106464,244.6873489121676,488.03760848601735,0.0034023137541552,0.002008843820303,0.0,0.0,-4.471653659254896,5.145747899159664,0.0,1.167450611476952,0.0,0.0,0.0,0.1393601671724961,0.0226247605090721,0.4986301369863014,0.1539380068660132,2.7674418604651163,0.0863724563411115,37.1970282886849,0.0303835455701061,0.0323783890076936,12.755352112676055,6166800000.0,14419800000.0,5800900000.0,10660300000.0,1251800000.0,194400000.0,1341600000.0,55.66844121598089,27.45762711864407,195.46610169491527,1.6167149292149292,3.2777777777777777,0.4604378929113375,0.0358233106477295,0.8715492957746479,2024-07-18,1.54,amc,1971592520.0,2025-04-25,2024-06-30,0.1558441558441558,398.284126984127,1384862.4444444445
2024-03-31,ISRG,USD,1035267,2024-04-19,2024-04-19 09:00:40,2024,Q1,1890600000.0,645200000.0,1245400000.0,0.6587326775,284500000,0.0,0.0,491500000.0,0.0,776000000.0,1421200000.0,0.0,0.0,109300000.0,578700000.0,0.3060933037,469400000.0,0.248280969,69100000.0,538500000.0,0.2848302126,-8900000.0,544900000.0,0.2882153814,1.5414,1.5115,353500000,360500000,https://www.sec.gov/Archives/edgar/data/1035267/000103526724000137/0001035267-24-000137-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526724000137/isrg-20240331.htm,5.348231966053748,1.5414427157001414,0.7507779349363508,0.0664780763790664,13.578783592644978,39.73521923620933,38.65459688826026,39.4981612446959,0.0,139586545000.0,136747045000.0,64.04227610570747,73.8318761239818,525.9477957799547,5939.852978723405,9.997174236889975,9.997174236889975,72.32997196657146,236.30040608259893,515.2488507912585,5819.023191489362,0.0039036713746299,0.0001683543352978,0.0,0.0,-4.906687402799378,5.550650861755509,0.0,0.48483741322616,0.0,0.0,0.0,0.1504813286787263,0.0241344452868334,0.9114544084400904,0.1279487993229662,2.213174748398902,0.0810853697238971,37.01207155806316,0.0330146861406209,0.0352777418101773,13.05077793493635,6257600000.0,13664400000.0,5851100000.0,10439200000.0,1263950000.0,191550000.0,1259950000.0,60.0,27.117172969621823,181.2414755114693,1.5,3.3189300411522638,0.4965750788886323,0.0390256828957357,0.6842998585572843,2024-04-18,1.41,amc,1870210095.0,2025-04-25,2024-03-31,0.0638297872340426,377.8667213114754,1674044.6393442622
2023-12-31,ISRG,USD,1035267,2024-01-31,2024-01-31 17:16:45,2023,Q4,1928300000.0,650900000.0,1277400000.0,0.6624487891,260100000,0.0,0.0,567100000.0,0.0,827200000.0,1478100000.0,92500000.0,28700000.0,114000000.0,553800000.0,0.2871959757,450200000.0,0.2334698958,65700000.0,515900000.0,0.2675413577,-94800000.0,606200000.0,0.3143701706,1.72,1.69,352100000,358200000,https://www.sec.gov/Archives/edgar/data/1035267/000103526724000021/0001035267-24-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526724000021/isrg-20231231.htm,5.476569156489633,1.7216699801192843,0.6483953422323203,-0.588469184890656,14.834422039193411,38.04970178926441,35.25106503834138,37.79494461800625,0.3365521158761715,118784456000.0,116124156000.0,48.98732101616629,61.60060986361044,520.2998510731494,-573.2840540540541,8.926061498692476,8.926061498692476,60.22100088160556,209.68608884073672,508.6472010512484,-560.4447683397683,0.0051033613354259,-0.0017443359760809,0.0067480236857134,0.0058154971991063,-4.803719754423979,4.75553144028456,15.686411149825783,0.3738333060422466,0.0,0.0,0.0,0.1348856505730436,0.0638150438752711,1.9075777485764345,0.2258466006326816,3.5349025974025974,0.0779961624228595,38.26335694701363,0.0386661052320912,0.0419338549124591,13.461871627378583,6229300000.0,12411900000.0,5843800000.0,10752300000.0,1182300000.0,192450000.0,1184050000.0,59.15832598662034,26.091565524658165,168.7724688892303,1.5213412228796843,3.449390567037626,0.5332623300016386,0.045552917130061,1.2368645271229763,2024-01-23,1.48,amc,1888440000.0,2025-04-25,2023-12-31,0.0810810810810811,298.08984126984126,1889704.603174603
2023-09-30,ISRG,USD,1035267,2023-10-20,2023-10-20 17:04:46,2023,Q3,1743700000.0,576500000.0,1167200000.0,0.6693812009,249400000,0.0,0.0,452000000.0,0.0,701400000.0,1277900000.0,45800000.0,0.0,108600000.0,574400000.0,0.3294144635,465800000.0,0.2671331078,56200000.0,522000000.0,0.2993634226,102200000.0,415700000.0,0.2384011011,1.18,1.16,351700000,358200000,https://www.sec.gov/Archives/edgar/data/1035267/000103526723000196/0001035267-23-000196-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526723000196/isrg-20230930.htm,4.957918680693773,1.1819732726755758,1.55928348023884,0.8305373898208701,18.412567529144155,35.892806369064544,33.087858970713675,35.65254478248507,0.0,102798393000.0,99196393000.0,61.82246391628578,58.954173883122095,187.4514824945296,351.92876754536115,8.198292766568308,8.198292766568308,56.88845156850376,172.69567026462394,180.88328409919765,339.5973741869223,0.0040438375335303,0.0028414841076358,0.0,0.0,-6.270891364902507,5.31072536387497,0.0,1.3063363506431631,0.0,0.0,0.0,0.1430291908011699,0.0670509151957152,0.4673595915390226,0.1469862935137925,2.360036832412523,0.0895222802087515,30.79217414059527,0.0287353882437848,0.0302851481109119,16.44320443559852,7226500000.0,11637000000.0,6813700000.0,11290000000.0,1067950000.0,197950000.0,1076350000.0,56.62613981762918,30.629661751951428,179.14137033824804,1.5893719806763285,2.938328236493374,0.50239651416122,0.033152564000319,0.7287460904179699,2023-10-19,1.41,amc,1766960000.0,2025-04-25,2023-09-30,0.0354609929078014,312.3049206349206,1785630.0
2023-06-30,ISRG,USD,1035267,2023-07-24,2023-07-21 19:22:59,2023,Q2,1755900000.0,584000000.0,1171900000.0,0.6674070277,244400000,0.0,0.0,464300000.0,0.0,708700000.0,1292700000.0,36000000.0,0.0,97300000.0,560500000.0,0.3192095222,365900000.0,0.2083831653,36000000.0,499200000.0,0.2842986503,73200000.0,420800000.0,0.2396491828,1.2,1.18,350900000,357300000,https://www.sec.gov/Archives/edgar/data/1035267/000103526723000159/0001035267-23-000159-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526723000159/isrg-20230630.htm,5.0039897406668565,1.1992020518666286,1.8971216870903391,1.3889997150185238,16.526645768025077,34.08292960957538,33.08948418352807,34.08292960957538,0.0,119986746000.0,116551346000.0,71.28490137832699,68.33347343242781,180.24146913023884,246.177156339762,10.032588275625642,10.032588275625642,66.37698388290904,207.94174130240856,175.08088628511342,239.12873615100537,0.0035070540207832,0.0040621153273045,0.0,0.0,-6.129170383586084,4.651728750771764,0.0,1.5626760563380282,0.0,0.0,0.0,0.1391878808588188,0.0250731840642149,0.2678383656301637,0.1015433680733527,1.8324768756423435,0.0834329973233099,30.32535540158013,0.0261082129343352,0.031044582321999,14.640353377030491,7097500000.0,11611100000.0,7097500000.0,10276900000.0,1048100000.0,181900000.0,975900000.0,53.24449000512558,30.77568493150685,154.91095890410958,1.6903157489410858,2.9243865798698048,0.5809789096697174,0.0351848290508959,0.5081219720718153,2023-07-20,1.33,amc,1737350000.0,2025-04-25,2023-06-30,0.0676691729323307,302.5624193548387,1574741.935483871
2023-03-31,ISRG,USD,1035267,2023-04-20,2023-04-20 16:45:19,2023,Q1,1696200000.0,583200000.0,1113000000.0,0.6561726212,244900000,0.0,0.0,480500000.0,0.0,725400000.0,1308600000.0,37900000.0,0.0,92700000.0,480300000.0,0.2831623629,294900000.0,0.1738592147,34200000.0,421800000.0,0.2486735055,61000000.0,355300000.0,0.2094682231,1.01,1.0,350200000,356000000,https://www.sec.gov/Archives/edgar/data/1035267/000103526723000092/0001035267-23-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526723000092/isrg-20230331.htm,4.84351798972016,1.0145631067961165,1.060536836093661,0.5062821245002855,8.339805825242719,32.25071387778412,31.255282695602517,32.25071387778412,0.0,89465594000.0,89094194000.0,62.95074162679426,52.7447199622686,240.887436725902,504.6000789622109,7.921375042056986,7.921375042056986,52.52575993397005,185.49696856131584,239.887436725902,502.5053243090807,0.0039713590902889,0.0019817674267048,0.0,0.0,-0.7732667083073079,4.804150085275725,0.0,1.0293791574279378,0.0,0.0,0.0,0.1443815587784459,0.0267060950571507,0.5226171243941842,0.1144322603466572,2.093851132686084,0.0824195259992925,27.13316514038381,0.0223346551848652,0.0279662484454449,6.933038263849229,6691500000.0,10945600000.0,6691500000.0,9620300000.0,1065350000.0,155550000.0,919900000.0,56.10541209763,25.324074074074076,146.08024691358025,1.6041233213542652,3.553930530164534,0.6160997253327699,0.0314586247808609,0.5542547115933752,2023-04-18,1.2,amc,1595630000.0,2025-04-25,2023-03-31,0.025,246.3553225806452,1715659.677419355
2022-12-31,ISRG,USD,1035267,2023-02-10,2023-02-10 17:11:19,2022,Q4,1655000000.0,544100000.0,1110900000.0,0.6712386707,244100000,0.0,0.0,494300000.0,0.0,738400000.0,1282500000.0,22200000.0,22200000.0,112100000.0,506800000.0,0.306223565,266300000.0,0.1609063444,22200000.0,394700000.0,0.238489426,58000000.0,324900000.0,0.1963141994,0.93,0.91,351100000,357000000,https://www.sec.gov/Archives/edgar/data/1035267/000103526723000019/0001035267-23-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1035267/000103526723000019/isrg-20221231.htm,4.713756764454572,0.9253773853602962,1.2472230133864997,0.8550270578182854,11.74081458273996,31.65081173454856,30.658217032184563,31.65081173454856,0.3303902022215892,93164385000.00002,91676985000.00002,71.68696906740536,56.29267975830817,212.75264900662253,310.3410559626916,8.383671238054102,8.383671238054102,55.393948640483394,180.8938141278611,209.3559831011647,305.3863590939374,0.0034873841543632,0.0032222613823941,0.0084408689235642,0.0072298443039926,-2.934885556432518,4.6077146234017405,11.995495495495495,1.3005643005643006,0.0,0.0,0.0,0.1474924471299093,0.0268614151379682,0.314455355103905,0.083202416918429,1.2966101694915255,0.0770996978851963,25.671020074542604,0.0204423808121796,0.0257336343115124,10.003916263172885,6715400000.0,10764100000.0,6715400000.0,9438100000.0,1022200000.0,155600000.0,865150000.0,58.36676737160121,24.315383201617347,147.74489983458923,1.541973353209727,3.701360544217687,0.6091580832960143,0.029237082230981,0.3921959555682142,2023-01-24,1.26,amc,1669821970.0,2025-04-25,2022-12-31,-0.0238095238095238,243.8263492063492,2184258.73015873
