date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,IT,USD,749251,2025-05-06,2025-05-06 06:05:10,2025,Q1,1534130000.0,475030000.0,1059100000.0,0.6903587049,0,0.0,0.0,730308000.0,50760000.0,781068000.0,1256098000.0,0.0,13413000.0,50760000.0,328744000.0,0.2142869248,278032000.0,0.181231056,-11024000.0,267008000.0,0.1740452243,56069000.0,210939000.0,0.1374974741,2.73,2.71,77357000,77790000,https://www.sec.gov/Archives/edgar/data/749251/000074925125000028/0000749251-25-000028-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925125000028/it-20250331.htm,19.83181871065321,2.7268249802862057,4.052794187985573,3.722261721628295,27.03114133174761,19.36287601639153,-23.618702896958258,19.36287601639153,36.18174179453702,32469827180.0,33164277180.0,38.48248448603625,21.16497766160625,103.56805219576924,112.76477351420246,21.677564822739733,21.677564822739733,21.617644645499404,100.88177177378142,105.78311892367756,115.17653556433044,0.0064964620486163,0.0088680176338407,1.859659219122825,0.3284877958234908,2.1124339911907137,1.0897379667932152,20.728546932080818,1.4862685420903674,0.0,0.0,0.0,0.0,0.3921013811592095,0.0815566868253846,0.0166667753058736,0.5037234042553191,0.0327012704268869,34.46710627921678,0.0468525977769017,0.0409206114259719,-48.6468257559109,340259000.0,-1827072000.0,-2849953000.0,4160862000.0,1599903500.0,27896500.0,0.0,88.2078963321231,0.0,0.0,1.0203168167748748,0.0,0.0,0.1408274771773484,0.3305324663572785,2025-05-06,2.74,bmo,1534495396.0,2025-05-11,2025-03-31,0.0875912408759123,492.7745000000001,587526.4
2024-12-31,IT,USD,749251,2025-02-13,2025-02-13 16:34:58,2024,Q4,1715119000.0,574925000.0,1140194000.0,0.6647900233,60100000,0.0,0.0,759850000.0,51218000.0,822399000.0,1397324000.0,61558000.0,73876000.0,51222000.0,426746000.0,0.2488142222,317795000.0,0.1852903501,-16147000.0,301648000.0,0.175875843,-96925000.0,398573000.0,0.2323879568,5.14,5.11,77500000,78000000,https://www.sec.gov/Archives/edgar/data/749251/000074925125000008/0000749251-25-000008-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925125000008/it-20241231.htm,22.130567741935483,5.142877419354838,4.3271612903225805,4.018245161290323,24.94383225806452,17.53766451612903,-25.55774193548387,17.53766451612903,38.37267096774193,37546425000.0,38513284000.0,23.55053214843956,21.891440185783026,111.96023616764326,120.56755637190363,27.624544850566785,27.624544850566785,22.45516725078551,90.24872875199767,114.84332722040824,123.6722947587456,0.0106154713797651,0.0082941052310572,2.1336610826173934,0.3397911882016307,2.26565451111434,1.0573227721934102,4.301735340299962,0.8413891558133642,0.0,0.0,0.0,0.0350413003412591,0.3913324837008948,0.0713900195315412,0.0139587981941777,0.4673968216781851,0.0176046093594671,45.04848858324731,0.0899938480882023,0.0767257189288394,-51.22820967741936,227515000.0,-1980725000.0,-2978971000.0,4067796000.0,1500989500.0,436320500.0,0.0,89.0085469288137,8.733956603035178,0.0,1.011138852451768,10.304608104959405,0.0,0.2932475652402313,0.308916129032258,2025-02-04,3.26,bmo,1690400144.0,2025-05-04,2024-12-31,0.6717791411042946,515.549375,353967.546875
2024-09-30,IT,USD,749251,2024-11-05,2024-11-05 06:05:10,2024,Q3,1484306000.0,475342000.0,1008964000.0,0.6797547137,0,0.0,0.0,711729000.0,0.0,763140000.0,1238482000.0,0.0,17961000.0,51252000.0,607583000.0,0.4093381014,245824000.0,0.1656154459,281048000.0,526872000.0,0.3549618475,111823000.0,415049000.0,0.279624956,5.36,5.32,77484000,77968000,https://www.sec.gov/Archives/edgar/data/749251/000074925124000041/0000749251-24-000041-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925124000041/it-20240930.htm,19.156290330907023,5.356576841670538,7.624374064322957,7.291802178514274,22.8213824789634,13.740669041350472,-29.85448608745031,13.740669041350472,37.803430385628,39265791840.0,40408699840.0,23.651298906876058,26.45397366850232,66.46578404006993,69.49722271583262,36.88030025866878,36.88030025866878,27.22396853479,66.5072917445024,68.40040124109844,71.52007589407395,0.0105702439846683,0.0143890642089238,2.734337576853934,0.3710685811521327,1.881073038580737,1.0229176027373588,13.686543065530872,1.4233668795732553,0.0,0.0,0.0,0.0,0.4305587314940507,0.0436195657509644,0.0173609754322895,0.5027901350191212,0.0231374123664527,40.69479531167393,0.0433585962120464,0.092903606763748,-52.05152676681637,79569000.0,-2313245000.0,-3229239000.0,4037808000.0,1369924000.0,779692500.0,-3413500.0,79.17360705946079,154.65984491166358,0.0,1.1367424491902762,0.581922218087086,0.0,0.3898337719619567,0.3325718858086831,2024-11-05,2.37,bmo,1475161592.0,2025-04-25,2024-09-30,0.0548523206751054,480.73875,327397.578125
2024-06-30,IT,USD,749251,2024-07-30,2024-07-30 06:05:01,2024,Q2,1595060000.0,563848000.0,1031212000.0,0.6465035798,513314000,0.0,0.0,723878000.0,504000.0,723878000.0,1287726000.0,0.0,19990000.0,66673000.0,381090000.0,0.2389189121,307334000.0,0.1926786453,-19486000.0,299297000.0,0.1876399634,69749000.0,229548000.0,0.1439118278,2.95,2.93,77816000,78288000,https://www.sec.gov/Archives/edgar/data/749251/000074925124000035/0000749251-24-000035-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925124000035/it-20240630.htm,20.497841060964326,2.9498817723861417,4.754343579726535,4.376953325794181,15.96859257736198,8.31010332065385,-35.244474144134884,8.31010332065385,39.09198622391282,34341757120.0,36127964120.0,37.40149894575426,21.530072298220755,92.82459136564638,100.82812567344986,53.1064395918096,53.1064395918096,22.64990916956102,94.80165871578892,97.65264760895654,106.07246722666378,0.0066842240831735,0.0099178675922101,4.673238909533463,0.4066895904549619,4.687100160067176,0.8053699262637508,15.374387193596798,1.6117064840469095,0.0,0.0,0.0,0.3218148533597482,0.4561130034832477,0.079377993534506,0.0184112196406404,0.44046315600018,0.0249188118315298,23.48533589339213,0.0580360241541154,0.0567982014447232,-57.43395959699805,-673770000.0,-2742584000.0,-3996022000.0,3313728000.0,1514913500.0,744036500.0,-6943500.0,80.91762065376851,118.5218888778536,-1.0897085739419134,1.1122422937408567,0.7593534059582216,-82.59088911674235,0.3549753424911738,0.3773902539323532,2024-07-30,3.02,bmo,1584593137.0,2025-04-25,2024-06-30,0.0662251655629139,444.9080952380952,425307.77777777775
2024-03-31,IT,USD,749251,2024-04-30,2024-04-30 06:05:19,2024,Q1,1472926000.0,459441000.0,1013485000.0,0.6880759794,459441000,0.0,0.0,689357000.0,4891000.0,739209000.0,1198650000.0,14719000.0,19219000.0,65335000.0,324128000.0,0.2200572194,274821000.0,0.1865816748,-14328000.0,259557000.0,0.1762186288,49012000.0,210545000.0,0.1429433658,2.69,2.67,78339000,78964000,https://www.sec.gov/Archives/edgar/data/749251/000074925124000024/0000749251-24-000024-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925124000024/it-20240331.htm,18.80195049719807,2.6876140874915437,2.410497963977074,2.1212422931107118,15.87282196607054,9.167515541428918,-34.38804426913798,9.167515541428918,39.13550083610973,37402172160.0,39212388160.0,44.4111379515068,25.39311014945761,198.06695841894555,225.0756556903524,52.07954083550783,52.07954083550783,26.62210332358856,120.97809556718332,207.6531390201021,235.9690217600616,0.0056292185143505,0.0044429505133853,4.242171117305834,0.3951610999492854,5.584880047388686,0.8173925703721406,14.299443259274677,0.8968914008881712,0.0,0.0,0.0,0.3119240206228962,0.4425658998081664,0.1199983054078671,0.015384343816322,0.3468278870436979,0.0342854970310796,23.545100087278147,0.0534842936244951,0.0489900321357113,-58.14352046873205,-664744000.0,-2693925000.0,-4016090000.0,3356291000.0,1612876000.0,404337500.0,-6511000.0,97.50385966436876,146.04321338322003,-1.3829849752198868,0.9230403833222726,0.6162559554468194,-65.07662889518413,0.293167115490118,0.2892556708663628,2024-04-30,2.53,bmo,1473098480.0,2025-04-25,2024-03-31,0.1581027667984191,460.24360655737706,401807.62295081967
2023-12-31,IT,USD,749251,2024-02-15,2024-02-15 16:34:58,2023,Q4,1586118000.0,529842000.0,1056276000.0,0.6659504526,47800000,0.0,0.0,703025000.0,-3682000.0,754745000.0,1284587000.0,24277000.0,59003000.0,66766000.0,305451000.0,0.1925777275,303928000.0,0.1916175215,-24159000.0,277254000.0,0.1748003616,68623000.0,208631000.0,0.1315356108,2.66,2.64,78400000,79000000,https://www.sec.gov/Archives/edgar/data/749251/000074925124000006/0000749251-24-000006-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925124000006/it-20231231.htm,20.23109693877551,2.661109693877551,2.8613520408163264,2.5044770408163264,16.90001275510204,8.68155612244898,-35.186020408163266,8.68155612244898,39.913239795918365,35367024000.0,37118220000.0,42.37987643255317,22.29785173612556,157.65623857709625,180.12143559238302,51.96188259769568,51.96188259769568,23.40192848199188,121.51939263580738,165.46257745285962,189.0401373051321,0.0058990261662954,0.0055518100703073,4.510787001530925,0.3918104564378473,5.73314868833299,0.9073957062449588,5.151060115587344,1.0752476861060916,0.0,0.0,0.0,0.0301364715613844,0.4389042306333182,0.1247225070209067,0.0176399233852714,18.370978332239,0.0160883364289416,22.799295953960883,0.0597602907475747,0.0474517143649295,-58.81110650510204,-349833000.0,-2758584000.0,-3727399000.0,3718912000.0,1401668000.0,436413000.0,-7039500.0,92.4910441719973,10.724914219710785,-1.0127169986524285,0.9730671851064312,8.391675509589952,-88.86984233478698,0.3065245050937802,0.356875,2024-02-06,2.83,bmo,1585430000.0,2025-04-25,2023-12-31,0.0742049469964664,399.4766666666666,514784.90476190473
2023-09-30,IT,USD,749251,2023-11-03,2023-11-03 06:06:18,2023,Q3,1408784000.0,450841000.0,957943000.0,0.6799786199,450841000,0.0,0.0,660227000.0,1877000.0,714149000.0,1164990000.0,19320000.0,21820000.0,48536000.0,297716000.0,0.2113283513,249180000.0,0.1768759441,-19943000.0,224474000.0,0.1593388341,44465000.0,180009000.0,0.1277761531,2.28,2.26,78923000,79520000,https://www.sec.gov/Archives/edgar/data/749251/000074925123000052/0000749251-23-000052-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925123000052/it-20230930.htm,17.850107066381156,2.2808180124931896,4.193276991498043,3.832786386731371,15.93289662075694,7.179630779367232,-36.56403076416254,7.179630779367232,38.16860737681031,27118732030.0,28859938030.0,37.66302244609992,19.24974448176583,81.94307237434505,89.65018274682227,47.8590070380031,47.8590070380031,20.485708263296573,96.93781331873328,87.20437180083759,95.40633078232698,0.0066378103445568,0.0111544669443013,5.277727579159887,0.4128098046436946,5.848546937349689,0.8565653418918747,11.419798350137487,1.838496964040687,0.0,0.0,0.0,0.3200213801406035,0.4765583200495168,0.0859687078858786,0.0201954309532192,0.5861834514587111,0.0191952776295017,19.194978564827945,0.0535820150066673,0.0474704399208549,-57.5797264422285,-475158000.0,-2885743000.0,-3840210000.0,3616225000.0,1239153500.0,766636000.0,-7982500.0,74.95721842383219,161.63532154351535,-1.62037170532405,1.2006848958976986,0.5568089891525985,-55.54281138351608,0.3176790119970775,0.3604906047666713,2023-11-03,1.96,bmo,1387750000.0,2025-04-25,2023-09-30,0.3061224489795919,348.82428571428574,401930.3174603175
2023-06-30,IT,USD,749251,2023-08-01,2023-08-01 06:07:14,2023,Q2,1503185000.0,487418000.0,1015767000.0,0.675743172,487418000,0.0,0.0,670168000.0,5575000.0,733585000.0,1221003000.0,18058000.0,24558000.0,64326000.0,345566000.0,0.2298892019,298986000.0,0.1989016655,-18983000.0,264124000.0,0.1757095767,66081000.0,198043000.0,0.1317489198,2.5,2.48,79285000,79820000,https://www.sec.gov/Archives/edgar/data/749251/000074925123000039/0000749251-23-000039-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925123000039/it-20230630.htm,18.95926089424229,2.4978621429021883,5.496399066658258,5.173866431229111,14.89154316705556,7.397439616573123,-36.489991801727946,7.397439616573123,38.33991297218894,27774328350.0,29616722350.0,35.06098214781638,18.47698609951536,63.73445518630876,67.70758477365251,47.35557411177379,47.35557411177379,19.70264628106321,85.70496620037851,67.96224339233837,72.19892823188123,0.0071304334529479,0.014769394054492,5.140990885003734,0.409903407222442,5.331525670928274,0.8687321185214661,12.174688492548253,2.200441318299561,0.0,0.0,0.0,0.324256828001876,0.4730351676666984,0.0586807165050415,0.0170118781121418,0.5486023212408555,0.0214431357417749,20.38995214277034,0.0587343948201519,0.0510904936075936,-58.19426751592356,-438074000.0,-2893109000.0,-3870249000.0,3698392000.0,1414215500.0,361792500.0,-3924000.0,78.13349654234176,133.6073965261849,-1.449105285401852,1.1518747270094023,0.6736154010931681,-62.107288481141694,0.3376657698301467,0.322532635429148,2023-08-01,2.51,bmo,1480770000.0,2025-04-25,2023-06-30,0.1354581673306774,325.62451612903226,552937.2741935484
2023-03-31,IT,USD,749251,2023-05-02,2023-05-02 06:06:59,2023,Q1,1408869000.0,435139000.0,973730000.0,0.6911430374,0,0.0,0.0,657090000.0,-91317000.0,565773000.0,1000912000.0,0.0,27391000.0,46631000.0,455299000.0,0.3231663128,407957000.0,0.2895634725,-26680000.0,381277000.0,0.2706262967,85494000.0,295783000.0,0.2099435789,3.72,3.68,79500000,80300000,https://www.sec.gov/Archives/edgar/data/749251/000074925123000021/0000749251-23-000021-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925123000021/it-20230331.htm,17.721622641509434,3.720540880503145,2.071433962264151,1.805748427672956,11.23914465408805,5.947899371069182,-38.00277987421384,5.947899371069182,38.54242767295597,25898715000.0,28041935000.0,21.88996240487113,18.382628193252884,157.26786657679486,180.40719017533107,54.77059709257325,54.77059709257325,19.90386260184588,61.5901528446142,170.28239787708208,195.33659104049264,0.0114207596786172,0.0055430163233967,6.422080201667308,0.4115408571321703,4.707280270767122,0.8405048728293444,14.89383374100982,0.5567561354100811,0.0,0.0,0.0,0.0,0.4735209648225515,0.1282616484190455,0.0149921674761812,0.4529604769359439,0.0319745838683369,22.313932019516223,0.0804664149703847,0.0761375012130446,-61.25762578616352,-550937000.0,-3021221000.0,-4002755000.0,3615079000.0,1540113500.0,41612500.0,206057500.0,97.3189771369801,0.0,0.0,0.9247939368836732,0.0,0.0,0.6255218268486522,0.265685534591195,2023-05-02,2.0,bmo,1395720000.0,2025-04-25,2023-03-31,0.4399999999999999,330.5687096774193,451714.8064516129
2022-12-31,IT,USD,749251,2023-02-16,2023-02-16 16:35:48,2022,Q4,1504700000.0,475400000.0,1029300000.0,0.6840566226,1269236000,0.0,0.0,645000000.0,-1220536000.0,693700000.0,1169100000.0,4880000.0,29900000.0,66100000.0,387609000.0,0.2575988569,332300000.0,0.2208413637,-28196000.0,304100000.0,0.2021000864,47300000.0,256814000.0,0.1706745531,3.24,3.21,79200000,80100000,https://www.sec.gov/Archives/edgar/data/749251/000074925123000006/0000749251-23-000006-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925123000006/it-20221231.htm,18.998737373737377,3.2426010101010103,2.564507575757576,2.0898989898989897,8.89324494949495,2.8762373737373736,-41.50412878787879,2.8762373737373736,40.25619949494949,26622288000.0,29082680000.0,25.915923586720343,17.69275470193394,131.07389628229177,160.84030932817785,116.86796196630348,116.86796196630348,19.32789260317671,75.03097193305625,143.18754954236394,175.7049299178347,0.0096465788364997,0.0062173469087255,13.86487589882264,0.4326719486841716,6.347613187516286,0.7744349010451412,11.11371237458194,0.790879780697314,0.0,0.0,0.0,0.8435143217917193,0.4815139889990542,0.1850681161346863,0.0249810593473782,0.7721334374101311,0.008654881371702,14.486063295486783,0.0736586102404762,0.0678538505621548,-63.05487373737374,-811493000.0,-3287127000.0,-4285831000.0,3404605000.0,1301963000.0,158717000.0,203882000.0,93.11539841828936,15.755679427850232,78.0192469499369,0.9665426076544882,5.712225893661761,1.153561505890346,1.1273760085689954,0.4746085858585858,2023-02-07,2.5,bmo,1451663043.0,2025-04-25,2022-12-31,0.4800000000000001,322.7195238095238,437617.3333333333
